Lloyds Bank op,London,1984.??.??,1,"Adams, Michael","Sedgwick, David",,,C05,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nf6'], ['e5', 'Nfd7'], ['f4', 'c5'], ['c3', 'Nc6'], ['Ndf3', 'cxd4'], ['cxd4', 'f6\n'], ['Bd3', 'Bb4+'], ['Bd2', 'Qb6'], ['Ne2', 'fxe5'], ['fxe5', 'O-O'], ['a3', 'Be7'], ['Qc2', 'Rxf3'], ['gxf3', 'Nxd4\n'], ['Nxd4', 'Qxd4'], ['O-O-O', 'Nxe5'], ['Bxh7+', 'Kh8'], ['Kb1', 'Qh4'], ['Bc3', 'Bf6'], ['f4', 'Nc4'], ['Bxf6', 'Qxf6\n'], ['Bd3', 'b5'], ['Qe2', 'Bd7'], ['Rhg1', 'Be8'], ['Rde1', 'Bf7'], ['Rg3', 'Rc8'], ['Reg1', 'Nd6'], ['Rxg7', 'Nf5\n'], ['R7g5', 'Rc7'], ['Bxf5', 'exf5'], ['Rh5+', '']]",1-0
Lloyds Bank op,London,1984.??.??,3,"Adams, Michael","Dickenson, Neil F",,,C07,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'Qxd5'], ['Ngf3', 'cxd4'], ['Bc4', 'Qd6'], ['O-O', 'Nf6'], ['Nb3', 'Nc6\n'], ['Nbxd4', 'Nxd4'], ['Nxd4', 'a6'], ['Nf3', 'b5'], ['Bd3', 'Bb7'], ['a4', 'Ng4'], ['Re1', 'Qb6'], ['Qe2', 'Bc5\n'], ['Rf1', 'b4'], ['h3', 'Nf6'], ['Bg5', 'Nh5'], ['Be3', 'Bxe3'], ['Qxe3', 'Qxe3'], ['fxe3', 'Ng3'], ['Rfe1', 'Ne4\n'], ['Ne5', 'Nc5'], ['Bc4', 'Ke7'], ['a5', 'Rhd8'], ['Red1', 'Rac8'], ['b3', 'Rc7'], ['Rxd8', 'Kxd8'], ['Nd3', 'Nxd3\n'], ['Bxd3', 'Rc5'], ['Ra4', 'Kc7'], ['Kf2', 'g6'], ['g4', 'Bc6'], ['Rxb4', 'Rxa5'], ['Rf4', 'f5'], ['g5', 'Rd5\n'], ['Rh4', 'Rd7'], ['Bxa6', 'Rd2+'], ['Ke1', 'Rxc2'], ['Rxh7+', 'Kd6'], ['Bc4', 'Bd5'], ['Rg7', 'Rh2'], ['Rxg6', 'Rxh3\n'], ['Kd2', 'Rg3'], ['Rg8', 'Bxc4'], ['bxc4', 'Kc5'], ['g6', 'Kd6'], ['c5+', 'Kc7'], ['g7', 'Kb7'], ['c6+', '']]",1-0
Lloyds Bank op,London,1984.??.??,4,"Hebden, Mark","Adams, Michael",,,B10,"[['e4', 'c6'], ['c4', 'd5'], ['exd5', 'cxd5'], ['cxd5', 'Nf6'], ['Nc3', 'g6'], ['Bc4', 'Bg7'], ['Nf3', 'O-O'], ['O-O', 'Nbd7\n'], ['d3', 'Nb6'], ['Qb3', 'Bf5'], ['Re1', 'h6'], ['a4', 'Nfd7'], ['Be3', 'a5'], ['Nd4', 'Nxc4'], ['dxc4', 'Nc5\n'], ['Qa3', 'Nd3'], ['Nxf5', 'gxf5'], ['Red1', 'Ne5'], ['b3', 'Ng4'], ['Qc1', 'f4'], ['Bd4', 'Bxd4'], ['Rxd4', 'e5\n'], ['Rd2', 'Qh4'], ['h3', 'Nf6'], ['Qe1', 'Qg5'], ['Ne4', 'Nxe4'], ['Qxe4', 'f5'], ['Qxe5', 'Rae8'], ['h4', 'Qxh4\n'], ['Qc3', 'Re4'], ['d6', 'Qg5'], ['f3', 'Re3'], ['Qxa5', 'Rfe8'], ['Rf2', 'Qf6'], ['Rd1', 'R3e5'], ['d7', '']]",1-0
Lloyds Bank op,London,1984.??.??,5,"Pasman, Michael","Adams, Michael",,,D42,"[['e4', 'c6'], ['c4', 'd5'], ['exd5', 'cxd5'], ['cxd5', 'Nf6'], ['Nc3', 'Nxd5'], ['d4', 'Nc6'], ['Nf3', 'e6'], ['Bd3', 'Be7\n'], ['O-O', 'O-O'], ['Re1', 'Bf6'], ['Be4', 'Nce7'], ['a3', 'Rb8'], ['h4', 'b6'], ['Qd3', 'g6'], ['h5', 'Bb7'], ['Bh6', 'Re8\n'], ['Rac1', 'Nxc3'], ['bxc3', 'Bxe4'], ['Rxe4', 'Nf5'], ['Bf4', 'Rc8'], ['hxg6', 'hxg6'], ['Be5', 'Bxe5\n'], ['Nxe5', 'Qg5'], ['Rd1', 'Kg7'], ['Qf3', 'Rh8'], ['Rg4', 'Qh5'], ['Kf1', 'Nh6'], ['Rf4', 'Qxf3'], ['Rxf3', 'Rhd8\n'], ['Rfd3', 'f6'], ['Nf3', 'Rd5'], ['Rc1', 'Nf5'], ['Ke2', 'Nd6'], ['Nd2', 'Nb5'], ['Kd1', 'e5'], ['a4', 'Nd6\n'], ['Rb1', 'e4'], ['Re3', 'f5'], ['g3', 'g5'], ['Rb4', 'Kg6'], ['Kc2', 'Rc6'], ['Re1', '']]",0-1
Lloyds Bank op,London,1984.??.??,6,"Adams, Michael","Levitt, Jonathan",,,B99,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'e6'], ['f4', 'Be7'], ['Qf3', 'Qc7\n'], ['O-O-O', 'Nbd7'], ['Bd3', 'b5'], ['Rhe1', 'Bb7'], ['Qg3', 'b4'], ['Nd5', 'exd5'], ['e5', 'dxe5'], ['fxe5', 'O-O-O\n'], ['Nf5', 'Bc5'], ['exf6', 'Qxg3'], ['hxg3', 'gxf6'], ['Bf4', 'Ne5'], ['Bxe5', 'fxe5'], ['Rxe5', 'Rde8\n'], ['Rxe8+', 'Rxe8'], ['Rh1', 'Rh8'], ['Rh6', 'a5'], ['Kd2', 'Kb8'], ['Rf6', 'Rf8'], ['Rh6', 'Rh8'], ['Rf6', '']]",1/2-1/2
Lloyds Bank op,London,1984.??.??,9,"Adams, Michael","Saeed, Saeed Ahmed",,,B56,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be3', 'Ng4'], ['Bg5', 'Qb6'], ['Bb5', 'Bd7\n'], ['O-O', 'Qxd4'], ['Bxc6', 'Qxd1'], ['Bxd7+', 'Kxd7'], ['Raxd1', 'g6'], ['h3', 'Ne5'], ['Nd5', 'Nc6'], ['b4', 'h6\n'], ['Bh4', 'f5'], ['f4', 'Rg8'], ['b5', 'Na5'], ['e5', 'Nc4'], ['Rd4', 'Rc8'], ['e6+', 'Ke8'], ['b6', 'axb6\n'], ['Rb1', 'g5'], ['Rb4', 'b5'], ['Rxb5', 'Bg7'], ['Rxc4', 'Rxc4'], ['Rxb7', 'Bd4+'], ['Bf2', 'Bxf2+'], ['Kxf2', 'Kf8\n'], ['Rxe7', 'Rg7'], ['Rd7', 'Rxc2+'], ['Kf3', 'Rg6'], ['Rd8+', 'Kg7'], ['e7', 'g4+'], ['hxg4', 'fxg4+'], ['Kg3', '']]",1-0
BCF-ch,Edinburgh,1985.??.??,1,"Adams, Michael","Singh, Sukh Dave",,,B70,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be2', 'Bg7'], ['O-O', 'O-O'], ['Bg5', 'Nc6\n'], ['Nb3', 'a6'], ['Kh1', 'b5'], ['a3', 'Bb7'], ['f4', 'Re8'], ['Bf3', 'h6'], ['Bh4', 'Nd7'], ['Qe1', 'b4'], ['axb4', 'Nxb4\n'], ['Rf2', 'a5'], ['Bg4', 'Bc6'], ['Qd2', 'Nb6'], ['f5', 'g5'], ['Bg3', 'Nc4'], ['Qc1', 'a4']]",1/2-1/2
BCF-ch,Edinburgh,1985.??.??,2,"Abayasekera, Roger","Adams, Michael",,,B13,"[['e4', 'c6'], ['d4', 'd5'], ['exd5', 'cxd5'], ['c4', 'Nf6'], ['Nc3', 'Nc6'], ['Bg5', 'Qa5'], ['Bxf6', 'exf6'], ['cxd5', 'Bb4\n'], ['Qd2', 'Bxc3'], ['bxc3', 'Qxd5'], ['Ne2', 'O-O'], ['Nf4', 'Qa5'], ['Bd3', 'Re8+'], ['Ne2', 'Bg4'], ['f3', 'Bf5\n'], ['O-O', 'Rad8'], ['Bxf5', 'Qxf5'], ['Ng3', 'Qa5'], ['Rfe1', 'Rxe1+'], ['Rxe1', 'h5'], ['Nf1', 'g6'], ['Rb1', 'b6\n'], ['Qc2', 'Rc8'], ['Qb3', 'Qf5'], ['Ne3', 'Qg5'], ['Nc4', 'Qf4'], ['Re1', 'Qc7'], ['d5', 'Nb8'], ['Nd2', 'Qc5+\n'], ['Kf1', 'f5'], ['c4', 'Nd7'], ['Qe3', 'Qc7'], ['Qe7', 'Qd8'], ['Qxd8+', 'Rxd8'], ['Nb3', 'Kf8'], ['Nd4', 'Nb8\n'], ['Ke2', 'Re8+'], ['Kd2', 'Rc8'], ['Kd3', 'Rc7'], ['Nb5', 'Rd7'], ['Nd4', 'Rc7'], ['Re2', 'Rd7'], ['Kc3', 'Re7\n'], ['Rxe7', 'Kxe7'], ['Kb4', 'Kd7'], ['a3', 'Na6+'], ['Kc3', 'Nc5'], ['Nb3', 'Na6'], ['a4', 'Nc7'], ['Kd4', 'Kd6\n'], ['a5', 'Na6'], ['axb6', 'axb6'], ['Nc1', 'Nb4'], ['Kc3', 'Na6'], ['Kd4', 'Nb4'], ['Kc3', 'Na6'], ['Nd3', 'Nb8\n'], ['Kb4', 'Nd7'], ['Kb5', 'Kc7'], ['f4', 'Kd6'], ['Ne5', 'Nxe5'], ['fxe5+', 'Kc7'], ['e6', 'fxe6'], ['dxe6', 'f4\n'], ['e7', 'Kd7'], ['Kxb6', 'h4'], ['h3', 'Kxe7'], ['c5', 'g5'], ['c6', 'g4'], ['c7', '']]",1-0
BCF-ch,Edinburgh,1985.??.??,3,"Adams, Michael","Jackson, Sheila",,,C85,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Bxc6', 'dxc6'], ['d3', 'Nd7'], ['b3', 'O-O\n'], ['Bb2', 'f6'], ['Nbd2', 'Nc5'], ['Re1', 'Ne6'], ['Nc4', 'c5'], ['Ne3', 'Nd4'], ['Nh4', 'g6'], ['c3', 'Nc6\n'], ['Nf3', 'Be6'], ['Qe2', 'Qd7'], ['Rad1', 'Rad8'], ['d4', 'cxd4'], ['cxd4', 'Nxd4'], ['Nxd4', 'exd4'], ['Bxd4', 'Qb5\n'], ['Qb2', 'c6'], ['f4', 'Bc5'], ['f5', 'Bxd4'], ['Rxd4', 'Qe5'], ['Rd2', 'Qxb2'], ['Rxb2', 'Bc8'], ['fxg6', 'hxg6\n'], ['Nc4', 'Rfe8'], ['Rf2', 'Kg7'], ['h3', 'Rd4'], ['Ref1', 'Rexe4'], ['Rxf6', 'Bf5'], ['Rd6', 'b5'], ['Rxd4', 'Rxd4\n'], ['Ne5', 'c5'], ['Rc1', 'Rd2'], ['Rxc5', 'Rxa2'], ['Rc7+', 'Kf6'], ['Nd7+', 'Bxd7'], ['Rxd7', 'Ra3'], ['Rd6+', 'Kg5\n'], ['b4', 'Ra4']]",1/2-1/2
BCF-ch,Edinburgh,1985.??.??,4,"Muir, Andrew J","Adams, Michael",,,E45,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'b6'], ['Ne2', 'Ba6'], ['Ng3', 'Bxc3+'], ['bxc3', 'd5'], ['cxd5', 'Bxf1\n'], ['Kxf1', 'Qxd5'], ['Qd3', 'Qd7'], ['e4', 'Nc6'], ['Bg5', 'h6'], ['Bxf6', 'gxf6'], ['Nh5', 'O-O-O'], ['Nxf6', 'Qd6\n'], ['e5', 'Nxe5'], ['Qg3', 'Nd7'], ['Qxd6', 'cxd6'], ['Nxd7', 'Kxd7'], ['Ke2', 'Rhg8'], ['g3', 'Rc8'], ['Kd3', 'Rg5\n'], ['Rhb1', 'Rh5'], ['Rh1', 'Rf5'], ['f4', 'h5'], ['Raf1', 'Ra5'], ['Rf2', 'Ra3'], ['Rc2', 'Ke7'], ['Rb1', 'Ra5\n'], ['Rb4', 'Rg8'], ['Rb1', 'Kf6'], ['Ke4', 'h4'], ['Rg1', 'hxg3'], ['hxg3', 'Rh5'], ['g4', 'Rh3'], ['g5+', 'Ke7\n'], ['d5', 'Rc8'], ['dxe6', 'fxe6'], ['Kd4', 'b5'], ['c4', 'Rh4'], ['c5', 'dxc5+'], ['Rxc5', 'Rxf4+'], ['Ke3', 'Rxc5\n'], ['Kxf4', 'Rc2'], ['a3', 'Rc3'], ['g6', 'Kf8'], ['Rd1', 'Rxa3'], ['Rd7', 'b4'], ['Kg5', 'Rg3+'], ['Kf6', 'Rf3+\n'], ['Kxe6', 'a5'], ['Ra7', 'b3'], ['Rxa5', 'Kg7'], ['Rb5', 'Kxg6'], ['Rb4', 'Rd3'], ['Ke5', 'Kg5'], ['Ke4', 'Rg3\n'], ['Rb5+', 'Kf6']]",1/2-1/2
