URS-chT,Moscow,1963.??.??,?,"Listergarten, Leonid B","Akopian, Vladimir",,,B48,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Nc3', 'Qc7'], ['Bd3', 'Nc6'], ['Be3', 'b5'], ['a3', 'Bb7\n'], ['O-O', 'Rc8'], ['Nxc6', 'Qxc6'], ['Qg4', 'Nf6'], ['Qg3', 'h5'], ['e5', 'Nd5'], ['Ne4', 'h4'], ['Qh3', 'Qc7\n'], ['f4', 'Nxe3'], ['Qxe3', 'h3'], ['gxh3', 'f5'], ['exf6', 'd5'], ['Nf2', 'Kf7'], ['Rae1', 'Re8'], ['Qg3', 'g5\n'], ['fxg5', 'Qxg3+'], ['hxg3', 'e5'], ['g6+', 'Kxf6'], ['Ng4+', 'Kg5'], ['Rf5+', '']]",1-0
URS-chT,Moscow,1963.??.??,?,"Saigin, Vladimir","Akopian, Vladimir",,,E04,"[['Nf3', 'd5'], ['d4', 'e6'], ['g3', 'c5'], ['Bg2', 'Nc6'], ['O-O', 'Nf6'], ['c4', 'dxc4'], ['Ne5', 'Nxe5'], ['dxe5', 'Qxd1\n'], ['Rxd1', 'Nd7'], ['f4', 'Rb8'], ['a4', 'Be7'], ['Na3', 'O-O'], ['Nxc4', 'Nb6'], ['Nd6', 'Bxd6'], ['exd6', 'Rd8\n'], ['Be3', 'Nd7'], ['a5', 'b6'], ['axb6', 'axb6'], ['Ra7', 'Nf6'], ['Bf2', 'Rd7'], ['Rc7', 'Ne8'], ['Rxd7', 'Bxd7\n'], ['e4', 'Nf6'], ['e5', 'Ng4'], ['Ra1', 'Nxf2'], ['Kxf2', 'Kf8'], ['Ra7', 'Ke8'], ['Ke3', 'Kd8'], ['Kd3', 'b5\n'], ['Be4', 'h6'], ['h4', 'Ke8'], ['h5', 'f5'], ['Bf3', 'Rc8'], ['g4', 'fxg4'], ['Bxg4', 'Kd8'], ['Bf3', 'Rb8\n'], ['f5', 'exf5'], ['Bd5', 'Rb6'], ['Ra8+', 'Bc8'], ['Be6', '']]",1-0
Minsk tt,Minsk,1986.??.??,?,"Iailian, Mikhail","Akopian, Vladimir",,,E88,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'e5'], ['d5', 'c6'], ['Bd3', 'cxd5'], ['cxd5', 'Ne8\n'], ['Nge2', 'f5'], ['exf5', 'gxf5'], ['O-O', 'Nd7'], ['Qd2', 'Rf7'], ['Rac1', 'Nf8'], ['Nb5', 'a6'], ['Na3', 'b5\n'], ['Nc2', 'Nf6'], ['Nb4', 'Bd7'], ['Bb1', 'Ng6'], ['Nc6', 'Qe8'], ['Rfe1', 'f4'], ['Bf2', 'Bh6'], ['Nc3', 'Rg7\n'], ['Kh1', 'Bg5'], ['a4', 'Nh4'], ['Ne4', 'Nxe4'], ['Bxe4', 'Qh5'], ['axb5', 'axb5'], ['Ra1', 'Rf8'], ['Ra7', 'Kh8\n'], ['Qb4', 'Nxg2'], ['Qxd6', 'Nxe1'], ['Qxf8+', 'Rg8'], ['Rxd7', 'Rxf8'], ['Rxh7+', 'Qxh7'], ['Bxh7', 'Nxf3\n'], ['Bd3', 'Bh4'], ['Bxh4', 'Nxh4'], ['d6', 'Rf7'], ['Nxe5', 'Ra7'], ['Kg1', 'Kg7'], ['d7', 'Ra8'], ['Nc6', 'Nf3+\n'], ['Kf2', 'Nxh2'], ['Bf5', 'Kf6'], ['Bh3', 'Kg5'], ['d8=Q+', 'Rxd8'], ['Nxd8', 'Ng4+'], ['Bxg4', 'Kxg4\n'], ['Nc6', 'Kf5'], ['Nd4+', 'Ke4'], ['Nxb5', 'Kd3'], ['Na3', 'Kd4'], ['b4', '']]",1-0
SochiJ-B,Sochi,1986.??.??,?,"Sakaev, Konstantin","Akopian, Vladimir",,,D06,"[['d4', 'd5'], ['c4', 'Bf5'], ['cxd5', 'Bxb1'], ['Qa4+', 'c6'], ['Rxb1', 'Qxd5'], ['Nf3', 'Nd7'], ['a3', 'Ngf6'], ['e3', 'e6\n'], ['Qc2', 'Bd6'], ['Bd3', 'Qh5'], ['O-O', 'g5'], ['e4', 'g4'], ['Ne5', 'Nxe5'], ['dxe5', 'Bxe5'], ['g3', 'Nd7\n'], ['Be2', 'Bg7'], ['b4', 'O-O'], ['Rb3', 'Qg6'], ['Kg2', 'Rad8'], ['h3', 'h5'], ['hxg4', 'hxg4'], ['Rh1', 'Nf6\n'], ['Re3', 'Bh6'], ['Rxh6', 'Qxh6'], ['e5', 'Rd5'], ['exf6', 'Qh3+'], ['Kg1', 'Rh5'], ['Qe4', 'Qh2+'], ['Kf1', 'Qh1+\n'], ['Qxh1', 'Rxh1+'], ['Kg2', 'Rxc1'], ['Rd3', 'Kh7'], ['Rd7', 'Kg6'], ['Rxb7', 'Ra8'], ['Rc7', 'Ra1'], ['Rxc6', 'Rxa3\n'], ['Bxg4', 'Rb8'], ['Rc5', 'Kxf6'], ['Rc7', 'Kg6']]",0-1
SochiJ-B,Sochi,1986.??.??,?,"Akopian, Vladimir","Kamsky, Gata",,,B81,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['g4', 'h6'], ['Rg1', 'Nc6'], ['h4', 'h5\n'], ['gxh5', 'Nxh5'], ['Bg5', 'Qb6'], ['Nb3', 'Bd7'], ['Qd2', 'a6'], ['O-O-O', 'Nf6'], ['Bh3', 'Qc7'], ['Qe2', 'b5\n'], ['Qe3', 'Ne5'], ['f4', 'Nc4'], ['Qd4', 'Be7'], ['e5', 'Qa7'], ['exd6', 'Nxd6'], ['Qd3', 'b4'], ['Bxf6', 'gxf6\n'], ['Ne4', 'Nxe4'], ['Qxe4', 'Rc8'], ['Kb1', 'Qc7'], ['Rd2', 'Bc6'], ['Qe3', 'Bb7'], ['Bxe6', 'fxe6'], ['Qxe6', 'Rf8\n'], ['Qf5', 'Rd8'], ['Qh5+', 'Rf7'], ['Rg8+', 'Bf8'], ['Re2+', 'Qe7'], ['Rxf8+', '']]",1-0
SochiJ-B,Sochi,1986.??.??,?,"Shirov, Alexei","Akopian, Vladimir",,,A45,"[['d4', 'Nf6'], ['Bg5', 'Ne4'], ['Bh4', 'g5'], ['Qd3', 'd5'], ['f3', 'gxh4'], ['fxe4', 'Nc6'], ['Nf3', 'Bg4'], ['exd5', 'Qxd5\n'], ['Nc3', 'Qa5'], ['d5', 'Nb4'], ['Qe4', 'f5'], ['Qe6', 'Nxc2+'], ['Kd2', 'Nxa1'], ['Ne5', 'Bh6+'], ['Qxh6', 'O-O-O\n'], ['Qe6+', 'Kb8'], ['Nf7', 'Rd6'], ['Nxd6', 'cxd6'], ['Qxe7', 'Qb4'], ['Kc1', 'Rc8'], ['Qe3', 'f4'], ['Qd3', 'Bh5\n'], ['Qxh7', 'Rxc3+'], ['bxc3', 'Qxc3+'], ['Kb1', 'Qe1+'], ['Kb2', 'Qd2+'], ['Kxa1', 'Qc1+'], ['Qb1', 'Qc3+']]",1/2-1/2
Wch U20,Baguio,1987.??.??,?,"Blatny, Pavel","Akopian, Vladimir",,,C55,"[['e4', 'e5'], ['Bc4', 'Nf6'], ['d3', 'Nc6'], ['Nf3', 'h6'], ['Nbd2', 'd6'], ['c3', 'g6'], ['Nf1', 'Bg7'], ['Ng3', 'Qe7\n'], ['Be3', 'Bd7'], ['b4', 'a6'], ['a4', 'Nd8'], ['O-O', 'O-O'], ['h3', 'Kh7'], ['Re1', 'Be6'], ['Bb3', 'Nd7'], ['Bc2', 'f5\n'], ['exf5', 'Bxf5'], ['Qe2', 'Ne6'], ['Rad1', 'Rae8'], ['Nh2', 'Qh4'], ['Nxf5', 'gxf5'], ['Qf3', 'c6'], ['g4', 'f4\n'], ['Bd2', 'Ng5'], ['Qg2', 'Nxh3+'], ['Kf1', 'Ng5'], ['d4+', 'e4'], ['Rxe4', 'Nxe4'], ['Bxe4+', 'Kg8'], ['Nf3', 'Qe7\n'], ['Re1', 'Qf7'], ['Bf5', 'Rxe1+'], ['Bxe1', 'Nb6'], ['Bd2', 'Nd5'], ['Kg1', 'Ne7'], ['Bd3', 'Qe6'], ['g5', 'h5\n'], ['Kh2', 'Qg4'], ['Qh3', 'Kf7'], ['a5', 'Re8'], ['Nh4', 'Qxg5'], ['Ng2', 'Qg4'], ['Bxf4', 'Nd5'], ['Bd2', 'Re6\n'], ['c4', 'Ne7'], ['Be3', 'Bh6'], ['f4', 'd5'], ['Qxg4', 'hxg4'], ['Kg3', 'dxc4'], ['Bxc4', 'Nd5'], ['Bd2', 'Re4\n'], ['Bxd5+', 'cxd5'], ['Be3', 'Bf8'], ['Kxg4', 'Bxb4'], ['Kf3', 'Bxa5'], ['Ke2', 'b5'], ['Kd3', 'Bc7'], ['Bd2', 'Bb6\n'], ['Bc3', 'Ke6'], ['Ne3', 'Rxf4']]",0-1
Wch U20,Baguio,1987.??.??,?,"Barcenilla, Rogelio","Akopian, Vladimir",,,A89,"[['d4', 'd6'], ['c4', 'f5'], ['Nc3', 'Nf6'], ['Nf3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['O-O', 'Nc6'], ['d5', 'Na5\n'], ['Nd2', 'c5'], ['a3', 'Bd7'], ['Qc2', 'Qc7'], ['b3', 'a6'], ['Bb2', 'b5'], ['Rab1', 'Rab8'], ['Ba1', 'Qc8\n'], ['e4', 'f4'], ['Ne2', 'fxg3'], ['hxg3', 'g5'], ['f3', 'e5'], ['Qc3', 'Qd8'], ['Qe3', 'Nh5'], ['Bc3', 'b4\n'], ['Bb2', 'Nb7'], ['a4', 'Qf6'], ['Rf2', 'Bh6'], ['Qd3', 'Rf7'], ['Nf1', 'Rbf8'], ['Ne3', 'Qg6'], ['g4', 'Nf4\n'], ['Nxf4', 'gxf4'], ['Nf5', 'Bg5'], ['Kf1', 'Bxf5'], ['exf5', 'Qf6'], ['Ke2', 'Re7'], ['Kd2', 'Bh4'], ['Re2', 'Nd8\n'], ['Rh1', 'Nf7'], ['Bf1', 'Bg3'], ['Rh5', 'Ng5'], ['Kc2', 'h6'], ['Bg2', 'Kf7'], ['Qd1', 'a5'], ['Qh1', 'Rh8\n'], ['Ba1', 'Kf8'], ['Bb2', 'Rg7'], ['Rd2', 'Nf7'], ['Bf1', 'Rg5'], ['Bd3', 'Rxh5'], ['gxh5', 'Rg8'], ['Rd1', 'Bf2\n'], ['Rd2', 'Be3'], ['Rg2', 'Rxg2+'], ['Qxg2', 'Qg5'], ['Qxg5', 'Nxg5'], ['Be4', 'Nxe4'], ['fxe4', 'f3'], ['Kd3', 'f2\n'], ['Ke2', 'Ke7'], ['Kf1', 'Kf6'], ['Kg2', 'Kg5']]",0-1
Wch U20,Baguio,1987.??.??,?,"Sokolov, Ivan","Akopian, Vladimir",,,E92,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['Be3', 'Ng4'], ['Bg5', 'f6\n'], ['Bh4', 'Nc6'], ['d5', 'Ne7'], ['Nd2', 'Nh6'], ['f3', 'f5'], ['Rc1', 'fxe4'], ['fxe4', 'Bf6'], ['Bxf6', 'Rxf6\n'], ['Nf3', 'Bg4'], ['O-O', 'Bxf3'], ['Rxf3', 'Rxf3'], ['Bxf3', 'Qd7'], ['Qe2', 'Kg7'], ['Nd1', 'c5'], ['Ne3', 'Rf8\n'], ['g3', 'Neg8'], ['Kg2', 'Nf6'], ['Rf1', 'Nf7'], ['Ng4', 'Ng5'], ['Nxf6', 'Qh3+'], ['Kg1', 'Rxf6'], ['Bg2', 'Rxf1+\n'], ['Bxf1', 'Qh6'], ['h4', 'Nf7'], ['Bh3', 'Qc1+'], ['Kg2', 'h5'], ['Be6', 'Nd8'], ['Bd7', 'Nf7'], ['b3', '']]",1/2-1/2
Wch U20,Baguio,1987.??.??,?,"Ivanchuk, Vassily","Akopian, Vladimir",,,E74,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Be2', 'O-O'], ['Bg5', 'c5'], ['dxc5', 'Qa5'], ['Bd2', 'Qxc5\n'], ['Nf3', 'Bg4'], ['O-O', 'Bxf3'], ['Bxf3', 'Nc6'], ['b3', 'Nd4'], ['Be3', 'Nxf3+'], ['Qxf3', 'Qa5'], ['Rac1', 'a6\n'], ['Rc2', 'b5'], ['Nd5', 'Nxd5'], ['cxd5', 'Rfc8'], ['Qe2', 'Rxc2'], ['Qxc2', 'Bc3'], ['Rc1', 'b4'], ['a4', 'Rf8\n'], ['Qd3', 'Rc8'], ['h4', 'h5'], ['g3', 'Kf8'], ['f4', 'Ke8'], ['f5', 'gxf5'], ['exf5', 'Rc7'], ['Kg2', 'Kd7\n'], ['g4', 'hxg4'], ['h5', 'Be5'], ['Rc4', 'Rxc4'], ['Qxc4', 'Qc7'], ['Qxc7+', 'Kxc7'], ['h6', 'Kd7'], ['Bg5', 'Bh8\n'], ['Kg3', 'e6'], ['dxe6+', 'fxe6'], ['Kxg4', 'd5'], ['f6', 'Ke8'], ['Kf4', 'Kf7'], ['Ke5', 'a5'], ['h7', 'Kg6\n'], ['Kxe6', 'Kxh7'], ['f7', 'Bg7'], ['Kxd5', 'Kg6'], ['Bd8', 'Kxf7'], ['Bxa5', 'Bc3'], ['Bb6', 'Ke7'], ['Kc6', '']]",1-0
