URS-chT,URS,1966.??.??,?,"Bykhovsky, Anatoly A","Alburt, Lev O",,,B29,"[['e4', 'c5'], ['Nf3', 'Nf6'], ['e5', 'Nd5'], ['Nc3', 'e6'], ['Ne4', 'Qc7'], ['b3', 'Nc6'], ['Bb2', 'Nd4'], ['Bc4', 'Nb4\n'], ['O-O', 'Nbxc2'], ['Rc1', 'Qc6'], ['Rxc2', 'Qxe4'], ['Nxd4', 'cxd4'], ['Qc1', 'Bb4'], ['Bd3', 'Qxd3'], ['Rxc8+', 'Ke7\n'], ['Rxh8', 'Rxh8'], ['a3', 'Bxd2'], ['Qc5+', 'Kd8'], ['Qxa7', 'Bc3'], ['Qb8+', 'Ke7'], ['Qd6+', 'Kd8'], ['Qb8+', 'Ke7\n'], ['Qd6+', 'Kd8'], ['Bxc3', 'Qxc3'], ['Rd1', 'f6'], ['g3', 'Qc7'], ['Qxd4', 'fxe5'], ['Qg4', 'Re8'], ['Qxg7', 'd5\n'], ['Qg5+', 'Kd7'], ['Rc1', 'Qb8'], ['b4', 'e4'], ['b5', 'Qd6'], ['Qg7+', 'Re7'], ['Qh8', 'Re8'], ['Qg7+', 'Qe7\n'], ['Qc3', 'Rd8'], ['b6', 'e5'], ['Qc7+', 'Ke8'], ['Qxe7+', 'Kxe7'], ['Rc7+', 'Rd7'], ['Rxd7+', 'Kxd7'], ['g4', 'd4\n'], ['h4', 'Ke6'], ['Kf1', 'Kd5'], ['Ke2', 'Kc4'], ['Kd2', '']]",1-0
URS-chT,URS,1966.??.??,?,"Volovich, Anatoly A","Alburt, Lev O",,,D38,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['a3', 'Bxc3+'], ['bxc3', 'Ne4'], ['Qc2', 'c5'], ['e3', 'Qa5\n'], ['Bb2', 'cxd4'], ['exd4', 'O-O'], ['Bd3', 'Nf6'], ['O-O', 'Nbd7'], ['cxd5', 'exd5'], ['a4', 'Qc7'], ['Rfe1', 'h6\n'], ['Ne5', 'Nxe5'], ['dxe5', 'Nd7'], ['c4', 'dxc4'], ['e6', 'fxe6'], ['Rxe6', 'Nf6'], ['Bxc4', 'Kh8'], ['Be5', 'Qc5\n'], ['Rxf6', 'gxf6'], ['Qg6', 'Qxc4'], ['Qxh6+', 'Kg8'], ['Qg6+', 'Kh8'], ['Bxf6+', 'Rxf6'], ['Qxf6+', 'Kg8\n'], ['Qd8+', 'Kf7'], ['Re1', 'Qb4'], ['Qe8+', 'Kf6'], ['h4', 'Bf5'], ['Qe5+', 'Kg6'], ['Re3', 'Qf8'], ['Rg3+', 'Kh7\n'], ['Rf3', 'Kg6'], ['Qg3+', 'Kf6'], ['Qg5+', 'Ke6'], ['g4', 'Re8'], ['Rxf5', 'Qh8'], ['Qe3+', 'Kd7'], ['Rf7+', 'Kc6\n'], ['Qf3+', '']]",1-0
URS-chT,URS,1966.??.??,?,"Taimanov, Mark E","Alburt, Lev O",,,B14,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['Bg5', 'c5'], ['e3', 'cxd4'], ['exd4', 'Be7'], ['Nf3', 'O-O'], ['Bd3', 'dxc4\n'], ['Bxc4', 'Nd5'], ['Bxe7', 'Qxe7'], ['O-O', 'Nxc3'], ['bxc3', 'Nc6'], ['Re1', 'b6'], ['Bd3', 'Rd8'], ['Qe2', 'Bb7\n'], ['Qe4', 'g6'], ['Qf4', 'Kg7'], ['h4', 'Qd6'], ['Qg4', 'Ne7'], ['Ne5', 'h5'], ['Qg3', 'f6'], ['Bxg6', 'Kf8\n'], ['Qf4', 'Kg7'], ['Bxh5', 'fxe5'], ['Qf7+', 'Kh8'], ['Qf6+', 'Kh7'], ['Rxe5', '']]",1-0
URS-chT,URS,1966.??.??,?,"Alburt, Lev O","Polugaevsky, Lev",,,D01,"[['d4', 'Nf6'], ['Nc3', 'd5'], ['Bg5', 'c6'], ['Qd3', 'g6'], ['Bxf6', 'exf6'], ['e4', 'dxe4'], ['Qxe4+', 'Be7'], ['O-O-O', 'f5\n'], ['Qe3', 'O-O'], ['Bc4', 'Nd7'], ['h4', 'Nf6'], ['Nf3', 'Ng4'], ['Qe2', 'Bb4'], ['Rde1', 'Qd6'], ['h5', 'b5\n'], ['Bb3', 'Bxc3'], ['bxc3', 'a5'], ['hxg6', 'hxg6'], ['a3', 'a4'], ['Ba2', 'Qxa3+'], ['Kb1', 'Ba6'], ['Ng5', 'Ra7\n'], ['Qf3', 'Nf6'], ['Qxc6', 'Kg7'], ['Nh7', 'Nd7'], ['Nxf8', 'Nxf8'], ['Re8', 'Bb7'], ['Qb6', 'Qxc3'], ['Qxa7', 'Qb4+\n'], ['Kc1', 'Qa3+'], ['Kb1', 'Qb4+'], ['Kc1', 'Qa3+'], ['Kd2', 'Qxa2'], ['Qxb7', 'Qc4'], ['Qb6', 'Qb4+'], ['c3', 'Qb2+\n'], ['Kd3', 'Qxf2'], ['Qd6', 'Nh7'], ['Qe5+', 'Nf6'], ['Reh8', '']]",1-0
URS-ch35,Kharkov,1967.??.??,?,"Alburt, Lev O","Sosonko, Gennadi",,,B22,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['c3', 'Nf6'], ['e5', 'Nd5'], ['d4', 'cxd4'], ['cxd4', 'd6'], ['Be2', 'g6'], ['O-O', 'Bg7\n'], ['Qb3', 'dxe5'], ['dxe5', 'O-O'], ['Rd1', 'e6'], ['Nc3', 'Nxe5'], ['Nxd5', 'exd5'], ['Rxd5', 'Nxf3+'], ['Bxf3', 'Qc7\n'], ['Qa4', 'a6'], ['Qb4', 'a5'], ['Qa4', 'Qc6'], ['Rb5', 'Qe6'], ['Qd1', 'Bd7'], ['Bd5', 'Qa6'], ['Rxb7', 'Bc6\n'], ['Bxc6', 'Qxc6'], ['Qf3', 'Qxf3'], ['gxf3', 'Rfb8'], ['Rxb8+', 'Rxb8'], ['Rb1', 'Rc8'], ['Bf4', 'g5\n'], ['Bxg5', 'h6'], ['Bd2', 'a4'], ['Kf1', 'Rc2'], ['Ke2', 'Kh7'], ['Kd3', 'Rxb2'], ['Rxb2', 'Bxb2'], ['Kc4', 'Kg6\n'], ['Bf4', 'h5'], ['Bd6', 'Kg5'], ['a3', 'Kh4'], ['Kb4', 'Kh3'], ['Kxa4', 'h4'], ['Kb4', 'Bd4'], ['a4', 'Bxf2\n'], ['a5', 'Be1+'], ['Kb5', 'Bxa5'], ['Kxa5', 'f5']]",1/2-1/2
URS-ch35,Kharkov,1967.??.??,?,"Alburt, Lev O","Vasiukov, Evgeni",,,B02,"[['e4', 'Nf6'], ['Nc3', 'd5'], ['exd5', 'Nxd5'], ['Nxd5', 'Qxd5'], ['d4', 'Nc6'], ['Nf3', 'Bg4'], ['Be2', 'O-O-O\n'], ['c3', 'e5'], ['O-O', 'exd4'], ['cxd4', 'Bd6'], ['Be3', 'Kb8'], ['h3', 'Bd7'], ['Qc2', 'f6'], ['a3', 'Rde8\n'], ['Rfd1', 'Ne7'], ['Qc4', 'Bc6'], ['Qc1', 'g5'], ['Ne1', 'h5'], ['Bf3', 'Qf5'], ['Qb1', 'Bxf3'], ['Nxf3', 'Qd5\n'], ['Nd2', 'Nf5'], ['Nf1', 'Nh4'], ['f3', 'Nxg2'], ['Kxg2', 'g4'], ['h4', 'Qxf3+'], ['Kg1', 'Rxe3'], ['Nxe3', 'Qxe3+\n'], ['Kf1', 'Qf3+'], ['Kg1', 'Bh2+'], ['Kxh2', 'Qf2+']]",0-1
URS-ch35,Kharkov,1967.??.??,?,"Barstatis, Reinhardas","Alburt, Lev O",,,B75,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be3', 'Bg7'], ['f3', 'Nc6'], ['Bc4', 'Bd7\n'], ['Qd2', 'Rc8'], ['Bb3', 'Ne5'], ['O-O-O', 'Nc4'], ['Bxc4', 'Rxc4'], ['g4', 'h5'], ['g5', 'Nh7'], ['f4', 'Qa5\n'], ['Qd3', 'b5'], ['e5', 'Rxc3'], ['bxc3', 'dxe5'], ['Nb3', 'Qc7'], ['Rhe1', 'exf4'], ['Bc5', 'e6'], ['Re2', 'Bf8\n'], ['Qd4', 'f6'], ['gxf6', 'Rg8'], ['f7+', '']]",1-0
URS-ch35,Kharkov,1967.??.??,?,"Shilov, Yuri","Alburt, Lev O",,,B26,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['d3', 'g6'], ['Be3', 'd6'], ['Qd2', 'Bg7'], ['g3', 'Rb8'], ['Bg2', 'b5'], ['Nge2', 'b4\n'], ['Nd1', 'Nd4'], ['O-O', 'e6'], ['c3', 'Nxe2+'], ['Qxe2', 'bxc3'], ['bxc3', 'Ne7'], ['Rc1', 'Qb6'], ['f4', 'O-O\n'], ['h3', 'f5'], ['Nf2', 'Qa5'], ['Qd2', 'Ba6'], ['Rfe1', 'Qa3'], ['Nd1', 'fxe4'], ['dxe4', 'Rb6'], ['f5', 'gxf5\n'], ['Bg5', 'Ng6'], ['exf5', 'exf5'], ['Re6', 'Bc4'], ['Bd5', 'Bxd5'], ['Qxd5', 'Kh8'], ['Rc2', 'Qa4'], ['Rd2', 'Be5\n'], ['Be7', 'Nxe7'], ['Rxe7', 'Qe4'], ['Qxe4', 'fxe4'], ['Rf2', 'Rxf2'], ['Kxf2', 'Ra6'], ['Ke3', 'Rxa2\n'], ['Kxe4', 'Bxg3'], ['Ne3', 'Kg8'], ['c4', 'Bf2'], ['Nf5', 'Re2+'], ['Kf3', 'Rxe7'], ['Nxe7+', 'Kf7'], ['Nc6', 'Bg1\n'], ['Nxa7', 'Kf6'], ['Ke4', 'Kg5'], ['Nb5', 'Kh4'], ['Nxd6', 'Kg3'], ['h4', 'h5'], ['Nf5+', 'Kg4'], ['Ng7', 'Bf2\n'], ['Ne6', 'Bxh4'], ['Nxc5', 'Be7'], ['Nd3', 'h4'], ['c5', 'Kg3'], ['c6', 'Bd6'], ['Ne5', 'h3'], ['Nf3', 'Kf2\n'], ['Ne5', 'Bc7'], ['Nf3', 'Bd6'], ['Ne5', 'Bb8'], ['Nf3', 'Bc7']]",1/2-1/2
URS-ch35,Kharkov,1967.??.??,?,"Shamis, Alexey","Alburt, Lev O",,,E61,"[['d4', 'Nf6'], ['e3', 'g6'], ['Nf3', 'Bg7'], ['c4', 'O-O'], ['Be2', 'd6'], ['O-O', 'Nbd7'], ['Nc3', 'c6'], ['Qc2', 'e5\n'], ['b4', 'Re8'], ['Rb1', 'Nf8'], ['dxe5', 'dxe5'], ['Rd1', 'Qc7'], ['b5', 'e4'], ['Nd2', 'Bf5'], ['bxc6', 'bxc6\n'], ['h3', 'h5'], ['Nb3', 'Ne6'], ['Ba3', 'Rad8'], ['Nc5', 'Rxd1+'], ['Nxd1', 'h4'], ['Nb7', 'c5'], ['Rb3', 'Nd7\n'], ['Nc3', 'Nb6'], ['Na5', 'Na4'], ['Nxa4', 'Qxa5'], ['Rb5', 'Qe1+'], ['Bf1', 'Nd4'], ['Qb1', 'Ne2+'], ['Kh1', 'Qxf2\n'], ['Bxe2', 'Qxe2'], ['Bxc5', 'Qxc4'], ['Rb4', 'Qe2'], ['Rb8', 'Rxb8'], ['Qxb8+', 'Kh7'], ['Qf4', 'Bf6\n'], ['Qd6', 'Qe1+'], ['Kh2', 'Qa1'], ['Bd4', 'Bxd4'], ['exd4', 'Qxa2'], ['Nc3', 'Qc4'], ['Nd5', 'Qc8'], ['Qe7', 'Qe6\n'], ['Nf6+', 'Kh6'], ['Qf8+', 'Kg5'], ['Nh7+', 'Kh5'], ['Qd8', 'Kh6'], ['Ng5', 'Qb6'], ['Qe7', 'Be6'], ['Qf6', 'Qd6+\n'], ['Kh1', 'Qd5'], ['Nxe6', 'Qxe6'], ['Qh8+', 'Kg5'], ['Qd8+', 'Qf6'], ['Qd5+', 'Qf5'], ['Qd8+', 'f6'], ['Qe7', 'Qf1+\n'], ['Kh2', 'Qf4+'], ['Kh1', 'e3'], ['Qc5+', 'Kh6'], ['Qf8+', 'Kh5'], ['Qc5+', 'Qf5'], ['Qe7', 'Qf1+'], ['Kh2', 'e2']]",0-1
URS-ch35,Kharkov,1967.??.??,?,"Sakharov, Yury N","Alburt, Lev O",,,B45,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Ndb5', 'Bb4'], ['a3', 'Bxc3+'], ['Nxc3', 'd5\n'], ['exd5', 'exd5'], ['Bd3', 'O-O'], ['O-O', 'd4'], ['Ne2', 'Qd5'], ['c4', 'dxc3'], ['Nxc3', 'Qa5'], ['Bf4', 'Rd8\n'], ['Qb1', 'Nd4'], ['b4', 'Qh5'], ['Re1', 'Nf3+'], ['gxf3', 'Qxf3'], ['Re3', 'Qxf4'], ['Qf1', 'Ng4'], ['Rg3', 'Rxd3']]",0-1
URS-ch35,Kharkov,1967.??.??,?,"Platonov, Igor V","Alburt, Lev O",,,A04,"[['Nf3', 'c5'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['O-O', 'Bg7'], ['d3', 'd6'], ['Nc3', 'Rb8'], ['e3', 'Nh6'], ['d4', 'cxd4\n'], ['exd4', 'Bg4'], ['Ne2', 'Qd7'], ['d5', 'Ne5'], ['Ng5', 'Qb5'], ['Re1', 'Nf5'], ['h3', 'Bxe2'], ['Rxe2', 'O-O\n'], ['a4', 'Qb6'], ['a5', 'Qb5'], ['Bf1', 'Qc5'], ['Ne4', 'Qd4'], ['Re1', 'e6'], ['dxe6', 'fxe6'], ['c3', 'Qd5\n'], ['Bg2', 'Qc4'], ['Ng5', 'Kh8'], ['Ra4', 'Qc8'], ['Bf4', 'h6'], ['Ne4', 'Nf7'], ['g4', 'Nh4'], ['Nxd6', 'Nxd6\n'], ['Qxd6', 'Qe8'], ['Rb4', 'Qf7'], ['Qd3', 'Rbd8'], ['Qe3', 'Nxg2'], ['Kxg2', 'g5'], ['Bg3', 'Rd5'], ['Qxa7', 'Rd3\n'], ['Rxb7', 'Qf3+'], ['Kh2', 'Bf6'], ['Rb8', 'Bd8'], ['Be5+', 'Rf6'], ['Rxd8+', '']]",1-0
