Spring op,Budapest,1989.??.??,?,"Andrianov, Nikolai","Almasi, Zoltan",,,A44,"[['d4', 'c5'], ['d5', 'e5'], ['e4', 'd6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'Ne7'], ['h4', 'h5'], ['Bh3', 'Nd7'], ['Nf3', 'Nf6\n'], ['Bxc8', 'Qxc8'], ['Ng5', 'Qd7'], ['Be3', 'Ng4'], ['Bd2', 'Bh6'], ['Qe2', 'Nf6'], ['f3', 'Nh7'], ['Rb1', 'Nf8\n'], ['b4', 'cxb4'], ['Rxb4', 'f6'], ['Ne6', 'Bxd2+'], ['Qxd2', 'Kf7'], ['O-O', 'b6'], ['Nb5', 'Nxe6'], ['dxe6+', 'Kxe6\n'], ['Rd1', 'Rad8'], ['a4', 'Nc6'], ['Qd5+', 'Ke7'], ['Rb2', 'a6'], ['Nc3', 'Rb8'], ['Kg2', 'Nd4'], ['Rdb1', 'Qa7\n'], ['a5', 'b5'], ['cxb5', 'Rhc8'], ['bxa6', 'Rxb2+'], ['Rxb2', 'Qxa6'], ['Rb7+', '']]",1-0
Budapest op,Budapest,1990.??.??,?,"Almasi, Zoltan","Roos, Jean Luc",,,C02,"[['e4', 'e6'], ['d4', 'd5'], ['e5', 'c5'], ['c3', 'Nd7'], ['f4', 'Ne7'], ['Be3', 'Qb6'], ['Qd2', 'Nf5'], ['Bf2', 'h5'], ['Nf3', 'Nb8\n'], ['Rg1', 'Nc6'], ['g3', 'Bd7'], ['h3', 'Be7'], ['g4', 'hxg4'], ['hxg4', 'Nh4'], ['Nxh4', 'Bxh4'], ['Bxh4', 'Rxh4\n'], ['Qf2', 'cxd4'], ['Qxh4', 'dxc3'], ['Nxc3', 'Qxg1'], ['Qh8+', 'Ke7'], ['Qxa8', 'Qe3+'], ['Kd1', 'Qf2\n'], ['Rc1', 'Qxf1+'], ['Kc2', 'Qc4'], ['Kb1', 'd4'], ['Nd1', 'Qd3+'], ['Ka1', 'Nb4'], ['a3', 'Nc2+'], ['Ka2', 'Bc6\n'], ['Qc8', 'Bd5+'], ['Kb1', 'Nxa3+'], ['Ka1', 'Nc2+'], ['Rxc2', 'Qxd1+'], ['Rc1', 'Qa4+'], ['Kb1', 'Ba2+']]",0-1
Spring op,Budapest,1990.??.??,1,"Arbakov, Valentin","Almasi, Zoltan",,,A86,"[['c4', 'f5'], ['d4', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['b3', 'O-O'], ['Bb2', 'd6'], ['Nd2', 'Nc6'], ['d5', 'Ne5'], ['Ngf3', 'Nxf3+\n'], ['Nxf3', 'Bd7'], ['O-O', 'c6'], ['dxc6', 'Bxc6'], ['b4', 'e5'], ['Qb3', 'Kh8'], ['Rfd1', 'e4'], ['Nd4', 'Qe7\n'], ['Nxc6', 'bxc6'], ['a4', 'Rab8'], ['b5', 'Qe6'], ['Rab1', 'cxb5'], ['axb5', 'Rfc8'], ['e3', 'a6'], ['Bd4', 'Nd7\n'], ['Qc3', 'Be5'], ['bxa6', 'Ra8'], ['Qa1', 'Rxc4'], ['Bf1', 'Rc7'], ['Rdc1', 'Nc5'], ['Rb6', 'Qe7'], ['Rxd6', '']]",1-0
Spring op,Budapest,1990.??.??,8,"Almasi, Zoltan","Manca, Federico",,,B09,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['f4', 'Bg7'], ['Nf3', 'O-O'], ['Bd3', 'Na6'], ['e5', 'Ng4'], ['h3', 'Nh6\n'], ['Be3', 'c5'], ['Qd2', 'cxd4'], ['Bxd4', 'Nb4'], ['g4', 'dxe5'], ['fxe5', 'Nxg4'], ['Be4', 'Nh6'], ['Qf2', 'Bf5\n'], ['Rd1', 'Bxe4'], ['Nxe4', 'Qd5'], ['Nc3', 'Qc4'], ['b3', 'Qe6'], ['Ne4', 'Nf5'], ['Bb2', 'Qc6'], ['Nc3', 'Nxc2+\n'], ['Ke2', 'Bh6'], ['Rd3', 'Rfd8'], ['Rhd1', 'Qa6'], ['Ne4', 'Rxd3'], ['Rxd3', 'Nb4'], ['Nc5', 'Qxa2'], ['Kf1', 'Nxd3\n'], ['Nxd3', 'Qxb3']]",0-1
HUN-chop,Gyor,1990.??.??,2,"Almasi, Zoltan","Zsinka, Laszlo",,,C55,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d3', 'Be7'], ['O-O', 'O-O'], ['c3', 'd6'], ['Nbd2', 'Na5'], ['Re1', 'Nxc4\n'], ['Nxc4', 'h6'], ['h3', 'Be6'], ['Ne3', 'Re8'], ['g4', 'g6'], ['c4', 'Bf8'], ['Bd2', 'Bg7'], ['Kh2', 'c6'], ['Bc3', 'Qb6\n'], ['Qd2', 'Qc7'], ['Rg1', 'Kh7'], ['Rg3', 'Rad8'], ['Rag1', 'Bc8'], ['h4', 'd5'], ['exd5', 'cxd5'], ['g5', 'd4\n'], ['gxf6', 'dxc3'], ['bxc3', 'Bxf6'], ['Nd5', 'Rxd5'], ['cxd5', 'Qd6'], ['c4', 'e4'], ['Re1', 'Bf5'], ['dxe4', 'Bxe4\n'], ['Kg1', 'Qd8'], ['Qf4', 'Bf5'], ['Rxe8', 'Qxe8'], ['h5', 'Qe2'], ['hxg6+', 'fxg6'], ['d6', 'Bg7'], ['Qd2', 'Qxd2\n'], ['Nxd2', 'Be5'], ['Rb3', 'b6'], ['c5', 'Be6'], ['Re3', '']]",1-0
HUN-chop,Gyor,1990.??.??,3,"Almasi, Zoltan","Videki, Sandor",,,B64,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'e6'], ['Qd2', 'Be7'], ['O-O-O', 'O-O\n'], ['f4', 'h6'], ['Bh4', 'e5'], ['Nf5', 'Bxf5'], ['exf5', 'exf4'], ['Kb1', 'd5'], ['Bxf6', 'Bxf6'], ['Nxd5', 'Be5\n'], ['Bc4', 'b5'], ['Bb3', 'a5'], ['a3', 'Qg5'], ['g3', 'fxg3'], ['Qxg5', 'hxg5'], ['hxg3', 'a4'], ['Ba2', 'Bxg3\n'], ['Rd3', 'Bh4'], ['Rc3', 'Nd4'], ['Ne7+', 'Kh7'], ['Rch3', 'Kh6'], ['Rxh4+', 'gxh4'], ['Rxh4+', 'Kg5\n'], ['Rxd4', 'Rfe8'], ['Rd7', 'Rad8'], ['Rxd8', 'Rxd8'], ['c4', 'bxc4'], ['Bxc4', 'Rd7'], ['Nd5', 'Kxf5\n'], ['Nb6', 'Ra7'], ['Bb5', 'g5'], ['Nxa4', 'g4'], ['Nc3', 'Ke5'], ['Kc2', 'f5'], ['Kd2', 'f4'], ['Bc6', 'Rc7\n'], ['Ba4', 'Rh7'], ['Bd1', 'Rh2+'], ['Ke1', 'f3'], ['a4', 'Rxb2'], ['a5', 'Kd4'], ['Bxf3', 'gxf3'], ['Nd1', 'Rb1']]",0-1
HUN-chop,Gyor,1990.??.??,5,"Almasi, Zoltan","Teske, Henrik",,,B49,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e6'], ['Nc3', 'Qc7'], ['Be2', 'a6'], ['O-O', 'Nf6'], ['Be3', 'Bb4\n'], ['Nxc6', 'bxc6'], ['Na4', 'Bd6'], ['f4', 'Nxe4'], ['Qd4', 'Nf6'], ['c4', 'O-O'], ['g4', 'c5'], ['Nxc5', 'e5\n'], ['fxe5', 'Bxe5'], ['Qd1', 'Re8'], ['Bf2', 'Bxh2+'], ['Kg2', 'Rb8'], ['Rb1', 'Bd6'], ['b4', 'Bxc5'], ['Bxc5', 'Bb7+\n'], ['Kh3', 'Ne4'], ['Qd3', 'Ng5+'], ['Kh4', 'Qh2+'], ['Kxg5', 'h6+']]",0-1
Honved,Budapest,1991.??.??,?,"Petrosian, Arshak B","Almasi, Zoltan",,,A13,"[['Nf3', 'Nf6'], ['c4', 'e6'], ['g3', 'd5'], ['Bg2', 'dxc4'], ['Qa4+', 'Nbd7'], ['Qxc4', 'c5'], ['Qb3', 'Be7'], ['Nc3', 'O-O\n'], ['d3', 'Bd6'], ['O-O', 'a6'], ['a4', 'Bc7'], ['Nd2', 'Rb8'], ['Nc4', 'b6'], ['Rd1', 'Qe7'], ['h3', 'Rd8'], ['Be3', 'Nf8\n'], ['Bd2', 'h6'], ['Be1', 'N8h7'], ['Ne3', 'Bb7'], ['Bxb7', 'Rxb7'], ['Qc4', 'Ra7'], ['d4', 'cxd4'], ['Rxd4', 'Rc8\n'], ['Rad1', 'Raa8'], ['Qb3', 'Rab8'], ['Nc4', 'e5'], ['Nd5', '']]",1/2-1/2
Honved,Budapest,1991.??.??,?,"Almasi, Zoltan","Farago, Sandor",,,B09,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['f4', 'Bg7'], ['Nf3', 'O-O'], ['Bd3', 'Nc6'], ['e5', 'dxe5'], ['fxe5', 'Nh5\n'], ['Be2', 'Bg4'], ['Be3', 'f6'], ['exf6', 'exf6'], ['Qd2', 'f5'], ['O-O-O', 'f4'], ['Bf2', 'Qd7'], ['d5', 'Bxf3\n'], ['gxf3', 'Ne5'], ['Ne4', 'Qa4'], ['Kb1', 'b6'], ['Ng5', 'Bf6'], ['Ne6', 'Rf7'], ['Bd4', 'c5'], ['Bxe5', 'Bxe5\n'], ['d6', 'Nf6'], ['Nc7', 'Rd8'], ['Bb5', 'Qd4'], ['Qxd4', 'cxd4'], ['Bc4', 'Rxd6'], ['Bxf7+', 'Kxf7'], ['Rhe1', 'Nd7\n'], ['Nb5', 'Rd5'], ['c4', 'Rc5'], ['Nxd4', 'Kf6'], ['Nb5', 'Nf8'], ['Rd5', 'Rxd5'], ['cxd5', 'a6'], ['Na3', 'Nd7\n'], ['Nc4', 'g5'], ['Nxe5', 'Nxe5'], ['d6', 'Nc6'], ['d7', 'g4'], ['fxg4', 'Kg5'], ['Re6', 'Nd8'], ['Re8', 'Nb7\n'], ['Rb8', '']]",1-0
Honved,Budapest,1991.??.??,?,"Almasi, Zoltan","Stern, Rene",,,C78,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'b5'], ['Bb3', 'Bb7'], ['c3', 'Nxe4'], ['d4', 'Na5\n'], ['Bc2', 'exd4'], ['Bxe4', 'Bxe4'], ['Re1', 'd5'], ['b4', 'Nc4'], ['Nxd4', 'c5'], ['bxc5', 'Bxc5'], ['f3', 'O-O\n'], ['fxe4', 'dxe4'], ['Kh1', 'Re8'], ['a3', 'e3'], ['Ra2', 'Re4'], ['Qf3', 'Qe7'], ['Nf5', 'Qe8'], ['Rae2', 'Rd8\n'], ['h3', 'Rd3'], ['Ng3', 'Re5'], ['Nh5', 'f6'], ['Nf4', 'Rd6'], ['Rf1', 'g5'], ['Nh5', 'f5'], ['Rfe1', 'Rh6\n'], ['Ng3', 'f4'], ['Nf1', 'Nd6'], ['Bxe3', 'fxe3'], ['Nxe3', 'Rhe6'], ['Ng4', 'Rxe2'], ['Rxe2', 'Kg7'], ['Re5', 'Qg6\n'], ['Rxc5', 'Qxb1+'], ['Kh2', 'Qc1'], ['Rc7+', 'Kg6'], ['Rc6', 'Qf4+'], ['Qxf4', 'gxf4'], ['Rxa6', 'Kf5\n'], ['a4', 'bxa4']]",1/2-1/2
Honved,Budapest,1991.??.??,?,"Almasi, Zoltan","Stefansson, Hannes",,,C95,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Nb8'], ['d4', 'Nbd7'], ['Nbd2', 'Bb7'], ['Bc2', 'Re8'], ['Nf1', 'Bf8'], ['Ng3', 'g6'], ['a4', 'c5\n'], ['d5', 'c4'], ['Bg5', 'h6'], ['Be3', 'Nc5'], ['Qd2', 'h5'], ['Ng5', 'Bh6'], ['Kh1', 'Qe7'], ['Nf1', 'Rab8\n'], ['axb5', 'axb5'], ['Nh2', 'Ra8'], ['Rab1', 'Ra2'], ['Qc1', 'Bc8'], ['Rf1', 'Bd7'], ['Qe1', 'Na4'], ['Bxa4', 'bxa4\n'], ['Ngf3', 'Bxe3'], ['Qxe3', 'Rb8'], ['Nd2', 'Raxb2'], ['Rxb2', 'Rxb2'], ['Nxc4', 'Rb3'], ['Nd2', 'Rb2\n'], ['Nc4', 'Rb3'], ['Nd2', 'Rb2'], ['Nc4', 'Rb7'], ['Ra1', 'Be8'], ['Nf3', 'Qc7'], ['Nfd2', 'Bb5'], ['Nb2', 'Qa5\n'], ['Ra3', 'Kg7'], ['Kh2', 'Qa6'], ['f4', 'exf4'], ['Qxf4', 'Re7'], ['c4', 'Be8'], ['Nd3', 'Qb6'], ['c5', 'dxc5\n'], ['Nc4', 'Qb1'], ['Nd6', 'c4'], ['Nc5', 'c3'], ['Rxc3', 'Qb2'], ['Nf5+', 'gxf5'], ['Qg5+', 'Kh7'], ['Qxf5+', 'Kg8\n'], ['Rg3+', 'Ng4+'], ['hxg4', '']]",1-0
