Great Britain,Great Britain,1844.??.??,?,Seligo,"Anderssen, Adolf",,,C26,"[['e4', 'e5'], ['Bc4', 'Nf6'], ['Nc3', 'Bc5'], ['h3', 'O-O'], ['a3', 'c6'], ['Nf3', 'd5'], ['exd5', 'cxd5'], ['Ba2', 'Nc6\n'], ['O-O', 'e4'], ['Nh2', 'Qd6'], ['d3', 'Qg3'], ['Ne2', 'Qg6'], ['Kh1', 'Nh5'], ['d4', 'Bd6'], ['f4', 'Be6'], ['Qe1', 'f5\n'], ['b3', 'Rf6'], ['c4', 'Qf7'], ['Be3', 'Rg6'], ['Qh4', 'Qf8'], ['Qxh5', 'Be7'], ['Nc3', 'Rg4'], ['hxg4', 'g6\n'], ['Qh3', 'fxg4'], ['Qg3', 'h5'], ['cxd5', 'h4'], ['Qe1', 'Bf5'], ['dxc6', '']]",1-0
Breslau m,Breslau,1846.??.??,?,"Von Heydebrand und der L, Tassilo","Anderssen, Adolf",,,C39,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['h4', 'g4'], ['Ne5', 'h5'], ['Bc4', 'Rh7'], ['d4', 'Qf6'], ['Nc3', 'Ne7\n'], ['O-O', 'Bh6'], ['g3', 'd6'], ['Nxf7', 'Rxf7'], ['Bxf7+', 'Qxf7'], ['Bxf4', 'Bxf4'], ['Rxf4', 'Qg7'], ['Qd3', 'Be6\n'], ['d5', 'Bg8'], ['Qb5+', 'Nd7'], ['Qxb7', 'Qd4+'], ['Kg2', 'Rb8'], ['Qxc7', 'Rxb2'], ['Rf2', 'Nc5'], ['Raf1', 'Nd7\n'], ['Re2', 'Ne5'], ['a4', 'Bh7'], ['Rd1', 'Qc4'], ['Qxc4', 'Nxc4'], ['Nb5', 'Ng6'], ['Nxa7', 'Ra2'], ['Rb1', 'Rxa4\n'], ['Rb8+', 'Kf7'], ['Rb7+', 'Kg8'], ['Kf2', 'Nge5'], ['Nc6', 'Ra3'], ['Rb8+', 'Kg7'], ['Rb7+', 'Kh6'], ['Nxe5', 'dxe5\n'], ['Rb4', 'Nd6'], ['Rb6', 'Rf3+'], ['Ke1', 'Rf6'], ['c4', 'Kg7'], ['c5', 'Nxe4'], ['c6', 'Rf7'], ['Rb4', 'Nd6\n'], ['Rxe5', 'Bf5'], ['Ke2', 'Kf6'], ['Re3', 'Re7'], ['Rxe7', 'Kxe7'], ['Ke3', '']]",1-0
Breslau m,Breslau,1846.??.??,?,"Anderssen, Adolf","Von Heydebrand und der L, Tassilo",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['O-O', 'gxf3'], ['Qxf3', 'Qf6'], ['e5', 'Qxe5'], ['d3', 'Bh6\n'], ['Bd2', 'Ne7'], ['Nc3', 'c6'], ['Rae1', 'Qc5+'], ['Kh1', 'd5'], ['Qh5', 'Qd6'], ['Bxd5', 'cxd5'], ['Nxd5', 'Nc6\n'], ['Rxe7+', 'Nxe7'], ['Re1', 'O-O'], ['Nxe7+', 'Kh8'], ['Nd5', 'Qg6'], ['Qh4', 'Be6'], ['Bc3+', 'Bg7'], ['Nf6', 'Rac8\n'], ['Nxh7', 'Qxh7'], ['Bxg7+', 'Kxg7'], ['Qxf4', 'Qf5'], ['Qg3+', 'Qg4'], ['Qe5+', 'f6'], ['Qd6', 'Rxc2']]",0-1
Breslau m,Breslau,1846.??.??,?,"Von Heydebrand und der L, Tassilo","Anderssen, Adolf",,,B44,"[['e4', 'c5'], ['d4', 'cxd4'], ['Nf3', 'Nc6'], ['Bc4', 'e6'], ['Nxd4', 'Bc5'], ['Nf3', 'Nge7'], ['Nc3', 'O-O'], ['a3', 'Ng6\n'], ['O-O', 'f5'], ['exf5', 'Rxf5'], ['Bd3', 'Rh5'], ['g4', 'Rh3'], ['Kg2', 'Rxf3'], ['Kxf3', 'Qh4'], ['Kg2', 'Nce5\n'], ['h3', 'b6'], ['Bxg6', 'hxg6'], ['Bf4', 'Bb7+'], ['f3', 'Nxf3'], ['Rxf3', 'Qf2+']]",0-1
Breslau m,Breslau,1846.??.??,?,"Anderssen, Adolf","Von Heydebrand und der L, Tassilo",,,B01,"[['e4', 'd5'], ['exd5', 'Nf6'], ['Nf3', 'Bg4'], ['Be2', 'Nxd5'], ['O-O', 'e6'], ['d4', 'c5'], ['Ne5', 'Bxe2'], ['Qxe2', 'cxd4\n'], ['Re1', 'Bd6'], ['Qb5+', 'Nd7'], ['Nc4', 'Bc5'], ['Qxb7', 'O-O'], ['Qb3', 'Qc7'], ['Nba3', 'Rab8'], ['Qh3', 'e5\n'], ['Qg3', 'f6'], ['Bh6', 'Rf7'], ['Rad1', 'Bxa3'], ['Nxa3', 'Rxb2'], ['Bc1', 'Rb8'], ['c4', 'Ne7'], ['Nb5', 'Qc6\n'], ['Ba3', 'Nf5'], ['Qh3', 'Qxc4'], ['Qxf5', 'Rxb5'], ['Rc1', 'Qd5'], ['Rc8+', 'Nf8'], ['Rec1', 'Qb7'], ['Bxf8', '']]",1-0
Breslau m,Breslau,1848.??.??,1,"Anderssen, Adolf","Harrwitz, Daniel",,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['e5', 'd5'], ['Bb5', 'Ne4'], ['cxd4', 'Bb4+\n'], ['Bd2', 'Bxd2+'], ['Nbxd2', 'O-O'], ['Bxc6', 'bxc6'], ['O-O', 'f5'], ['Rc1', 'Qe8'], ['Qc2', 'Rb8'], ['Nb3', 'Rb6\n'], ['Nfd2', 'Qh5'], ['f3', 'Nxd2'], ['Qxd2', 'f4'], ['Nc5', 'Qg6'], ['Rfe1', 'Be6'], ['Rc3', 'Qe8'], ['Ra3', 'Bf5\n'], ['b3', 'a6'], ['Rxa6', 'Rxa6'], ['Nxa6', 'Qc8'], ['Nc5', 'Be6'], ['a4', 'g5'], ['a5', 'Re8'], ['a6', 'Qb8\n'], ['Ra1', 'Qa7'], ['Qb4', 'Kf7'], ['Qb7', 'Qb6'], ['a7', 'Qxb7'], ['Nxb7', 'Ra8'], ['Nd8+', 'Ke7'], ['Nxe6', 'Kxe6\n'], ['b4', '']]",1-0
Breslau m,Breslau,1848.??.??,2,"Harrwitz, Daniel","Anderssen, Adolf",,,C33,"[['e4', 'e5'], ['f4', 'exf4'], ['Bc4', 'Qh4+'], ['Kf1', 'Bc5'], ['d4', 'Bb6'], ['Nf3', 'Qe7'], ['Nc3', 'Nf6'], ['e5', 'Nh5\n'], ['Nd5', 'Qd8'], ['g4', 'fxg3'], ['Bg5', 'f6'], ['exf6', 'gxf6'], ['Ne5', 'O-O'], ['Qxh5', 'fxg5+'], ['Nf6+', 'Kg7\n'], ['Qxh7+', 'Kxf6'], ['Ng4+', '']]",1-0
Breslau m,Breslau,1848.??.??,3,"Anderssen, Adolf","Harrwitz, Daniel",,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['c4', 'Nf6'], ['Be2', 'Nc6'], ['Nf3', 'Be7'], ['O-O', 'O-O'], ['h3', 'b6\n'], ['Nc3', 'Be6'], ['b3', 'Bb4'], ['Bb2', 'Bxc3'], ['Bxc3', 'Ne4'], ['Rc1', 'Rc8'], ['Ba1', 'Ne7'], ['cxd5', 'Bxd5\n'], ['Ba6', 'Rb8'], ['Re1', 'Ng6'], ['Nd2', 'Nxd2'], ['Qxd2', 'b5'], ['a4', 'bxa4'], ['bxa4', 'Nh4'], ['Bf1', 'Rb6\n'], ['Rc3', 'Rg6'], ['Rg3', 'Rxg3'], ['fxg3', 'Nf5'], ['Bd3', 'Nxg3'], ['Qa5', 'c6'], ['Qxa7', 'Qg5'], ['Qe7', 'Qd2\n'], ['Bxh7+', 'Kh8'], ['Re4', 'Bxe4'], ['Bxe4', 'Qe1+'], ['Kh2', 'Nf1+'], ['Kg1', 'Rg8'], ['Qg5', 'Qxe4\n'], ['Qh5+', 'Qh7'], ['Qxh7+', 'Kxh7'], ['Kxf1', 'Ra8'], ['Bc3', 'Rxa4'], ['Ke2', 'Kg6'], ['g3', 'Kf5'], ['Kd3', 'g6\n'], ['Bd2', 'Ra3+'], ['Bc3', 'g5'], ['Kc4', 'Ke4'], ['Kb4', 'Ra8'], ['Kc5', 'Kf3'], ['h4', 'gxh4'], ['gxh4', 'Kg4\n'], ['Be1', 'Re8'], ['Ba5', 'Re6'], ['Bc7', 'f5'], ['Bd6', 'f4'], ['Kxc6', 'f3'], ['d5', 'Rxd6+']]",0-1
Breslau m,Breslau,1848.??.??,4,"Harrwitz, Daniel","Anderssen, Adolf",,,C33,"[['e4', 'e5'], ['f4', 'exf4'], ['Bc4', 'Qh4+'], ['Kf1', 'g5'], ['Nc3', 'Bg7'], ['d4', 'Ne7'], ['Nf3', 'Qh5'], ['e5', 'g4\n'], ['Ng1', 'f3'], ['gxf3', 'gxf3'], ['Qxf3', 'Qxf3+'], ['Nxf3', 'b6'], ['Rg1', 'Bf8'], ['Ng5', 'Ba6'], ['Bxa6', 'Nxa6\n'], ['Nce4', 'Ng8'], ['Nxh7', 'Rxh7'], ['Rxg8', 'O-O-O'], ['Bg5', 'Be7'], ['Rxd8+', 'Bxd8'], ['Bxd8', 'Kxd8\n'], ['Kg2', 'Rh4'], ['Re1', 'Nb4'], ['c3', 'Nd3'], ['Re2', 'Ke7'], ['Kg3', 'Rh8'], ['h4', 'c5'], ['Rd2', 'c4\n'], ['b3', 'Rg8+'], ['Ng5', 'b5'], ['Rd1', 'd6'], ['exd6+', 'Kxd6'], ['Rf1', 'b4'], ['Kf3', 'Rxg5'], ['hxg5', 'bxc3\n'], ['Ke3', 'c2'], ['Kd2', 'c1=Q+'], ['Rxc1', 'Nxc1'], ['Kxc1', 'cxb3'], ['a4', 'a5'], ['Kb2', 'Kd5'], ['Kc3', 'b2\n'], ['Kxb2', 'Kxd4'], ['Kb3', 'Kd3'], ['Kb2', 'Kc4'], ['Kc2', 'Kb4'], ['Kb2', 'Kxa4'], ['Kc3', 'Kb5'], ['Kb3', 'Kc5\n'], ['Ka4', 'Kd5']]",0-1
Breslau m,Breslau,1848.??.??,5,"Anderssen, Adolf","Harrwitz, Daniel",,,D40,"[['d4', 'd5'], ['c4', 'e6'], ['e3', 'c5'], ['Nc3', 'Nf6'], ['Nf3', 'Nc6'], ['a3', 'a6'], ['b3', 'b6'], ['Bb2', 'cxd4'], ['exd4', 'Bd6\n'], ['Bd3', 'Bb7'], ['Rc1', 'Ne7'], ['Ne2', 'dxc4'], ['bxc4', 'Bxf3'], ['gxf3', 'O-O'], ['h4', 'Nh5'], ['Qd2', 'Ng6\n'], ['Kf1', 'f5'], ['Qe3', 'Ngf4'], ['Bb1', 'Qe7'], ['c5', 'bxc5'], ['dxc5', 'Bc7'], ['Nd4', 'Kh8'], ['Nxf5', 'Rxf5\n'], ['Bxf5', 'Qd7'], ['Bxe6', 'Qxe6'], ['Qxe6', 'Nxe6'], ['Rg1', 'Rb8'], ['Rc2', 'Nhf4'], ['Rd2', 'Ba5'], ['Rc2', 'h5\n'], ['Bc1', 'Rb1'], ['Rg5', 'Nxg5'], ['hxg5', 'Nd3'], ['Ke2', 'Rxc1']]",0-1
Breslau m,Breslau,1848.??.??,6,"Harrwitz, Daniel","Anderssen, Adolf",,,C33,"[['e4', 'e5'], ['f4', 'exf4'], ['Bc4', 'Qh4+'], ['Kf1', 'g5'], ['d4', 'Bg7'], ['Nc3', 'Ne7'], ['Nf3', 'Qh5'], ['e5', 'f6\n'], ['Ne4', 'Rf8'], ['Kg1', 'g4'], ['exf6', 'Bxf6'], ['Nxf6+', 'Rxf6'], ['Ne5', 'd5'], ['Be2', 'f3'], ['gxf3', 'gxf3\n'], ['Bxf3', 'Qh4'], ['Be3', 'Nbc6'], ['Bf2', 'Qf4'], ['Bh5+', 'Kf8'], ['Nd3', 'Qg5+'], ['Bg3', 'Nxd4'], ['Nf2', 'Nef5\n'], ['Qg4', 'Qe3'], ['Bf4', 'Ne2+'], ['Qxe2', 'Qxf4'], ['Re1', 'Be6'], ['Qg4', 'Qd6'], ['Qg5', 'Bf7'], ['Bxf7', 'Rxf7\n'], ['Kf1', 'Qa6+'], ['Nd3', 'Qc4'], ['Rg1', 'Nh4+'], ['Ke2', 'Qxc2+'], ['Ke3', 'Rf3+']]",0-1
