EU-ch U20 final-A,Groningen,1969.??.??,1,"Turunen, Erkki O","Andersson, Ulf",,,E69,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['d4', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd6'], ['Nf3', 'Nbd7'], ['O-O', 'e5'], ['e4', 'Re8\n'], ['Rb1', 'c6'], ['h3', 'exd4'], ['Nxd4', 'Nb6'], ['b3', 'd5'], ['exd5', 'cxd5'], ['c5', 'Ne4'], ['Nxe4', 'dxe4\n'], ['Nb5', 'Nd7'], ['Nd6', 'Re6'], ['Nxe4', 'Qc7'], ['Bf4', 'Be5'], ['Bxe5', 'Nxe5'], ['Qd4', 'Qe7'], ['Rfe1', 'Bd7\n'], ['f4', 'Nc6'], ['Nf6+', 'Qxf6'], ['Qxd7', 'Qf5'], ['Qd5', 'Qc2'], ['Rbc1', 'Rxe1+'], ['Rxe1', 'Rd8'], ['Qc4', 'Qxa2\n'], ['Bd5', 'Qd2'], ['Bxf7+', 'Kg7'], ['Re2', 'Qd1+'], ['Kg2', 'Rd3'], ['Rf2', 'Rd4'], ['Qe6', 'Qd3'], ['Bg8', 'Rd7\n'], ['Kh2', '']]",0-1
EU-ch U20 prel,Groningen,1969.??.??,1,"Andersson, Ulf","Ligterink, Gert",,,D02,"[['Nf3', 'd5'], ['g3', 'Bg4'], ['Bg2', 'Nd7'], ['d4', 'c6'], ['O-O', 'Ngf6'], ['Nbd2', 'e6'], ['b3', 'Be7'], ['Bb2', 'O-O\n'], ['Re1', 'c5'], ['c4', 'cxd4'], ['Nxd4', 'e5'], ['h3', 'Be6'], ['cxd5', 'Bxd5'], ['e4', 'Be6'], ['Nf5', 'Bc5']]",1/2-1/2
EU-ch U20 prel,Groningen,1969.??.??,2,"Bohm, Hans","Andersson, Ulf",,,E81,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['e4', 'd6'], ['d4', 'Bg7'], ['f3', 'O-O'], ['Be3', 'Nbd7'], ['Bd3', 'c5'], ['d5', 'a6'], ['Nge2', 'Ne5\n'], ['O-O', 'e6'], ['a4', 'exd5'], ['cxd5', 'b6'], ['h3', 'Re8'], ['b3', 'Nxd3'], ['Qxd3', 'Rb8'], ['Ra2', 'Qe7\n'], ['Bg5', 'Qf8'], ['g4', 'h6'], ['Bh4', 'Nh7'], ['Kh1', 'Ra8'], ['Re1', 'Bd7'], ['f4', 'b5'], ['axb5', 'axb5\n'], ['Rxa8', 'Rxa8'], ['Bg3', 'b4'], ['Nb1', 'Ra1'], ['e5', 'Qa8'], ['Ng1', 'dxe5'], ['fxe5', 'Be6'], ['Rd1', 'Qxd5+\n'], ['Qxd5', 'Bxd5+'], ['Rxd5', 'Rxb1'], ['Rxc5', 'Rxb3'], ['Be1', 'Ng5'], ['h4', 'Ne6'], ['Rc8+', 'Bf8\n'], ['Bd2', 'Kg7'], ['Rb8', 'Bc5'], ['g5', 'hxg5'], ['Bxg5', 'Nxg5'], ['hxg5', '']]",0-1
EU-ch U20 final-A,Groningen,1969.??.??,2,"Ghizdavu, Dumitru","Andersson, Ulf",,,C84,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['d4', 'exd4'], ['O-O', 'Be7'], ['Re1', 'b5'], ['e5', 'Nxe5\n'], ['Rxe5', 'bxa4'], ['Nxd4', 'O-O'], ['Nf5', 'Re8'], ['Bg5', 'd6'], ['Nxe7+', 'Rxe7'], ['Bxf6', 'gxf6'], ['Rh5', 'Re5\n'], ['Nc3', 'Bb7'], ['Rh4', 'Qe8'], ['f4', 'Re3'], ['Kf2', 'Re6'], ['Qg4+', 'Kf8'], ['Rxh7', 'Ke7'], ['Qxe6+', 'Kxe6\n'], ['Re1+', 'Kd7'], ['Rxe8', 'Kxe8'], ['Rh8+', 'Ke7'], ['Rxa8', 'Bxa8'], ['Nxa4', 'f5'], ['c4', 'c5'], ['h4', 'Kf6\n'], ['Nc3', 'Bb7'], ['Nd5+', 'Ke6'], ['Nc3', 'f6'], ['g3', 'Bc6'], ['Ke3', 'Bb7'], ['b3', 'Bg2'], ['a3', 'a5\n'], ['Ke2', 'Bc6'], ['Kd3', 'Kf7'], ['Nd5', 'Ke6'], ['Kc3', 'Bd7'], ['b4', 'axb4+'], ['axb4', '']]",1-0
EU-ch U20 prel,Groningen,1969.??.??,3,"Andersson, Ulf","Schaufelberger, Heinz",,,E66,"[['d4', 'Nf6'], ['c4', 'd6'], ['Nf3', 'g6'], ['Nc3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'Nc6'], ['O-O', 'a6'], ['d5', 'Na5\n'], ['Nd2', 'c5'], ['Qc2', 'e5'], ['b3', 'Ng4'], ['e4', 'f5'], ['exf5', 'gxf5'], ['Bb2', 'Bd7'], ['Rae1', 'b5\n'], ['f3', 'Nh6'], ['f4', 'Nf7'], ['Nd1', 'Rb8'], ['Bc3', 'h5'], ['Ne3', 'b4'], ['Bb2', 'e4'], ['Bxg7', 'Kxg7\n'], ['h3', 'Rh8'], ['Qb2+', 'Kg8'], ['Kh2', 'Rh6'], ['Rf2', 'Nb7'], ['Rfe2', 'a5'], ['a3', 'bxa3'], ['Qxa3', 'Qf6\n'], ['h4', 'Rh7'], ['Qa1', 'Qg6'], ['Bh3', 'Nh6'], ['Nb1', 'Rg7'], ['Rg2', 'Nd8'], ['Qxa5', 'Ndf7'], ['Nd2', 'Nh8\n'], ['Qc3', 'Qf7'], ['Rb1', 'Kh7'], ['b4', 'cxb4'], ['Rxb4', 'Rbg8'], ['Rb7', 'Qe8'], ['Qf6', '']]",1-0
EU-ch U20 final-A,Groningen,1969.??.??,3,"Andersson, Ulf","Webb, Simon",,,B24,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['d3', 'e6'], ['Nge2', 'Nge7'], ['Be3', 'Nd4'], ['O-O', 'O-O\n'], ['Qd2', 'Qa5'], ['Rae1', 'd6'], ['Nxd4', 'cxd4'], ['Nd5', 'Qd8'], ['Nxe7+', 'Qxe7'], ['Bh6', 'e5'], ['Bxg7', 'Kxg7\n'], ['f4', 'f6'], ['c3', 'dxc3'], ['bxc3', 'b6'], ['d4', 'Ba6'], ['Rf3', 'Rac8'], ['Bf1', 'Bb7'], ['Rd3', 'Rc7\n'], ['c4', 'Kh8'], ['dxe5', 'dxe5'], ['Rd6', 'Bc8']]",1/2-1/2
EU-ch U20 prel,Groningen,1969.??.??,4,"Andersson, Ulf","Webb, Simon",,,A05,"[['Nf3', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'O-O'], ['d3', 'd6'], ['e4', 'e5'], ['Nbd2', 'Nbd7'], ['c3', 'd5\n'], ['exd5', 'Nxd5'], ['Re1', 'Re8'], ['Ne4', 'h6'], ['a4', 'a5'], ['Nfd2', 'N5b6'], ['Nb3', 'Kh7'], ['Be3', 'f5\n'], ['Nec5', 'Nxc5'], ['Nxc5', 'Nd5'], ['Bd2', 'Qd6'], ['d4', 'b6'], ['Nd3', 'e4'], ['f3', 'Bb7'], ['fxe4', 'fxe4\n'], ['Bxe4', 'Nxc3'], ['bxc3', 'Bxe4'], ['Bf4', 'Qc6'], ['Ne5', 'Bxe5'], ['Bxe5', '']]",1/2-1/2
EU-ch U20 final-A,Groningen,1969.??.??,4,"Lombard, Andre","Andersson, Ulf",,,C91,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['d4', 'd6\n'], ['c3', 'Bg4'], ['Be3', 'd5'], ['exd5', 'Nxd5'], ['dxe5', 'Nxe3'], ['Rxe3', 'Bc5'], ['Re1', 'Qe7'], ['Nbd2', 'Rad8\n'], ['Qb1', 'Na5'], ['Bd1', 'Bb6'], ['Qe4', 'Bh5'], ['Qf4', 'Bg6'], ['h4', 'f6'], ['e6', 'c5'], ['h5', 'Bxh5\n'], ['Nh4', 'Bg6'], ['Nxg6', 'hxg6'], ['Bc2', 'f5'], ['Rad1', 'g5'], ['Qg3', 'Rd6'], ['Nf3', 'Rxd1'], ['Bxd1', 'g4\n'], ['Nh4', 'Qf6'], ['Qd6', 'Bd8'], ['g3', 'Be7'], ['Qxa6', 'f4'], ['Ng2', 'fxg3'], ['fxg3', 'Qf2+'], ['Kh2', 'Nc4\n'], ['Re2', 'Qf6'], ['Nf4', 'Rd8'], ['Bc2', 'Ne5'], ['Qxb5', 'Nf3+'], ['Kg2', 'Qh6'], ['Kf2', 'Qh2+'], ['Ke3', 'Qxg3\n'], ['Rg2', 'Qe1+'], ['Qe2', 'Qc1+'], ['Ke4', 'Ng5+'], ['Ke5', 'Bd6+'], ['Kd5', 'Qxf4'], ['Rxg4', 'Bc7+\n'], ['Kc6', 'Qd6+']]",0-1
EU-ch U20 prel,Groningen,1969.??.??,5,"Vaganian, Rafael A","Andersson, Ulf",,,E69,"[['d4', 'Nf6'], ['c4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['Nc3', 'd6'], ['Nf3', 'Nbd7'], ['O-O', 'e5'], ['e4', 'c6\n'], ['h3', 'Qb6'], ['Re1', 'exd4'], ['Nxd4', 'Ng4'], ['Nce2', 'Nge5'], ['b3', 'Nc5'], ['Be3', 'Re8'], ['Nc3', 'a5\n'], ['Rb1', 'Qc7'], ['Qc2', 'h5'], ['Rbd1', 'Qe7'], ['Re2', 'Qf6'], ['Red2', 'a4'], ['f4', 'axb3'], ['axb3', 'Ned7\n'], ['Nde2', 'Bf8'], ['Bd4', 'Qe7'], ['b4', 'Na6'], ['Na2', 'Nf6'], ['Nec3', 'Nc7'], ['Bb6', 'Ra6'], ['Bf2', 'Qe6\n'], ['b5', 'cxb5'], ['cxb5', 'Ra8'], ['Bb6', 'Qd7'], ['e5', 'Nh7'], ['Qb1', 'd5'], ['Nxd5', 'Nxd5'], ['Bxd5', 'Qf5\n'], ['Qxf5', 'gxf5'], ['Nc1', 'Ra3'], ['Rd3', 'Ra4'], ['Ne2', 'Bh6'], ['Bf3', '']]",1-0
EU-ch U20 final-A,Groningen,1969.??.??,5,"Andersson, Ulf","Atanasov, Petko",,,A23,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['g3', 'c6'], ['Bg2', 'd5'], ['cxd5', 'cxd5'], ['Nf3', 'Nc6'], ['d3', 'h6'], ['O-O', 'Be7\n'], ['a3', 'O-O'], ['b4', 'a6'], ['Bb2', 'Be6'], ['Rc1', 'e4'], ['Ne1', 'e3'], ['f3', 'd4'], ['Ne4', 'Rc8'], ['Nc5', 'Bxc5\n'], ['Rxc5', 'Qd6'], ['f4', 'a5'], ['f5', 'axb4'], ['axb4', 'Bd5'], ['Bxd5', 'Nxd5'], ['Qb3', 'Rfd8'], ['Nf3', 'Ncxb4\n'], ['Rb5', 'Rc3'], ['Bxc3', 'dxc3'], ['Nd4', 'Nc6'], ['Nc2', 'h5'], ['Qc4', 'Ne5'], ['Qc5', 'Qd7'], ['Nb4', 'Nxb4\n'], ['Qxe5', 'Nd5'], ['Rc5', 'b6'], ['Rc4', 'b5'], ['Rh4', 'b4'], ['f6', 'Qd6'], ['Qxh5', '']]",1-0
