Belfort op,Belfort,1992.??.??,2,"Bacrot, Etienne","Lecuyer, Christian",,,E25,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['f3', 'd5'], ['a3', 'Bxc3+'], ['bxc3', 'c5'], ['cxd5', 'Nxd5'], ['dxc5', 'Qa5\n'], ['e4', 'Ne7'], ['Be3', 'O-O'], ['Qb3', 'Qc7'], ['Nh3', 'Nec6'], ['Nf2', 'Na5'], ['Qc2', 'e5'], ['Be2', 'Be6\n'], ['O-O', 'Nd7'], ['Nd3', 'Nb3'], ['Rab1', 'Nbxc5'], ['Rfd1', 'Rfc8'], ['Nb4', 'a6'], ['c4', 'Qa5'], ['Qa2', 'b5\n'], ['Nd5', 'Bxd5'], ['Rxd5', 'Rab8'], ['cxb5', 'axb5'], ['Qa1', 'Rb7'], ['h3', 'h6'], ['Kh2', 'Kh7'], ['Bxc5', 'Rxc5\n'], ['Rxc5', 'Nxc5'], ['Qxe5', 'Qxa3'], ['Rxb5', 'Rxb5'], ['Bxb5', 'Ne6'], ['Bc4', 'Qe7'], ['f4', 'Kg8'], ['Bxe6', 'fxe6\n'], ['f5', 'Kf7'], ['Qxe6+', 'Qxe6'], ['fxe6+', 'Kxe6'], ['Kg3', 'Ke5'], ['Kf3', 'g5'], ['Ke3', 'h5'], ['g3', 'h4\n'], ['gxh4', 'gxh4'], ['Kf3', '']]",0-1
Belfort op,Belfort,1992.??.??,5,"Bacrot, Etienne","Zawadski, Stephane",,,D94,"[['d4', 'd5'], ['c4', 'c6'], ['e3', 'Nf6'], ['Nc3', 'g6'], ['Bd3', 'Bg7'], ['Nf3', 'O-O'], ['O-O', 'Bf5'], ['Bxf5', 'gxf5\n'], ['cxd5', 'Nxd5'], ['Qb3', 'Nb6'], ['Bd2', 'N8d7'], ['Rfe1', 'Nf6'], ['Rad1', 'Qc7'], ['Qc2', 'e6'], ['e4', 'fxe4\n'], ['Nxe4', 'Nbd5'], ['Nfg5', 'Rad8'], ['Re3', 'h6'], ['Nxf6+', 'Nxf6'], ['Ne4', 'Qf4'], ['Nxf6+', 'Qxf6\n'], ['Bc3', 'Rd5'], ['Rg3', 'Kh8'], ['Rdd3', 'Qf5'], ['Qd1', 'Rg8'], ['Rdf3', 'Qh5'], ['Rh3', 'Qg6'], ['Rhg3', 'Qh5\n'], ['Rh3', 'Qg6'], ['Rhg3', 'Qxg3']]",1/2-1/2
Belfort op,Belfort,1992.??.??,7,"Bacrot, Etienne","Stefanski, Pascal",,,E90,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['h3', 'O-O'], ['Be3', 'e5'], ['Nf3', 'Nbd7'], ['dxe5', 'dxe5\n'], ['Be2', 'c6'], ['O-O', 'Qe7'], ['Qc2', 'Nh5'], ['Rfd1', 'Nf4'], ['Bf1', 'f5'], ['exf5', 'Rxf5'], ['Nd2', 'Nf6\n'], ['g3', 'Ne8'], ['Nde4', 'Ne6'], ['c5', 'Nd4'], ['Bxd4', 'exd4'], ['Ne2', 'Rd5'], ['Nf4', 'Bf5'], ['Nxd5', 'cxd5\n'], ['Qb3', 'Bxe4'], ['Re1', 'Qf7'], ['Rxe4', '']]",1-0
Belfort op,Belfort,1992.??.??,8,"Pachow, Joerg","Bacrot, Etienne",,,B01,"[['e4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qa5'], ['Nf3', 'Nf6'], ['d4', 'Nc6'], ['Bb5', 'Nd5'], ['Bd2', 'Nxc3'], ['Bxc6+', 'bxc6\n'], ['Bxc3', 'Qd5'], ['O-O', 'Bg4'], ['Re1', 'Bxf3'], ['Qxf3', 'Qxf3'], ['gxf3', 'O-O-O'], ['Bb4', 'e6'], ['Bxf8', 'Rhxf8\n'], ['Re4', 'Rd5'], ['c3', 'Rfd8'], ['Rae1', 'a6'], ['Kg2', 'R8d7'], ['Re5', 'Rxe5'], ['Rxe5', 'Rd5'], ['f4', 'Kd7\n'], ['Kf3', 'Kd6'], ['Ke3', 'f6'], ['Rxd5+', 'cxd5'], ['Kd3', 'g5'], ['fxg5', 'fxg5'], ['b4', 'e5'], ['dxe5+', 'Kxe5\n'], ['c4', 'dxc4+'], ['Kxc4', 'Kf4'], ['b5', 'axb5+'], ['Kxb5', 'Kf3'], ['a4', '']]",1-0
Wch U10,Duisburg,1992.??.??,1,"Bacrot, Etienne","Mastrovasilis, Dimitrios",,,E85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'e5'], ['Nge2', 'Nc6'], ['d5', 'Ne7\n'], ['Qc2', 'a6'], ['g4', 'Rb8'], ['Ng3', 'Bd7'], ['Bd3', 'b5'], ['c5', 'b4'], ['Nce2', 'dxc5'], ['Bxc5', 'Bb5\n'], ['Bxb5', 'Rxb5'], ['Bxb4', 'Ne8'], ['Bc3', 'Nd6'], ['b3', 'Qc8'], ['Rc1', 'Kh8'], ['Qb2', 'f6'], ['Bd2', 'Rg8\n'], ['Qc2', 'Rb7'], ['Qd3', 'Qa8'], ['Ba5', 'Qa7'], ['Bd2', 'Rf8'], ['Be3', 'Qb8'], ['Nc3', 'f5'], ['gxf5', 'gxf5\n'], ['Nh5', 'f4'], ['Nxg7', 'fxe3'], ['Ne6', 'Rxf3'], ['Qe2', 'Rh3'], ['Qg2', 'Ng6'], ['Qxh3', 'Nf4'], ['Nxf4', 'exf4\n'], ['O-O', 'Qg8+'], ['Qg2', 'Qf7'], ['Ne2', '']]",1-0
Wch U10,Duisburg,1992.??.??,2,"Kuliev, S.","Bacrot, Etienne",,,A87,"[['d4', 'f5'], ['c4', 'Nf6'], ['Nf3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['O-O', 'd6'], ['Nc3', 'Qe8'], ['Bf4', 'c6\n'], ['d5', 'Na6'], ['Nd4', 'Bd7'], ['e4', 'fxe4'], ['Nxe4', 'Nxe4'], ['Bxe4', 'Nc5'], ['Bg2', 'Na4'], ['Qxa4', 'Bxd4\n'], ['Qc2', 'e5'], ['Rae1', 'Qd8'], ['Bh6', 'Rf7'], ['b4', 'c5'], ['a3', 'Rc8'], ['b5', 'Qa5'], ['Be4', 'Rxf2\n'], ['Qxf2', 'Bxf2+'], ['Kxf2', 'Qc3'], ['Rc1', 'Qd4+'], ['Kf3', 'g5'], ['g4', 'Qd2'], ['Rce1', 'Qf4+'], ['Kg2', 'Qxg4+\n'], ['Kh1', 'Qh4'], ['Rf6', 'Qxe1+']]",0-1
Wch U10,Duisburg,1992.??.??,3,"Bacrot, Etienne","McShane, Luke J",,,E81,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'c5'], ['dxc5', 'dxc5'], ['Bxc5', 'Nc6\n'], ['Qxd8', 'Rxd8'], ['Nge2', 'Nd7'], ['Ba3', 'Nde5'], ['Nf4', 'e6'], ['Rd1', 'Rxd1+'], ['Kxd1', 'b6'], ['Nb5', 'Ba6\n'], ['Kc2', 'Rc8'], ['Kb1', 'Bh6'], ['Nh3', 'Bxb5'], ['cxb5', 'Nd4'], ['b3', 'Be3'], ['f4', 'Ng4'], ['Bc4', 'Nf6\n'], ['Bb4', 'a5'], ['bxa6', 'Nc6'], ['Re1', 'Bxf4'], ['Nxf4', 'Nxb4'], ['Nxe6', 'b5'], ['a7', 'Ra8'], ['Nc7', 'Rxa7\n'], ['Nxb5', 'Rxa2'], ['e5', 'Nh5'], ['Nd6', 'Rxg2'], ['Bxf7+', 'Kf8'], ['e6', 'Nd5'], ['Re5', 'Nhf6'], ['b4', 'Nc3+\n'], ['Kc1', 'Nfd5'], ['b5', 'Nb4'], ['e7+', 'Kg7']]",0-1
Wch U10,Duisburg,1992.??.??,4,"Metreveli, S.","Bacrot, Etienne",,,B01,"[['e4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qa5'], ['Nf3', 'Nf6'], ['d4', 'Nc6'], ['Bb5', 'Nd5'], ['Bd2', 'Nxc3'], ['Bxc6+', 'bxc6\n'], ['Bxc3', 'Qd5'], ['O-O', 'Bg4'], ['Re1', 'Bxf3'], ['Qxf3', 'Qxf3'], ['gxf3', 'e6'], ['f4', 'O-O-O'], ['Re5', 'Rd5\n'], ['Rxd5', 'cxd5'], ['Bd2', 'Bd6'], ['Re1', 'Kd7'], ['b3', 'Rb8'], ['Kg2', 'Rb6'], ['Kf3', 'h5'], ['Rg1', 'g6\n'], ['a4', 'Ke7'], ['Ke2', 'Kd7'], ['h3', 'c5'], ['dxc5', 'Bxc5'], ['Be3', 'Kd6'], ['Bxc5+', 'Kxc5'], ['Kd3', 'Rb4\n'], ['Ke3', 'Re4+'], ['Kf3', 'Kb4'], ['Ra1', 'Kc3'], ['Ra2', 'a5'], ['Kg3', 'f6'], ['Kf3', 'g5'], ['fxg5', 'fxg5\n'], ['Kg3', 'Re1'], ['Kf3', 'e5'], ['Kg3', 'd4'], ['Kf3', 'e4+'], ['Kg3', 'd3'], ['cxd3', 'exd3']]",0-1
Wch U10,Duisburg,1992.??.??,5,"Bacrot, Etienne","Vallejo Pons, Francisco",,,A89,"[['d4', 'f5'], ['Nf3', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['c4', 'O-O'], ['O-O', 'd6'], ['Nc3', 'Nc6'], ['d5', 'Ne5\n'], ['Nxe5', 'dxe5'], ['e4', 'f4'], ['b3', 'g5'], ['Qe2', 'a6'], ['Bd2', 'Qe8'], ['Rac1', 'Qg6'], ['c5', 'Qh6\n'], ['f3', 'fxg3'], ['hxg3', 'Nh5'], ['Qf2', 'Qg6'], ['Be3', 'g4'], ['f4', 'exf4'], ['gxf4', 'g3'], ['Qd2', 'Nf6\n'], ['e5', 'Ng4'], ['Rf3', 'Nh2'], ['d6', 'Nxf3+'], ['Bxf3', 'cxd6'], ['Nd5', 'Rf7'], ['cxd6', 'Bg4'], ['Bxg4', 'Qxg4\n'], ['Nxe7+', 'Kh8'], ['d7', 'Rff8'], ['Rc8', 'Raxc8'], ['dxc8=Q', 'Rxc8'], ['Nxc8', 'Qxc8'], ['Kg2', 'h5\n'], ['Kxg3', 'Qg4+'], ['Kh2', 'Qh4+'], ['Kg1', 'Qg3+'], ['Kf1', 'Qf3+'], ['Qf2', 'Qh1+'], ['Ke2', 'Qb1'], ['Kf3', 'Qf5\n'], ['Ke2', 'Kh7'], ['Qf3', 'b5'], ['Bd2', 'h4'], ['Be1', 'h3'], ['Kf2', 'Bh6'], ['Qb7+', 'Kg6'], ['Qc6+', 'Kh5\n'], ['Qf3+', 'Kg6'], ['Qc6+', 'Kh7'], ['Qb7+', 'Bg7'], ['Qf3', 'h2'], ['Kg2', '']]",1/2-1/2
Wch U10,Duisburg,1992.??.??,6,"Geanta, Horia","Bacrot, Etienne",,,B01,"[['e4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qa5'], ['d4', 'Nf6'], ['Nf3', 'Nc6'], ['Bb5', 'Nd5'], ['Bd2', 'Nxc3'], ['Bxc6+', 'bxc6\n'], ['Bxc3', 'Qd5'], ['O-O', 'Bg4'], ['Bb4', 'Bxf3'], ['gxf3', 'O-O-O'], ['Bc5', 'e6'], ['Bxa7', 'Qa5'], ['b4', 'Qxa7\n'], ['c3', 'Bd6'], ['Qb3', 'Qb6'], ['a4', 'Rd7'], ['Rfe1', 'Re7'], ['Re4', 'Rhe8'], ['Rh4', 'c5'], ['c4', 'cxd4\n'], ['Rb1', 'd3'], ['c5', '']]",0-1
