URS-FL,Kharkov,1985.??.??,?,"Podgaets, Mikhail","Bareev, Evgeny",,,A58,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['bxa6', 'g6'], ['Nc3', 'Bxa6'], ['Nf3', 'Qa5'], ['Bd2', 'Bg7\n'], ['d6', 'exd6'], ['Ne4', 'Qb6'], ['Bc3', 'Nxe4'], ['Bxg7', 'Qb4+'], ['Nd2', 'Rg8'], ['Bh6', 'g5'], ['h4', 'f6\n'], ['hxg5', 'fxg5'], ['a3', 'Qxd2+'], ['Qxd2', 'Nxd2'], ['Kxd2', 'Nc6'], ['f4', 'Nd4'], ['Rd1', 'gxf4'], ['Bxf4', 'O-O-O\n'], ['g3', 'Rde8'], ['e3', 'Bxf1'], ['exd4', 'Re2+'], ['Kc3', 'Bg2'], ['Rh2', 'c4'], ['Rg1', 'Bf3'], ['Rxe2', 'Bxe2\n'], ['Re1', 'Bd3'], ['Bxd6', 'Kb7'], ['Re7', 'Kc6'], ['Bf4', 'Ra8'], ['d5+', 'Kxd5'], ['Rxd7+', 'Kc6'], ['Rd6+', 'Kb7\n'], ['Kd4', 'Ra5'], ['Rd8', 'Kc6'], ['Rc8+', 'Kb7'], ['Rb8+', 'Kc6'], ['Kc3', 'Ra7'], ['Rc8+', 'Kd7'], ['Rf8', 'Kc6\n'], ['Rf6+', 'Kb5'], ['Be3', '']]",1-0
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Eingorn, Vereslav S",,,E48,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'c5'], ['Bd3', 'Nc6'], ['Ne2', 'd5'], ['cxd5', 'Nxd5'], ['O-O', 'cxd4\n'], ['exd4', 'O-O'], ['Nxd5', 'exd5'], ['Nf4', 'Bd6'], ['Re1', 'Ne7'], ['Qf3', 'Ng6'], ['Nxg6', 'hxg6'], ['Bf4', 'Bxf4\n'], ['Qxf4', 'Re8'], ['Rxe8+', 'Qxe8'], ['Qc7', 'b6'], ['Rc1', 'Be6'], ['Ba6', 'Qa4'], ['Qc6', 'Qxc6'], ['Rxc6', 'Rd8\n'], ['Rc7', 'Rd7'], ['Rc8+', 'Kh7'], ['h4', 'Re7'], ['Rc1', 'Kh6'], ['f3', 'g5'], ['hxg5+', 'Kxg5'], ['g3', 'Kf6\n'], ['Kf2', 'g5'], ['g4', 'Re8'], ['Kg3', 'Re7'], ['Bb5', 'Kg7'], ['f4', 'gxf4+'], ['Kxf4', 'f6'], ['Be2', 'Kf7\n'], ['Bd3', 'Kg7'], ['Be2', 'Kf8'], ['Bf3', 'Ke8'], ['Rh1', 'Rg7'], ['Rh8+', 'Ke7'], ['Rh6', 'Bf7'], ['b4', '']]",1/2-1/2
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Gurgenidze, Bukhuti",,,E33,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'Nc6'], ['Nc3', 'Bb4'], ['Qc2', 'd5'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['a3', 'Bxc3+\n'], ['Qxc3', 'O-O'], ['e3', 'Re8'], ['Be2', 'dxc4'], ['Qxc4', 'e5'], ['d5', 'Ne7'], ['Rd1', 'c6'], ['d6', 'Nd5\n'], ['e4', 'Nb6'], ['Qb4', 'Qg6'], ['O-O', 'Bh3'], ['Ne1', 'Rad8'], ['a4', 'Bc8'], ['Rd2', 'Re6'], ['a5', 'Nd7\n'], ['Bc4', 'Rf6'], ['Nd3', 'Qg5'], ['Rfd1', 'b6'], ['Ne1', 'h5'], ['Bf1', 'h4'], ['axb6', 'axb6'], ['Qa4', 'c5\n'], ['Qc6', 'Rg6'], ['b3', 'Qf6'], ['Qc7', 'Rf8'], ['Bc4', 'Qf4'], ['Bb5', 'Nf6'], ['d7', 'Bxd7'], ['Bxd7', 'Nxe4\n'], ['Rc2', 'Rg5'], ['Bh3', 'Qf6'], ['Rd3', '']]",1-0
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Lerner, Konstantin Z",,,E12,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['a3', 'Bb7'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['Qc2', 'Nxc3'], ['Qxc3', 'Be7\n'], ['Bf4', 'c6'], ['Be5', 'O-O'], ['d5', 'Bf6'], ['Bxf6', 'Qxf6'], ['Qxf6', 'gxf6'], ['dxe6', 'fxe6'], ['Nd4', 'Kf7\n'], ['e3', 'Ke7'], ['Bc4', 'Bc8'], ['O-O-O', 'c5'], ['Ne2', 'Ba6'], ['Bxa6', 'Nxa6'], ['Rd3', 'Rad8'], ['Rc3', 'Rg8\n'], ['g3', 'b5'], ['Rc2', 'Rd3'], ['Rd2', 'Rxd2'], ['Kxd2', 'Rd8+'], ['Kc2', 'Nc7'], ['Nc3', 'c4'], ['Rd1', 'Rxd1\n'], ['Kxd1', 'f5'], ['h3', 'a5'], ['g4', 'b4'], ['axb4', 'axb4'], ['Nb1', 'Nb5'], ['Nd2', 'Nd6'], ['f4', 'c3']]",1/2-1/2
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Lputian, Smbat G",,,D34,"[['d4', 'e6'], ['c4', 'd5'], ['Nc3', 'c5'], ['cxd5', 'exd5'], ['Nf3', 'Nc6'], ['g3', 'Nf6'], ['Bg2', 'Be7'], ['O-O', 'O-O\n'], ['Bg5', 'c4'], ['Ne5', 'Be6'], ['Nxc6', 'bxc6'], ['b3', 'Qa5'], ['Qc2', 'Bb4'], ['Bd2', 'c5'], ['a3', 'cxb3\n'], ['Qb2', 'Bxc3'], ['Bxc3', 'Qa4'], ['dxc5', 'Rfc8'], ['Bd4', 'Nd7'], ['Rac1', 'f6'], ['Rfd1', 'Rab8'], ['Rd3', 'Rc7\n'], ['h4', 'Bf7'], ['Rcc3', 'Re8'], ['Bf3', 'h5'], ['Rxb3', 'Nxc5'], ['Bxc5', 'Rxc5'], ['Rb7', 'Qa5'], ['Qb4', 'Rec8\n'], ['Qxa5', 'Rxa5'], ['Re3', 'Re8'], ['Rc3', 'g6'], ['Rcc7', 'Rf8'], ['e3', 'a6'], ['Rd7', 'f5'], ['Rbc7', 'Rb5\n'], ['Kg2', 'Ra5'], ['a4', 'd4'], ['exd4', 'f4'], ['gxf4', 'Rf5']]",1-0
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Novikov, Igor A",,,E12,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['Nc3', 'Bb7'], ['a3', 'd5'], ['cxd5', 'Nxd5'], ['Qc2', 'Nxc3'], ['Qxc3', 'Nd7\n'], ['Bg5', 'Nf6'], ['e3', 'Rc8'], ['Qc2', 'Qd5'], ['Qa4+', 'Bc6'], ['Qa6', 'Bb7'], ['Bb5+', 'Nd7'], ['Qa4', 'a6\n'], ['Bxa6', 'Bxa6'], ['Qxa6', 'Ra8'], ['Qd3', 'Nc5'], ['Qc2', 'Ne4'], ['O-O', 'Bd6'], ['Bf4', 'Bxf4'], ['exf4', 'Rc8\n'], ['Rfe1', 'Nd6'], ['Rac1', 'O-O'], ['Re5', 'Qb7'], ['Ng5', 'g6'], ['Qb3', 'h6'], ['Nf3', 'Rfd8'], ['g4', 'Kg7\n'], ['h4', 'Ne8'], ['f5', 'exf5'], ['gxf5', 'gxf5'], ['Kh2', 'Nf6'], ['Rxf5', 'Qe4'], ['Rg1+', 'Ng4+'], ['Rxg4+', 'Qxg4\n'], ['Qxf7+', 'Kh8'], ['Qe6', 'Qg7'], ['Rf6', '']]",1-0
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Ubilava, Elizbar",,,D37,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Be7'], ['Bf4', 'Nf6'], ['e3', 'O-O'], ['Nf3', 'c5'], ['dxc5', 'Bxc5'], ['a3', 'Nc6\n'], ['Be2', 'a6'], ['Qc2', 'dxc4'], ['Bxc4', 'Bd7'], ['O-O', 'Rc8'], ['Rfd1', 'Be7'], ['Bd3', 'h6'], ['e4', 'Nh5\n'], ['Be3', 'e5'], ['Qe2', 'Nf6'], ['Nd5', 'Qe8'], ['Rac1', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'Nd7'], ['Qg4', 'Kh7\n'], ['Bxa6', 'f5'], ['exf5', 'bxa6'], ['Qg6+', 'Qxg6'], ['fxg6+', 'Kh8'], ['Nxe7', 'Nxe7'], ['Rxc8', 'Rxc8\n'], ['Rxd7', 'Nxg6'], ['Rd6', 'Nf4'], ['Rxa6', 'Nd5'], ['b4', 'Rc3'], ['Bc5', 'Nf4'], ['Ra5', 'Nd3'], ['Be3', 'Rb3\n'], ['b5', 'Nb2'], ['a4', 'Nc4'], ['Ra8+', 'Kh7'], ['Bc5', 'Rb1+'], ['Kh2', 'Nd2'], ['h4', 'g5'], ['hxg5', 'hxg5\n'], ['Be3', 'Nf1+'], ['Kh3', 'Nxe3'], ['fxe3', 'Kg6'], ['e4', 'Kh5'], ['Rh8+', 'Kg6'], ['Rb8', '']]",1-0
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Yakovich, Yuri",,,A07,"[['Nf3', 'd5'], ['g3', 'Nf6'], ['Bg2', 'Bf5'], ['d3', 'e6'], ['Nbd2', 'h6'], ['b3', 'Be7'], ['Bb2', 'O-O'], ['Ne5', 'Bh7\n'], ['e4', 'a5'], ['a4', 'dxe4'], ['dxe4', 'Bb4'], ['c3', 'Bd6'], ['Nec4', 'Be7'], ['O-O', 'Nbd7'], ['Qe2', 'Nc5\n'], ['Ba3', 'Qb8'], ['Rfd1', 'Rd8'], ['Nb2', 'Bf8'], ['Bxc5', 'Bxc5'], ['Nd3', 'Bf8'], ['Bf1', 'c6'], ['f3', 'g5\n'], ['Qe3', 'b5'], ['Nf2', 'Qe5'], ['f4', 'Qc5'], ['Qf3', 'Rxd2'], ['Rxd2', 'Nxe4'], ['Rd7', 'Nxf2'], ['Qxf2', 'Qxc3\n'], ['Qe1', 'Qxb3'], ['fxg5', 'hxg5'], ['Bg2', 'bxa4'], ['Be4', 'Bc5+'], ['Kh1', 'Bf5'], ['Bg2', 'a3'], ['Qc1', 'Bf8\n'], ['Qxg5+', 'Bg7'], ['Rad1', 'Bg6'], ['Bxc6', 'Rb8'], ['Rd8+', 'Bf8'], ['R8d4', 'Bg7'], ['Rd8+', 'Rxd8\n'], ['Rxd8+', 'Kh7'], ['Qh4+', 'Bh6'], ['Be4', 'Kg7'], ['Qg4', 'Qc4']]",0-1
URS-FL,Kharkov,1985.??.??,?,"Bareev, Evgeny","Zaichik, Gennadi",,,E90,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Bd3', 'O-O'], ['Nf3', 'e5'], ['g3', 'Nbd7'], ['Nh4', 'Nh5\n'], ['Ng2', 'Ndf6'], ['h3', 'Ne8'], ['Be2', 'Nhf6'], ['Qc2', 'Nc7'], ['g4', 'a6'], ['a4', 'a5'], ['Bg5', 'Na6\n'], ['Qd2', 'Nb4'], ['O-O-O', 'Qd7'], ['f3', 'Ne8'], ['Rdg1', 'b6'], ['h4', 'f5'], ['gxf5', 'gxf5'], ['h5', 'Kh8\n'], ['Nh4', 'f4'], ['Bf1', 'Rf7'], ['Bh3', 'Qxh3'], ['Rxh3', 'Bxh3'], ['Qh2', 'Bd7'], ['Ng6+', 'Kg8'], ['h6', 'hxg6\n'], ['hxg7', 'Nxg7'], ['Qh6', 'Nd3+'], ['Kd2', 'Nxb2'], ['Rh1', 'Rff8'], ['Qh7+', 'Kf7'], ['Rh6', '']]",1-0
URS-FL,Kharkov,1985.??.??,?,"Chekhov, Valery A","Bareev, Evgeny",,,E14,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['Nc3', 'b6'], ['e3', 'e6'], ['d4', 'cxd4'], ['exd4', 'd6'], ['Bd3', 'Be7'], ['O-O', 'O-O\n'], ['Re1', 'Bb7'], ['d5', 'e5'], ['a3', 'a5'], ['Rb1', 'Ne8'], ['Qc2', 'g6'], ['Bh6', 'Ng7'], ['b4', 'Nd7'], ['Qe2', 'Ba6\n'], ['Rbc1', 'Rc8'], ['Na4', 'Re8'], ['bxa5', 'bxa5'], ['c5', 'Bxd3'], ['Qxd3', 'Nxc5'], ['Nxc5', 'Rxc5\n'], ['Rxc5', 'dxc5'], ['Bxg7', 'Kxg7'], ['Rxe5', 'Bf6'], ['Rxe8', 'Qxe8'], ['Qc4', 'Qe7'], ['g3', 'h5'], ['h4', 'Qd6\n'], ['Kf1', 'Kg8'], ['Nd2', 'Bb2'], ['Ne4', 'Qe5'], ['d6', 'Kf8'], ['d7', 'Ke7'], ['Nxc5', 'Bd4'], ['Nb7', 'Kxd7\n'], ['Nxa5', 'Qf6'], ['Qb5+', 'Ke6'], ['Qc6+', 'Ke7'], ['Qxf6+', 'Bxf6'], ['Nc4', 'Ke6'], ['f4', 'Be7'], ['a4', 'f6\n'], ['a5', 'Bc5'], ['a6', 'Kd7'], ['Ke2', 'Kc6'], ['Nd2', 'Kb6'], ['Ne4', 'Be7'], ['Kd3', 'f5'], ['Nd2', 'Bc5\n'], ['Nf3', 'Kxa6'], ['Kc4', 'Bf2'], ['Ne5', 'Kb6'], ['Kd5', 'Bxg3'], ['Nxg6', 'Be1'], ['Ke6', 'Kc5'], ['Kxf5', 'Kd5\n'], ['Kf6', 'Bd2'], ['f5', 'Kd6'], ['Kf7', 'Bc3'], ['f6', 'Bd4'], ['Ne7', 'Bc3'], ['Kg6', 'Kd7'], ['Nd5', '']]",1-0
