CUB-ch,Holguin,1991.??.??,1,"Becerra Rivero, Julio","Borges Mateos, Juan",,,B81,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['g4', 'Be7'], ['g5', 'Nfd7'], ['h4', 'Nb6\n'], ['Be3', 'O-O'], ['Bd3', 'd5'], ['e5', 'Nc6'], ['Nxc6', 'bxc6'], ['Qh5', 'g6'], ['Qg4', 'Nd7'], ['f4', 'Re8\n'], ['h5', 'Nf8'], ['Qh4', 'Bb4'], ['hxg6', 'fxg6'], ['Bxg6', 'Re7'], ['Bd3', 'Rg7'], ['a3', 'Be7'], ['Ne2', 'c5\n'], ['c3', 'Rb8'], ['Rb1', 'd4'], ['cxd4', 'Rb3'], ['Nc1', 'Rxd3'], ['Nxd3', 'cxd4'], ['Bd2', 'Qd5'], ['O-O', 'Bb7\n'], ['Qh3', 'h6'], ['Nb4', 'Qd7'], ['Rf2', 'a5'], ['Nd3', 'hxg5'], ['fxg5', 'Rh7'], ['Qxh7+', 'Nxh7'], ['g6', 'Nf8\n'], ['Nf4', 'd3'], ['Rc1', 'Bd8'], ['Be3', 'Qg7'], ['Rh2', 'Qxe5'], ['Kf2', 'd2'], ['Bxd2', 'Bb6+'], ['Kg3', 'Qg5+\n'], ['Kh3', '']]",0-1
CUB-ch,Holguin,1991.??.??,2,"Velez, Nestor","Becerra Rivero, Julio",,,A29,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['g3', 'Bb4'], ['Bg2', 'O-O'], ['Nf3', 'Nc6'], ['O-O', 'Re8'], ['Nd5', 'Bc5'], ['d3', 'Nxd5\n'], ['cxd5', 'Nd4']]",1/2-1/2
CUB-ch,Holguin,1991.??.??,3,"Becerra Rivero, Julio","Leyva, Hector",,,B98,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'e6'], ['f4', 'Be7'], ['Qf3', 'Qa5\n'], ['O-O-O', 'Bd7'], ['Bxf6', 'gxf6'], ['Nb3', 'Qc7'], ['f5', 'h5'], ['Nd4', 'Nc6'], ['Be2', 'Nxd4'], ['Rxd4', 'Qc5\n'], ['Rhd1', 'Qe5'], ['Qh3', 'h4'], ['Kb1', 'O-O-O'], ['Bg4', 'Kb8'], ['a3', 'Bc8'], ['Na4', 'd5'], ['fxe6', 'fxe6\n'], ['exd5', 'f5'], ['Bf3', 'Qf6'], ['Be2', 'e5'], ['R4d2', 'Rhg8'], ['Bf1', 'f4'], ['Qb3', 'Bg4'], ['Re1', 'Rg6\n'], ['c4', 'e4'], ['c5', 'e3'], ['c6', 'Bc8'], ['Rc2', 'Bd6'], ['Bxa6', 'Rg7'], ['Nb6', 'Bf5'], ['Bd3', 'h3'], ['Qa4', 'Bxd3\n'], ['Qa8+', '']]",1-0
CUB-ch,Holguin,1991.??.??,4,"Sariego, Wilfredo","Becerra Rivero, Julio",,,B22,"[['e4', 'c5'], ['c3', 'e6'], ['Nf3', 'd5'], ['exd5', 'exd5'], ['d4', 'Nc6'], ['Be2', 'Bd6'], ['O-O', 'Nge7'], ['dxc5', 'Bxc5\n'], ['Nbd2', 'O-O'], ['Nb3', 'Bd6'], ['h3', 'Bf5'], ['Nbd4', 'Be4'], ['Be3', 'Qd7'], ['Qd2', 'Rad8'], ['Rad1', 'h6\n'], ['Bf4', 'Ng6'], ['Bh2', 'Rfe8'], ['Rfe1', 'Bc5'], ['Bg3', 'Qe7'], ['Bb5', 'Qf6'], ['Nh2', 'h5'], ['Nhf3', 'h4\n'], ['Bh2', 'a6'], ['Bf1', 'Nge5'], ['Nxe5', 'Nxe5'], ['Qf4', 'Qg6'], ['Kh1', 'Nd3'], ['Rxe4', 'Nxf4'], ['Rxf4', 'Re4\n'], ['Bd3', 'Qh5']]",0-1
CUB-ch,Holguin,1991.??.??,5,"Fuentes, Manuel","Becerra Rivero, Julio",,,A46,"[['d4', 'Nf6'], ['Nf3', 'd6'], ['Bg5', 'Ne4'], ['Bh4', 'c5'], ['dxc5', 'Nxc5'], ['Na3', 'Nc6'], ['e4', 'g6']]",1/2-1/2
CUB-ch,Holguin,1991.??.??,6,"Becerra Rivero, Julio","Arencibia, Juan Joel",,,C08,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'exd5'], ['Ngf3', 'Nf6'], ['c3', 'Be7'], ['dxc5', 'Bxc5'], ['Nb3', 'Be7\n'], ['Bd3', 'O-O'], ['h3', 'h6'], ['O-O', 'Bd6'], ['Re1', 'Nc6'], ['Nbd4', 'Re8'], ['Rxe8+', 'Qxe8'], ['Be3', 'Bd7']]",1/2-1/2
CUB-ch,Holguin,1991.??.??,7,"Becerra Rivero, Julio","Herrera, Irisberto",,,B99,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'e6'], ['f4', 'Be7'], ['Qf3', 'Qc7\n'], ['O-O-O', 'Nbd7'], ['g4', 'b5'], ['Bxf6', 'Bxf6'], ['g5', 'Bxd4'], ['Rxd4', 'Bb7'], ['Be2', 'O-O'], ['Rhd1', 'Nb6\n'], ['Qe3', 'Rac8'], ['f5', 'd5'], ['fxe6', 'fxe6'], ['exd5', 'Bxd5'], ['Rh4', 'g6'], ['Bg4', 'Rfe8'], ['Rxd5', 'exd5\n'], ['Be6+', 'Rxe6'], ['Qxe6+', 'Kg7'], ['Qf6+', 'Kg8'], ['Rf4', 'Re8'], ['b3', 'Qe5'], ['Qxe5', 'Rxe5'], ['Rf6', 'd4\n'], ['Nd1', 'Nd5'], ['Rxa6', 'Rxg5'], ['Rd6', 'Kg7'], ['Kb2', 'h5'], ['Nf2', 'Ne3'], ['Rd7+', 'Kh6'], ['h4', 'Rg2\n'], ['Ne4', 'Rxc2+'], ['Kb1', 'Rh2'], ['Ng5', 'Rh1+'], ['Kb2', 'Rh2+'], ['Kc1', 'Rxh4'], ['Nf7+', 'Kg7'], ['Nd6+', 'Kf6\n'], ['Nxb5', 'Rh1+'], ['Kd2', 'Rh2+'], ['Kd3', 'Rxa2'], ['Rd6+', 'Kg5'], ['Rxd4', 'Nf5'], ['Rd8', 'h4'], ['Nc3', 'Rb2\n'], ['Ne4+', 'Kf4'], ['Kc3', 'Re2'], ['Nd2', 'h3'], ['Rh8', 'Kg4'], ['b4', 'Nh4'], ['Ra8', 'h2'], ['Ra1', 'Nf3']]",0-1
CUB-ch,Holguin,1991.??.??,8,"Calderin, Roberto","Becerra Rivero, Julio",,,A45,"[['d4', 'Nf6'], ['Bg5', 'Ne4'], ['Bf4', 'c5'], ['d5', 'e6'], ['f3', 'Nf6'], ['c4', 'b5'], ['e4', 'bxc4'], ['Nc3', 'exd5\n'], ['exd5', 'd6'], ['Bxc4', 'Be7'], ['Nge2', 'O-O'], ['O-O', 'Nbd7'], ['Ng3', 'Nb6'], ['b3', 'Ne8'], ['Qd2', 'Bf6\n'], ['Rac1', 'Bd4+'], ['Kh1', 'Nxc4'], ['bxc4', 'f5'], ['Rfe1', 'g6'], ['Bh6', 'Ng7'], ['Nb5', 'Be5'], ['Bg5', 'Bf6\n'], ['Bxf6', 'Qxf6'], ['Rb1', 'Bd7'], ['Qc3', 'Qxc3'], ['Nxc3', 'Rab8'], ['a3', 'g5'], ['Kg1', 'Kf7'], ['Kf2', 'a5\n'], ['Nf1', 'Nh5'], ['g3', 'Nf6'], ['Nd2', 'a4'], ['Red1', 'Rfd8'], ['Rxb8', 'Rxb8'], ['Rb1', 'Rxb1'], ['Ndxb1', 'Ke7\n'], ['Ke3', 'Kd8'], ['Nd1', 'Kc7'], ['Nbc3', 'Kb6'], ['Nf2', 'Ng8'], ['f4', 'g4'], ['Kd3', 'Ne7'], ['Nfd1', 'Kc7\n'], ['Ne3', 'Kb6'], ['Ned1', 'Kc7']]",1/2-1/2
CUB-ch,Holguin,1991.??.??,9,"Armas, Jorge","Becerra Rivero, Julio",,,E92,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['d4', 'O-O'], ['Be2', 'e5'], ['d5', 'a5'], ['Bg5', 'h6'], ['Bh4', 'Na6\n'], ['Nd2', 'Qe8'], ['Rb1', 'Bd7'], ['b3', 'Nh7'], ['g4', 'Bf6'], ['Bxf6', 'Nxf6'], ['Nf1', 'Nc5'], ['Ng3', 'Kg7\n'], ['h3', 'Rh8'], ['Qd2', 'Qe7'], ['Qe3', 'c6'], ['Kf1', 'Ne8'], ['a3', 'cxd5'], ['cxd5', '']]",1/2-1/2
CUB-ch,Holguin,1991.??.??,10,"Becerra Rivero, Julio","Perez, Rodney",,,A49,"[['Nf3', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['d4', 'O-O'], ['O-O', 'd6']]",1/2-1/2
