Pittsburgh op,Pittsburgh,1946.??.??,?,"Byrne, Robert E","Berliner, Hans Jack",,,C36,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'Nf6'], ['Nc3', 'd5'], ['exd5', 'Nxd5'], ['Nxd5', 'Qxd5'], ['d4', 'Be7'], ['c4', 'Qe6+\n'], ['Kf2', 'Qf6'], ['Bd3', 'c5'], ['d5', 'O-O'], ['Qc2', 'Qh6'], ['Bd2', 'f5'], ['Rae1', 'Bd6'], ['Re2', 'Nd7\n'], ['Rhe1', 'Nf6'], ['Bxf5', 'Ng4+'], ['Bxg4', 'Bxg4'], ['Kg1', 'Qh5'], ['Qd3', 'Bf5'], ['Qb3', 'b6'], ['Bc3', 'Rae8\n'], ['Be5', 'Bxe5'], ['Rxe5', 'Rxe5'], ['Rxe5', 'Re8'], ['Qc3', 'Qf7'], ['Qe1', 'Bd7'], ['Qe4', 'Rxe5'], ['Qxe5', 'Qf5\n'], ['Qb8+', 'Kf7'], ['h4', 'Ke7'], ['Kh2', 'Qf6'], ['b3', 'a6'], ['a4', 'h6'], ['a5', 'bxa5'], ['Qc7', 'Qd6\n'], ['Qxa5', 'g5'], ['Qe1+', 'Kf6'], ['Qc3+', 'Kg6'], ['Qe5', 'Qf6'], ['Qc7', 'Bf5'], ['Ne5+', 'Kh5'], ['hxg5', 'hxg5\n'], ['g4+', 'fxg3+'], ['Kxg3', 'g4'], ['Qf7+', 'Qxf7'], ['Nxf7', 'Kg6'], ['Ne5+', 'Kg7'], ['Kf4', 'Bc2'], ['Kxg4', 'Bxb3\n'], ['Kf5', 'Kf8'], ['d6', 'Ke8'], ['Ke6', '']]",1-0
Pittsburgh op,Pittsburgh,1946.??.??,?,"Kramer, Haije","Berliner, Hans Jack",,,E03,"[['d4', 'd5'], ['c4', 'dxc4'], ['Nf3', 'Nf6'], ['Qa4+', 'Nbd7'], ['g3', 'a6'], ['Qxc4', 'b5'], ['Qc2', 'Bb7'], ['Bg2', 'e6\n'], ['O-O', 'c5'], ['a4', 'Rc8'], ['axb5', 'axb5'], ['Qb3', 'Qb6'], ['Rd1', 'Bxf3'], ['Qxf3', 'cxd4'], ['Ra8', 'Rb8\n'], ['Bd2', 'Bd6'], ['Rxb8+', 'Nxb8'], ['Na3', 'O-O'], ['Qb3', 'Bxa3'], ['bxa3', 'Nc6'], ['a4', 'Na7'], ['Rb1', 'Rb8\n'], ['Bf4', 'Rc8'], ['e3', 'Ng4'], ['Bf3', 'Rc3'], ['Qa2', 'e5'], ['Bg5', 'h6'], ['Be7', 'Nf6'], ['Bb4', 'Rc8\n'], ['exd4', 'Qxd4'], ['a5', 'e4'], ['Be2', 'Nd5'], ['Be1', 'Nc3'], ['Bxc3', 'Rxc3'], ['Rd1', 'Qf6'], ['Qd5', 'Qe6\n'], ['Qa8+', 'Nc8'], ['a6', 'Rc2'], ['a7', 'Kh7'], ['Bxb5', 'Qf5'], ['Rf1', 'Nxa7'], ['Ba4', 'Rc7'], ['Re1', 'Nc8\n'], ['Qxe4', '']]",1/2-1/2
Pittsburgh op,Pittsburgh,1946.??.??,?,"Aleman Dovo, Miguel ","Berliner, Hans Jack",,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'dxe4'], ['Nxe4', 'Nbd7'], ['Nf3', 'Be7'], ['Nxf6+', 'Nxf6'], ['Bd3', 'b6\n'], ['Qe2', 'Bb7'], ['O-O', 'O-O'], ['Rad1', 'Qd5'], ['c4', 'Qa5'], ['Ne5', 'Rad8'], ['a3', 'c5'], ['d5', 'exd5\n'], ['Ng4', 'Nxg4'], ['Bxe7', 'Rde8'], ['Qxg4', 'Rxe7'], ['Bxh7+', 'Kh8'], ['Qh4', 'Re6'], ['Bg6+', '']]",1-0
Pittsburgh op,Pittsburgh,1946.??.??,?,"Berliner, Hans Jack","Almgren, S.",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['e5', 'Nfd7'], ['Nce2', 'c5'], ['c3', 'Nc6'], ['f4', 'Be7'], ['Nf3', 'O-O\n'], ['g3', 'cxd4'], ['cxd4', 'b5'], ['Bh3', 'Nb6'], ['O-O', 'a5'], ['g4', 'a4'], ['f5', 'Nc4'], ['Ng3', 'f6'], ['exf6', 'Bxf6\n'], ['g5', 'Bxd4+'], ['Nxd4', 'Qb6'], ['Ne2', 'e5'], ['Bg2', 'Qc5'], ['Kh1', 'exd4'], ['Ng3', 'Ra7'], ['Qh5', 'Ne3\n'], ['Bxe3', 'dxe3'], ['g6', 'h6'], ['Rac1', 'Qd6'], ['f6', 'Be6'], ['f7+', 'Kh8'], ['Rf6', 'Ne7'], ['Rg1', 'd4\n'], ['Be4', 'Nd5'], ['Qxh6+', 'gxh6'], ['g7+', 'Kxg7'], ['Nh5+', 'Kh8'], ['Rxh6+', '']]",1-0
Helsinki olm,Helsinki,1952.??.??,?,"Zita, Frantisek","Berliner, Hans Jack",,,E60,"[['Nf3', 'Nf6'], ['b3', 'g6'], ['Bb2', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'c5'], ['c4', 'Nc6'], ['O-O', 'd6'], ['d4', 'Ne4\n'], ['Nbd2', 'f5'], ['e3', 'e6'], ['a3', 'Qe7'], ['Qc2', 'Nxd2'], ['Qxd2', 'e5'], ['dxe5', 'dxe5'], ['Rfd1', 'Rd8\n'], ['Qc2', 'Be6'], ['Ne1', 'e4'], ['Bxg7', 'Kxg7'], ['f3', 'exf3'], ['Nxf3', 'Rxd1+'], ['Rxd1', 'Rd8'], ['Rxd8', 'Qxd8\n'], ['Qc3+', 'Qf6'], ['Qxf6+', 'Kxf6'], ['Nd2', 'Na5'], ['Kf2', 'b5'], ['Bf1', 'bxc4'], ['bxc4', 'Ke5'], ['Bd3', '']]",1/2-1/2
USA-ch,New York,1954.??.??,1,"Berliner, Hans Jack","Burger, Karl",,,E85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'e5'], ['Nge2', 'exd4'], ['Nxd4', 'Nbd7\n'], ['Qd2', 'Re8'], ['O-O-O', 'a5'], ['Ndb5', 'b6'], ['Bg5', 'Nc5'], ['Nd5', 'Ne6'], ['e5', 'dxe5'], ['Ndxc7', 'Qxc7\n'], ['Nxc7', 'Nxc7'], ['Bh6', 'Bh8'], ['c5', 'bxc5'], ['Qd6', 'Ne6'], ['Bb5', 'Bd7'], ['Bxd7', 'Red8'], ['Qxe6', '']]",1-0
USA-ch,New York,1954.??.??,2,"Pilnick, Carl","Berliner, Hans Jack",,,B26,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['d3', 'd6'], ['Nge2', 'e6'], ['O-O', 'Nge7'], ['Be3', 'Nd4\n'], ['Qd2', 'Qa5'], ['Bf4', 'e5'], ['Nxd4', 'cxd4'], ['Nd5', 'Qxd2'], ['Bxd2', 'Nxd5'], ['exd5', 'Bd7'], ['Bb4', 'Ke7\n'], ['f4', 'Rac8'], ['Rae1', 'f6'], ['c3', 'dxc3'], ['bxc3', 'b6'], ['c4', 'b5'], ['Rc1', 'Bf5'], ['c5', 'exf4\n'], ['c6', 'Bf8'], ['Rxf4', 'Bxd3'], ['Re1+', 'Kf7'], ['Bh3', 'f5'], ['g4', 'Bc4'], ['gxf5', 'g5'], ['Rd4', 'Bg7\n'], ['f6', 'Bxf6'], ['Be6+', 'Kg6'], ['Rdd1', 'Be5'], ['Bxc8', 'Rxc8'], ['Bxd6', 'Bc3'], ['Re7', 'Ba5'], ['Bc5', 'a6\n'], ['a3', 'Bb3'], ['Rd4', 'h6'], ['Ra7', 'Re8'], ['c7', 'Kf5'], ['d6', 'Re1+'], ['Kf2', 'Be6'], ['Rxa6', 'Bc3\n'], ['Rd3', 'Rc1'], ['d7', 'Be1+'], ['Ke3', 'Rxc5'], ['d8=Q', 'Re5+'], ['Kd4', '']]",1-0
USA-ch,New York,1954.??.??,3,"Berliner, Hans Jack","Hearst, Eliot Sanford",,,A40,"[['d4', '']]",1-0
USA-ch,New York,1954.??.??,4,"Evans, Larry Melvyn","Berliner, Hans Jack",,,C00,"[['e4', 'e6'], ['Qe2', 'c5'], ['g3', 'Nc6'], ['c3', 'd5'], ['d3', 'Nf6'], ['Nf3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'b6'], ['e5', 'Nd7\n'], ['Re1', 'Kh8'], ['Nbd2', 'f6'], ['exf6', 'Bxf6'], ['Nf1', 'Nce5'], ['Nxe5', 'Nxe5'], ['Bf4', 'Ng6'], ['Bd2', 'Qd6\n'], ['Rad1', 'Bd7'], ['h4', 'Rae8'], ['h5', 'Ne7'], ['Bf4', 'Qc6'], ['Nh2', 'Qc8'], ['Nf3', 'Nc6'], ['d4', 'cxd4\n'], ['cxd4', 'Nxd4'], ['Rxd4', 'Bxd4'], ['Nxd4', 'e5'], ['Bxe5', 'Rxe5'], ['Qxe5', 'Re8'], ['Qxd5', 'Rxe1+\n'], ['Kh2', 'Qe8']]",1/2-1/2
USA-ch,New York,1954.??.??,5,"Berliner, Hans Jack","Sherwin, James T",,,E86,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nge2', 'O-O'], ['f3', 'e5'], ['Be3', 'c6'], ['Qd2', 'a6'], ['Rd1', 'Nbd7\n'], ['Nc1', 'Re8'], ['dxe5', 'dxe5'], ['c5', 'Nh5'], ['Bc4', 'Qe7'], ['Na4', 'Nf4'], ['O-O', 'Ne6'], ['Nb3', 'Kh8\n'], ['Qa5', 'Ndf8'], ['Nb6', 'Rb8'], ['Rd6', 'Nf4'], ['Rfd1', 'h5'], ['Qd2', 'N4e6'], ['g3', 'Kh7'], ['h4', 'Bf6\n'], ['Kg2', 'Bg7'], ['Rh1', 'Kg8'], ['Kf2', 'Bf6'], ['Kg2', 'Bg7'], ['Rd1', 'Kh7'], ['Qc1', 'Bf6'], ['a3', 'Bg7\n'], ['Qd2', 'Bf6'], ['Nc1', 'Nd4'], ['Ne2', 'Nde6'], ['b4', 'Bg7'], ['a4', 'Kh8'], ['b5', 'axb5'], ['axb5', 'f5\n'], ['exf5', 'gxf5'], ['f4', 'exf4'], ['Nxf4', 'Nxf4+'], ['Bxf4', 'Be6'], ['Re1', 'Bd5+']]",1/2-1/2
