RUS-ch03,Kiev,1903.??.??,1,"Bernstein, Ossip","Dus Chotimirsky, Fedor Ivanovich",,,B45,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nge7'], ['Ndb5', 'Ng6'], ['Nd6+', 'Bxd6'], ['Qxd6', 'Qe7\n'], ['Bf4', 'Nxf4'], ['Qxf4', 'O-O'], ['O-O-O', 'f5'], ['Qd6', 'Qxd6'], ['Rxd6', 'Ne5'], ['f3', 'fxe4'], ['Nxe4', 'Nf7\n'], ['Rd2', 'd5'], ['Nc5', 'Nd6'], ['Re2', 'Rf6'], ['f4', 'b6'], ['Nd3', 'Ba6'], ['g3', 'Rc8'], ['Re5', 'Nc4\n'], ['Re1', 'Nd6'], ['Ne5', 'Bxf1'], ['Rhxf1', 'Ne4'], ['Ng4', 'Rf7'], ['Nf2', 'Rfc7'], ['c3', 'Nc5'], ['Kd2', 'b5\n'], ['Re5', 'a5'], ['Nd3', 'Ne4+'], ['Ke3', 'b4'], ['cxb4', 'Rc2'], ['bxa5', 'Nd2'], ['Rf2', 'Nc4+'], ['Kd4', 'Nxe5\n'], ['Kxe5', 'R2c6'], ['b4', 'Rc3'], ['Nc5', 'Rb8'], ['a3', 'Rxa3'], ['Rb2', 'Rxa5'], ['bxa5', 'Rxb2'], ['a6', 'Rb5\n'], ['Kd6', 'd4'], ['Kc6', 'Ra5'], ['Kb6', 'Ra3'], ['a7', 'Rxa7'], ['Kxa7', 'Kf7'], ['Kb6', 'Kf6'], ['Nd3', 'Kf5\n'], ['Kc5', 'Ke4'], ['Kc4', 'h6'], ['Nb4', 'g5'], ['fxg5', 'hxg5'], ['Nd3', 'e5'], ['g4', 'Ke3'], ['Nxe5', 'Ke4\n'], ['Nd3', 'Kf3'], ['h3', 'Ke4'], ['Nc1', 'Ke3'], ['Kd5', '']]",1-0
RUS-ch03,Kiev,1903.??.??,2,"Von Stamm, Wilhelm","Bernstein, Ossip",,,D32,"[['d4', 'd5'], ['Nf3', 'c5'], ['e3', 'Nc6'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['cxd5', 'exd5'], ['Bd3', 'Bd6'], ['O-O', 'O-O\n'], ['a3', 'c4'], ['Bc2', 'Re8'], ['b3', 'Na5'], ['bxc4', 'Nxc4'], ['Qd3', 'Nb6'], ['Bb3', 'Bg4'], ['Nd2', 'Rc8\n'], ['Bb2', 'Bb8'], ['f3', 'Qd6'], ['g3', 'Bh3'], ['Rf2', 'Be6'], ['Ba2', 'a6'], ['Re1', 'Ba7'], ['Bb1', 'Nc4\n'], ['Nxc4', 'Rxc4'], ['Ne2', 'Qb6'], ['Nf4', 'g6'], ['Ree2', 'Bf5'], ['e4', 'Bd7'], ['Nxd5', 'Rxd4'], ['Nxf6+', 'Qxf6\n'], ['Bxd4', 'Qxd4'], ['Qxd4', 'Bxd4'], ['Rd2', 'Bxf2+'], ['Kxf2', 'Bb5'], ['Ba2', 'Rc8'], ['Bd5', 'Rc3\n'], ['a4', 'Bc6'], ['Bxc6', 'Rxc6'], ['a5', 'Rc5'], ['h4', 'Rxa5'], ['Rb2', 'b5'], ['Ke3', 'Ra3+'], ['Ke2', 'Kf8\n'], ['Rd2', 'b4'], ['Rd3', 'Rxd3'], ['Kxd3', 'Ke7'], ['f4', 'h5']]",0-1
RUS-ch03,Kiev,1903.??.??,3,"Bernstein, Ossip","Nikolaev, B.",,,C68,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Bxc6', 'dxc6'], ['O-O', 'Bd6'], ['d4', 'exd4'], ['Qxd4', 'f6'], ['Nbd2', 'Be6\n'], ['Nc4', 'Ne7'], ['b3', 'Bxc4'], ['Qxc4', 'Qd7'], ['Bb2', 'O-O-O'], ['Rad1', 'Ng6'], ['Nd4', 'Be5'], ['Qe2', 'Nf4\n'], ['Qf3', 'Qf7'], ['Nf5', 'Bxb2'], ['Qxf4', 'g6'], ['Ne3', 'Be5'], ['Qg4+', 'Kb8'], ['Rxd8+', 'Rxd8'], ['Rd1', 'Rxd1+\n'], ['Qxd1', 'Qe7'], ['g3', 'Bd6'], ['Qd3', 'Bc5'], ['Nc4', 'Ka7'], ['Kg2', 'Qe6'], ['Ne3', 'Be7'], ['Qd4+', 'Kb8\n'], ['Qc4', 'Qxc4'], ['Nxc4', 'Kc8'], ['Kf3', 'Kd7'], ['e5', 'b5'], ['exf6', 'Bxf6'], ['Ne3', 'Kd6'], ['Ke4', 'Kc5\n'], ['Ng4', 'Bg7'], ['Ne5', 'Kd6'], ['Nd3', 'Bc3'], ['f4', 'a5'], ['g4', 'c5'], ['h4', 'Bf6'], ['g5', 'Bh8'], ['c4', 'c6\n'], ['f5', 'gxf5+'], ['Kxf5', 'Bd4'], ['a4', 'bxa4'], ['bxa4', 'Ke7'], ['Nc1', 'Bc3'], ['Nb3', 'Bb4'], ['h5', 'Kf7\n'], ['g6+', 'hxg6+'], ['hxg6+', 'Kg7'], ['Kg5', 'Bc3'], ['Nxc5', 'Be5'], ['Kf5', 'Bc3'], ['Ne6+', 'Kg8'], ['Nd8', 'c5\n'], ['Nb7', 'Bb4'], ['Ke6', 'Kg7'], ['Kd5', 'Kxg6'], ['Nxc5', 'Kf6'], ['Nb7', 'Ke7'], ['Kc6', 'Ke6'], ['Kb5', 'Kd7\n'], ['Nxa5', 'Be1'], ['Kb6', 'Bf2+'], ['Kb7', 'Kd6'], ['Nb3', '']]",1-0
RUS-ch03,Kiev,1903.??.??,4,"Yurevich, Vladimir","Bernstein, Ossip",,,A03,"[['f4', 'c5'], ['Nf3', 'Nc6'], ['b3', 'd5'], ['e3', 'Nf6'], ['Bb2', 'e6'], ['a3', 'Bd6'], ['Bd3', 'Bd7'], ['Nc3', 'a6'], ['Ne2', 'Qc7\n'], ['Ng3', 'e5'], ['fxe5', 'Nxe5'], ['Nxe5', 'Bxe5'], ['Bxe5', 'Qxe5'], ['O-O', 'O-O'], ['Bf5', 'Bb5'], ['Rf4', 'd4\n'], ['Nh5', 'Nd5'], ['exd4', 'cxd4'], ['Rf2', 'g6'], ['Qf3', 'Qxf5'], ['Qxf5', 'gxf5'], ['Rxf5', 'Ne7'], ['Rf4', 'Rac8\n'], ['a4', 'Be8'], ['Rxd4', 'f5'], ['Nf4', 'Rxc2'], ['Ne6', 'Rf6'], ['Re1', 'Nc6'], ['Rd3', 'Bg6'], ['Ng5', 'h6\n'], ['Nf3', 'Kg7'], ['h3', 'Bh5'], ['Nh4', 'Rc5'], ['Rd7+', 'Rf7'], ['d4', 'Rxd7'], ['dxc5', 'Rd5'], ['b4', 'Kf6\n'], ['b5', 'axb5'], ['axb5', 'Ne7'], ['Rc1', 'Rd1+'], ['Rxd1', 'Bxd1'], ['Kf2', 'Ba4'], ['c6', 'b6'], ['c7', 'Bxb5\n'], ['g4', 'fxg4'], ['hxg4', 'Bd7'], ['Nf3', 'Nd5']]",0-1
RUS-ch03,Kiev,1903.??.??,5,"Bernstein, Ossip","Lebedev, Sergey Fedorovich",,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['Nf3', 'Nf6'], ['Bd3', 'Bd6'], ['O-O', 'O-O'], ['Bg5', 'Bg4'], ['Nbd2', 'Nbd7\n'], ['c3', 'c6'], ['Qc2', 'Qc7'], ['h3', 'Bh5'], ['Nh4', 'Bh2+'], ['Kh1', 'Bf4'], ['Bxf4', 'Qxf4'], ['g3', 'Qc7\n'], ['Kg2', 'Rae8'], ['Rae1', 'Bg6'], ['Nxg6', 'fxg6'], ['Rxe8', 'Rxe8'], ['Nf3', 'Re7'], ['Re1', 'Rxe1\n'], ['Nxe1', 'c5'], ['dxc5', 'Nxc5'], ['Nf3', 'Nfe4'], ['Bxe4', 'dxe4'], ['Nd4', 'Qf7'], ['b4', 'Nd3'], ['Qb3', 'Nc1\n'], ['Qa3', 'Nd3'], ['Qb3', 'Nc1'], ['Qa3', 'Nxa2'], ['Qxa7', 'h6'], ['Qc5', 'Kh7'], ['Qc8', 'b5'], ['Qc5', 'g5\n'], ['Nxb5', 'e3'], ['fxe3', 'Nc1'], ['e4', 'Qa2+'], ['Qf2', 'Qc4'], ['Nd6', 'Qxc3'], ['Qf5+', 'Kg8'], ['Qd5+', 'Kh7\n'], ['Qf5+', 'Kg8'], ['Qc8+', 'Qxc8'], ['Nxc8', 'Kf7'], ['b5', 'Nd3'], ['b6', 'Nc5'], ['Nd6+', 'Ke6'], ['b7', 'Nd7\n'], ['Nf5', 'g4'], ['hxg4', 'g6'], ['Nxh6', 'Kd6'], ['Kf3', 'Kc7'], ['Kf4', 'Kxb7'], ['Kg5', 'Nc5'], ['e5', 'Kc6\n'], ['Kxg6', 'Ne4'], ['Ng8', 'Nxg3'], ['Nf6', 'Nf1'], ['e6', '']]",1-0
RUS-ch03,Kiev,1903.??.??,6,"Izbinsky, Stefan","Bernstein, Ossip",,,C84,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['d3', 'd6'], ['Be3', 'b5'], ['Bb3', 'Na5\n'], ['c3', 'Nxb3'], ['axb3', 'Bb7'], ['c4', 'c5'], ['Nc3', 'bxc4'], ['bxc4', 'O-O'], ['Qa4', 'Qb6'], ['Rfb1', 'Bc6\n'], ['Qa5', 'Rfb8'], ['Nd5', 'Nxd5'], ['exd5', 'Qxa5'], ['Rxa5', 'Bd7'], ['Kf1', 'Bf5'], ['Ra3', 'e4'], ['dxe4', 'Bxe4\n'], ['Rba1', 'Rxb2'], ['Nd2', 'Bf5'], ['Rxa6', 'Bd3+'], ['Ke1', 'Re8'], ['Ra8', 'Kf8'], ['Rxe8+', 'Kxe8\n'], ['Ra8+', 'Kd7'], ['Ra7+', 'Kd8'], ['Ra3', 'Bf5'], ['Ra6', 'f6'], ['f3', 'Bd3'], ['Bxc5', 'dxc5'], ['d6', 'Bf8\n'], ['Ra8+', 'Kd7'], ['Rxf8', 'Bg6'], ['Rg8', 'Kxd6'], ['Rxg7', 'Bd3'], ['Rg8', 'Kd7'], ['Rf8', 'Rb6'], ['Rf7+', 'Ke8\n'], ['Rc7', 'Re6+'], ['Kd1', 'Re2'], ['Rg7', 'Re5'], ['f4', 'Re6'], ['Rg3', 'Rd6'], ['Kc1', 'Rd4'], ['Kb2', 'Bxc4\n'], ['Nxc4', 'Rxc4'], ['Re3+', 'Kf7'], ['g3', 'h5'], ['Rc3', 'Rxc3'], ['Kxc3', 'Ke6'], ['Kc4', 'Kd6'], ['f5', 'Ke5\n'], ['Kxc5', 'Kxf5'], ['Kd5', 'Kg4'], ['Ke6', 'Kg5'], ['h3', '']]",1/2-1/2
RUS-ch03,Kiev,1903.??.??,7,"Bernstein, Ossip","Kulomzin, Viacheslav Nikolaev",,,C48,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nc3', 'Nc6'], ['Bb5', 'Bc5'], ['Nxe5', 'O-O'], ['O-O', 'Re8'], ['Nf3', 'Nxe4'], ['d4', 'Bf8\n'], ['Nxe4', 'Rxe4'], ['Bd3', 'Re8'], ['Bxh7+', 'Kxh7'], ['Ng5+', 'Kg6'], ['Qd3+', 'f5'], ['Qg3', 'Bd6'], ['f4', 'Kf6\n'], ['Bd2', 'Bb4'], ['Bxb4', 'Nxb4'], ['Qb3', 'd5'], ['Qxb4', 'Qe7'], ['Qc3', 'Qe3+'], ['Qxe3', 'Rxe3'], ['Rae1', 'Rxe1\n'], ['Rxe1', 'Bd7'], ['Re5', 'c6'], ['Kf2', 'Re8'], ['Ke3', 'c5'], ['Rxe8', 'cxd4+'], ['Kxd4', 'Bxe8'], ['Kxd5', 'Bc6+\n'], ['Kd6', 'Bxg2'], ['c4', 'Kg6'], ['Ke5', 'Bc6'], ['b4', '']]",1-0
RUS-ch03,Kiev,1903.??.??,8,"Chigorin, Mikhail","Bernstein, Ossip",,,C30,"[['e4', 'e5'], ['f4', 'Nf6'], ['fxe5', 'Nxe4'], ['Nf3', 'Ng5'], ['c3', 'Nxf3+'], ['Qxf3', 'Qg5'], ['Be2', 'Qxe5'], ['O-O', 'Qe7\n'], ['d4', 'c6'], ['Qg3', 'd5'], ['Bg5', 'f6'], ['Bh5+', 'Kd8'], ['Re1', 'fxg5'], ['Rxe7', 'Bxe7'], ['Nd2', 'g6\n'], ['Bg4', 'Bxg4'], ['Qxg4', 'Nd7'], ['Nf3', 'Kc7'], ['Re1', 'Rae8'], ['Qe6', 'Ba3'], ['Qf7', 'Rxe1+'], ['Nxe1', 'Bxb2\n'], ['Nd3', 'Bxc3'], ['Qg7', 'Rd8'], ['Nc5', 'Kc8'], ['Ne6', 'c5'], ['Qe7', 'Bxd4+'], ['Kf1', 'Rh8'], ['Qxg5', 'Be5\n'], ['h3', 'Re8'], ['Nf4', 'Bxf4'], ['Qxd5', 'Bg3']]",0-1
RUS-ch03,Kiev,1903.??.??,9,"Bernstein, Ossip","Levitsky, Stepan M",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['d4', 'Be7'], ['Bd3', 'Nf6'], ['h3', 'O-O'], ['c4', 'd5\n'], ['Nc3', 'c5'], ['O-O', 'Be6'], ['cxd5', 'Nxd5'], ['Nxd5', 'Qxd5'], ['Qc2', 'Qh5'], ['Be4', 'Nc6'], ['dxc5', 'Nb4\n'], ['Qe2', 'Bxc5'], ['Bxb7', 'Rae8'], ['Re1', 'Re7'], ['a3', 'Bb3'], ['Be4', 'Nc2'], ['Bxc2', 'Rxe2'], ['Rxe2', 'Bxc2\n'], ['Rxc2', 'Qf5'], ['Rc3', 'Be7'], ['Be3', 'Bf6'], ['Bd4', 'Bxd4'], ['Nxd4', 'Qd5'], ['Nf3', 'h6'], ['Rac1', 'Re8\n'], ['Rc8', 'Rxc8'], ['Rxc8+', 'Kh7'], ['Re8', 'Qb5'], ['Re3', 'Qxb2'], ['Ne1', 'f5'], ['g3', 'a5'], ['Ng2', 'g5\n'], ['Ne1', 'Kg7'], ['Re7+', 'Kf6'], ['Re3', 'a4'], ['Ng2', 'Qc1+'], ['Kh2', 'Qf1'], ['f4', 'Qc1'], ['Rf3', 'Qd1\n'], ['fxg5+', 'hxg5'], ['Rxf5+', 'Ke6'], ['Rf8', 'Kd7'], ['Rf7+', 'Kd6'], ['Rf6+', 'Ke7'], ['Rf5', 'Kd6\n'], ['Rf6+', 'Ke5'], ['Rf8', 'Qb3'], ['Re8+', 'Kf6'], ['Re3', 'Qd1'], ['g4', 'Kf7'], ['Rc3', 'Ke6'], ['Re3+', 'Kd7\n'], ['Ne1', 'Kc6'], ['Ng2', 'Kd5'], ['Ne1', 'Kc4'], ['Ng2', 'Kd4'], ['Rg3', '']]",1/2-1/2
RUS-ch03,Kiev,1903.??.??,10,"Schiffers, Emanuel Stepanovich","Bernstein, Ossip",,,B72,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['Nf3', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'Bg7'], ['Be3', 'Nf6'], ['Be2', 'O-O'], ['Qd2', 'd6\n'], ['O-O-O', 'Ng4'], ['Bxg4', 'Bxg4'], ['f3', 'Bd7'], ['g4', 'Ne5'], ['h4', 'Nc4'], ['Qd3', 'Rc8'], ['Kb1', 'Qb6\n'], ['b3', 'Nxe3'], ['Qxe3', 'e5'], ['Nd5', 'exd4'], ['Nxb6', 'dxe3'], ['Nxc8', 'Bxc8'], ['Rhe1', 'Be5'], ['Rxe3', 'Kg7\n'], ['c4', 'Rh8'], ['Kc2', 'h5'], ['g5', 'Rf8'], ['Rf1', 'f5'], ['gxf6+', 'Rxf6'], ['Rd3', 'Bh3']]",0-1
