London m2,London,1849.??.??,?,"Bird, Henry Edward","Medley, George Webb",,,C00,"[['e4', 'e6'], ['f4', 'd5'], ['e5', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'Bd7'], ['Bxc6', 'Bxc6'], ['O-O', 'Nh6'], ['d3', 'Be7\n'], ['Nc3', 'O-O'], ['Ne2', 'f6'], ['Ng3', 'Nf7'], ['d4', 'cxd4'], ['Nxd4', 'fxe5'], ['Nxe6', 'Qb6+'], ['Kh1', 'Bb5\n'], ['Qg4', 'g6'], ['f5', 'Bd7'], ['Nxf8', 'Rxf8'], ['Qf3', 'e4'], ['Qb3', 'Bb5'], ['Be3', 'Qc6'], ['Rf2', 'Bc4\n'], ['Qc3', 'Bf6'], ['Bd4', 'Bxd4'], ['Qxd4', 'Nh6'], ['fxg6', 'hxg6'], ['Rxf8+', 'Kxf8'], ['b3', 'Ba6'], ['c4', 'dxc4\n'], ['Rf1+', 'Kg8'], ['Qd8+', 'Kg7'], ['Qe7+', 'Kh8'], ['Rf8+', '']]",1-0
London m2,London,1849.??.??,?,"Bird, Henry Edward","Medley, George Webb",,,C00,"[['e4', 'e6'], ['f4', 'd5'], ['e5', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'Qb6'], ['Bxc6+', 'bxc6'], ['O-O', 'Nh6'], ['Kh1', 'Be7\n'], ['Nc3', 'O-O'], ['d3', 'a5'], ['b3', 'f6'], ['Ba3', 'Nf5'], ['Qd2', 'Ba6'], ['exf6', 'Rxf6'], ['Ne5', 'Qc7\n'], ['Rae1', 'Rd8'], ['Qf2', 'Nd4'], ['Na4', 'Bb5'], ['Bxc5', 'Bxa4'], ['Bxd4', 'Bb5'], ['Bb6', '']]",1-0
London m2,London,1849.??.??,?,"Medley, George Webb","Bird, Henry Edward",,,D35,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['e3', 'c5'], ['Nf3', 'b6'], ['a3', 'Bb7'], ['b3', 'Bd6'], ['Bb2', 'cxd4'], ['exd4', 'O-O\n'], ['cxd5', 'exd5'], ['Bd3', 'Nc6'], ['O-O', 'Bc8'], ['h3', 'Be6'], ['Rc1', 'Ne7'], ['Ne2', 'Ng6'], ['Ng3', 'Qd7\n'], ['Ne5', 'Qd8'], ['f4', 'Ne7'], ['f5', 'Bd7'], ['Nh5', 'Nxh5'], ['Qxh5', 'f6'], ['Rf4', 'fxe5'], ['f6', 'e4\n'], ['fxe7', 'Qxe7'], ['Qxd5+', 'Be6'], ['Rxf8+', 'Rxf8'], ['Qxe4', 'g6'], ['d5', 'Bf5'], ['Qxe7', 'Bxe7\n'], ['Bxf5', 'Rxf5'], ['Rc8+', 'Kf7'], ['Rh8', 'Bc5+'], ['Kh2', 'Bd6+'], ['Kg1', 'Rxd5'], ['Rxh7+', 'Ke6\n'], ['Bh8', 'Bg3'], ['Kf1', 'Rd2'], ['Rg7', 'Rf2+'], ['Kg1', 'Kf6'], ['Rxa7+', 'Kg5'], ['Ra4', 'Rf4'], ['Rxf4', 'Bxf4\n'], ['Bd4', 'b5'], ['a4', 'bxa4'], ['bxa4', 'Kf5'], ['a5', 'Ke4'], ['a6', '']]",1-0
London m2,London,1849.??.??,?,"Medley, George Webb","Bird, Henry Edward",,,A13,"[['c4', 'e6'], ['e3', 'c5'], ['Nc3', 'Nc6'], ['Nf3', 'Nf6'], ['b3', 'Be7'], ['Bb2', 'O-O'], ['Be2', 'Ne8'], ['O-O', 'f5\n'], ['d4', 'f4'], ['d5', 'Nb8'], ['e4', 'd6'], ['dxe6', 'Bxe6'], ['Nd5', 'Bxd5'], ['exd5', 'Nd7'], ['Bd3', 'Bf6\n'], ['Rb1', 'Bxb2'], ['Rxb2', 'Nef6'], ['Ng5', 'Qa5'], ['Ne6', 'Rf7'], ['Nxf4', 'Ne5'], ['Qd2', 'Qc7'], ['Ne6', 'Qe7\n'], ['f4', 'Nxd3'], ['Qxd3', 'Ng4'], ['Ng5', 'Qe3+'], ['Qxe3', 'Nxe3'], ['Nxf7', 'Nxf1'], ['Nxd6', 'Ne3\n'], ['Nxb7', 'Rb8'], ['Re2', 'Nxd5'], ['cxd5', 'Rxb7'], ['d6', 'Rd7'], ['Re8+', 'Kf7'], ['Re7+', 'Rxe7'], ['dxe7', 'Kxe7\n'], ['Kf2', 'Kd6'], ['Ke3', 'Kd5'], ['Kd3', 'h5'], ['g3', 'a6'], ['a3', 'g6'], ['h3', 'a5'], ['a4', '']]",1-0
London m2,London,1849.??.??,?,"Medley, George Webb","Bird, Henry Edward",,,D31,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['e3', 'c6'], ['a3', 'Bd6'], ['b3', 'O-O'], ['Bb2', 'b6'], ['Nf3', 'Ba6'], ['Bd3', 'c5\n'], ['dxc5', 'bxc5'], ['cxd5', 'Bxd3'], ['Qxd3', 'exd5'], ['Nxd5', 'Nxd5'], ['Qxd5', 'Na6'], ['Rd1', 'Be7\n'], ['Qe5', 'Qxd1+'], ['Kxd1', 'Bf6'], ['Qe4', 'Bxb2'], ['Qb7', 'c4'], ['Qxa6', 'cxb3'], ['Qa4', 'Rfc8'], ['Ke2', 'Rc2+\n'], ['Nd2', 'Bc3'], ['Rd1', 'Rb8'], ['Qxa7', 'Rd8'], ['Qc7', 'Bf6'], ['Qb6', 'b2'], ['Qb3', 'Rdc8'], ['a4', 'R8c3\n'], ['Qb8+', 'Rc8'], ['Qb4', 'Bc3'], ['Qb7', 'Rd8'], ['Kf3', 'Rc1'], ['Ne4', 'Rcxd1'], ['Nxc3', 'R1d2'], ['Nb1', 'Rc2\n'], ['Qb3', 'Rdc8'], ['a5', 'g6'], ['a6', 'R2c7'], ['Qxb2', 'Ra8'], ['Qf6', 'Rca7'], ['Nc3', 'Rxa6'], ['Qg5', 'Ra5\n'], ['Qe7', 'R8a7'], ['Qd8+', 'Kg7'], ['Nd5', 'R7a6'], ['g4', 'Rc5'], ['g5', 'Re6'], ['h4', 'Rcc6'], ['Nf6', 'Rxf6+\n'], ['gxf6+', 'Rxf6+'], ['Kg3', '']]",1-0
London m2,London,1849.??.??,?,"Bird, Henry Edward","Medley, George Webb",,,C00,"[['e4', 'e6'], ['f4', 'd5'], ['e5', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'Bd7'], ['O-O', 'Nxe5'], ['fxe5', 'Bxb5'], ['d3', 'g6\n'], ['Nc3', 'Bc6'], ['Ng5', 'Nh6'], ['Qf3', 'Qe7'], ['Qh3', 'Bg7'], ['Nf3', 'Nf5'], ['g4', 'Nd4'], ['Ng5', 'f6\n'], ['exf6', 'Bxf6'], ['Nf3', 'Nxf3+'], ['Rxf3', 'O-O'], ['Bh6', 'Bd4+'], ['Be3', 'Rxf3'], ['Qxf3', 'Bxe3+\n'], ['Qxe3', 'd4'], ['Qe5', 'dxc3'], ['bxc3', 'Rf8'], ['Re1', 'Qf6'], ['Qxe6+', 'Qxe6'], ['Rxe6', 'Rf4'], ['h3', 'Rf3\n'], ['Kh2', 'Rf2+']]",0-1
London,London,1849.??.??,1,"Medley, George Webb","Bird, Henry Edward",,,A85,"[['c4', 'f5'], ['d4', 'Nf6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e3', 'e6'], ['Nf3', 'Nxc3'], ['bxc3', 'Bd6'], ['Bd3', 'O-O\n'], ['Qc2', 'b6'], ['O-O', 'Bb7'], ['e4', 'fxe4'], ['Bxe4', 'Bxe4'], ['Qxe4', 'Nd7'], ['Qxe6+', 'Kh8'], ['Ng5', 'Qe8\n'], ['Qh3', 'Nf6'], ['Bd2', 'Qg6'], ['f4', 'Ne4'], ['Nxe4', 'Qxe4'], ['Rf2', 'Rf6'], ['Qf3', 'Qxf3'], ['Rxf3', 'Re8\n'], ['Kf2', 'Re4'], ['Re1', 'Rxe1'], ['Kxe1', 'g5'], ['fxg5', 'Rxf3'], ['gxf3', 'Bxh2'], ['f4', 'Bg3+'], ['Ke2', 'Kg7\n'], ['Kf3', 'Bh4'], ['Kg4', 'Bf2'], ['Kh5', 'a5'], ['f5', 'b5'], ['f6+', 'Kg8'], ['g6', 'hxg6+'], ['Kxg6', '']]",1-0
London,London,1849.??.??,2,"Bird, Henry Edward","Medley, George Webb",,,B45,"[['e4', 'c5'], ['d4', 'cxd4'], ['Nf3', 'Nc6'], ['Nxd4', 'e6'], ['Nc3', 'Nf6'], ['Nxc6', 'bxc6'], ['Bd3', 'd5'], ['O-O', 'Bc5\n'], ['Kh1', 'e5'], ['f4', 'Ng4'], ['Qe1', 'd4'], ['Ne2', 'Bd6'], ['h3', 'Nf6'], ['Nxd4', 'exd4'], ['e5', 'O-O\n'], ['Qh4', 'h6'], ['exf6', 'Qxf6'], ['Qxf6', 'gxf6'], ['f5', 'Kh7'], ['Bf4', 'Bxf4'], ['Rxf4', 'c5'], ['Re1', 'Bb7\n'], ['Re7', 'Bd5'], ['Be4', 'Bxe4'], ['Rfxe4', 'Rab8'], ['b3', 'a5'], ['Rc7', 'Rbc8'], ['Ree7', 'Kg8'], ['Ra7', 'Rce8\n'], ['Rxe8', 'Rxe8'], ['Rxa5', 'Re1+'], ['Kh2', 'Rc1'], ['Rxc5', 'd3'], ['Rd5', 'Rxc2'], ['Rxd3', 'Rxa2\n'], ['Kg3', 'h5'], ['b4', 'Rb2'], ['Rd4', 'Kg7'], ['Kf3', 'Kh6'], ['h4', 'Kg7'], ['g3', 'Kf8'], ['g4', 'Rb3+\n'], ['Kf4', 'Rh3'], ['b5', 'Ke7'], ['b6', 'Rb3'], ['gxh5', 'Rxb6'], ['h6', 'Rb8'], ['Kg4', 'Kf8'], ['Rd6', 'Ke7\n'], ['Ra6', 'Rh8'], ['Ra7+', 'Kd6'], ['Rxf7', 'Rxh6'], ['Rg7', 'Rh8'], ['h5', 'Ke5'], ['Rg6', 'Rh7'], ['h6', 'Rh8\n'], ['Kh5', 'Kxf5'], ['Rg7', 'Ra8'], ['Rg1', 'Ke6'], ['h7', 'Kf7'], ['Kh6', 'Rh8'], ['Rg7+', 'Kf8'], ['Ra7', '']]",1-0
London,London,1849.??.??,3,"Medley, George Webb","Bird, Henry Edward",,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['Nf3', 'Nf6'], ['Bd3', 'Bd6'], ['O-O', 'O-O'], ['h3', 'h6'], ['Nc3', 'a6\n'], ['Be3', 'Be6'], ['Qd2', 'Nc6'], ['Nh2', 'Bxh2+'], ['Kxh2', 'Ne7'], ['f4', 'Bf5'], ['Rf2', 'c5'], ['g4', 'Bxd3\n'], ['Qxd3', 'c4'], ['Qe2', 'Qd6'], ['Rg1', 'Rae8'], ['Qf3', 'Ng6'], ['Qg3', 'Ne4'], ['Nxe4', 'Rxe4'], ['f5', 'Qxg3+\n'], ['Rxg3', 'Nh4'], ['f6', 'Ng6'], ['fxg7', 'Kxg7'], ['c3', 'Rfe8'], ['Bd2', 'f6'], ['Rgf3', 'R8e6'], ['Kg3', 'Re2\n'], ['Rf5', 'Rxf2'], ['Kxf2', 'Rb6'], ['Bc1', 'Ne7'], ['Rh5', 'f5'], ['gxf5', 'Rf6'], ['Bf4', 'Nxf5'], ['Be5', 'Kg6\n'], ['Bxf6', 'Kxh5'], ['Kf3', 'Kg6'], ['Bd8', 'Kf7'], ['Kf4', 'Ke6'], ['Bc7', 'b5'], ['Kg4', 'Kf6'], ['Kh5', 'Kf7\n'], ['Be5', 'a5'], ['a3', 'a4'], ['h4', 'Ke6'], ['Bf4', 'Kf7'], ['Bxh6', 'Kg8'], ['Bf4', 'Kg7'], ['Kg5', 'Ne7\n'], ['h5', 'Ng8'], ['Kf5', 'Kf7'], ['Bg5', '']]",1-0
London ,London,1850.??.??,?,"Blackburne, Joseph Henry","Bird, Henry Edward",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Bc5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['d5', 'Na5'], ['Bb2', 'Ne7'], ['Bd3', 'f6'], ['Nh4', 'O-O'], ['Nd2', 'Ng6'], ['Nxg6', 'hxg6'], ['Nf3', 'g5\n'], ['Rc1', 'Bg4'], ['Be2', 'Re8'], ['Qc2', 'c6'], ['dxc6', 'Nxc6'], ['Rfd1', 'Qe7'], ['Nxg5', 'fxg5'], ['Bxg4', 'Qxe4\n'], ['Qb3+', 'Kh8'], ['Qh3+', 'Kg8'], ['Bf5', 'Qh4'], ['Qb3+', 'Kh8'], ['Qf7', 'Ne5'], ['Bxe5', 'Rxe5'], ['Bc8', 'Qf4\n'], ['Qxb7', 'g4'], ['Rc2', 'Qb4'], ['g3', 'Rb8'], ['Qxb8', 'Re1+'], ['Rxe1', 'Qxe1+'], ['Kg2', 'Qe4+'], ['Kf1', 'Qh1+\n'], ['Ke2', 'Qf3+'], ['Kd2', 'Qxf2+'], ['Kc3', 'Qc5+'], ['Kd2', 'Qg5+']]",1/2-1/2
