London ,London,1850.??.??,?,"Blackburne, Joseph Henry","Bird, Henry Edward",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Bc5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['d5', 'Na5'], ['Bb2', 'Ne7'], ['Bd3', 'f6'], ['Nh4', 'O-O'], ['Nd2', 'Ng6'], ['Nxg6', 'hxg6'], ['Nf3', 'g5\n'], ['Rc1', 'Bg4'], ['Be2', 'Re8'], ['Qc2', 'c6'], ['dxc6', 'Nxc6'], ['Rfd1', 'Qe7'], ['Nxg5', 'fxg5'], ['Bxg4', 'Qxe4\n'], ['Qb3+', 'Kh8'], ['Qh3+', 'Kg8'], ['Bf5', 'Qh4'], ['Qb3+', 'Kh8'], ['Qf7', 'Ne5'], ['Bxe5', 'Rxe5'], ['Bc8', 'Qf4\n'], ['Qxb7', 'g4'], ['Rc2', 'Qb4'], ['g3', 'Rb8'], ['Qxb8', 'Re1+'], ['Rxe1', 'Qxe1+'], ['Kg2', 'Qe4+'], ['Kf1', 'Qh1+\n'], ['Ke2', 'Qf3+'], ['Kd2', 'Qxf2+'], ['Kc3', 'Qc5+'], ['Kd2', 'Qg5+']]",1/2-1/2
London-B,London,1862.??.??,?,"Blackburne, Joseph Henry",Ravensworth,,,B32,"[['e4', 'c5'], ['d4', 'cxd4'], ['Nf3', 'Nc6'], ['Nxd4', 'e5'], ['Nb5', 'Bc5'], ['Nd6+', 'Bxd6'], ['Qxd6', 'Nge7'], ['Bc4', 'O-O\n'], ['O-O', 'Na5'], ['Bg5', 'Nxc4'], ['Qxe7', 'Qb6'], ['Nc3', 'f6'], ['Nd5', 'Qc6'], ['Qb4', 'a5'], ['Qc3', 'Rf7\n'], ['Bh4', 'Nd6'], ['Qb3', 'Kf8'], ['Qd3', 'Ne8'], ['Bg3', 'd6'], ['f4', 'b6'], ['fxe5', 'dxe5'], ['Rf3', 'Raa7']]",1-0
London-B,London,1862.??.??,?,"Blackburne, Joseph Henry","Puller, A.",,,C32,"[['e4', 'e5'], ['f4', 'd5'], ['exd5', 'e4'], ['d3', 'Nf6'], ['Nc3', 'Bb4'], ['Bd2', 'exd3'], ['Bxd3', 'O-O'], ['Nge2', 'Bg4\n'], ['O-O', 'Bxc3'], ['Bxc3', 'Nxd5'], ['Qd2', 'Re8'], ['Bd4', 'Nc6'], ['Bf2', 'Ndb4'], ['Nc3', 'Nxd3'], ['Qxd3', 'Nb4\n'], ['Qg3', 'Be2'], ['Nxe2', 'Rxe2'], ['c3', 'Nc2'], ['Rad1', 'Qe7'], ['f5', 'f6'], ['Qd3', 'Re8'], ['Qd5+', 'Kh8\n'], ['Qd3', 'Qe4'], ['Qxe4', 'R2xe4'], ['Rd2', 'Ne3'], ['Re1', 'h5'], ['Rde2', 'R8e5'], ['Rxe3', 'Rxe3'], ['Rxe3', 'Rxf5\n'], ['Re7', 'Rb5'], ['b4', 'a5'], ['a3', 'axb4'], ['axb4', 'Rd5'], ['Bd4', 'c6'], ['Rxb7', 'Rd8'], ['Rc7', 'Rd6\n'], ['Kf2', 'Re6'], ['Rd7', 'Kg8'], ['Bc5', 'g6'], ['Rd6', 'Rxd6'], ['Bxd6', 'Kf7'], ['Ke3', 'Ke6'], ['Bc5', 'Kd5\n'], ['Bd4', 'Ke6'], ['Kd3', 'f5'], ['Bf2', 'Kd5'], ['c4+', 'Kd6'], ['Kd4', 'Ke6'], ['b5', 'cxb5'], ['cxb5', '']]",1-0
London-B,London,1862.??.??,?,"Blackburne, Joseph Henry","Pigott, A.",,,C34,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'd6'], ['d4', 'Qe7'], ['Nc3', 'c6'], ['Bxf4', 'h6'], ['Bd3', 'd5'], ['O-O', 'Nf6\n'], ['exd5', 'Nxd5'], ['Re1', 'Be6'], ['Nxd5', 'cxd5'], ['c4', 'Qd8'], ['cxd5', 'Qxd5'], ['Re5', 'Qd8'], ['d5', 'Qb6+\n'], ['Kh1', 'Bd6'], ['dxe6', 'Bxe5'], ['exf7+', 'Kf8'], ['Nxe5', 'Qf6'], ['Bc4', 'g5'], ['Ng6+', '']]",1-0
London-B,London,1862.??.??,?,"Blackburne, Joseph Henry",Young,,,C41,"[['e4', 'e5'], ['Nf3', 'd6'], ['d4', 'exd4'], ['Qxd4', 'Bd7'], ['Bf4', 'Qf6'], ['Qxf6', 'Nxf6'], ['Nc3', 'Nc6'], ['Bd3', 'a6\n'], ['O-O', 'Be6'], ['Rfe1', 'O-O-O'], ['a3', 'Ng4'], ['b4', 'Nce5'], ['Bxe5', 'Nxe5'], ['Nxe5', 'dxe5'], ['b5', 'a5\n'], ['Na4', 'Rd4'], ['Nb2', 'Bc5'], ['c3', 'Rd6'], ['Bc4', 'Rhd8'], ['Bxe6+', 'Rxe6'], ['Kf1', 'g5'], ['Ke2', 'b6\n'], ['Nc4', 'h5'], ['h3', 'f6']]",1/2-1/2
London-B,London,1862.??.??,?,"Blackburne, Joseph Henry","Parminter, HB.",,,C51,"[['e4', 'e5'], ['Bc4', 'Nc6'], ['Nf3', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Bc5'], ['d4', 'exd4'], ['O-O', 'd6'], ['cxd4', 'Bb6\n'], ['Nc3', 'Bg4'], ['Bb5', 'Bd7'], ['e5', 'dxe5'], ['d5', 'Nd4'], ['Bxd7+', 'Qxd7'], ['Nxe5', 'Qf5'], ['Qa4+', 'Kd8\n'], ['Bg5+', 'Ne7'], ['d6', 'cxd6'], ['Nd5', 'Nf3+'], ['Nxf3', 'Qxd5'], ['Rad1', 'Qc6'], ['Qxc6', 'bxc6\n'], ['Rxd6+', 'Ke8'], ['Re1', 'f6'], ['Bc1', 'Kf7'], ['Rd7', 'Rhe8'], ['Ba3', 'c5'], ['Nd2', 'Rad8'], ['Rxd8', 'Rxd8\n'], ['Nb3', 'Rd5'], ['Rc1', 'c4'], ['Re1', 'cxb3'], ['Rxe7+', 'Kg6'], ['h3', 'bxa2'], ['Bb2', 'Bd4'], ['Bxd4', 'Rxd4']]",0-1
London-B,London,1862.??.??,?,"Blackburne, Joseph Henry",Howard,,,C54,"[['e4', 'e5'], ['d4', 'exd4'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['e5', 'Ng4'], ['O-O', 'O-O'], ['cxd4', 'd5\n'], ['Bb3', 'Bb6'], ['Nc3', 'Ne7'], ['h3', 'Nh6'], ['Bxh6', 'gxh6'], ['Qd2', 'Kg7'], ['Ne2', 'f6'], ['Ng3', 'Qe8\n'], ['Rae1', 'Be6'], ['Re3', 'f5'], ['Ne2', 'f4'], ['Rc3', 'Ba5'], ['Nxf4', 'Qf7'], ['Nxe6+', 'Qxe6'], ['Bc2', 'Ng6\n'], ['b4', 'Bb6'], ['Nh2', 'h5'], ['Kh1', 'Rf4'], ['Rd3', 'c6'], ['g3', 'Rf7'], ['f4', 'Kh8'], ['Rdf3', 'Qxh3\n'], ['g4', 'Qh4'], ['g5', 'Nxf4'], ['Rxf4', 'Qxg5'], ['Qd3', 'Rg8'], ['Rg4', 'hxg4'], ['Rxf7', 'Qg6'], ['Rxh7+', '']]",1-0
London-B,London,1862.??.??,?,"Blackburne, Joseph Henry",Gillam,,,B40,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'd5'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Nxd7'], ['dxc5', 'Nxc5'], ['exd5', 'Qxd5\n'], ['Qxd5', 'exd5'], ['O-O', 'Bd6'], ['Nc3', 'Rd8'], ['a3', 'Ne7'], ['Bg5', 'f6'], ['Bh4', 'O-O'], ['Rad1', 'Ne4\n'], ['Nd4', 'Nxc3'], ['bxc3', 'Rc8'], ['Rd3', 'Rc4'], ['f4', 'Ng6'], ['Bg3', 'Bc5'], ['Be1', 'Re8'], ['Kh1', 'Bxa3\n'], ['f5', 'Ne5'], ['Rg3', 'Bd6'], ['Ne6', 'Ng4'], ['Rd3', 'Bxh2'], ['g3', 'g6'], ['Nd4', 'Re3'], ['Nf3', 'Rce4\n'], ['Rd1', 'Re2'], ['Bf2', 'Rxf2'], ['Rxf2', 'Nxf2+'], ['Kxh2', 'Nxd1']]",0-1
London-B,London,1862.??.??,?,"Blackburne, Joseph Henry","Chinnery, WM.",,,C65,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Bc5'], ['d3', 'Qe7'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['Nc3', 'a6\n'], ['Nd5', 'Qd8'], ['Ba4', 'b5'], ['Bb3', 'd6'], ['c3', 'Bg4'], ['Ne3', 'Bxf3'], ['Qxf3', 'O-O'], ['Bd5', 'Qd7\n'], ['Nf5', 'Kh7'], ['d4', 'Bb6'], ['Qg4', 'Rg8'], ['Nxh6', 'Qxg4'], ['Nxg4', 'Ne7'], ['Bxa8', 'Rxa8'], ['dxe5', 'dxe5\n'], ['Nxe5', 'f6'], ['Ng4', 'Re8'], ['Kh1', 'Ng6'], ['Rfe1', 'Nf4'], ['g3', 'Nd3'], ['Re2', 'f5'], ['Rd1', 'Nc5\n'], ['Ne3', 'Nxe4'], ['Kg2', 'Nf6'], ['Ree1', 'g5'], ['Nd5', 'Rxe1'], ['Nxf6+', 'Kg7'], ['Nh5+', 'Kh6'], ['Rxe1', 'Kxh5\n'], ['f4', 'Bc5'], ['Re8', 'Kh6'], ['Ra8', 'Bd6'], ['Rxa6', '']]",1-0
London mt,London,1862.??.??,?,"Blackburne, Joseph Henry","Mongredien, Augustus",,,B01,"[['e4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qd8'], ['d4', 'e6'], ['Nf3', 'Nf6'], ['Bd3', 'Be7'], ['O-O', 'O-O'], ['Be3', 'a6\n'], ['Ne5', 'b5'], ['f4', 'Bb7'], ['f5', 'Nbd7'], ['Ne2', 'Nd5'], ['Bf4', 'c5'], ['Ng3', 'N7f6'], ['Nh5', 'c4\n'], ['Be2', 'exf5'], ['Qe1', 'Nxh5'], ['Bxh5', 'Nf6'], ['Bf3', 'Qxd4+'], ['Be3', 'Qxe5'], ['Bxb7', 'Rad8\n'], ['Kh1', 'Ng4'], ['Bf4', 'Qxe1'], ['Raxe1', 'Bc5'], ['h3', 'Nf2+'], ['Kh2', 'a5'], ['Ba6', 'Ne4'], ['Bxb5', 'g5\n'], ['Bc7', 'Bd6+'], ['Bxd6', 'Nxd6'], ['Re5', 'f6'], ['Rd5', 'Nxb5'], ['Rxb5', 'Rd2'], ['Rfxf5', 'Rxc2\n'], ['Rb7', 'Rf7'], ['Rb8+', 'Kg7'], ['Rb6', 'Kg6'], ['Rxa5', 'Rd7'], ['Ra3', 'Rdd2'], ['Rg3', 'h5'], ['b4', 'Rxa2\n'], ['Rc6', 'Rdc2'], ['b5', 'Rab2'], ['b6', 'h4'], ['Rf3', 'Rxg2+'], ['Kh1', 'Rgd2'], ['Rfxf6+', 'Kg7'], ['Rg6+', 'Kf7\n'], ['Rxg5', 'Rd1+'], ['Rg1', 'Rxg1+'], ['Kxg1', 'c3'], ['Rxc3', '']]",1/2-1/2
London mt,London,1862.??.??,?,"Steinitz, William","Blackburne, Joseph Henry",,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['exd5', 'exd5'], ['Nf3', 'Nf6'], ['Bd3', 'O-O'], ['O-O', 'Bg4'], ['Kh1', 'c6\n'], ['Ne2', 'Bd6'], ['Ne5', 'Nbd7'], ['f4', 'Re8'], ['Bd2', 'Nf8'], ['h3', 'Bxe2'], ['Qxe2', 'N6d7'], ['Qf2', 'f6\n'], ['Rae1', 'fxe5'], ['fxe5', 'Bc7'], ['Qf7+', 'Kh8'], ['Qh5', 'Re6'], ['Rf7', 'Qe8'], ['Ref1', 'h6'], ['Qg4', 'Bxe5\n'], ['dxe5', 'Ng6'], ['Bxh6', 'gxh6'], ['Bxg6', 'Nxe5'], ['Rf8+', 'Kg7'], ['Rxe8', 'Raxe8'], ['Qd4', 'Kxg6\n'], ['Qxa7', 'R6e7'], ['Qf2', 'Re6'], ['Qf5+', 'Kg7'], ['g4', 'b5'], ['c3', 'R8e7'], ['b3', 'Nd7'], ['a4', 'bxa4\n'], ['bxa4', 'Nc5'], ['Qf8+', 'Kg6'], ['a5', 'h5'], ['gxh5+', 'Kxh5'], ['Rg1', 'Ne4'], ['Qf5+', 'Kh6'], ['Qf4+', '']]",1-0
