RUS-chB,Vilnius,1912.??.??,1,"Hromadka, Karel","Bogoljubow, Efim",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Bc4', 'Bc5'], ['O-O', 'd6'], ['c3', 'dxc3'], ['Nxc3', 'Nge7'], ['a3', 'O-O\n'], ['b4', 'Bb6'], ['Bg5', 'Bg4'], ['Nd5', 'h6'], ['Bh4', 'Qe8'], ['h3', 'Bxf3'], ['Qxf3', 'Ng6'], ['Bf6', 'Nce5\n'], ['Bxe5', 'Nxe5'], ['Qg3', 'Qd8'], ['Bb3', 'Qg5'], ['Qxg5', 'hxg5'], ['Rad1', 'Rfd8'], ['Kh1', 'Kf8'], ['g3', 'c6\n'], ['Nc3', 'g4'], ['Kg2', 'gxh3+'], ['Kxh3', 'Ke7'], ['Kg2', 'Ng4'], ['Rd2', 'Rh8'], ['Bd1', 'Rh2+'], ['Kf3', 'Ne3\n'], ['Re1', 'Nc4'], ['Ra2', 'Ne5+']]",0-1
RUS-chB,Vilnius,1912.??.??,2,"Bogoljubow, Efim","Platz, R.",,,C68,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Bxc6', 'dxc6'], ['Nc3', 'Bc5'], ['d3', 'Qd6'], ['Be3', 'Bxe3'], ['fxe3', 'Ne7\n'], ['Qd2', 'Ng6'], ['O-O-O', 'Be6'], ['Kb1', 'f6'], ['Ne2', 'O-O-O'], ['Qc3', 'c5'], ['Nd2', 'b5'], ['Nb3', 'c4\n'], ['dxc4', 'Qxd1+'], ['Rxd1', 'Rxd1+'], ['Nec1', 'Bxc4'], ['Nc5', 'Rhd8'], ['b3', 'Rf1'], ['bxc4', 'Rdd1\n'], ['Nd3', 'Nh4'], ['cxb5', 'axb5'], ['Kb2', 'Nxg2'], ['Qc6', 'Nxe3'], ['Qe8+', 'Kb7'], ['Qxb5+', 'Kc8\n'], ['Nc5', 'Rd2'], ['Qe8+', '']]",1-0
RUS-chB,Vilnius,1912.??.??,3,"Ern, H.","Bogoljubow, Efim",,,C66,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'd6'], ['d4', 'Bd7'], ['Nc3', 'exd4'], ['Nxd4', 'Be7'], ['Bxc6', 'bxc6\n'], ['Qd3', 'O-O'], ['Bg5', 'Rb8'], ['Rab1', 'Ng4'], ['Bxe7', 'Qxe7'], ['f4', 'f5'], ['Rbe1', 'fxe4'], ['Rxe4', 'Qh4\n'], ['Nf3', 'Qh5'], ['Qd4', 'c5'], ['Qc4+', 'Kh8'], ['Re7', 'Bc6'], ['h3', 'Bxf3'], ['Rxf3', 'Ne5'], ['Rxe5', 'dxe5\n'], ['Qxc5', 'Qe8'], ['Qxc7', 'exf4'], ['Qxa7', 'Rxb2'], ['Qf2', 'Qg6'], ['Rxf4', 'Rxf4'], ['Qxf4', 'h6\n'], ['Nd5', 'Rxc2'], ['Ne3', 'Rxa2']]",0-1
RUS-chB,Vilnius,1912.??.??,7,"Bogoljubow, Efim","Langleben, S.",,,A82,"[['d4', 'f5'], ['e4', 'd6'], ['Nc3', 'Nf6'], ['Bd3', 'fxe4'], ['Nxe4', 'g6'], ['Nxf6+', 'exf6'], ['Qe2+', 'Qe7'], ['Be3', 'Bg7\n'], ['O-O-O', 'O-O'], ['h4', 'f5'], ['Bc4+', 'Kh8'], ['Qd2', 'h5'], ['Bg5', 'Qd7'], ['Nf3', 'b5'], ['Bb3', 'Bb7\n'], ['Rhe1', 'Be4'], ['Ng1', 'a5'], ['a3', 'a4'], ['Ba2', 'b4'], ['Qxb4', 'Nc6'], ['Qc4', 'd5'], ['Qc5', 'Bxg2\n'], ['f3', 'Ra5'], ['Qc3', 'Rb5'], ['Kb1', 'Rfb8'], ['Bc1', 'Nxd4'], ['Rxd4', 'c5'], ['Rxd5', 'Bxc3'], ['Rxd7', 'Rxb2+\n'], ['Bxb2', 'Bxb2'], ['Ree7', 'Bd4+'], ['Kc1', '']]",1-0
RUS-chB,Vilnius,1912.??.??,8,"List, Paul","Bogoljubow, Efim",,,D15,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'c6'], ['e3', 'Qb6'], ['Nc3', 'Bf5'], ['Bd3', 'Bxd3'], ['Qxd3', 'e6'], ['O-O', 'Bb4\n'], ['Ne2', 'Be7'], ['a3', 'Nbd7'], ['c5', 'Qc7'], ['b4', 'O-O'], ['Bb2', 'Ne4'], ['Ne5', 'f6'], ['Nxd7', 'Qxd7\n'], ['f3', 'Ng5'], ['e4', 'f5'], ['e5', 'Kh8'], ['Rae1', 'Nf7'], ['Ng3', 'Nh6'], ['Bc1', 'g5'], ['h4', 'Rg8'], ['Nh5', 'Rg6\n'], ['hxg5', 'Bxg5'], ['Bxg5', 'Rxg5'], ['Nf4', 'Rag8'], ['Kf2', 'Qg7'], ['Rg1', 'Rg3'], ['Ke2', 'Ng4'], ['Rh1', 'Rxg2+\n'], ['Nxg2', 'Nf2'], ['Qe3', 'Nxh1'], ['Nf4', 'Qh6'], ['Kd3', 'Nf2+'], ['Kc3', 'Nh3'], ['Nxh3', 'Qxh3'], ['Re2', 'Rg3']]",0-1
RUS-chB,Vilnius,1912.??.??,12,"Vait, A.","Bogoljubow, Efim",,,D15,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'c6'], ['Nc3', 'dxc4'], ['e3', 'b5'], ['a4', 'Nd5'], ['axb5', 'Nxc3'], ['bxc3', 'cxb5\n'], ['Ne5', 'Bb7'], ['Rb1', 'Qd5'], ['f3', 'f5'], ['Qc2', 'e6'], ['Qb2', 'Ba6'], ['Bxc4', 'bxc4'], ['Qxb8+', 'Rxb8\n'], ['Rxb8+', 'Ke7'], ['e4', 'fxe4'], ['Bg5+', 'Kd6'], ['Nf7+', 'Kc7'], ['Bf4+', 'Bd6'], ['Bxd6+', 'Qxd6\n'], ['Rxh8', 'Qf4'], ['O-O', 'e3'], ['Nd8', 'Bc8'], ['g3', 'Qf5'], ['Nc6', 'Qc2'], ['Re1', 'Qxc3'], ['Kf1', 'Qd3+']]",0-1
RUS-chB,Vilnius,1912.??.??,15,"Bogoljubow, Efim","Gargulak, M.",,,C66,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'd6'], ['d4', 'Bd7'], ['Nc3', 'Be7'], ['dxe5', 'Nxe5'], ['Bxd7+', 'Qxd7\n'], ['Nd4', 'O-O-O'], ['f4', 'Nc6'], ['Kh1', 'h5'], ['Nxc6', 'Qxc6'], ['Nd5', 'Qd7'], ['Qd4', 'c5'], ['Qc4', 'Nxd5\n'], ['exd5', 'Bf6'], ['Rb1', 'b5'], ['Qb3', 'Qb7'], ['a4', 'b4'], ['Qc4', 'Rhe8'], ['c3', 'a5'], ['cxb4', 'axb4\n'], ['b3', 'Re7'], ['Bd2', 'Rde8'], ['Rfe1', 'Rxe1+'], ['Bxe1', 'Bd4'], ['Bd2', 'g6'], ['Rc1', 'Kb8'], ['Re1', 'Rxe1+\n'], ['Bxe1', 'Ka7'], ['Bh4', 'Qa6'], ['Qc1', 'Qe2'], ['Bg3', 'c4'], ['f5', 'c3'], ['Bf4', 'c2'], ['h3', 'Qd1+\n'], ['Kh2', 'Be5'], ['Qe3+', 'Kb7'], ['g3', 'Bxf4'], ['Qe7+', 'Ka6'], ['gxf4', 'Qd2+'], ['Kg3', 'c1=Q'], ['Qxd6+', 'Kb7\n'], ['Qd7+', 'Qc7'], ['Qb5+', 'Ka7']]",0-1
St Petersburg,St Petersburg,1913.??.??,?,"Bogoljubow, Efim","Nimzowitsch, Aaron ",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['e5', 'Nfd7'], ['Qg4', 'c5'], ['Nf3', 'a6'], ['dxc5', 'Qc7'], ['Qg3', 'Nxc5\n'], ['Bd3', 'g6'], ['Bf4', 'Nc6'], ['O-O', 'Ne7'], ['Rac1', 'Bg7'], ['b4', 'Nd7'], ['Ne2', 'O-O'], ['Ned4', 'Nc6\n'], ['Nxc6', 'bxc6'], ['c4', 'dxc4'], ['Bxc4', 'Qb8'], ['Rb1', 'Nb6'], ['Nd2', 'Rd8'], ['Rfc1', 'Nd5'], ['Re1', 'Nxf4\n'], ['Qxf4', 'Bxe5'], ['Rxe5', 'Rxd2'], ['Qg5', 'Qd6'], ['Rbe1', 'Qd4'], ['Bf1', 'Qxf2+'], ['Kh1', 'f6'], ['Qe3', 'fxe5']]",0-1
St Petersburg,St Petersburg,1913.??.??,?,"Alekhine, Alexander","Bogoljubow, Efim",,,C64,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Bc5'], ['c3', 'Nge7'], ['d4', 'exd4'], ['cxd4', 'Bb4+'], ['Bd2', 'Bxd2+'], ['Qxd2', 'a6\n'], ['Ba4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qe6+'], ['Kf1', 'Qc4+'], ['Kg1', 'O-O'], ['d5', 'Rd8'], ['Qe1', 'Bg4\n'], ['Bb3', 'Qf4'], ['dxc6', 'Bxf3'], ['Qxe7', 'Bxc6'], ['h4', 'Rd2'], ['Rf1', 'Re8'], ['Qg5', 'Rxf2'], ['Bxf7+', 'Kh8\n'], ['Rd1', 'Qxf7'], ['Rd2', 'h6'], ['Rxf2', 'Re1+'], ['Kh2', 'Qxf2'], ['Qg4', 'Bxg2']]",0-1
Baden-Baden m,Baden-Baden,1914.??.??,?,"Rabinovich, Ilya Leontievich","Bogoljubow, Efim",,,D07,"[['d4', 'd5'], ['Nf3', 'Nc6'], ['c4', 'Bg4'], ['cxd5', 'Bxf3'], ['gxf3', 'Qxd5'], ['e3', 'e5'], ['Nc3', 'Bb4'], ['Bd2', 'Bxc3\n'], ['bxc3', 'exd4'], ['cxd4', 'Nge7'], ['Bd3', 'O-O'], ['O-O', 'Rad8'], ['Be4', 'Qd6'], ['Rb1', 'b6'], ['Qc2', 'f5\n'], ['Bxc6', 'Nxc6'], ['Rfc1', 'Rf6'], ['Qc4+', 'Kh8'], ['f4', 'Rh6'], ['Rb5', 'Qg6+'], ['Kf1', 'Rd6'], ['Ke2', 'Rxh2\n'], ['Be1', 'Qe8'], ['Re5', 'Nxe5'], ['fxe5', 'Rd7'], ['e6', 'Re7'], ['d5', 'Rh6'], ['Bb4', 'c5'], ['Be1', 'Qh5+\n'], ['f3', 'Qh2+'], ['Bf2', 'Rg6'], ['Qh4', 'Qd6'], ['Rd1', 'Kg8'], ['Qh3', 'f4'], ['e4', 'b5'], ['Qf5', 'Rf6\n'], ['Qg5', 'Rg6'], ['Qf5', 'Rf6']]",1/2-1/2
