URS-chT,Naberezhnie Chelni,1988.??.??,?,"Bologan, Viktor","Paranichev, V.",,,B52,"[['e4', 'c5'], ['Nf3', 'd6'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Qxd7'], ['c4', 'Qg4'], ['O-O', 'Qxe4'], ['d4', 'cxd4'], ['Re1', 'Qg4\n'], ['h3', 'Qd7'], ['Nxd4', 'Nc6'], ['Nc3', 'e6'], ['Bf4', 'Rd8'], ['Qd3', 'Be7'], ['Rad1', 'Nf6'], ['Ndb5', 'O-O\n'], ['Qf3', 'Ne8'], ['Bxd6', 'Bxd6'], ['c5', 'Qe7'], ['cxd6', 'Nxd6'], ['Nd5', 'Qd7'], ['Nxd6', 'exd5'], ['Rxd5', 'Nb4\n'], ['Rd2', 'Qc7'], ['Red1', 'Nc6'], ['a3', 'a6'], ['b4', 'b5'], ['Qc3', 'Qb7'], ['Nf5', 'f6'], ['Qxc6', '']]",1-0
URS-chTJ,Kramatorsk,1989.??.??,?,"Sepp, Olav","Bologan, Viktor",,,A04,"[['Nf3', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'O-O'], ['d3', 'd6'], ['e4', 'c5'], ['c3', 'Nc6'], ['Re1', 'Rb8\n'], ['h3', 'b5'], ['d4', 'cxd4'], ['cxd4', 'd5'], ['e5', 'Ne4'], ['Bf4', 'Qb6'], ['Nc3', 'Nxc3'], ['bxc3', 'Be6\n'], ['Be3', 'Na5'], ['Nd2', 'Rfc8'], ['Rc1', 'Rc7'], ['Nb3', 'Nxb3'], ['Qxb3', 'Rc4'], ['Bf1', 'Ra4'], ['Rb1', 'Qa5\n'], ['Rb2', 'a6'], ['Bg2', 'Rc8'], ['Bd2', 'Qd8'], ['g4', 'Qd7'], ['Kh2', 'Rac4'], ['Bf1', 'R4c7'], ['Bg2', 'Kh8\n'], ['f4', 'f5'], ['gxf5', 'gxf5'], ['Bf3', 'Bf7'], ['Rg1', 'Bh6'], ['Rbb1', 'e6'], ['Rg2', 'Qe7'], ['Rbg1', 'Qh4\n'], ['Rg3', 'Bg6'], ['Qa3', 'Rc6'], ['Kh1', 'Re8'], ['Qb4', 'Bxf4'], ['Bxf4', 'Qxf4'], ['a4', 'Qh6'], ['Kh2', 'Qd2+\n'], ['Bg2', 'f4'], ['Rxg6', 'hxg6'], ['axb5', 'Rxc3'], ['Qb1', 'Rxh3+'], ['Kxh3', 'Qe3+'], ['Bf3', 'Qxf3+\n'], ['Kh2', 'Re7'], ['Rg2', 'Rh7+'], ['Kg1', 'Qe3+'], ['Rf2', 'Qh3']]",0-1
URS-chTJ,Kramatorsk,1989.??.??,?,"Bologan, Viktor","Ruzele, Darius",,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['Nf3', 'Bd6'], ['c4', 'c6'], ['Nc3', 'Ne7'], ['Bd3', 'dxc4'], ['Bxc4', 'O-O\n'], ['h3', 'Nd7'], ['O-O', 'Nb6'], ['Bb3', 'Ned5'], ['Bc2', 'Bf4'], ['Qd3', 'g6'], ['Bxf4', 'Nxf4'], ['Qe3', 'Nbd5\n'], ['Nxd5', 'Nxd5'], ['Qh6', 'Qf6'], ['Rae1', 'Qg7'], ['Qh4', 'Bd7'], ['Bb3', 'Rfe8'], ['Re5', 'Rxe5'], ['dxe5', 'Be6\n'], ['Re1', 'h6'], ['Nd2', 'Qf8'], ['Ne4', 'Qb4'], ['Re3', 'Kg7'], ['Bxd5', 'cxd5'], ['Qf6+', 'Kg8'], ['Nd6', 'Qb6\n'], ['Rg3', 'Kh7'], ['Nxf7', 'Rg8'], ['Rxg6', '']]",1-0
URS-chTJ,Kramatorsk,1989.??.??,?,"Bologan, Viktor","Ivanchuk, Vassily",,,B07,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'd6'], ['g3', 'Nf6'], ['Bg2', 'O-O'], ['Nge2', 'e5'], ['h3', 'b6'], ['Bg5', 'Bb7\n'], ['Qd2', 'Nc6'], ['d5', 'Ne7'], ['O-O-O', 'Bc8'], ['g4', 'Ne8'], ['Ng3', 'f6'], ['Be3', 'Bd7'], ['Bf1', 'a6\n'], ['Bd3', 'b5'], ['f4', 'exf4'], ['Bxf4', 'c5'], ['dxc6', 'Nxc6'], ['Be2', '']]",1/2-1/2
URS-chTJ,Kramatorsk,1989.??.??,?,"Shirov, Alexei","Bologan, Viktor",,,D10,"[['d4', 'd5'], ['c4', 'c6'], ['Nc3', 'Nf6'], ['cxd5', 'cxd5'], ['Bf4', 'Nc6'], ['e3', 'a6'], ['Bd3', 'e6'], ['Rc1', 'Bd6\n'], ['Bxd6', 'Qxd6'], ['f4', 'Bd7'], ['Nf3', 'Rc8'], ['O-O', 'Na5'], ['Ne5', 'Nc4'], ['Qe2', 'b5'], ['g4', 'g6\n'], ['g5', 'Nh5'], ['Bxc4', 'dxc4'], ['b3', 'cxb3'], ['axb3', 'Ke7'], ['Ne4', 'Qd5'], ['Nc5', 'Bc6'], ['Rf3', 'f6\n'], ['gxf6+', 'Nxf6'], ['Nxa6', 'Ba8'], ['Rc7+', 'Rxc7'], ['Nxc7', 'Qxb3'], ['Rf1', '']]",1/2-1/2
URS-chT,Azov,1991.??.??,?,"Ionov, Sergey","Bologan, Viktor",,,A15,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'd6'], ['d4', 'Nc6'], ['d5', 'Ne5'], ['Nxe5', 'dxe5'], ['Nc3', 'O-O\n'], ['O-O', 'e6'], ['dxe6', 'Bxe6'], ['Bxb7', 'Rb8'], ['Bg2', 'Qd4'], ['Qa4', 'Bd7'], ['Qa5', 'Qxc4'], ['b3', 'Qg4\n'], ['Ba3', 'Rfe8'], ['Rad1', 'e4'], ['e3', 'h5'], ['Rd2', 'h4'], ['h3', 'Qe6'], ['gxh4', 'Rb6'], ['Bc5', 'Ra6\n'], ['Qb4', 'Qf5'], ['Rfd1', 'Rc6'], ['Nd5', 'a5'], ['Qxa5', 'Nxd5'], ['Rxd5', 'Be5'], ['Qd2', 'Be6'], ['Rd8', 'Rxd8\n'], ['Qxd8+', 'Kh7'], ['b4', 'Ra6'], ['Qg5', 'Rxa2'], ['Qxf5', 'Bxf5'], ['Bd4', 'Bd6'], ['Bf6', 'Ra4'], ['b5', 'Rb4\n'], ['Bf1', 'Bd7'], ['Ra1', 'Bf8'], ['Rc1', 'Bxb5'], ['Bxb5', 'Rxb5'], ['Rxc7', 'Rf5'], ['Bd4', 'Bb4'], ['Rb7', 'Be1\n'], ['Rb2', 'g5'], ['Kf1', 'Ba5'], ['Rb7', 'gxh4'], ['Re7', 'Kg6'], ['Rxe4', 'Rh5'], ['Rg4+', 'Kf5'], ['Rf4+', 'Ke6\n'], ['Rf6+', 'Ke7'], ['Ra6', 'Bb4'], ['Bf6+', 'Kd7'], ['Ra4', 'Ke6'], ['Bd8', 'Kd7'], ['Rxb4', 'Kxd8'], ['Re4', 'Kd7\n'], ['Ke2', 'Kd6'], ['Kf3', 'Rh8'], ['Kf4', 'Rg8'], ['Ra4', 'Ke7'], ['Ra7+', 'Kf6'], ['Ra6+', 'Kg7'], ['Kg4', 'Kf8+\n'], ['Kxh4', 'Rg2'], ['Rf6', 'Ke7'], ['Rf5', 'f6'], ['e4', 'Rg1'], ['f3', 'Rg8'], ['Rf4', 'Rg1'], ['Kh5', 'Kf7\n'], ['Kh4', 'Ke7'], ['Rg4', 'Rf1'], ['Kg3', 'f5'], ['Rf4', 'fxe4'], ['fxe4', 'Rg1+'], ['Kh4', 'Ke6'], ['Kh5', 'Rg8\n'], ['Rf5', 'Rh8+'], ['Kg4', 'Rg8+'], ['Rg5', 'Ra8'], ['h4', 'Ra4'], ['Kf4', 'Ra2'], ['Rg6+', 'Kf7'], ['Rb6', 'Rf2+\n'], ['Kg5', '']]",1-0
URS-chT,Azov,1991.??.??,?,"Magerramov, Elmar","Bologan, Viktor",,,E92,"[['d4', 'd6'], ['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Be2', 'e5'], ['Be3', 'Ng4'], ['Bg5', 'f6\n'], ['Bh4', 'Nc6'], ['d5', 'Ne7'], ['Nd2', 'Nh6'], ['f3', 'g5'], ['Bf2', 'f5'], ['h4', 'g4'], ['fxg4', 'Nxg4'], ['Bxg4', 'fxg4\n'], ['Be3', 'c5'], ['g3', 'a6'], ['a4', 'Kh8'], ['Rf1', 'b6'], ['Rb1', 'Ng8'], ['Rxf8', 'Qxf8'], ['b4', 'Nf6\n'], ['Qe2', 'Bd7'], ['Qf2', 'Qe7'], ['bxc5', 'bxc5'], ['Bg5', 'h6'], ['Bxf6', 'Bxf6'], ['Rb7', 'Rf8'], ['Qe2', 'Qd8\n'], ['a5', 'Bc8'], ['Rb6', 'Bxh4'], ['gxh4', 'Qxh4+'], ['Kd1', 'g3'], ['Rxd6', 'Kh7'], ['Qe3', 'g2'], ['Kc2', 'Bg4\n'], ['Qxc5', 'Rg8'], ['Rb6', 'Bd1+'], ['Nxd1', 'g1=Q'], ['Rb7+', 'Kh8'], ['Ne3', 'Qgf2'], ['Kc3', 'Qh3'], ['Kd3', 'Qh5']]",0-1
URS-chT,Azov,1991.??.??,?,"Lputian, Smbat G","Bologan, Viktor",,,E97,"[['d4', 'd6'], ['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Be2', 'e5'], ['O-O', 'Nc6'], ['Be3', 'Ng4\n'], ['Bg5', 'f6'], ['Bc1', 'f5'], ['Bg5', 'Qe8'], ['Nd5', 'Qf7'], ['Be7', 'Nxe7'], ['Ng5', 'Qe8'], ['Nxc7', 'Qd8\n'], ['Nce6', 'Bxe6'], ['Nxe6', 'Qd7'], ['exf5', 'gxf5'], ['Nxf8', 'Rxf8'], ['h3', 'Nh6'], ['dxe5', 'Bxe5\n'], ['Bf3', 'b6'], ['Re1', 'Ng6'], ['Rb1', 'Qg7'], ['b4', 'Kh8'], ['c5', 'dxc5'], ['bxc5', 'bxc5'], ['Rb7', 'Qf6\n'], ['Qd7', 'Rf7'], ['Qe8+', 'Kg7'], ['Reb1', 'Bc7'], ['Re1', 'Qd6'], ['Kf1', 'c4'], ['Qe3', 'Bb6'], ['Qc3+', 'Bd4\n'], ['Qxc4', 'Rxb7'], ['Bxb7', 'Bf6'], ['Bf3', 'Nf7'], ['Qd5', 'Qa6+'], ['Be2', 'Qc8'], ['Rb1', 'Nf4'], ['Qc4', 'Qxc4\n'], ['Bxc4', 'Nd6'], ['Ba6', 'Bd4'], ['Rc1', 'Ne4'], ['Rc7+', 'Kg6'], ['Bb7', 'Bb6'], ['Rd7', 'Nc5'], ['Rd6+', 'Kg7\n'], ['Bc8', 'Ne4'], ['Rc6', 'Nxf2'], ['Rxb6', 'axb6'], ['Kxf2', 'Kf6'], ['Ba6', 'Ne6'], ['Bc4', 'Nd4'], ['Ke3', 'Ke5\n'], ['Kd3', 'f4'], ['Bg8', 'h5'], ['Bf7', 'h4'], ['Bh5', 'Nf5'], ['Bf3', 'Nd6'], ['a4', 'Nf5'], ['Ba8', 'Nd6\n'], ['Ke2', 'Ne4'], ['Kf3', 'Nc5'], ['Bc6', 'Kf5'], ['Be8', 'Kg5'], ['Bb5', 'Kf5'], ['Bc6', 'Kg5'], ['Ke2', 'Kf5\n'], ['Kd2', 'Ke5'], ['Kc3', 'Kd6'], ['Be8', 'Kd5'], ['Bb5', 'Ne4+'], ['Kb4', 'Kd4'], ['Bc6', 'Nd6'], ['Bf3', 'Kd3\n'], ['Bc6', 'Kd4']]",1/2-1/2
URS-chT,Azov,1991.??.??,?,"Annageldiev, Orazly","Bologan, Viktor",,,B08,"[['d4', 'd6'], ['Nf3', 'Nf6'], ['Nc3', 'g6'], ['e4', 'Bg7'], ['Be2', 'O-O'], ['O-O', 'c6'], ['Re1', 'Nbd7'], ['a4', 'e5\n'], ['dxe5', 'dxe5'], ['h3', 'Qe7'], ['Bc4', 'Nc5'], ['Qe2', 'Nh5'], ['Bg5', 'Qc7'], ['Qe3', 'Ne6'], ['Bh6', 'a5\n'], ['Bxg7', 'Nhxg7'], ['Rad1', 'Kh8'], ['Qh6', 'f6'], ['Nh4', 'Kg8'], ['g3', 'Nh5'], ['Nf5', 'Kh8'], ['Nd6', 'Bd7\n'], ['Re3', 'Ng5'], ['h4', 'Bg4'], ['Be2', 'Bxe2'], ['Nxe2', 'Ne6'], ['Red3', 'Nc5'], ['R3d2', 'Qg7'], ['Qe3', 'b6\n'], ['g4', 'Nf4'], ['Nxf4', 'exf4'], ['Qxf4', 'Nxa4'], ['Nc4', 'Nc5'], ['Nxb6', 'Rae8'], ['Nd7', 'Ne6'], ['Qg3', 'Rf7\n'], ['e5', 'fxe5'], ['Nxe5', 'Rf4'], ['Re2', 'Ref8'], ['Rd7', 'Nd4'], ['Re3', 'Qf6'], ['Nd3', 'Nf3+'], ['Kg2', 'Nxh4+\n'], ['Kf1', 'Rf3'], ['Qe5', 'Rxe3'], ['Qxe3', 'Nf3'], ['Ke2', 'c5'], ['Qxc5', 'Re8+'], ['Kf1', 'h5'], ['gxh5', 'Nd2+\n'], ['Kg1', 'Nf3+'], ['Kf1', 'Nd2+'], ['Kg1', 'Nf3+'], ['Kg2', 'Nh4+'], ['Kf1', 'Nf5'], ['Qc3', 'Qxc3'], ['bxc3', 'gxh5\n'], ['Rd5', 'Rf8'], ['Nf4', 'Rf7'], ['Rxa5', 'h4'], ['Kg2', 'Kg7'], ['Ra6', 'Rb7'], ['Kf3', 'Rb2'], ['Ke4', 'Nh6\n'], ['Ra7+', 'Kf6'], ['Ra6+', 'Kg7'], ['Kd3', 'Rb1'], ['Rg6+', 'Kh7'], ['Rg5', 'Rh1'], ['Rh5', 'Kg7'], ['c4', 'Nf7\n'], ['c5', 'Nd8'], ['Kc4', 'Kf6'], ['Kd5', 'Rc1'], ['Rxh4', 'Rxc2'], ['Nd3', 'Rd2'], ['Rh3', 'Ke7'], ['c6', 'Rc2\n'], ['Rh7+', 'Kf6'], ['c7', 'Ne6'], ['Rh6+', 'Kf5'], ['Rxe6', 'Rxc7'], ['Re5+', 'Kf6'], ['f4', 'Rc2'], ['Kd4', 'Rd2\n'], ['Ke3', 'Rd1'], ['Ra5', '']]",1-0
URS-chT,Azov,1991.??.??,?,"Bologan, Viktor","Kharlov, Andrei",,,B31,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'g6'], ['Bxc6', 'dxc6'], ['h3', 'Nf6'], ['d3', 'Bg7'], ['Nc3', 'O-O'], ['Be3', 'b6\n'], ['Qd2', 'Ne8'], ['O-O-O', 'Nc7'], ['Bh6', 'Ne6'], ['h4', 'Bxh6'], ['Qxh6', 'f6'], ['Ne2', 'Rf7'], ['g4', 'Nd4\n'], ['Nfxd4', 'cxd4'], ['Rdg1', 'c5'], ['g5', 'Qf8'], ['h5', 'Qxh6'], ['gxh6', 'g5'], ['f4', 'Kh8'], ['fxg5', 'fxg5\n'], ['Rxg5', 'Rf6'], ['b4', 'cxb4'], ['Nxd4', 'Rxh6'], ['Rf1', 'Be6'], ['Kb2', 'a5'], ['Re5', 'Bg8'], ['Rxe7', 'Rxh5\n'], ['Rf6', 'Rd8'], ['Nc6', 'Rc8'], ['d4', 'Rg5'], ['d5', 'Rg7'], ['Rf2', 'Rxe7'], ['Nxe7', 'Re8'], ['d6', 'Be6\n'], ['Rf6', 'Bg4'], ['e5', 'Kg7'], ['Nf5+', 'Bxf5'], ['Rxf5', 'Rd8'], ['c3', 'Rf8'], ['d7', 'Rxf5'], ['d8=Q', 'bxc3+\n'], ['Kxc3', 'Rxe5'], ['Qc7+', 'Kf6'], ['Qxh7', 'b5'], ['Qh8+', 'Kf5'], ['Qc8+', 'Kf4'], ['Qc7', 'Ke4'], ['Qxa5', '']]",1-0
URS-chT,Azov,1991.??.??,?,"Bologan, Viktor","Balashov, Yuri S",,,C55,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d3', 'h6'], ['O-O', 'd6'], ['c3', 'g6'], ['d4', 'Qe7'], ['Re1', 'Bg7'], ['h3', 'O-O\n'], ['Nbd2', 'Nd8'], ['Nf1', 'c6'], ['Ng3', 'Nh7'], ['Be3', 'Qf6'], ['d5', 'c5'], ['Nh2', 'Qh4'], ['Nf3', 'Qf6\n'], ['a4', 'h5'], ['Qd2', 'Qe7'], ['h4', 'Bg4'], ['Ng5', 'f6'], ['Nxh7', 'Kxh7'], ['b4', 'cxb4'], ['cxb4', 'Nf7\n'], ['Rac1', 'Bh6'], ['a5', 'a6'], ['Rc3', 'Rfc8'], ['Rec1', 'Bd7'], ['Qd3', 'Bxe3'], ['Qxe3', 'Rc7'], ['Bd3', 'Rxc3\n'], ['Rxc3', 'Qd8'], ['Nf1', 'Rc8'], ['Rxc8', 'Qxc8'], ['Qb6', 'Kg7'], ['g3', 'Kf8'], ['Ne3', 'Ke7'], ['Bf1', 'Ba4\n'], ['Qa7', 'Kf8'], ['Kh2', 'Bd7'], ['Qb6', 'Ke7'], ['Be2', 'Ba4'], ['Bd3', 'Bd7'], ['Bf1', 'Ba4'], ['Qa7', 'Kf8\n'], ['Qb6', '']]",1/2-1/2
