USA op,Aspen,1968.??.??,?,"De Fotis, Gregory","Browne, Walter S",,,E07,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['Nf3', 'Nbd7'], ['O-O', 'dxc4'], ['e4', 'c5\n'], ['d5', 'exd5'], ['e5', 'Ng4'], ['Qxd5', 'Nb6'], ['Qe4', 'Qd3'], ['h3', 'Qxe4'], ['Nxe4', 'Bf5'], ['Nd6', 'Nh6\n'], ['Nxb7', 'Bd3'], ['Rd1', 'Nf5'], ['Bg5', 'f6'], ['exf6', 'gxf6'], ['Bf4', 'Nd5'], ['Bc1', 'Nb4'], ['Ne1', 'Nd4\n'], ['Bh6', 'Rfc8'], ['a3', 'Nbc6'], ['Nxd3', 'cxd3'], ['Bd5+', 'Kh8'], ['Rxd3', 'Rab8'], ['Bxc6', 'Rxc6']]",1/2-1/2
USA op,Aspen,1968.??.??,?,"Nolte, J.","Browne, Walter S",,,E65,"[['Nf3', 'c5'], ['c4', 'Nc6'], ['Nc3', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'O-O'], ['e3', 'd6'], ['d4', 'Bg4\n'], ['h3', 'Bd7'], ['d5', 'Na5'], ['Qd3', 'a6'], ['Nd2', 'b5'], ['b3', 'b4'], ['Ne2', 'Bf5'], ['e4', 'Nxe4'], ['Nxe4', 'Bxa1\n'], ['Bh6', 'Bg7'], ['Bxg7', 'Kxg7'], ['g4', 'Bd7'], ['f4', 'f5'], ['gxf5', 'Bxf5'], ['N2g3', 'Qd7'], ['Nxf5+', 'Qxf5\n'], ['Qe3', 'h6'], ['Ng3', 'Qf6'], ['Kh1', 'Qc3'], ['Qxe7+', 'Rf7'], ['Qh4', 'Qd4'], ['Qg4', 'Re8'], ['h4', 'Kh7\n'], ['h5', 'g5'], ['Nf5', 'Qf6'], ['fxg5', 'Qxg5'], ['Qxg5', 'hxg5'], ['Nxd6', 'Rxf1+'], ['Bxf1', 'Re1'], ['Kg2', 'Ra1\n'], ['Bd3+', 'Kh6'], ['Nf7+', 'Kxh5'], ['d6', 'Rxa2+'], ['Kf3', 'g4+'], ['Kg3', 'Rd2'], ['Bf5', 'Nc6'], ['d7', 'a5\n'], ['Be6', 'Kg6'], ['Bd5', 'Rxd5'], ['cxd5', 'Kxf7']]",0-1
USA op,Aspen,1968.??.??,?,"Avram, Herbert Mois","Browne, Walter S",,,E75,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Be2', 'O-O'], ['Bg5', 'c5'], ['d5', 'e6'], ['Nf3', 'h6'], ['Be3', 'exd5\n'], ['exd5', 'Bg4'], ['Qd2', 'Kh7'], ['O-O', 'Re8'], ['Rae1', 'a6'], ['h3', 'Bxf3'], ['Bxf3', 'Nbd7'], ['Bf4', 'Qc7\n'], ['Rxe8', 'Nxe8'], ['Be2', 'Rb8'], ['Bg3', 'Bd4'], ['Kh1', 'Nef6'], ['f4', 'Re8'], ['Bd3', 'Be3'], ['Qd1', 'Kg7\n'], ['Bh2', 'Bd4'], ['Qc2', 'Nf8'], ['Ne2', 'Be3'], ['Bg3', 'N8h7'], ['Be1', 'Qd7'], ['Bc3', 'Qe7'], ['b3', 'h5\n'], ['Bb2', 'h4'], ['Qc3', 'Kh6'], ['Rf3', 'Nh5'], ['f5', 'Ng5'], ['Rf1', 'Ne4'], ['Bxe4', 'Qxe4'], ['fxg6', 'fxg6\n'], ['Kh2', 'Bg5'], ['Rf2', 'Qe3'], ['Qxe3', 'Bxe3'], ['Rf1', 'Bd2'], ['Ng1', 'Bf4+'], ['g3', 'Bxg3+'], ['Kg2', 'Nf4+\n'], ['Kh1', 'g5'], ['Bc1', 'Kh5'], ['Bxf4', 'Bxf4'], ['Kg2', 'Re3'], ['Rf3', 'Re4'], ['Rf2', 'g4'], ['Re2', 'Rxe2+\n'], ['Nxe2', 'Bd2'], ['Ng1', 'Kg5'], ['Kf2', 'Kf5'], ['Kg2', 'Kf4'], ['hxg4', 'Kxg4'], ['Ne2', 'h3+'], ['Kh1', 'b5\n'], ['Kh2', 'bxc4'], ['bxc4', 'Be3'], ['a4', 'Bd2'], ['Ng1', 'Bf4+'], ['Kh1', 'Be5'], ['Ne2', 'Kf3'], ['Ng1+', 'Ke4\n'], ['a5', 'Kd3'], ['Nf3', 'Bc3']]",0-1
USA op,Aspen,1968.??.??,?,"Burgar, Wesley","Browne, Walter S",,,B23,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['f4', 'g6'], ['Nf3', 'Bg7'], ['Bc4', 'd6'], ['O-O', 'e6'], ['d3', 'Nge7'], ['Qe2', 'O-O\n'], ['a4', 'b6'], ['Bd2', 'a6'], ['Kh1', 'Rb8'], ['Rae1', 'b5'], ['Bb3', 'd5'], ['Qf2', 'c4'], ['Ba2', 'b4'], ['Nd1', 'b3\n'], ['Bb1', 'bxc2'], ['Bxc2', 'cxd3'], ['Bxd3', 'Nb4'], ['Bb1', 'dxe4'], ['Bxe4', 'Ned5'], ['Ne5', 'Bb7\n'], ['Nc3', 'Qe7'], ['Qg3', 'Qc7'], ['Nxd5', 'Nxd5'], ['Rc1', 'Qe7'], ['Qe1', 'Bh8'], ['b4', 'Rfc8'], ['Rxc8+', 'Rxc8\n'], ['Qb1', 'Rb8'], ['Rc1', 'Qd6'], ['Qd3', 'Bxe5'], ['fxe5', 'Qxe5'], ['Bxd5', 'Qxd5'], ['Qxd5', 'Bxd5\n'], ['Kg1', 'Rb7'], ['Bc3', 'f5'], ['Kf2', 'Kf7'], ['g3', 'g5'], ['Ke3', 'Bb3'], ['h4', 'gxh4'], ['gxh4', 'Bxa4\n'], ['Rg1', 'e5'], ['Rg5', 'Ke6'], ['Rg8', 'Rc7'], ['Bd2', 'Rc4'], ['Rb8', 'f4+'], ['Kf2', 'Bb5'], ['Rb7', 'Rc2\n'], ['Ke1', 'f3']]",0-1
USA op,Aspen,1968.??.??,?,"Fritzinger, Dennis","Browne, Walter S",,,A00,"[['b4', 'd5'], ['Bb2', 'Bf5'], ['Nf3', 'e6'], ['e3', 'Nf6'], ['b5', 'a6'], ['a4', 'axb5'], ['axb5', 'Rxa1'], ['Bxa1', 'Nbd7\n'], ['d4', 'Qa8'], ['Bc3', 'Ne4'], ['Bb2', 'Qa5+'], ['Nfd2', 'Bb4'], ['f3', 'Nxd2'], ['Nxd2', 'Nb6'], ['Qc1', 'Na4\n'], ['Ba1', 'Kd7'], ['Kd1', 'Nc3+'], ['Bxc3', 'Bxc3'], ['Nb3', 'Qb4'], ['g4', 'Bg6'], ['h4', 'h6'], ['h5', 'Bh7\n'], ['Qb1', 'Ra8'], ['Nc5+', 'Kc8'], ['Qxb4', 'Bxb4'], ['Nb3', 'Ra2'], ['Rh2', 'Rb2'], ['Nc1', 'Rb1'], ['Bd3', 'Bxd3\n'], ['cxd3', 'Ba3'], ['Rc2', 'Kb8'], ['e4', 'Rxc1+'], ['Rxc1', 'Bxc1'], ['Kxc1', 'Ka7'], ['f4', 'Kb6'], ['f5', 'exf5\n'], ['exf5', 'f6'], ['Kb2', 'Kxb5'], ['Kb3', 'Ka5'], ['Ka3', 'b5'], ['Kb3', 'b4'], ['Ka2', 'Ka4'], ['Kb2', 'b3\n'], ['Ka1', 'Kb4'], ['Kb2', 'c6']]",0-1
USA op,Aspen,1968.??.??,?,"Browne, Walter S","Weinstein, Norman",,,B79,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['Nc3', 'Bg7'], ['Be3', 'Nf6'], ['Bc4', 'O-O'], ['Bb3', 'd6\n'], ['f3', 'Bd7'], ['Qd2', 'Qa5'], ['O-O-O', 'Rfc8'], ['h4', 'Ne5'], ['Kb1', 'Nc4'], ['Bxc4', 'Rxc4'], ['Nb3', 'Qc7\n'], ['Bd4', 'Be6'], ['Qe3', 'a5'], ['Rd3', 'a4'], ['Bb6', 'Qc8'], ['Na5', 'Rb4'], ['a3', 'Rxb6'], ['Qxb6', 'Nd7\n'], ['Qxb7', 'Qxb7'], ['Nxb7', 'Rb8'], ['Na5', 'Ne5'], ['Rhd1', 'Nxd3'], ['Rxd3', 'Bf6'], ['g3', 'Ra8'], ['Nc6', 'Bc4\n'], ['Re3', 'Rc8'], ['Na5', 'Bd4'], ['Nxc4', 'Rxc4'], ['Rd3', 'Bxc3'], ['Rxc3', 'Rd4'], ['Rd3', 'Rc4'], ['Rd5', 'Kg7\n'], ['c3', 'Rc5'], ['Rxc5', 'dxc5'], ['c4', 'Kf6'], ['b3', 'axb3'], ['Kb2', 'Ke5'], ['Kxb3', 'Kd4'], ['a4', 'Ke5\n'], ['a5', 'Kd6'], ['e5+', 'Kc6'], ['Ka4', 'h6'], ['g4', 'g5'], ['h5', 'e6'], ['a6', 'Kb6'], ['a7', 'Kxa7'], ['Kb5', '']]",1-0
USA op,Aspen,1968.??.??,?,"Browne, Walter S","Subramanian, Subu",,,A08,"[['e4', 'e6'], ['d3', 'd5'], ['Nd2', 'c5'], ['g3', 'Nc6'], ['Bg2', 'Nf6'], ['Ngf3', 'Be7'], ['O-O', 'O-O'], ['Qe2', 'b6\n'], ['e5', 'Nd7'], ['Re1', 'Bb7'], ['h4', 'Rc8'], ['Nf1', 'c4'], ['d4', 'c3'], ['b3', 'Nb4'], ['a3', 'Ba6'], ['Qd1', 'Nc6\n'], ['h5', 'h6'], ['N1h2', 'Re8'], ['Bh3', 'Nf8'], ['Bf4', 'Nh7'], ['Qc1', 'Bg5'], ['Qe3', 'Rc7'], ['Kh1', 'Nb8\n'], ['Bxg5', 'hxg5'], ['Ng4', 'f5'], ['exf6', 'gxf6'], ['Ngh2', 'e5'], ['dxe5', 'fxe5'], ['Bf5', 'd4'], ['Nxd4', 'Bb7+\n'], ['Ndf3', 'Qd2'], ['Kg1', 'Qxe3'], ['Rxe3', 'Rce7'], ['Ng4', 'Bxf3'], ['Bxh7+', 'Kxh7'], ['Nf6+', 'Kh8\n'], ['Nxe8', 'g4'], ['Nd6', 'Rd7'], ['Nc4', 'e4'], ['Ne5', 'Rc7'], ['Nxf3', 'exf3'], ['Rae1', 'Nc6'], ['Rxc3', 'Kg7\n'], ['Re6', 'Rd7'], ['Rcxc6', 'Rd1+'], ['Kh2', 'Rd2'], ['Rg6+', 'Kf7'], ['Rc7+', '']]",1-0
USA op,Aspen,1968.??.??,?,"Browne, Walter S","Brandts, Paul",,,C30,"[['e4', 'e5'], ['f4', 'Bc5'], ['Nf3', 'd6'], ['c3', 'Bg4'], ['fxe5', 'dxe5'], ['Qa4+', 'Bd7'], ['Qc2', 'Nc6'], ['b4', 'Bd6\n'], ['Bc4', 'Qe7'], ['d3', 'O-O-O'], ['O-O', 'Rf8'], ['Be3', 'g6'], ['Na3', 'a6'], ['Kh1', 'f5'], ['b5', 'Bxa3\n'], ['bxc6', 'Bxc6'], ['Nxe5', 'Be8'], ['d4', 'Bd6'], ['exf5', 'c5'], ['Rae1', 'Qh4'], ['Bf4', 'Bc7'], ['Be6+', 'Kb8\n'], ['d5', 'Ka8'], ['Qd2', 'Bd6'], ['Nc4', 'Bxf4'], ['Rxf4', 'Qg5'], ['Ne5', 'Nf6'], ['d6', 'gxf5'], ['d7', 'Bg6\n'], ['Nf3', 'Qh6'], ['Qd6', 'Ne4'], ['Qc7', 'Nxc3'], ['Rh4', 'Nb5'], ['Qc8+', 'Rxc8'], ['dxc8=Q+', 'Rxc8\n'], ['Rxh6', '']]",1-0
USA op,Aspen,1968.??.??,?,"Browne, Walter S","Benko, Pal C",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bc4', 'Qb6'], ['Nb3', 'e6'], ['Be3', 'Qc7\n'], ['f4', 'Be7'], ['Bd3', 'a6'], ['Qf3', 'b5'], ['g4', 'Bb7'], ['g5', 'Nd7'], ['O-O-O', 'Nb4'], ['Kb1', 'd5'], ['exd5', 'Nxd3\n'], ['Rxd3', 'b4'], ['Na4', 'Bxd5'], ['Rxd5', 'exd5'], ['Qxd5', 'O-O'], ['Nd4', 'Rfe8'], ['Nf5', 'Rac8'], ['Rc1', 'Qc6\n'], ['Qxc6', 'Rxc6'], ['Rd1', 'Nf8'], ['Nb6', 'Bc5'], ['Nd5', 'Kh8'], ['b3', 'Bxe3'], ['Nfxe3', 'a5'], ['Rd2', 'Rd8\n'], ['Rd3', 'Ne6'], ['a3', 'bxa3'], ['Ka2', 'Rcd6'], ['Kxa3', 'Nc5'], ['Rd4', 'h6'], ['h4', 'Kg8'], ['gxh6', 'gxh6\n'], ['Nf5', 'Kf8'], ['Nxd6', 'Rxd6'], ['c4', 'Rg6'], ['Ne3', 'Rg3'], ['Rd5', 'Ne6'], ['Nf5', 'Rf3'], ['Rxa5', 'Ke8\n'], ['Ra8+', 'Kd7'], ['Ra7+', 'Kc6'], ['Rxf7', 'Rxf4'], ['Nxh6', 'Rxh4'], ['Rf6', 'Kd7'], ['Nf5', 'Rf4'], ['Rf7+', 'Kd8\n'], ['Nd6', 'Rd4'], ['Nb5', 'Rd3']]",1-0
San Juan,San Juan,1969.??.??,1,"Browne, Walter S","Donner, Jan Hein",,,B16,"[['e4', 'c6'], ['d4', 'd5'], ['Nc3', 'dxe4'], ['Nxe4', 'Nf6'], ['Nxf6+', 'gxf6'], ['Bc4', 'Bf5'], ['Ne2', 'e6'], ['O-O', 'h5\n'], ['Bd3', 'Bxd3'], ['Qxd3', 'Bd6'], ['Bf4', 'h4'], ['h3', 'Qc7'], ['Bxd6', 'Qxd6'], ['Qb3', 'b6'], ['c4', 'Nd7\n'], ['Rac1', 'O-O-O'], ['c5', 'bxc5'], ['dxc5', 'Qc7'], ['Qa4', 'Rh5'], ['b4', 'Rd5'], ['b5', 'Nxc5'], ['Qa3', 'cxb5\n'], ['Nc3', 'Rd3'], ['Qb4', 'R3d4'], ['Qxb5', 'a6'], ['Qb1', 'Rc4'], ['Ne2', 'Nd3'], ['Rxc4', 'Qxc4'], ['Qb6', 'Qb5\n'], ['Qa7', 'Qb7'], ['Qe3', 'f5'], ['Nc1', 'f4'], ['Qd2', 'Qb2'], ['Qa5', 'Qb5'], ['Qa3', 'f3'], ['Nxd3', 'Qxd3\n'], ['Rc1+', '']]",1/2-1/2
