New York blind sim 10'',New York,1945.??.??,1,"Fine, Reuben","Byrne, Robert E",,,D04,"[['d4', 'd5'], ['e3', 'Nf6'], ['Nf3', 'g6'], ['Bd3', 'Bg7'], ['O-O', 'Nbd7'], ['b3', 'O-O'], ['Bb2', 'c5'], ['Nbd2', 'a6\n'], ['Qe2', 'b5'], ['c4', 'cxd4'], ['exd4', 'bxc4'], ['bxc4', 'Nb6'], ['Rab1', 'Na4'], ['Ba1', 'dxc4'], ['Nxc4', 'Be6\n'], ['Nce5', 'a5'], ['Bb5', 'Nb6'], ['Nc6', 'Qd6'], ['Ng5', 'Bg4'], ['Qxe7', 'Nc8'], ['Qb7', 'h6'], ['Qxa8', 'hxg5\n'], ['Ne5', 'Bf5'], ['Rbc1', 'Ne7'], ['Qxa5', 'Nfd5'], ['Bc4', 'Nf4'], ['Qc5', 'Qd8'], ['Rfe1', 'Qa8'], ['Bf1', 'Ned5\n'], ['f3', 'Rc8'], ['Qb5', 'Rf8'], ['a4', 'Kh7'], ['a5', 'f6'], ['Nc6', 'g4'], ['fxg4', 'Bxg4'], ['a6', 'Nc7\n'], ['Qb7', 'Nfd5'], ['Qxa8', '']]",1-0
Ventnor City,Ventnor City,1945.??.??,1,"Suesman, Walter Bradford","Byrne, Robert E",,,C47,"[['e4', 'e5'], ['Nc3', 'Nf6'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Bb4'], ['Nxc6', 'bxc6'], ['Qd4', 'Qe7'], ['f3', 'd5\n'], ['Bg5', 'dxe4'], ['Bxf6', 'gxf6'], ['Qxe4', 'Qxe4+'], ['fxe4', 'f5'], ['Bd3', 'fxe4'], ['Bxe4', 'Bd7\n'], ['O-O-O', 'f5'], ['Bd3', 'O-O-O'], ['Rhf1', 'Rhf8'], ['Ne2', 'Bd6'], ['Nf4', 'Rde8'], ['g3', 'Re7'], ['Nh5', 'Kd8\n'], ['Kd2', 'Be8'], ['Nf4', 'Bd7'], ['Rde1', 'Rxe1'], ['Kxe1', 'Bb4+'], ['c3', 'Bd6'], ['Ng2', '']]",1/2-1/2
Ventnor City,Ventnor City,1945.??.??,2,"Santasiere, Anthony Edward","Byrne, Robert E",,,C36,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'Nf6'], ['Nc3', 'd5'], ['exd5', 'Nxd5'], ['Nxd5', 'Qxd5'], ['d4', 'Bd6'], ['c4', 'Qe4+\n'], ['Kf2', 'Bf5'], ['c5', 'Be7'], ['Bb5+', 'c6'], ['Bc4', 'Qc2+'], ['Qxc2', 'Bxc2'], ['Re1', 'f6'], ['Bxf4', 'Kd7\n'], ['Re2', 'Bg6'], ['Rae1', 'Re8'], ['Nh4', 'Bh5'], ['Be6+', 'Kd8'], ['g4', 'f5'], ['Nxf5', 'Bxg4'], ['Nxe7', 'Bxe2\n'], ['Rxe2', 'Na6'], ['Bd6', 'Nc7'], ['Bf7', 'Rh8'], ['d5', 'Nb5'], ['dxc6', 'Nxd6'], ['cxd6', 'Rf8'], ['cxb7', '']]",1-0
Ventnor City,Ventnor City,1945.??.??,3,"Byrne, Robert E","Adams, Weaver Warren",,,C31,"[['e4', 'e5'], ['f4', 'd5'], ['exd5', 'e4'], ['Nc3', 'Nf6'], ['Bc4', 'c6'], ['dxc6', 'Nxc6'], ['d3', 'Bb4'], ['Ne2', 'O-O\n'], ['O-O', 'Qb6+'], ['Kh1', 'Bg4'], ['h3', 'Bxc3'], ['bxc3', 'Bxe2'], ['Qxe2', 'Rfe8'], ['d4', 'Rac8'], ['Bb3', 'Na5\n'], ['Bd2', 'Qc6'], ['f5', 'e3'], ['Be1', 'Nd5'], ['f6', 'g6'], ['Qg4', 'Nc4'], ['Qg5', 'e2'], ['Rf5', 'Nde3\n'], ['Rc5', 'Qd6'], ['Bxc4', 'Nxc4'], ['Rxc8', 'Rxc8'], ['Bg3', 'Qe6'], ['Re1', 'h6'], ['Qxh6', 'Qxf6'], ['Qf4', 'Qe6\n'], ['Qf3', 'Re8'], ['Kg1', 'Na3'], ['Kf2', 'Qxa2'], ['Rxe2', 'Rxe2+'], ['Qxe2', 'Qxc2'], ['Qxc2', 'Nxc2\n'], ['Ke2', 'Na3'], ['Kd3', 'b5'], ['d5', 'Nc4'], ['Kd4', 'a5'], ['d6', 'Kf8'], ['Kc5', 'a4'], ['Kc6', '']]",1-0
Ventnor City,Ventnor City,1945.??.??,4,"Yanofsky, Harry","Byrne, Robert E",,,D71,"[['c4', 'Nf6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['d4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'Nxc3'], ['bxc3', 'O-O'], ['Bf4', 'c5\n'], ['Bxb8', 'Rxb8'], ['e3', 'Qa5'], ['Ne2', 'cxd4'], ['exd4', 'Bg4'], ['Qb3', 'Rfc8'], ['f3', 'Be6'], ['Qb2', 'Bc4\n'], ['Rc1', 'e5'], ['f4', 'exd4'], ['Kf2', 'dxc3'], ['Nxc3', 'Qc5+']]",0-1
Ventnor City,Ventnor City,1945.??.??,5,"Byrne, Robert E","Keltz, B.",,,A15,"[['Nf3', 'Nf6'], ['c4', 'b6'], ['b3', 'Bb7'], ['Bb2', 'g6'], ['d3', 'c5'], ['e4', 'd6'], ['e5', 'dxe5'], ['Nxe5', 'Bg7\n'], ['Nd2', 'O-O'], ['Ndf3', 'Nbd7'], ['Be2', 'Nh5'], ['Qd2', 'Qc7'], ['Nxd7', 'Bxb2'], ['Qxb2', 'Qxd7'], ['Ne5', 'Qf5\n'], ['Bg4', 'Qg5'], ['h4', 'Qh6'], ['Bxh5', 'Qxh5'], ['f3', 'Qh6'], ['Kf2', 'Qf4'], ['g3', 'Qf6'], ['Qe2', 'Rad8\n'], ['Qe3', 'Rd4'], ['Rad1', 'Rfd8'], ['Rd2', 'R8d6'], ['Re2', 'Re6'], ['Ke1', 'Qg7'], ['Rf1', 'f6'], ['f4', 'fxe5\n'], ['fxe5', 'Rd8'], ['Kd2', 'Rf8'], ['Rxf8+', 'Qxf8'], ['Rf2', 'Qg7'], ['Re2', 'Rc6'], ['Qg5', 'Bc8']]",0-1
Ventnor City,Ventnor City,1945.??.??,6,"Jackson, Edward Schuyler","Byrne, Robert E",,,C41,"[['e4', 'e5'], ['Nf3', 'd6'], ['d4', 'Nd7'], ['Bc4', 'c6'], ['O-O', 'Be7'], ['a4', 'h6'], ['Qe2', 'Ngf6'], ['Nc3', 'Qc7\n'], ['Be3', 'Nf8'], ['Bb3', 'g5'], ['Qc4', 'Ne6'], ['h4', 'Ng4'], ['dxe5', 'dxe5'], ['h5', 'O-O'], ['Ne2', 'Nxe3\n'], ['fxe3', 'Bc5'], ['Qc3', 'Qb6'], ['Nxe5', 'Bxe3+'], ['Kh1', 'Qc5'], ['Ng4', 'Nf4'], ['Nxh6+', 'Kh7'], ['Qxc5', 'Bxc5\n'], ['Nxf4', 'Kxh6'], ['Nd3', 'Bd4'], ['c3', 'Bb6'], ['Bxf7', 'Bg4'], ['Ne5', 'Bxh5'], ['Bxh5', 'Kxh5'], ['g4+', 'Kh6\n'], ['Kg2', 'Rxf1'], ['Rxf1', 'Re8'], ['Rf5', 'Bc7'], ['Nf7+', 'Kg6'], ['Nxg5', 'Bd8'], ['Nh3', 'Rxe4'], ['Nf4+', 'Kg7\n'], ['Kf3', 'Re1'], ['Nd3', 'Rf1+'], ['Ke4', 'Rg1'], ['Kf3', 'Rf1+'], ['Nf2', 'Rb1'], ['b4', 'Ra1'], ['Ne4', 'Rf1+\n'], ['Kg2', 'Re1'], ['Kf3', 'Rf1+'], ['Ke2', 'Rg1'], ['Nd6', 'Rxg4'], ['Rf7+', 'Kg8'], ['Rxb7', 'Bf6'], ['Rb8+', 'Kh7\n'], ['Rb7+', 'Kg6'], ['Kf3', 'Rh4'], ['c4', 'Be5'], ['c5', 'Kf6'], ['Ne4+', 'Kf5'], ['Rf7+', 'Ke6'], ['Rxa7', 'Kd5\n'], ['Rd7+', 'Kc4'], ['Rb7', 'Kd5'], ['Nf2', 'Bc3'], ['Ng4', 'Bxb4'], ['Rxb4', '']]",1-0
Ventnor City,Ventnor City,1945.??.??,7,"Byrne, Robert E","Green, Matthew",,,B04,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'Nb6'], ['Bd3', 'Bg4'], ['exd6', 'cxd6'], ['h3', 'Bh5'], ['O-O', 'e6\n'], ['Nbd2', 'Nc6'], ['c3', 'Be7'], ['Re1', 'd5'], ['Qe2', 'Qc7'], ['Nf1', 'Bd6'], ['Bd2', 'O-O-O'], ['Qe3', 'Bg6\n'], ['a4', 'Ne7'], ['b3', 'Kb8'], ['Rec1', 'Nf5'], ['Qe2', 'Bf4'], ['a5', 'Nc8'], ['a6', 'Bxd2'], ['N1xd2', 'Nb6\n'], ['axb7', 'f6'], ['Bxf5', 'exf5'], ['c4', 'dxc4'], ['bxc4', 'f4'], ['c5', 'Nd5'], ['Rxa7', '']]",1-0
Ventnor City,Ventnor City,1945.??.??,8,"Byrne, Robert E","Regen, A.",,,C78,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'b5'], ['Bb3', 'Nf6'], ['O-O', 'd6'], ['Ng5', 'd5'], ['exd5', 'Nd4\n'], ['Qe1', 'Nxb3'], ['axb3', 'Be7'], ['Nc3', 'Bb7'], ['Qxe5', 'O-O'], ['d3', 'Bd6'], ['Qd4', 'Nxd5'], ['Qe4', 'g6\n'], ['Nxd5', 'Bxd5'], ['Qh4', 'h5'], ['g4', 'f6'], ['Ne4', 'Bxe4'], ['dxe4', 'hxg4'], ['Qxg4', 'Kg7'], ['Bf4', 'Bxf4\n'], ['Qxf4', 'Qe7'], ['Rfd1', 'Rfe8'], ['Rd4', 'Qc5'], ['Rd7+', 'Re7'], ['Rad1', 'Re8'], ['c3', 'a5'], ['R1d5', 'Qc6\n'], ['Qg4', 'a4'], ['bxa4', 'bxa4'], ['h4', 'Kh6'], ['Rxe7', 'Rxe7'], ['h5', 'g5'], ['Kg2', 'Rg7'], ['Rd8', 'Re7\n'], ['Rd5', 'Qe6'], ['Qxe6', 'Rxe6'], ['Rd4', 'Ra6'], ['Rc4', 'c6'], ['Kg3', 'Kxh5'], ['f3', 'Kh6'], ['Kg4', 'Kg6\n'], ['f4', 'gxf4'], ['Kxf4', 'Kf7'], ['Ke3', 'Ke6'], ['Kd3', 'Kd6'], ['Rd4+', 'Ke5'], ['Rd8', 'a3'], ['bxa3', 'Rxa3\n'], ['Re8+', 'Kd6']]",1/2-1/2
Ventnor City,Ventnor City,1945.??.??,9,"Stark, Martin Charles","Byrne, Robert E",,,D29,"[['d4', 'd5'], ['c4', 'dxc4'], ['Nf3', 'Nf6'], ['e3', 'e6'], ['Bxc4', 'c5'], ['O-O', 'a6'], ['Qe2', 'b5'], ['Bb3', 'Bb7\n'], ['Rd1', 'Nbd7'], ['a4', 'Be7'], ['dxc5', 'O-O'], ['c6', 'Bxc6'], ['Ne5', 'Qc7'], ['Nxc6', 'Qxc6'], ['Bd2', 'Nc5\n'], ['axb5', 'axb5'], ['Rxa8', 'Rxa8'], ['Bc2', 'Nfe4'], ['Qf3', 'Rc8'], ['Be1', 'f5'], ['Nd2', 'Bf6'], ['Nxe4', 'fxe4\n'], ['Qe2', 'Bxb2'], ['Bxe4', 'Nxe4'], ['Qxb2', 'Qc2'], ['Qe5', 'Nc5'], ['Ra1', 'Qf5'], ['Qxf5', 'exf5'], ['g4', 'fxg4\n'], ['Rc1', 'Rc7'], ['Ba5', 'Ra7'], ['Bb6', 'Nb3'], ['Rc8+', '']]",1-0
