US Amateur Team East,Parsipanny USA,2002.02.16,1,"Milovanovic,Dragan","Caruana,F",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['e3', 'Bg7'], ['Bd3', 'O-O'], ['O-O', 'd5'], ['Nbd2', 'Nbd7'], ['c3', 'b6'], ['e4', 'dxe4\n'], ['Nxe4', 'Bb7'], ['Re1', 'Re8'], ['Bf4', 'Rc8'], ['Qa4', 'a6'], ['Rad1', 'b5'], ['Qc2', 'Nd5'], ['Bg3', 'c6\n'], ['h4', 'c5'], ['dxc5', 'Nxc5'], ['Nxc5', 'Rxc5'], ['Qb1', 'Qb6'], ['h5', 'Bxc3'], ['hxg6', 'hxg6'], ['bxc3', 'Nxc3\n'], ['Qb4', 'Nxd1'], ['Rxd1', 'Bxf3'], ['gxf3', 'Rd8'], ['Be2', 'Rxd1+'], ['Bxd1', 'Rc1'], ['Qd2', 'Qc5\n'], ['Kg2', 'a5'], ['Bf4', 'Rc4'], ['Be3', 'Qd6'], ['Bb3', 'Rh4'], ['Qxa5', 'Qd7'], ['Kf1', 'Qd3+'], ['Kg2', 'Qd7']]",1/2-1/2
New York State-ch,Kerhonkson USA,2002.08.31,1,"Simon,Jerry C","Caruana,F",,,D90,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Nf3', 'Bg7'], ['cxd5', 'Nxd5'], ['Qb3', 'Nxc3'], ['bxc3', 'O-O'], ['Ba3', 'Nd7\n'], ['Rd1', 'b6'], ['e3', 'Bb7'], ['Be2', 'Re8'], ['O-O', 'e6'], ['c4', 'Qc8'], ['Rfe1', 'e5'], ['c5', 'bxc5'], ['dxc5', 'Bc6\n'], ['Bc4', 'Re7'], ['e4', 'Rb8'], ['Qe3', 'Nf6'], ['Nd2', 'Rd7'], ['f3', 'Qd8'], ['Qe2', 'Nh5'], ['g3', 'Qg5\n'], ['Nf1', 'Nf4']]",1/2-1/2
New York State-ch,Kerhonkson USA,2002.09.01,3,"Dolgitser,K","Caruana,F",,,D85,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'c5'], ['Be3', 'O-O\n'], ['Rc1', 'cxd4'], ['cxd4', 'Bg4'], ['Be2', 'Qa5+'], ['Qd2', 'Qxd2+'], ['Nxd2', 'Bxe2'], ['Kxe2', 'Na6\n'], ['Rc2', 'Rfd8'], ['Nb3', 'Kf8'], ['Rhc1', 'Ke8'], ['a4', 'Rd6'], ['Rc4', 'Kd7'], ['d5', 'b6'], ['Bf4', 'e5\n'], ['Be3', 'Rb8'], ['a5', 'Rb7'], ['axb6', 'axb6'], ['Nd2', 'f5'], ['f3', 'f4'], ['Bf2', 'b5'], ['Rc6', 'Rc7\n'], ['Rxc7+', 'Nxc7'], ['Ra1', 'Ra6'], ['Nb3', 'Rxa1'], ['Nxa1', 'Bf8'], ['Kd3', 'Na6'], ['Nc2', 'Nb4+'], ['Nxb4', 'Bxb4\n'], ['Bb6', 'Be7'], ['Kc3', 'Bf8'], ['Ba5', 'Be7'], ['Kb3', 'Bd6'], ['Bb4', 'Bc7'], ['Ba3', 'Kc8'], ['d6', 'Bb8\n'], ['Bc5', 'Kd7'], ['Kb4', 'Kc6'], ['g3', 'g5'], ['g4', 'h5'], ['gxh5', 'g4'], ['d7', 'Kxd7'], ['h6', '']]",1-0
New York State-ch,Kerhonkson USA,2002.09.01,4,"Caruana,F","Agaian,Sarkis",,,B90,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be3', 'e5'], ['Nb3', 'Be7'], ['a4', 'Be6\n'], ['Be2', 'd5'], ['exd5', 'Nxd5'], ['Nxd5', 'Bxd5'], ['O-O', 'O-O'], ['c4', 'Bc6'], ['Qc2', 'Nd7'], ['Rfd1', 'Qc7\n'], ['c5', 'f5'], ['f3', 'Rae8'], ['Nd2', 'Nf6'], ['Bc4+', 'Kh8'], ['b4', 'e4'], ['b5', 'Bd5'], ['Be2', 'Bd6\n'], ['Nf1', 'Be5'], ['Ra3', 'f4'], ['Bf2', 'Rc8'], ['bxa6', 'b6'], ['Bh4', 'Qc6'], ['Bb5', 'Qa8'], ['Bxf6', 'Rxf6\n'], ['Qd2', 'Rxc5'], ['fxe4', 'Bg8'], ['Qe2', 'Qf8'], ['Rad3', 'Rxb5'], ['axb5', 'Bc4'], ['a7', 'Qc5+'], ['Kh1', 'Rf8\n'], ['Rd8', 'Bxe2'], ['a8=Q', 'h6'], ['Rxf8+', 'Kh7'], ['Rh8+', 'Kg6'], ['Qe8+', 'Kg5'], ['Rd5', 'Qf2'], ['Qxe5+', 'Kh4\n'], ['g3+', 'Kh3'], ['Qe6+', 'Bg4'], ['Rh5+', '']]",1-0
New York State-ch,Kerhonkson USA,2002.09.02,5,"Caruana,F","Kwartler,L",,,B11,"[['e4', 'c6'], ['Nc3', 'd5'], ['Nf3', 'Bg4'], ['exd5', 'cxd5'], ['h3', 'Bxf3'], ['Qxf3', 'Nf6'], ['d4', 'e6'], ['Bg5', 'Be7\n'], ['Bb5+', 'Nc6'], ['O-O', 'O-O'], ['Ne2', 'Qb6'], ['Bxc6', 'bxc6'], ['Rab1', 'Rab8'], ['c3', 'Qa6'], ['b4', 'Rb7\n'], ['Rb2', 'Qa3'], ['Rc2', 'a5'], ['bxa5', 'Qxa5'], ['Bxf6', 'Bxf6'], ['Nf4', 'c5'], ['dxc5', 'Qxc5'], ['c4', 'Rc7\n'], ['Nd3', 'Qa7'], ['c5', 'Rfc8'], ['Qe3', 'Qa5'], ['Rfc1', 'h6'], ['Kh1', 'e5'], ['f4', 'e4'], ['Ne5', 'Be7\n'], ['c6', 'f6'], ['Ng6', 'Ba3'], ['f5', 'Re8'], ['Qd2', 'Qb5'], ['Nf4', 'Bxc1'], ['Qxc1', 'Rec8'], ['Qd2', 'Rxc6\n'], ['Rxc6', 'Qxc6'], ['Qxd5+', 'Qxd5'], ['Nxd5', 'Rc5'], ['Ne3', 'Rc3'], ['Nd5', 'Rd3'], ['Nf4', 'Rd2'], ['a4', 'e3\n'], ['Kg1', 'Rd1+'], ['Kh2', 'Rd4'], ['Ne2', 'Rd2']]",0-1
New York State-ch,Kerhonkson USA,2002.09.02,6,"Townsend,William T","Caruana,F",,,C60,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'g6'], ['c3', 'Bg7'], ['O-O', 'd5'], ['Qa4', 'Ne7'], ['d4', 'exd4'], ['Nxd4', 'Bd7\n'], ['exd5', 'Nxd4'], ['cxd4', 'a6'], ['Bxd7+', 'Qxd7'], ['Qxd7+', 'Kxd7'], ['Nc3', 'Rad8'], ['Bf4', 'Kc8\n'], ['d6', 'cxd6'], ['Ne4', 'Nf5'], ['g4', 'Nxd4'], ['Bxd6', 'f5'], ['Rac1+', 'Nc6'], ['gxf5', 'gxf5'], ['Be7', 'fxe4\n'], ['Bxd8', 'Rxd8'], ['Rfe1', 'Re8'], ['b3', 'Bd4'], ['Rc4', 'Kc7'], ['Rd1', 'Ba7'], ['Re1', 'Rg8+'], ['Kf1', 'Rf8\n'], ['Rexe4', 'Rxf2+'], ['Ke1', 'Rxh2'], ['Rh4', 'Bf2+']]",0-1
FSIMA Feb,Budapest HUN,2003.02.01,1,"Caruana,F","Kun,G",,,C12,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Bb4'], ['e5', 'h6'], ['Bd2', 'Bxc3'], ['bxc3', 'Ne4'], ['Qg4', 'g6\n'], ['Bd3', 'Nxd2'], ['Kxd2', 'c5'], ['Nh3', 'Nc6'], ['Bb5', 'cxd4'], ['Bxc6+', 'bxc6'], ['cxd4', 'c5'], ['Rhb1', 'Qa5+\n'], ['c3', 'cxd4'], ['Qxd4', 'O-O'], ['Nf4', 'Ba6'], ['Rb4', 'Rab8'], ['Ra4', 'Rb2+'], ['Kc1', 'Qb5'], ['Rxa6', 'Rb8\n'], ['Nd3', 'Re2'], ['Ra4', 'a5'], ['Ra3', 'Qa6'], ['f3', 'Rxg2'], ['Rb3', 'Rc8'], ['Rab1', 'Rc4'], ['Qe3', 'Qc6\n'], ['Nf4', 'd4'], ['Qd3', 'Rg1+'], ['Kc2', 'Rxb1'], ['Kxb1', 'dxc3'], ['Nxg6', 'Qc5'], ['Qd8+', 'Kh7'], ['Nf8+', 'Kg7\n'], ['Nxe6+', '']]",1-0
FSIMA Feb,Budapest HUN,2003.02.02,2,"Eperjesi,L","Caruana,F",,,D85,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'c5'], ['Bb5+', 'Nc6\n'], ['O-O', 'O-O'], ['Be3', 'cxd4'], ['cxd4', 'Bg4'], ['Bxc6', 'bxc6'], ['Rc1', 'Qa5'], ['Qd2', 'Qxd2'], ['Nxd2', 'Rfd8\n'], ['Nb3', 'a5'], ['Rxc6', 'a4'], ['Nc5', 'Be2'], ['Re1', 'Bxd4'], ['Ne6', 'fxe6'], ['Rxe2', 'Bxe3'], ['fxe3', 'Rd1+\n'], ['Kf2', 'Kf7'], ['Kg3', 'Rd6'], ['Rec2', 'Rb8'], ['R6c4', '']]",1/2-1/2
FSIMA Feb,Budapest HUN,2003.02.03,3,"Caruana,F","Schneider,At",,,B53,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Qxd4', 'a6'], ['c4', 'Nc6'], ['Qd2', 'g6'], ['b3', 'Nf6'], ['Nc3', 'Bg7\n'], ['Bb2', 'Qa5'], ['Nd5', 'Qxd2+'], ['Nxd2', 'O-O'], ['Nxf6+', 'exf6'], ['Be2', 'f5'], ['Bxg7', 'Kxg7'], ['O-O', 'Re8\n'], ['Bd3', 'Nb4'], ['Bb1', 'fxe4'], ['Bxe4', 'd5'], ['cxd5', 'Bf5'], ['Bxf5', 'gxf5'], ['Nc4', 'Rad8'], ['Rfd1', 'Nxd5\n'], ['Rd2', 'Nc3'], ['Nd6', 'Kg6'], ['a4', 'Re6'], ['Nc4', 'Rxd2'], ['Nxd2', 'Re2'], ['Nc4', 'b5'], ['axb5', 'axb5\n'], ['Na5', 'Rb2'], ['Re1', 'Ne2+'], ['Kf1', 'Nd4'], ['Re3', 'Ra2'], ['Nb7', 'Ra1+'], ['Re1', 'Ra3'], ['Rb1', 'Nxb3\n'], ['Ke2', 'Nd4+'], ['Kd2', 'f4'], ['Nd6', 'Ra2+'], ['Kd3', 'Ne6'], ['Ne4', 'f5'], ['Nd2', 'Nc5+'], ['Kc3', 'Ne4+\n'], ['Nxe4', 'fxe4'], ['Kd4', 'Rxf2'], ['Kxe4', 'Rxg2'], ['Kxf4', 'Rg5'], ['Rc1', 'Rh5'], ['Rc6+', 'Kf7\n'], ['Rb6', 'Rc5'], ['Rb7+', 'Kg6'], ['Rb6+', 'Kh5'], ['Rb7', 'h6'], ['Rb6', 'Rc4+'], ['Kf3', 'Rb4'], ['Ke3', 'Rb2\n'], ['Kf3', 'b4'], ['Kg3', 'Rb3+'], ['Kf4', 'Rb1'], ['Kg3', 'b3'], ['Rb5+', 'Kg6'], ['Kh4', 'Kf6'], ['Kh5', 'Ke6\n'], ['Kxh6', 'Kd6'], ['h4', 'Kc6'], ['Rb8', 'Kc5'], ['h5', 'Kc4'], ['Kh7', 'Rg1'], ['h6', 'Rg5'], ['Kh8', 'Rb5\n'], ['Rxb5', 'Kxb5'], ['h7', 'b2'], ['Kg8', 'b1=Q'], ['h8=Q', 'Qg6+'], ['Qg7', 'Qxg7+'], ['Kxg7', '']]",1/2-1/2
FSIMA Feb,Budapest HUN,2003.02.04,4,"Hardicsay,P","Caruana,F",,,A29,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['Nf3', 'Nc6'], ['g3', 'd5'], ['cxd5', 'Nxd5'], ['Bg2', 'Nb6'], ['O-O', 'Be7'], ['a3', 'O-O\n'], ['b4', 'Re8'], ['d3', 'Bf8'], ['Bb2', 'a5'], ['b5', 'Nd4'], ['Nd2', 'c6'], ['bxc6', 'Nxc6'], ['Rb1', 'Be6\n'], ['Re1', 'a4'], ['Nb5', 'Qd7'], ['Ba1', 'Na5'], ['Nc4', 'Naxc4'], ['dxc4', 'Rad8'], ['Qxd7', 'Rxd7'], ['Nc3', 'Nxc4\n'], ['Nxa4', 'Nxa3'], ['Rxb7', 'Nc2'], ['Rf1', 'Rxb7'], ['Bxb7', 'Bg4'], ['f3', 'Bd7'], ['Nc3', 'Bc5+'], ['Kh1', 'Bd4\n'], ['e3', 'Nxe3'], ['Rc1', 'Rb8'], ['Be4', 'f5'], ['Bd3', 'Bc6'], ['Be2', 'g5'], ['h3', 'h5'], ['Kh2', 'Kf7\n'], ['Nd1', 'Bxa1'], ['Rxc6', 'Nxd1'], ['Bxd1', 'Rb2+'], ['Bc2', 'Ke7'], ['Kg1', 'Kd7'], ['Rc4', 'Ke6'], ['Kf1', 'Kd5\n'], ['Rc8', 'f4'], ['g4', 'hxg4'], ['hxg4', 'Kd4'], ['Rd8+', 'Kc3'], ['Be4', 'Rh2']]",1/2-1/2
FSIMA Feb,Budapest HUN,2003.02.05,5,"Caruana,F","Boros,De",,,B70,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Be2', 'g6'], ['Nb3', 'Bg7'], ['O-O', 'O-O\n'], ['Re1', 'Be6'], ['Bf1', 'Rc8'], ['Bg5', 'Ne5'], ['Nd5', 'Bxd5'], ['exd5', 'Qd7'], ['c3', 'Rfe8'], ['Be3', 'a6\n'], ['Bd4', 'Nc4'], ['Bxc4', 'Rxc4'], ['Nd2', 'Rcc8'], ['Ne4', 'Qf5'], ['Nxf6+', 'Bxf6'], ['Bxf6', 'Qxf6\n'], ['a4', 'Qf5'], ['Qb3', 'Qd7'], ['Re4', 'Rc5'], ['Rae1', 'b5'], ['axb5', 'axb5'], ['Rd1', 'Ra8'], ['c4', 'bxc4\n'], ['Rxc4', 'Rxd5'], ['Rc8+', 'Qxc8'], ['Qxd5', 'Rb8'], ['Qd4', 'Qc2'], ['Re1', 'Qxb2'], ['Qh4', 'e6'], ['Qe7', 'Qd2\n'], ['Kf1', 'Qd3+'], ['Kg1', 'Rb1'], ['Qd8+', 'Kg7'], ['Qa5', 'Qe4'], ['Qc3+', 'e5'], ['Kf1', 'Qxe1+'], ['Qxe1', 'Rxe1+\n'], ['Kxe1', '']]",0-1
