URS-JUG,Tbilisi,1973.??.??,1,"Macek, Vlasta","Chiburdanidze, Maia",,,A42,"[['d4', 'g6'], ['e4', 'Bg7'], ['Be3', 'd6'], ['c4', 'Nc6'], ['Nc3', 'e5'], ['d5', 'Nce7'], ['Bd3', 'Nh6'], ['f3', 'f5'], ['Nge2', 'O-O\n'], ['Qd2', 'f4'], ['Bf2', 'c5'], ['dxc6', 'bxc6'], ['Bc2', 'Be6'], ['Bb3', 'Nf7'], ['Rd1', 'c5'], ['Nd5', 'Nxd5\n'], ['cxd5', 'Bd7'], ['Bc4', 'g5'], ['h3', 'h5'], ['Nc3', 'g4'], ['hxg4', 'hxg4'], ['Ke2', 'g3'], ['Be1', 'Ng5\n'], ['Kd3', 'Rb8'], ['Kc2', 'Nh7'], ['Qe2', 'Nf6'], ['Bd2', 'Be8'], ['b3', 'Nd7'], ['Nb5', 'Nb6'], ['Nxa7', 'Ra8\n'], ['Nc6', 'Rxa2+'], ['Kc3', 'Bxc6'], ['dxc6+', 'd5'], ['Bxd5+', 'Nxd5+'], ['exd5', 'e4+'], ['Kc4', 'Rc2+\n'], ['Kb5', 'Qb8+'], ['Ka6', 'Ra2+']]",0-1
URS-JUG,Tbilisi,1973.??.??,2,"Chiburdanidze, Maia","Macek, Vlasta",,,B05,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'Bg4'], ['Be2', 'e6'], ['O-O', 'Be7'], ['c4', 'Nb6'], ['Nc3', 'O-O\n'], ['Be3', 'd5'], ['c5', 'Bxf3'], ['Bxf3', 'Nc4'], ['Bc1', 'Nc6'], ['b3', 'N4a5'], ['Be2', 'b6'], ['cxb6', 'cxb6\n'], ['Be3', 'Qd7'], ['f4', 'f6'], ['exf6', 'Bxf6'], ['Bg4', 'Ne7'], ['Bf2', 'Rac8'], ['Rc1', 'Nf5'], ['Ne2', 'Nc6\n'], ['Bh3', 'Nb4'], ['Re1', 'g6'], ['g4', 'Nd6'], ['Nc3', 'Bg7'], ['Qd2', 'Nc6'], ['Bg2', 'Kh8'], ['Re2', 'Qf7\n'], ['Be3', 'Qf6'], ['Rd1', 'Rfe8'], ['Rf2', 'Rcd8'], ['f5', 'Rc8'], ['g5', 'Qd8'], ['f6', 'Bf8'], ['h4', 'Nf5\n'], ['h5', 'Bb4'], ['hxg6', 'hxg6'], ['Rc1', 'Qd7'], ['Bh3', 'Kg8'], ['Bxf5', 'exf5'], ['Rh2', 'Qe6'], ['Bf2', 'f4\n'], ['Qd3', '']]",1-0
URS-JUG,Tbilisi,1973.??.??,3,"Macek, Vlasta","Chiburdanidze, Maia",,,B09,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['f4', 'Bg7'], ['Nf3', 'O-O'], ['Be2', 'c5'], ['e5', 'Nfd7'], ['exd6', 'exd6\n'], ['d5', 'Nf6'], ['O-O', 'Na6'], ['Nb5', 'Nb4'], ['c4', 'Re8'], ['a3', 'Na6'], ['Bd3', 'Nc7'], ['Nxc7', 'Qxc7\n'], ['a4', 'Ng4'], ['Ra3', 'Nh6'], ['Qc2', 'Bf5'], ['Bd2', 'Bxd3'], ['Rxd3', 'Re2'], ['Re3', 'Rxe3'], ['Bxe3', 'Re8\n'], ['Bc1', 'Nf5'], ['Qd3', 'Qe7'], ['b3', 'Nd4'], ['h3', 'Qe4'], ['Qxe4', 'Rxe4'], ['Nxd4', 'Bxd4+'], ['Kh2', 'Be3\n'], ['Bxe3', 'Rxe3'], ['Rf3', 'Rxf3'], ['gxf3', 'Kg7'], ['Kg3', 'Kf6'], ['Kf2', 'Kf5'], ['Ke3', 'a5'], ['h4', 'h5\n'], ['Kf2', 'Kxf4'], ['Kg2', 'Ke3'], ['Kg3', 'Kd4'], ['Kf4', 'Kc3'], ['Kg5', 'Kxb3'], ['Kf6', 'Kxc4'], ['Kxf7', 'Kxd5\n'], ['Kxg6', 'c4'], ['f4', 'c3'], ['f5', 'c2'], ['f6', 'c1=Q'], ['f7', 'Qf4'], ['Kg7', 'Ke6'], ['Kh8', 'Qf6+\n'], ['Kh7', 'Qxf7+'], ['Kh8', 'Qe7'], ['Kg8', 'Kf6']]",0-1
URS-JUG,Tbilisi,1973.??.??,4,"Chiburdanidze, Maia","Macek, Vlasta",,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Nd7'], ['Nf3', 'Ngf6'], ['Nxf6+', 'Nxf6'], ['Bd3', 'c5'], ['dxc5', 'Bxc5\n'], ['O-O', 'O-O'], ['Bg5', 'Be7'], ['Qe2', 'Qc7'], ['Rad1', 'Rd8'], ['Ne5', 'Bd7'], ['Bxh7+', 'Kf8'], ['Bd3', 'Be8\n'], ['Rfe1', 'Rac8'], ['Qf3', 'Rd5'], ['Qh3', 'Rxe5'], ['Qh8+', 'Ng8'], ['Bxe7+', 'Kxe7'], ['Qxg8', 'Rg5\n'], ['Qh7', 'Bc6'], ['Qh4', 'f6'], ['Be4', 'Qa5'], ['f4', 'Qc5+'], ['Kh1', 'Rh5'], ['Qg4', 'Kf8'], ['Bxc6', 'Rxc6\n'], ['Rd8+', 'Ke7'], ['Red1', 'Rd5'], ['R1xd5', '']]",1-0
Tbilisi Interzonal (Women),Tbilisi,1976.??.??,1,"Litinskaya, Marta I","Chiburdanidze, Maia",,,E99,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Be2', 'O-O'], ['Nf3', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['Ne1', 'Nd7'], ['Nd3', 'f5'], ['Bd2', 'Nf6'], ['f3', 'f4'], ['Rc1', 'g5'], ['c5', 'Ng6'], ['cxd6', 'cxd6\n'], ['Nf2', 'Rf7'], ['Nb5', 'Bf8'], ['a4', 'h5'], ['h3', 'Rg7'], ['Rc3', 'Nh4'], ['Be1', 'a6'], ['Na3', 'Bd7\n'], ['a5', 'Rc8'], ['Nc4', 'Bb5'], ['Nb6', 'Rxc3'], ['Bxc3', 'Be8'], ['Qc2', 'g4'], ['hxg4', 'hxg4'], ['fxg4', 'Nh5\n'], ['Rc1', 'Ng3'], ['Bb4', 'Rh7'], ['Bd1', 'f3'], ['Qc8', 'Qg5'], ['Rc7', 'Rxc7'], ['Qxc7', 'Ne2+'], ['Bxe2', 'fxe2\n'], ['Be1', 'Qf4'], ['Qc3', 'Bg6'], ['Qd3', 'Be8'], ['b3', 'Bb5'], ['Nc4', '']]",1-0
Tbilisi Interzonal (Women),Tbilisi,1976.??.??,2,"Chiburdanidze, Maia","Zatulovskaya, Tatiana",,,C04,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nc6'], ['Ngf3', 'Nf6'], ['e5', 'Nd7'], ['Bd3', 'f6'], ['Ng5', 'fxg5'], ['Qh5+', 'g6\n'], ['Bxg6+', 'hxg6'], ['Qxg6+', 'Ke7'], ['Ne4', 'Bh6'], ['Bxg5+', 'Bxg5'], ['Qg7+', 'Ke8'], ['Qxh8+', 'Nf8\n'], ['Qh5+', 'Kd7'], ['Nc5+', 'Ke7'], ['Qxg5+', 'Kf7'], ['Qf4+', 'Ke8'], ['h4', 'Qe7'], ['h5', 'b6'], ['Nd3', 'Ba6\n'], ['O-O-O', 'Nh7'], ['c3', 'Kd7'], ['Qh4', 'Bxd3'], ['Qxe7+', 'Nxe7'], ['Rxd3', 'Rg8'], ['g3', 'Nf5'], ['Kd2', 'Rg4\n'], ['Rg1', 'c5'], ['f4', 'Ke7'], ['Ke2', 'Nf8'], ['Kf3', 'Nh6'], ['dxc5', 'bxc5'], ['c4', 'd4'], ['Ra3', 'Nd7\n'], ['Rxa7', 'Rg8'], ['g4', 'Rb8'], ['b3', 'Rg8'], ['Rg2', 'Rf8'], ['Rg1', 'Rg8']]",1-0
Tbilisi Interzonal (Women),Tbilisi,1976.??.??,3,"Fatalibekova, Elena","Chiburdanidze, Maia",,,B30,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'e6'], ['O-O', 'Nge7'], ['Re1', 'a6'], ['Bxc6', 'Nxc6'], ['d4', 'cxd4'], ['Nxd4', 'd6\n'], ['Nxc6', 'bxc6'], ['Qg4', 'e5'], ['Qg3', 'Be6'], ['b3', 'f6'], ['c4', 'Kf7'], ['Nc3', 'Be7'], ['Rd1', 'Qc7\n'], ['Be3', 'Rhd8'], ['Rac1', 'Qb7'], ['f4', 'Kg8'], ['Na4', 'Bf8'], ['c5', 'exf4'], ['Qxf4', 'dxc5'], ['Bxc5', 'Bxc5+\n'], ['Nxc5', 'Qb6'], ['Rd6', 'Bf7'], ['Kh1', 'Rxd6'], ['Qxd6', 'Rd8'], ['Nd7', 'Qf2'], ['h3', 'Re8'], ['Qxc6', 'Qxa2\n'], ['Nc5', 'a5'], ['Rd1', 'Qc2'], ['Rd7', 'Qc1+'], ['Kh2', 'Qf4+'], ['Kg1', 'Qe3+'], ['Kh2', '']]",1/2-1/2
Tbilisi Interzonal (Women),Tbilisi,1976.??.??,4,"Vujosevic, Smilja","Chiburdanidze, Maia",,,B50,"[['e4', 'c5'], ['Nf3', 'd6'], ['d3', 'g6'], ['Nc3', 'Bg7'], ['Bd2', 'Nf6'], ['Be2', 'O-O'], ['Qc1', 'Nc6'], ['Bh6', 'd5\n'], ['Bxg7', 'Kxg7'], ['exd5', 'Nxd5'], ['Ne4', 'e5'], ['Nxc5', 'Qa5+'], ['c3', 'Qxc5'], ['h4', 'h5'], ['Ng5', 'Nf4\n'], ['g3', 'Nxe2'], ['Kxe2', 'Bf5'], ['f3', 'Rad8'], ['Ne4', 'Bxe4'], ['fxe4', 'f5'], ['exf5', 'Rxf5'], ['Rh2', 'e4\n'], ['d4', 'Qc4+']]",0-1
Tbilisi Interzonal (Women),Tbilisi,1976.??.??,5,"Chiburdanidze, Maia","Kozlovskaya, Valentina",,,B66,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['O-O-O', 'h6\n'], ['Be3', 'Bd7'], ['f3', 'b5'], ['g4', 'b4'], ['Nce2', 'Ne5'], ['Ng3', 'Be7'], ['h4', 'Qc7'], ['Kb1', 'a5'], ['g5', 'hxg5\n'], ['hxg5', 'Rxh1'], ['Nxh1', 'Nh5'], ['Nb5', 'Qc6'], ['Nxd6+', 'Bxd6'], ['Qxd6', 'Rc8'], ['Qxc6', 'Bxc6\n'], ['Be2', 'Ng6'], ['Nf2', 'Nhf4'], ['Bf1', 'e5'], ['Nd3', 'Nxd3'], ['Bxd3', 'Nf4'], ['Bf1', 'Bd7'], ['Bxf4', 'exf4\n'], ['Rxd7', 'Kxd7'], ['Bh3+', 'Kc7'], ['Bxc8', 'Kxc8'], ['c3', 'bxc3'], ['b3', 'Kd7'], ['Kc2', 'Ke6'], ['Kxc3', 'f5\n'], ['gxf6', 'Kxf6'], ['a3', 'g5'], ['b4', 'axb4+'], ['axb4', 'g4']]",1-0
Tbilisi Interzonal (Women),Tbilisi,1976.??.??,6,"Kellner, Narelle","Chiburdanidze, Maia",,,B34,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['Be2', 'Bg7'], ['Be3', 'Nf6'], ['Nd2', 'O-O'], ['O-O', 'd5\n'], ['Nxc6', 'bxc6'], ['e5', 'Nd7'], ['f4', 'Qc7'], ['c4', 'dxc4'], ['Nxc4', 'Nb6'], ['Nxb6', 'axb6'], ['Qb3', 'c5\n'], ['Bc4', 'Bb7'], ['Rfd1', 'Bc6'], ['Rd2', 'Ba4'], ['Qc3', 'Rfd8'], ['b3', 'Rxd2'], ['Qxd2', 'Rd8'], ['Qe2', 'Bc6\n'], ['Rd1', 'e6'], ['Rxd8+', 'Qxd8'], ['Qd2', 'Qxd2'], ['Bxd2', 'Kf8'], ['a4', 'Ke8'], ['Kf2', 'Kd7'], ['g3', '']]",1/2-1/2
