St Petersburg,St Petersburg,1874.??.??,?,"Chigorin, Mikhail","Davidov, Mikhail",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['O-O', 'gxf3'], ['Qxf3', 'Qf6'], ['e5', 'Qxe5'], ['d3', 'Bh6\n'], ['Nc3', 'Ne7'], ['Bd2', 'Nbc6'], ['Rae1', 'Qf5'], ['Nd5', 'Kd8'], ['Bc3', 'Re8'], ['Bf6', 'Bg5'], ['g4', 'Qg6\n'], ['Bxg5', 'Qxg5'], ['h4', 'Qxh4'], ['Qxf4', 'd6'], ['Nf6', 'Ne5'], ['Rxe5', 'dxe5'], ['Qxe5', 'Bxg4'], ['Qd4+', 'Kc8\n'], ['Be6+', 'Kb8'], ['Nd7+', 'Kc8'], ['Nc5+', 'Kb8'], ['Na6+', 'bxa6'], ['Qb4+', '']]",1-0
corr,?,1879.??.??,?,"Chigorin, Mikhail",Yakubovich,,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Bc5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['Nc3', 'Na5'], ['Bg5', 'f6'], ['Bh4', 'Nxc4'], ['Qa4+', 'Qd7'], ['Qxc4', 'Qf7'], ['Nd5', 'Nh6'], ['Rad1', 'Bg4\n'], ['Qc1', 'Bxf3'], ['gxf3', 'O-O'], ['Kh1', 'Qh5'], ['Qf4', 'Kh8'], ['Nxf6', 'Qf7'], ['e5', 'dxe5'], ['dxe5', 'Ng8\n'], ['Rg1', 'gxf6'], ['Rxg8+', 'Rxg8'], ['Bxf6+', 'Rg7'], ['Rg1', 'Rg8'], ['Qh6', 'Bc5'], ['e6', 'Qf8'], ['f4', 'Be7\n'], ['Ba1', 'b5'], ['f3', 'c5'], ['f5', 'b4'], ['Rg3', 'c4'], ['Qxh7+', '']]",1-0
St Petersburg m7879,St Petersburg,1879.??.??,?,"Chigorin, Mikhail","Schiffers, Emanuel Stepanovich",,,C48,"[['e4', 'e5'], ['Nc3', 'Nc6'], ['Nf3', 'Nf6'], ['Bb5', 'Bc5'], ['O-O', 'd6'], ['d4', 'exd4'], ['Nxd4', 'Bd7'], ['Nf5', 'Bxf5\n'], ['exf5', 'O-O'], ['Bg5', 'Qd7'], ['Bxf6', 'gxf6'], ['Nd5', 'Kh8'], ['Qh5', 'Qd8'], ['Qh6', 'Rg8'], ['Nxf6', 'Rg7\n'], ['Bxc6', 'bxc6'], ['Rae1', 'Qf8'], ['Kh1', 'Bd4'], ['Re4', 'Bxb2'], ['Rfe1', 'Bxf6'], ['Qxf6', 'Qd8\n'], ['Re7', 'Kg8'], ['R1e3', 'Qf8'], ['Rxc7', 'h6'], ['Ree7', '']]",1-0
St Petersburg m7879,St Petersburg,1879.??.??,?,"Schiffers, Emanuel Stepanovich","Chigorin, Mikhail",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Bc5'], ['Be3', 'Qf6'], ['c3', 'Nge7'], ['Bc4', 'd6'], ['O-O', 'Ne5\n'], ['Be2', 'Qg6'], ['Nd2', 'Bh3'], ['Bf3', 'h5'], ['Kh1', 'Nxf3'], ['Qxf3', 'Bg4'], ['Qf4', 'O-O-O'], ['Nb5', 'Be2\n'], ['Bxc5', 'Bxb5'], ['c4', 'Bc6'], ['Bd4', 'f5'], ['f3', 'h4'], ['b4', 'Rdf8'], ['e5', 'h3'], ['gxh3', 'dxe5\n'], ['Bxe5', 'Rxh3'], ['Bxc7', 'Rfh8'], ['Rf2', 'Qf7'], ['Ne4', 'Bxe4'], ['fxe4', 'g5'], ['Qd6', 'Ng6'], ['exf5', 'Nf4\n'], ['Ba5', 'Rxh2+'], ['Rxh2', 'Rxh2+'], ['Kxh2', 'Qh5+'], ['Kg1', 'Qg4+'], ['Kf2', 'Qe2+'], ['Kg1', 'Qg4+\n'], ['Kf2', 'Qe2+'], ['Kg3', 'Qg2+']]",0-1
St Petersburg m7879,St Petersburg,1879.??.??,?,"Schiffers, Emanuel Stepanovich","Chigorin, Mikhail",,,C13,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['Bxf6', 'Bxf6'], ['Nf3', 'O-O'], ['Bd3', 'c5'], ['exd5', 'exd5\n'], ['O-O', 'cxd4'], ['Ne2', 'Bg4'], ['Ng3', 'Nc6'], ['h3', 'Bxf3'], ['Qxf3', 'Ne5'], ['Qd1', 'g6'], ['f4', 'Nc4\n'], ['Bxc4', 'dxc4'], ['Qf3', 'Qb6'], ['Kh1', 'd3'], ['cxd3', 'Bxb2'], ['Rab1', 'c3'], ['Rf2', 'Rac8'], ['Rc2', 'Qa6\n'], ['Ne4', 'Qxa2'], ['Nxc3', 'Qxb1+'], ['Nxb1', 'Rxc2'], ['Qxb7', 'Rc1+'], ['Kh2', 'Rxb1'], ['Qb5', 'a5\n'], ['d4', 'a4'], ['Qxa4', 'Bc1'], ['d5', 'Rfb8'], ['Qc4', 'Be3'], ['Qe4', 'Bg1+'], ['Kg3', 'R1b3+'], ['Kh4', 'h6\n'], ['Qe1', 'Bd4'], ['g4', 'Bf6+'], ['g5', 'hxg5+'], ['Kg4', 'gxf4'], ['d6', 'f3'], ['Qa5', 'f2']]",0-1
St Petersburg m7879,St Petersburg,1879.??.??,?,"Chigorin, Mikhail","Schiffers, Emanuel Stepanovich",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['d4', 'd5'], ['Bd3', 'Nc6'], ['O-O', 'Be7'], ['c4', 'Bg4\n'], ['Re1', 'Bxf3'], ['Qxf3', 'Nxd4'], ['Qe3', 'Nf5'], ['Qh3', 'Nfd6'], ['cxd5', 'Nf6'], ['Bg5', 'Qd7'], ['Qh4', 'O-O-O\n'], ['Nc3', 'h6'], ['Qd4', 'Kb8'], ['Be3', 'b6'], ['a4', 'c5'], ['dxc6', 'Qxc6'], ['Bf4', 'Ka8'], ['a5', 'Nc8\n'], ['Bb5', 'Qxb5'], ['Nxb5', 'Rxd4'], ['Nxd4', '']]",1-0
St Petersburg m7879,St Petersburg,1879.??.??,?,"Chigorin, Mikhail","Schiffers, Emanuel Stepanovich",,,C68,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Bxc6', 'dxc6'], ['Nc3', 'Bc5'], ['d3', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'Ne7\n'], ['Ne2', 'O-O'], ['g4', 'Qd7'], ['Be3', 'Bb4+'], ['Kf1', 'Rad8'], ['Ng3', 'Qe6'], ['h4', 'a5'], ['Rg1', 'Kh8\n'], ['Nf5', 'g6'], ['a3', 'Bd6'], ['Ke2', 'gxf5'], ['gxf5', 'Qd7'], ['Bh6', 'Rg8'], ['Bg5', 'Rxg5'], ['hxg5', 'c5\n'], ['Rh1', 'Ng8'], ['f6', 'Bf8'], ['Rh3', 'c4'], ['Rah1', 'cxd3+'], ['cxd3', 'h6'], ['g6', 'fxg6'], ['f7', 'Ne7\n'], ['Rxh6+', 'Bxh6'], ['f8=Q+', 'Rxf8'], ['Qxf8+', 'Ng8'], ['Rxh6+', '']]",1-0
St Petersburg m7879,St Petersburg,1879.??.??,?,"Schiffers, Emanuel Stepanovich","Chigorin, Mikhail",,,C25,"[['e4', 'e5'], ['Nc3', 'Nc6'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'Bg7'], ['d4', 'd6'], ['h4', 'h6'], ['hxg5', 'hxg5\n'], ['Rxh8', 'Bxh8'], ['Ne5', 'dxe5'], ['Qh5', 'Qf6'], ['Nd5', 'Qg7'], ['Nxc7+', 'Kd8'], ['Nxa8', 'Nf6'], ['Qxf7', 'Qxf7\n'], ['Bxf7', 'Nxd4'], ['Bb3', 'Nxe4'], ['Bd2', 'Bg4'], ['c3', 'Nc6'], ['Bd5', 'Nf6'], ['c4', 'Kc8'], ['Kf2', 'e4\n'], ['Re1', 'e3+'], ['Bxe3', 'fxe3+'], ['Rxe3', 'Kb8'], ['Kg3', 'Bd7'], ['b4', 'Nh5+'], ['Kh2', 'Be5+'], ['g3', 'Bxg3+\n'], ['Kg2', 'Bf4'], ['Re1', 'Kxa8'], ['Rh1', 'Bg4'], ['b5', 'Ne5'], ['c5', 'Kb8'], ['a4', 'Ng6'], ['Re1', 'Be5\n'], ['Bf7', 'Ngf4+']]",0-1
St Petersburg m7879,St Petersburg,1879.??.??,?,"Chigorin, Mikhail","Schiffers, Emanuel Stepanovich",,,A00,"[['e3', 'c5'], ['c4', 'e6'], ['f4', 'Nc6'], ['Nf3', 'Nf6'], ['b3', 'Be7'], ['Bb2', 'O-O'], ['Bd3', 'd5'], ['Nc3', 'a6'], ['Ne5', 'Bd6\n'], ['Nxc6', 'bxc6'], ['Ne2', 'Qe7'], ['Ng3', 'g6'], ['O-O', 'e5'], ['Qc2', 'Ng4'], ['h3', 'Nh6'], ['fxe5', 'Bxe5\n'], ['Bxe5', 'Qxe5'], ['Ne2', 'Bf5'], ['Bxf5', 'Nxf5'], ['cxd5', 'cxd5'], ['Nf4', 'd4'], ['Nd3', 'Qg7'], ['e4', 'Ng3\n'], ['Rfe1', 'Rac8'], ['Rac1', 'f5'], ['exf5', 'Rxf5'], ['Qc4+', 'Kh8'], ['Qxa6', 'Rcf8'], ['Qd6', 'Nh5\n'], ['Rxc5', 'R5f6'], ['Qe5', 'Qh6'], ['g4', 'Nf4'], ['Nxf4', 'Qxf4'], ['Qxf4', 'Rxf4'], ['Rd5', 'Kg7'], ['Re7+', 'Kf6\n'], ['Rde5', 'h6'], ['Kg2', 'Rf7'], ['Rxf7+', 'Kxf7'], ['d3', 'Rf6'], ['a4', 'Rb6'], ['Rb5', 'Rc6'], ['Kf3', 'Re6\n'], ['a5', 'Re3+'], ['Kf2', 'Rxd3'], ['a6', 'Rd2+'], ['Kf3', 'Ra2'], ['Rb6', 'd3'], ['Ke3', 'd2'], ['Ke2', 'h5\n'], ['gxh5', 'gxh5'], ['b4', '']]",1-0
St Petersburg m7879,St Petersburg,1879.??.??,?,"Chigorin, Mikhail","Schiffers, Emanuel Stepanovich",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Bc5'], ['Be3', 'Qf6'], ['c3', 'Nge7'], ['Bc4', 'Ne5'], ['Be2', 'd5\n'], ['f4', 'Ng4'], ['Bxg4', 'Qh4+'], ['g3', 'Qxg4'], ['Qxg4', 'Bxg4'], ['e5', 'O-O'], ['Nf5', 'Bxe3'], ['Nxe3', 'Bf3\n'], ['Rf1', 'Be4'], ['Nd2', 'Bd3'], ['Rf2', 'c5'], ['Nf3', 'f6'], ['O-O-O', 'c4'], ['exf6', 'Rxf6'], ['Re1', 'Re6\n'], ['Ng5', 'Ra6'], ['a3', 'h6'], ['Nf3', 'Re6'], ['Nd4', 'Re4'], ['Kd2', 'Re8'], ['g4', 'Nc6'], ['Nxc6', 'bxc6\n'], ['Ng2', 'Rb8'], ['Kc1', 'Rbe8'], ['Rxe4', 'Rxe4'], ['Kd2', 'Re7'], ['f5', 'Rb7'], ['Kc1', 'Re7'], ['Nf4', 'Be4\n'], ['h4', 'Kf7'], ['Ne6', 'Bd3'], ['Nd8+', 'Kf6'], ['Ne6', 'Ke5'], ['Nf4', 'Ke4'], ['Kd2', 'Rb7'], ['b4', 'd4\n'], ['cxd4', 'a5'], ['Ne6', 'Rb8'], ['Rf4+', 'Kd5'], ['Kc3', 'axb4+'], ['axb4', 'Rb7'], ['Nc5', 'Ra7'], ['Nxd3', 'Ra3+\n'], ['Kb2', 'Rxd3'], ['g5', 'Rb3+'], ['Kc2', 'hxg5'], ['hxg5', 'Rxb4'], ['f6', 'gxf6'], ['gxf6', 'Rb8'], ['f7', 'Rf8\n'], ['Kc3', 'c5'], ['Rf5+', 'Ke6'], ['Rxc5', 'Rxf7'], ['Kxc4', 'Kd6']]",1/2-1/2
St Petersburg m7879,St Petersburg,1879.??.??,?,"Schiffers, Emanuel Stepanovich","Chigorin, Mikhail",,,C77,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['d3', 'd6'], ['Bxc6+', 'bxc6'], ['h3', 'g6'], ['Nc3', 'Bg7\n'], ['Bg5', 'h6'], ['Be3', 'O-O'], ['Qd2', 'Kh7'], ['g4', 'Ng8'], ['O-O-O', 'c5'], ['Rdg1', 'c6'], ['h4', 'f6\n'], ['Ne2', 'Qe7'], ['Qc3', 'Rb8'], ['Nh2', 'f5'], ['gxf5', 'gxf5'], ['exf5', 'Bxf5'], ['Ng3', 'Rb4'], ['Ne4', 'Bxe4\n'], ['dxe4', 'Qe6'], ['b3', 'Rxe4'], ['Qd3', 'Qd5'], ['Qxa6', 'Rxh4'], ['c4', 'Qd3'], ['Qb7', 'Qc3+'], ['Kd1', 'Rd4+\n'], ['Bxd4', 'Qxd4+'], ['Kc1', 'Qa1+'], ['Kd2', 'Rxf2+'], ['Ke3', 'Qd4+']]",0-1
