USA-72ch,Ventura,1971.??.??,6,"Christiansen, Larry Mark","Gheorghiu, Florin",,,A26,"[['c4', 'g6'], ['Nc3', 'Bg7'], ['Nf3', 'Nf6'], ['g3', 'O-O'], ['Bg2', 'd6'], ['O-O', 'Nc6'], ['Rb1', 'e5'], ['d3', 'Nd4\n'], ['b4', 'c6'], ['b5', 'Nxf3+'], ['Bxf3', 'd5'], ['bxc6', 'bxc6'], ['Qa4', 'Be6'], ['Ba3', 'Re8'], ['cxd5', 'cxd5\n'], ['Rfc1', 'a6'], ['Bc5', 'Rc8'], ['Bb6', 'Qd6'], ['Ba5', 'Bd7'], ['Bb4', 'Qe6'], ['Qb3', 'e4'], ['dxe4', 'dxe4\n'], ['Qxe6', 'Rxe6'], ['Bg2', 'Rec6'], ['Rd1', 'Bf5'], ['Nd5', 'Nxd5'], ['Rxd5', 'Rc2'], ['a3', 'e3'], ['Rbd1', 'Bf8\n'], ['Bf3', 'exf2+'], ['Kxf2', 'Bc5+'], ['Rxc5', 'R8xc5'], ['Bxc5', 'Rxc5'], ['Rd5', 'Rc2'], ['Ra5', 'Bd3\n'], ['Re5', 'Bb5'], ['Bd5', 'Kf8'], ['Re3', 'h6'], ['g4', 'Bc4'], ['Bxc4', 'Rxc4'], ['Kg3', 'Kg7'], ['Rf3', 'Re4\n'], ['h4', 'Rxe2'], ['g5', 'hxg5'], ['hxg5', 'Re5'], ['Kg4', 'Re4+'], ['Kg3', 'Kf8'], ['Rb3', 'Ke7'], ['Kf3', 'Ra4\n'], ['Kg3', 'Ke6'], ['Rf3', 'a5'], ['Rf6+', 'Ke7'], ['Rf3', 'Re4'], ['Rb3', 'Re5'], ['Kf4', 'Rf5+'], ['Kg4', 'Kd6\n'], ['Rb7', 'Kc5'], ['a4', 'Kd5'], ['Rb5+', 'Ke4'], ['Rb7', 'Kd4'], ['Rc7', 'Kd5'], ['Rb7', 'Kc6'], ['Re7', 'Rf1\n'], ['Re5', 'Kb6'], ['Rb5+', 'Ka6'], ['Rd5', 'Rb1'], ['Kf4', 'Rb4+'], ['Ke5', 'Rxa4'], ['Rd7', 'Rg4'], ['Kf6', 'Rf4+\n'], ['Kg7', 'a4'], ['Rd8', 'Kb5'], ['Rb8+', 'Kc4'], ['Ra8', 'Kb3'], ['Rb8+', 'Rb4'], ['Re8', 'Rb7'], ['Re3+', 'Kc2']]",0-1
USA-72ch,Ventura,1971.??.??,8,"Christiansen, Larry Mark","Romanenko, Ivan",,,B38,"[['c4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'Bg7'], ['e4', 'd6'], ['Be2', 'Nc6'], ['Be3', 'O-O\n'], ['O-O', 'Bd7'], ['h3', 'Rc8'], ['Qd2', 'a6'], ['f4', 'Ne8'], ['Rad1', 'Nxd4'], ['Bxd4', 'Bc6'], ['b4', 'f5\n'], ['exf5', 'gxf5'], ['b5', 'axb5'], ['cxb5', 'Bd7'], ['Bxg7', 'Nxg7'], ['Kh1', 'Be6'], ['Bf3', 'Rc5'], ['Bxb7', 'Nh5\n'], ['Rf3', 'Nf6'], ['Qe3', 'Kf7'], ['Qxc5', 'dxc5'], ['Rxd8', 'Rxd8'], ['a4', 'Ne4'], ['Nxe4', 'fxe4'], ['Rc3', 'Rd3\n'], ['Rxc5', 'e3'], ['Re5', 'Bc4'], ['Bf3', 'Ra3'], ['Re4', 'Bd5'], ['Rxe3', 'Rxe3'], ['Bxd5+', 'e6'], ['Bc6', 'Ke7\n'], ['a5', 'Kd6'], ['a6', 'Ra3'], ['Kh2', 'Kc7'], ['g4', 'Kb6'], ['g5', 'Rc3'], ['h4', 'Rd3'], ['h5', 'Rd8'], ['Kg3', 'Rd3+\n'], ['Kg4', 'Rd4'], ['Kf3', 'Rd3+'], ['Ke4', 'Rd1'], ['Ke5', 'Re1+'], ['Kf6', 'Rf1'], ['Kg7', 'Rxf4'], ['Kxh7', 'e5\n'], ['g6', 'Rh4'], ['h6', 'e4'], ['g7', 'e3'], ['g8=Q', 'e2'], ['Qg1+', '']]",1-0
USA-72ch,Ventura,1971.??.??,9,"Binet, Laszlo T","Christiansen, Larry Mark",,,A45,"[['d4', 'Nf6'], ['Bg5', 'c5'], ['dxc5', 'e6'], ['e3', 'Bxc5'], ['a3', 'a5'], ['Nf3', 'Nc6'], ['Nc3', 'd5'], ['Bd3', 'O-O\n'], ['O-O', 'h6'], ['Bh4', 'Be7'], ['Qe1', 'e5'], ['Rd1', 'Be6'], ['Bb5', 'e4'], ['Nd4', 'Nxd4'], ['Rxd4', '']]",1/2-1/2
USA-72ch,Ventura,1971.??.??,10,"Christiansen, Larry Mark","Cunningham, Walter",,,E94,"[['c4', 'Nf6'], ['Nf3', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['d4', 'O-O'], ['Be2', 'e5'], ['Be3', 'Ng4'], ['Bg5', 'f6\n'], ['Bh4', 'Nd7'], ['O-O', 'c6'], ['Qc2', 'Qe8'], ['Rad1', 'a6'], ['b4', 'h5'], ['h3', 'Nh6'], ['dxe5', 'dxe5\n'], ['c5', 'Kh8'], ['Bc4', 'g5'], ['Bg3', 'Qg6'], ['Rd6', 'Nf7'], ['Bxf7', 'Qxf7'], ['Rfd1', 'Re8'], ['Qd2', 'Nf8\n'], ['Na4', 'Be6'], ['Nb6', 'Rab8'], ['a4', 'Ng6'], ['Qe2', 'h4'], ['Bh2', 'Bf8'], ['R6d2', 'Be7'], ['a5', 'Rg8\n'], ['Nd4', 'exd4'], ['Qh5+', 'Kg7'], ['Bxb8', 'Rxb8'], ['Rxd4', 'g4'], ['Rd8', 'Bxd8'], ['hxg4', 'Bxb6\n'], ['cxb6', 'Rh8'], ['Qc5', 'h3'], ['gxh3', 'Rxh3'], ['g5', 'Nf4'], ['Rd8', 'Ra3']]",0-1
USA-72ch,Ventura,1971.??.??,12,"Christiansen, Larry Mark","Fritzinger, Dennis",,,D41,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e3', 'e6'], ['d4', 'Be7'], ['Bc4', 'Nxc3'], ['bxc3', 'Nc6\n'], ['O-O', 'O-O'], ['Qc2', 'b6'], ['Rd1', 'Qc7'], ['Bd3', 'g6'], ['e4', 'cxd4'], ['cxd4', 'Qb7'], ['a3', 'Bf6\n'], ['Bb2', 'Ne7'], ['Rac1', 'Rd8'], ['Qd2', 'Rd7'], ['Qf4', 'Bg7'], ['Bb5', 'Rd8'], ['Rc7', 'Qb8'], ['g3', 'e5\n'], ['Qc1', 'Bg4'], ['Rd3', 'Bxf3'], ['Rxf3', 'Rc8'], ['Rxc8+', 'Qxc8'], ['Bc4', 'b5'], ['Bxf7+', 'Kh8'], ['Qxc8+', 'Rxc8\n'], ['dxe5', 'Rf8'], ['Bc3', 'Rc8'], ['Rd3', 'Rc5'], ['Rd8+', 'Bf8'], ['Bd4', 'Rc1+'], ['Kg2', 'Nc6'], ['Rxf8+', 'Kg7\n'], ['Rc8', 'Kxf7'], ['Bxa7', 'Rc4'], ['Be3', 'Nxe5'], ['Rxc4', 'Nxc4'], ['Bc5', 'Ke6'], ['f3', 'Nb2'], ['f4', 'Nc4\n'], ['Bb4', 'h5'], ['Kf3', 'Nb6'], ['h3', 'Nd7'], ['g4', 'hxg4+'], ['hxg4', 'Nf6'], ['f5+', 'Kf7'], ['Kf4', 'gxf5\n'], ['gxf5', 'Nh5+'], ['Kg5', 'Ng7'], ['e5', '']]",1-0
WchT U26,Teeside,1974.??.??,?,"Christiansen, Larry Mark","Poutiainen, Pertti",,,B09,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['f4', 'Bg7'], ['Nf3', 'O-O'], ['e5', 'Ne8'], ['Be3', 'c5'], ['dxc5', 'Nc6\n'], ['cxd6', 'exd6'], ['Be2', 'Qa5'], ['Qd5', 'Qb4'], ['O-O-O', 'dxe5'], ['Qc5', 'e4'], ['Ne5', 'Qxc5'], ['Bxc5', 'Nxe5\n'], ['Bxf8', 'Kxf8'], ['fxe5', 'e3'], ['Nd5', 'Bxe5'], ['Kb1', 'Be6'], ['Nxe3', 'Rc8'], ['Bf3', 'Nc7'], ['Ng4', 'Bg7\n'], ['Rhe1', 'Na6'], ['Ne5', 'Nb4'], ['c3', 'Bxe5'], ['Rxe5', 'Bxa2+'], ['Ka1', 'Bb3'], ['Rd2', 'Nc6'], ['Rb5', 'Be6\n'], ['Bxc6', 'Rxc6'], ['Kb1', 'b6'], ['Re5', 'Ke7'], ['Re3', 'h5'], ['b3', 'b5'], ['Kb2', 'a6'], ['Re5', 'Kf6\n'], ['Re4', 'Ke7'], ['Red4', 'a5'], ['Rd8', 'a4'], ['bxa4', 'bxa4'], ['Ra8', '']]",1/2-1/2
WchT U26,Teeside,1974.??.??,?,"Christiansen, Larry Mark","Miles, Anthony J",,,B09,"[['e4', 'd6'], ['Nc3', 'g6'], ['d4', 'Bg7'], ['f4', 'Nf6'], ['Nf3', 'c5'], ['Bb5+', 'Bd7'], ['e5', 'Ng4'], ['h3', 'Bxb5\n'], ['Nxb5', 'dxe5'], ['hxg4', 'Qa5+'], ['Bd2', 'Qxb5'], ['dxe5', 'Nc6'], ['Bc3', 'Qc4'], ['g3', 'Rd8'], ['Qe2', 'Qe6\n'], ['g5', 'h5'], ['gxh6', 'Rxh6'], ['Kf2', 'Rxh1'], ['Rxh1', 'Kf8'], ['Rd1', 'Rxd1'], ['Qxd1', 'f6'], ['Qd3', 'Kf7\n'], ['b3', 'Bh6'], ['exf6', 'exf6'], ['Nh4', 'Ne7'], ['Nxg6', 'c4'], ['bxc4', 'Nxg6'], ['f5', 'Qb6+'], ['c5', 'Qxc5+\n'], ['Bd4', 'Qc7'], ['fxg6+', 'Kg7'], ['Qf5', 'Qd6'], ['c3', 'a6'], ['Ke2', 'b5'], ['a3', 'Qc6'], ['Kf2', 'Qd6\n'], ['Kg2', 'Bc1'], ['Qh5', 'Bh6'], ['Be3', 'Qc6+'], ['Kh2', '']]",1-0
WchT U26,Teeside,1974.??.??,?,"Christiansen, Larry Mark","Adorjan, Andras",,,B09,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['f4', 'Bg7'], ['Nf3', 'O-O'], ['e5', 'dxe5'], ['dxe5', 'Qxd1+'], ['Kxd1', 'Nh5\n'], ['Rg1', 'Bg4'], ['Be2', 'Nc6'], ['h3', 'Rad8+'], ['Ke1', 'Bxf3'], ['Bxf3', 'Nd4'], ['Bd1', 'Ng3'], ['Kf2', 'Ndf5\n'], ['Bf3', 'c6'], ['Ne4', 'Nxe4+'], ['Bxe4', 'e6'], ['g4', 'Ne7'], ['g5', 'Nd5'], ['c4', 'Nb6'], ['b3', 'Rd7\n'], ['Be3', 'Rfd8'], ['Ke2', 'Bf8'], ['Rad1', 'Rxd1'], ['Rxd1', 'Rxd1'], ['Kxd1', 'Bb4'], ['Bd2', 'Bxd2\n'], ['Kxd2', 'Kf8'], ['Kc3', 'Ke7'], ['b4', 'Kd7'], ['Kb3', 'Kc7'], ['a4', 'Nd7']]",1/2-1/2
WchT U26,Teeside,1974.??.??,?,"Chellstorp, Craig V","Christiansen, Larry Mark",,,A01,"[['b3', 'e5'], ['Bb2', 'Nc6'], ['e3', 'd5'], ['Bb5', 'Bd6'], ['Nf3', 'Qe7'], ['d4', 'e4'], ['Ne5', 'Qg5'], ['Nxc6', 'Qxg2\n'], ['Ne5+', 'c6'], ['Rf1', 'cxb5'], ['Qe2', 'a6'], ['Nc3', 'Ne7'], ['O-O-O', 'O-O'], ['Rg1', 'Qh3'], ['Rg3', 'Qe6\n'], ['Qh5', 'Qf5'], ['Qh4', 'Be6'], ['f3', 'Ng6'], ['Nxg6', 'fxg6'], ['fxe4', 'Bxg3'], ['exf5', 'Bxh4'], ['fxe6', 'Rae8\n'], ['Ba3', 'Be7'], ['Bxe7', 'Rxe7'], ['Nxd5', 'Rxe6'], ['Re1', 'Rf5'], ['c4', 'bxc4'], ['bxc4', 'b5'], ['e4', 'bxc4\n'], ['Nc7', 'Re7'], ['Nxa6', 'Ra5'], ['Nb4', 'Rb7'], ['Nc2', 'Rxa2'], ['Re3', 'Rb3'], ['Rg3', 'Kf7'], ['d5', 'Rxg3\n'], ['hxg3', 'Kf6'], ['Nb4', 'Re2'], ['Nc6', 'Rxe4']]",0-1
Buenos Aires-J,Buenos Aires,1975.??.??,?,"Christiansen, Larry Mark","Bravo, Hector",,,A08,"[['Nf3', 'd5'], ['g3', 'Nf6'], ['Bg2', 'e6'], ['O-O', 'Be7'], ['d3', 'O-O'], ['Nbd2', 'c5'], ['e4', 'Nc6'], ['Re1', 'Re8\n'], ['e5', 'Nd7'], ['Nf1', 'f6'], ['exf6', 'Nxf6'], ['Bf4', 'Bd6'], ['Ne5', 'Qc7'], ['Qe2', 'Nd4'], ['Qd2', 'Nh5\n'], ['c3', 'Nxf4'], ['cxd4', 'Nxg2'], ['Kxg2', 'cxd4'], ['Rac1', 'Qe7'], ['a3', 'Bd7'], ['Re2', 'Bb5'], ['h4', 'Qf6\n'], ['Nh2', 'Rf8'], ['f4', 'Be8'], ['Rce1', 'Rc8'], ['Nhf3', 'Bc5'], ['Rc1', 'Bb5'], ['Qe1', 'Qf5'], ['Rec2', 'b6\n'], ['Nxd4', 'Bxd4'], ['Rxc8', 'Bxe5'], ['Rxf8+', 'Kxf8'], ['Qb4+', 'Kf7'], ['Qxb5', 'Bd4'], ['Qd7+', 'Kg6\n'], ['Rc6', 'Bxb2'], ['Rxe6+', 'Bf6'], ['Qe8+', 'Kh6'], ['Re3', 'Qg4'], ['Qe6', '']]",1-0
