Lone Pine,Lone Pine,1976.??.??,1,"De Firmian, Nick E","Martinovsky, Eugene",,,C62,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'd6'], ['d4', 'Bd7'], ['O-O', 'exd4'], ['Nxd4', 'g6'], ['Nc3', 'Bg7'], ['Nxc6', 'bxc6\n'], ['Bc4', 'Nf6'], ['Bg5', 'h6'], ['Bh4', 'O-O'], ['f4', 'Qb8'], ['Bb3', 'a5'], ['e5', 'Nh7'], ['exd6', 'cxd6\n'], ['Be7', 'a4'], ['Bxf8', 'Nxf8'], ['Nxa4', 'Rxa4'], ['Bxa4', 'Qa7+'], ['Kh1', 'Qxa4'], ['c3', 'Qb5'], ['a4', 'Qxb2\n'], ['a5', 'Bxc3'], ['a6', 'Bd4'], ['a7', 'Bxa7'], ['Rxa7', 'd5'], ['Qa1', 'Qxa1'], ['Rfxa1', 'Kg7'], ['Kg1', 'Kf6\n'], ['Kf2', 'Ke7'], ['Ke3', 'Ne6'], ['g4', 'f5'], ['gxf5', 'gxf5'], ['Rg1', 'd4+'], ['Kd2', 'Kd6'], ['Rg6', 'c5\n'], ['Rxh6', 'c4'], ['Ra5', 'Ke7'], ['Rxf5', 'c3+'], ['Kd3', 'Bc8'], ['Rxe6+', 'Bxe6'], ['Rc5', 'c2'], ['Kxd4', 'Bf5\n'], ['Ke5', 'Bd3'], ['f5', 'Kd7'], ['h4', 'Ke7'], ['h5', 'Kf7'], ['Rc7+', 'Kg8'], ['Kf6', 'Be4'], ['h6', 'Bd3\n'], ['Kg6', '']]",1-0
Lone Pine,Lone Pine,1976.??.??,2,"Weinstein, Norman","De Firmian, Nick E",,,E74,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['e4', 'd6'], ['d4', 'Bg7'], ['Be2', 'O-O'], ['Bg5', 'c5'], ['dxc5', 'Qa5'], ['Bd2', 'Qxc5\n'], ['Nf3', 'Bg4'], ['Be3', 'Qa5'], ['O-O', 'Nc6'], ['Rc1', 'Rfc8'], ['b3', 'Nd7'], ['Bd2', 'Nc5'], ['h3', 'Be6\n'], ['Qc2', 'a6'], ['Nd5', 'Qd8'], ['Rfd1', 'h6'], ['Be3', 'Qa5'], ['Qb1', 'Bxd5'], ['Rxd5', 'Nb4'], ['Rd2', 'Ne6\n'], ['a4', 'Rc7'], ['Rdd1', 'Rac8'], ['Ne1', 'Qe5'], ['Nc2', 'Nxc2'], ['Qxc2', 'h5'], ['Rd5', 'Qf6'], ['Bf1', 'Kh7\n'], ['Rxh5+', 'Kg8'], ['Rd5', 'Nf4'], ['Rdd1', 'Ne6'], ['Rd5', 'Nf4'], ['Rdd1', 'Ne6'], ['Be2', 'b5'], ['a5', 'bxc4\n'], ['Bxc4', 'Rc6'], ['Qd2', 'Qe5'], ['Bd5', 'Rxc1'], ['Rxc1', 'Rxc1+'], ['Qxc1', 'Qc3'], ['Qxc3', 'Bxc3\n'], ['Bb6', 'Nc5'], ['f3', 'e6'], ['Bc4', 'Kf8'], ['Kf2', 'Ke8'], ['Ke2', 'Kd7'], ['Kd1', 'Kc6'], ['Kc2', 'Be1\n'], ['g4', 'Nb7'], ['Bxa6', 'Nxa5'], ['Bd8', 'Kc5'], ['Bg5', 'Bf2'], ['Be2', 'Nc6'], ['Kd2', 'Nd4'], ['Bd1', 'f5\n'], ['h4', 'fxg4'], ['fxg4', 'd5'], ['Be7+', 'Kc6'], ['Kd3', 'dxe4+'], ['Kxe4', 'Kd7'], ['Bf6', 'Nb5'], ['Kf3', 'Bc5\n'], ['Kf4', 'Ke8'], ['Be2', 'Kf7'], ['Be5', 'Nd4'], ['Bc4', 'Nc6'], ['Bc7', 'Bb4'], ['Kf3', 'Kf6'], ['g5+', 'Kf7\n'], ['Bg3', 'Na5'], ['Bf2', 'Bc3'], ['Ke4', 'Nxc4'], ['bxc4', 'Ke7'], ['c5', 'Ba5'], ['Bg3', 'Kd7'], ['c6+', '']]",1-0
Lone Pine,Lone Pine,1976.??.??,3,"Evans, Larry D","De Firmian, Nick E",,,B22,"[['e4', 'c5'], ['c3', 'e6'], ['d4', 'd5'], ['exd5', 'Qxd5'], ['Nf3', 'Nc6'], ['Na3', 'cxd4'], ['Nb5', 'Bd6'], ['Bc4', 'Qe4+\n'], ['Be2', 'Bb8'], ['cxd4', 'Qd5'], ['O-O', 'Nge7'], ['Nc3', 'Qa5'], ['Bd3', 'h6'], ['Qe2', 'Bd7'], ['a3', 'Qh5\n'], ['h3', 'Na5'], ['Qc2', 'Bc6'], ['Ne5', 'Bxe5'], ['dxe5', 'Qxe5'], ['b4', 'Nd5'], ['Ne4', 'Nxb4'], ['axb4', 'Qxa1\n'], ['Bb2', 'Qa2'], ['bxa5', 'Qxa5'], ['Bxg7', 'Rg8'], ['Bc3', 'Qd8'], ['Bf6', 'Qd5'], ['Bh4', 'Rg6'], ['f3', 'Qd4+\n'], ['Bf2', 'Qd5'], ['Bc5', 'Rd8'], ['Nd6+', 'Rxd6'], ['Bxg6', 'Rd8'], ['Bxf7+', 'Kd7'], ['Rd1', '']]",1-0
Lone Pine,Lone Pine,1976.??.??,4,"De Firmian, Nick E","Silman, Jeremy D",,,C92,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Qd7'], ['d4', 'Re8'], ['Nbd2', 'Bf8'], ['d5', 'Ne7'], ['c4', 'c6'], ['a4', 'bxc4'], ['dxc6', 'Qxc6\n'], ['Nxc4', 'Be6'], ['Na5', 'Bxb3'], ['Qxb3', 'Qc7'], ['Bd2', 'Rab8'], ['Qc3', 'Qb6'], ['Nc4', 'Qc6'], ['Qd3', 'Ng6\n'], ['Nh2', 'd5'], ['exd5', 'Nxd5'], ['Rac1', 'Ndf4'], ['Qg3', 'Bb4'], ['Nf3', 'Bxd2'], ['Nfxd2', 'Nh4'], ['Ne4', 'Nhxg2\n'], ['Ncd6', 'Nxe1'], ['Nf6+', 'Kf8'], ['Nxh7+', 'Ke7'], ['Nf5+', 'Kd7'], ['Rxe1', 'Qg6'], ['Ng5', 'Qxg5']]",0-1
Lone Pine,Lone Pine,1976.??.??,5,"De Firmian, Nick E","Seirawan, Yasser",,,A41,"[['d4', 'd6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['g3', 'e5'], ['Nc3', 'Nc6'], ['d5', 'Nce7'], ['Bg2', 'h6'], ['O-O', 'f5'], ['e4', 'Nf6\n'], ['Ne1', 'O-O'], ['Nd3', 'fxe4'], ['Nxe4', 'g5'], ['Qe2', 'Bf5'], ['Bd2', 'Qd7'], ['Bc3', 'Bg4'], ['f3', 'Nxe4\n'], ['Qxe4', 'Bf5'], ['Qe2', 'b5'], ['Nb4', 'a5'], ['Nc6', 'Nxc6'], ['dxc6', 'Qxc6'], ['cxb5', 'Qb6+'], ['Kh1', 'Rae8\n'], ['Rad1', 'a4'], ['Qc4+', 'Be6'], ['Qxa4', 'Ra8'], ['Qe4', 'Bxa2'], ['f4', '']]",1/2-1/2
Lone Pine,Lone Pine,1976.??.??,6,"Blumenfeld, Rudy","De Firmian, Nick E",,,B99,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'e6'], ['f4', 'Be7'], ['Qf3', 'Qc7\n'], ['O-O-O', 'Nbd7'], ['Bd3', 'b5'], ['Rhe1', 'Bb7'], ['Qg3', 'b4'], ['Nd5', 'exd5'], ['exd5', 'Kd8'], ['Nf5', 'Bf8\n'], ['Qe3', 'Qc5'], ['Qd2', 'Rc8'], ['Kb1', 'Kc7'], ['Bh4', 'Nxd5'], ['Bf2', 'Qa5'], ['Bc4', 'Nc3+'], ['bxc3', 'bxc3\n'], ['Qe3', 'Qxf5'], ['Qxc3', 'Kd8'], ['g4', 'Qb5+'], ['Bxb5', 'Rxc3'], ['Bd4', 'Rf3'], ['Bc4', 'Rxf4'], ['h3', 'd5\n'], ['Bb3', 'Bb4'], ['Bxg7', 'Rg8'], ['Bh6', 'Rf6'], ['Bd2', 'Bxd2'], ['Rxd2', 'Rd6'], ['c4', 'd4'], ['Bc2', 'h6\n'], ['Red1', 'Bf3'], ['Rxd4', 'Rb6+'], ['Kc1', 'Bxd1'], ['Bf5', 'Ba4'], ['c5', 'Rb7']]",0-1
Lone Pine,Lone Pine,1976.??.??,7,"Strauss, David J","De Firmian, Nick E",,,B25,"[['e4', 'c5'], ['Nc3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'Nc6'], ['d3', 'd6'], ['Be3', 'e5'], ['f4', 'Nge7'], ['Nf3', 'O-O\n'], ['O-O', 'Nd4'], ['Qd2', 'Rb8'], ['Nh4', 'exf4'], ['Bxf4', 'b5'], ['a3', 'a5'], ['Rae1', 'Qc7'], ['Kh1', 'b4\n'], ['axb4', 'cxb4'], ['Nb1', 'Nxc2'], ['Qxc2', '']]",0-1
Paul Masson op,?,1977.??.??,2,"Harari, Zaki","De Firmian, Nick E",,,A76,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'c5'], ['d5', 'e6'], ['O-O', 'exd5\n'], ['cxd5', 'Re8'], ['Qc2', 'Nbd7'], ['h3', 'a6'], ['a4', 'Rb8'], ['Bf4', 'Qe7'], ['Nd2', 'Ne5'], ['Be3', 'Nh5\n'], ['f4', 'Bh6'], ['Bxh5', 'gxh5'], ['Rae1', 'Ng6'], ['e5', 'dxe5'], ['f5', 'Bxe3+'], ['Rxe3', 'Nf8'], ['Rg3+', 'Kh8\n'], ['f6', 'Qd7'], ['Nde4', 'Ng6'], ['Qd2', 'Rg8'], ['Qh6', 'Qe8'], ['Ng5', 'Nf8'], ['Nxh7', '']]",1-0
Paul Masson op,?,1977.??.??,3,"De Firmian, Nick E","Fritzinger, Dennis",,,C41,"[['e4', 'e5'], ['Nf3', 'd6'], ['d4', 'Nf6'], ['Nc3', 'Nbd7'], ['Bc4', 'Be7'], ['O-O', 'O-O'], ['a4', 'c6'], ['Bb3', 'Qe8\n'], ['Re1', 'Bd8'], ['a5', 'Bc7'], ['Bg5', 'h6'], ['Bh4', 'Qd8'], ['d5', 'g5'], ['Bg3', 'Nc5'], ['dxc6', 'bxc6\n'], ['Bc4', 'Rb8'], ['Ra2', 'Be6'], ['Bxe6', 'Nxe6'], ['a6', 'Rb4'], ['h4', 'g4'], ['Nd2', 'Kh7'], ['b3', 'Rg8\n'], ['Nc4', 'Nh5'], ['Qd2', 'Rb8'], ['Qe3', 'Nd4'], ['Ne2', 'c5'], ['Qd3', 'Rg6'], ['Ne3', 'Nf3+'], ['gxf3', 'gxf3\n'], ['Nf5', 'fxe2'], ['Qxe2', 'Nf4'], ['Qd2', 'd5'], ['exd5', 'Qd7'], ['Ne3', 'Qh3'], ['d6', 'Rbg8'], ['c4', 'Ba5\n'], ['Qd5', 'Rxg3+'], ['fxg3', 'Rxg3+'], ['Kf2', 'Qh2+']]",0-1
Golden Gate op,San Francisco,1977.??.??,?,"Harari, Zaki","De Firmian, Nick E",,,E76,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f4', 'O-O'], ['Nf3', 'c5'], ['dxc5', 'dxc5'], ['Qxd8', 'Rxd8\n'], ['e5', 'Ne8'], ['Nd5', 'Nc6'], ['Be3', 'b6'], ['O-O-O', 'Bg4'], ['Be2', 'f6'], ['exf6', 'Nxf6'], ['h3', 'Bd7\n'], ['Rhe1', 'Rac8'], ['Nc3', 'Ne8'], ['Ne5', 'Nxe5'], ['fxe5', 'Bxe5'], ['Nd5', 'Bf6'], ['Bf4', 'Be6'], ['Bf3', 'Kf7\n'], ['g4', 'g5'], ['Bg3', 'Nd6'], ['Nxf6', 'Kxf6'], ['Be5+', 'Kf7'], ['b3', 'Rd7'], ['Re2', 'Ne8'], ['Rf1', 'Kg8\n'], ['Bb2', 'Bf7'], ['Be4', 'e6'], ['Ref2', 'Nd6'], ['Bc2', 'Rf8'], ['Bf6', 'h6'], ['Bc3', 'Ne8'], ['Be5', 'Rd8\n'], ['h4', 'gxh4'], ['g5', 'Ng7'], ['gxh6', 'Nf5'], ['Rxf5', 'exf5'], ['Rg1+', 'Kh7'], ['Bxf5+', 'Kxh6'], ['Bf4+', 'Kh5\n'], ['Rg5+', 'Kh6'], ['Rg8+', 'Kh5'], ['Bg4+', '']]",1-0
Golden Gate op,San Francisco,1977.??.??,?,"De Firmian, Nick E","Whitehead, Jay E",,,B35,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['Nc3', 'Bg7'], ['Be3', 'Nf6'], ['Bc4', 'Qa5'], ['O-O', 'O-O\n'], ['Bb3', 'd6'], ['h3', 'Bd7'], ['f4', 'Qh5'], ['Qd3', 'b5'], ['a3', 'a6'], ['Nf3', 'Rac8'], ['Rad1', 'Na5'], ['e5', 'dxe5\n'], ['fxe5', 'Bf5'], ['Qd4', 'Nd7'], ['Bf4', 'Nxb3'], ['cxb3', 'Nc5'], ['Nd5', 'Rfd8'], ['Rc1', 'Ne6'], ['Nxe7+', 'Kf8\n'], ['Qb4', 'a5'], ['Nxg6+', 'Kg8'], ['Rxc8', 'Rxc8'], ['Ne7+', 'Kf8'], ['Qxa5', 'Kxe7'], ['Qb4+', 'Ke8\n'], ['Be3', 'Bd3'], ['Re1', 'Qg6'], ['Bf2', 'Bf8'], ['Qa5', 'Nf4'], ['Nh4', 'Qc6'], ['Qd2', 'Bh6'], ['Be3', 'Qc2\n'], ['Nf3', 'Qxd2'], ['Bxd2', 'Rc2'], ['Kh1', 'Rc6'], ['Nd4', 'Rg6'], ['Bxf4', 'Bxf4'], ['e6', 'f5'], ['a4', 'Be4\n'], ['Re2', 'Rg3'], ['Kg1', 'Be3+'], ['Kh2', 'Bf4'], ['Kg1', 'Rd3'], ['Nxb5', 'Be3+'], ['Kf1', 'Rd1+'], ['Re1', 'Bd3+']]",0-1
