Paris,Paris,1821.??.??,?,"De Labourdonnais, Louis","Cochrane, James",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['Ne5', 'Qh4+'], ['Kf1', 'f3'], ['g3', 'Qh3+'], ['Kf2', 'Qg2+\n'], ['Ke3', 'Bh6+'], ['Kd3', 'd5'], ['Bxd5', 'Na6'], ['c3', 'c6'], ['Bxf7+', 'Ke7'], ['Bb3', 'Nc5+'], ['Kc2', 'Nxe4\n'], ['Qf1', 'Bf5'], ['Qxg2', 'Nf2+'], ['d3', 'fxg2'], ['Rg1', 'Rd8'], ['Bxh6', 'Nxh6'], ['Rxg2', 'Nxd3'], ['Nxd3', 'Bxd3+\n'], ['Kc1', 'Rhf8'], ['Nd2', 'Nf5'], ['Bd1', 'Ne3'], ['Rg1', 'Bf1'], ['b3', 'Rf2'], ['Rxf1', 'Nxf1'], ['Nxf1', 'Rxd1+\n'], ['Kxd1', 'Rxf1+']]",0-1
France,France,1830.??.??,?,"De la Bourdonnais, Louis",Pelling,,,C21,"[['e4', 'e5'], ['d4', 'exd4'], ['Bc4', 'c5'], ['Nf3', 'd6'], ['c3', 'dxc3'], ['O-O', 'Be6'], ['Bxe6', 'fxe6'], ['Qb3', 'Qd7\n'], ['Ng5', 'd5'], ['exd5', 'exd5'], ['Re1+', 'Be7'], ['Ne6', 'Kf7'], ['Qxc3', 'Nf6'], ['h4', 'Re8'], ['Bf4', 'Bd6\n'], ['Qg3', 'Nh5'], ['Qg4', '']]",1-0
France,France,1830.??.??,?,"De la Bourdonnais, Louis",D'Arblay,,,C39,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['h4', 'g4'], ['Ng5', 'Nc6'], ['Bc4', 'Ne5'], ['Bb3', 'h6'], ['d4', 'hxg5\n'], ['dxe5', 'Rxh4'], ['Rf1', 'g3'], ['Nc3', 'Bb4'], ['Qd5', 'Bxc3+'], ['bxc3', 'Qe7'], ['Ba3', 'd6'], ['exd6', 'Qe6\n'], ['Qd4', 'Qf6'], ['e5', 'Qf5'], ['dxc7', 'Be6'], ['Ba4+', 'Bd7'], ['O-O-O', '']]",1-0
London m1,London,1834.??.??,1,"De Labourdonnais, Louis","McDonnell, Alexander",,,B22,"[['e4', 'e5'], ['d4', 'exd4'], ['Nf3', 'c5'], ['Bc4', 'Nc6'], ['c3', 'Qf6'], ['O-O', 'd6'], ['cxd4', 'cxd4'], ['Ng5', 'Nh6\n'], ['f4', 'Be7'], ['e5', 'Qg6'], ['exd6', 'Qxd6'], ['Na3', 'O-O'], ['Bd3', 'Bf5'], ['Nc4', 'Qg6'], ['Nf3', 'Bxd3\n'], ['Nce5', 'Bc2'], ['Nxg6', 'Bxd1'], ['Nxe7+', 'Nxe7'], ['Rxd1', 'Nhf5'], ['g4', 'Ne3'], ['Bxe3', 'dxe3\n'], ['Rd7', 'Rfe8'], ['Re1', 'Ng6'], ['f5', 'Nf4'], ['Rd4', 'Nh3+'], ['Kg2', 'Nf2'], ['Rc4', 'Rad8'], ['h3', 'h6\n'], ['Re2', 'b5'], ['Rd4', 'Rxd4'], ['Nxd4', 'a6'], ['Kf3', 'Nxh3'], ['Rxe3', 'Ng5+'], ['Kf4', 'Rxe3'], ['Kxe3', 'g6\n'], ['fxg6', 'fxg6'], ['Nc6', 'Ne6'], ['Ke4', 'Kf7'], ['Ke5', 'h5'], ['gxh5', 'gxh5'], ['Kf5', 'Nc7'], ['b3', 'Ke8\n'], ['a4', 'bxa4'], ['bxa4', 'Nd5'], ['Kg5', 'Ne7'], ['Nb8', 'a5'], ['Na6', 'Ng6'], ['Kxh5', 'Nf4+'], ['Kg5', 'Ne6+\n'], ['Kf5', 'Kd7'], ['Ke5', 'Nd8']]",1/2-1/2
London m1,London,1834.??.??,2,"De Labourdonnais, Louis","McDonnell, Alexander",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Bc4', 'Qf6'], ['c3', 'd3'], ['Qxd3', 'd6'], ['O-O', 'Qg6'], ['Bf4', 'Be7\n'], ['Nbd2', 'h5'], ['Rfe1', 'Bh3'], ['Nh4', 'Bxh4'], ['Qxh3', 'Bf6'], ['e5', 'dxe5'], ['Bxe5', 'Bxe5'], ['f4', 'Nge7\n'], ['fxe5', 'Qg4'], ['Qxg4', 'hxg4'], ['Nb3', 'Ng6'], ['e6', 'f5'], ['Rad1', 'Nge5'], ['Bd3', 'Rh5'], ['Bc2', 'Ke7\n'], ['Nd4', 'Kf6'], ['Rf1', 'Ne7'], ['b4', 'Rah8'], ['Ne2', 'Rxh2'], ['Ng3', 'g6'], ['Bb3', 'Kg5'], ['Rde1', 'Nd3\n'], ['Re3', 'Nf4'], ['Rf2', 'R2h7'], ['Rd2', 'Nh5'], ['Nxh5', 'Rxh5'], ['Kf2', 'f4'], ['Re5+', 'Nf5'], ['e7', 'Re8\n'], ['Rd7', 'Rh7'], ['Rxc7', 'Rhxe7'], ['Rcxe7', 'Rxe7'], ['Rxe7', 'Nxe7'], ['a4', 'Kf5'], ['a5', 'Ke5'], ['Bd1', 'g3+\n'], ['Kf3', 'Nd5'], ['Bc2', 'g5'], ['b5', 'Nxc3'], ['b6', 'axb6'], ['axb6', 'Nb5'], ['Kg4', 'Nd6'], ['Bd3', 'Ne4\n'], ['Be2', 'Kd5'], ['Bf3', 'Ke5'], ['Be2', 'Kf6'], ['Bf3', 'Nf2+'], ['Kh5', 'g4'], ['Bxg4', 'Ke7'], ['Bc8', 'Kd6\n'], ['Bxb7', 'Kc5']]",1/2-1/2
London m1,London,1834.??.??,3,"De Labourdonnais, Louis","McDonnell, Alexander",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Bc4', 'Qf6'], ['O-O', 'd6'], ['c3', 'd3'], ['Qxd3', 'Qg6'], ['Bf4', 'Be7\n'], ['Nbd2', 'Nh6'], ['Rae1', 'O-O'], ['Nd4', 'Ne5'], ['Bxe5', 'dxe5'], ['N4f3', 'Bd6'], ['h3', 'Kh8'], ['Nh4', 'Qh5\n'], ['Qg3', 'f5'], ['Nxf5', 'Nxf5'], ['exf5', 'Bxf5'], ['Ne4', 'Bxe4'], ['Rxe4', 'Rf6'], ['Rh4', 'Qf5'], ['Qe3', 'Qd7\n'], ['Bd3', 'g6'], ['Be4', 'Raf8'], ['Qg3', 'Qg7'], ['b4', 'a5'], ['a3', 'axb4'], ['axb4', 'c5'], ['Rb1', 'cxb4\n'], ['cxb4', 'Bc7'], ['Kh1', 'Rb6'], ['b5', 'Bd8'], ['Rg4', 'g5'], ['Bf3', 'h5'], ['Re4', 'g4'], ['hxg4', 'hxg4\n'], ['Qxg4', 'Rh6+'], ['Kg1', 'Qh7'], ['g3', 'Rg8'], ['Qc8', 'Bb6'], ['Qc3', 'Rxg3+'], ['Kf1', 'Bd4'], ['Qc8+', 'Rg8\n'], ['Qc4', 'Rh1+'], ['Ke2', 'Rxb1'], ['Rxd4', 'Rb2+'], ['Rd2', 'Rxd2+'], ['Kxd2', 'Rd8+'], ['Ke2', 'Qh6\n'], ['Qc3', 'Qg7'], ['Be4', 'Kg8'], ['Qb3+', 'Kf8'], ['Qf3+', 'Qf7'], ['Bxb7', 'Qxf3+'], ['Kxf3', '']]",1/2-1/2
London m1,London,1834.??.??,4,"De Labourdonnais, Louis","McDonnell, Alexander",,,C53,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6'], ['d5', 'Ne5'], ['Nxe5', 'dxe5\n'], ['Nc3', 'Nf6'], ['Bg5', 'O-O'], ['Qf3', 'Qd6'], ['Bxf6', 'Qxf6'], ['Qxf6', 'gxf6'], ['g4', 'Kg7'], ['Ne2', 'Rh8\n'], ['Rg1', 'Kf8'], ['Rg2', 'Ke7'], ['O-O-O', 'h5'], ['g5', 'f5'], ['Nc3', 'Bc5'], ['g6', 'Bd6'], ['gxf7', 'Kxf7\n'], ['f4', 'exf4'], ['Rdg1', 'Kf8'], ['Rg6', 'f3'], ['exf5', 'Be5'], ['d6', 'cxd6'], ['Rg8+', 'Rxg8'], ['Rxg8+', 'Ke7\n'], ['Nd5+', 'Kd7'], ['Bb5+', '']]",1-0
London m1,London,1834.??.??,5,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'c5'], ['f4', 'e6'], ['Nf3', 'd5'], ['e5', 'Nc6'], ['c3', 'f6'], ['Na3', 'Nh6'], ['Nc2', 'Be7'], ['d4', 'O-O'], ['Bd3', 'c4\n'], ['Be2', 'Bd7'], ['O-O', 'b5'], ['Ne3', 'a5'], ['Kh1', 'fxe5'], ['fxe5', 'Nf5'], ['g4', 'Nxe3'], ['Bxe3', 'Be8\n'], ['Qd2', 'Bg6'], ['Ng5', 'Bxg5'], ['Bxg5', 'Qd7'], ['h4', 'b4'], ['Kh2', 'bxc3'], ['bxc3', 'a4'], ['h5', 'Be4\n'], ['h6', 'g6'], ['Bf6', 'Rab8'], ['Bg7', 'Qe7'], ['Kg3', 'Rxf1'], ['Rxf1', 'a3'], ['Rf6', 'Na5'], ['Bd1', 'Nb3\n'], ['Qf2', 'Nc1'], ['Ba4', 'Nd3'], ['Qf1', 'g5'], ['Bc2', 'Nc5'], ['dxc5', 'Bxc2'], ['c6', 'Ba4'], ['c7', 'Re8\n'], ['Qc1', 'Qxc7'], ['Qxg5', 'Bc2'], ['Bf8+', 'Bg6'], ['Bxa3', 'Qd7'], ['Bd6', 'd4'], ['Qf4', 'Qc8'], ['Qxd4', 'Qc6\n'], ['Qa7', '']]",1-0
London m1,London,1834.??.??,6,"De Labourdonnais, Louis","McDonnell, Alexander",,,C53,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6'], ['d5', 'Nce7'], ['e5', 'Bg4\n'], ['Bb5+', 'Kf8'], ['e6', 'fxe6'], ['dxe6', 'Nf6'], ['h3', 'Bxf3'], ['Qxf3', 'c6'], ['Bd3', 'Qc8'], ['Bf5', 'Ke8\n'], ['O-O', 'Rf8'], ['Qd3', 'Nxf5'], ['Qxf5', 'Ke7'], ['Bg5', 'Qxe6'], ['Qxh7', 'Qf7'], ['Nc3', 'Kd7'], ['Qf5+', 'Kc7\n'], ['Bf4', 'Rad8'], ['Qc2', 'Kb8'], ['a4', 'Nh5'], ['Bg5', 'Rde8'], ['a5', 'Bc5'], ['Na4', 'Bd4'], ['Qd2', 'Ng3\n'], ['Rfd1', 'Bxf2+'], ['Kh2', 'Ne4'], ['Qc1', 'Bg3+'], ['Kg1', 'Qf2+'], ['Kh1', 'Be5'], ['Rd3', 'Ng3+'], ['Rxg3', 'Qxg3\n'], ['Qg1', 'Qxg5'], ['a6', 'Qg3'], ['axb7', 'Rf7'], ['Ra3', 'Qf4'], ['Nb6', 'Rff8'], ['Nd7+', 'Kc7'], ['b8=Q+', 'Rxb8\n'], ['Nxb8', 'Bd4']]",0-1
London m1,London,1834.??.??,7,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'c5'], ['f4', 'e6'], ['Nf3', 'Nc6'], ['c3', 'd5'], ['e5', 'f6'], ['Be2', 'Be7'], ['Na3', 'Qb6'], ['Nc2', 'Nh6'], ['d4', 'cxd4\n'], ['cxd4', 'Bd7'], ['Bd3', 'Nb4'], ['Nxb4', 'Bxb4+'], ['Kf2', 'O-O'], ['Rf1', 'fxe5'], ['fxe5', 'Nf5'], ['Bxf5', 'Rxf5\n'], ['Kg1', 'Rc8'], ['g4', 'Rf7'], ['a4', 'Rcf8'], ['Be3', 'Be7'], ['Qe2', 'Qb3'], ['Bg5', 'Bb4'], ['Kg2', 'Rxf3\n'], ['Rxf3', 'Rxf3'], ['Rc1', 'Rf8'], ['Rc7', 'Bc6'], ['Be3', 'Qc4'], ['Qd1', 'Ba5'], ['Re7', 'Bxa4']]",0-1
London m1,London,1834.??.??,8,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['Nc3', 'f5'], ['e3', 'e6'], ['Bxc4', 'c6'], ['Nf3', 'Bd6'], ['e4', 'b5'], ['Bb3', 'a5'], ['exf5', 'exf5\n'], ['O-O', 'a4'], ['Bxg8', 'Rxg8'], ['Bg5', 'Qc7'], ['Qe2+', 'Kf8'], ['Rfe1', 'Kf7'], ['Rac1', 'Qb7'], ['d5', 'h6\n'], ['dxc6', 'Qa6'], ['Nxb5', 'hxg5'], ['Nxd6+', 'Kg6'], ['Ne5+', 'Kf6'], ['Qh5', 'g6'], ['Qh7', 'Be6'], ['Nxg6', 'Nxc6\n'], ['Rxc6', 'Qd3'], ['Qe7+', 'Kxg6'], ['Rxe6+', 'Kh5'], ['Qh7+', 'Kg4'], ['Rc4+', 'f4'], ['h3+', 'Qxh3\n'], ['Qxh3+', '']]",1-0
