TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.26,1,Ding Liren,Wu Wenjin,,,C67,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'Nd6'], ['Bxc6', 'dxc6'], ['dxe5', 'Nf5'], ['Qxd8+', 'Kxd8\n'], ['Nc3', 'h6'], ['Bd2', 'Be6'], ['Rad1', 'Kc8'], ['Rfe1', 'b6'], ['a3', 'Kb7'], ['Bc1', 'Re8'], ['h3', 'c5\n'], ['Ne4', 'Ne7'], ['b3', 'a5'], ['Nc3', 'Nc6'], ['Bb2', 'c4'], ['bxc4', 'Bxc4'], ['Ne4', 'Be6'], ['Rd2', 'Be7\n'], ['Red1', 'Rd8'], ['Kf1', 'Rxd2'], ['Rxd2', 'a4'], ['Nd4', 'Nxd4'], ['Rxd4', 'b5'], ['f4', 'h5'], ['Kf2', 'Kc6\n'], ['Kf3', 'g6'], ['Ke3', 'Rd8'], ['Rxd8', 'Bxd8'], ['Kd4', 'Be7'], ['Bc1', 'Bf5'], ['Bb2', 'b4'], ['axb4', 'Bxb4\n'], ['c3', 'a3'], ['Ba1', 'Be7'], ['c4', 'Bxe4'], ['Kxe4', 'Kc5'], ['Kd3', 'Kb4'], ['g4', 'hxg4'], ['hxg4', 'Kb3\n'], ['f5', 'gxf5'], ['gxf5', 'Ka2'], ['Bc3', 'Kb1'], ['e6', 'fxe6'], ['fxe6', 'a2'], ['Ke4', 'Ba3'], ['Kd3', 'c6\n'], ['Bd4', 'a1=Q'], ['Bxa1', 'Kxa1'], ['Kd4', 'Be7'], ['c5', 'Kb2'], ['Kc4', 'Ka3']]",0-1
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.27,2,Wang Chaoran,Ding Liren,,,E86,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'e5'], ['Nge2', 'c6'], ['Qd2', 'Nbd7\n'], ['O-O-O', 'Qc7'], ['g4', 'a6'], ['h4', 'b5'], ['Ng3', 'Qa5'], ['Kb1', 'Nb6'], ['dxe5', 'dxe5'], ['Bc5', 'b4\n'], ['Bxb6', 'Qxb6'], ['Na4', 'Qa5'], ['b3', 'Be6'], ['Be2', 'Rfd8'], ['Qe3', 'Nd7'], ['h5', 'Qc7'], ['Nf5', 'Bf8\n'], ['Qg5', 'f6'], ['Nh6+', 'Kg7'], ['Qe3', 'Qa7'], ['Qc1', 'Nc5'], ['Nxc5', 'Bxc5'], ['hxg6', 'Rxd1'], ['Bxd1', 'hxg6\n'], ['Nf5+', 'gxf5'], ['Qh6+', 'Kf7'], ['gxf5', 'Bxf5'], ['exf5', 'Rg8'], ['f4', 'Bf8'], ['Qh5+', 'Ke7'], ['fxe5', 'Qd4\n'], ['exf6+', 'Kxf6'], ['Re1', 'Rg3'], ['Qe8', 'Qc5'], ['Qe6+', 'Kg7'], ['f6+', 'Kg6'], ['Qg8+', 'Kxf6'], ['Qxg3', '']]",1-0
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.28,3,Ding Liren,Zhang Jianhua,,,C41,"[['e4', 'e5'], ['Nf3', 'd6'], ['d4', 'Nf6'], ['Nc3', 'Nbd7'], ['Bc4', 'h6'], ['O-O', 'Be7'], ['Qe2', 'O-O'], ['Be3', 'a6\n'], ['a4', 'c6'], ['dxe5', 'Nxe5'], ['Nxe5', 'dxe5'], ['a5', 'c5'], ['Rfd1', 'Qc7'], ['f3', 'b6'], ['axb6', 'Qxb6\n'], ['b3', 'Bb7'], ['Ra2', 'Rfd8'], ['Rda1', 'a5'], ['Qe1', 'Bc6'], ['Na4', 'Bxa4'], ['Rxa4', 'Rd7'], ['Rxa5', 'Raa7\n'], ['Rxa7', 'Rxa7'], ['Qc3', 'Bd6'], ['Qb2', 'Bb8'], ['Rxa7', 'Qxa7'], ['b4', 'Bd6'], ['b5', 'Qb6'], ['Qa3', 'g5\n'], ['Qa6', 'Nd7'], ['Qc8+', 'Nf8'], ['Qe8', 'Qa7'], ['b6', 'Qe7'], ['Qxe7', 'Bxe7'], ['Bb5', 'Ne6'], ['b7', 'Bd6\n'], ['Bc4', 'Nd8'], ['Bd5', 'c4'], ['Ba7', 'Nxb7'], ['Bxb7', 'Kg7'], ['Kf2', 'Kf6'], ['Ke3', 'c3'], ['Kd3', 'Bb4\n'], ['Kc4', 'Ba5'], ['g4', 'Kg6'], ['Kb5', 'Bc7'], ['Kb4', 'h5'], ['h3', 'h4'], ['Kxc3', 'Kf6'], ['Kb4', 'Ke6\n'], ['c4', 'Bd6+'], ['c5', 'Be7'], ['Kb5', 'Kd7'], ['c6+', 'Kc7'], ['Bc5', 'Bf6'], ['Bb6+', 'Kb8'], ['Ka6', 'Bd8\n'], ['Bxd8', 'f5'], ['c7+', '']]",1-0
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.29,4,Tang Zijian,Ding Liren,,,D03,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bg5', 'Bg7'], ['Nbd2', 'd5'], ['e3', 'O-O'], ['c4', 'c6'], ['Bd3', 'h6'], ['Bh4', 'Be6\n'], ['O-O', 'Nbd7'], ['Qc2', 'Rc8'], ['c5', 'g5'], ['Bg3', 'Nh5'], ['Rfe1', 'f5'], ['b4', 'Qe8'], ['Nb3', 'Nxg3\n'], ['hxg3', 'Rb8'], ['b5', 'Qc8'], ['a4', 'Nf6'], ['Ne5', 'Ne4'], ['Rab1', 'Qc7'], ['b6', 'Qc8'], ['Nf3', 'a6\n'], ['Nfd2', 'Qd7'], ['Nf1', 'Rbe8'], ['f3', 'Nf6'], ['Qe2', 'Qc8'], ['Na1', 'Nd7'], ['Nd2', 'Nb8'], ['Ndb3', 'Bd7\n'], ['f4', 'g4'], ['Kf2', 'e6'], ['Rh1', 'Rf6'], ['Nc1', 'Kf7'], ['Na2', 'Ke7'], ['Nb4', 'Rff8']]",1-0
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.30,5,Ding Liren,Xu Yang,,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'Bf5'], ['Nf3', 'e6'], ['c3', 'Nd7'], ['Bd3', 'Bxd3'], ['Qxd3', 'c5'], ['O-O', 'Ne7\n'], ['Be3', 'Nc6'], ['Nbd2', 'Be7'], ['a3', 'O-O'], ['b4', 'c4'], ['Qc2', 'f5'], ['exf6', 'Bxf6'], ['b5', 'Ne7\n'], ['Bf4', 'Ng6'], ['Bd6', 'Re8'], ['Bg3', 'e5'], ['Qf5', 'Kh8'], ['dxe5', 'Ndxe5'], ['Nd4', 'Nd3'], ['N2f3', 'Bxd4\n'], ['Nxd4', 'Rf8'], ['Qg4', 'Qc8'], ['Qg5', 'Ngf4'], ['Bxf4', 'Nxf4'], ['Rae1', 'Rf6'], ['Re3', 'Qf8'], ['Rf3', 'Re8\n'], ['Kh1', 'h6'], ['Qg4', 'Re4'], ['a4', 'Qe8'], ['Re3', 'Nd3'], ['Rxe4', 'dxe4'], ['Qe2', 'Qe5'], ['Qe3', 'Qh5\n'], ['h3', 'Qf7'], ['Kg1', 'Qd5'], ['Kh1', 'Qe5'], ['Kg1', 'Rg6'], ['Ne2', 'Rf6'], ['Nd4', 'Rf7'], ['Ne2', 'b6\n'], ['Nd4', 'Kh7'], ['Nc6', 'Qf5'], ['Nd4', 'Qg6'], ['Kh1', 'Nc5'], ['Ra1', 'Rd7'], ['Kg1', 'Rd5'], ['a5', 'Rg5\n'], ['g3', 'Rh5'], ['Kg2', 'Rd5'], ['axb6', 'axb6'], ['Rb1', 'Ne6'], ['Nxe6', 'Qxe6'], ['Re1', 'Re5'], ['Qd4', 'Rxb5\n'], ['Qxe4+', 'Qxe4+'], ['Rxe4', 'Rc5'], ['f4', 'b5'], ['Kf3', 'Rd5']]",1/2-1/2
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.31,6,Wen Yang,Ding Liren,,,C00,"[['e4', 'e6'], ['Qe2', 'Be7'], ['g3', 'd5'], ['d3', 'Nf6'], ['h4', 'c5'], ['Bg2', 'Nc6'], ['Nf3', 'O-O'], ['h5', 'dxe4\n'], ['dxe4', 'e5'], ['h6', 'g6'], ['c3', 'Qc7'], ['O-O', 'Bg4'], ['Na3', 'a6'], ['Nc2', 'Rad8'], ['Ne3', 'Bc8\n'], ['Ng5', 'b5'], ['a4', 'c4'], ['axb5', 'axb5'], ['Nd5', 'Qb7'], ['Rd1', 'Be6'], ['Nxe6', 'fxe6'], ['Nxe7+', 'Nxe7\n'], ['Rxd8', 'Rxd8'], ['Bg5', 'Ne8'], ['Bh3', 'Rd6'], ['Bh4', 'Nc6'], ['Bg5', 'Qc8'], ['Qe3', 'Nc7'], ['Qc5', 'Qd7\n'], ['Bg4', 'Kf7'], ['Rf1', 'Kg8'], ['Kg2', 'Rd3'], ['Be2', 'Rd6'], ['Kg1', 'Na5'], ['Qxe5', 'Nc6'], ['Qf4', 'e5\n'], ['Qh4', 'Ne6'], ['Be3', 'Qe7'], ['Qxe7', 'Nxe7'], ['Ra1', 'Nc6'], ['Ra8+', 'Rd8'], ['Ra6', 'Rc8'], ['Bg4', 'Kf7\n'], ['Rb6', 'Rc7'], ['Rxb5', 'Kf6'], ['Bxe6', 'Kxe6'], ['Rc5', 'Kd6'], ['Rxc4', 'Na5'], ['Rxc7', 'Kxc7'], ['Kg2', 'Kc6\n'], ['Kf3', 'Kb5'], ['Kg4', 'Kc4'], ['Kg5', 'Kd3'], ['Kf6', 'Kxe4'], ['Kg7', 'Nc4'], ['Kxh7', 'Kf5'], ['Kg7', 'Nxe3\n'], ['fxe3', '']]",1-0
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.04.02,7,Liu Renhui,Ding Liren,,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['Bd3', 'Bd6'], ['Ne2', 'Nf6'], ['Bf4', 'O-O'], ['O-O', 'c6'], ['Nd2', 'Bxf4\n'], ['Nxf4', 'Qd6'], ['Qf3', 'Be6'], ['c3', 'Nbd7'], ['Nxe6', 'fxe6'], ['Qh3', 'e5'], ['dxe5', 'Nxe5'], ['Bc2', 'Rae8\n'], ['Rae1', 'c5'], ['Nf3', 'Nxf3+'], ['Qxf3', 'Rxe1'], ['Rxe1', 'b6'], ['Qh3', 'd4'], ['cxd4', 'cxd4'], ['Qf5', 'Qb4\n'], ['Re2', 'Kh8'], ['Bd3', 'a5'], ['h3', 'Qc5'], ['Re5', 'Qc1+'], ['Kh2', 'g6'], ['Qg5', 'Qxg5'], ['Rxg5', 'Nh5\n'], ['Kg1', 'Nf4'], ['Rg3', 'Rc8'], ['Rf3', 'g5'], ['a4', 'Rc1+'], ['Kh2', 'Rd1'], ['Bc4', 'h6'], ['g3', 'Ng6\n'], ['Rf5', 'Rb1'], ['b3', 'd3'], ['Bxd3', 'Rxb3'], ['Bb5', 'Kg7'], ['Kg2', 'Ne7'], ['Re5', 'Kf6'], ['Re4', 'Rb4\n'], ['Re2', 'Nd5'], ['Rc2', 'Ke5'], ['Rc6', 'h5'], ['Rg6', 'g4'], ['Rg5+', 'Kd6'], ['Rxh5', 'gxh3+'], ['Rxh3', 'Nc3\n'], ['Rh6+', 'Kc5'], ['Rc6+', 'Kd4'], ['Rxb6', 'Nxa4'], ['Rh6', 'Nc3'], ['Rh4+', 'Kc5'], ['Rxb4', 'axb4\n'], ['Bd3', 'b3'], ['g4', 'Kd4'], ['Bh7', 'b2'], ['f3', 'Ke5'], ['Kg3', 'b1=Q'], ['Bxb1', 'Nxb1'], ['f4+', 'Kf6\n'], ['Kh4', 'Nc3'], ['g5+', 'Kg7'], ['f5', 'Ne4'], ['Kh5', 'Ng3+'], ['Kg4', 'Ne4'], ['Kf4', 'Nxg5'], ['Kxg5', 'Kf7\n'], ['f6', 'Kf8'], ['Kf5', 'Kf7'], ['Ke5', 'Kf8'], ['Ke6', 'Ke8']]",1/2-1/2
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.04.03,8,Ding Liren,Huang Yicheng,,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'Nxe4'], ['Qe2', 'Qe7'], ['Qxe4', 'd6'], ['d4', 'dxe5'], ['dxe5', 'Nc6'], ['f4', 'Be6\n'], ['Bd3', 'Qh4+'], ['g3', 'Qd8'], ['Nc3', 'g6'], ['Bb5', 'Qd7'], ['Be3', 'Bf5'], ['Qa4', 'Bb4'], ['Rd1', 'Bxc3+\n'], ['bxc3', 'Qe6'], ['Bc5', 'Bh3'], ['Kf2', 'Bg4'], ['Rd2', 'Rd8'], ['Rxd8+', 'Kxd8'], ['Rb1', 'Qd5'], ['Bxa7', 'Qf3+\n'], ['Kg1', 'Nxa7'], ['Qd4+', 'Ke7'], ['Rf1', 'Nxb5'], ['Qc5+', 'Kd7'], ['Rxf3', 'Bxf3'], ['Qxb5+', 'Bc6\n'], ['Qc4', 'Ke7'], ['Kf2', 'Rd8'], ['Ke1', 'Rd7'], ['a4', 'Rd5'], ['a5', 'Rb5'], ['a6', 'Rb1+'], ['Kf2', '']]",1-0
TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.04.04,9,Ding Liren,Qiu Tong,,,B29,"[['e4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'd5'], ['exd5', 'Nxd5'], ['Bb5+', 'Nc6'], ['Ne5', 'Nxc3'], ['dxc3', 'Qxd1+\n'], ['Kxd1', 'Bd7'], ['Bxc6', 'Bxc6'], ['Nxc6', 'bxc6'], ['Be3', 'e6'], ['Ke2', 'O-O-O'], ['Rhd1', 'Be7'], ['Rxd8+', 'Rxd8\n'], ['Rd1', 'Rxd1'], ['Kxd1', 'Kb7'], ['b3', 'c4'], ['Kd2', 'f5'], ['f4', 'c5'], ['g3', 'Kc6'], ['bxc4', 'Kb6\n'], ['Kc1', 'h6'], ['h4', 'h5'], ['Kd2', 'Bd6'], ['Kc1', 'e5'], ['Kb2', 'Kc6'], ['Bd2', 'Kd7'], ['Kb3', 'exf4\n'], ['gxf4', 'Be7'], ['Be1', 'Kc6'], ['Bf2', 'Kb6'], ['Bg3', 'Bd6'], ['Ka4', 'Bc7'], ['Ka3', 'Kc6'], ['Ka4', 'a6\n'], ['Kb3', 'Kd7'], ['Kb2', 'Ke6'], ['Kc1', 'Bd6'], ['Kd2', 'Be7'], ['Kd3', 'Kd7'], ['Kd2', 'Kd6'], ['Kd3', 'g6\n'], ['Kd2', 'Bf6'], ['Bf2', 'Kc6'], ['Kd3', 'Kb6'], ['Kd2', 'Ka5'], ['Be1', 'Ka4'], ['Bf2', 'Ka5'], ['Be1', 'Ka4\n'], ['Bf2', 'Be7'], ['Kc1', 'Bd6'], ['Bg3', 'Ka3'], ['Kb1', 'Bc7'], ['Ka1', 'Bd8'], ['Bf2', 'Be7'], ['Kb1', 'Bd6\n'], ['Bg3', 'Ka4'], ['Kb2', 'Be7'], ['Bf2', 'Bf6'], ['Bg3', 'Ka5'], ['Kb3', 'Kb6'], ['Kb2', 'Kc6'], ['Kb3', 'Kd6\n'], ['Kb2', 'Ke6'], ['Bf2', 'Be7'], ['Kb3', 'Bd6'], ['Bg3', 'Kf7'], ['Ka4', 'Bc7'], ['Kb3', 'Kg7'], ['Kb2', 'Bd8\n'], ['Bf2', 'Be7'], ['Kc1', 'Bd6'], ['Bg3', 'g5'], ['hxg5', 'Kg6'], ['Kd2', 'h4'], ['Bh2', 'Kh5'], ['Ke2', 'Kg4\n'], ['Kf2', 'h3'], ['Kg1', 'Be7'], ['Kh1', 'Bd6'], ['g6', 'Bf8'], ['Bg1', 'Kh5'], ['Bxc5', 'Bh6'], ['Bd6', 'Kxg6\n'], ['c5', 'Kf7'], ['c6', 'Ke8'], ['Kh2', 'Bg7'], ['Be5', 'Bf8'], ['Kxh3', 'Be7'], ['Kg3', 'Kd8'], ['Kf3', 'Bc5\n'], ['Ke2', 'Kc8'], ['Kd3', 'Bb6'], ['Kc4', 'Kd8'], ['Kd5', 'Kc8'], ['c4', 'Ba5'], ['Bd6', 'Kd8'], ['Ke6', 'Bc3\n'], ['Kxf5', 'a5'], ['Ke6', 'a4'], ['f5', 'a3'], ['f6', 'Bxf6'], ['Kxf6', 'Kc8'], ['c7', 'Kd7'], ['c5', 'Kc8\n'], ['Ke7', 'Kb7'], ['Kd7', 'Ka7'], ['c4', '']]",1-0
zt 3.5,Shandong CHN,2007.04.28,1,Zhou Jianchao,Ding Liren,,,E81,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['f3', 'd6'], ['Be3', 'c6'], ['Bd3', 'a6'], ['a4', 'a5'], ['Qd2', 'Na6\n'], ['Rd1', 'e5'], ['Nge2', 'Qe7'], ['O-O', 'Nd7'], ['Bb1', 'Re8'], ['f4', 'Nb6'], ['b3', 'exd4'], ['Bxd4', 'Nc5\n'], ['Bxg7', 'Kxg7'], ['Bc2', 'Bg4'], ['Rfe1', 'Rad8'], ['h3', 'Bxe2'], ['Nxe2', 'Qc7'], ['Ng3', 'Nc8'], ['Kh1', 'f6\n'], ['Qf2', 'Nd7'], ['Qf3', 'Nc5'], ['Rf1', 'Rf8'], ['h4', 'Rde8'], ['h5', 'Qd7'], ['Kh2', 'Rf7'], ['Rd2', 'Rff8\n'], ['Rh1', 'b6'], ['Kg1', 'g5'], ['Nf5+', 'Kg8'], ['fxg5', 'fxg5'], ['Qc3', 'Re5'], ['Nxd6', 'Qe7'], ['Qd4', 'Nxd6\n'], ['Qxd6', 'Nxe4'], ['Qxe7', 'Rxe7'], ['Bxe4', 'Rxe4'], ['Rh3', 'Rfe8'], ['Rhd3', 'Kg7'], ['Rd7+', 'Kh6\n'], ['Rc7', 'R8e6'], ['Rd3', 'c5'], ['Kf2', 'Kxh5'], ['Rxh7+', 'Kg6'], ['Rhd7', 'Re2+'], ['Kf3', 'Re1'], ['R7d6', 'Rf1+\n'], ['Kg3', 'Re1'], ['Rxe6+', 'Rxe6'], ['Kf3', 'Kf5'], ['Rd5+', 'Kg6'], ['g3', 'Kh5']]",1/2-1/2
zt 3.5,Shandong CHN,2007.04.29,2,Ding Liren,Zhang Pengxiang,,,D45,"[['d4', 'd5'], ['Nf3', 'c6'], ['e3', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Nbd7'], ['Qc2', 'Bd6'], ['g4', 'dxc4'], ['g5', 'Nd5\n'], ['Bxc4', 'b5'], ['Be2', 'Nxc3'], ['bxc3', 'Bb7'], ['e4', 'e5'], ['Be3', 'O-O'], ['O-O', 'Qe7'], ['Nd2', 'f6\n'], ['a4', 'a6'], ['h4', 'Kh8'], ['Bg4', 'fxg5'], ['hxg5', 'exd4'], ['cxd4', 'c5'], ['d5', 'Bf4'], ['Nf3', 'Ne5\n'], ['Qxc5', 'Nxf3+'], ['Bxf3', 'Bd6']]",0-1
