Wch U20,Kiljava,1984.??.??,?,"Thorsteins, Karl","Dreev, Alexey",,,D15,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'Ne4'], ['Bf4', 'Nxc3'], ['bxc3', 'dxc4'], ['g3', 'b5\n'], ['Bg2', 'Bb7'], ['Ne5', 'f6'], ['Nxc4', 'g5'], ['Bxb8', 'bxc4'], ['Rb1', 'Rxb8'], ['Rxb7', 'Rxb7'], ['Bxc6+', 'Rd7\n'], ['Qa4', 'e6'], ['O-O', 'Bd6'], ['Qxa6', 'Kf7'], ['Bxd7', 'Qxd7'], ['Qxc4', 'Rb8'], ['a4', 'Qc8'], ['Qd3', 'Kg7\n'], ['f4', 'gxf4'], ['gxf4', 'f5'], ['e4', 'fxe4'], ['Qxe4', 'Qxc3'], ['Qxe6', 'Qxd4+'], ['Kh1', 'Rf8'], ['Qa2', 'Bb4\n'], ['Qf2', 'Qxf2'], ['Rxf2', 'Ra8'], ['Ra2', 'Ra5'], ['Kg2', 'Kf6'], ['Kf3', 'Kf5'], ['Re2', 'Rxa4'], ['Re5+', 'Kf6\n'], ['Rh5', 'Ra7'], ['Rh6+', 'Kg7'], ['Rb6', 'Bc3'], ['Kg4', 'Ra5'], ['f5', 'Ra4+'], ['Kh5', 'Bf6'], ['Rb7+', 'Kg8\n'], ['Rb8+', 'Kf7'], ['Rb7+', 'Be7'], ['f6', 'Kxf6'], ['Rb3', 'Kg7'], ['Rg3+', 'Kh8'], ['Rh3', 'Re4'], ['Kh6', 'Re5\n'], ['Rf3', '']]",0-1
Wch U20,Kiljava,1984.??.??,?,"Wells, Peter K","Dreev, Alexey",,,D13,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'a6'], ['cxd5', 'cxd5'], ['Bf4', 'Nc6'], ['Rc1', 'Ne4'], ['a3', 'Bf5\n'], ['e3', 'e6'], ['Qa4', 'f6'], ['Nxe4', 'Bxe4'], ['Nd2', 'Bf5'], ['Rxc6', 'bxc6'], ['Qxc6+', 'Kf7'], ['Bxa6', 'Be7\n'], ['Bb7', 'Ra7'], ['O-O', 'Qa5'], ['Nb3', 'Qa4'], ['Qb6', 'Bd8'], ['Bc7', 'Bxc7'], ['Qxc7+', 'Kg6'], ['Qg3+', 'Kf7\n'], ['Qc7+', '']]",1/2-1/2
Wch U20,Kiljava,1984.??.??,?,"Hansen, Curt","Dreev, Alexey",,,C60,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Bb4'], ['O-O', 'Nge7'], ['c3', 'Ba5'], ['Bxc6', 'Nxc6'], ['b4', 'Bb6'], ['b5', 'Na5\n'], ['Nxe5', 'O-O'], ['d4', 'Qe8'], ['Nd2', 'd6'], ['Nd3', 'Qxb5'], ['c4', 'Qd7'], ['Bb2', 'c5'], ['d5', 'Bc7\n'], ['Rb1', 'Rb8'], ['Nf4', 'Qg4'], ['Qxg4', 'Bxg4'], ['Bc3', 'Bd7'], ['Nh5', 'f6'], ['f4', 'b5'], ['f5', 'Nxc4\n'], ['Nxc4', 'bxc4'], ['Nf4', 'Rb6'], ['Ne6', 'Bxe6'], ['fxe6', 'Rfb8'], ['Rxb6', 'axb6'], ['a4', 'Ra8'], ['Ra1', 'h5\n'], ['Kf2', 'Rf8'], ['Ke3', 'f5'], ['Rf1', 'fxe4'], ['Rxf8+', 'Kxf8'], ['Kxe4', 'Bd8'], ['Kf5', 'h4'], ['h3', 'Be7\n'], ['Bb2', 'Bd8'], ['Ba1', 'Be7'], ['Bc3', 'Bd8'], ['Bb2', 'Be7']]",1/2-1/2
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Moskalenko, Viktor",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['e5', 'Nfd7'], ['f4', 'c5'], ['Nf3', 'Nc6'], ['Be3', 'cxd4'], ['Nxd4', 'Qb6\n'], ['Be2', 'Nxd4'], ['Bxd4', 'Bc5'], ['Na4', 'Qa5+'], ['c3', 'Bxd4'], ['Qxd4', 'b6'], ['Bd1', 'Qb5'], ['b4', 'Bb7\n'], ['Nb2', 'Rc8'], ['Ba4', 'Qa6'], ['c4', 'Rd8'], ['O-O', 'O-O'], ['f5', 'exf5'], ['cxd5', 'b5'], ['Bb3', 'Qb6\n'], ['Qxb6', 'Nxb6'], ['d6', 'Be4'], ['a4', 'Rfe8'], ['axb5', 'Rxe5'], ['Rfd1', 'Rxb5'], ['Rd4', 'Nc8'], ['Na4', 'Kf8\n'], ['d7', 'Ne7'], ['Nc3', 'Rb7'], ['Nxe4', 'fxe4'], ['Rf1', 'Rbxd7'], ['Rxf7+', 'Ke8'], ['Rxd7', 'Rxd7\n'], ['Rxg7', 'Rd4'], ['Rxh7', 'Rxb4'], ['Be6', 'Kd8'], ['Kf2', 'Rb2+'], ['Kg3', 'Rb6'], ['Bg4', 'Rb3+'], ['Kf4', 'e3\n'], ['Bf3', 'Nd5+'], ['Bxd5', 'e2'], ['Rh8+', 'Kd7'], ['Bc6+', 'Kxc6'], ['Re8', 'a5'], ['Rxe2', 'a4'], ['g4', 'a3\n'], ['h4', 'Rb2'], ['Re6+', 'Kd7'], ['Ra6', 'a2'], ['g5', 'Ke7'], ['Kg4', 'Kf7'], ['Kh5', 'Rh2'], ['Ra7+', 'Ke6\n'], ['Kg6', 'Rb2'], ['h5', 'Rb8'], ['h6', 'Rg8+'], ['Kh5', 'Kf5'], ['Ra5+', '']]",1-0
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Aseev, Konstantin N",,,B52,"[['e4', 'c5'], ['Nf3', 'd6'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Qxd7'], ['O-O', 'Nf6'], ['e5', 'dxe5'], ['Nxe5', 'Qd6'], ['d4', 'Qxd4\n'], ['Qxd4', 'cxd4'], ['Rd1', 'e6'], ['Rxd4', 'Bc5'], ['Rd3', 'Nbd7'], ['Nxd7', 'Nxd7']]",1/2-1/2
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Kharitonov, Andrei Y",,,D53,"[['d4', 'Nf6'], ['Nf3', 'd5'], ['c4', 'e6'], ['Nc3', 'Be7'], ['Bg5', 'h6'], ['Bxf6', 'Bxf6'], ['e3', 'c6'], ['Qc2', 'Nd7\n'], ['Be2', 'O-O'], ['O-O', 'dxc4'], ['Bxc4', 'e5'], ['Rad1', 'exd4'], ['Nxd4', 'Qa5'], ['Ne4', 'Be7'], ['Ng3', 'Nb6\n'], ['Bb3', 'Bf6'], ['Ne4', 'Be7'], ['Ng3', 'Bf6'], ['Ne4', 'Be7'], ['Ng3', '']]",1/2-1/2
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Kaidanov, Grigory S",,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['d3', 'a6'], ['O-O', 'd6'], ['Bb3', 'O-O'], ['Nbd2', 'Ba7\n'], ['Re1', 'Be6'], ['Nf1', 'h6'], ['Ng3', 'd5'], ['exd5', 'Nxd5'], ['Nxe5', 'Nxe5'], ['Rxe5', 'Bxf2+'], ['Kh1', 'Bxg3\n'], ['hxg3', 'Nf6'], ['Bxe6', 'fxe6'], ['d4', 'Qe8'], ['Bf4', 'g5'], ['Bd2', 'Qh5+'], ['Qxh5', 'Nxh5'], ['Kg1', 'Rf6\n'], ['g4', 'Ng7'], ['a4', 'Kf7'], ['c4', 'Rd8'], ['Be3', 'Ne8'], ['b3', 'Kg6'], ['b4', 'Nd6'], ['Rc1', 'c6'], ['b5', 'axb5\n'], ['cxb5', 'cxb5'], ['axb5', 'Nc8'], ['Kh2', 'Nd6'], ['Rc7', 'Nf7'], ['Rec5', 'Nd6'], ['b6', 'Rf7'], ['d5', 'e5\n'], ['Rxf7', 'Kxf7'], ['Rc7+', 'Kg6'], ['Bc5', 'Ne4'], ['Be7', 'Rxd5'], ['Rxb7', 'Rb5'], ['Bf8', 'Rb3'], ['Kg1', 'Rb1+\n'], ['Kh2', 'Rb3'], ['Kg1', 'Rb1+'], ['Kh2', '']]",1/2-1/2
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Khalifman, Alexander",,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['d3', 'd6'], ['O-O', 'O-O'], ['Bb3', 'a6'], ['Nbd2', 'Ba7\n'], ['Nc4', 'h6'], ['Be3', 'Be6'], ['Bxa7', 'Rxa7'], ['Re1', 'Bxc4'], ['Bxc4', 'Na5'], ['Bb3', 'Nxb3'], ['Qxb3', 'Re8\n'], ['Rad1', 'Qd7'], ['d4', 'exd4'], ['Rxd4', 'c5'], ['Rd3', 'Rxe4'], ['Qb6', 'Rxe1+'], ['Nxe1', 'Ra8'], ['Qxd6', 'Qxd6\n'], ['Rxd6', '']]",1/2-1/2
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Neverov, Valeriy",,,A32,"[['d4', 'Nf6'], ['Nf3', 'c5'], ['c4', 'e6'], ['Nc3', 'cxd4'], ['Nxd4', 'Bb4'], ['Nb5', 'a6'], ['Nd6+', 'Ke7'], ['Nxc8+', 'Qxc8\n'], ['Qb3', 'Nc6'], ['Bd2', 'Rd8'], ['e3', 'Kf8'], ['Be2', 'd5'], ['cxd5', 'Nxd5'], ['O-O', 'Nf4'], ['Bf3', 'Nd3\n'], ['Rad1', 'Nce5'], ['Be2', 'Be7'], ['Qc2', 'Kg8'], ['a3', 'Nc5'], ['f4', 'Nc6'], ['b4', 'Nd7'], ['Be1', 'Nf6\n'], ['Rc1', 'Nd5'], ['Bf2', 'Nxc3'], ['Qxc3', 'Bf6'], ['Qb3', 'Rd2'], ['Bf3', 'Qd7'], ['Rfd1', 'Rd8'], ['Rxd2', 'Qxd2\n'], ['Rd1', 'Qb2'], ['Rxd8+', 'Nxd8'], ['Qxb2', 'Bxb2'], ['a4', 'Ba3'], ['b5', 'axb5'], ['axb5', 'Bc5'], ['Kf1', 'b6\n'], ['Ke2', 'f6'], ['Be1', 'Nf7'], ['Bg4', 'f5'], ['Bf3', 'Nd6'], ['Bc6', 'Kf7']]",1/2-1/2
URS-ch U26,Lvov,1985.??.??,?,"Dreev, Alexey","Novikov, Igor A",,,D03,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['Bg5', 'c5'], ['e3', 'd5'], ['Nbd2', 'Be7'], ['c3', 'Nbd7'], ['Bd3', 'b6'], ['O-O', 'Bb7\n'], ['Ne5', 'Nxe5'], ['dxe5', 'Nd7'], ['Bxe7', 'Qxe7'], ['f4', 'f6'], ['Nf3', 'O-O-O'], ['Bb5', 'Kb8'], ['a4', 'Nf8\n'], ['b4', 'a6'], ['Bd3', 'fxe5'], ['Nxe5', 'Nd7'], ['Qh5', 'Nf6'], ['Qf7', 'Rde8'], ['Qxe7', 'Rxe7'], ['bxc5', 'bxc5\n'], ['Rab1', 'Kc7'], ['a5', 'Nd7'], ['Nxd7', 'Rxd7'], ['Rb6', 'Rd6'], ['Rfb1', 'Rxb6'], ['Rxb6', 'c4'], ['Bc2', 'Bc8\n'], ['Kf2', 'Rf8'], ['Bxh7', 'Rh8'], ['Bc2', 'Rxh2'], ['e4', 'Rh4'], ['Ke3', 'dxe4'], ['Rb4', 'Rh5'], ['Rxc4+', 'Kd8\n'], ['Ra4', 'Rc5'], ['Kd4', 'Rd5+'], ['Kxe4', 'Bb7'], ['Rd4', 'Rxd4+'], ['Kxd4', 'Bxg2'], ['Kc5', 'Kc7'], ['Bb3', 'e5\n'], ['fxe5', 'g5'], ['Be6', 'Bf3'], ['Kd4', 'g4'], ['Ke3', 'Kc6'], ['Bc4', 'Bd5'], ['Bxa6', 'g3'], ['Be2', 'Kc5\n'], ['Bg4', 'Bc6'], ['Bc8', '']]",1-0
URS-ch U26,Lvov,1985.??.??,?,"Ehlvest, Jaan","Dreev, Alexey",,,D15,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'a6'], ['Qc2', 'dxc4'], ['e4', 'b5'], ['Be2', 'Bg4'], ['a4', 'Nbd7\n'], ['e5', 'Nd5'], ['axb5', 'axb5'], ['Rxa8', 'Qxa8'], ['Ng5', 'Nb4'], ['Qe4', 'f5'], ['Qf4', 'Bxe2'], ['Kxe2', 'g6\n'], ['e6', 'Nf6'], ['Nf7', 'Bg7'], ['Nxh8', 'Bxh8'], ['Qc7', 'Nfd5'], ['Qd7+', 'Kf8'], ['Bh6+', 'Bg7'], ['Ra1', 'Na2\n'], ['Nxd5', 'cxd5'], ['Rxa2', '']]",1-0
URS-ch U26,Lvov,1985.??.??,?,"Glek, Igor V","Dreev, Alexey",,,C44,"[['e4', 'e5'], ['Nf3', 'd6'], ['d4', 'exd4'], ['Bc4', 'Nc6'], ['c3', 'Ne5'], ['Nxe5', 'dxe5'], ['Qb3', 'Qe7'], ['O-O', 'c6\n'], ['f4', 'b5'], ['Bd3', 'Qc5'], ['cxd4', 'Qxd4+'], ['Kh1', 'Bc5'], ['Qc2', 'Ne7'], ['Nd2', 'Bb6'], ['a4', 'exf4\n'], ['axb5', 'O-O'], ['bxc6', 'Qc5'], ['Qxc5', 'Bxc5'], ['Nb3', 'Bb6'], ['Bxf4', 'Nxc6'], ['Bb5', 'Bb7'], ['Bd6', 'Rfd8\n'], ['e5', 'Nxe5'], ['Bxe5', 'Rd5'], ['Bc4', 'Rxe5'], ['Rxf7', 'Bd5'], ['Re7', 'Rf5'], ['Nd2', 'Raf8'], ['Bxd5+', 'Rxd5\n'], ['Nc4', 'Bd4'], ['Rae1', 'Rdf5'], ['g4', 'Rf2'], ['R7e2', 'h6'], ['Rxf2', 'Rxf2'], ['b3', 'Kh7'], ['Rd1', 'Bf6\n'], ['Rd5', 'Rf4'], ['h3', 'Rf3'], ['Ra5', 'Bd4'], ['Kg2', 'Rxb3'], ['Nd6', 'Bb6'], ['Rd5', 'Rc3'], ['Nf5', 'Rc7\n'], ['h4', 'Bc5'], ['h5', 'Kg8'], ['Kf3', 'a5'], ['Rd8+', 'Kf7'], ['Ra8', 'Ra7'], ['Rc8', 'Bf8'], ['Nd4', 'a4\n'], ['Nc6', 'Ra6'], ['Ne5+', 'Ke6'], ['Nd3', 'a3'], ['Rxf8', 'a2'], ['Re8+', 'Kf6'], ['Re1', 'a1=Q'], ['Rxa1', 'Rxa1\n'], ['Kf4', 'Ra4+']]",0-1
URS-ch U26,Lvov,1985.??.??,?,"Vyzmanavin, Alexey","Dreev, Alexey",,,D15,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'a6'], ['c5', 'Nbd7'], ['Bg5', 'g6'], ['e3', 'b6'], ['cxb6', 'Qxb6\n'], ['Rb1', 'a5'], ['Be2', 'Bg7'], ['O-O', 'O-O'], ['Na4', 'Qa7'], ['Rc1', 'Bb7'], ['Nd2', 'e5'], ['Nb3', 'Ne4\n'], ['Be7', 'Rfe8'], ['Ba3', 'exd4'], ['Nxd4', 'Rac8'], ['Bf3', 'Ne5'], ['Be2', 'Nd7'], ['Bf3', 'Ne5'], ['Be2', 'Nd7\n'], ['Bf3', '']]",1/2-1/2
URS-ch U26,Lvov,1985.??.??,?,"Sturua, Zurab","Dreev, Alexey",,,D44,"[['c4', 'e6'], ['d4', 'd5'], ['Nf3', 'c6'], ['Nc3', 'Nf6'], ['Bg5', 'dxc4'], ['e4', 'b5'], ['e5', 'h6'], ['Bh4', 'g5'], ['Nxg5', 'hxg5\n'], ['Bxg5', 'Be7'], ['exf6', 'Bxf6'], ['Bxf6', 'Qxf6'], ['a4', 'Rh4'], ['axb5', 'Rxd4'], ['Qh5', 'Bb7'], ['Be2', 'Nd7\n'], ['Qf3', 'Qxf3'], ['Bxf3', 'Ne5'], ['Be4', 'Rd7'], ['bxc6', 'Bxc6'], ['O-O', 'Bxe4'], ['Nxe4', 'Ke7'], ['Ra4', 'f5\n'], ['Ng5', 'Rb8'], ['f4', '']]",1/2-1/2
URS-ch U26,Lvov,1985.??.??,?,"Shneider, Aleksandr","Dreev, Alexey",,,D15,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'a6'], ['c5', 'b6'], ['cxb6', 'Nbd7'], ['e3', 'Qxb6'], ['Be2', 'e6\n'], ['O-O', 'Bd6'], ['b3', 'a5'], ['Na4', 'Qc7'], ['Bb2', 'O-O'], ['Rc1', 'Ne4'], ['Rc2', 'Bb7'], ['Qc1', 'Rfc8\n'], ['Ba3', 'Ba6'], ['Bxd6', 'Nxd6'], ['Bxa6', 'Rxa6'], ['Ne1', 'e5'], ['dxe5', 'Nxe5'], ['Qd1', 'Ne4'], ['Qe2', 'Ra7\n'], ['Nd3', 'Nd7'], ['Rfc1', 'Qd6'], ['Ndc5', 'Nexc5'], ['Nxc5', 'Ne5'], ['h3', 'h6'], ['Qd2', 'f5'], ['Nd3', 'Nd7\n'], ['Nf4', 'Nf6'], ['Qd4', 'Rcc7'], ['Qc5', 'Qe5'], ['Qd4', 'Qxd4'], ['exd4', 'Ra6'], ['Rc5', 'Re7'], ['f3', 'a4\n'], ['Rxc6', 'Rxc6'], ['Rxc6', 'Re1+'], ['Kh2', 'axb3'], ['axb3', 'Rd1'], ['Rc8+', 'Kh7'], ['Rc7', 'Kh8\n'], ['Ng6+', 'Kh7'], ['Nf4', 'Kh8'], ['Ne6', 'Nh5'], ['Rf7', 'g6'], ['h4', 'Re1'], ['Rf8+', 'Kh7'], ['Rf7+', 'Kg8\n'], ['Rf8+', 'Kh7'], ['Re8', 'Rc1'], ['Rb8', 'Rc6'], ['Nc5', 'g5'], ['b4', 'gxh4'], ['b5', 'Rg6'], ['Nd3', 'Ng3\n'], ['Rb7+', 'Kg8'], ['Ne5', 'Re6'], ['Rd7', 'Ne2'], ['Rxd5', 'Nxd4'], ['Nd7', '']]",1-0
URS-ch U26,Lvov,1985.??.??,?,"Rozentalis, Eduardas","Dreev, Alexey",,,C06,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nf6'], ['e5', 'Nfd7'], ['Bd3', 'c5'], ['c3', 'Nc6'], ['Ne2', 'cxd4'], ['cxd4', 'f6\n'], ['exf6', 'Nxf6'], ['Nf3', 'Bd6'], ['O-O', 'Qc7'], ['g3', 'O-O'], ['Bf4', 'Bd7'], ['Re1', 'Rae8'], ['Qc2', 'Nb4\n'], ['Qxc7', 'Bxc7'], ['Bb1', 'Rc8'], ['a3', 'Bxf4'], ['Nxf4', 'Nc2'], ['Bxc2', 'Rxc2'], ['Re2', 'Rxe2'], ['Nxe2', 'Bb5\n'], ['Nf4', 'Nh5'], ['Nxh5', 'Rxf3'], ['Rc1', 'Bc4'], ['Rc3', 'Rxc3'], ['bxc3', 'Kf7'], ['f3', 'g5'], ['Kf2', 'Bd3\n'], ['g4', 'Bg6'], ['Ng3', 'Ke7'], ['Ke3', 'Kd6'], ['f4', 'h6'], ['Nf1', 'Kc6'], ['fxg5', 'hxg5'], ['Nd2', 'Kb5\n'], ['Nf3', 'Ka4'], ['Nxg5', 'Kxa3'], ['Nxe6', 'a5'], ['Nc7', 'Bf7'], ['h4', 'a4'], ['h5', 'Kb3'], ['Nb5', 'Be8\n'], ['h6', 'Bg6'], ['Kf4', 'Kc4'], ['Na3+', 'Kb3'], ['Kg5', 'Bh7'], ['Nb5', '']]",1/2-1/2
URS-ch U26,Lvov,1985.??.??,?,"Kruppa, Yuri","Dreev, Alexey",,,C06,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nf6'], ['e5', 'Nfd7'], ['Bd3', 'c5'], ['c3', 'Nc6'], ['Ne2', 'cxd4'], ['cxd4', 'f6\n'], ['exf6', 'Nxf6'], ['Nf3', 'Bd6'], ['O-O', 'Qc7'], ['Nc3', 'a6'], ['Bg5', 'O-O'], ['Bh4', 'Nh5'], ['Re1', 'g6\n'], ['Bg5', 'Nxd4'], ['Nxd4', 'Bxh2+'], ['Kh1', 'Rxf2'], ['Nf3', 'Ng3+'], ['Kxh2', 'Ne4+'], ['Kh1', 'Qg3\n'], ['Bf1', 'Rxg2'], ['Bxg2', 'Nf2+'], ['Kg1', 'Nh3+'], ['Kh1', 'Nf2+'], ['Kg1', 'Nh3+']]",1/2-1/2
URS-ch U26,Lvov,1985.??.??,?,"Korzubov, Peter","Dreev, Alexey",,,D11,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Qc2', 'g6'], ['e3', 'Bf5'], ['Qb3', 'Qb6'], ['Nc3', 'Nbd7'], ['cxd5', 'Qxb3\n'], ['axb3', 'Nxd5'], ['Nxd5', 'cxd5'], ['Bd2', 'e6'], ['Be2', 'Bd6'], ['Bc3', 'Bg4'], ['h3', 'Bxf3'], ['Bxf3', 'f5\n'], ['Be2', 'Ke7'], ['b4', 'a6'], ['Kd2', 'Nb6'], ['b5', 'axb5'], ['Bxb5', 'Rxa1'], ['Rxa1', 'Ra8'], ['Rxa8', 'Nxa8\n'], ['f3', 'Nc7'], ['Bd3', 'b6'], ['Ke2', 'Kf6'], ['e4', 'fxe4'], ['fxe4', 'dxe4'], ['Bxe4', 'Nb5']]",1/2-1/2
Moscow-B,Moscow,1985.??.??,?,"Tseshkovsky, Vitaly","Dreev, Alexey",,,B07,"[['e4', 'e5'], ['Nf3', 'd6'], ['d4', 'exd4'], ['Nxd4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'Nc6'], ['Be3', 'Nf6'], ['h3', 'O-O\n'], ['Bg2', 'Ne5'], ['O-O', 'c6'], ['b3', 'Re8'], ['f4', 'Ned7'], ['Bf2', 'Nc5'], ['Re1', 'd5'], ['Nxc6', 'bxc6\n'], ['Bxc5', 'Nxe4'], ['Nxe4', 'dxe4'], ['Qxd8', 'Rxd8'], ['Rad1', 'Rd5'], ['Rxd5', 'cxd5'], ['c4', 'Bb7\n'], ['cxd5', 'Bxd5'], ['Rd1', 'Bc6'], ['Rd6', 'Rc8'], ['Bxa7', 'Bb7'], ['Be3', 'Rc2'], ['Rd7', 'Bc6'], ['Rd8+', 'Bf8\n'], ['Rc8', 'f6'], ['Bf1', 'Rc3'], ['Bd4', 'Rc1'], ['Kf2', 'Kg7'], ['Bc4', 'Bd5'], ['Rc7+', 'Kh6'], ['Bxf6', 'Rc2+\n'], ['Ke3', 'g5'], ['fxg5+', 'Kg6'], ['h4', 'Kf5'], ['g4+', 'Kxg4'], ['Be2+', 'Rxe2+'], ['Kxe2', '']]",1-0
Moscow-B,Moscow,1985.??.??,?,"Szekely, Peter","Dreev, Alexey",,,D13,"[['d4', 'd5'], ['c4', 'c6'], ['cxd5', 'cxd5'], ['Nc3', 'Nf6'], ['Nf3', 'Nc6'], ['Bf4', 'e6'], ['e3', 'Nh5'], ['Be5', 'Be7\n'], ['Bd3', 'O-O'], ['Rc1', 'Bd7'], ['h3', 'Qb6'], ['Qe2', 'Rfc8'], ['O-O', 'Be8'], ['Bh2', 'Nf6']]",1/2-1/2
Moscow-B,Moscow,1985.??.??,?,"Dreev, Alexey","Spassov, Liuben",,,D03,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['Bg5', 'c5'], ['e3', 'd5'], ['Nbd2', 'Nbd7'], ['c3', 'Be7'], ['Bd3', 'b6'], ['O-O', 'Bb7\n'], ['Ne5', 'Nxe5'], ['dxe5', 'Nd7'], ['Bxe7', 'Qxe7'], ['f4', 'f5'], ['c4', 'O-O'], ['Qc2', 'g6'], ['Rad1', 'Rad8\n'], ['Nb1', 'a6'], ['a4', 'Nb8']]",1/2-1/2
Moscow-B,Moscow,1985.??.??,?,"Dreev, Alexey","Khalifman, Alexander",,,D03,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bg5', 'Bg7'], ['Nbd2', 'c5'], ['e3', 'O-O'], ['Bd3', 'd5'], ['c3', 'Qb6'], ['Rb1', 'Nc6\n'], ['O-O', 'e5'], ['Nxe5', 'Nxe5'], ['dxe5', 'Ng4'], ['Nf3', 'Nxe5'], ['Nxe5', 'Bxe5'], ['f4', 'Bf6'], ['Bxf6', 'Qxf6\n'], ['f5', 'Qe5'], ['Qd2', 'Bd7'], ['f6', 'Kh8'], ['e4', 'd4'], ['Bc4', 'Be6'], ['Qh6', 'Rg8'], ['Rf3', 'g5'], ['Bxe6', 'Qxe6\n'], ['Re1', 'Rg6'], ['Qh5', 'Rd8'], ['e5', 'd3'], ['Rfe3', 'g4'], ['b3', 'c4'], ['Rd1', 'Qb6'], ['Kf2', 'Qa5\n'], ['bxc4', 'Qxa2+'], ['Kg3', 'Qxc4'], ['Qf5', 'Qxc3'], ['Rdxd3', 'Rxd3'], ['Qxd3', 'Qc8'], ['Qb3', 'h5\n'], ['Qxf7', 'Qf5'], ['Qf8+', 'Kh7'], ['Qe7+', 'Kg8'], ['Qd8+', 'Kh7'], ['Qe7+', '']]",1/2-1/2
