Rostov,Rostov,1980.??.??,?,"Ehlvest, Jaan","Ryskin, Alexander",,,C91,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['d4', 'Bg4'], ['Be3', 'exd4'], ['cxd4', 'Na5'], ['Bc2', 'c5'], ['dxc5', 'dxc5'], ['Nbd2', 'Nd7'], ['Qb1', 'Nc6\n'], ['e5', 'h6'], ['Be4', 'Rc8'], ['Bf5', 'Bxf5'], ['Qxf5', 'Nb6'], ['Ne4', 'Qd7'], ['Qh5', 'Nb4'], ['Nf6+', 'gxf6\n'], ['Bxh6', 'Qd3'], ['exf6', 'Bxf6'], ['Ne5', 'Qh7'], ['Re3', 'Bxe5'], ['Rxe5', 'Rc6'], ['Rg5+', 'Rg6'], ['Bxf8', 'Qxh5\n'], ['Rxh5', 'Kxf8'], ['Rxc5', 'Re6'], ['h4', 'Re2'], ['a3', 'Nd3'], ['Rc6', 'Nc4'], ['b3', 'Nce5'], ['Rxa6', 'Rxf2\n'], ['a4', 'Rb2'], ['Rf1', 'Rxb3'], ['a5', 'Ra3'], ['Ra8+', 'Kg7'], ['a6', 'b4'], ['a7', 'b3'], ['Rb8', 'Rxa7\n'], ['Rxb3', 'Ra4'], ['Rd1', 'Rd4'], ['g3', 'Rd6'], ['Kg2', 'Kg6'], ['Ra3', 'f5'], ['Kf1', 'Rd4'], ['Ra6+', 'Kh5\n'], ['Ra5', 'Re4'], ['Rxd3', 'Nxd3'], ['Rxf5+', 'Kg4'], ['Ra5', 'Kh3'], ['Ra1', 'Kxg3'], ['h5', 'Kf3'], ['Rd1', 'Nf4\n'], ['Rd8', 'Nxh5'], ['Rd3+', 'Kg4'], ['Kf2', 'Nf4'], ['Rg3+', 'Kf5']]",1/2-1/2
EU-ch U20,Groningen,1982.??.??,1,"Berend, Fred","Ehlvest, Jaan",,,B50,"[['e4', 'c5'], ['g3', 'Nc6'], ['Bg2', 'e6'], ['Nc3', 'Nf6'], ['Nf3', 'd6'], ['O-O', 'Be7'], ['Re1', 'Qc7'], ['d4', 'cxd4\n'], ['Nb5', 'Qb8'], ['Nbxd4', 'Ne5'], ['c4', 'O-O'], ['b3', 'Ng6'], ['Qe2', 'Rd8'], ['Bb2', 'Nd7'], ['Red1', 'a6\n'], ['Rd2', 'Qc7'], ['Ne1', 'Nf6'], ['Rad1', 'Bd7'], ['h4', 'Qa5'], ['a3', 'Rac8'], ['Nd3', 'h6'], ['Rc1', 'Be8\n'], ['b4', 'Qc7'], ['Nb3', 'e5'], ['c5', 'Qb8'], ['Bh3', 'Bd7'], ['Bxd7', 'Nxd7'], ['h5', 'Ngf8'], ['Rdc2', 'Ne6\n'], ['c6', 'bxc6'], ['Rxc6', 'Rxc6'], ['Rxc6', 'Qb5'], ['Rc2', 'Nb6'], ['f4', 'Na4'], ['Ba1', 'exf4'], ['gxf4', 'Re8\n'], ['Kg2', 'Qxd3'], ['Qxd3', 'Nxf4+'], ['Kf3', 'Nxd3'], ['Rc6', 'Ra8']]",0-1
EU-ch U20,Groningen,1982.??.??,2,"Ehlvest, Jaan","Greenfeld, Alon",,,A30,"[['Nf3', 'c5'], ['c4', 'Nf6'], ['Nc3', 'e6'], ['g3', 'b6'], ['Bg2', 'Bb7'], ['O-O', 'Be7'], ['d4', 'cxd4'], ['Qxd4', 'd6\n'], ['Bg5', 'a6'], ['Bxf6', 'Bxf6'], ['Qd3', 'Ra7'], ['Rad1', 'Be7'], ['Nd4', 'Bxg2'], ['Kxg2', 'Rc7'], ['f4', 'Nc6\n'], ['Nxc6', 'Qa8'], ['Rf3', 'Qxc6'], ['b3', 'O-O'], ['g4', 'Rfc8'], ['a4', 'd5'], ['cxd5', 'Qxc3'], ['d6', 'Bxd6\n'], ['Qxc3', 'Rxc3'], ['Rxd6', 'R3c6'], ['Rd7', 'R6c7'], ['Rfd3', 'Kf8'], ['Rxc7', 'Rxc7'], ['Rd8+', 'Ke7\n'], ['Rb8', 'Rc6'], ['g5', 'h6'], ['Rb7+', 'Kf8'], ['Rb8+', 'Ke7'], ['Rb7+', 'Kf8'], ['h4', 'hxg5'], ['hxg5', 'g6\n'], ['Kf2', 'a5'], ['e3', 'e5'], ['Kf3', 'Re6'], ['Ke4', 'exf4+'], ['Kxf4', 'f5'], ['gxf6', 'Rxf6+'], ['Ke5', 'Rf3\n'], ['Rxb6', 'Rxe3+'], ['Kd4', 'Rf3'], ['Rb5', '']]",1/2-1/2
EU-ch U20,Groningen,1982.??.??,3,"Miralles, Gilles","Ehlvest, Jaan",,,A00,"[['b4', 'd5'], ['Bb2', 'Bg4'], ['c4', 'e6'], ['Qb3', 'Nf6'], ['e3', 'Nbd7'], ['h3', 'Bf5'], ['Nf3', 'Be7'], ['Be2', 'O-O\n'], ['O-O', 'a5'], ['a3', 'dxc4'], ['Bxc4', 'Be4'], ['Ne5', 'Nxe5'], ['Bxe5', 'Nd7'], ['Bb2', 'Nb6'], ['Be2', 'Qd6\n'], ['b5', 'e5'], ['d3', 'Bf5'], ['Nd2', 'a4'], ['Qc3', 'f6'], ['Rac1', 'Rac8'], ['Rfd1', 'Rfd8'], ['Nf1', 'Be6\n'], ['d4', 'e4'], ['Nd2', 'Qd5'], ['Rc2', 'Bd6'], ['Rdc1', 'Ra8'], ['Ba1', 'f5'], ['f4', 'Bf7'], ['Qb2', 'Qe6\n'], ['Nc4', 'Nxc4'], ['Bxc4', 'Qg6'], ['Be2', 'Qg3'], ['Rc3', 'Bd5'], ['Kh1', 'Rf8'], ['Qd2', 'Bxf4'], ['Kg1', 'Qh2+\n'], ['Kf1', 'Bg3'], ['Bc4', 'Bxc4+'], ['Rxc4', 'f4']]",0-1
EU-ch U20,Groningen,1982.??.??,4,"Ehlvest, Jaan","D'Amore, Carlo",,,A79,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'e6'], ['Nc3', 'exd5'], ['cxd5', 'd6'], ['Nf3', 'g6'], ['Nd2', 'Bg7'], ['e4', 'O-O\n'], ['Be2', 'Na6'], ['O-O', 'Nc7'], ['a4', 'Re8'], ['f3', 'b6'], ['Nc4', 'Ba6'], ['Bg5', 'Rb8'], ['Qd2', 'Bxc4\n'], ['Bxc4', 'a6'], ['Bd3', 'b5'], ['axb5', 'axb5'], ['b4', 'Qd7'], ['Ra7', 'cxb4'], ['Ne2', 'Ra8'], ['Rxa8', 'Rxa8\n'], ['Qxb4', 'Ra4'], ['Qb3', 'Qe8'], ['Rc1', 'Qb8'], ['Be3', 'Nd7'], ['Qc2', 'Ra1'], ['Rxa1', 'Bxa1'], ['Nd4', 'Qa7\n'], ['Qf2', 'Qa4'], ['Nc6', 'b4'], ['Qh4', 'Qd1+'], ['Bf1', 'Bf6'], ['Qg4', 'Nf8'], ['Qf4', 'Ne8'], ['Nxb4', 'Nd7\n'], ['Nc6', 'h5'], ['Bf2', 'Ne5'], ['Qe3', 'g5'], ['Nxe5', 'dxe5'], ['h4', 'gxh4'], ['Qa3', 'Ng7'], ['Qd6', 'Ne6\n'], ['Qc6', 'Nf4'], ['Qxf6', 'Ne2+'], ['Kh2', 'Qxf1'], ['Qg5+', 'Kh7'], ['Qxh5+', 'Kg8'], ['Qg5+', 'Kh7\n'], ['Qxh4+', 'Kg8'], ['Qg5+', 'Kh7'], ['Bc5', '']]",1-0
EU-ch U20,Groningen,1982.??.??,5,"Hansen, Curt","Ehlvest, Jaan",,,D55,"[['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'Nf6'], ['Nf3', 'Be7'], ['Bg5', 'O-O'], ['e3', 'h6'], ['Bxf6', 'Bxf6'], ['Rc1', 'c6\n'], ['Bd3', 'Nd7'], ['O-O', 'dxc4'], ['Bxc4', 'e5'], ['Bb3', 'exd4'], ['exd4', 'Re8'], ['Re1', 'Rxe1+'], ['Qxe1', 'Nf8\n'], ['Ne4', 'Be6'], ['Nxf6+', 'Qxf6'], ['Qb4', 'Bxb3'], ['Qxb3', 'Qe7'], ['h3', 'Ne6'], ['Re1', 'Rd8'], ['Re5', 'Qd7\n'], ['Qe3', 'a6'], ['Qe4', 'g6'], ['Qd3', 'Qd6'], ['Re1', 'c5'], ['Qe3', 'Nxd4'], ['Nxd4', 'cxd4'], ['Qxh6', 'Qb4\n'], ['Qc1', 'd3'], ['Rd1', 'd2'], ['Qc3', 'Qf4'], ['b3', 'b5'], ['Kf1', 'Qh2'], ['Rxd2', 'Re8'], ['f4', 'Qxf4+\n'], ['Rf2', 'Qh2'], ['Rf3', 'Qh1+'], ['Kf2', 'Qb1'], ['Qd2', 'Rc8'], ['Kg3', '']]",1/2-1/2
EU-ch U20,Groningen,1982.??.??,6,"Ehlvest, Jaan","Nijboer, Friso",,,E12,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['a3', 'Bb7'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['Qc2', 'c5'], ['e4', 'Nxc3\n'], ['bxc3', 'Qc7'], ['Bb5+', 'Bc6'], ['Bd3', 'g6'], ['h4', 'Nd7'], ['Qe2', 'Bg7'], ['Bb2', 'O-O'], ['h5', 'Nf6\n'], ['h6', 'Bh8'], ['Ng5', 'Rad8'], ['Rh4', 'Qe7'], ['Qe3', 'Nd7'], ['Rd1', 'Nb8'], ['Rg4', 'Ba4'], ['Rd2', 'Nc6\n'], ['e5', 'Na5'], ['Qg3', 'Be8'], ['Re2', 'Nc6'], ['Rf4', 'Qc7'], ['Re3', 'Nxe5'], ['dxe5', 'Bxe5'], ['Nxe6', 'Qd6\n'], ['c4', 'Bxb2'], ['Nxd8', 'Qxd8'], ['Re2', 'Bd4'], ['Be4', 'Qd7'], ['Bd5', 'Kh8'], ['Rfe4', 'Qa4'], ['Rxd4', 'cxd4\n'], ['Qe5+', 'f6'], ['Qe7', 'Qa5+'], ['Kf1', 'Qc5'], ['Qg7+', '']]",1-0
EU-ch U20,Groningen,1982.??.??,7,"Ehlvest, Jaan","Condie, Mark L",,,B85,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['f4', 'a6'], ['Be2', 'Be7'], ['a4', 'Qc7\n'], ['O-O', 'O-O'], ['Be3', 'Nc6'], ['Qe1', 'Nxd4'], ['Bxd4', 'e5'], ['Be3', 'exf4'], ['Bxf4', 'Be6'], ['Qg3', 'Kh8\n'], ['e5', 'dxe5'], ['Bxe5', 'Qb6+'], ['Kh1', 'Rg8'], ['Rad1', 'Rae8'], ['b3', 'Qc6'], ['Bf3', 'Qc8'], ['Ne2', 'Nd7\n'], ['Bc3', 'Bf6'], ['Bxf6', 'Nxf6'], ['Nd4', 'Re7'], ['Rfe1', 'Rge8'], ['c4', 'Bg4'], ['Rxe7', 'Rxe7'], ['Bxg4', 'Qxg4\n'], ['Qxg4', 'Nxg4'], ['Nf5', 'Re8'], ['Nd6', 'Re7'], ['Nf5', 'Re8'], ['Nd6', 'Re7'], ['Kg1', 'g6'], ['c5', 'Kg8\n'], ['b4', 'Ne5'], ['b5', 'axb5'], ['axb5', 'Rc7'], ['Rd5', 'Ng4'], ['Rd4', 'f5'], ['h3', 'Nf6'], ['c6', 'bxc6\n'], ['b6', 'Re7'], ['Kf2', 'Ne4+'], ['Rxe4', 'fxe4'], ['b7', 'Rxb7'], ['Nxb7', 'h5'], ['Ke3', 'Kh7'], ['Kxe4', 'Kh6\n'], ['Kf4', '']]",1-0
EU-ch U20,Groningen,1982.??.??,8,"Cramling, Pia","Ehlvest, Jaan",,,B82,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['f4', 'a6'], ['Qf3', 'Qc7'], ['Be3', 'b5\n'], ['a3', 'Bb7'], ['Bd3', 'Nbd7'], ['g4', 'Nc5'], ['g5', 'Nfd7'], ['O-O-O', 'Nxd3+'], ['Rxd3', 'Nc5'], ['Rd2', 'Qa5\n'], ['Kb1', 'b4'], ['axb4', 'Qxb4'], ['Rdd1', 'Rb8'], ['Bc1', 'g6'], ['Rhe1', 'Bg7'], ['Qe3', 'O-O'], ['f5', 'Be5\n'], ['h4', 'exf5'], ['exf5', 'gxf5'], ['Na2', 'Qc4'], ['Qe2', 'Qxe2'], ['Rxe2', 'f6'], ['Nc3', 'f4'], ['gxf6', 'Rxf6\n'], ['Rf2', 'h6'], ['Ka2', 'f3'], ['Nb3', 'Nxb3'], ['cxb3', 'Kh7'], ['Nd5', 'Rf7'], ['Be3', 'Bg3'], ['Rff1', 'f2\n'], ['Rd4', 'Bxd5'], ['Rxd5', 'Re8'], ['Bd2', 'Re1'], ['Bxe1', 'fxe1=Q'], ['Rxf7+', 'Kg8'], ['Rdf5', 'Be5\n'], ['Rf8+', 'Kh7'], ['R8f7+', 'Bg7'], ['Rf2', 'Kg8'], ['R7f5', 'd5'], ['Rg2', 'Qa5+'], ['Kb1', 'Qe1+'], ['Ka2', 'Qe4\n'], ['Rff2', 'Qxh4'], ['Rc2', 'Qe4'], ['Rce2', 'Qf3'], ['Ref2', 'Qe4'], ['Re2', 'Qb4'], ['Re6', 'Qa5+'], ['Kb1', 'Kf7\n'], ['Reg6', 'Qe1+'], ['Ka2', 'Qa5+'], ['Kb1', 'Bf8'], ['R6g4', 'Qe1+'], ['Ka2', 'Be7'], ['Rg7+', 'Ke8'], ['Rc2', 'd4\n'], ['Rc8+', 'Kd7'], ['Ra8', 'Qa5+'], ['Kb1', 'Qb6']]",0-1
EU-ch U20,Groningen,1982.??.??,9,"Ehlvest, Jaan","Stohl, Igor",,,D42,"[['e4', 'c6'], ['c4', 'd5'], ['cxd5', 'cxd5'], ['exd5', 'Nf6'], ['Nc3', 'Nxd5'], ['Nf3', 'Nc6'], ['d4', 'e6'], ['Bd3', 'Be7\n'], ['O-O', 'O-O'], ['Re1', 'Bf6'], ['Be4', 'Qd6'], ['Bc2', 'Nxc3'], ['bxc3', 'Qd5'], ['Qd3', 'g6'], ['Bf4', 'b6\n'], ['Nd2', 'Bb7'], ['Ne4', 'Bg7'], ['Qg3', 'Ne7'], ['Nd6', 'Bc6'], ['Bg5', 'Nf5'], ['Nxf5', 'exf5'], ['Bb3', 'Qa5\n'], ['Be7', 'Rfe8'], ['Bc4', 'f4'], ['Qxf4', 'Qf5'], ['Qxf5', 'gxf5'], ['a4', 'a5'], ['Bd6', 'Rac8'], ['h3', 'Red8\n'], ['Bf4', 'Be4'], ['Rac1', 'Bf8'], ['Re3', 'Bd6'], ['Rg3+', 'Kh8'], ['Bxd6', 'Rxd6'], ['Re1', 'Rg6'], ['Rxg6', 'fxg6\n'], ['Re3', 'Re8'], ['d5', 'f4'], ['Re1', 'g5'], ['d6', 'Bc6']]",1-0
EU-ch U20,Groningen,1982.??.??,10,"Bosboom, Manuel","Ehlvest, Jaan",,,B15,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'c6'], ['f4', 'd5'], ['e5', 'Nh6'], ['Nf3', 'f6'], ['Bd3', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'O-O\n'], ['e6', 'f5'], ['g4', 'Qd6'], ['Qe2', 'Rf6'], ['Be3', 'Rxe6'], ['gxf5', 'Nxf5'], ['Bxf5', 'gxf5'], ['O-O-O', 'Nd7\n'], ['Rdg1', 'Rg6'], ['Qh5', 'Qe6'], ['Bf2', 'Qf7'], ['Re1', 'e6'], ['Qf3', 'Nf6'], ['Kb1', 'Ne4'], ['Nxe4', 'fxe4\n'], ['Qb3', 'b6'], ['Be3', 'Rc8'], ['Qa4', 'c5'], ['dxc5', 'bxc5'], ['h4', 'Rb8'], ['Bc1', 'Qf6'], ['Qa3', 'Rg3\n'], ['c3', 'Rxc3'], ['Qa6', 'Rxc1+'], ['Kxc1', 'Qxb2+'], ['Kd1', 'Qd4+'], ['Ke2', 'Rb2+']]",0-1
