Yalta op,Yalta,1995.??.??,2,"Kushch, Nikolai","Eljanov, Pavel",,,A30,"[['Nf3', 'c5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['g3', 'b6'], ['Bg2', 'Bb7'], ['O-O', 'Be7'], ['Re1', 'd6'], ['e4', 'a6'], ['d4', 'cxd4\n'], ['Nxd4', 'Qc7'], ['Be3', 'O-O'], ['Rc1', 'Nbd7'], ['f4', 'Rac8'], ['b3', 'Rfd8'], ['f5', 'e5'], ['Nd5', 'Nxd5\n'], ['cxd5', 'Nc5'], ['Nc6', 'Bxc6'], ['dxc6', 'a5'], ['a3', 'a4'], ['b4', 'Nb3'], ['Rc3', 'b5'], ['g4', 'h6\n'], ['Qd5', 'Nd4'], ['Kh1', 'Bg5'], ['Bxd4', 'exd4'], ['Rc2', 'Qb6'], ['Bf1', 'Bh4'], ['Rd1', 'Re8'], ['Qxb5', 'Qxb5\n'], ['Bxb5', 'Rxe4'], ['Ba6', 'Rc7'], ['Bd3', 'Re1+'], ['Rxe1', 'Bxe1'], ['b5', 'Bc3'], ['Rc1', 'Ba5'], ['Rc4', 'Bb6\n'], ['Rxa4', 'Rc8'], ['Ra6', 'Rb8']]",1-0
Polanica Zdroj op,Polanica Zdroj,1996.??.??,?,"Eljanov, Pavel","Perdek, Miroslaw",,,A31,"[['c4', 'Nf6'], ['Nc3', 'c5'], ['Nf3', 'b6'], ['e4', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Bb7'], ['f3', 'e6'], ['Be3', 'Be7\n'], ['Be2', 'O-O'], ['O-O', 'a6'], ['Qe1', 'Qc7'], ['Rc1', 'Nbd7'], ['Qf2', 'Rac8'], ['Rfd1', 'Rfe8'], ['b4', 'Qb8\n'], ['a3', 'Bd8'], ['Nb3', 'Bc7'], ['g3', 'd5'], ['cxd5', 'exd5'], ['exd5', 'Bxg3'], ['hxg3', 'Rxe3'], ['Qxe3', 'Qxg3+\n'], ['Kf1', 'Ng4'], ['Qg1', 'Nh2+'], ['Qxh2', 'Qxh2'], ['Nd4', 'h5'], ['Rc2', 'Ne5'], ['Rdd2', 'Qf4'], ['Ke1', 'Qe3\n'], ['f4', 'Qg3+']]",0-1
Polanica Zdroj op,Polanica Zdroj,1996.??.??,1,"Sherbakov, Ruslan","Eljanov, Pavel",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Nf3', 'c5'], ['Rb1', 'O-O\n'], ['Be2', 'b6'], ['O-O', 'Bb7'], ['Qd3', 'Nd7'], ['Bg5', 'Qc7'], ['Qe3', 'e5'], ['d5', 'Nf6'], ['Nd2', 'Ne8\n'], ['Bh6', 'Nd6'], ['Bxg7', 'Kxg7'], ['f4', 'Rae8'], ['f5', 'gxf5'], ['Qg5+', 'Kh8'], ['Qf6+', 'Kg8'], ['Qg5+', 'Kh8\n'], ['Qf6+', 'Kg8'], ['Nc4', 'Nxe4'], ['Qxf5', 'Bxd5'], ['Ne3', 'Bc6'], ['Bd3', 'Qb7'], ['Ng4', 'f6'], ['Rbe1', 'Nd6\n'], ['Nxf6+', 'Kh8'], ['Qg5', 'Qg7'], ['Qxg7+', 'Kxg7'], ['Nxe8+', 'Rxe8'], ['Re3', 'e4'], ['Be2', 'Re6\n'], ['Rg3+', 'Rg6'], ['Rxg6+', 'hxg6'], ['Rd1', 'Nb7'], ['Ba6', 'Na5'], ['Kf2', 'Kf6'], ['Rd6+', 'Kg5'], ['g3', 'b5\n'], ['h4+', 'Kh6'], ['Bc8', 'Kg7'], ['Bd7', 'e3+'], ['Ke2', '']]",1-0
Polanica Zdroj op,Polanica Zdroj,1996.??.??,4,"Eljanov, Pavel","Kislov, Sergey",,,A31,"[['d4', 'Nf6'], ['c4', 'c5'], ['Nf3', 'cxd4'], ['Nxd4', 'e5'], ['Nf3', 'Nc6'], ['Nc3', 'Bb4'], ['Bd2', 'O-O'], ['a3', 'Bxc3\n'], ['Bxc3', 'Re8'], ['e3', 'd5'], ['Be2', 'Bf5'], ['b4', 'Qc7'], ['cxd5', 'Rad8'], ['O-O', 'Nxd5'], ['Qb3', 'Na5\n'], ['bxa5', 'Nxc3'], ['Bc4', 'Bd3'], ['Qxc3', 'Qxc4'], ['Qxc4', 'Bxc4'], ['Rfc1', 'Ba6'], ['Ng5', 'e4'], ['Rc7', 'f6\n'], ['Nh3', 'g5'], ['g3', 'Rd5'], ['Kg2', 'Rxa5'], ['Rd1', 'Bd3'], ['Rxb7', 'Rxa3'], ['Rc1', 'Ba6'], ['Rd7', 'Bc8\n'], ['Rdc7', 'Bf5'], ['Rb1', 'Bc8'], ['Ng1', 'Ra2'], ['Rbc1', 'Be6'], ['Rb1', 'Rf8'], ['Re7', 'Ra6'], ['Ne2', 'Rf7\n'], ['Re8+', 'Kg7'], ['Nd4', 'Ba2'], ['Rbb8', 'f5'], ['Rb5', 'Raf6'], ['Ree5', 'Kg6'], ['h4', 'g4'], ['Ne2', 'Bc4\n'], ['Nf4+', 'Kh6'], ['Rbc5', 'Bb3'], ['Nd5', 'Rd6'], ['Ne7', 'Bd1'], ['Nxf5+', 'Rxf5'], ['Rxf5', 'Bf3+\n'], ['Kh2', 'Rd1'], ['Rxf3', 'exf3'], ['Ra5', 'Rf1'], ['Ra6+', 'Kg7'], ['Rxa7+', 'Kf6'], ['Ra2', 'h5'], ['Rb2', 'Ke5\n'], ['Ra2', 'Kd5'], ['e4+', 'Kd4'], ['Ra4+', 'Kc3'], ['Ra2', 'Re1'], ['Ra4', 'Kd3'], ['Ra3+', 'Ke2'], ['Ra2+', 'Kf1\n'], ['Ra5', 'Kxf2'], ['Rxh5', 'Ke3'], ['Rf5', 'f2'], ['e5', 'f1=Q'], ['Rxf1', 'Rxf1']]",0-1
Yalta op,Yalta,1996.??.??,1,"Tunik, Gennady","Eljanov, Pavel",,,D79,"[['d4', 'Nf6'], ['c4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'd5'], ['Nf3', 'O-O'], ['O-O', 'c6'], ['cxd5', 'cxd5'], ['Nc3', 'Ne4\n'], ['Qb3', 'Nc6'], ['Rd1', 'Nxc3'], ['bxc3', 'Na5'], ['Qb4', 'b6'], ['Bg5', 'f6'], ['Bf4', 'Bb7'], ['h4', 'Re8\n'], ['Nd2', 'Rc8'], ['Rac1', 'Nc4'], ['Nxc4', 'Rxc4'], ['Qa3', 'a6'], ['e4', 'dxe4'], ['Bf1', 'Rc8'], ['Bxa6', 'Bxa6\n'], ['Qxa6', 'e6'], ['c4', 'Ra8'], ['Qb5', 'f5'], ['c5', 'Qd5'], ['a4', 'Bxd4'], ['Rxd4', 'Qxd4'], ['cxb6', 'Qxa4\n'], ['Qxa4', 'Rxa4'], ['b7', 'Rb4'], ['Rc8', 'Kf7'], ['Rxe8', 'Kxe8'], ['b8=Q+', 'Rxb8'], ['Bxb8', 'Kd7\n'], ['Kf1', 'Kc6'], ['Ke2', 'Kd5'], ['Ke3', 'e5'], ['Bc7', 'h6'], ['Bd8', 'Ke6'], ['Ba5', 'Kf7'], ['Bb4', 'Ke6\n'], ['Bf8', 'h5'], ['Bc5', 'Kf6'], ['Bd6', 'Ke6'], ['Bb8', 'Kd5'], ['Bc7', 'Ke6'], ['Kd2', 'Kd5'], ['Kc3', 'Ke6\n'], ['Kc4', 'g5'], ['hxg5', 'f4'], ['gxf4', 'h4'], ['f5+', 'Kxf5'], ['Kd5', 'Kxg5'], ['Kxe4', '']]",1-0
Yalta op,Yalta,1996.??.??,2,"Eljanov, Pavel","Perun, Sergey",,,D18,"[['c4', 'c6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Nf3', 'dxc4'], ['a4', 'Bf5'], ['e3', 'e6'], ['Bxc4', 'Bb4'], ['O-O', 'Nbd7\n'], ['Nh4', 'Bg4'], ['f3', 'Bh5'], ['g3', 'O-O'], ['Qb3', 'a5'], ['Na2', 'Be7'], ['Bd2', 'Nd5'], ['Ng2', 'N5b6\n'], ['Nf4', 'Nxc4'], ['Qxc4', 'Bg6'], ['Nxg6', 'hxg6'], ['Rad1', 'Qb6'], ['Bc3', 'Rfd8'], ['Kg2', 'Nf6'], ['Nc1', 'Nd5\n'], ['Rfe1', 'e5'], ['Nd3', 'exd4'], ['Bxd4', 'Qc7'], ['Nf4', 'Nxf4+'], ['exf4', 'Bf6'], ['Bxf6', 'gxf6\n'], ['f5', 'gxf5'], ['Rd3', 'Kg7'], ['Red1', 'Qe7'], ['Qc2', 'Rxd3'], ['Qxd3', 'Re8'], ['Rd2', 'Qe3'], ['Qd7', 'Re6\n'], ['Rf2', 'b6'], ['h4', 'Qc1'], ['Qd3', 'Re5'], ['Qc2', 'Rc5'], ['Qxc1', 'Rxc1'], ['Rd2', 'Rc4'], ['b3', 'Rb4\n'], ['Rd6', 'c5'], ['Rd3', 'f4'], ['gxf4', 'Rxf4'], ['Kg3', 'Rd4'], ['Rc3', 'Kg6'], ['Re3', 'Kh5'], ['Re7', 'Kg6\n'], ['Re3', 'Kg7'], ['Rc3', 'Kh6'], ['Re3', 'Kg6'], ['Re8', 'Rd3'], ['Rg8+', 'Kh7'], ['Rg4', 'Rxb3'], ['Rf4', 'Rb4\n'], ['Rxf6', 'Kg7'], ['Rc6', 'c4'], ['Kf2', 'c3'], ['Rxc3', 'Rxa4'], ['Rc6', 'Rb4'], ['h5', 'a4'], ['Rc7', 'Rb5\n'], ['Ke3', 'a3'], ['Rc1', 'Ra5'], ['Ra1', 'a2'], ['Kd3', 'Kh6'], ['Kc2', 'Kxh5'], ['Kb2', 'Kg5'], ['Rg1+', 'Kf4\n'], ['Ka1', 'f5']]",0-1
Yalta op,Yalta,1996.??.??,3,"Nemirovski, Serge","Eljanov, Pavel",,,B22,"[['e4', 'c5'], ['c3', 'b6'], ['d4', 'Bb7'], ['Bd3', 'Nf6'], ['d5', 'e6'], ['c4', 'exd5'], ['exd5', 'd6'], ['Nc3', 'Be7\n'], ['Nf3', 'O-O'], ['O-O', 'Na6'], ['b3', 'Nc7'], ['Bb2', 'Re8'], ['Ng5', 'h6'], ['Nge4', 'Rf8'], ['Ng3', 'Bc8\n'], ['Re1', 'Bg4'], ['Qd2', 'a6'], ['Qf4', 'Bc8'], ['Nce4', 'Nce8'], ['Re2', 'Ra7'], ['Rae1', 'Nxe4'], ['Bxe4', 'Bf6\n'], ['Bf5', 'Bxb2'], ['Rxb2', 'Nf6'], ['Rbe2', 'Re8'], ['Bxc8', 'Qxc8'], ['Nf5', 'Rxe2'], ['Rxe2', 'Qd8\n'], ['Qxd6', 'Qxd6'], ['Nxd6', 'Rd7'], ['Ne4', 'Nxe4'], ['Rxe4', 'Kf8'], ['Kf1', 'b5'], ['Ke2', 'bxc4'], ['bxc4', 'Rb7\n'], ['Kd3', 'Rb2'], ['Re2', 'Rb7'], ['Kc3', 'Rb1'], ['Rb2', 'Rc1+'], ['Kb3', 'Ke7'], ['Rc2', 'Rb1+'], ['Ka4', 'Rb6\n'], ['Ka5', 'Rg6'], ['g3', 'h5'], ['Rd2', 'Rg4'], ['Kxa6', 'Rxc4'], ['Kb5', 'Rc3'], ['Kc6', 'Ra3'], ['d6+', 'Kd8\n'], ['Rb2', 'Ra6+'], ['Kxc5', 'Ra5+'], ['Kc6', 'Ra8'], ['a4', 'Rc8+'], ['Kd5', 'Ra8'], ['Rb4', 'g5'], ['Ke5', 'Ra5+\n'], ['Kf6', 'Kd7'], ['Rb5', 'Rxa4'], ['Rxg5', 'h4'], ['f4', 'Ra2'], ['Rh5', 'hxg3'], ['hxg3', 'Kxd6'], ['Kxf7', 'Ra7+\n'], ['Kf6', 'Ra8'], ['Kf5', 'Rg8'], ['Ke4', 'Rxg3'], ['Re5', 'Rg8'], ['Kf3', 'Rg7'], ['Re1', 'Re7'], ['Ra1', 'Ke6\n'], ['Ra6+', 'Kf5'], ['Ra5+', 'Kf6'], ['Ra6+', 'Kf5'], ['Ra5+', 'Kf6'], ['f5', 'Re5'], ['Rxe5', 'Kxe5'], ['Kg4', 'Kf6\n'], ['Kf4', 'Kg7'], ['Ke4', 'Kf6'], ['Kf4', 'Kf7']]",1/2-1/2
Yalta op,Yalta,1996.??.??,4,"Eljanov, Pavel","Stets, Dmitry",,,B38,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['e4', 'd6'], ['d4', 'Bg7'], ['Nf3', 'O-O'], ['Be2', 'c5'], ['O-O', 'cxd4'], ['Nxd4', 'Nc6\n'], ['Be3', 'Bd7'], ['Qd2', 'Ng4'], ['Bxg4', 'Bxg4'], ['f3', 'Bd7'], ['Rfd1', 'Ne5'], ['b3', 'Bc6'], ['Rac1', 'Re8\n'], ['Nd5', 'Rc8'], ['h3', 'Nd7'], ['Ne2', 'b6'], ['Nd4', 'Nf6'], ['a4', 'Bb7'], ['Nb5', 'Nxd5'], ['cxd5', 'a6\n'], ['Na7', 'Rc5'], ['Nc6', 'Bxc6'], ['dxc6', 'Qa8'], ['Bxc5', 'bxc5'], ['Qd5', 'Rc8'], ['f4', 'Qxc6'], ['e5', 'Bh6\n'], ['Qxc6', 'Rxc6'], ['Rc4', 'a5'], ['Kf2', 'Kf8'], ['Kf3', 'f5'], ['exf6', 'exf6'], ['Re4', 'Kf7'], ['g4', 'Bg7\n'], ['f5', 'Bh6'], ['Re6', 'Bf8'], ['Ke4', 'Rb6'], ['Rd3', 'Rb4+'], ['Kd5', 'gxf5'], ['gxf5', 'Rf4'], ['Kc6', 'c4\n'], ['bxc4', 'Rxc4+'], ['Kb6', 'Rc5'], ['Re1', 'Rxf5'], ['Rb3', 'Bh6'], ['Rd1', 'Ke6'], ['Rb5', 'Rf3'], ['Rh5', 'Rb3+\n'], ['Kxa5', 'Be3'], ['Rb5', 'Rc3'], ['Kb4', 'Rc1'], ['Rxc1', 'Bxc1'], ['a5', 'f5'], ['a6', 'Be3']]",1-0
Yalta op,Yalta,1996.??.??,5,"Timoshenko, Georgy","Eljanov, Pavel",,,B32,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nb5', 'd6'], ['a4', 'Be6'], ['Be2', 'Nf6'], ['N1c3', 'Rc8\n'], ['O-O', 'a6'], ['Na3', 'Be7'], ['Bg5', 'O-O'], ['Bxf6', 'Bxf6'], ['Nd5', 'Bg5'], ['Nc4', 'Nd4'], ['Bd3', 'Bxd5\n'], ['exd5', 'e4'], ['Be2', 'Nxe2+'], ['Qxe2', 'f5'], ['b3', 'Qf6'], ['Rad1', 'Rfe8'], ['f3', 'exf3'], ['Qxf3', 'b5\n'], ['axb5', 'axb5'], ['Na3', 'Rc3'], ['Qxf5', 'Be3+'], ['Kh1', 'Qxf5'], ['Rxf5', 'Bc5'], ['Nxb5', 'Rxc2\n'], ['Nc7', 'Ree2'], ['Ne6', 'h6'], ['Rf8+', 'Kh7'], ['Nxc5', 'Rxc5'], ['h3', 'Rcc2'], ['Rg1', 'Red2'], ['Rf5', 'Rb2\n'], ['Rf3', 'Rxd5'], ['Rg3', 'g5'], ['Re1', 'h5'], ['Re6', 'Kg7'], ['Rc3', 'Rd1+'], ['Kh2', 'Rdd2'], ['Rc1', 'Kf8\n'], ['Rh6', 'Rxg2+'], ['Kh1', 'Rh2+'], ['Kg1', 'Rbg2+'], ['Kf1', 'Rf2+'], ['Kg1', 'Rhg2+'], ['Kh1', '']]",1/2-1/2
Yalta op,Yalta,1996.??.??,6,"Eljanov, Pavel","Eljanov, Vladimir",,,C68,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Bxc6', 'dxc6'], ['O-O', 'f6'], ['d3', 'Bd6']]",1/2-1/2
Yalta op,Yalta,1996.??.??,7,"Panchenko, Alexander N","Eljanov, Pavel",,,C00,"[['e4', 'c5'], ['b4', 'cxb4'], ['d4', 'e6'], ['Nf3', 'd5'], ['e5', 'Nc6'], ['Bd3', 'Bd7'], ['O-O', 'Qb6'], ['Be3', 'Nge7\n'], ['Nbd2', 'Nf5'], ['Bxf5', 'exf5'], ['g3', 'Be7'], ['Nb3', 'O-O'], ['Qd3', 'Na5'], ['Rfb1', 'Nxb3'], ['Rxb3', 'Rfc8\n'], ['a3', 'Ba4'], ['Rb2', 'Bb5'], ['Qxf5', 'bxa3'], ['Rb3', 'a6'], ['Bc1', 'Qc6'], ['Bxa3', 'Bxa3'], ['Raxa3', 'g6\n'], ['Qf6', 'Qxc2'], ['e6', 'Qd1+'], ['Ne1', '']]",0-1
