Lone Pine,Lone Pine,1976.??.??,1,"Rohde, Michael A","Fedorowicz, John P",,,B07,"[['Nf3', 'g6'], ['e4', 'Bg7'], ['d4', 'd6'], ['c3', 'Nf6'], ['Bd3', 'O-O'], ['O-O', 'Nc6'], ['Nbd2', 'e5'], ['dxe5', 'dxe5\n'], ['Nc4', 'Nh5'], ['Ne3', 'Nf4'], ['Bb5', 'a6'], ['Bxc6', 'bxc6'], ['Qa4', 'Qf6'], ['Nd2', 'a5'], ['Ndc4', 'Ba6\n'], ['Bd2', 'Qe6'], ['b3', 'Rfd8'], ['Qa3', 'Nd3'], ['Nxa5', 'Nf4'], ['Be1', 'Bxf1'], ['Kxf1', 'Bf8'], ['b4', 'c5\n'], ['Qb3', 'Qxb3'], ['Nxb3', 'cxb4'], ['cxb4', 'Nd3'], ['a3', 'Nxe1'], ['Kxe1', 'Rxa3'], ['Rxa3', 'Bxb4+\n'], ['Ke2', 'Bxa3'], ['Nc4', 'Bd6'], ['Nba5', 'f6'], ['f3', 'Kf7'], ['Ne3', 'Ra8'], ['Nac4', 'Ra2+'], ['Kd3', 'Bc5']]",0-1
Lone Pine,Lone Pine,1976.??.??,2,"Bisguier, Arthur Bernard","Fedorowicz, John P",,,A42,"[['d4', 'g6'], ['c4', 'd6'], ['Nc3', 'Nd7'], ['Bg5', 'Bg7'], ['e4', 'f6'], ['Be3', 'e5'], ['f4', 'c6'], ['Nf3', 'Nh6'], ['h3', 'O-O\n'], ['Qd2', 'Nf7'], ['Be2', 'exf4'], ['Bxf4', 'c5'], ['Rd1', 'Re8'], ['O-O', 'a6'], ['Rfe1', 'cxd4'], ['Nxd4', 'Nc5\n'], ['Bf1', 'Ng5'], ['Nf3', 'Nxf3+'], ['gxf3', 'Ne6'], ['Qxd6', 'Qxd6'], ['Bxd6', 'Ng5'], ['Kf2', 'f5'], ['e5', 'Be6\n'], ['f4', 'Nf7'], ['c5', 'g5'], ['fxg5', 'Nxg5'], ['Bg2', 'Ra7'], ['h4', 'Nf7'], ['Nd5', 'Rd8'], ['Nc7', 'Bxa2\n'], ['e6', 'Bf6'], ['Kg3', 'Bxe6'], ['Rxe6', 'Bxb2'], ['Bd5', 'Kh8'], ['Rde1', 'Nxd6'], ['cxd6', 'Ba3'], ['Re8+', 'Rxe8\n'], ['Rxe8+', 'Kg7'], ['Ne6+', 'Kf7'], ['d7', '']]",1-0
Lone Pine,Lone Pine,1976.??.??,3,"Fedorowicz, John P","Loftsson, Julius H",,,A07,"[['g3', 'Nf6'], ['Bg2', 'd5'], ['Nf3', 'c6'], ['O-O', 'Bf5'], ['d3', 'h6'], ['Nbd2', 'e6'], ['b3', 'Be7'], ['Bb2', 'O-O\n'], ['Qe1', 'a5'], ['a3', 'Bh7'], ['e4', 'c5'], ['Qe2', 'Nc6'], ['Rfe1', 'Re8'], ['h3', 'a4'], ['g4', 'Nd7'], ['Nh2', 'Bf6\n'], ['exd5', 'exd5'], ['Qxe8+', 'Qxe8'], ['Rxe8+', 'Rxe8'], ['Bxf6', 'Nxf6'], ['Nhf3', 'axb3'], ['Nxb3', 'b6\n'], ['Nfd2', 'Rc8'], ['f4', 'Kf8'], ['g5', 'Nh5'], ['Rf1', 'Nd4'], ['Nxd4', 'cxd4'], ['Nb3', 'Rxc2'], ['Nxd4', 'Rc3\n'], ['Nb5', 'Rxd3'], ['Nd6', 'Ng3'], ['Rb1', 'Ne2+'], ['Kh2', 'Nxf4'], ['Re1', 'Be4'], ['gxh6', 'gxh6'], ['Nxe4', 'dxe4\n'], ['Rxe4', 'Nxg2'], ['Kxg2', 'Rxa3'], ['Rb4', 'Ra6'], ['Kf3', 'Ke7'], ['Kg4', 'Kd6'], ['Rf4', 'Kc5'], ['Rf5+', 'Kc4\n'], ['Rf6', 'Kc5'], ['Rxh6', 'Ra7'], ['h4', 'b5'], ['Rh8', 'Rb7'], ['Rc8+', 'Kd4'], ['h5', 'b4'], ['Rd8+', 'Ke3\n'], ['h6', 'Ke2'], ['h7', 'f5+'], ['Kg5', 'Rxh7'], ['Rb8', 'Rf7'], ['Rxb4', '']]",1/2-1/2
Lone Pine,Lone Pine,1976.??.??,4,"Fedorowicz, John P","Saidy, Anthony Fred",,,A07,"[['g3', 'e5'], ['Bg2', 'Nf6'], ['d3', 'd5'], ['Nf3', 'Nc6'], ['O-O', 'Be7'], ['c3', 'O-O'], ['Qc2', 'd4'], ['Nbd2', 'Be6\n'], ['a3', 'a5'], ['cxd4', 'exd4'], ['b3', 'h6'], ['Bb2', 'Qd7'], ['Rfe1', 'Rfd8'], ['Rac1', 'Bd5'], ['Qb1', 'Ra6\n'], ['Nc4', 'Bc5'], ['Rc2', 'Nh7'], ['h4', 'Nf8'], ['Rec1', 'b6'], ['Ncd2', 'Ne6'], ['Ba1', 'Qe7'], ['Ne4', 'Bxe4\n'], ['dxe4', 'Na7'], ['a4', 'Nc6'], ['Rd2', 'f6'], ['Qd3', 'Ra7'], ['Bh3', 'Ne5'], ['Nxe5', 'fxe5'], ['Qc4', 'Re8\n'], ['Rd3', 'Kh8'], ['Rf3', 'c6'], ['Rd1', 'Nd8'], ['Rdd3', 'Nf7'], ['Bf5', 'Nd6'], ['Qc2', 'Nxf5'], ['Rxf5', 'g6\n'], ['Rff3', 'h5'], ['Bb2', 'Qe6'], ['Bc1', 'Bf8'], ['Bg5', 'Bg7'], ['Rd1', 'c5'], ['Kg2', 'Raa8'], ['Qc4', 'Qc6\n'], ['Qd5', 'Re6'], ['Rf7', 'Rd6'], ['Qxc6', 'Rxc6'], ['Rc1', 'Rac8'], ['Rc4', 'R8c7'], ['Rxc7', 'Rxc7'], ['Kf1', 'Kg8\n'], ['Ke1', 'Kf7'], ['Kd2', 'Ke6'], ['Kd3', 'Rf7'], ['f3', 'Bf6'], ['Bd2', 'Kd7'], ['Rc1', 'Kc6'], ['Kc4', 'Re7\n'], ['Rg1', 'Re6'], ['Rh1', 'Re7'], ['Rf1', 'Re8'], ['Rg1', 'Re6'], ['Bg5', 'Bxg5'], ['hxg5', 'Re8'], ['Rf1', 'Re7\n'], ['Rh1', 'Rb7'], ['Kd3', 'b5'], ['axb5+', 'Kxb5'], ['f4', 'Kc6'], ['Kc2', 'exf4'], ['gxf4', 'Re7'], ['Kd3', 'Rb7\n'], ['Kc2', 'Re7'], ['Kd3', 'Rb7'], ['Kc2', '']]",1/2-1/2
Lone Pine,Lone Pine,1976.??.??,5,"Silman, Jeremy D","Fedorowicz, John P",,,B78,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be3', 'Bg7'], ['f3', 'O-O'], ['Qd2', 'Nc6\n'], ['Bc4', 'Bd7'], ['Bb3', 'Rc8'], ['O-O-O', 'Ne5'], ['Bg5', 'Nc4'], ['Bxc4', 'Rxc4'], ['Nb3', 'Rxc3'], ['bxc3', 'Be6\n'], ['e5', 'Ne8'], ['Bh6', 'Bxe5'], ['Bxf8', 'Kxf8'], ['Rhe1', 'Bf6'], ['Rxe6', 'fxe6'], ['Qe3', 'Qc8'], ['Rd3', 'Nc7\n'], ['Nd4', 'a6'], ['f4', 'Kg8'], ['Qh3', 'Nd5'], ['Qxe6+', 'Qxe6'], ['Nxe6', 'Nxc3'], ['Kd2', 'Nxa2'], ['Rb3', 'b5\n'], ['Nc7', 'b4'], ['Nd5', 'a5'], ['Nxf6+', 'exf6'], ['Rd3', 'Nc3'], ['Ke3', 'd5'], ['Kd4', 'Kf7'], ['Re3', 'a4\n'], ['Re1', 'a3'], ['Kc5', 'a2'], ['Ra1', 'Ke6'], ['Kxb4', 'Ne2'], ['g3', 'Nd4'], ['Rxa2', 'Nf3'], ['c3', 'd4\n'], ['Rf2', 'Ne1'], ['Re2+', '']]",1-0
Lone Pine,Lone Pine,1976.??.??,6,"Fedorowicz, John P","Evans, Larry D",,,A25,"[['c4', 'e5'], ['Nc3', 'Nc6'], ['g3', 'Nf6'], ['Bg2', 'Bb4'], ['e3', 'Bxc3'], ['bxc3', 'd6'], ['d3', 'O-O'], ['Ne2', 'Qe7\n'], ['e4', 'a6'], ['O-O', 'b5'], ['cxb5', 'axb5'], ['f4', 'Nd7'], ['f5', 'f6'], ['a3', 'Qf7'], ['g4', 'Nc5'], ['g5', 'Qb3\n'], ['Qd2', 'Qf7'], ['Rb1', 'Nb3'], ['g6', 'hxg6'], ['fxg6', 'Qe6'], ['Rxb3', 'Qxb3'], ['Rf3', 'Bg4'], ['Rg3', 'Qe6\n'], ['Qe3', 'Ne7'], ['Bf3', 'f5'], ['exf5', 'Qxf5'], ['Bg2', 'Nxg6'], ['Qg5', 'Qf2+'], ['Kh1', 'Qxe2'], ['Bd5+', 'Kh7\n'], ['Rxg4', 'Rf1+'], ['Rg1', 'Rxg1+'], ['Qxg1', 'Rf8'], ['Bg2', 'Nh4'], ['Be4+', 'Kh8']]",0-1
Lone Pine,Lone Pine,1976.??.??,7,"Fedorowicz, John P","Martinovsky, Eugene",,,B31,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'g6'], ['O-O', 'Bg7'], ['Re1', 'e6'], ['c3', 'Nf6'], ['d4', 'cxd4'], ['cxd4', 'd5\n'], ['e5', 'Ne4'], ['Bd3', 'f5'], ['exf6', 'Nxf6'], ['Ng5', 'O-O'], ['Bc2', 'Qb6'], ['Nf3', 'Nh5'], ['Be3', 'Qxb2\n'], ['Nbd2', 'Nb4'], ['Bb3', 'a5'], ['Nf1', 'Bd7'], ['Bd2', 'Nc6'], ['Rb1', 'Qa3'], ['Ba4', 'Rab8'], ['Re3', 'Qd6\n'], ['Bc1', 'Nb4'], ['Ba3', 'b5'], ['Bc2', 'Rf4'], ['Ne5', 'Bxe5'], ['dxe5', 'Qc5'], ['Bb3', 'Rbf8'], ['Rc1', 'Qb6\n'], ['Qd2', 'Rxf2'], ['Qxf2', 'Rxf2'], ['Kxf2', 'Nd3+'], ['Kg1', 'b4'], ['Rd1', 'Bb5'], ['Bc2', 'Nxe5'], ['Bb2', 'Bxf1\n'], ['Bd4', 'Qc6'], ['Rxf1', 'Qxc2'], ['Bxe5', 'Qc5'], ['Re1', 'Ng7'], ['Kh1', 'Nf5'], ['Rf3', 'd4'], ['h3', 'Qd5\n'], ['Rf2', 'h5'], ['Bh2', 'd3'], ['Rd2', 'Qc4'], ['Be5', 'a4'], ['Rb2', 'g5'], ['Bf6', 'Ng3+'], ['Kh2', 'Ne4\n'], ['Be5', 'd2']]",0-1
Hastings7778,Hastings,1977.??.??,1,"Hort, Vlastimil","Fedorowicz, John P",,,A59,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['bxa6', 'Bxa6'], ['Nc3', 'g6'], ['Nf3', 'd6'], ['e4', 'Bxf1\n'], ['Kxf1', 'Bg7'], ['g3', 'O-O'], ['Kg2', 'Nbd7'], ['Re1', 'Qa5'], ['Re2', 'Rfb8'], ['Rc2', 'Rb7'], ['Qe2', 'Ne8\n'], ['Bd2', 'Nc7'], ['Re1', 'Qa6'], ['Bc1', 'Qxe2'], ['Rexe2', 'Na6'], ['a3', 'Nc7'], ['h3', 'Kf8'], ['g4', 'Nb6\n'], ['Ng5', 'h6'], ['Nf3', 'Na4'], ['Nxa4', 'Rxa4'], ['Nd2', 'Nb5'], ['Rc4', 'Ra8'], ['Nf3', 'Nc7'], ['Rec2', 'Kg8\n'], ['b4', 'cxb4'], ['axb4', 'Nb5'], ['Rc8+', 'Rxc8'], ['Rxc8+', 'Kh7'], ['g5', 'h5'], ['Bd2', 'Nc7'], ['Kf1', 'Bb2\n'], ['Ne1', 'Bd4'], ['Ke2', 'Nb5'], ['Nc2', 'Bb6'], ['f4', 'Kg7'], ['Kd3', 'Bg1'], ['Bc1', 'Bh2'], ['Kc4', 'Na7\n'], ['Ra8', 'Bg1'], ['Bb2+', 'f6'], ['Bd4', '']]",1-0
Hastings7778,Hastings,1977.??.??,2,"Fedorowicz, John P","Nunn, John DM",,,B97,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'e6'], ['f4', 'Qb6'], ['Qd2', 'Qxb2\n'], ['Rb1', 'Qa3'], ['f5', 'Nc6'], ['fxe6', 'fxe6'], ['Nxc6', 'bxc6'], ['e5', 'dxe5'], ['Bxf6', 'gxf6'], ['Ne4', 'Be7\n'], ['Be2', 'h5'], ['Rb3', 'Qa4'], ['c4', 'f5'], ['Ng3', 'h4'], ['Nh5', 'Ra7'], ['Qc3', 'Qxa2'], ['Qxe5', 'Qxb3\n'], ['Qxh8+', 'Bf8'], ['Nf6+', 'Ke7'], ['Ng8+', 'Kd8'], ['Qf6+', 'Be7'], ['Nxe7', 'Qb4+'], ['Kf2', 'Qc5+\n'], ['Kf3', 'Rxe7'], ['Qxh4', 'e5'], ['g3', 'Kc7'], ['Rd1', 'Rd7'], ['Rxd7+', 'Bxd7'], ['Qh8', 'Qd4'], ['Qa8', 'f4\n'], ['Kg2', 'Qe3'], ['Bh5', 'e4']]",0-1
Hastings7778,Hastings,1977.??.??,3,"Mestel, A Jonathan","Fedorowicz, John P",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e5'], ['Ndb5', 'd6'], ['Nd5', 'Nxd5'], ['exd5', 'Ne7\n'], ['c4', 'Nf5'], ['Bd3', 'a6'], ['Qa4', 'Ke7'], ['Nc3', 'f6'], ['O-O', 'g6'], ['Ne4', 'Kf7'], ['f4', 'exf4'], ['Bxf4', 'Be7\n'], ['c5', 'dxc5'], ['d6', 'Bf8'], ['g4', 'b5'], ['Bxb5', 'Rb8'], ['Bc4+', 'Kg7'], ['gxf5', 'Bxf5'], ['Rae1', 'Rxb2\n'], ['Qxa6', '']]",1-0
