Midwest Masters-B,Chicago,1984.??.??,1,"Finegold, Benjamin","Schiller, Eric",,,D52,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['Bg5', 'Nbd7'], ['e3', 'c6'], ['Nf3', 'Qa5'], ['Qc2', 'Ne4'], ['Bh4', 'Bb4\n'], ['Rc1', 'Nb6'], ['cxd5', 'exd5'], ['Bd3', 'Bf5'], ['O-O', 'Bxc3'], ['bxc3', 'Qa4'], ['Qe2', 'Qa3'], ['Ng5', 'h6\n'], ['Nxe4', 'dxe4'], ['Bb1', 'O-O'], ['Qh5', 'Bg6'], ['Qg4', 'Rfe8'], ['c4', 'Re6'], ['Rfd1', 'Qa5'], ['Qe2', 'Bh5\n'], ['f3', 'Rae8'], ['Re1', 'Qa3'], ['Qc2', 'f5'], ['f4', 'Bf7'], ['Qb3', 'Qa6'], ['a3', 'Rg6'], ['Ba2', 'Na4\n'], ['Qc2', 'Nb6'], ['Qc3', 'Na4'], ['Qb4', 'b6'], ['Qd2', 'Rc8'], ['Bb3', 'b5'], ['Qb4', 'Rg4'], ['cxb5', 'cxb5\n'], ['Bxf7+', 'Kxf7'], ['Qb3+', 'Rc4'], ['Bg3', 'h5'], ['Re2', 'Kg6'], ['Rec2', 'Rxc2'], ['Rxc2', 'b4'], ['axb4', 'Kh7\n'], ['Ra2', 'h4'], ['Rxa4', 'Qg6'], ['Rxa7', 'hxg3'], ['h3', 'Qc6'], ['Ra1', 'Rg6'], ['b5', 'Qc7'], ['Qb2', 'Rb6\n'], ['Qe2', 'g6'], ['Qb2', 'Qd7'], ['Ra5', 'Qc7'], ['Qa3', 'Rb7'], ['Qa1', 'Qc2'], ['Qe1', 'Qd3'], ['Qxg3', 'Kg7\n'], ['Ra6', 'Qd1+'], ['Kh2', 'Qh5'], ['b6', 'Qe2'], ['Ra7', 'Rxa7'], ['bxa7', 'Qa6'], ['h4', 'Qxa7'], ['h5', '']]",1-0
Midwest Masters-B,Chicago,1984.??.??,2,"Zelkind, Eduard","Finegold, Benjamin",,,A14,"[['c4', 'e6'], ['Nf3', 'Nf6'], ['g3', 'd5'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['b3', 'a5'], ['Bb2', 'a4'], ['bxa4', 'c6\n'], ['Qb3', 'Nbd7'], ['Nc3', 'Nc5'], ['Qc2', 'Qa5'], ['Ng5', 'd4'], ['Nce4', 'Nfxe4'], ['Nxe4', 'e5'], ['Nxc5', 'Bxc5\n'], ['Qe4', 'Qxd2'], ['Bc1', 'Qc3'], ['Qxe5', 'Qxc4'], ['Bf4', '']]",1/2-1/2
Midwest Masters-B,Chicago,1984.??.??,3,"Finegold, Benjamin","Odendahl, Steven M",,,D52,"[['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'Nf6'], ['Bg5', 'Nbd7'], ['e3', 'c6'], ['Nf3', 'Qa5'], ['Nd2', 'dxc4'], ['Bxf6', 'Nxf6\n'], ['Nxc4', 'Qc7'], ['Rc1', 'Be7'], ['Be2', 'O-O'], ['O-O', 'Rd8'], ['Qb3', 'Bd7'], ['Bf3', 'Be8'], ['Rfd1', 'Rac8\n'], ['a4', 'Nd5'], ['Ne2', 'Nb4'], ['Nf4', 'g6'], ['Ne5', 'Bd6'], ['Ng4', 'Kg7'], ['d5', '']]",1/2-1/2
Midwest Masters-B,Chicago,1984.??.??,4,"Finegold, Benjamin","Martinovsky, Eugene",,,D80,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Bg5', 'Ne4'], ['Bh4', 'c5'], ['cxd5', 'Nxc3'], ['bxc3', 'Qxd5'], ['e3', 'cxd4\n'], ['Qxd4', 'Qxd4'], ['cxd4', 'e6'], ['Rb1', 'Be7'], ['Bg3', 'Nc6'], ['Bb5', 'Bd7'], ['Nf3', 'a6'], ['Bd3', 'Nb4\n'], ['Be4', 'f5'], ['Bxb7', 'Ra7'], ['a3', 'Rxb7'], ['axb4', 'Bxb4+'], ['Nd2', 'Bc6'], ['f3', 'Ke7'], ['Rb2', 'a5\n'], ['O-O', 'Bxd2'], ['Rxd2', 'Ra8'], ['Ra1', 'a4'], ['Rda2', 'Rb3'], ['e4', 'Rd3'], ['Bf2', 'fxe4'], ['fxe4', 'Bxe4\n'], ['Rxa4', 'Rxa4'], ['Bh4+', 'Kd6'], ['Rxa4', 'Rd2'], ['g4', 'Rg2+'], ['Kf1', 'Rxg4'], ['Bg3+', 'Kd5'], ['Kf2', 'Bf5\n'], ['Be5', 'h5'], ['Ra5+', 'Ke4'], ['Ra3', 'h4'], ['Rb3', 'Rg5'], ['Bf6', 'Rh5'], ['Rb7', 'Bh3'], ['Ke1', 'Kf3\n'], ['Rb2', 'Bf5'], ['Rf2+', 'Kg4'], ['Rd2', 'Be4'], ['Be5', 'Rh7'], ['Rf2', 'g5'], ['Re2', 'Bd5'], ['Re3', 'Rf7\n'], ['Rc3', 'Rb7'], ['Rc2', 'Rb3'], ['Kf2', 'Kh3'], ['Rd2', 'g4'], ['Kf1', 'g3'], ['hxg3', 'hxg3'], ['Rd1', 'Rb2\n'], ['Rc1', 'Bf3'], ['Re1', 'Rh2'], ['Bxg3', 'Kxg3']]",0-1
Midwest Masters-B,Chicago,1984.??.??,5,"Tomas Batet, Joan","Finegold, Benjamin",,,D35,"[['c4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['e3', 'Nbd7'], ['cxd5', 'exd5'], ['Bd3', 'O-O'], ['Qc2', 'Re8\n'], ['Nf3', 'Nf8'], ['O-O', 'h6'], ['Bxf6', 'Bxf6'], ['b4', '']]",1/2-1/2
Midwest Masters,Chicago,1985.??.??,1,"Finegold, Benjamin","Buzbuchi, Ionut",,,A31,"[['d4', 'Nf6'], ['c4', 'c5'], ['Nf3', 'cxd4'], ['Nxd4', 'e5'], ['Nb5', 'd5'], ['cxd5', 'Bc5'], ['e3', 'O-O'], ['N5c3', 'e4\n'], ['Be2', 'Qe7'], ['a3', 'Rd8'], ['b4', 'Bd6'], ['Bb2', 'Nbd7'], ['Nd2', 'Nb6'], ['Qb3', 'Nbxd5'], ['Nxd5', 'Nxd5\n'], ['Qxd5', 'Bxb4'], ['Qxd8+', 'Qxd8'], ['axb4', 'Bf5'], ['Nb3', 'Qe7'], ['Ba3', 'Qg5'], ['Kf1', 'h5'], ['h4', 'Qf6\n'], ['Nd4', 'Rd8'], ['Bb2', 'Bg4'], ['Bxg4', 'hxg4'], ['g3', 'Qd6'], ['Bc3', 'Qc7'], ['Rc1', 'Rxd4'], ['exd4', 'e3\n'], ['fxe3', 'Qxg3'], ['Ke2', 'Qf3+'], ['Kd3', 'Qf5+'], ['Kc4', 'Qe6+'], ['d5', 'b5+'], ['Kxb5', 'Qxd5+\n'], ['Ka6', 'Qd3+'], ['Kxa7', 'Qxe3+'], ['Ka6', 'Qe6+'], ['Ka5', 'Qa2+'], ['Kb6', 'Qe6+'], ['Kc5', 'Qe7+\n'], ['Kc4', 'Qe6+'], ['Kd4', 'f5'], ['b5', 'g3'], ['Rb1', 'Qe4+'], ['Kc5', 'Qe7+'], ['Kc4', 'Qe6+']]",1/2-1/2
Midwest Masters,Chicago,1985.??.??,2,"Bisguier, Arthur Bernard","Finegold, Benjamin",,,E43,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Nf3', 'b6'], ['e3', 'Bb7'], ['Bd3', 'Ne4'], ['O-O', 'f5'], ['Ne2', 'O-O\n'], ['b3', 'Ng5'], ['Nxg5', 'Qxg5'], ['e4', 'Qh4'], ['exf5', 'exf5'], ['Bb2', 'Bd6'], ['f4', 'Qg4'], ['Ng3', 'Bxf4\n'], ['Bxf5', 'Qg5'], ['Qd3', 'h5'], ['Bc1', '']]",1-0
Midwest Masters,Chicago,1985.??.??,3,"Finegold, Benjamin","Allen, Edward J",,,E61,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['Nf3', 'O-O'], ['Bg5', 'h6'], ['Bh4', 'd6'], ['e3', 'Nbd7'], ['Be2', 'g5\n'], ['Bg3', 'Nh5'], ['Qc2', 'e5'], ['dxe5', 'Nxg3'], ['hxg3', 'g4'], ['Nd4', 'Nxe5'], ['Nf5', 'Qg5'], ['Nxg7', 'Kxg7\n'], ['Nd5', 'Bf5'], ['Qc3', 'Rac8'], ['Rd1', 'Rfe8'], ['Rd4', 'h5'], ['Rh4', 'f6'], ['Nf4', 'Bg6'], ['Qb3', 'b6\n'], ['Qa4', 'a5'], ['Qb5', 'Bf7'], ['Qa4', '']]",1/2-1/2
Midwest Masters,Chicago,1985.??.??,4,"Holliman, B.","Finegold, Benjamin",,,A22,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['g3', 'd5'], ['cxd5', 'Nxd5'], ['Qb3', 'Nb6'], ['Bg2', 'Be6'], ['Qc2', 'Nc6'], ['Nf3', 'Be7\n'], ['O-O', 'O-O'], ['d3', 'f5'], ['h4', 'h6'], ['a3', 'a5'], ['Be3', 'Nd5'], ['Nxd5', 'Bxd5'], ['Bc5', 'f4'], ['e4', 'fxe3\n'], ['fxe3', 'Bxc5'], ['Qxc5', 'Qd6'], ['Rac1', 'a4'], ['d4', 'Ra5'], ['Qxd6', 'cxd6'], ['dxe5', 'dxe5'], ['Nd2', 'Bxg2\n'], ['Kxg2', 'Rb5'], ['Rc2', 'Rd8'], ['Ne4', 'Rd3'], ['Re1', 'Rbd5']]",1/2-1/2
Midwest Masters,Chicago,1985.??.??,5,"Finegold, Benjamin","Frumkin, Edward",,,A41,"[['d4', 'g6'], ['Nf3', 'Bg7'], ['Bf4', 'd6'], ['e4', 'c5'], ['c3', 'Bg4'], ['dxc5', 'dxc5'], ['Qxd8+', 'Kxd8'], ['Na3', 'Bxf3\n'], ['gxf3', 'Bh6'], ['O-O-O+', 'Ke8'], ['Bxh6', 'Nxh6'], ['Rd5', 'b6'], ['Bb5+', 'Kf8'], ['Rhd1', 'a6'], ['Rd8+', 'Kg7\n'], ['Rxh8', 'Kxh8'], ['Rd8+', 'Kg7'], ['Bc6', 'Nxc6'], ['Rxa8', 'Ne5'], ['Rxa6', 'Nxf3'], ['Rxb6', 'Nxh2\n'], ['Nc4', 'N6g4'], ['a4', 'h5'], ['a5', 'h4'], ['a6', 'Nf3'], ['a7', 'h3'], ['a8=Q', 'h2'], ['Rb8', 'h1=Q+\n'], ['Kc2', 'Nxf2'], ['Rg8+', 'Kf6'], ['e5+', 'Kg5'], ['Ne3', 'c4'], ['Rh8', 'Ne1+'], ['Kb1', 'Qg1'], ['Qa7', 'Ned3+\n'], ['Ka2', 'Ne4'], ['Qxe7+', 'f6'], ['exf6', 'Nxc3+'], ['bxc3', 'Qf2+'], ['Ka3', 'Qb2+'], ['Ka4', 'Qb3+\n'], ['Ka5', 'Qxc3+'], ['Ka6', 'Nb4+'], ['Kb5', '']]",1-0
