New York op,New York,1985.??.??,1,"Fishbein, Alexander","Byrne, Robert E",,,B92,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'e5'], ['Nb3', 'Be7'], ['O-O', 'O-O\n'], ['a4', 'Nc6'], ['f4', 'exf4'], ['Bxf4', 'Be6'], ['Kh1', 'd5'], ['exd5', 'Nxd5'], ['Nxd5', 'Qxd5'], ['Qxd5', 'Bxd5\n'], ['Rad1', 'Nb4'], ['Nd4', 'Rfe8'], ['c3', 'Nc6'], ['Nf5', 'Bb3'], ['Rd7', 'Bg5'], ['Bxg5', 'Rxe2'], ['Rxb7', 'Bxa4\n'], ['Nd6', 'f6'], ['Bh4', 'Ne5'], ['Nf5', 'Rxg2'], ['Ne7+', 'Kf8'], ['Kxg2', 'Re8'], ['Rb4', 'Bb5'], ['Nf5', 'Bxf1+\n'], ['Kxf1', 'h5'], ['Bg3', 'Nd3'], ['Rb7', 'g5'], ['c4', 'h4'], ['Bd6+', 'Kg8'], ['Re7', 'Rxe7'], ['Nxe7+', 'Kf7\n'], ['Ba3', 'Ke6'], ['Nc6', 'g4'], ['Nb4', 'Ne5'], ['c5', 'a5'], ['Nc2', 'Kd5'], ['Ke2', 'Ke4'], ['b4', 'axb4\n'], ['Nxb4', 'Ng6'], ['c6', 'g3'], ['hxg3', 'hxg3'], ['Nd3', 'g2'], ['Kf2', 'Kxd3'], ['c7', '']]",1-0
New York op,New York,1985.??.??,2,"Polgar, Zsuzsa","Fishbein, Alexander",,,E81,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Nge2', 'e5'], ['Bg5', 'c6'], ['Qd2', 'Nbd7\n'], ['d5', 'cxd5'], ['cxd5', 'Nc5'], ['Ng3', 'Qb6'], ['Be2', 'Bd7'], ['Be3', 'Ne8'], ['O-O', 'a5'], ['Kh1', 'a4\n'], ['Rab1', 'Qa5'], ['Rfc1', 'b5'], ['b4', 'axb3'], ['axb3', 'b4'], ['Nd1', 'Rc8'], ['Rc2', 'f5'], ['Ra2', 'Qb6\n'], ['exf5', 'gxf5'], ['f4', 'Nf6'], ['fxe5', 'dxe5'], ['Ra6', 'Qb8'], ['Bxc5', 'Rxc5'], ['Bc4', 'f4'], ['Nf1', 'e4\n'], ['Qf2', 'e3'], ['Ndxe3', 'fxe3'], ['Qxe3', 'Ng4'], ['Qg3', 'Qxg3'], ['Nxg3', 'Nf2+'], ['Kg1', 'Bd4'], ['Be2', 'Be3']]",0-1
New York op,New York,1985.??.??,4,"Dlugy, Maxim","Fishbein, Alexander",,,E86,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'e5'], ['Nge2', 'c6'], ['Qd2', 'Nbd7\n'], ['d5', 'cxd5'], ['Nxd5', 'Nxd5'], ['Qxd5', 'Qc7'], ['Nc3', 'Nb6'], ['Qd2', 'Be6'], ['b3', 'Rad8'], ['Rc1', 'f5\n'], ['Bd3', 'Qd7'], ['O-O', 'f4'], ['Bf2', 'g5'], ['Be2', 'h5'], ['Rfd1', 'Qe7'], ['Nd5', 'Nxd5'], ['cxd5', 'Bc8\n'], ['Bxa7', 'g4'], ['Bb6', 'Rde8'], ['Rc7', 'Qh4'], ['Rdc1', 'Bf6'], ['Bb5', 'Rd8'], ['R7c2', 'gxf3'], ['gxf3', 'Bh3\n'], ['Bxd8', 'Bxd8'], ['Qf2', 'Qxf2+'], ['Kxf2', 'Bb6+'], ['Ke1', 'Be3'], ['Bf1', 'Bd7'], ['Rg2+', 'Kh8\n'], ['Rc7', 'Rd8'], ['Rxb7', 'h4'], ['Rg6', 'Bc8'], ['Rh6+', 'Kg8'], ['Rbh7', '']]",1-0
New York op,New York,1985.??.??,6,"Cramling, Pia","Fishbein, Alexander",,,C82,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['Nbd2', 'Nc5'], ['c3', 'Be7'], ['Bc2', 'Bg4'], ['Re1', 'O-O'], ['Nb3', 'Ne6'], ['Qd3', 'g6'], ['Bh6', 'Re8\n'], ['Nfd4', 'Nexd4'], ['Nxd4', 'Qd7'], ['Qg3', 'Nxd4'], ['cxd4', 'Rac8'], ['a4', 'c5'], ['axb5', 'axb5\n'], ['Ra6', 'Be6'], ['f4', 'cxd4'], ['Bd3', 'Bb4'], ['Rf1', 'Bf5'], ['Rf6', 'Bxd3'], ['Qxd3', 'Be7'], ['e6', 'Qxe6\n'], ['Rxe6', '']]",1-0
New York op,New York,1986.??.??,?,"Fishbein, Alexander","Shamkovich, Leonid",,,B84,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['a4', 'e6'], ['Be2', 'Qc7'], ['O-O', 'b6\n'], ['f4', 'Nbd7'], ['Bf3', 'Bb7'], ['Kh1', 'Rc8'], ['Nb3', 'Be7'], ['Be3', 'O-O'], ['Rf2', 'Qb8'], ['Rd2', 'Qa8\n'], ['Rd4', 'Rfd8'], ['Qe2', 'Nc5'], ['Bf2', 'd5'], ['exd5', 'Nxb3'], ['cxb3', 'Bc5'], ['Rd2', 'exd5'], ['Bd4', 'Ne4\n'], ['Bxe4', 'dxe4'], ['Bxc5', 'bxc5'], ['Rad1', 'Rxd2'], ['Qxd2', 'e3'], ['Qxe3', 'Bxg2+'], ['Kg1', 'h6\n'], ['Re1', 'Bc6'], ['Qxc5', 'Bxa4'], ['Qb4', 'Qa7+'], ['Kf1', 'Bd7'], ['Qe4', 'Bh3+'], ['Ke2', 'Qb8'], ['Kd2', 'Qxb3\n'], ['Qc2', 'Qb6'], ['Kc1', 'g6'], ['Qd2', 'Bf5'], ['Re5', 'Qb3'], ['Qe2', 'Qa4'], ['Kd2', 'Qa1']]",0-1
USA-chJ,?,1986.??.??,?,"Fishbein, Alexander","Burnett, Ronald",,,B83,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'Be7'], ['O-O', 'O-O'], ['f4', 'Nc6\n'], ['Kh1', 'e5'], ['Nb3', 'a5'], ['a4', 'Bd7'], ['Bf3', 'exf4'], ['Bxf4', 'Ne5'], ['Nd4', 'Qb6'], ['Ndb5', 'Bc6\n'], ['Qe2', 'Qc5'], ['Rad1', 'Qb4'], ['b3', 'Rac8'], ['Be3', 'Bxb5'], ['Nxb5', 'Nc6'], ['Bf2', 'Nd7'], ['Rd5', 'Nf6\n'], ['Be1', 'Nxd5'], ['exd5', 'Qc5'], ['Bf2', 'Qb4'], ['dxc6', 'bxc6'], ['Na7', 'Rce8'], ['Bxc6', '']]",1-0
USA-chJ,?,1986.??.??,?,"Fishbein, Alexander","Gurevich, Ilya",,,C76,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'g6'], ['c3', 'a6'], ['Ba4', 'd6'], ['O-O', 'Bg7'], ['d4', 'Bd7'], ['Be3', 'Nf6\n'], ['Nbd2', 'O-O'], ['h3', 'exd4'], ['cxd4', 'Re8'], ['d5', 'Ne5'], ['Nxe5', 'Rxe5'], ['Bc2', 'Re7'], ['Bg5', 'h6\n'], ['Bh4', 'c6'], ['dxc6', 'Bxc6'], ['Re1', 'g5'], ['Bg3', 'd5'], ['e5', 'Nd7'], ['Nf3', 'Qe8'], ['Qd3', 'Nf8\n'], ['Nd4', 'Bd7'], ['Nf5', 'Bxf5'], ['Qxf5', 'Qd7'], ['Qf3', 'Rae8'], ['Bf5', 'Qb5'], ['Qc3', 'd4'], ['Qxd4', 'Bxe5\n'], ['Bxe5', 'Rxe5'], ['Rxe5', 'Qxe5'], ['Qxe5', 'Rxe5'], ['Bc8', 'Re7'], ['Rc1', 'Ne6'], ['Rc4', 'Kf8'], ['Rb4', 'Nc5\n'], ['Rb6', 'Rc7'], ['Bf5', 'Kg7'], ['Kf1', 'Na4'], ['Rb4', 'b5'], ['Ke2', 'Rc1'], ['a3', '']]",1/2-1/2
USA-chJ,?,1986.??.??,?,"Finegold, Benjamin","Fishbein, Alexander",,,E61,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'd6'], ['Bf4', 'O-O'], ['e3', 'Nbd7'], ['Be2', 'c6'], ['O-O', 'Qa5\n'], ['a3', 'e5'], ['b4', 'Qc7'], ['Bg3', 'Nh5'], ['Bh4', 'f5'], ['Qb3', 'Kh8'], ['c5', 'dxc5'], ['bxc5', 'exd4\n'], ['exd4', 'Ndf6'], ['Ne5', 'Ng4'], ['Bxg4', 'fxg4'], ['Rae1', 'Nf4'], ['Bg3', 'Be6'], ['Nxg6+', 'hxg6\n'], ['Rxe6', 'Qf7'], ['Bxf4', 'Qxf4'], ['Re4', 'Qf5'], ['h3', 'Qf7'], ['Qxf7', 'Rxf7'], ['Rxg4', 'Rd8'], ['Rd1', 'Rfd7\n'], ['Ne2', 'Kh7'], ['Kf1', 'b6'], ['cxb6', 'axb6'], ['Nf4', 'Rxd4'], ['Rxd4', 'Rxd4'], ['Rh4+', 'Bh6'], ['Nxg6', 'Rd1+\n'], ['Ke2', 'Rd2+'], ['Ke1', 'Ra2'], ['Ne5', 'Ra1+'], ['Ke2', 'Ra2+'], ['Kd1', 'Kg7'], ['Rg4+', 'Kf6'], ['Nd7+', 'Kf5\n'], ['Nxb6', 'Rxa3'], ['Nc4', 'Ra2'], ['Ke1', 'Bf8'], ['g3', 'Bh6'], ['Kf1', 'Rc2'], ['Nd6+', 'Kf6'], ['Rc4', 'Rxc4\n'], ['Nxc4', 'Kf5'], ['f3', 'Bg7'], ['Ke2', 'Bd4'], ['Kd3', 'Bf2'], ['Nd6+', 'Ke5'], ['Ne4', 'Be1'], ['Kc4', '']]",1-0
USA-chJ,?,1986.??.??,?,"Fishbein, Alexander","Lief, Adam",,,B06,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nf3', 'd6'], ['Nc3', 'Nd7'], ['Be3', 'e5'], ['Bc4', 'Ngf6'], ['h3', 'exd4'], ['Nxd4', 'O-O\n'], ['O-O', 'Re8'], ['Nf3', 'Nf8'], ['Re1', 'Be6'], ['Bxe6', 'Nxe6'], ['Ng5', 'h6'], ['Nxe6', 'Rxe6'], ['Qd3', 'Qe8\n'], ['Nd5', 'Qd7'], ['Bd4', 'Rae8'], ['Bxf6', 'Bxf6'], ['Nxf6+', 'Rxf6'], ['Qd4', 'Rfe6'], ['Re3', 'a6'], ['Rae1', 'Qe7\n'], ['Qb4', 'b6'], ['Qc4', 'a5'], ['Rc3', 'Rc8'], ['f3', 'Re5'], ['Rd1', 'Kh7'], ['Rd5', 'h5'], ['Qc6', 'h4'], ['Rxe5', 'dxe5\n'], ['Qb7', 'Qg5'], ['f4', 'Qd8'], ['Rd3', 'Qf8'], ['fxe5', 'Qc5+'], ['Kh1', 'Qxc2'], ['Qxc8', 'Qxd3'], ['Qxc7', 'Qf1+\n'], ['Kh2', 'Qf4+'], ['Kh1', 'Qf1+'], ['Kh2', 'Qf4+'], ['Kh1', '']]",1/2-1/2
USA-chJ,?,1986.??.??,?,"Fishbein, Alexander","Litvinchuk, John",,,B58,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'e5'], ['Nf3', 'h6'], ['O-O', 'Be7\n'], ['Re1', 'O-O'], ['h3', 'Be6'], ['Bf1', 'Qa5'], ['Bd2', 'Qb6'], ['b3', 'Nd4'], ['Na4', 'Qc6'], ['Nxd4', 'exd4\n'], ['Bd3', 'd5'], ['e5', 'Ne4'], ['Bf4', 'b5'], ['Nb2', 'Bb4'], ['Rf1', 'Bc3'], ['Rb1', 'f6'], ['Qe2', 'fxe5\n'], ['Bxe5', 'Nd2'], ['Qh5', 'Qe8'], ['Qxe8', 'Rfxe8'], ['Bxb5', 'Re7'], ['Na4', 'Nxb1'], ['Rxb1', 'Bf5\n'], ['Nxc3', 'Rxe5'], ['f4', 'Re6'], ['Nxd5', 'Bxc2'], ['Rf1', 'Rd6'], ['Bc4', 'Kh8'], ['Rf2', 'Be4'], ['Nc7', 'Rad8\n'], ['Rd2', 'Bf5'], ['Kf2', 'R6d7'], ['Na6', 'Re7'], ['Nb4', 'Rd6'], ['Nd5', 'Red7'], ['Nb4', 'a5'], ['Nd3', 'Bxd3\n'], ['Rxd3', 'Re7'], ['g3', 'Kh7'], ['Rd2', 'Kg6'], ['Rd3', 'Kf6'], ['Rd2', 'Re3'], ['Rxd4', 'Rxd4'], ['Kxe3', 'Rd1\n'], ['Kf3', 'Rc1'], ['a4', 'Rc3+'], ['Kg4', 'Re3'], ['Bd5', 'Ke7'], ['Bc4', 'Kd6'], ['Kh4', '']]",1/2-1/2
