URS-chT,Moscow,1959.??.??,?,"Gaprindashvili, Nona","Bishard, Ekaterina",,,C49,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Nc3', 'Nf6'], ['Bb5', 'Bb4'], ['O-O', 'O-O'], ['Bxc6', 'dxc6'], ['d3', 'Re8'], ['Ne2', 'Nh5\n'], ['h3', 'Bd6'], ['Bg5', 'f6'], ['Be3', 'c5'], ['Qd2', 'g6'], ['Nh2', 'Be6'], ['f4', 'exf4'], ['Nxf4', 'Nxf4\n'], ['Bxf4', 'f5'], ['Nf3', 'Qd7'], ['Kh1', 'fxe4'], ['dxe4', 'Bxf4'], ['Qxf4', 'Rf8'], ['Qg3', 'Rae8'], ['Rfe1', 'Qd6\n'], ['Kh2', 'Qxg3+'], ['Kxg3', 'Rf7'], ['a3', 'Kg7'], ['Rad1', 'h6'], ['Kf2', 'Ref8'], ['Re3', 'Re7'], ['g4', 'Ref7\n'], ['Kg3', 'Re7'], ['Ree1', 'Rfe8'], ['Kf4', 'Rf8+'], ['Kg3', 'Rfe8'], ['g5', 'hxg5'], ['Nxg5', '']]",1/2-1/2
URS-chT,Moscow,1959.??.??,?,Kolotij,"Gaprindashvili, Nona",,,B01,"[['e4', 'd5'], ['exd5', 'Nf6'], ['d4', 'Nxd5'], ['c4', 'Nb6'], ['Nc3', 'g6'], ['Be3', 'Bg7'], ['Nf3', 'O-O'], ['Be2', 'Nc6\n'], ['Qb3', 'Nxd4'], ['Nxd4', 'Bxd4'], ['Rd1', 'e5'], ['c5', 'Be6'], ['Qc2', 'Nd7'], ['Bxd4', 'exd4'], ['Rxd4', 'Qf6\n'], ['Rd2', 'Nxc5'], ['O-O', 'c6'], ['b4', 'Nd7'], ['Ne4', 'Qe7'], ['Qc3', 'Bd5'], ['Ng3', 'Qf6'], ['Qc2', 'Rad8\n'], ['f4', 'Qe7'], ['Qc3', 'f5'], ['Rfd1', 'Rfe8'], ['Bc4', 'Nb6'], ['Bb3', 'Qe3+'], ['Qxe3', 'Rxe3'], ['b5', 'Rde8\n'], ['bxc6', 'bxc6'], ['Bxd5+', 'Nxd5'], ['Rd4', 'Re1+'], ['Rxe1', 'Rxe1+'], ['Kf2', 'Rc1'], ['Ra4', 'Nc3\n'], ['Rxa7', 'Rc2+'], ['Kf3', 'Nxa2'], ['Ne2', 'c5'], ['g3', 'Nc3'], ['Nxc3', 'Rxc3+'], ['Kf2', 'Rc2+'], ['Kg1', 'c4\n'], ['Rc7', 'c3'], ['h3', 'Rc1+'], ['Kg2', 'c2'], ['g4', 'fxg4'], ['hxg4', 'h5'], ['gxh5', 'gxh5'], ['f5', 'Kf8\n'], ['Kh2', 'h4'], ['f6', 'h3'], ['Rc3', 'Kf7'], ['Rc6', 'Kg6'], ['Rc3', 'Kxf6'], ['Rc6+', 'Ke5'], ['Rc5+', 'Ke4\n'], ['Rc4+', 'Kd3'], ['Rc8', 'Rd1']]",0-1
URS-chT,Moscow,1959.??.??,?,"Gaprindashvili, Nona",Khuberashvili,,,B67,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['O-O-O', 'Bd7\n'], ['f4', 'b5'], ['Bxb5', 'axb5'], ['Ndxb5', 'Nb4'], ['a3', 'Bxb5'], ['Nxb5', 'd5'], ['e5', 'Qa5'], ['Nc3', 'Nc6\n'], ['exf6', 'Bxa3'], ['Nb1', 'Bxb2+'], ['Kxb2', 'Rb8+'], ['Kc1', 'Qa1'], ['Qc3', 'Rxb1+'], ['Kd2', 'Rxd1+\n'], ['Rxd1', 'Qxc3+'], ['Kxc3', 'gxf6'], ['Bxf6', 'Rg8'], ['g3', 'Kd7'], ['Rb1', 'Rb8'], ['Ra1', 'Rb5'], ['Kd2', 'Ra5\n'], ['Rb1', 'Kd6'], ['Kd3', 'Ra3+'], ['Rb3', 'Ra6'], ['Rb7', 'Ra3+'], ['Kd2', 'Ra7'], ['Be7+', 'Nxe7'], ['Rxa7', 'f6\n'], ['g4', 'h6'], ['Ke3', 'f5'], ['h3', 'Ng8'], ['Rg7', 'Nf6'], ['gxf5', 'exf5'], ['Rg6', '']]",1-0
URS-chT,Moscow,1959.??.??,?,"Gaprindashvili, Nona",Goikhenberg,,,B28,"[['e4', 'c5'], ['Nf3', 'a6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e5'], ['Nde2', 'Bb4'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6\n'], ['Qd3', 'Bc5'], ['f3', 'Qb6'], ['O-O-O', 'Nc6'], ['Nd5', 'Nb4'], ['Nxb4', 'Qxb4'], ['g4', 'd6'], ['Kb1', 'Be6\n'], ['Nc1', 'b5'], ['h4', 'Rc8'], ['c3', 'Qa4'], ['Be2', 'Rc6'], ['Qd2', 'b4'], ['c4', 'Bd4'], ['f4', 'f6'], ['f5', 'Bf7\n'], ['g5', 'Ke7'], ['g6', 'Bg8'], ['b3', 'Qa3'], ['Rh3', 'Bxc4'], ['Bxc4', 'Rxc4'], ['Rd3', 'Bc3'], ['bxc4', 'Bxd2\n'], ['Rxa3', 'bxa3'], ['Rxd2', 'Rc8'], ['Rc2', 'Rb8+'], ['Ka1', 'Kd7'], ['Ne2', 'Rb4'], ['Ng3', 'Kc6'], ['Nh5', 'Rb7\n'], ['Rc3', '']]",1-0
URS-chT,Moscow,1959.??.??,?,"Rozlafra, Vija","Gaprindashvili, Nona",,,B07,"[['e4', 'd6'], ['d4', 'g6'], ['Nc3', 'Bg7'], ['Be3', 'Nf6'], ['f3', 'c6'], ['Qd2', 'b5'], ['a3', 'a6'], ['Nge2', 'Nbd7\n'], ['Ng3', 'h5'], ['h4', 'Qc7'], ['f4', 'Ng4'], ['f5', 'Nxe3'], ['Qxe3', 'Bh6'], ['Qf3', 'Bb7'], ['Nd1', 'c5\n'], ['d5', 'Ne5'], ['Qc3', 'Qb6'], ['Nf2', 'c4'], ['Nh3', 'Be3'], ['Rd1', 'Rg8'], ['fxg6', 'fxg6'], ['Be2', 'a5\n'], ['Nf1', 'Bh6'], ['Qg3', 'Bc8'], ['Bxh5', 'Bxh3'], ['Rxh3', 'Kd7'], ['Bg4+', 'Kc7'], ['Bf3', 'b4'], ['Qf2', 'Qxf2+\n'], ['Kxf2', 'bxa3'], ['bxa3', 'Rab8'], ['Be2', 'Kb6'], ['Rc3', 'Kc5'], ['Ne3', 'Rgf8+'], ['Kg1', 'Bxe3+\n'], ['Rxe3', 'Rb2'], ['Rd2', 'Rb1+'], ['Rd1', 'Rxd1+'], ['Bxd1', 'Kd4'], ['Re1', 'Kc3'], ['Re2', 'Kb2'], ['c3+', 'Kxc3\n'], ['Bc2', 'Rb8']]",0-1
URS-chT,Moscow,1959.??.??,?,"Bilunova, Rimma I","Gaprindashvili, Nona",,,B48,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Nc3', 'Qc7'], ['a3', 'Nf6'], ['Be2', 'Nc6'], ['Be3', 'b5\n'], ['f4', 'b4'], ['axb4', 'Bxb4'], ['Bf3', 'Bxc3+'], ['bxc3', 'Ne7'], ['Nb5', 'axb5'], ['Rxa8', 'Qxc3+'], ['Qd2', 'Qc6\n'], ['e5', 'Ne4'], ['Bxe4', 'Qxe4'], ['Rb8', 'O-O'], ['Kf2', 'Nc6'], ['Rxb5', 'Ba6'], ['Rb6', 'Bc4'], ['Re1', 'Bd5\n'], ['Kg1', 'Ra8'], ['Rb2', 'h6'], ['Bb6', 'Qg6'], ['c4', 'Bxc4'], ['Qxd7', 'Bd5'], ['Rd2', 'Be4'], ['Rc1', 'Kh7\n'], ['g3', 'Nb4'], ['Qd4', 'Nd5'], ['Rf1', 'h5'], ['Bc5', 'h4'], ['Kf2', 'Rb8'], ['Re1', 'Bf5'], ['Rb2', 'Rd8\n'], ['Bd6', 'Rc8'], ['Rg1', 'Bh3'], ['Re1', 'Rc3'], ['Rg1', 'Rd3'], ['Qc5', 'Qe4'], ['Re2', 'Qf3+'], ['Ke1', 'Nc3']]",0-1
Wch (Women),Moscow,1962.??.??,1,"Bykova, Elisaveta I","Gaprindashvili, Nona",,,B08,"[['d4', 'Nf6'], ['Nc3', 'g6'], ['e4', 'd6'], ['Nf3', 'Bg7'], ['Bc4', 'O-O'], ['O-O', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'Nc6\n'], ['Be3', 'e5'], ['dxe5', 'Nxe5'], ['Qe2', 'Nxe4'], ['Nxe4', 'Nxc4'], ['Qxc4', 'd5'], ['Qb4', 'dxe4'], ['Qxe4', 'b6\n'], ['Rad1', 'Qe8'], ['Qxe8', 'Rfxe8'], ['b3', 'Be5'], ['Rd3', 'Bd6'], ['Rfd1', 'Re6'], ['Bh6', 'Re2'], ['R3d2', 'Re6\n'], ['Kf1', 'Rae8'], ['c3', 'f6'], ['Be3', 'f5'], ['Rd3', 'Kf7'], ['Bd2', 'Kf6'], ['Re1', 'Rxe1+'], ['Bxe1', 'g5\n'], ['Bd2', 'h5'], ['c4', 'g4'], ['Bc3+', 'Kg6'], ['hxg4', 'hxg4'], ['Rd5', 'a5'], ['Bd4', 'Bb4'], ['Be3', 'f4\n'], ['Bd2', 'c6'], ['Rd3', 'Bxd2'], ['Rxd2', 'Re6'], ['Rd4', 'Kf5'], ['f3', 'g3'], ['Rd8', 'b5'], ['cxb5', 'cxb5\n'], ['Ra8', 'Rc6'], ['Rxa5', 'Rc2'], ['Rxb5+', 'Kf6'], ['a4', 'Rf2+'], ['Kg1', 'Rb2'], ['Kf1', 'Rf2+'], ['Kg1', 'Rb2\n'], ['Kf1', 'Rf2+'], ['Kg1', 'Rb2']]",1/2-1/2
Wch (Women),Moscow,1962.??.??,2,"Gaprindashvili, Nona","Bykova, Elisaveta I",,,B34,"[['e4', 'c5'], ['Nf3', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'Bg7'], ['Nxc6', 'bxc6'], ['Bc4', 'e6'], ['O-O', 'Ne7\n'], ['Qd6', 'Bb7'], ['Bg5', 'h6'], ['Bf4', 'Nc8'], ['Qd2', 'd5'], ['exd5', 'cxd5'], ['Bb5+', 'Kf8'], ['Na4', 'Kg8\n'], ['Rfe1', 'Nd6'], ['Bd3', 'Bc6'], ['Nc5', 'Nc4'], ['Qe2', 'Qf6'], ['Qg4', 'e5'], ['Bxc4', 'Qxf4'], ['Qxf4', 'exf4\n'], ['Ba6', 'Bxb2'], ['Rab1', 'Ba3'], ['Nd3', 'Bd6'], ['Nb4', 'Bxb4'], ['Rxb4', 'g5'], ['Re7', 'Kg7'], ['Rc7', 'Be8\n'], ['Kf1', 'Kf6'], ['Ke2', 'Ke5'], ['Rbb7', 'f6'], ['Kd2', 'Bg6'], ['Re7+', 'Kd6'], ['Rbd7+', 'Kc5'], ['Re6', 'Bf5\n'], ['Rc7+', 'Kb4'], ['Rxf6', 'Raf8'], ['Rfc6', 'Rb8'], ['Rxa7', 'g4'], ['a3+', 'Kxa3']]",1-0
Wch (Women),Moscow,1962.??.??,3,"Bykova, Elisaveta I","Gaprindashvili, Nona",,,D01,"[['d4', 'Nf6'], ['Nc3', 'd5'], ['Bg5', 'Bf5'], ['Bxf6', 'gxf6'], ['e3', 'c6'], ['Bd3', 'Bg6'], ['f4', 'Bxd3'], ['Qxd3', 'e6\n'], ['e4', 'dxe4'], ['Nxe4', 'f5'], ['Nc3', 'Nd7'], ['Nf3', 'Qc7'], ['g3', 'O-O-O'], ['O-O-O', 'Be7'], ['Qe2', 'Bf6\n'], ['Rd3', 'Nb6'], ['Rhd1', 'Kb8'], ['Ne5', 'h5'], ['h4', 'Rdg8'], ['Qe1', 'Nc8'], ['Na4', 'Nd6'], ['Nc5', 'Bd8\n'], ['Rb3', 'Ka8'], ['Qh1', 'Qc8'], ['Qe1', 'b6'], ['Na4', 'f6'], ['Nd3', 'Ne4'], ['Nb4', 'Be7'], ['a3', 'Rh7\n'], ['Re3', 'Rhg7'], ['Rdd3', 'Qc7'], ['Nc3', 'Nxg3'], ['Rxe6', 'Ne4'], ['Qe3', 'Rg3'], ['Rxc6', 'Qd7'], ['Qf3', 'Rxf3\n'], ['Rxf3', 'Bxb4']]",0-1
Wch (Women),Moscow,1962.??.??,4,"Gaprindashvili, Nona","Bykova, Elisaveta I",,,B34,"[['e4', 'c5'], ['Nf3', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'Bg7'], ['Nxc6', 'bxc6'], ['Bc4', 'Qa5'], ['Qf3', 'Nf6\n'], ['O-O', 'O-O'], ['Rb1', 'd6'], ['b4', 'Qh5'], ['Qxh5', 'Nxh5'], ['Bd2', 'Bd7'], ['a4', 'Nf6'], ['Rfe1', 'Ng4\n'], ['Ne2', 'Ne5'], ['Bb3', 'Bg4'], ['Be3', 'Bxe2'], ['Rxe2', 'Ng4'], ['Bg5', 'Nf6'], ['e5', 'dxe5'], ['Rxe5', 'e6\n'], ['Ra5', 'Ne4'], ['Be3', 'Bc3'], ['Rxa7', 'Rxa7'], ['Bxa7', 'Nd2'], ['Rd1', 'Bxb4'], ['Bb6', 'Rb8'], ['a5', 'Nxb3\n'], ['cxb3', 'Ra8'], ['Ra1', 'Ra6'], ['Kf1', 'Kf8'], ['Ke2', 'Ke7'], ['Kd3', 'Kd7'], ['Kc4', 'Be7'], ['b4', 'Kc8\n'], ['b5', 'cxb5+'], ['Kxb5', 'Ra8'], ['Rd1', 'Bf6'], ['a6', 'Bg5'], ['Rd3', 'Bf6'], ['Rf3', 'Bd8']]",1-0
