URS-ch sf,Sverdlovsk,1947.??.??,?,"Geller, Efim P","Ilivitzki, Georgi A",,,B62,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'e6'], ['Be2', 'a6'], ['O-O', 'Be7\n'], ['Qd3', 'O-O'], ['Rad1', 'Qb6'], ['Nxc6', 'bxc6'], ['Qg3', 'Ra7'], ['Rd3', 'Rd7'], ['Qh4', 'Re8'], ['Rg3', 'Qd8\n'], ['f4', 'd5'], ['e5', 'Ne4'], ['Nxe4', 'dxe4'], ['Bf6', 'Bxf6'], ['exf6', 'g6'], ['Rb3', 'h6'], ['g4', 'Rd2\n'], ['g5', 'Qd4+'], ['Kh1', 'h5'], ['Bxh5', 'e3'], ['Bf3', '']]",1-0
URS-ch sf,Sverdlovsk,1947.??.??,?,"Geller, Efim P","Saigin, Vladimir",,,B62,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'e6'], ['Be2', 'a6'], ['O-O', 'Be7\n'], ['Qd3', 'h6'], ['Be3', 'Ne5'], ['Qd1', 'Qc7'], ['f4', 'Nc4'], ['Bxc4', 'Qxc4'], ['e5', 'Nd5'], ['Nxd5', 'Qxd5\n'], ['Nf5', 'Qxd1'], ['Nxg7+', 'Kf8'], ['Raxd1', 'dxe5'], ['Nh5', 'exf4'], ['Nxf4', 'Ke8'], ['Nd3', 'f6\n'], ['Nf4', 'Kf7'], ['Rd2', 'b5'], ['Nh5', 'Kg6'], ['Nf4+', 'Kh7'], ['Rf3', 'Rd8'], ['Rxd8', 'Bxd8'], ['Nh5', 'Kg6\n'], ['Nf4+', 'Kf7'], ['Nd3', 'Bb7'], ['Rh3', 'Be4'], ['Bxh6', 'e5'], ['Ne1', 'Ba5'], ['c3', 'Rh8'], ['Rh4', 'Bd5\n'], ['a3', 'Bb6+'], ['Kh1', 'Bf2']]",0-1
URS-ch sf,Sverdlovsk,1947.??.??,?,"Geller, Efim P","Dubinin, Peter Vasilievich",,,C79,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'd6'], ['c3', 'Be7'], ['d4', 'b5'], ['Bc2', 'Bg4\n'], ['d5', 'Nb8'], ['a4', 'bxa4'], ['Bxa4+', 'Nbd7'], ['Qd3', 'O-O'], ['b4', 'Nb8'], ['Nbd2', 'c6'], ['dxc6', 'Qc7\n'], ['h3', 'Be6'], ['Ng5', 'Bc8'], ['Qc4', 'h6'], ['Nxf7', 'Rxf7'], ['Bb3', 'd5'], ['exd5', 'Bd6'], ['Qe2', 'Bf5\n'], ['Ba3', 'Kh8'], ['b5', 'Ne8'], ['Nc4', 'Bxa3'], ['b6', 'Qe7'], ['Rxa3', 'Qc5'], ['Qe3', 'Qxe3'], ['fxe3', 'Rf6\n'], ['g4', 'Bc8'], ['Rxf6', 'gxf6'], ['Ba4', '']]",1-0
URS-ch sf,Sverdlovsk,1947.??.??,?,"Furman, Semen Abramovich","Geller, Efim P",,,D46,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'c6'], ['e3', 'e6'], ['Bd3', 'Nbd7'], ['Nbd2', 'Bd6'], ['e4', 'dxe4'], ['Nxe4', 'Nxe4\n'], ['Bxe4', 'O-O'], ['O-O', 'h6'], ['Bd2', 'e5'], ['dxe5', 'Nxe5'], ['Bc3', 'Qf6'], ['Nd2', 'Qh4'], ['g3', 'Qg4\n'], ['c5', 'Bc7'], ['f4', 'Ng6'], ['Nc4', 'Re8'], ['Bf3', 'Qf5'], ['Qd4', 'f6'], ['Rad1', 'Rd8'], ['Qe3', 'Qe6\n'], ['Rxd8+', 'Bxd8'], ['Qd4', 'Be7'], ['Re1', 'Qf7'], ['Bh5', 'Qf8'], ['Nd6', 'Bxd6'], ['cxd6', 'Bf5'], ['g4', 'Bc2\n'], ['d7', 'Rd8'], ['Re8', 'Rxe8'], ['dxe8=Q', 'Qxe8'], ['f5', 'Qe2'], ['Bxg6', '']]",1-0
URS-ch sf,Sverdlovsk,1947.??.??,?,"Geller, Efim P","Koblencs, Aleksandrs",,,D44,"[['Nf3', 'd5'], ['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'c6'], ['Bg5', 'dxc4'], ['e4', 'b5'], ['e5', 'h6'], ['Bxf6', 'gxf6\n'], ['a4', 'Bb4'], ['exf6', 'Qxf6'], ['Ne5', 'Bb7'], ['Be2', 'c5'], ['O-O', 'O-O'], ['Nxb5', 'cxd4'], ['Qxd4', 'Rd8\n'], ['Qg4+', 'Kh7'], ['Qh5', 'Nc6'], ['f4', 'Nd4'], ['Nxd4', 'Rxd4'], ['Nxf7', 'Rg8'], ['Ng5+', 'Kg7'], ['Nf3', 'Rxf4\n'], ['Qb5', 'Bxf3'], ['Bxf3', 'Qxb2'], ['Qd7+', 'Rf7'], ['Qxe6', 'Qd4+'], ['Kh1', 'Rgf8'], ['Rad1', 'Bd2\n'], ['Be2', 'c3'], ['Rxf7+', 'Rxf7'], ['Bh5', 'Qd7']]",1/2-1/2
URS-ch17,Moscow,1949.??.??,?,"Petrosian, Tigran V","Geller, Efim P",,,E94,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'O-O'], ['e4', 'd6'], ['Be2', 'e5'], ['d5', 'Nbd7'], ['O-O', 'Nc5\n'], ['Nd2', 'a5'], ['Qc2', 'Bh6'], ['Nb3', 'Bxc1'], ['Nxc5', 'Bh6'], ['Nd3', 'Nd7'], ['a3', 'f5'], ['b4', 'Nf6\n'], ['Nb2', 'fxe4'], ['c5', 'axb4'], ['axb4', 'Rxa1'], ['Rxa1', 'Bf5'], ['Qb3', 'e3'], ['f3', 'e4'], ['Nc4', 'exf3\n'], ['Bxf3', 'Ng4'], ['g3', 'Qf6'], ['Bg2', 'Bd3'], ['h3', 'Qf2+'], ['Kh1', 'Qxg3']]",0-1
URS-ch17,Moscow,1949.??.??,?,"Lilienthal, Andor","Geller, Efim P",,,E92,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['Nf3', 'O-O'], ['e4', 'd6'], ['Be2', 'e5'], ['d5', 'Nh5'], ['g3', 'c6'], ['Bg5', 'Qc7\n'], ['Qd2', 'Nf6'], ['h3', 'Nbd7'], ['O-O-O', 'cxd5'], ['exd5', 'a6'], ['g4', 'b5'], ['Qc2', 'bxc4'], ['Nd2', 'Bb7\n'], ['Nxc4', 'Rfc8'], ['Be3', 'Nc5'], ['g5', 'Nfd7'], ['b4', 'Ne6'], ['dxe6', 'fxe6'], ['Ne4', 'Bxe4'], ['Qxe4', 'd5\n'], ['Qg4', 'Nf8'], ['Bc5', 'e4'], ['Qg3', 'Qxg3'], ['fxg3', 'Nd7'], ['Nd6', 'Rc7'], ['Kd2', 'Nxc5'], ['bxc5', 'Rxc5\n'], ['Bg4', 'Bc3+'], ['Ke3', 'Be5'], ['Bxe6+', 'Kg7'], ['Bxd5', 'Rd8'], ['Nb7', 'Rc3+'], ['Kxe4', 'Re8'], ['Nd8', 'Rxd8\n'], ['Kxe5', 'Rxg3'], ['Kf4', 'Rc3'], ['Be6', 'Rf8+'], ['Ke5', 'Re3+'], ['Kd6', 'Rb8'], ['Kc7', 'Re8']]",1-0
URS-ch17,Moscow,1949.??.??,?,"Ragozin, Viacheslav","Geller, Efim P",,,C59,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['Ng5', 'd5'], ['exd5', 'Na5'], ['Bb5+', 'c6'], ['dxc6', 'bxc6'], ['Be2', 'h6\n'], ['Nf3', 'e4'], ['Ne5', 'Qd4'], ['f4', 'Bc5'], ['Rf1', 'Qd8'], ['d4', 'Bb6'], ['Be3', 'Nd5'], ['Bg1', 'O-O\n'], ['c4', 'Nb4'], ['Qd2', 'Nd3+'], ['Bxd3', 'exd3'], ['Qxd3', 'Re8'], ['Nc3', 'f6'], ['O-O-O', 'fxe5'], ['fxe5', 'Rf8\n'], ['Be3', 'Bg4'], ['Rde1', 'Qd7'], ['b3', 'Bf5'], ['Qd2', 'Rad8'], ['d5', 'cxd5'], ['Bxb6', 'axb6'], ['cxd5', 'Nb7\n'], ['e6', 'Qe7'], ['Re5', 'Bg6'], ['Rxf8+', 'Rxf8'], ['Kb2', 'Ra8'], ['a4', 'Rc8'], ['Re3', 'Qb4'], ['e7', 'Na5\n'], ['Ka2', 'Qxb3+'], ['Ka1', 'Qa3+'], ['Na2', 'Nb3+'], ['Rxb3', 'Qxb3']]",0-1
URS-ch17,Moscow,1949.??.??,?,"Levenfish, Grigory","Geller, Efim P",,,D48,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['e3', 'Nf6'], ['Nf3', 'Nbd7'], ['Bd3', 'dxc4'], ['Bxc4', 'b5'], ['Bd3', 'a6\n'], ['a4', 'b4'], ['Ne4', 'Bb7'], ['O-O', 'c5'], ['Nxf6+', 'Nxf6'], ['Qe2', 'cxd4'], ['exd4', 'Be7'], ['Bf4', 'O-O\n'], ['Be5', 'Qa5'], ['Nd2', 'Nd7'], ['Be4', 'Bxe4'], ['Qxe4', 'Rac8'], ['Nb3', 'Qd5'], ['Qxd5', 'exd5'], ['Rfe1', 'Rfe8\n'], ['Nc1', 'Bf8'], ['Nd3', 'Rc4'], ['Red1', 'f6'], ['Bf4', 'Rxd4'], ['Be3', 'Rde4'], ['Nf4', 'Ne5'], ['Nxd5', 'Nc4\n'], ['b3', 'Nxe3'], ['fxe3', 'Bc5'], ['Kf2', 'Bxe3+'], ['Kf3', 'R4e5'], ['g4', 'f5'], ['Nxb4', 'fxg4+'], ['Kg3', 'h5\n'], ['Rd5', 'g5'], ['Rxe5', 'Rxe5'], ['Nd3', 'Bf4+'], ['Kf2', 'Re3'], ['Rd1', 'Rh3'], ['Nxf4', 'gxf4'], ['Rd4', 'Rxh2+\n'], ['Kg1', 'Rb2'], ['Rxf4', 'Kg7'], ['Rb4', 'Kg6'], ['Rb6+', 'Kg5'], ['Rxa6', 'Rxb3'], ['Kf1', 'h4'], ['Ra8', 'Kf4\n'], ['Re8', 'Ra3']]",0-1
URS-ch17,Moscow,1949.??.??,?,"Kotov, Alexander","Geller, Efim P",,,E68,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd6'], ['Nf3', 'Nbd7'], ['O-O', 'e5'], ['e4', 'exd4\n'], ['Nxd4', 'Nc5'], ['f3', 'Nfd7'], ['Be3', 'c6'], ['Qd2', 'a5'], ['Rad1', 'Ne5'], ['b3', 'a4'], ['Nde2', 'axb3\n'], ['Bxc5', 'Nxc4'], ['Qc1', 'bxa2'], ['Nxa2', 'Qa5'], ['Qxc4', 'Be6'], ['Qc1', 'dxc5'], ['Nac3', 'b5'], ['Nb1', 'b4\n'], ['Nf4', 'Bb3'], ['Rd6', 'c4'], ['Rxc6', 'c3'], ['Nd5', 'Bxd5'], ['exd5', 'Qxd5'], ['f4', 'Qd4+'], ['Kh1', 'Ra2\n'], ['Bf3', 'Rb2'], ['f5', 'Be5'], ['Qe1', 'Rd8'], ['Be4', 'Kg7'], ['f6+', 'Kg8'], ['Ra6', 'h5'], ['Ra5', 'h4\n'], ['Bxg6', 'Rxh2+'], ['Kxh2', 'Bxg3+'], ['Qxg3', 'hxg3+'], ['Kh3', 'fxg6']]",0-1
