JUG-ch,Novi Sad,1945.??.??,1,"Gligoric, Svetozar","Kulzinski, Nikolaj",,,E33,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'Nc6'], ['Nf3', 'Qe7'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['a3', 'Bxc3+\n'], ['Qxc3', 'd6'], ['e3', 'O-O'], ['Bd3', 'e5'], ['d5', 'Ne7'], ['O-O', 'Bf5'], ['Nd2', 'Qg6'], ['Bxf5', 'Qxf5\n'], ['e4', 'Qd7'], ['c5', 'Ng6'], ['g3', 'f5'], ['f3', 'Rac8'], ['Rac1', 'Ne7'], ['Qb4', 'b6'], ['cxd6', 'cxd6\n'], ['Nc4', 'Rc5'], ['b3', 'Rfc8'], ['a4', 'R8c7'], ['Rcd1', 'Rc8'], ['Rf2', 'fxe4'], ['fxe4', 'Qg4'], ['Re1', 'Rd8\n'], ['a5', 'bxa5'], ['Nxa5', 'Nxd5'], ['Qd2', 'Nf4'], ['Rff1', 'Nh3+'], ['Kg2', 'Rd7'], ['Nc4', 'Ng5'], ['Qd3', 'Ne6\n'], ['h3', 'Qg6'], ['Kh2', 'Nd4'], ['Ra1', 'Rcc7'], ['Ra6', 'Qe6'], ['Ra4', 'Rf7'], ['Rxf7', 'Rxf7'], ['Kg2', 'Rf3\n'], ['Ne3', 'Qg6'], ['g4', 'Qf7'], ['Rxd4', 'exd4'], ['Qxd4', 'Rf2+'], ['Kg3', 'Qf3+'], ['Kh4', 'Kh7'], ['g5', 'Qf4+\n'], ['Ng4', 'hxg5+']]",0-1
JUG-ch,Novi Sad,1945.??.??,2,"Gligoric, Svetozar","Tomovic, Vasilje",,,B76,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Be3', 'Bg7'], ['f3', 'O-O'], ['Qd2', 'Nc6\n'], ['O-O-O', 'Bd7'], ['g4', 'Rc8'], ['Nb3', 'Ne5'], ['Qf2', 'a6'], ['Bb6', 'Qe8'], ['Na5', 'Bc6'], ['h4', 'h5\n'], ['gxh5', 'Nxh5'], ['Bh3', 'Bd7'], ['f4', 'Nc4'], ['Nxc4', 'Rxc4'], ['Bf1', 'Rc6'], ['Be2', 'Nxf4'], ['Bd4', 'Nxe2+\n'], ['Qxe2', 'f5'], ['Bxg7', 'Kxg7'], ['Rdg1', 'fxe4'], ['h5', 'Bf5'], ['hxg6', 'Rh8'], ['Rh7+', 'Kf6'], ['Nxe4+', 'Bxe4\n'], ['Qxe4', 'e5'], ['Qh4+', '']]",1-0
JUG-ch,Novi Sad,1945.??.??,3,"Preinfalk, Anton","Gligoric, Svetozar",,,D48,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['e3', 'Nf6'], ['Nf3', 'Nbd7'], ['Bd3', 'dxc4'], ['Bxc4', 'b5'], ['Bd3', 'a6\n'], ['O-O', 'c5'], ['a4', 'b4'], ['Nb1', 'cxd4'], ['exd4', 'Be7'], ['Nbd2', 'Bb7'], ['a5', 'Qc7'], ['Qe2', 'Nd5\n'], ['Nc4', 'Nf4'], ['Bxf4', 'Qxf4'], ['Nfe5', 'Qxd4'], ['Nxd7', 'Qxd7'], ['Rfd1', 'Qc6'], ['Qg4', 'O-O\n'], ['Nb6', 'f5'], ['Qh3', 'Rad8'], ['Bc4', 'Rf6'], ['Bf1', 'Rh6'], ['Qb3', 'Bd6'], ['Nc4', 'Bxh2+'], ['Kh1', 'Rxd1\n'], ['Rxd1', 'Qc7'], ['Bd3', 'Qf4'], ['Qc2', 'Qh4']]",0-1
JUG-ch,Novi Sad,1945.??.??,4,"Gligoric, Svetozar","Kostic, Boris",,,C83,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['c3', 'Be7'], ['Be3', 'O-O'], ['Nbd2', 'Nxd2'], ['Qxd2', 'Qd7'], ['Bc2', 'Na5'], ['Nd4', 'c5'], ['Qd3', 'g6\n'], ['Nxe6', 'fxe6'], ['h4', 'Bxh4'], ['Bxc5', 'Be7'], ['Be3', 'Nc4'], ['Bh6', 'Rf7'], ['Qg3', 'Bf8'], ['Bc1', 'Bg7\n'], ['f4', 'Qa7+'], ['Kh2', 'Nxe5'], ['Re1', 'Nc4'], ['b3', 'Nd6'], ['Rxe6', 'Qd7'], ['Qh3', 'Nf5'], ['Re1', 'Rc8\n'], ['Bd2', 'b4'], ['c4', 'Bxa1'], ['Rxa1', 'dxc4'], ['Bxb4', 'Qd4'], ['Rf1', 'c3'], ['a3', 'Qd7'], ['Bd3', 'c2\n'], ['Rc1', 'Nd4'], ['Bc4', 'Qxh3+'], ['Kxh3', 'Rxc4'], ['bxc4', 'Rxf4'], ['a4', 'Nf5'], ['g4', 'Nd4'], ['Re1', 'Ne2\n'], ['Bd2', 'Re4'], ['Rf1', 'Rxc4'], ['Bh6', 'Rc8'], ['Rf6', 'c1=Q'], ['Bxc1', 'Rxc1'], ['Rxa6', 'g5'], ['Kg2', 'Rc3\n'], ['Ra7', 'Ra3'], ['a5', 'Nd4'], ['a6', 'Nc6'], ['Ra8+', 'Kg7'], ['Kf2', 'Ne5'], ['a7', 'Nxg4+'], ['Kg2', 'h5']]",0-1
JUG-ch,Novi Sad,1945.??.??,5,"Subaric, Mladen","Gligoric, Svetozar",,,D48,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['e3', 'Nf6'], ['Nf3', 'Nbd7'], ['Bd3', 'dxc4'], ['Bxc4', 'b5'], ['Bd3', 'a6\n'], ['O-O', 'c5'], ['Ne4', 'cxd4'], ['Nxd4', 'Bb7'], ['Ng3', 'Be7'], ['b3', 'Nc5'], ['Bc2', 'O-O'], ['Bb2', 'Qd5\n'], ['f3', 'Qd8'], ['Qe2', 'Qb6'], ['Rac1', 'Rfd8'], ['Qf2', 'Rac8'], ['Bb1', 'a5'], ['Nge2', 'b4'], ['Nf4', 'Ne8\n'], ['Qg3', 'g6'], ['Bxg6', 'hxg6'], ['Nxg6', 'Bf6'], ['Ne7+', 'Kf8'], ['Nxc8', 'Bxc8'], ['Qh3', 'e5'], ['Qh6+', 'Ke7\n'], ['Rfd1', 'exd4'], ['Bxd4', 'Rxd4'], ['Rxd4', 'Ne6'], ['Re4', 'Bb7'], ['Rxe6+', 'Qxe6'], ['Qf4', 'Be5\n'], ['Qh4+', 'Nf6'], ['Qc4', 'Nd5'], ['Qb5', 'Ba6'], ['Qxa5', 'Bd6'], ['e4', 'Qh6']]",0-1
JUG-ch,Novi Sad,1945.??.??,6,"Gligoric, Svetozar","Vidmar, Milan Jr",,,B05,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'Bg4'], ['Be2', 'c6'], ['O-O', 'Bxf3'], ['Bxf3', 'dxe5'], ['dxe5', 'e6\n'], ['Qe2', 'Nd7'], ['c4', 'Ne7'], ['Bg4', 'Qc7'], ['f4', 'O-O-O'], ['Be3', 'Nf5'], ['Bxf5', 'exf5'], ['Qf2', 'b6\n'], ['Nd2', 'Nc5'], ['Nf3', 'Ne4'], ['Qc2', 'Be7'], ['a3', 'c5'], ['Rad1', 'Qc6'], ['Qb3', 'h6'], ['Rd5', 'g5\n'], ['Nd2', 'Nxd2'], ['Bxd2', 'g4'], ['Qd3', 'Qe6'], ['Rd1', 'h5'], ['Be3', 'h4'], ['b4', 'cxb4'], ['axb4', 'h3\n'], ['g3', 'Kb8'], ['Qa3', 'Qc6'], ['Qd3', 'Rc8'], ['Qxf5', 'Qxc4'], ['R5d2', 'Bxb4'], ['Rf2', 'Rhg8'], ['Qd3', 'Qc6\n'], ['f5', 'Rgd8'], ['Qe2', 'Rxd1+'], ['Qxd1', 'Qe4'], ['Qe2', 'Ka8'], ['Qa6', 'Rc3'], ['Re2', 'Rc1+']]",0-1
JUG-ch,Novi Sad,1945.??.??,7,"Milic, Borislav","Gligoric, Svetozar",,,D75,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['g3', 'Bg7'], ['Bg2', 'Nxc3'], ['bxc3', 'c5'], ['Nf3', 'Nc6\n'], ['e3', 'O-O'], ['O-O', 'cxd4'], ['cxd4', 'Bf5'], ['Nh4', 'Bd7'], ['Rb1', 'Rb8'], ['Ba3', 'Na5'], ['Qd3', 'a6\n'], ['Qe4', 'Re8'], ['Rfc1', 'b5'], ['Bf1', 'Be6'], ['Bb4', 'Bxa2'], ['Ra1', 'Bd5'], ['Bxa5', 'Bxe4'], ['Bxd8', 'Rexd8\n'], ['Rxa6', 'g5'], ['Ng2', 'b4'], ['Ne1', 'b3'], ['Bd3', 'Bxd3'], ['Nxd3', 'e5'], ['Ra4', 'exd4'], ['exd4', 'Bxd4\n'], ['Rb1', 'Bg7'], ['Nb4', 'b2'], ['Nc6', 'Ra8'], ['Rb4', 'Rd2'], ['Ne7+', 'Kf8'], ['Nf5', 'Bf6'], ['Kg2', 'g4\n'], ['Rb6', 'Be5'], ['Ne3', 'Bd4'], ['Rb3', 'Bxe3'], ['Rxe3', 'Ra1'], ['Ree1', 'Rxb1'], ['Rxb1', 'Rc2'], ['h3', 'h5']]",0-1
JUG-ch,Novi Sad,1945.??.??,8,"Gligoric, Svetozar","Pirc, Vasja",,,B18,"[['e4', 'c6'], ['Nc3', 'd5'], ['d4', 'dxe4'], ['Nxe4', 'Bf5'], ['Ng3', 'Bg6'], ['h4', 'h6'], ['Nh3', 'Nf6'], ['Nf4', 'Bh7\n'], ['Bc4', 'Nbd7'], ['c3', 'e5'], ['Nfh5', 'Qe7'], ['Nxf6+', 'Qxf6'], ['Be3', 'Qe7'], ['dxe5', 'Nxe5'], ['Be2', 'Qe6\n'], ['Qb3', 'Qxb3'], ['axb3', 'Nd3+'], ['Bxd3', 'Bxd3'], ['Rxa7', 'Rxa7'], ['Bxa7', 'Bd6'], ['Kd2', 'Bg6\n'], ['Be3', 'Bxg3'], ['fxg3', '']]",1/2-1/2
JUG-ch,Novi Sad,1945.??.??,9,"Popovic, Vojislav","Gligoric, Svetozar",,,D02,"[['Nf3', 'd5'], ['g3', 'c5'], ['Bg2', 'Nc6'], ['d4', 'Nf6'], ['O-O', 'Qb6'], ['c3', 'e6'], ['e3', 'Bd6'], ['Nbd2', 'O-O\n'], ['b3', 'e5'], ['dxe5', 'Nxe5'], ['Nxe5', 'Bxe5'], ['Bb2', 'Bf5'], ['Nf3', 'Bc7'], ['Qe2', 'Rfe8'], ['Rfd1', 'Rad8\n'], ['h3', 'h6'], ['b4', 'c4'], ['a4', 'Bd3'], ['Qe1', 'a5'], ['b5', 'Bxg3'], ['Rxd3', 'cxd3'], ['c4', 'dxc4\n'], ['Rc1', 'Ne4'], ['fxg3', 'd2'], ['Nxd2', 'Nxd2'], ['Rd1', 'Qxe3+'], ['Qxe3', 'Rxe3'], ['Bxb7', 'c3'], ['Bc1', 'Re7\n'], ['Bc6', 'Nf3+'], ['Bxf3', 'Rxd1+'], ['Bxd1', 'Re1+'], ['Kf2', 'Rxd1']]",0-1
JUG-ch,Novi Sad,1945.??.??,10,"Gligoric, Svetozar","Rabar, Braslav",,,D51,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['Bg5', 'Nbd7'], ['e3', 'c6'], ['a3', 'Be7'], ['Qc2', 'dxc4'], ['Bxc4', 'Nd5\n'], ['Bxe7', 'Qxe7'], ['Nf3', 'N5f6'], ['O-O', 'O-O'], ['Ba2', 'e5'], ['dxe5', 'Nxe5'], ['Nxe5', 'Qxe5'], ['Rae1', 'Bf5\n'], ['e4', 'Be6'], ['Bxe6', 'Qxe6'], ['f4', 'Ne8'], ['e5', 'f5'], ['Rd1', 'g5'], ['Ne2', 'gxf4'], ['Qc3', 'Ng7\n'], ['Nxf4', 'Qe7'], ['Rf3', 'Rad8'], ['Re1', 'Kh8'], ['e6', 'Rf6'], ['Rg3', 'Rg8'], ['Rd1', 'Rd8'], ['Rd7', 'Rxd7\n'], ['exd7', 'Rd6'], ['Qxg7+', 'Qxg7'], ['Rxg7', 'Kxg7'], ['Ne6+', 'Kf6'], ['d8=Q+', 'Rxd8'], ['Nxd8', 'Ke5\n'], ['Kf2', 'Kd5'], ['Nxb7', '']]",1-0
