URS Cup,URS,1984.??.??,?,"Goldin, Alexander","Ratkovic, Milorad",,,A41,"[['d4', 'Nf6'], ['Nf3', 'd6'], ['Nc3', 'Bg4'], ['e4', 'e6'], ['h3', 'Bh5'], ['d5', 'exd5'], ['Nxd5', 'Nbd7'], ['Nf4', 'Bxf3\n'], ['gxf3', 'g6'], ['Be3', 'Bg7'], ['Qd2', 'O-O'], ['O-O-O', 'Ne5'], ['Be2', 'Nfd7'], ['Nd5', 'Nb6'], ['Bg5', 'f6\n'], ['Be3', 'Nbc4'], ['c3', 'Nxe3'], ['fxe3', 'c6'], ['Nf4', 'Qe7'], ['b3', 'Kh8'], ['Qxd6', 'Rfe8'], ['Qxe7', 'Rxe7\n'], ['Rd6', 'Nf7'], ['Re6', 'Rxe6'], ['Nxe6', 'Bh6'], ['Nf4', 'Rd8'], ['h4', 'Rd6'], ['h5', 'Bxf4'], ['exf4', 'g5\n'], ['Bc4', 'Kg7'], ['Rg1', 'h6'], ['Bxf7', 'Kxf7'], ['f5', 'Ke7'], ['Rd1', 'Rxd1+'], ['Kxd1', 'Kd6'], ['Kd2', 'Ke5\n'], ['Ke3', 'c5'], ['c4', 'a6'], ['a3', 'b5'], ['a4', 'bxa4'], ['bxa4', 'a5'], ['f4+', 'Kd6'], ['fxg5', 'fxg5']]",1-0
URS Cup,URS,1984.??.??,?,"Goldin, Alexander","Khalifman, Alexander",,,D01,"[['d4', 'Nf6'], ['Nc3', 'd5'], ['Bg5', 'c5'], ['Bxf6', 'gxf6'], ['e4', 'dxe4'], ['dxc5', 'Qa5'], ['Qd5', 'a6'], ['O-O-O', 'Nc6\n'], ['Bc4', 'Be6'], ['Qxe4', 'f5'], ['Qe2', 'Bxc4'], ['Qxc4', 'e6'], ['Na4', 'Qb5'], ['Qb3', 'Nd4'], ['Qxb5+', 'axb5\n'], ['Nc3', 'Bxc5'], ['a3', 'Ke7'], ['Nh3', 'b4'], ['axb4', 'Bxb4'], ['Nf4', 'Bxc3'], ['bxc3', 'Nb5'], ['Kd2', 'Ra3\n'], ['Rb1', 'Rd8+'], ['Nd3', 'Nd6'], ['f3', 'Nc4+'], ['Ke2', 'b6'], ['Rb3', 'Ra2'], ['Rc1', 'e5'], ['Rb4', 'e4\n'], ['fxe4', 'fxe4'], ['Nf4', 'b5'], ['Rxb5', 'Rd2+'], ['Ke1', 'Rdxc2'], ['Rxc2', 'Rxc2'], ['Rb4', 'Nd6\n'], ['Rd4', 'f5']]",1/2-1/2
URS Cup,URS,1984.??.??,?,"Goldin, Alexander","Jailjan, M.",,,E16,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'Bb4+'], ['Bd2', 'Bxd2+'], ['Qxd2', 'O-O'], ['g3', 'b6'], ['Nc3', 'Bb7'], ['Bg2', 'Ne4\n'], ['Qc2', 'Nxc3'], ['Ng5', 'Ne4'], ['Bxe4', 'Bxe4'], ['Qxe4', 'Qxg5'], ['Qxa8', 'Nc6'], ['Qb7', 'Nxd4'], ['Rd1', 'c5\n'], ['e3', 'Nc2+'], ['Kd2', 'Qf5'], ['f3', 'Nb4'], ['Ke2', 'Qc2+'], ['Rd2', 'Qxc4+'], ['Kf2', '']]",1/2-1/2
URS Cup,URS,1984.??.??,?,"Dautov, Rustem","Goldin, Alexander",,,D58,"[['d4', 'Nf6'], ['Nf3', 'd5'], ['c4', 'e6'], ['Nc3', 'Be7'], ['Bg5', 'h6'], ['Bh4', 'O-O'], ['e3', 'b6'], ['Bd3', 'Bb7\n'], ['O-O', 'Nbd7'], ['Qe2', 'c5'], ['Rfd1', 'Ne4'], ['Bg3', 'cxd4'], ['exd4', 'Nxg3'], ['hxg3', 'Nf6'], ['Ne5', 'dxc4\n'], ['Bxc4', 'Rc8'], ['a3', 'Nd5'], ['Ne4', 'Rc7'], ['Bd3', 'Nf6'], ['Nc3', 'Qa8'], ['Re1', 'a6'], ['Bc2', 'Rd8\n'], ['Bb3', 'Rd6'], ['Rad1', 'b5'], ['Kh2', 'Bf8'], ['f3', 'Qa7'], ['Qd3', 'Bd5'], ['Nxd5', 'Nxd5'], ['Kh1', 'g6\n'], ['Nxg6', 'fxg6'], ['Rxe6', 'Rxe6'], ['Bxd5', 'Kf7'], ['Bxe6+', 'Kxe6'], ['Qxg6+', 'Kd7'], ['Re1', 'Be7\n'], ['d5', 'Qc5'], ['Qe6+', 'Kd8'], ['Qg8+', 'Kd7'], ['Qf7', 'Kc8'], ['Re6', 'Kb7'], ['Kh2', 'Bf8'], ['Qf5', 'b4\n'], ['axb4', 'Qxb4'], ['Re4', 'Qc5'], ['Re6', 'a5'], ['Qe4', 'Rd7'], ['Qd3', 'Rxd5'], ['Qh7+', 'Kc8'], ['Re8+', 'Rd8\n'], ['Re4', 'Rd7'], ['Qg8', 'Kb7'], ['Qb3+', 'Ka7'], ['Qa4', 'Rb7'], ['g4', 'Bd6+'], ['f4', 'Rxb2'], ['Rd4', 'Rb7\n'], ['Rxd6', 'Qxd6'], ['Qxa5+', 'Kb8'], ['Qf5', 'Rb4']]",0-1
URS Cup,URS,1984.??.??,?,"Ruban, Vadim","Goldin, Alexander",,,E09,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Ba6'], ['b3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'c6'], ['Nbd2', 'd5\n'], ['Qc2', 'Nbd7'], ['e4', 'Rc8'], ['Bb2', 'c5'], ['exd5', 'exd5'], ['Rfd1', 'Re8'], ['Qf5', 'dxc4'], ['Nxc4', 'Bxc4\n'], ['bxc4', 'cxd4'], ['Nxd4', 'Rc5'], ['Qc2', 'Qc8'], ['Rac1', 'Bf8'], ['Bh3', 'Rh5'], ['Bg2', 'a6'], ['Nf5', 'Qc5\n'], ['Nh4', 'Qc7'], ['Bd4', 'Bc5'], ['Nf5', 'Bxd4'], ['Rxd4', 'Qe5'], ['Rf4', 'Nc5'], ['Ne3', 'Ne6'], ['Rf5', 'Rxf5\n'], ['Qxf5', 'Qxf5'], ['Nxf5', 'g6'], ['Ne3', 'Rd8'], ['Rb1', 'Rd6'], ['Kf1', 'Kf8'], ['Ke2', 'Nc5'], ['Nd5', 'Nxd5\n'], ['Bxd5', 'Ke7'], ['Ke3', 'h6'], ['Kd4', 'Ne6+']]",1/2-1/2
Andropov,Andropov,1986.??.??,?,"Goldin, Alexander","Ruban, Vadim",,,D36,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Nbd7'], ['Bg5', 'c6'], ['cxd5', 'exd5'], ['Qc2', 'Be7'], ['e3', 'O-O\n'], ['Bd3', 'Re8'], ['O-O', 'Nf8'], ['a3', 'a5'], ['Ne5', 'Ng4'], ['Bxe7', 'Qxe7'], ['Nxg4', 'Bxg4'], ['Rae1', 'Rad8\n'], ['f4', 'Bc8'], ['Na4', 'h6'], ['Qc3', 'Qc7'], ['b4', 'axb4'], ['axb4', 'Qe7'], ['b5', 'cxb5'], ['Bxb5', 'Bd7\n'], ['Qb3', 'Bc6'], ['Nc5', 'Rd6'], ['Nd3', 'Ra8'], ['Ne5', 'f6'], ['Bxc6', 'bxc6'], ['Nd3', 'Rdd8'], ['Nb4', 'Qd6\n'], ['Qc3', 'Rdc8'], ['Ra1', 'Rxa1'], ['Rxa1', 'Ng6'], ['Nd3', 'Ne7'], ['Nc5', 'Re8'], ['Qd3', 'Nc8'], ['Qb3', 'Kh8\n'], ['Qb7', 'Qe7'], ['Qxe7', 'Nxe7'], ['g4', 'h5'], ['h3', 'hxg4'], ['hxg4', 'g6'], ['Kf2', 'Kg7'], ['Ra7', 'Kf7\n'], ['Rd7', 'Rc8'], ['Kf3', 'g5'], ['f5', 'Rb8'], ['Rd6', 'Ra8'], ['Nd7', 'Rd8'], ['Ne5+', 'Ke8']]",1-0
Andropov,Andropov,1986.??.??,?,"Goldin, Alexander","Baburin, Alexander",,,D52,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['Nf3', 'Nf6'], ['Bg5', 'Nbd7'], ['e3', 'Qa5'], ['cxd5', 'Nxd5'], ['Qd2', 'N7b6\n'], ['Bd3', 'Nxc3'], ['bxc3', 'Nd5'], ['O-O', 'Qxc3'], ['Qe2', 'Be7'], ['Bxe7', 'Nxe7'], ['a4', 'O-O'], ['a5', 'Qb4\n'], ['h4', 'Nd5'], ['h5', 'Qe7'], ['h6', 'g6'], ['g3', 'Bd7'], ['e4', 'Nb4'], ['Bc4', 'b5'], ['Bb3', 'Rac8'], ['Qb2', 'f6\n'], ['Rfd1', 'Kh8'], ['a6', 'Rcd8'], ['Qc3', 'Bc8'], ['Rd2', 'Rfe8'], ['d5', 'cxd5'], ['exd5', 'exd5'], ['Re1', 'Qf8\n'], ['Rxe8', 'Rxe8'], ['Rd4', 'Nxa6'], ['Bxd5', 'Nc5'], ['Bc6', 'b4'], ['Qxb4', 'Bd7']]",1/2-1/2
URS-FL,Irkutsk,1986.??.??,?,"Ivanchuk, Vassily","Goldin, Alexander",,,C92,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Bb7'], ['d4', 'Re8'], ['Nbd2', 'Bf8'], ['a4', 'Qd7'], ['axb5', 'axb5'], ['Rxa8', 'Bxa8'], ['d5', 'Ne7\n'], ['Nf1', 'h6'], ['Ng3', 'c6'], ['dxc6', 'Bxc6'], ['Nh4', 'd5'], ['Nf3', 'Ng6'], ['exd5', 'Bxd5'], ['Nh5', 'Rd8\n'], ['Nxf6+', 'gxf6'], ['Bc2', 'Bb7'], ['Qxd7', 'Rxd7'], ['Nh2', 'h5'], ['Rd1', 'Bc6'], ['Rxd7', 'Bxd7'], ['Bd1', 'h4\n'], ['Ng4', 'Bg7'], ['Nh6+', 'Bxh6'], ['Bxh6', 'f5'], ['Bd2', 'f4'], ['Be2', 'e4'], ['b4', 'Kf8'], ['c4', 'f3\n'], ['gxf3', 'exf3'], ['Bf1', 'bxc4'], ['Bxc4', 'Ne5'], ['Bf1', 'f6'], ['b5', 'Bc8'], ['Ba5', 'Ke7'], ['Bc7', 'Bb7\n'], ['b6', 'Nf7'], ['Bd3', 'Ke6'], ['Bc4+', 'Ke7'], ['Bf4', 'Ng5'], ['Kh2', 'Kd7'], ['Be3', 'Kd6'], ['Bd4', 'Ke7\n'], ['Bc5+', 'Kd7'], ['Bb5+', 'Kd8'], ['Be3', 'Ke7'], ['Bd3', 'Ne4'], ['Bc4', 'Ng5'], ['Bd4', 'Ne6'], ['Bb2', 'Ng5\n'], ['Bd3', 'Ne4'], ['Kg1', 'Ke6'], ['Bc4+', 'Kd6'], ['Bd4', 'Ke7'], ['Bd3', 'Ke6'], ['Be3', 'Ng5'], ['Kh2', 'Ne4\n'], ['Bc4+', 'Ke7'], ['Bg8', 'Ng5'], ['Bd4', 'Ne6'], ['Be3', 'Ng5'], ['Ba2', 'Ne4'], ['Bd4', 'Ng5'], ['Bb3', 'Ne4\n'], ['Bc2', 'Ke6'], ['Bd3', 'Ke7'], ['Bc2', 'Ke6'], ['Bb3+', 'Ke7'], ['Bd1', 'Ng5'], ['Bc2', 'Ne4'], ['Ba4', 'Ng5\n'], ['Bc5+', 'Kd8'], ['Bc2', 'Ne4'], ['Be3', 'Ke7'], ['Bb1', 'Ke6'], ['Bd3', 'Ke7'], ['Bf1', 'Ke6'], ['Kg1', 'Ng5\n'], ['Bd4', 'Ke7'], ['Bc5+', 'Ke6'], ['Kh2', 'Ne4'], ['Bc4+', 'Kd7'], ['Bd4', 'Ke7'], ['Bb3', 'Ng5'], ['Bc2', 'Ne4\n'], ['Bd3', 'Ke6'], ['Bb5', 'Ke7']]",1/2-1/2
URS-FL,Irkutsk,1986.??.??,?,"Goldin, Alexander","Vyzmanavin, Alexey",,,E11,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'Bb4+'], ['Bd2', 'Be7'], ['Bg2', 'd5'], ['Nf3', 'O-O'], ['O-O', 'c6'], ['Qb3', 'b6\n'], ['Bf4', 'Ba6'], ['Nbd2', 'Nbd7'], ['Rfd1', 'Nh5'], ['Be3', 'f5'], ['Qa4', 'Bb7'], ['cxd5', 'exd5'], ['Ne5', 'Nxe5\n'], ['dxe5', 'g6'], ['f4', 'Ng7'], ['Rac1', 'Qd7'], ['Bf2', 'Rfd8'], ['e4', 'c5'], ['Qb3', 'Qe6'], ['exf5', 'gxf5\n'], ['Qd3', 'a5'], ['Nb1', 'Rd7'], ['Nc3', 'd4'], ['b3', 'Bxg2'], ['Kxg2', 'Qc6+'], ['Qf3', 'Qxf3+'], ['Kxf3', 'Kf7\n'], ['a4', 'Ne6'], ['Nb5', 'Rg8'], ['Rd3', 'h5'], ['h3', 'Rg6'], ['Rg1', 'Rd8'], ['Rdd1', 'Rdg8'], ['Rg2', 'Ke8\n'], ['Rdg1', 'Kd7'], ['Na3', 'Kc6'], ['Nc4', 'Rh6'], ['Rd1', 'Nc7'], ['Be1', 'Ne6'], ['Bd2', 'Rf8'], ['Rdg1', 'Rh7\n'], ['Bc1', 'Bd8'], ['Bd2', 'Kd5'], ['Bc1', 'Bc7'], ['Rd1', 'Rfh8'], ['Ne3+', 'Kc6'], ['Nc4', 'Rf7'], ['Rd3', 'Rb8\n'], ['Na3', 'Kd5'], ['Rd1', 'h4'], ['g4', 'fxg4+'], ['Rxg4', 'Bxe5'], ['Re1', 'Bc7'], ['Rxh4', 'Rg8'], ['Rh5+', 'Rg5\n'], ['Rxg5+', 'Nxg5+'], ['Kg4', 'Ne4'], ['Nc4', 'Rg7+'], ['Kf5', 'Rg8'], ['Rd1', 'Ng3+'], ['Kf6', 'Nh5+\n'], ['Ke7', 'Rg7+'], ['Ke8', 'Nf6+'], ['Kf8', 'Rg3'], ['Ke7', 'Ne4'], ['Ne3+', 'Kc6'], ['Nf5', 'Rxh3'], ['Ke6', 'Bd6\n'], ['Re1', 'Ng3'], ['Nxd6', 'Rh6+'], ['Ke7', 'Rxd6'], ['Re5', 'd3'], ['f5', 'd2'], ['Bxd2', 'Rxd2'], ['f6', 'Rf2\n'], ['Ke6', 'Ne2']]",0-1
URS-FL,Irkutsk,1986.??.??,?,"Goldin, Alexander","Romanishin, Oleg M",,,A63,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'c5'], ['d5', 'exd5'], ['cxd5', 'd6'], ['Nc3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O\n'], ['O-O', 'Re8'], ['Nd2', 'Nbd7'], ['Nc4', 'Nb6'], ['Nxb6', 'Qxb6'], ['Qc2', 'Bd7'], ['Rb1', 'Qc7'], ['a4', 'a6\n'], ['Bd2', 'Rac8'], ['e4', 'b5'], ['b3', 'c4'], ['axb5', 'axb5'], ['b4', 'Ng4'], ['Ra1', 'Ra8'], ['Bf3', 'Ne5\n'], ['Be2', 'f5'], ['Rxa8', 'Rxa8'], ['f4', 'Nf7'], ['Bf3', 'Ra3'], ['Kh1', 'Qb6'], ['Qc1', 'Qa6'], ['Re1', 'fxe4\n'], ['Bxe4', 'Nh6'], ['Bg2', 'Ng4'], ['Ne4', 'Ra1'], ['Qc2', 'Bf5'], ['h3', 'Ne3'], ['Rxa1', 'Qxa1+'], ['Qc1', 'Qxc1+\n'], ['Bxc1', 'Nxg2'], ['Nxd6', 'Ne1']]",0-1
