Capablanca mem-A,Cienfuegos,1985.??.??,1,"Palatnik, Semon","Granda Zuniga, Julio E",,,E11,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'Bb4+'], ['Bd2', 'a5'], ['Bg2', 'd5'], ['Qc2', 'O-O'], ['Nf3', 'Nc6'], ['O-O', 'Re8\n'], ['Bg5', 'Be7'], ['Rd1', 'h6'], ['Bxf6', 'Bxf6'], ['Nc3', 'dxc4'], ['Nb5', 'Nb4'], ['Qxc4', 'c6'], ['Nc3', 'b6\n'], ['Qb3', 'Ba6'], ['Rd2', 'Qc7'], ['Rc1', 'Rac8'], ['a3', 'Nd5'], ['Na4', 'Bd8'], ['e4', 'Nf6'], ['Ne5', 'c5\n'], ['f4', 'c4'], ['Qd1', 'Be7'], ['Nc3', 'b5'], ['a4', 'b4'], ['Nb5', 'Bxb5'], ['axb5', 'c3'], ['bxc3', 'bxc3\n'], ['Rd3', 'c2'], ['Qe2', 'Qb6'], ['Rd2', 'Bb4'], ['Rdxc2', '']]",1/2-1/2
Capablanca mem-A,Cienfuegos,1985.??.??,2,"Granda Zuniga, Julio E","Ivkov, Borislav",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Nf6'], ['Nxc6', 'bxc6'], ['Bd3', 'd5'], ['Qe2', 'dxe4'], ['Bxe4', 'Nxe4\n'], ['Qxe4+', 'Qe7'], ['Qxe7+', 'Bxe7'], ['O-O', 'Bf5'], ['Bf4', 'O-O-O'], ['Nd2', 'Bf6'], ['c3', 'Rd5'], ['Nb3', 'Rhd8\n'], ['Be3', 'a5'], ['Nc5', 'Be7']]",1/2-1/2
Capablanca mem-A,Cienfuegos,1985.??.??,3,"Sunye Neto, Jaime","Granda Zuniga, Julio E",,,A11,"[['c4', 'c6'], ['Nf3', 'Nf6'], ['b3', 'd5'], ['Bb2', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['O-O', 'Nbd7'], ['Qc2', 'Re8\n'], ['Nc3', 'Nc5'], ['d3', 'Bf5'], ['cxd5', 'cxd5'], ['b4', 'Ne6'], ['h3', 'g5'], ['Qd2', 'h6'], ['Nb5', 'Qd7\n'], ['a4', 'Rec8'], ['h4', 'a6'], ['hxg5', 'hxg5'], ['Nbd4', 'Nxd4'], ['Nxd4', 'g4'], ['Nxf5', 'Qxf5'], ['e4', 'dxe4\n'], ['dxe4', 'Nxe4'], ['Bxe4', 'Qxe4'], ['Bxg7', 'Kxg7'], ['Rfe1', 'Rc2'], ['Rxe4', 'Rxd2'], ['Rxe7', 'Rc8\n'], ['Re4', 'f5'], ['Re7+', 'Kf6'], ['Rxb7', 'Rcc2'], ['Rf1', 'Rb2'], ['Rb6+', 'Ke5'], ['Rxa6', 'Rxb4'], ['Re1+', 'Re4\n'], ['Ra5+', 'Kd6'], ['Rxe4', 'fxe4'], ['Rg5', 'Ra2'], ['a5', 'Ke6'], ['Rxg4', 'Ke5'], ['Rg5+', 'Kd4']]",1-0
Capablanca mem-A,Cienfuegos,1985.??.??,4,"Granda Zuniga, Julio E","Vilela, Jose Luis",,,B59,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Be2', 'e5'], ['Nb3', 'Be7'], ['Bg5', 'O-O\n'], ['Qd2', 'a5'], ['a4', 'Be6'], ['O-O', 'Nb4'], ['Bb5', 'Qc7'], ['f4', 'Rfd8'], ['Qe2', 'Rac8'], ['Rac1', 'h6\n'], ['Bxf6', 'Bxf6'], ['f5', 'Bd7'], ['Bxd7', 'Rxd7'], ['Rcd1', 'b6'], ['Rf2', 'Qc4'], ['g3', 'Kf8'], ['h4', 'Qxe2\n'], ['Rxe2', 'Rc4'], ['Nd2', 'Rc5'], ['Ndb1', 'd5'], ['exd5', 'Nxd5'], ['Ne4', 'Rcc7'], ['Red2', 'Ke7'], ['Rxd5', 'Rxd5\n'], ['Rxd5', 'Rxc2'], ['Nbc3', 'Rxb2'], ['Rd6', 'Rb3'], ['Nd5+', 'Ke8'], ['Rxb6', 'Ra3'], ['Rb7', '']]",1-0
Capablanca mem-A,Cienfuegos,1985.??.??,5,"Velez, Nestor","Granda Zuniga, Julio E",,,A05,"[['Nf3', 'Nf6'], ['b3', 'g6'], ['Bb2', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'c5'], ['O-O', 'Nc6'], ['d3', 'd5'], ['Nbd2', 'd4\n'], ['c3', 'Nd5'], ['cxd4', 'cxd4'], ['Rc1', 'Bf5'], ['Nb1', 'Rc8'], ['Qd2', 'Qd7'], ['Rc5', 'Qd6'], ['Rb5', 'a6\n'], ['Ba3', 'Qd8'], ['Rxb7', 'Na5'], ['Ra7', 'Qb6'], ['Rxe7', 'Nxe7'], ['Bxe7', 'Rfe8'], ['Ba3', 'Nb7'], ['Bb2', 'Nd6\n'], ['Na3', 'a5'], ['Nc4', 'Nxc4'], ['bxc4', 'Qc5'], ['Re1', 'Rb8'], ['Qc1', 'a4'], ['Ba3', 'Qa5'], ['Bd6', 'Rbc8\n'], ['Qa3', 'Bf8'], ['Bxf8', 'Rxf8'], ['Qc1', 'Rfd8'], ['Kf1', 'Rb8'], ['Qh6', 'f6'], ['Qf4', 'Qb6'], ['Rc1', 'Qb2\n'], ['c5', 'Qxa2'], ['g4', 'Rb1'], ['gxf5', 'g5'], ['Nxg5', 'Rdb8'], ['Kg1', 'Rxc1+'], ['Qxc1', 'Kh8'], ['Nf7+', 'Qxf7\n'], ['c6', 'Qb3'], ['c7', 'Rc8'], ['h4', 'Qb6'], ['Bd5', 'Qxc7'], ['Bc4', 'Rg8+'], ['Kh1', 'Rg4']]",0-1
Capablanca mem-A,Cienfuegos,1985.??.??,6,"Granda Zuniga, Julio E","Pinal, Nelson Borges",,,B34,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Nc3', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'Bg7'], ['Be3', 'Nf6'], ['Nxc6', 'dxc6'], ['Qxd8+', 'Kxd8\n'], ['O-O-O+', 'Nd7'], ['Bc4', 'f6'], ['f4', 'Kc7'], ['Rd2', 'e5'], ['g3', 'Nb6'], ['Bb3', 'Bh3'], ['Nd1', 'Rad8\n'], ['Nf2', 'Rxd2'], ['Bxd2', 'Bc8'], ['Rf1', 'Nd7'], ['Nd3', 'exf4'], ['Bxf4+', 'Kb6'], ['Be3+', 'Kc7'], ['Nf4', 'Ne5\n'], ['Be6', 'Re8']]",1/2-1/2
Capablanca mem-A,Cienfuegos,1985.??.??,7,"Sygulski, Artur","Granda Zuniga, Julio E",,,D13,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'c6'], ['cxd5', 'cxd5'], ['Nc3', 'Nc6'], ['Bf4', 'Qb6'], ['Qb3', 'e6'], ['Qxb6', 'axb6\n'], ['e3', 'Bb4'], ['Bd3', 'O-O']]",1/2-1/2
Capablanca mem-A,Cienfuegos,1985.??.??,8,"Granda Zuniga, Julio E","Vera, Reynaldo",,,B86,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['a4', 'Nc6'], ['Bc4', 'e6'], ['O-O', 'Be7\n'], ['Be3', 'O-O'], ['Qe2', 'Bd7'], ['Rad1', 'Qc7'], ['Nxc6', 'Bxc6'], ['Bf4', 'Rac8'], ['Bb3', 'Rfd8'], ['Rfe1', 'Qa5\n'], ['Rd3', 'b5'], ['Bd2', 'Qb6'], ['axb5', 'axb5'], ['Rg3', 'Re8'], ['Bh6', 'g6'], ['e5', 'Nd7'], ['exd6', 'Bxd6\n'], ['Rh3', 'Nc5'], ['Qe3', 'Na4'], ['Ne4', 'Be7'], ['Qf4', 'Bxe4'], ['Qe5', 'Bf8'], ['Bxf8', 'Rxf8'], ['Qxe4', 'Nxb2\n'], ['Qf4', 'Qa5'], ['Kf1', 'Rc3'], ['Rh4', 'h5'], ['Qe5', 'Qc7'], ['Qxb5', 'Nd3'], ['cxd3', 'Rb8'], ['Qg5', 'Rcxb3\n'], ['Rxh5', 'Rb1']]",0-1
Capablanca mem-A,Cienfuegos,1985.??.??,9,"Rodriguez, Amador","Granda Zuniga, Julio E",,,D17,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'dxc4'], ['a4', 'Bf5'], ['Ne5', 'e6'], ['f3', 'Bb4'], ['Nxc4', 'Na6\n'], ['Bg5', 'h6'], ['Bh4', 'O-O'], ['e4', 'Bh7'], ['Be2', 'c5'], ['dxc5', 'Qxd1+'], ['Kxd1', 'Rfd8+'], ['Kc2', 'Bxc5\n'], ['Na5', 'Nb4+'], ['Kb3', 'Nc6'], ['Nxc6', 'bxc6'], ['Rhd1', 'Rab8+'], ['Ka2', 'Bd4'], ['Rac1', 'Rb4\n'], ['b3', 'Rbb8'], ['Be1', 'Nh5'], ['Ba6', 'Nf4'], ['Ne2', 'Nxe2'], ['Bxe2', 'c5'], ['Ba5', 'Rf8'], ['Bc7', 'Rb4\n'], ['Bd6', 'Rc8'], ['Ba6', 'Rb6'], ['Bxc8', 'Rxd6'], ['Bb7', 'g5'], ['a5', 'Kg7'], ['Rc4', 'Be5'], ['Rxd6', 'Bxd6\n'], ['g3', 'Kf6'], ['Ka3', 'Ke5'], ['Ka4', '']]",1-0
Capablanca mem-A,Cienfuegos,1985.??.??,10,"Granda Zuniga, Julio E","Garcia Martinez, Silvino",,,B19,"[['e4', 'c6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Bf5'], ['Ng3', 'Bg6'], ['Nf3', 'Nd7'], ['h4', 'h6'], ['h5', 'Bh7\n'], ['Bd3', 'Bxd3'], ['Qxd3', 'Ngf6'], ['Bd2', 'e6']]",1/2-1/2
