Burevestnik-ch sf,Moscow,1965.??.??,?,"Volovich, Anatoly A","Gulko, Boris F",,,A09,"[['Nf3', 'd5'], ['g3', 'Nc6'], ['c4', 'd4'], ['d3', 'e5'], ['Bg2', 'Bg4'], ['h3', 'Bf5'], ['O-O', 'Qd7'], ['Kh2', 'Nf6\n'], ['Na3', 'Be7'], ['Nc2', 'a5'], ['b3', 'O-O'], ['a3', 'h6'], ['Bd2', 'e4'], ['Nfe1', 'Rfd8'], ['dxe4', 'Bxe4\n'], ['f3', 'Bh7'], ['Nd3', 'Bd6'], ['Be1', 'Re8'], ['Bf2', 'Qe7'], ['Re1', 'Rad8'], ['Qd2', 'h5'], ['Kg1', 'h4\n'], ['g4', 'Bg3'], ['Bxg3', 'hxg3'], ['Qf4', 'a4'], ['bxa4', 'Na5'], ['Qxg3', 'Nxc4'], ['g5', 'Nd5'], ['f4', 'Nc3\n'], ['Bf3', 'Ne3'], ['Nxe3', 'Qxe3+'], ['Qf2', 'Bxd3'], ['exd3', 'Qxd3'], ['Bxb7', 'Re3'], ['Bg2', 'Rde8\n'], ['a5', 'Qb5'], ['f5', 'Qxa5'], ['g6', 'Qe5'], ['gxf7+', 'Kxf7'], ['Rxe3', 'Qxe3'], ['Qxe3', 'Rxe3'], ['Kf2', 'Re5\n'], ['Bf1', 'Rxf5+'], ['Ke1', 'Ke6'], ['a4', 'Ra5'], ['Bc4+', 'Kd6'], ['Bb3', 'Kc5'], ['Kd2', 'Kb4'], ['Bc2', 'Re5\n'], ['Rf1', 'Re2+'], ['Kd3', 'c5'], ['Rf7', 'c4+'], ['Kxd4', 'Rd2+'], ['Ke5', '']]",0-1
WchTJ U26 fin-A,Oerebro,1966.??.??,1,"Schoeneberg, Manfred","Gulko, Boris F",,,B07,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'd6'], ['Be3', 'Nf6'], ['f3', 'c6'], ['Qd2', 'b5'], ['g4', 'Qa5'], ['Nge2', 'h5'], ['g5', 'Nfd7\n'], ['Nc1', 'O-O'], ['Bd3', 'b4'], ['Nd1', 'c5'], ['Nb3', 'Qc7'], ['Qe2', 'Nc6'], ['c3', 'bxc3'], ['bxc3', 'cxd4\n'], ['cxd4', 'a5'], ['Rc1', 'a4'], ['Nd2', 'Qb6'], ['d5', 'Nd4'], ['Qf2', 'Nc5'], ['Bc4', 'e5'], ['dxe6', 'Ndxe6\n'], ['O-O', 'Ba6'], ['Nc3', 'Qb2'], ['Nd5', 'Nd3'], ['Bxd3', 'Bxd3'], ['Nc4', 'Qxf2+'], ['Rxf2', 'Nd4'], ['Ncb6', 'Ra5\n'], ['Rd1', 'Ne2+'], ['Kf1', 'Nf4+'], ['Ke1', 'Nxd5'], ['Nxd5', 'Rxd5'], ['exd5', 'Bc3+'], ['Rfd2', 'Rb8\n'], ['Kf2', 'Bxd2'], ['Rxd2', 'Bc4'], ['Bf4', 'Rb6'], ['Ke3', 'Kf8'], ['Kd4', 'Ke8']]",1-0
WchTJ U26 fin-A,Oerebro,1966.??.??,2,"Gulko, Boris F","Aijala, Jouko",,,A44,"[['d4', 'c5'], ['d5', 'e5'], ['e4', 'd6'], ['Nc3', 'g6'], ['Bb5+', 'Bd7'], ['a4', 'Bg7'], ['Nf3', 'Nf6'], ['Be2', 'Na6\n'], ['Nd2', 'O-O'], ['O-O', 'Ne8'], ['Nc4', 'Nac7'], ['f4', 'f6'], ['f5', 'g5'], ['h4', 'h6'], ['Ne3', 'Kf7'], ['Bd3', 'Rh8\n'], ['Ne2', 'Ke7'], ['Bd2', 'Bf8'], ['c3', 'Ng7'], ['b4', 'b6'], ['Kf2', 'Nh5'], ['g3', 'Be8'], ['Rh1', 'Bg7\n'], ['Nc1', 'Bf7'], ['Be2', 'Qe8'], ['bxc5', 'dxc5'], ['Nc4', 'Kd7'], ['Be3', 'Rd8'], ['a5', 'b5'], ['Nb6+', 'Kd6\n'], ['Nb3', 'axb6'], ['axb6', 'Na8'], ['Bxc5+', 'Kd7'], ['Ra7+', 'Kc8']]",1-0
WchTJ U26 prel,Oerebro,1966.??.??,3,"Hankipohja, Antti","Gulko, Boris F",,,B24,"[['e4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'c5'], ['Bg2', 'Nc6'], ['d3', 'e6'], ['Be3', 'b6'], ['Nge2', 'Nge7'], ['d4', 'cxd4\n'], ['Nxd4', 'Ba6'], ['Bf1', 'Bxf1'], ['Kxf1', 'O-O'], ['Nxc6', 'Nxc6'], ['Rb1', 'f5'], ['exf5', 'Rxf5'], ['Ne2', 'd5\n'], ['c3', 'e5'], ['Qd3', 'd4'], ['Qc4+', 'Kh8'], ['cxd4', 'exd4'], ['Rd1', 'Rc8'], ['Bf4', 'g5'], ['Bc1', 'Qd7\n'], ['Be3', 'Qb7']]",0-1
WchTJ U26 fin-A,Oerebro,1966.??.??,4,"Gat, I.","Gulko, Boris F",,,E61,"[['c4', 'e5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['e3', 'd6'], ['Nge2', 'Nf6'], ['O-O', 'O-O'], ['d4', 'Re8\n'], ['d5', 'Nb8'], ['e4', 'Nbd7'], ['h3', 'a5'], ['Be3', 'Nb6'], ['b3', 'Nfd7'], ['Nc1', 'f5'], ['Nd3', 'f4'], ['Bd2', 'Nc5\n'], ['Nxc5', 'dxc5'], ['Nb5', 'Bd7'], ['a4', 'Rf8'], ['Kh2', 'Nc8'], ['Bc3', 'h5'], ['Ra2', 'g5'], ['g4', 'hxg4\n'], ['hxg4', 'Ra6'], ['f3', 'Rh6+'], ['Bh3', 'Kf7'], ['Rh1', 'Rfh8'], ['Kg2', 'R8h7'], ['Rh2', 'b6'], ['Qh1', 'Ke7\n'], ['Kg1', 'c6'], ['dxc6', 'Bxc6'], ['Rad2', 'Nd6'], ['Bf1', 'Bxb5'], ['axb5', 'Qa8'], ['Rxh6', 'Rxh6'], ['Rh2', '']]",1/2-1/2
WchTJ U26 fin-A,Oerebro,1966.??.??,6,"Gulko, Boris F","Kolbak, Jens",,,D34,"[['g3', 'd5'], ['Nf3', 'c5'], ['Bg2', 'Nc6'], ['d4', 'Nf6'], ['O-O', 'e6'], ['c4', 'Be7'], ['cxd5', 'exd5'], ['Nc3', 'O-O\n'], ['dxc5', 'd4'], ['Na4', 'Bf5'], ['Bf4', 'Be4'], ['Rc1', 'Qd5'], ['e3', 'Rad8'], ['exd4', 'Nxd4'], ['Qxd4', 'Bxf3\n'], ['Qxd5', 'Bxd5'], ['Rfe1', 'Bxg2'], ['Kxg2', 'Nd5'], ['Kf3', 'g5'], ['Bd2', 'f5'], ['Rcd1', 'Bf6'], ['Ba5', 'g4+\n'], ['Ke2', 'Rd7'], ['Rd3', 'Bd8'], ['Bxd8', 'Rfxd8'], ['Red1', 'Kf7'], ['f4', 'gxf3+'], ['Kxf3', 'Kf6'], ['Nc3', 'Nb6\n'], ['Rxd7', 'Nxd7'], ['Rd6+', 'Kf7'], ['Rd5', 'Ke6'], ['Kf4', 'Rf8'], ['Rd6+', 'Ke7'], ['Nd5+', 'Ke8'], ['Nc7+', 'Ke7\n'], ['Nd5+', 'Ke8'], ['b4', 'a5'], ['a3', 'axb4'], ['axb4', 'Rf7'], ['Ne3', 'Re7'], ['Nxf5', 'Re2'], ['h4', 'Rb2\n'], ['Rd4', 'Nf8']]",1-0
WchTJ U26 fin-A,Oerebro,1966.??.??,7,"Gulko, Boris F","Spassov, Liuben",,,C67,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'Nd6'], ['Bxc6', 'dxc6'], ['dxe5', 'Nf5'], ['Qxd8+', 'Kxd8\n'], ['b3', 'Ke8'], ['Ba3', 'Bxa3'], ['Nxa3', 'a5'], ['Nb1', 'Be6'], ['Nc3', 'Bd5'], ['Nxd5', 'cxd5'], ['Rad1', 'c6\n'], ['a4', 'h5'], ['Rfe1', 'Ke7'], ['Nd4', 'Nxd4'], ['Rxd4', 'Rad8'], ['Rd3', 'd4'], ['Rg3', 'g6'], ['e6', 'Rd6\n'], ['exf7+', 'Kxf7'], ['Re5', 'Rhd8'], ['h3', 'b6'], ['h4', 'R8d7']]",1/2-1/2
WchTJ U26 fin-A,Oerebro,1966.??.??,10,"Gulko, Boris F","Poutrus, W.E.",,,A65,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Bg5', 'c5'], ['d5', 'h6'], ['Be3', 'e6'], ['Qd2', 'exd5\n'], ['cxd5', 'Kh7'], ['Nge2', 'a6'], ['a4', 'Nbd7'], ['Ng3', 'Ng8'], ['f4', 'Qe7'], ['Bd3', 'Re8'], ['O-O', 'Nf8\n'], ['Rae1', 'Nf6'], ['Kh1', 'Ng4'], ['Bg1', 'Qh4'], ['Be2', 'h5'], ['e5', 'dxe5'], ['Nge4', 'exf4'], ['Qxf4', 'Kh8\n'], ['Ng5', 'f6'], ['Nf7+', 'Kg8'], ['g3', 'Qh3'], ['Ng5', 'fxg5'], ['Qf7+', 'Kh7'], ['Qxe8', 'Bf5'], ['Qxa8', 'Bxc3\n'], ['bxc3', '']]",1-0
WchTJ U26 fin-A,Oerebro,1966.??.??,11,"Nagy, Bela","Gulko, Boris F",,,E12,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['Nc3', 'Bb7'], ['a3', 'd5'], ['cxd5', 'Nxd5'], ['e3', 'Be7'], ['Bb5+', 'c6\n'], ['Bd3', 'O-O'], ['Nxd5', 'exd5'], ['O-O', 'c5'], ['b3', 'Nd7'], ['Bb2', 'Bd6'], ['Ne5', 'Qe7'], ['Nxd7', 'Qxd7\n'], ['dxc5', 'bxc5'], ['Rc1', 'Rab8'], ['a4', 'Qe6'], ['Qh5', 'f5'], ['g4', 'Qg6'], ['Qxg6', 'hxg6'], ['Ba3', 'Rbc8\n'], ['Rfd1', 'fxg4'], ['Be4', 'Bxh2+'], ['Kxh2', 'dxe4'], ['Kg3', 'Rf3+'], ['Kg2', 'g3'], ['fxg3', 'Rxe3\n'], ['Rxc5', 'Rxc5'], ['Bxc5', 'Rxb3'], ['Bxa7', 'e3+'], ['Kh3', 'Bf3'], ['Re1', 'e2'], ['Kh2', 'Ra3'], ['Kg1', 'Rxa4\n'], ['Bb6', 'Ra3'], ['Kf2', 'Bg4'], ['Be3', 'Rd3']]",0-1
URS-chT,URS,1966.??.??,?,"Gulko, Boris F","Geller, Efim P",,,D47,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['Nf3', 'Nbd7'], ['e3', 'c6'], ['Bd3', 'dxc4'], ['Bxc4', 'b5'], ['Bd3', 'Bb7\n'], ['O-O', 'b4'], ['Ne4', 'c5'], ['Nxf6+', 'gxf6'], ['Bd2', 'cxd4'], ['exd4', 'Bd6'], ['Qe2', 'Nb6'], ['Rac1', 'Rg8\n'], ['Bb5+', 'Ke7'], ['Bc6', 'Bxc6'], ['Rxc6', 'Rc8'], ['Rxc8', 'Qxc8'], ['Qe4', 'Rh8'], ['Nh4', 'Nd5'], ['Nf5+', 'Kd7\n'], ['Rc1', 'Qa6'], ['Ne3', 'Qxa2'], ['Qc2', 'Ne7'], ['Bxb4', 'Rc8'], ['Bc5', 'f5'], ['Nc4', 'Bf4'], ['Rd1', 'Nd5\n'], ['g3', 'Bb8'], ['Rc1', 'Qa6'], ['Qe2', 'Kc7'], ['b4', 'Qb5'], ['Qh5', 'Qd7'], ['Nd6', 'a6'], ['b5', 'axb5\n'], ['Ba3+', 'Kb6'], ['Nxc8+', 'Kb7'], ['Qf3', '']]",1-0
URS-chT,URS,1966.??.??,?,"Gulko, Boris F","Bykhovsky, Anatoly A",,,C91,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['d4', 'Bg4'], ['Be3', 'Qd7'], ['Nbd2', 'Rfe8'], ['a4', 'Bf8'], ['Qb1', 'Na5'], ['Bc2', 'b4'], ['Bd3', 'c5\n'], ['cxb4', 'cxb4'], ['d5', 'Rec8'], ['Bb6', 'Nb7'], ['Rc1', 'Be7'], ['Ne1', 'Bd8'], ['Be3', 'Rxc1'], ['Qxc1', 'Qc8\n'], ['Nc4', 'Nd7'], ['f3', 'Bh5'], ['Qd2', 'a5'], ['Rc1', 'Qb8'], ['Bc2', 'Nbc5'], ['Nd3', 'Nxd3'], ['Bxd3', 'f6\n'], ['Qf2', 'Be8'], ['b3', 'Bc7'], ['Nd2', 'Bb6'], ['Bb5', 'Nc5'], ['Bxc5', 'Bxc5'], ['Rxc5', 'dxc5'], ['Qxc5', 'Bxb5\n'], ['axb5', 'Qc8'], ['Qc6', 'Rb8'], ['Nc4', 'Qb7'], ['b6', 'h6'], ['Kf2', 'Kh7'], ['Qc7', 'f5'], ['exf5', 'Qxd5\n'], ['Qxb8', '']]",1-0
