London,London,1879.??.??,?,"Gunsberg, Isidor","Ascher, J.",,,C30,"[['e4', 'e5'], ['f4', 'Bc5'], ['Nf3', 'd6'], ['Bc4', 'Nf6'], ['d3', 'Ng4'], ['fxe5', 'Nf2'], ['Qe2', 'Nxh1'], ['d4', 'Bb6\n'], ['Ng5', 'Be6'], ['d5', 'Bc8'], ['e6', 'f6'], ['Qh5+', 'g6'], ['Qh6', 'Qe7'], ['Nf7', 'Rf8'], ['Qxh7', 'Rxf7\n'], ['Qxg6', 'Kd8'], ['exf7', 'Nd7'], ['Qg8+', 'Qf8'], ['Bh6', '']]",1-0
London,London,1879.??.??,?,"Gunsberg, Isidor",NN,,,C35,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'Be7'], ['Bc4', 'Bh4+'], ['g3', 'fxg3'], ['O-O', 'gxh2+'], ['Kh1', 'd5'], ['Bxd5', 'Nf6\n'], ['Nc3', 'Nxd5'], ['Nxd5', 'Bh3'], ['Nxh4', 'Bxf1'], ['Qg4', 'O-O'], ['Nf5', 'g6'], ['Nfe7+', 'Kh8'], ['b3', 'Nd7\n'], ['Bb2+', 'f6'], ['Rxf1', 'c6'], ['Qxd7', 'Qxd7'], ['Rxf6', 'h5'], ['Rf7+', '']]",1-0
London,London,1879.??.??,?,"Gunsberg, Isidor","McLennan, G.",,,C38,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'Bg7'], ['d4', 'd6'], ['h4', 'h6'], ['Qd3', 'Nf6'], ['hxg5', 'hxg5\n'], ['Rxh8+', 'Bxh8'], ['Nxg5', 'd5'], ['exd5', 'Qe7+'], ['Kf1', 'Nh5'], ['Nf3', 'Bf5'], ['Qb3', 'Ng3+'], ['Kg1', 'Bxd4+\n'], ['Nxd4', 'Qe1+']]",0-1
DSB-03.Kongress,Nuremberg,1883.??.??,1,"Gunsberg, Isidor","Winawer, Szymon",,,D02,"[['Nf3', 'd5'], ['d4', 'Bf5'], ['e3', 'e6'], ['Be2', 'Bd6'], ['O-O', 'c6'], ['b3', 'Nf6'], ['c4', 'Nbd7'], ['Nc3', 'h6\n'], ['Nd2', 'Qb8'], ['h3', 'g5'], ['Re1', 'h5'], ['Nf1', 'g4'], ['h4', 'g3'], ['f3', 'Bb4'], ['Bb2', 'Rg8'], ['Bd3', 'Bxd3\n'], ['Qxd3', 'Rg6'], ['a3', 'Bxc3'], ['Bxc3', 'Kf8'], ['Bd2', 'Qd8'], ['Bb4+', 'Kg8'], ['Bd6', 'dxc4'], ['bxc4', 'e5\n'], ['Qf5', 'Ne8'], ['dxe5', 'Nb6'], ['c5', 'Nd5'], ['Qh3', 'Nxd6'], ['cxd6', 'Qb6'], ['Kh1', 'Re8'], ['Qf5', 'Qd8\n'], ['Qe4', 'Rge6'], ['f4', 'Qxh4+'], ['Kg1', 'Rxd6'], ['Qf3', 'Rg6'], ['Rad1', 'Rg4'], ['Rb1', 'b6'], ['Rbc1', 'Re6\n'], ['Rc2', 'Kh8'], ['Rec1', 'Ne7'], ['Nd2', 'Qh2+'], ['Kf1', 'Nf5'], ['Rxc6', 'Nh4'], ['Rc8+', 'Kg7'], ['Qa8', 'Qh1+\n'], ['Ke2', 'Qxg2+'], ['Qxg2', 'Nxg2'], ['Ra8', 'Nh4'], ['Nf3', 'Nxf3'], ['Kxf3', 'g2'], ['Rcc8', 'Rg3+\n'], ['Ke4', 'Rxe3+'], ['Kf5', 'R6xe5+'], ['fxe5', 'Rf3+'], ['Ke4', 'Re3+'], ['Kf4', '']]",1-0
DSB-03.Kongress,Nuremberg,1883.??.??,2,"Gunsberg, Isidor","Lange, Max",,,D05,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['e3', 'e6'], ['Be2', 'Bd6'], ['O-O', 'O-O'], ['b3', 'c5'], ['Bb2', 'Nc6'], ['c4', 'cxd4\n'], ['cxd5', 'Nxd5'], ['Nxd4', 'a6'], ['Nxc6', 'bxc6'], ['Nd2', 'Qc7'], ['h3', 'Be5'], ['Bxe5', 'Qxe5'], ['Nf3', 'Qf6\n'], ['Bd3', 'e5'], ['Rc1', 'h6'], ['Be4', 'Bb7'], ['Qd2', 'Qe7'], ['Qa5', 'Rac8'], ['Bf5', 'Rcd8'], ['e4', 'Nf4\n'], ['Nxe5', 'Ne2+'], ['Kh1', 'Nxc1'], ['Rxc1', 'g6'], ['Bg4', 'h5'], ['Bf3', 'Rd6'], ['Nc4', 'Rd4'], ['e5', 'f6\n'], ['Re1', 'fxe5'], ['Rxe5', 'Qd8'], ['Re6', 'Qxa5'], ['Nxa5', 'Kf7'], ['Nxc6', 'Rd1+'], ['Bxd1', 'Kxe6\n'], ['Nd4+', 'Ke5'], ['Nf3+', 'Bxf3'], ['Bxf3', 'a5'], ['Kg1', 'Rc8'], ['Be2', 'Rc1+'], ['Kh2', 'Kd4'], ['Bb5', 'g5\n'], ['a3', 'Rc2'], ['f3', 'h4'], ['b4', 'axb4'], ['axb4', 'Rb2'], ['Ba6', 'Rxb4'], ['Bf1', 'Rb2'], ['Ba6', 'Ke3\n'], ['Bc4', 'Kf2'], ['Ba6', 'Rb1'], ['f4', 'gxf4'], ['Bd3', 'Re1'], ['Bc4', 'Re5'], ['Ba6', 'Re7'], ['Bc8', 'Rc7\n'], ['Bg4', 'Rc3'], ['Be6', 'Rd3'], ['Bc8', 'f3'], ['Bb7', 'fxg2'], ['Bxg2', 'Rd2'], ['Bb7', 'Ke3+'], ['Kg1', 'Kf4\n'], ['Bc8', 'Kg3'], ['Kf1', 'Rf2+'], ['Ke1', 'Rf4'], ['Ke2', 'Rf2+'], ['Ke1', 'Rh2'], ['Kf1', 'Rh1+'], ['Ke2', 'Rg1\n'], ['Bg4', 'Kg2'], ['Bf5', 'Ra1'], ['Bg4', 'Ra5'], ['Bc8', 'Re5+'], ['Kd3', 'Kf2'], ['Bg4', 'Re3+'], ['Kd2', 'Re4\n'], ['Bf5', 'Rd4+'], ['Kc3', 'Rd5'], ['Be6', 'Re5'], ['Bg4', 'Rg5'], ['Bd7', 'Rg3+'], ['Kd4', 'Re3'], ['Bg4', 'Re1\n'], ['Kd3', 'Re8'], ['Kd4', 'Rg8'], ['Bf5', 'Kf3'], ['Be6', 'Rd8+'], ['Kc3', 'Ke3'], ['Kc2', 'Rd6'], ['Bg4', 'Rd2+\n'], ['Kc1', 'Rd4'], ['Be6', 'Kf3'], ['Kc2', 'Kg2'], ['Kc3', 'Rd1'], ['Bg4', 'Rh1'], ['Kd2', 'Rxh3']]",0-1
DSB-03.Kongress,Nuremberg,1883.??.??,3,"Mason, James","Gunsberg, Isidor",,,D00,"[['d4', 'e6'], ['Bf4', 'd5'], ['e3', 'Nf6'], ['Bd3', 'Bd6'], ['Bg3', 'c5'], ['c3', 'c4'], ['Bc2', 'b5'], ['Nf3', 'a5'], ['Nbd2', 'b4\n'], ['Ba4+', 'Kf8'], ['Ne5', 'Bxe5'], ['Bxe5', 'bxc3'], ['bxc3', 'Qe7'], ['O-O', 'Nbd7'], ['Bg3', 'h6'], ['e4', 'Nb6\n'], ['e5', 'Ne8'], ['Bc2', 'g6'], ['a4', 'Bd7'], ['f4', 'Ng7'], ['Nf3', 'Kg8'], ['Bh4', 'Qe8'], ['Bf6', 'Kh7\n'], ['Nh4', 'Rg8'], ['Rf3', 'Nh5'], ['f5', 'exf5'], ['Nxf5', 'Nc8'], ['Ne3', 'Nxf6'], ['Rxf6', 'Be6'], ['Rb1', 'Ne7\n'], ['Rxe6', 'fxe6'], ['Ng4', 'Kg7'], ['Qf3', 'Rf8'], ['Nf6', 'Qc6'], ['h4', 'Ra7'], ['Rf1', 'Qc8'], ['Qg4', 'Nf5\n'], ['Rf3', 'Raf7'], ['Qxg6+', 'Kh8'], ['Bxf5', '']]",1-0
DSB-03.Kongress,Nuremberg,1883.??.??,4,"Schwarz, Jacques","Gunsberg, Isidor",,,C49,"[['e4', 'e5'], ['Nc3', 'Nc6'], ['Nf3', 'Nf6'], ['Bb5', 'Bb4'], ['O-O', 'O-O'], ['Nd5', 'Bc5'], ['d4', 'Nxd5'], ['dxc5', 'Nde7\n'], ['c3', 'b6'], ['Be3', 'bxc5'], ['Bxc5', 'd6'], ['Be3', 'Kh8'], ['Nh4', 'Bd7'], ['Bd3', 'f5'], ['f4', 'd5'], ['exf5', 'e4\n'], ['Bb5', 'Bxf5'], ['g4', 'Bd7'], ['Ng2', 'Rb8'], ['Bxc6', 'Bxc6'], ['b3', 'a5'], ['f5', 'Bb5'], ['Rf2', 'Nc6\n'], ['Nf4', 'Ne5'], ['Bd4', 'Re8'], ['Bxe5', 'Rxe5'], ['Qd4', 'Qd6'], ['Ne6', 'Bd7'], ['Nc5', 'Rbe8'], ['Re1', 'Bc8\n'], ['Re3', 'Qf6'], ['Rf1', 'Rf8'], ['h3', 'c6'], ['Rfe1', 'Qd6'], ['Rf1', 'Ree8'], ['Rf2', 'Qh6'], ['Kf1', 'Rf6\n'], ['Ke1', 'Rff8'], ['Ke2', '']]",1/2-1/2
DSB-03.Kongress,Nuremberg,1883.??.??,5,"Leffmann, Karl","Gunsberg, Isidor",,,C83,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['c3', 'Be7'], ['Be3', 'O-O'], ['Nbd2', 'Bg4'], ['h3', 'Nxd2'], ['Qxd2', 'Bxf3'], ['gxf3', 'Nxe5'], ['Qxd5', 'Qxd5\n'], ['Bxd5', 'Rad8'], ['Bb7', 'Rd6'], ['f4', 'Nc4'], ['a4', 'Rb8'], ['axb5', 'Nxe3'], ['bxa6', 'Rg6+'], ['Kh1', 'Nxf1\n'], ['a7', 'Rf8'], ['a8=Q', 'Rxa8'], ['Rxa8+', 'Bf8'], ['Rc8', 'Rb6'], ['Bg2', 'Nd2'], ['Rxc7', 'g6'], ['Bd5', 'Rf6\n'], ['c4', 'Nb1'], ['b4', 'Nc3'], ['b5', 'Nxd5'], ['cxd5', 'Rb6'], ['Rc2', 'Rxb5'], ['Rd2', 'Bd6'], ['Rd3', 'f5\n'], ['Kg2', 'Bxf4'], ['d6', 'Rb8'], ['Kf3', 'Bg5']]",0-1
DSB-03.Kongress,Nuremberg,1883.??.??,6,"Gunsberg, Isidor","Bird, Henry Edward",,,B34,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['Nf3', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'Bg7'], ['Be3', 'Nf6'], ['f4', 'Qa5'], ['Nb3', 'Qc7\n'], ['e5', 'Ng8'], ['Nd5', 'Qd8'], ['Qd2', 'e6'], ['Nc3', 'd5'], ['exd6', 'Nf6'], ['Bb5', 'O-O'], ['O-O-O', 'Bd7\n'], ['h3', 'Nb4'], ['Bd4', 'Nxa2+'], ['Nxa2', 'Bxb5'], ['Nc3', 'Bc4'], ['Nc5', 'Qxd6'], ['b3', 'Ba6'], ['Bxf6', 'Qxc5\n'], ['Ne4', 'Qc7'], ['Bxg7', 'Kxg7'], ['Qd4+', 'f6'], ['Ng5', 'Rae8'], ['Rhe1', 'e5'], ['Qd7+', 'Qxd7'], ['Rxd7+', 'Kg8\n'], ['Nxh7', 'Rf7'], ['Rxf7', 'Kxf7'], ['fxe5', 'Rxe5'], ['Rxe5', 'fxe5'], ['Kd2', 'Kg7'], ['Ng5', 'Kf6\n'], ['Ne4+', 'Ke7'], ['c4', 'b6'], ['g3', 'Bc8'], ['g4', 'Bd7'], ['Ke3', 'Bc6'], ['Nc3', 'Ke6'], ['h4', 'Kf6\n'], ['Nd5+', 'Ke6'], ['h5', 'gxh5'], ['gxh5', 'Kf7'], ['Ke4', 'b5'], ['Kxe5', 'bxc4'], ['bxc4', 'a5'], ['Kd6', 'Be8\n'], ['Kc5', 'Kg7']]",1/2-1/2
DSB-03.Kongress,Nuremberg,1883.??.??,7,"Paulsen, Wilfried","Gunsberg, Isidor",,,C22,"[['e4', 'e5'], ['d4', 'exd4'], ['Qxd4', 'Nc6'], ['Qe3', 'g6'], ['Bc4', 'd6'], ['Bd2', 'Bg7'], ['Nc3', 'Nf6'], ['Nge2', 'Ne5\n'], ['Bb3', 'Neg4'], ['Qf3', 'h5'], ['h3', 'Ne5'], ['Qe3', 'Bd7'], ['f4', 'Nc6'], ['e5', 'dxe5'], ['fxe5', 'Bh6\n'], ['Nf4', 'O-O'], ['exf6', 'Re8'], ['Ne4', 'Bf5'], ['O-O-O', 'Rxe4'], ['Qg3', 'Qxd2+'], ['Rxd2', 'Bxf4\n'], ['Qf2', 'Be3'], ['Qg3', 'Bf4'], ['Qf2', 'Rd8'], ['Rd1', 'Rxd2'], ['Rxd2', 'Rd4'], ['g4', 'hxg4'], ['hxg4', 'Bxd2+\n'], ['Kb1', 'Be3'], ['Qe1', 'Bxg4'], ['c3', 'Bf5+'], ['Bc2', 'Bxc2+'], ['Kxc2', 'Re4'], ['Qg3', 'Re5'], ['Qh3', 'Re6\n'], ['Qg3', 'Bb6'], ['Qf4', 'Ne5'], ['b4', 'c6'], ['a4', 'Bd8'], ['Qd4', 'Bxf6'], ['Qxa7', 'Re7'], ['a5', 'Kg7\n'], ['Qc5', 'Ng4'], ['b5', 'cxb5'], ['Qxb5', 'Rc7'], ['c4', 'Rxc4+'], ['Kd3', 'Ne5+'], ['Ke3', 'Rc3+'], ['Ke2', 'Rc2+\n'], ['Kd1', 'Ra2'], ['Qxb7', 'Rxa5']]",0-1
