URS-ch sf,Leningrad,1954.??.??,?,"Chekhover, Vitaly","Gurevich, Dmitry",,,D32,"[['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'c5'], ['cxd5', 'cxd4'], ['Qa4+', 'Bd7'], ['Qxd4', 'exd5'], ['Qxd5', 'Nc6'], ['a3', 'Nf6\n'], ['Qd1', 'Bc5'], ['e3', 'Qe7'], ['Nf3', 'O-O-O'], ['Qc2', 'g5'], ['Be2', 'g4'], ['Nd2', 'Kb8'], ['O-O', 'Bb6\n'], ['Rd1', 'Ne5'], ['Nf1', 'h5'], ['e4', 'Rdg8'], ['Be3', 'Bc7'], ['Rac1', 'h4'], ['Nd5', 'Nxd5'], ['exd5', 'Bd6\n'], ['Qc3', 'Bc8'], ['Qa5', 'b6'], ['Bxb6', 'axb6'], ['Rxc8+', 'Rxc8'], ['Qxb6+', 'Ka8'], ['Qa6+', 'Kb8\n'], ['Qb6+', 'Ka8']]",1/2-1/2
WchT U26,Graz,1981.??.??,?,"Lau, Ralf","Gurevich, Dmitry",,,D50,"[['d4', 'Nf6'], ['Nf3', 'c5'], ['c4', 'e6'], ['Nc3', 'cxd4'], ['Nxd4', 'd5'], ['Bg5', 'e5'], ['Nb3', 'd4'], ['Nd5', 'Be6\n'], ['e4', 'Bxd5'], ['cxd5', 'Bb4+'], ['Nd2', 'O-O'], ['Bd3', 'h6'], ['Bh4', 'Nbd7'], ['O-O', 'Bxd2'], ['Bxf6', 'Qxf6\n'], ['Qxd2', 'Rac8'], ['Rfc1', 'Qb6'], ['b4', 'Qf6'], ['Rxc8', 'Rxc8'], ['Rc1', 'Qd8'], ['a4', 'Nb6'], ['Rxc8', 'Qxc8\n'], ['Qc2', 'Qxc2'], ['Bxc2', 'Kf8'], ['Kf1', 'f5'], ['a5', 'Nc4'], ['Ke2', 'fxe4'], ['Bxe4', 'Nb2'], ['d6', 'b6\n'], ['axb6', 'axb6'], ['Bd5', 'Na4'], ['Kd3', 'Nc3'], ['Bc6', 'g5'], ['h3', 'Kf7'], ['g3', 'Ke6'], ['d7', 'Ke7\n'], ['f4', 'Na2'], ['Kc4', 'exf4'], ['gxf4', 'd3'], ['fxg5', 'hxg5'], ['Kb3', '']]",1/2-1/2
WchT U26,Graz,1981.??.??,?,"Douven, Rudy C","Gurevich, Dmitry",,,A43,"[['d4', 'Nf6'], ['Nf3', 'c5'], ['d5', 'e6'], ['Nc3', 'exd5'], ['Nxd5', 'Nxd5'], ['Qxd5', 'Nc6'], ['e4', 'Nb4'], ['Qb3', 'Be7\n'], ['Bc4', 'O-O'], ['Bf4', 'b5'], ['Be2', 'c4'], ['Qc3', 'd5'], ['a3', 'd4'], ['Nxd4', 'Qxd4'], ['axb4', 'Qxe4\n'], ['Qe3', 'Bb7'], ['Qxe4', 'Bxe4'], ['c3', 'Bxg2'], ['Rg1', 'Be4'], ['Be5', 'f6'], ['Bd4', 'Bd6'], ['Rg4', 'Bb7\n'], ['h4', 'a6'], ['Kd2', 'g6'], ['Rag1', 'Kf7'], ['h5', 'Rg8'], ['f4', 'Be4'], ['Rh4', 'Rae8'], ['hxg6+', 'hxg6\n'], ['Rh7+', 'Ke6'], ['Ke3', 'Kd5'], ['Bf3', 'g5'], ['f5', 'g4'], ['Bxe4+', 'Rxe4+'], ['Kd2', 'Rge8'], ['Bxf6', 'Rf8\n'], ['Bh4', 'Rxf5'], ['Rg7', 'Rh5'], ['Bg3', 'Bxg3'], ['Rxg3', 'Rh2+'], ['Kd1', 'Rh1+'], ['Kd2', 'Rh2+'], ['Kd1', 'Rf4\n'], ['Rg5+', 'Ke6'], ['Rg1', 'Rh4'], ['Rg8', 'Kf7'], ['Rg5', 'Kf6'], ['Rg8', 'Ke6'], ['Rg5', 'Kf7'], ['Kc1', 'Ke6\n'], ['Kd1', 'Kf7'], ['Kc1', 'Kf6'], ['Rg8', 'Ke5'], ['Re1+', 'Kd6'], ['Rg6+', 'Kd7']]",1/2-1/2
WchT U26,Graz,1981.??.??,?,"Orso, Miklos","Gurevich, Dmitry",,,A60,"[['d4', 'Nf6'], ['Nf3', 'c5'], ['d5', 'e6'], ['c4', 'exd5'], ['cxd5', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Be2', 'b5\n'], ['e5', 'Ng4'], ['Bf4', 'Re8'], ['O-O', 'Nxe5'], ['Nxe5', 'Bxe5'], ['Bxe5', 'Rxe5'], ['Bxb5', 'd6'], ['Qd2', 'a6\n'], ['Ba4', 'Bd7'], ['Bc2', 'Bb5'], ['Rfe1', 'Rxe1+'], ['Rxe1', 'Ra7'], ['Qf4', 'Re7'], ['Re4', 'Kg7'], ['h4', 'f5\n'], ['Re6', 'Rxe6'], ['dxe6', 'Qe7'], ['Bb3', 'Nc6'], ['a4', 'Bd3'], ['Bd5', 'Nb4'], ['Qe3', 'f4'], ['Qxf4', 'Nxd5\n'], ['Nxd5', 'Qxe6'], ['Nc7', 'Qe7'], ['Nd5', 'Qe6'], ['Nc7', '']]",1/2-1/2
WchT U26,Graz,1981.??.??,?,"Gurevich, Dmitry","Orseth, Dag S",,,B70,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['Nc3', 'Bg7'], ['Nde2', 'Nf6'], ['g3', 'O-O'], ['Bg2', 'd6\n'], ['O-O', 'Ne5'], ['h3', 'Bd7'], ['a4', 'Qa5'], ['Nd5', 'Nxd5'], ['exd5', 'b5'], ['Bd2', 'Qc7'], ['axb5', 'Nc4\n'], ['Bc3', 'Nxb2'], ['Qd2', 'Bxb5'], ['Bxg7', 'Kxg7'], ['Rfb1', 'Bxe2'], ['Rxb2', 'Bc4'], ['Rb4', 'Rac8\n'], ['Raa4', 'Bxd5'], ['Bxd5', 'Qxc2'], ['Qxc2', 'Rxc2'], ['Rxa7', 'Re2'], ['Rc7', 'Re5'], ['Bf3', 'Rd8\n'], ['Kf1', 'h6'], ['Bg2', 'e6'], ['Rbb7', 'Rf8'], ['Bf3', 'Kf6'], ['Rd7', 'd5'], ['Rdc7', 'Kg7'], ['Ra7', 'Kf6\n'], ['Re7', 'Kg7'], ['Bd1', 'Kf6'], ['Ba4', 'Kg7'], ['Be8', '']]",1-0
WchT U26,Graz,1981.??.??,?,"Gurevich, Dmitry","Tomaszewski, Roman",,,B05,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'Bg4'], ['Be2', 'e6'], ['O-O', 'Be7'], ['h3', 'Bh5'], ['c4', 'Nb6\n'], ['Nc3', 'O-O'], ['Be3', 'd5'], ['cxd5', 'Nxd5'], ['Qb3', 'Nxe3'], ['fxe3', 'Nd7'], ['Qxb7', 'Rb8'], ['Qxa7', 'Rxb2\n'], ['Rab1', 'Rc2'], ['Rfc1', 'Rxc1+'], ['Rxc1', 'Bxf3'], ['gxf3', 'Nb6'], ['f4', 'c5'], ['Rd1', 'Nc8'], ['Qa6', 'cxd4\n'], ['Rxd4', 'Qc7'], ['Qc4', 'Qb6'], ['Kg2', 'Qa5'], ['Bf3', 'Bc5'], ['Rd3', 'Qa7'], ['Nb5', 'Qb6'], ['Nd4', 'Ne7\n'], ['Rb3', 'Qa5'], ['Rb5', 'Qd2+'], ['Qe2', 'Qxe2+'], ['Bxe2', 'Bxd4'], ['exd4', 'Nd5'], ['Kf3', 'Nc3'], ['Ra5', 'Nxe2\n'], ['Kxe2', 'g5'], ['fxg5', 'Kg7'], ['Kf3', 'Kg6'], ['Kg4', 'Rd8'], ['Ra4', 'Rc8'], ['h4', 'Rc1'], ['h5+', '']]",1-0
WchT U26,Graz,1981.??.??,?,"Wittwer, Moritz","Gurevich, Dmitry",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c3', 'Bg7'], ['Bf4', 'O-O'], ['e3', 'c5'], ['dxc5', 'a5'], ['Qa4', 'Na6'], ['Qc4', 'Nh5\n'], ['Be5', 'Bxe5'], ['Nxe5', 'Qc7'], ['Nd3', 'b6'], ['Qe4', 'Nxc5'], ['Qxe7', 'Bb7'], ['Nxc5', 'bxc5'], ['Qg5', 'Rae8\n'], ['Nd2', 'a4'], ['Be2', 'Re5'], ['Qg4', 'a3'], ['b3', 'f5'], ['Qh3', 'f4'], ['O-O', 'Kg7'], ['Rad1', 'd5'], ['Bg4', 'fxe3\n'], ['fxe3', 'Rxf1+'], ['Nxf1', 'Nf6'], ['Bf3', 'Re7'], ['Qh4', 'Ne4'], ['Bxe4', 'Rxe4'], ['Qg3', 'Qe7'], ['Qh3', 'Bc6\n'], ['Qc8', 'Qf6'], ['Qa6', 'Kh6'], ['Qxa3', 'd4'], ['cxd4', 'Rg4'], ['d5', 'Qg5'], ['g3', 'Bb7'], ['Qxc5', 'Qf5\n'], ['Rd2', 'Qe5'], ['Qf8+', 'Kh5'], ['Qf7', '']]",1-0
Lone Pine op,Lone Pine,1981.??.??,?,"Gurevich, Dmitry","McCambridge, Vincent",,,E42,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'c5'], ['Ne2', 'cxd4'], ['exd4', 'd5'], ['a3', 'Be7'], ['c5', 'O-O\n'], ['b4', 'b6'], ['Bb2', 'a5'], ['Na4', 'bxc5'], ['dxc5', 'axb4'], ['axb4', 'Na6'], ['Nd4', 'Nxb4'], ['Bc3', 'Rb8\n'], ['Rb1', 'e5'], ['Rxb4', 'Rxb4'], ['Bxb4', 'exd4'], ['Be2', 'Bd7'], ['Nb6', 'Re8'], ['O-O', 'Bf8'], ['Re1', 'Bc6\n'], ['f3', 'Qe7'], ['Bf1', 'Qb7'], ['Rxe8', 'Nxe8'], ['Qxd4', 'Nc7'], ['Bd3', 'Ne6'], ['Qe3', 'Qe7'], ['Bb1', 'g6\n'], ['Ba2', 'Qh4'], ['Ba3', 'Bg7'], ['Kh1', 'Bd4'], ['g3', 'Bxe3'], ['gxh4', 'Nf4'], ['Nc8', 'Kg7'], ['Ne7', 'Ba8\n'], ['c6', 'd4'], ['Bc5', 'Kf6'], ['h3', 'Ke5'], ['c7', 'Bxf3+'], ['Kh2', 'Ne2'], ['Nd5', 'Bg1+']]",0-1
Lone Pine op,Lone Pine,1981.??.??,?,"Gurevich, Dmitry","Hebert, Jean",,,B88,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e6'], ['Bc4', 'a6'], ['Bb3', 'Be7'], ['f4', 'Nc6\n'], ['Be3', 'O-O'], ['Qe2', 'Qc7'], ['f5', 'exf5'], ['exf5', 'd5'], ['O-O-O', 'Bc5'], ['Qf3', 'Bxd4'], ['Bxd4', 'Nxd4\n'], ['Rxd4', 'Qe5'], ['Qd3', 'Bxf5'], ['Qd2', 'Be6'], ['Nxd5', 'Nxd5']]",1/2-1/2
Lone Pine op,Lone Pine,1981.??.??,?,"Gurevich, Dmitry","Dzindzichashvili, Roman",,,E48,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'c5'], ['Bd3', 'Nc6'], ['Ne2', 'cxd4'], ['exd4', 'd5'], ['a3', 'dxc4\n'], ['Bxc4', 'Be7'], ['O-O', 'O-O'], ['Ba2', 'b6'], ['Qd3', 'Bb7'], ['Rd1', 'Re8'], ['Qh3', 'Bf8'], ['Bg5', 'h6\n'], ['d5', 'exd5'], ['Bxd5', 'hxg5'], ['Bxc6', 'Bxc6'], ['Rxd8', 'Raxd8'], ['Qg3', 'Rd2'], ['Qc7', 'Ba8\n'], ['b4', 'Bd6'], ['Qxa7', 'Be5'], ['Rc1', 'Bxc3'], ['Nxc3', 'Rc2'], ['Rd1', 'Rxc3'], ['h3', 'b5'], ['a4', 'bxa4\n'], ['Qxa4', 'Kh7'], ['b5', 'Kg6'], ['Rd6', 'Re1+'], ['Kh2', 'Be4'], ['b6', 'Rcc1'], ['Qd4', 'Kh5'], ['f3', 'Red1\n'], ['Qxd1', 'Rxd1'], ['Rxd1', 'Bb7'], ['Rd8', 'Kg6'], ['Rb8', 'Bd5'], ['Rf8', 'Nd7'], ['Rd8', 'Nxb6'], ['Rd6+', '']]",1-0
Lone Pine op,Lone Pine,1981.??.??,?,"Gurevich, Dmitry","Youngworth, Perry",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'c5'], ['dxc5', 'Nc6'], ['Bb5', 'Bd7'], ['Bxc6', 'Bxc6'], ['e6', 'fxe6'], ['Nf3', 'Nf6\n'], ['O-O', 'g6'], ['Be3', 'Bg7'], ['Bd4', 'O-O'], ['Re1', 'Ne4'], ['Bxg7', 'Kxg7'], ['Nc3', 'Kg8'], ['Qd4', 'Qc7\n'], ['Nxe4', 'dxe4'], ['Qe5', 'Qxe5'], ['Nxe5', 'Rad8'], ['Nxc6', 'bxc6'], ['Kf1', 'Rd4'], ['c3', 'Rc4'], ['Rad1', 'Rb8\n'], ['Rd2', 'a5'], ['Ke2', 'Rb5'], ['Ke3', 'Rcxc5'], ['a4', 'Rb7'], ['Ree2', 'e5'], ['Kxe4', 'Rc4+'], ['Kxe5', 'Rxa4\n'], ['g3', 'Kf7'], ['Rd4', 'Ra2'], ['Rdd2', 'Ra4'], ['Re4', 'Ra2'], ['Ree2', '']]",1/2-1/2
