URS-ch sf,Severodonetsk,1982.??.??,?,"Gavrikov, Viktor","Gurevich, Mikhail",,,A87,"[['d4', 'd6'], ['Nf3', 'g6'], ['c4', 'f5'], ['Nc3', 'Nf6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['d5', 'Na6'], ['Nd4', 'Qe8\n'], ['O-O', 'Bd7'], ['e3', 'c6'], ['Rb1', 'Nc7'], ['b4', 'cxd5'], ['cxd5', 'Rc8'], ['a4', 'Na8'], ['Qb3', 'Ne4\n'], ['Nxe4', 'fxe4'], ['b5', 'Bxd4'], ['exd4', 'Bg4'], ['Bh6', 'Rf7'], ['Bxe4', 'Nb6'], ['f3', 'Bd7'], ['Rbc1', 'e6\n'], ['Rce1', '']]",1-0
URS-ch sf,Severodonetsk,1982.??.??,?,"Vitolinsh, Alvis","Gurevich, Mikhail",,,B08,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Nf3', 'Bg7'], ['Be2', 'O-O'], ['O-O', 'Bg4'], ['Be3', 'Nc6'], ['Nd2', 'Bxe2\n'], ['Qxe2', 'e5'], ['d5', 'Nd4'], ['Qd3', 'c6'], ['dxc6', 'bxc6'], ['Nb3', 'Ne6'], ['Rfd1', 'Ng4'], ['Bc1', 'f5\n'], ['Rf1', 'fxe4'], ['Qxe4', 'Nf6'], ['Qxc6', 'Rc8'], ['Qa6', 'Qd7'], ['Qb5', 'Qf7'], ['Be3', 'Nc7'], ['Qe2', 'd5\n'], ['Bg5', 'Nh5'], ['Rad1', 'h6'], ['Bc1', 'Rfd8'], ['g3', 'Re8'], ['Nb5', 'Nxb5'], ['Qxb5', 'Nf6'], ['c3', 'Qe6\n'], ['Rfe1', 'Rc4'], ['Nd2', 'a6'], ['Qb3', 'Qh3'], ['Nf1', 'Rc7'], ['Qa4', 'Qc8'], ['Ne3', 'Rd8'], ['Ng2', 'Re8\n'], ['Qc2', 'Kh7'], ['Nh4', 'Qg4'], ['f3', 'Qh5'], ['Qf2', 'g5'], ['Nf5', 'Bf8'], ['g4', 'Qf7'], ['h4', 'gxh4\n'], ['Qxh4', 'Qg6'], ['Kg2', 'e4'], ['Rh1', 'exf3+'], ['Kxf3', 'Rc4'], ['Rd4', 'Rxd4'], ['cxd4', 'Re4'], ['Nxh6', 'Rxd4\n'], ['Nf5+', 'Kg8'], ['Bg5', 'Rxg4'], ['Qh8+', 'Kf7'], ['Qxf6+', 'Qxf6'], ['Bxf6', 'Ra4'], ['Bd4', 'Rxa2\n'], ['Kf4', 'a5'], ['Rh7+', 'Ke6'], ['Be5', 'd4'], ['Ke4', 'Bc5'], ['Rc7', '']]",1-0
URS-ch sf,Severodonetsk,1982.??.??,?,"Tseshkovsky, Vitaly","Gurevich, Mikhail",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['h3', 'Nbd7'], ['Nge2', 'e5'], ['O-O', 'exd4\n'], ['Nxd4', 'Re8'], ['Nb3', 'Nb6'], ['a4', 'a5'], ['f4', 'Bd7'], ['Qd3', 'Be6'], ['Rd1', 'Nfd7'], ['Nd4', 'Nc5\n'], ['Qf1', 'Bd7'], ['b3', 'f5'], ['exf5', 'Bxf5'], ['Bb2', 'Ne4'], ['Nxe4', 'Bxe4'], ['Rab1', 'Qd7'], ['Re1', 'Bxg2\n'], ['Rxe8+', 'Rxe8'], ['Qxg2', 'c6'], ['Nf3', 'Bxb2'], ['Rxb2', 'Nd5'], ['Rb1', 'Ne3'], ['Qf2', 'Qxh3'], ['Re1', 'Qe6\n'], ['c3', 'Kf8'], ['Nh2', 'b5'], ['f5', 'Qxf5'], ['Rxe3', 'Rxe3'], ['Qxe3', 'Qb1+'], ['Kg2', 'Qxb3'], ['axb5', 'Qxb5\n'], ['Nf3', 'a4'], ['Nd4', 'Qd5+'], ['Kh2', 'a3'], ['Ne6+', 'Kg8'], ['Nd8', 'Qh5+'], ['Kg2', 'Qe5'], ['Qf2', 'Qd5+\n'], ['Kh2', 'a2'], ['Qb2', 'Qh5+'], ['Kg2', 'Qa5'], ['Nxc6', 'Qa4'], ['Qb8+', 'Kg7'], ['Qb7+', 'Kh6'], ['Ne7', 'Qe8\n'], ['Qe4', 'Kg7'], ['Qd4+', 'Kf7'], ['Qc4+', 'Kxe7'], ['Qxa2', 'Qc6+'], ['Kh2', 'Qxc3'], ['Qa7+', 'Ke6\n'], ['Qxh7', 'Qc2+'], ['Kh3', 'Qf5+'], ['Kg2', 'Qe4+'], ['Kf2', 'd5'], ['Qg8+', 'Kf5'], ['Qc8+', 'Kg5'], ['Qd8+', 'Kg4\n'], ['Qh4+', 'Kf5'], ['Qh3+', 'Qg4'], ['Qh8', 'Qe4'], ['Qc8+', 'Kg5'], ['Qd8+', 'Kg4'], ['Qh4+', 'Kf5'], ['Qd8', 'd4\n'], ['Qd7+', 'Kg5'], ['Qa4', 'Qe3+'], ['Kg2', 'Qe2+'], ['Kh3', 'Qf1+'], ['Kh2', 'Qf2+'], ['Kh3', 'Qf3'], ['Kh2', 'd3\n'], ['Qa5+', 'Kf6'], ['g4', 'Qe2+'], ['Kh3', 'Qe3+'], ['Kg2', 'd2'], ['Qd8+', 'Ke5'], ['Qc7+', 'Kd5'], ['Qd7+', 'Kc4\n'], ['Qa4+', 'Kc3'], ['Qa3+', 'Kd4'], ['Qa7+', 'Ke4'], ['Qe7+', 'Kd3'], ['Qa3+', 'Ke2'], ['Qa6+', 'Qd3'], ['Qe6+', 'Kd1\n'], ['Qb6', 'Qe4+'], ['Kg3', 'Ke2'], ['Qb2', 'g5'], ['Kh2', 'Qf4+'], ['Kh1', 'Qf1+'], ['Kh2', 'Qf2+']]",0-1
URS-ch sf,Severodonetsk,1982.??.??,?,"Gurevich, Mikhail","Vasilev, Nikolai",,,A07,"[['g3', 'd5'], ['d3', 'Nf6'], ['Bg2', 'c6'], ['Nd2', 'g6'], ['Ngf3', 'Bg7'], ['O-O', 'O-O'], ['e4', 'dxe4'], ['dxe4', 'Be6\n'], ['Qe2', 'Na6'], ['h3', 'h6'], ['c3', 'Nc5'], ['Nd4', 'Bc8'], ['e5', 'Nd5'], ['f4', 'Qb6'], ['Kh2', 'Qa6'], ['c4', 'Nb4\n'], ['Ne4', 'Ncd3'], ['Be3', 'Qxc4'], ['a3', 'Nd5'], ['Bg1', 'Nxe5'], ['fxe5', 'Qxe2'], ['Nxe2', 'Bxe5'], ['N2c3', 'Nxc3\n'], ['Nxc3', 'Rd8'], ['Rad1', 'Be6'], ['Bc5', 'Rxd1'], ['Rxd1', 'Kf8'], ['Bf3', 'Bc7'], ['Kg2', 'a6'], ['Be3', 'h5\n'], ['Ne4', 'Rd8'], ['Rxd8+', 'Bxd8'], ['Nc5', 'Bc8'], ['h4', 'Bc7'], ['Bd4', 'e5'], ['Bc3', 'f6'], ['Bb4', 'Kg7\n'], ['Ne4', 'Be6'], ['Be7', 'f5'], ['Nd6', 'e4'], ['Be2', 'Bd5'], ['Nxb7', 'e3+']]",1-0
URS-ch sf,Severodonetsk,1982.??.??,?,"Gurevich, Mikhail","Tseitlin, Mark D",,,A07,"[['g3', 'd5'], ['Bg2', 'e5'], ['d3', 'Nf6'], ['Nf3', 'Nc6'], ['O-O', 'h6'], ['c4', 'd4'], ['b4', 'Nxb4'], ['Nxe5', 'Bd6\n'], ['a3', 'Na6'], ['Nf3', 'O-O'], ['Nbd2', 'c5'], ['Rb1', 'Nb8'], ['Nb3', 'Qc7'], ['e3', 'dxe3'], ['Bxe3', 'Ng4\n'], ['Bd2', 'Nc6'], ['d4', 'cxd4'], ['c5', 'Be7'], ['Bf4', 'Qd8'], ['h3', 'Nf6'], ['Ne5', 'Nd5'], ['Nxc6', 'bxc6\n'], ['Nxd4', 'Nxf4'], ['Nxc6', 'Qc7'], ['Nxe7+', 'Qxe7'], ['gxf4', 'Bf5'], ['Re1', 'Qf6'], ['Bxa8', 'Bxb1\n'], ['Bg2', 'Bf5'], ['c6', 'Rd8'], ['Qc1', 'Qd6'], ['Re5', 'g6'], ['Rd5', 'Qc7'], ['Rxd8+', 'Qxd8'], ['c7', 'Qc8\n'], ['Qc5', 'Qa6'], ['Qe7', 'Qc4'], ['Bd5', '']]",1-0
URS-ch sf,Severodonetsk,1982.??.??,?,"Gurevich, Mikhail","Panchenko, Alexander N",,,D26,"[['c4', 'Nf6'], ['Nc3', 'e6'], ['Nf3', 'd5'], ['d4', 'dxc4'], ['e3', 'a6'], ['Bxc4', 'b5'], ['Be2', 'Bb7'], ['O-O', 'Nbd7\n'], ['a4', 'b4'], ['Nb1', 'c5'], ['Nbd2', 'Be7'], ['b3', 'O-O'], ['Bb2', 'Rc8'], ['Rc1', 'Nd5'], ['Nc4', 'cxd4\n'], ['Nxd4', 'Nc5'], ['Bf3', 'Bf6'], ['Qc2', 'e5'], ['Ne2', 'e4'], ['Bg4', 'Rc7'], ['Bxf6', 'Qxf6'], ['Rcd1', 'Nc3\n'], ['Rd4', 'Qg5'], ['Nxc3', 'Qxg4'], ['f3', 'Qg6'], ['Nxe4', 'Nxe4'], ['fxe4', 'Re8'], ['Qd2', 'h6'], ['e5', 'Kh7\n'], ['h3', 'Bc8'], ['Kh1', 'Be6'], ['Qxb4', 'Bxc4'], ['bxc4', 'Rxe5'], ['Qb8', 'Rce7'], ['Rd8', 'Qg5'], ['Rh8+', 'Kg6\n'], ['Qg8', 'f5'], ['Rf3', 'Kh5'], ['Qc8', 'g6'], ['Rf8', 'R7e6'], ['Qb7', 'Rxe3'], ['Kh2', 'Re2'], ['Rg3', 'Qf4\n'], ['Qf3+', 'Qxf3'], ['Rxf3', 'R6e3'], ['Rxe3', 'Rxe3'], ['Rf6', 'a5'], ['Ra6', 'Rc3'], ['Rxa5', 'Rxc4\n'], ['Kg3', 'Rc3+'], ['Kf2', 'Ra3'], ['g3', 'Ra2+']]",1/2-1/2
URS-ch sf,Severodonetsk,1982.??.??,?,"Gurevich, Mikhail","Filipenko, Alexander V",,,D45,"[['c4', 'c6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Nf3', 'e6'], ['e3', 'Nbd7'], ['Qc2', 'Bd6'], ['Bd2', 'O-O'], ['O-O-O', 'c5\n'], ['e4', 'cxd4'], ['Nxd4', 'dxc4'], ['Bxc4', 'a6'], ['Be2', 'Bc5'], ['Nb3', 'Bxf2'], ['Rhf1', 'Qb6'], ['Kb1', 'Qa7\n'], ['Bf4', 'e5'], ['Bg5', 'b5'], ['Rd3', 'b4'], ['Nd1', 'Bb6'], ['Rg3', 'Kh8'], ['Ne3', 'Bb7'], ['Nd5', 'Nxd5\n'], ['exd5', 'Bxd5'], ['Rh3', 'g6'], ['Bf3', 'Bxf3'], ['Rhxf3', 'f5'], ['Rd3', 'Nc5'], ['Rd5', 'Nxb3'], ['axb3', 'Rac8\n'], ['Qd2', 'Bd4'], ['Qxb4', 'Qa8'], ['Qa5', 'Qb7'], ['Bh6', 'Rfe8'], ['Ka2', 'Rc2'], ['Rb1', 'Rxg2'], ['Rd8', 'Qe7\n'], ['Qc7', 'Bxb2'], ['Rxe8+', '']]",1-0
URS-ch sf,Severodonetsk,1982.??.??,?,"Gurevich, Mikhail","Butnorius, Algimantas",,,A03,"[['g3', 'd5'], ['Bg2', 'Nf6'], ['d3', 'c5'], ['f4', 'Nc6'], ['Nf3', 'g6'], ['O-O', 'Bg7'], ['Nc3', 'd4'], ['Na4', 'Nd7\n'], ['c4', 'O-O'], ['e4', 'dxe3'], ['Bxe3', 'Rb8'], ['d4', 'cxd4'], ['Nxd4', 'Nxd4'], ['Bxd4', 'b5'], ['cxb5', 'Rxb5\n'], ['Bc6', 'Rb4'], ['Bxg7', 'Kxg7'], ['a3', 'Rc4'], ['Bb5', 'Re4'], ['Re1', 'Rxe1+'], ['Qxe1', 'Nf6'], ['Rd1', 'Qc7\n'], ['Qc3', 'Qb8'], ['Be2', 'Bh3'], ['b4', 'h5'], ['Nc5', 'Rd8'], ['a4', 'Rxd1+'], ['Bxd1', 'Qd6'], ['Qd3', 'Qb6\n'], ['Qc3', 'a5'], ['bxa5', 'Qb1']]",0-1
URS-ch sf,Severodonetsk,1982.??.??,?,"Gurevich, Mikhail","Andrianov, Nikolai",,,D45,"[['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'c6'], ['e3', 'Nf6'], ['Nf3', 'Nbd7'], ['Qc2', 'Bd6'], ['e4', 'dxe4'], ['Nxe4', 'Nxe4\n'], ['Qxe4', 'Bb4+'], ['Bd2', 'Bxd2+'], ['Nxd2', 'O-O'], ['O-O-O', 'c5'], ['Nf3', 'cxd4'], ['Rxd4', 'Qe7\n'], ['Bd3', 'f5'], ['Qe3', 'e5'], ['Re1', 'e4'], ['Bc2', 'Nc5'], ['Rd5', 'b6'], ['Nd4', 'f4'], ['Qc3', 'Bb7'], ['Nf5', 'Qg5\n'], ['h4', 'Qf6'], ['Qxf6', 'Rxf6'], ['Re5', 'Kf8'], ['Rd1', 'Rc8'], ['Nd6', 'Nd3+'], ['Rxd3', 'exd3'], ['Nxc8', 'dxc2\n'], ['Nxa7', 'Bxg2'], ['Nb5', 'Bf1'], ['b3', 'Bd3'], ['Nd4', 'Rh6'], ['Ne6+', 'Kf7'], ['Nxf4', 'Bf1'], ['Rf5+', 'Ke8\n'], ['h5', 'Rd6'], ['Kxc2', 'g6'], ['hxg6', 'hxg6'], ['Re5+', 'Kd8'], ['Rd5', 'Rxd5'], ['Nxd5', 'b5'], ['Ne3', 'Be2\n'], ['Kd2', '']]",1-0
URS-ch sf,Severodonetsk,1982.??.??,?,"Anikaev, Yuri N","Gurevich, Mikhail",,,E66,"[['d4', 'g6'], ['Nf3', 'Bg7'], ['g3', 'Nf6'], ['c4', 'd6'], ['Bg2', 'O-O'], ['O-O', 'Nc6'], ['Nc3', 'a6'], ['d5', 'Na5\n'], ['Nd2', 'c5'], ['Qc2', 'Rb8'], ['b3', 'b5'], ['Bb2', 'Bh6'], ['f4', 'bxc4'], ['bxc4', 'e5'], ['dxe6', 'Bxe6\n'], ['Nd5', 'Rxb2'], ['Qxb2', 'Bg7'], ['Qc1', 'Ng4'], ['Rb1', 'Bd4+'], ['Kh1', 'Ne3'], ['Nxe3', 'Bxe3'], ['Qc2', 'Bxd2\n'], ['Qxd2', 'Nxc4'], ['Qd3', 'd5'], ['Rfc1', 'Re8'], ['Rb3', 'Qc7'], ['Bxd5', 'Rd8'], ['e4', 'Nb6'], ['Rxb6', 'Qxb6\n'], ['Qc4', 'Bxd5'], ['exd5', 'Qb2'], ['Qxc5', 'Qxa2'], ['Rd1', 'Re8'], ['Kg1', 'Re2'], ['Qc8+', 'Kg7'], ['Qc3+', 'Kh6\n'], ['Qf3', 'Qc2'], ['Qf1', 'Rg2+'], ['Qxg2', 'Qxd1+'], ['Qf1', 'Qxf1+'], ['Kxf1', 'Kg7'], ['Ke2', 'Kf6']]",0-1
