FRG-ch,Bad Aibling,1965.??.??,1,"Huebner, Robert","Delander, Adolf",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'Bf5'], ['c4', 'dxc4'], ['Bxc4', 'e6'], ['Nc3', 'Ne7'], ['Nge2', 'Nd5'], ['O-O', 'Nd7\n'], ['Ng3', 'g6'], ['Nce4', 'h6'], ['Bd2', 'N7b6'], ['Bb3', 'Qh4'], ['Re1', 'Be7'], ['a4', 'a5'], ['Rc1', 'O-O\n'], ['Nc5', 'Ra7'], ['Nge4', 'Nb4'], ['g3', 'Qh3'], ['Bxb4', 'axb4'], ['a5', 'Bxe4'], ['Rxe4', 'Nd5'], ['Bxd5', 'exd5\n'], ['Re1', 'Rxa5'], ['Nxb7', 'Rb5'], ['Nd6', 'Rb6'], ['Ra1', 'Qd7'], ['Nxf7', 'Qh3'], ['e6', 'c5'], ['Ra7', 'Rxe6\n'], ['Rxe7', 'Rxe1+'], ['Qxe1', 'Rxf7'], ['Re8+', 'Kh7'], ['Qe5', 'Rg7'], ['Qb8', 'g5'], ['Rh8+', 'Kg6'], ['Qd6+', 'Kf5\n'], ['Rxh6', 'Qxh6'], ['Qxh6', 'Rf7'], ['Qd6', 'cxd4'], ['Qxd5+', 'Kg6'], ['Qxd4', '']]",1-0
FRG-ch,Bad Aibling,1965.??.??,2,"Eisinger, Max Jr","Huebner, Robert",,,B43,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Nc3', 'b5'], ['Bd3', 'Bb7'], ['O-O', 'Ne7'], ['e5', 'Nec6\n'], ['Nf3', 'd6'], ['exd6', 'Bxd6'], ['Ne4', 'Be7'], ['Bg5', 'f6'], ['Bd2', 'Nd7'], ['a4', 'b4'], ['Re1', 'e5\n'], ['Nh4', 'g6'], ['Nf5', 'Nc5'], ['Nxe7', 'Qxe7'], ['Nxc5', 'Qxc5'], ['Bh6', 'Qe7'], ['Qg4', 'Rd8'], ['Rad1', 'Rd4\n'], ['Qe2', 'Qd8'], ['Bc4', 'Ke7'], ['c3', 'bxc3'], ['bxc3', 'Rxd1'], ['Rxd1', 'Qa5'], ['Qb2', 'Qc7'], ['Bg7', 'Na5\n'], ['Qb4+', 'Ke8'], ['Bxh8', 'Nxc4'], ['Bxf6', 'a5'], ['Qb5+', 'Qc6'], ['Rd8+', 'Kf7'], ['Rd7+', 'Kxf6\n'], ['Qxb7', 'Qxa4'], ['Qf3+', 'Kg5'], ['h4+', 'Kh6'], ['Qf8+', '']]",1-0
FRG-ch,Bad Aibling,1965.??.??,3,"Huebner, Robert","Degenhardt, Norbert",,,B90,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bc4', 'a6'], ['Nxc6', 'bxc6'], ['e5', 'Nd7\n'], ['exd6', 'exd6'], ['Bf4', 'Nf6'], ['O-O', 'Be7'], ['Ne2', 'O-O'], ['Nd4', 'Qb6'], ['Re1', 'Ra7'], ['Re3', 'c5\n'], ['Rb3', 'Qc7'], ['Ne2', 'Be6'], ['Bxe6', 'fxe6'], ['c4', 'Qc6'], ['Ng3', 'd5'], ['Qe2', 'Ne4'], ['Rb8', 'Rxb8\n'], ['Bxb8', 'Rb7'], ['Be5', 'Nxg3'], ['hxg3', 'Bd6'], ['cxd5', 'exd5'], ['Bxd6', 'Qxd6'], ['Qe8+', 'Qf8\n'], ['Qe6+', 'Kh8'], ['b3', 'd4'], ['Qxa6', 'Rf7'], ['Rf1', 'h6'], ['Qe6', 'Ra7'], ['a4', 'Qd8'], ['Re1', 'Kh7\n'], ['Qf5+', 'g6'], ['Qxc5', 'Rc7'], ['Qa5', 'd3'], ['Qd2', 'Qd6'], ['Rd1', 'Rd7'], ['b4', 'Qd5'], ['Ra1', 'Qb3\n'], ['a5', 'Qc2'], ['Rd1', 'Qc4'], ['Rc1', 'Qa6'], ['Kh2', 'h5'], ['Rd1', 'Qc4'], ['Qf4', 'Rd4'], ['Qe3', 'Rd7\n'], ['Qf4', 'Rd4'], ['Qe3', 'Rd7'], ['Qc5', 'Qg4'], ['f3', 'Qe6'], ['Rd2', 'Qe1'], ['Qf2', 'Qxf2'], ['Rxf2', 'd2']]",0-1
FRG-ch,Bad Aibling,1965.??.??,4,"Huebner, Robert","Eising, Johannes",,,D93,"[['d4', 'Nf6'], ['c4', 'c6'], ['Nc3', 'd5'], ['Nf3', 'g6'], ['Bf4', 'Bg7'], ['e3', 'O-O'], ['Be2', 'dxc4'], ['Bxc4', 'Bg4\n'], ['h3', 'Bxf3'], ['Qxf3', 'Nbd7'], ['O-O', 'a5'], ['Rfd1', 'Nb6'], ['Bf1', 'Nfd5'], ['Bh2', 'f5'], ['Ne2', 'e6\n'], ['Nc1', 'Qe7'], ['Qe2', 'e5'], ['Bxe5', 'Bxe5'], ['dxe5', 'Qxe5'], ['Nd3', 'Qe7'], ['Qc2', 'Nd7'], ['Qb3', 'Nf6\n'], ['Nf4', 'Kg7'], ['Nxd5', 'Nxd5'], ['Rd4', 'f4'], ['e4', 'Nf6'], ['Rad1', 'a4'], ['Rxa4', 'Rxa4'], ['Qxa4', 'Qxe4\n'], ['Rd7+', 'Rf7'], ['Rxf7+', 'Kxf7'], ['Qb3+', 'Kf8'], ['Qxb7', 'f3'], ['Qb8+', 'Ke7'], ['Qa7+', 'Kf8\n'], ['Qa3+', 'Kf7'], ['Qxf3', 'Qxf3'], ['gxf3', 'Ke6'], ['Kh2', 'Ke5'], ['a4', 'Nd5'], ['a5', '']]",1-0
FRG-ch,Bad Aibling,1965.??.??,5,"Schroeder, Hannes","Huebner, Robert",,,D25,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['e3', 'Bg4'], ['h3', 'Bh5'], ['c4', 'dxc4'], ['Bxc4', 'Nbd7'], ['O-O', 'e6'], ['b3', 'Bd6\n'], ['Bb2', 'O-O'], ['Nbd2', 'Qe7'], ['Be2', 'e5'], ['Nxe5', 'Bxe2'], ['Qxe2', 'Nxe5'], ['dxe5', 'Bxe5'], ['Bxe5', 'Qxe5\n'], ['Nc4', 'Qe7'], ['Rad1', 'Rfd8'], ['Rxd8+', 'Rxd8'], ['Rd1', 'Rd7'], ['Rxd7', 'Qxd7'], ['Qd2', 'b5'], ['Qxd7', 'Nxd7\n'], ['Na3', 'a6'], ['Kf1', 'f6'], ['Ke2', 'Kf7'], ['e4', 'Ke6'], ['Ke3', 'c5'], ['f4', 'Nb8'], ['Nc2', 'Nc6'], ['Kd3', 'Kd6\n'], ['Kc3', 'Nd8'], ['Kd3', '']]",1/2-1/2
FRG-ch,Bad Aibling,1965.??.??,6,"Huebner, Robert","Troeger, Paul",,,A25,"[['c4', 'e5'], ['Nc3', 'Nc6'], ['g3', 'd6'], ['Bg2', 'Be6'], ['Nd5', 'g6'], ['b4', 'Bg7'], ['Bb2', 'Qd7'], ['Qb3', 'Nge7\n'], ['f4', 'f6'], ['Nf3', 'O-O'], ['O-O', 'b5'], ['d3', 'Rab8'], ['a3', 'bxc4'], ['Nxe7+', 'Qxe7'], ['Qc2', 'a5\n'], ['bxa5', 'Nxa5'], ['Bc3', 'Nb3'], ['Rab1', 'cxd3'], ['exd3', 'Nc5'], ['Bb4', 'Na6'], ['Bd2', 'c5'], ['fxe5', 'dxe5\n'], ['Qc3', 'Qd6'], ['Be3', 'Rfd8'], ['a4', 'Bf8'], ['Rxb8', 'Qxb8'], ['Nd2', 'Qb4'], ['Qc2', 'Be7'], ['Nc4', 'Qb8\n'], ['Rd1', 'Nb4'], ['Qe2', 'Kg7'], ['a5', 'Qb5'], ['Ra1', 'Qa6'], ['Be4', 'Rb8'], ['Bd2', 'Rb5'], ['Qe3', 'Bf7\n'], ['Qh6+', 'Kg8'], ['Bc3', 'Bf8'], ['Qd2', 'Bg7'], ['g4', 'h6'], ['Nb6', 'Rxa5'], ['Rxa5', 'Qxa5'], ['Nd5', 'Qa7\n'], ['Ne3', 'Qd7'], ['Bxb4', 'cxb4'], ['Qxb4', 'Bf8'], ['Qb6', 'Kg7'], ['Kg2', 'Be6'], ['Bf3', 'Be7'], ['h3', 'Kf7\n'], ['Be2', 'Qc8'], ['Qa7', 'Qc5'], ['Qxc5', 'Bxc5'], ['Nf1', 'f5'], ['gxf5', 'gxf5'], ['Nd2', 'Kf6'], ['Bd1', 'Be3\n'], ['Nf3', 'Bd5'], ['Ba4', 'Bb7'], ['Bb5', 'e4'], ['dxe4', 'fxe4'], ['Nh2', 'Bf4'], ['Ng4+', 'Kg5'], ['Kf2', 'h5\n'], ['Ne3', 'Bc7'], ['Ng2', 'Bb6+'], ['Ke2', 'Bc8'], ['Bc6', 'Ba6+'], ['Kd2', 'Bd3'], ['Ba4', 'h4'], ['Bc2', 'Ba5+\n'], ['Kd1', 'Bxc2+'], ['Kxc2', 'Bd8'], ['Kd2', 'Kf5'], ['Ke2', '']]",1/2-1/2
FRG-ch,Bad Aibling,1965.??.??,7,"Hodakowsky, Georg","Huebner, Robert",,,A89,"[['d4', 'f5'], ['g3', 'Nf6'], ['Bg2', 'g6'], ['c4', 'Bg7'], ['Nc3', 'O-O'], ['Nf3', 'd6'], ['O-O', 'Nc6'], ['d5', 'Ne5\n'], ['Nxe5', 'dxe5'], ['e4', 'f4'], ['gxf4', 'exf4'], ['Bxf4', 'Nxe4'], ['Bg3', 'Nxg3'], ['hxg3', 'e6'], ['Qe2', 'exd5\n'], ['Nxd5', 'c6'], ['Ne7+', 'Kh8'], ['Nxc8', 'Rxc8'], ['Rad1', 'Bd4'], ['Be4', 'Qf6'], ['Kg2', 'Rcd8'], ['b3', 'Rd7\n'], ['Qg4', 'Rg7'], ['f3', 'Be3'], ['Rd3', 'Qb2+'], ['Kh3', 'Bb6'], ['a4', 'Bc7'], ['Rfd1', 'Qe5'], ['Rd4', 'Bb6\n'], ['Rd7', 'h5'], ['Qh4', 'Rxd7'], ['Rxd7', 'Qe6+']]",0-1
FRG-ch,Bad Aibling,1965.??.??,8,"Huebner, Robert","Kestler, Hans Guenther",,,A53,"[['d4', 'Nf6'], ['c4', 'd6'], ['Nc3', 'e5'], ['dxe5', 'dxe5'], ['Qxd8+', 'Kxd8'], ['Bg5', 'Nd7'], ['O-O-O', 'c6'], ['Nf3', 'Kc7\n'], ['Bh4', 'Bb4'], ['Nb1', 'a5'], ['a3', 'Bd6'], ['Nfd2', 'a4'], ['Nc3', 'Nc5'], ['f3', 'h6'], ['Bf2', 'Be6'], ['g4', 'Nfd7\n'], ['Kc2', 'Be7'], ['e3', 'h5'], ['Be2', 'hxg4'], ['fxg4', 'Bh4'], ['Bg1', 'Rh7'], ['Nde4', 'Nxe4'], ['Nxe4', 'Be7\n'], ['Bf2', 'Rah8'], ['Bg3', 'Bh4'], ['Rhe1', 'Bxg3'], ['hxg3', 'Rh2'], ['Rd2', 'f6'], ['Kc3', 'Rg2'], ['Bd1', 'Rxd2\n'], ['Nxd2', 'Nc5'], ['g5', 'f5'], ['Bf3', 'Rh3'], ['Rg1', 'b6'], ['Nf1', 'Rh8'], ['Rg2', 'Rh1'], ['Be2', 'Ne4+\n'], ['Kb4', 'c5+'], ['Kxa4', 'b5+'], ['cxb5', 'Rh8'], ['b6+', 'Kxb6']]",0-1
FRG-ch,Bad Aibling,1965.??.??,9,"Hecht, Hans Joachim","Huebner, Robert",,,B42,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Bd3', 'Bc5'], ['Nb3', 'Ba7'], ['O-O', 'Nc6'], ['Qe2', 'd6\n'], ['Be3', 'Bxe3'], ['Qxe3', 'Nf6'], ['a4', 'e5'], ['Bc4', 'Be6'], ['Na3', 'O-O'], ['Rad1', 'Qc7'], ['Bd5', 'Bd7\n'], ['c4', 'Ne7'], ['a5', 'Ba4'], ['Rd3', 'Rab8'], ['f4', 'exf4'], ['Qxf4', 'Nfxd5'], ['exd5', 'Ng6'], ['Qd4', 'Ne5\n'], ['Re3', 'Bxb3'], ['Rxb3', 'Qxa5'], ['Qb6', 'Qc5+'], ['Qxc5', 'dxc5'], ['Re1', 'Rfe8'], ['Kf1', 'Kf8\n'], ['Rc1', 'Re7'], ['Nb1', 'b5'], ['cxb5', 'c4'], ['Re3', 'axb5'], ['Rce1', 'f6'], ['b3', 'Ra7'], ['Nd2', 'Rd8\n'], ['bxc4', 'bxc4'], ['Nf3', 'Nxf3'], ['gxf3', 'Rxd5'], ['Re8+', 'Kf7'], ['Rc8', 'Rd2']]",0-1
FRG-ch,Bad Aibling,1965.??.??,10,"Huebner, Robert","Pfleger, Helmut",,,D30,"[['Nf3', 'Nf6'], ['c4', 'e6'], ['g3', 'd5'], ['b3', 'c5'], ['cxd5', 'exd5'], ['Bg2', 'Nc6'], ['O-O', 'Be7'], ['d4', 'O-O\n'], ['Bb2', 'Bg4'], ['Nbd2', 'Rc8'], ['Ne5', 'Bf5'], ['Ndf3', 'Be4'], ['Rc1', 'cxd4'], ['Nxc6', 'bxc6'], ['Bh3', 'Nd7\n'], ['Nxd4', 'c5'], ['Nb5', 'd4'], ['Nxd4', 'Bf6'], ['Nf3', 'Bxb2'], ['Qxd7', 'Qxd7'], ['Bxd7', 'Rc7'], ['Rcd1', 'Bxf3\n'], ['exf3', 'Rb8'], ['Rfe1', 'Bd4'], ['Bb5', 'g6'], ['Bc4', 'a5'], ['a4', 'Kg7'], ['Re4', 'Rd8'], ['Rde1', 'Kf8\n'], ['f4', 'Bf6'], ['f5', '']]",1/2-1/2
