Dubai ol (Men),Dubai,1986.??.??,1,"Rush, J.","Illescas Cordoba, Miguel",,,B48,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'Qc7'], ['Be2', 'a6'], ['O-O', 'Nf6'], ['a3', 'd6\n'], ['Be3', 'Be7'], ['f4', 'O-O'], ['Qd3', 'Bd7'], ['Rad1', 'Rac8'], ['Nb3', 'b5'], ['Bf3', 'Rfd8'], ['Rf2', 'Be8\n'], ['Rfd2', 'Nd7'], ['Qf1', 'Nb6'], ['Be2', 'Rb8'], ['Bxb5', 'axb5'], ['Nxb5', 'Qb7'], ['Nxd6', 'Bxd6'], ['Rxd6', 'Rxd6\n'], ['Rxd6', 'Na4'], ['Bc1', 'Ne7'], ['Qd3', 'Qc7'], ['h3', 'Rxb3'], ['cxb3', 'Qxc1+'], ['Qd1', 'Qe3+'], ['Kh1', 'Nc5\n'], ['Rd8', 'Kf8'], ['Qh5', 'Nxe4'], ['Qxh7', 'Qc1+'], ['Kh2', 'Qxf4+'], ['Kg1', 'Ng6'], ['Rc8', 'Nf6']]",0-1
Dubai ol (Men),Dubai,1986.??.??,2,"Mirza, Shahzad","Illescas Cordoba, Miguel",,,A31,"[['d4', 'Nf6'], ['c4', 'c5'], ['Nf3', 'cxd4'], ['Nxd4', 'b6'], ['Nc3', 'Bb7'], ['Bg5', 'd6'], ['f3', 'e6'], ['e4', 'Be7\n'], ['Qa4+', 'Nfd7'], ['Bxe7', 'Qxe7'], ['Ndb5', 'O-O'], ['Qd1', 'a6'], ['Nxd6', 'Bc6'], ['Qd4', 'Ra7'], ['Be2', 'Ba8\n'], ['Rd1', 'Nc6'], ['Qe3', 'g6'], ['f4', 'e5'], ['O-O', 'exf4'], ['Qxf4', 'Nce5'], ['Kh1', 'Rd8'], ['Rd2', 'Kg7\n'], ['Rfd1', 'Rf8'], ['h3', 'h6'], ['Qe3', 'Rb8'], ['b4', 'Rc7'], ['Na4', 'Qh4'], ['c5', 'bxc5'], ['Nxc5', 'Nxc5\n'], ['bxc5', 'Nd7'], ['Bc4', 'Nxc5'], ['Bxf7', 'Nxe4'], ['Nxe4', 'Rxf7'], ['Nd6', 'Re7'], ['Qc3+', 'Kh7\n'], ['Rf1', 'Rd8'], ['Rdf2', 'Bd5']]",0-1
Dubai ol (Men),Dubai,1986.??.??,3,"Illescas Cordoba, Miguel","Ribli, Zoltan",,,B84,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'e6'], ['f4', 'Qc7'], ['O-O', 'Be7\n'], ['Kh1', 'O-O'], ['Qe1', 'b5'], ['Bf3', 'Bb7'], ['e5', 'Ne8'], ['f5', 'dxe5'], ['fxe6', 'Bxf3'], ['Nxf3', 'fxe6\n'], ['Qg3', 'Nd7'], ['Bg5', 'Bxg5'], ['Nxg5', 'Rxf1+'], ['Rxf1', 'Qc6'], ['Nce4', 'Nef6'], ['Nxf6+', 'Nxf6\n'], ['Qxe5', 'Re8'], ['h3', 'Qxc2'], ['a3', 'h6'], ['Nf3', 'Kh7'], ['Re1', 'Rd8'], ['Re2', 'Rd1+'], ['Kh2', 'Qc1\n'], ['Ne1', 'a5'], ['Qxe6', 'Qf4+'], ['Kg1', 'a4'], ['Qe5', 'Qxe5'], ['Rxe5', 'Nd7'], ['Re2', 'Nb6'], ['Kf2', 'Nc4\n'], ['Rc2', 'Kg6'], ['Ke2', 'Rb1'], ['Nf3', 'Rxb2'], ['Rxb2', 'Nxb2'], ['Nd4', 'b4'], ['axb4', 'a3'], ['Kd2', 'a2\n'], ['Nb3', 'Kf5'], ['Na1', 'Na4'], ['Kc2', 'Kf4'], ['Kb3', 'Nb6'], ['Kxa2', 'Kg3'], ['Nc2', 'Kxg2'], ['Ne3+', '']]",1/2-1/2
Dubai ol (Men),Dubai,1986.??.??,4,"Skembris, Spyridon","Illescas Cordoba, Miguel",,,E51,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['c4', 'd5'], ['e3', 'Be7'], ['Nc3', 'O-O'], ['a3', 'b6'], ['Bd3', 'Bb7'], ['O-O', 'Nbd7\n'], ['b4', 'c5'], ['bxc5', 'bxc5'], ['cxd5', 'cxd4'], ['Nxd4', 'Nxd5'], ['Bb2', 'Nc5'], ['Bc4', 'Nxc3'], ['Bxc3', 'Ne4\n'], ['Bb4', 'Bxb4'], ['axb4', 'Qg5'], ['Ra5', 'Qe7'], ['f3', 'Nf6'], ['Qb3', 'Bd5'], ['e4', 'Bxc4'], ['Qxc4', 'Rfc8\n'], ['Nc6', 'Qb7'], ['Rc1', 'Kh8'], ['Qa6', 'Qd7'], ['Rac5', 'h6'], ['Qa1', 'Qd2'], ['Qc3', 'Qxc3'], ['R1xc3', 'Nd7\n'], ['Ra5', 'a6'], ['Rd3', '']]",1/2-1/2
Dubai ol (Men),Dubai,1986.??.??,5,"Sznapik, Aleksander","Illescas Cordoba, Miguel",,,C06,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nf6'], ['e5', 'Nfd7'], ['c3', 'c5'], ['Bd3', 'Nc6'], ['Ne2', 'cxd4'], ['cxd4', 'f6\n'], ['exf6', 'Nxf6'], ['Nf3', 'Bd6'], ['O-O', 'O-O'], ['Bg5', 'Bd7'], ['Rc1', 'Kh8'], ['Bb1', 'Qb6'], ['Nc3', 'Rae8\n'], ['Bh4', 'Qxb2'], ['Bg3', 'Bxg3'], ['hxg3', 'e5'], ['dxe5', 'Nxe5'], ['Nxe5', 'Rxe5'], ['Qd4', 'Rfe8\n'], ['Bd3', 'Qd2'], ['Rcd1', 'Qh6'], ['f3', 'Qe3+'], ['Qxe3', 'Rxe3'], ['Kf2', 'g6'], ['g4', 'Bc6'], ['Rd2', 'Nd7\n'], ['Rc1', 'Kg7'], ['Bf1', 'Nb6'], ['Nb5', 'Bxb5'], ['Bxb5', 'R8e7'], ['g5', 'Ra3'], ['Rcc2', 'h6'], ['gxh6+', 'Kxh6\n'], ['Be2', 'Kg5'], ['Rd4', 'Ra4'], ['Rdd2', 'Kf6'], ['Rd1', 'Re6'], ['Bd3', 'Rc6'], ['Rb2', 'Rc3'], ['Bb1', 'Rc7\n'], ['Rxb6+', 'axb6'], ['Rxd5', 'Rb4'], ['Be4', 'Rb2+'], ['Kg3', 'Ke6'], ['Rg5', 'Rxa2'], ['Rxg6+', 'Ke5\n'], ['Rg5+', 'Kd4'], ['Kh3', 'Rb2'], ['g4', 'b5'], ['Rd5+', 'Ke3'], ['Kg3', 'b4'], ['Rd3+', 'Ke2'], ['g5', 'Rb1\n'], ['g6', 'Rg1+'], ['Kf4', 'Rc4'], ['Rd7', 'Rxg6'], ['Kf5', 'Rxe4'], ['Kxe4', 'Rb6'], ['Kd4', 'b3'], ['Kc3', '']]",1/2-1/2
Dubai ol (Men),Dubai,1986.??.??,6,"McNab, Colin Anderson","Illescas Cordoba, Miguel",,,A14,"[['c4', 'Nf6'], ['Nf3', 'e6'], ['g3', 'd5'], ['b3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'c5'], ['Bb2', 'Nc6'], ['e3', 'b6'], ['Qe2', 'Bb7\n'], ['Rd1', 'Qc7'], ['Nc3', 'Rad8'], ['Rac1', 'dxc4'], ['bxc4', 'Qb8'], ['d3', 'Rfe8'], ['Ba1', 'Bf8'], ['h4', 'h6\n'], ['Nh2', 'Nb4'], ['e4', 'Nd7'], ['f4', 'f5'], ['e5', 'Bxg2'], ['Qxg2', 'Qa8'], ['a3', 'Qxg2+'], ['Kxg2', 'Nc6\n'], ['h5', 'Ndb8'], ['Nf3', 'Rd7'], ['Ne2', 'Red8'], ['Rc3', 'Na5'], ['Nc1', 'Nbc6'], ['Rc2', 'a6'], ['Bc3', 'Nxc4\n'], ['Kf2', 'Nxa3'], ['Ra2', 'Nb5'], ['Bd2', 'a5'], ['g4', 'fxg4'], ['Nh2', 'Nb4'], ['Bxb4', 'cxb4'], ['Rc2', 'b3\n'], ['Rb2', 'a4'], ['Nxg4', 'Ba3']]",0-1
Dubai ol (Men),Dubai,1986.??.??,7,"Illescas Cordoba, Miguel","Panno, Oscar",,,B42,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Bd3', 'g6'], ['Nc3', 'Bg7'], ['Be3', 'Nc6'], ['Be2', 'd5\n'], ['exd5', 'exd5'], ['O-O', 'Nge7'], ['Nxc6', 'bxc6'], ['Bd4', 'Nf5'], ['Bc5', 'Bf8'], ['Bxf8', 'Kxf8'], ['Na4', 'Kg7\n'], ['c4', 'Be6'], ['Nc5', 'Qb6'], ['Nxe6+', 'fxe6'], ['Bg4', 'Qd4'], ['Qxd4+', 'Nxd4'], ['Rad1', 'Nf5'], ['Bxf5', 'gxf5\n'], ['f4', 'Rab8'], ['Rf2', 'Rb4'], ['Re1', 'Kf6'], ['Rfe2', 'Re8'], ['b3', 'dxc4'], ['bxc4', 'Rxc4'], ['g3', 'c5\n'], ['Kg2', 'Ra4'], ['Kh3', 'c4'], ['Re5', 'Rxa2'], ['Rc5', 'Rc2'], ['Ra5', 'Ra8'], ['Rae5', 'Re8'], ['Ra5', 'h5']]",1/2-1/2
Dubai ol (Men),Dubai,1986.??.??,10,"Illescas Cordoba, Miguel","Nunn, John DM",,,C36,"[['e4', 'e5'], ['f4', 'd5'], ['exd5', 'c6'], ['Nc3', 'exf4'], ['Nf3', 'Bd6'], ['Bc4', 'Ne7'], ['dxc6', 'Nbxc6'], ['d4', 'O-O\n'], ['O-O', 'Bg4'], ['Ne4', 'Bc7'], ['c3', 'Nd5'], ['Nc5', 'Rb8'], ['Qe1', 'Re8'], ['Qh4', 'Qxh4'], ['Nxh4', 'Ne3\n'], ['Bxe3', 'Rxe3'], ['Rae1', 'Rxe1'], ['Rxe1', 'g5'], ['h3', 'Bh5'], ['Nf5', 'Bg6'], ['Ne7+', 'Kg7'], ['Nxc6', 'bxc6\n'], ['Na6', 'Rc8'], ['Nxc7', 'Rxc7'], ['Re5', 'f6'], ['Rc5', 'Be4'], ['d5', 'Rd7'], ['dxc6', 'Rc7'], ['Bb5', 'Kf7\n'], ['b4', 'Ke6'], ['a4', 'Kd6'], ['a5', 'h5'], ['h4', 'Bxc6'], ['Bxc6', 'Rxc6'], ['hxg5', 'fxg5'], ['Rxg5', 'Rxc3\n'], ['Rxh5', 'Rc4'], ['b5', 'Rc5'], ['Rxc5', 'Kxc5'], ['b6', '']]",1-0
Dubai ol (Men),Dubai,1986.??.??,11,"Fedorowicz, John P","Illescas Cordoba, Miguel",,,A56,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'a6'], ['a4', 'e5'], ['a5', 'd6'], ['Nc3', 'Be7'], ['e4', 'O-O'], ['h3', 'Ne8'], ['Nf3', 'g6\n'], ['Bh6', 'Ng7'], ['g4', 'Nd7'], ['Bd3', 'Nf6'], ['Rg1', 'Kh8'], ['Bd2', 'Ng8'], ['Na4', 'f5'], ['Qe2', 'Rb8\n'], ['Nb6', 'Qe8'], ['O-O-O', 'fxg4'], ['hxg4', 'Qf7'], ['Rg3', 'Bxg4'], ['Rxg4', 'Qxf3'], ['Nd7', 'Qxe2\n'], ['Bxe2', 'Rxf2'], ['Nxb8', 'Rxe2'], ['Nd7', 'Nh5'], ['Rh1', 'Rf2'], ['b4', 'cxb4'], ['Bxb4', 'Ra2'], ['Bc3', 'Ngf6\n'], ['Nxf6', 'Nxf6'], ['Rgh4', 'h5'], ['c5', 'Ra4'], ['cxd6', 'Bxd6'], ['Kc2', 'Nxe4'], ['Bb2', 'Rc4+'], ['Kd3', 'Rb4\n'], ['Bxe5+', 'Bxe5'], ['Rxe4', 'Rb3+'], ['Kc4', 'Rc3+'], ['Kb4', 'Bg7'], ['Rd1', 'Rc8'], ['d6', 'Bc3+'], ['Ka4', 'Bf6\n'], ['d7', 'Rd8'], ['Re6', 'Kg7'], ['Rdd6', 'Bh4'], ['Rxg6+', 'Kf7'], ['Rh6', 'Ke7'], ['Rd3', 'Bf2'], ['Rxh5', 'Ba7\n'], ['Re5+', 'Kf7'], ['Re2', '']]",1-0
Dubai ol (Men),Dubai,1986.??.??,12,"Sokolov, Andrei","Illescas Cordoba, Miguel",,,B43,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Nc3', 'Qc7'], ['Be2', 'b5'], ['f4', 'Bb7'], ['Bf3', 'Nc6\n'], ['Nb3', 'd6'], ['Be3', 'Nf6'], ['Qe2', 'Be7'], ['O-O', 'O-O'], ['Rad1', 'Rac8'], ['Rd2', 'Nd7'], ['Rfd1', 'Nb6\n'], ['Bxb6', 'Qxb6+'], ['Qf2', 'Qxf2+']]",1/2-1/2
Dubai ol (Men),Dubai,1986.??.??,13,"Illescas Cordoba, Miguel","Miralles, Gilles",,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['exd5', 'exd5'], ['Bd3', 'Nf6'], ['Ne2', 'O-O'], ['a3', 'Bxc3+'], ['Nxc3', 'Re8+\n'], ['Ne2', 'b6'], ['O-O', 'c5'], ['c3', 'h6'], ['dxc5', 'bxc5'], ['b4', 'Ba6'], ['Be3', 'Bxd3'], ['Qxd3', 'c4\n'], ['Qf5', 'Nc6'], ['Rad1', 'Re5'], ['Qc2', 'Qe8'], ['Ng3', 'a6'], ['Bc5', 'Rd8'], ['f3', 'Re6'], ['Nf5', 'Re2\n'], ['Rd2', 'Rxd2'], ['Qxd2', 'Qe6'], ['Nd4', 'Nxd4'], ['Bxd4', 'Re8'], ['a4', 'Qc6'], ['Qf2', 'Nd7'], ['Rb1', 'Rb8\n'], ['h3', 'Nf8'], ['Ba7', 'Rb7'], ['Be3', 'Ne6'], ['Rd1', 'Rd7'], ['f4', 'Rd8'], ['f5', 'Ng5'], ['Rb1', 'Rb8\n'], ['Bf4', 'Rb7'], ['Bxg5', 'hxg5'], ['Qd2', 'd4'], ['Qxd4', 'Rd7'], ['b5', 'axb5'], ['axb5', 'Qc8'], ['Qe4', 'Qc5+\n'], ['Kh1', 'Re7'], ['Qa8+', 'Kh7'], ['Qf3', 'Re3'], ['Qh5+', 'Kg8'], ['Qxg5', 'Rxc3'], ['b6', 'Rb3'], ['Rxb3', 'cxb3\n'], ['b7', 'Qd6'], ['f6', 'g6'], ['Qh6', 'Qd1+'], ['Kh2', 'Qd6+'], ['g3', '']]",1-0
Dubai ol (Men),Dubai,1986.??.??,14,"Hjartarson, Johann","Illescas Cordoba, Miguel",,,A91,"[['d4', 'e6'], ['c4', 'f5'], ['g3', 'Nf6'], ['Bg2', 'd5'], ['Nh3', 'Be7'], ['O-O', 'O-O'], ['cxd5', 'exd5'], ['Nc3', 'c6\n'], ['Nf4', 'Ne4'], ['e3', 'Bd6'], ['Nd3', 'Nd7'], ['Qc2', 'a5'], ['Na4', 'Qe8'], ['f3', 'Nef6'], ['Bd2', 'h5\n'], ['Nf2', 'h4'], ['g4', 'fxg4'], ['fxg4', 'Bc7'], ['Rae1', 'Qe6'], ['e4', 'Nxe4'], ['Nxe4', 'Rxf1+'], ['Bxf1', 'Qxg4+\n'], ['Kh1', 'dxe4'], ['Rxe4', 'Qf3+'], ['Bg2', 'Qf7'], ['Rxh4', 'Nf8'], ['Nc5', 'Bf5'], ['Qb3', 'Qxb3'], ['axb3', 'Re8\n'], ['Bf3', 'Ng6'], ['Rh5', 'Bc8'], ['Nd3', 'Be6'], ['Bxa5', 'Bxa5'], ['Rxa5', 'Nh4'], ['Be4', 'Bh3'], ['Ne5', 'Rf8\n'], ['Ra1', 'Rf4'], ['Ra8+', 'Rf8'], ['Bh7+', 'Kxh7'], ['Rxf8', 'Be6'], ['Kg1', 'Nf5'], ['Nf3', 'Kg6'], ['b4', 'Bd5\n'], ['Kf2', 'Nd6'], ['Kg3', 'Kh5'], ['Kf4', 'Ne4'], ['b5', '']]",1-0
Holon op,Holon,1986.??.??,?,"Illescas Cordoba, Miguel","Murrey, Jacob",,,C36,"[['e4', 'e5'], ['f4', 'd5'], ['exd5', 'exf4'], ['Nf3', 'Nf6'], ['Bb5+', 'c6'], ['dxc6', 'Nxc6'], ['d4', 'Bd6'], ['Qe2+', 'Kf8\n'], ['Bxc6', 'bxc6'], ['Ne5', 'Qb6'], ['Nc4', 'Qxd4'], ['Nxd6', 'Qxd6'], ['O-O', 'g5'], ['Bd2', 'Qc5+'], ['Kh1', 'Bg4\n'], ['Qe1', 'Kg7'], ['Bb4', 'Qf5'], ['Qc3', 'Rhe8'], ['Nd2', 'Kg8'], ['Rae1', 'Be2'], ['Rf2', 'Bb5'], ['Rxe8+', 'Rxe8\n'], ['h3', 'Re1+'], ['Kh2', 'g4'], ['g3', 'Qd5']]",0-1
Holon op,Holon,1986.??.??,?,"Reshevsky, Samuel Herman","Illescas Cordoba, Miguel",,,A56,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'a6'], ['a4', 'e5'], ['Nc3', 'd6'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['Nf3', 'Ne8'], ['e4', 'Nd7\n'], ['O-O', 'g6'], ['Ne1', 'Ng7'], ['Nd3', 'f5'], ['f4', 'Bf6'], ['Bd2', 'exf4'], ['Bxf4', 'Bd4+'], ['Kh1', 'Nf6\n'], ['exf5', 'Bxc3'], ['bxc3', 'Bxf5'], ['Nf2', 'Qd7'], ['Qd2', 'Ngh5'], ['Bh6', 'Rfe8'], ['a5', 'Ne4'], ['Nxe4', 'Bxe4\n'], ['Bxe4', 'Rxe4'], ['Rae1', 'Rxe1'], ['Qxe1', 'Re8'], ['Qf2', 'Ng7'], ['g4', 'Qe7'], ['Kg1', '']]",1/2-1/2
Holon op,Holon,1986.??.??,?,"Illescas Cordoba, Miguel","Kosashvili, Yona",,,E05,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'Nf6'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'dxc4'], ['Na3', 'Bxa3'], ['bxa3', 'Bd7\n'], ['Ne5', 'Bc6'], ['Nxc6', 'Nxc6'], ['Bb2', 'Nd5'], ['Rc1', 'Nb6'], ['e4', 'Ne7'], ['Qc2', 'Qd7'], ['Ba1', 'Rad8\n'], ['Qc3', 'f6'], ['Rcd1', 'Nec8'], ['Rfe1', 'Nd6'], ['Bh3', 'Qf7'], ['d5', 'exd5'], ['exd5', 'Kh8'], ['Be6', 'Qg6\n'], ['Qd4', 'Rfe8'], ['h4', 'Re7'], ['Re3', 'Rde8'], ['Rde1', 'Nbc8'], ['Qf4', 'h6'], ['g4', 'c6'], ['dxc6', 'bxc6\n'], ['Kh2', 'Nb5'], ['a4', 'Nc7'], ['Bf5', 'Qf7'], ['Qxc7', '']]",1-0
Holon op,Holon,1986.??.??,?,"Illescas Cordoba, Miguel","Liberzon, Vladimir M",,,A45,"[['d4', 'Nf6'], ['Bg5', 'g6'], ['Bxf6', 'exf6'], ['c4', 'Bg7'], ['Nc3', 'f5'], ['e3', 'd6'], ['Nge2', 'Nd7'], ['g3', 'Nf6\n'], ['Bg2', 'O-O'], ['O-O', 'Re8'], ['b4', 'a6'], ['a4', 'c6'], ['Qd3', 'Bd7'], ['Rab1', 'Qe7'], ['b5', 'axb5\n'], ['cxb5', 'f4'], ['bxc6', 'bxc6'], ['Nxf4', 'Bf5'], ['Qc4', 'Bxb1'], ['Rxb1', 'g5'], ['Nd3', 'Rab8'], ['Rxb8', 'Rxb8\n'], ['Bxc6', 'Rc8'], ['Nb4', 'Bf8'], ['Qb5', 'd5'], ['Ncxd5', 'Nxd5'], ['Nxd5', 'Qe6'], ['Bd7', 'Rc1+'], ['Kg2', 'Qe4+\n'], ['Kh3', 'Qf3'], ['Nb6', 'Bc5'], ['Bg4', 'Qxf2'], ['dxc5', 'Rh1'], ['Qe8+', 'Kg7'], ['Qe5+', 'Kh6'], ['Qd6+', 'Kg7\n'], ['Qd4+', '']]",1/2-1/2
Holon op,Holon,1986.??.??,?,"Illescas Cordoba, Miguel","Magen, Avraham",,,C32,"[['e4', 'e5'], ['f4', 'd5'], ['exd5', 'e4'], ['d3', 'Nf6'], ['dxe4', 'Nxe4'], ['Nf3', 'c6'], ['Bd3', 'Nf6'], ['dxc6', 'Nxc6\n'], ['Nc3', 'Be7'], ['O-O', 'O-O'], ['Kh1', 'Nb4'], ['Be2', 'Qb6'], ['a3', 'Rd8'], ['Bd2', 'Nc6'], ['Bd3', 'Bg4\n'], ['Qe1', 'Bxf3'], ['Rxf3', 'Re8'], ['Rb1', 'Qc7'], ['Qh4', 'Qd7'], ['Qh3', 'Qxh3'], ['Rxh3', 'Bc5'], ['Rf3', 'Nd4\n'], ['Rff1', 'Rad8'], ['Rbd1', 'a6'], ['h3', 'Ba7'], ['Rfe1', 'Rxe1+'], ['Bxe1', 'Re8'], ['Bf2', 'Kf8'], ['Kg1', 'Nc6\n'], ['Bxa7', 'Nxa7'], ['Kf2', 'Nc6'], ['g3', 'h5'], ['Be2', 'Rc8'], ['Nd5', 'Nxd5'], ['Rxd5', 'g6'], ['c3', 'Ke7\n'], ['Bf3', 'Rc7'], ['f5', 'Nd8'], ['h4', 'Nc6'], ['Ke3', 'Kf6'], ['Kf4', 'Kg7'], ['Rd6', 'f6'], ['Bxc6', 'bxc6\n'], ['b4', '']]",1-0
Holon op,Holon,1986.??.??,?,"Kraidman, Yair","Illescas Cordoba, Miguel",,,A56,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'e5'], ['Nc3', 'd6'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['Nf3', 'Ne8'], ['e4', 'g6'], ['Bh6', 'Ng7\n'], ['Qd2', 'Nd7'], ['O-O', 'Nf6'], ['h3', 'Kh8'], ['Rad1', 'Ng8'], ['Bxg7+', 'Kxg7'], ['Nxe5', 'dxe5'], ['d6', 'Bg5\n'], ['f4', 'Bf6'], ['d7', 'exf4'], ['dxc8=Q', 'Rxc8'], ['gxf4', 'Qxd2'], ['Rxd2', 'Bxc3'], ['bxc3', 'Rc7\n'], ['Rfd1', 'Re8'], ['Bf3', 'Ree7'], ['Rd8', 'f6'], ['a4', 'b6'], ['a5', 'bxa5'], ['Ra1', 'Red7'], ['Rxd7+', 'Rxd7\n'], ['Rxa5', 'Rc7'], ['Kf2', 'Nh6'], ['Ke3', 'Nf7'], ['Bg4', 'Nd6'], ['Be6', 'Re7'], ['Bd5', 'Rxe4+'], ['Kf3', 'Re7\n'], ['Rxc5', 'Nf5'], ['Ra5', 'h5'], ['c5', 'Re3+'], ['Kf2', 'Rxc3'], ['Rxa7+', 'Kh6'], ['c6', 'Nd4'], ['Rd7', 'Nxc6\n'], ['Bg8', 'g5'], ['f5', 'g4'], ['h4', 'Rf3+'], ['Kg2', 'Rxf5'], ['Rh7+', 'Kg6'], ['Rc7', 'Nd4'], ['Bh7+', 'Kh6\n'], ['Bxf5', 'Nxf5'], ['Rc5', 'Kg6'], ['Ra5', 'Nxh4+'], ['Kg3', 'Nf3'], ['Kf4', 'Ng5'], ['Kg3', 'Nf3'], ['Kf4', 'Ne5\n'], ['Ra8', 'h4'], ['Rg8+', 'Kh7'], ['Ra8', 'g3'], ['Ra1', 'Kg6'], ['Ra8', 'Kf7'], ['Ra2', 'Ke6'], ['Rd2', 'Ng6+\n'], ['Kf3', 'f5'], ['Ra2', 'Ne5+'], ['Kf4', 'Nd3+'], ['Kf3', 'Kf6'], ['Ra6+', 'Kg5'], ['Ra8', 'Ne1+'], ['Ke2', 'h3']]",0-1
Holon op,Holon,1986.??.??,?,"Illescas Cordoba, Miguel","Pliester, Leon",,,A45,"[['d4', 'Nf6'], ['Bg5', 'c6'], ['Bxf6', 'gxf6'], ['c4', 'd5'], ['e3', 'Bf5'], ['Nc3', 'e6'], ['Nf3', 'Nd7'], ['Be2', 'Bd6\n'], ['Nd2', 'Rg8'], ['g4', 'Bg6'], ['h4', 'h6'], ['Rg1', 'Kf8'], ['cxd5', 'exd5'], ['Nf3', 'Qe7'], ['Bd3', 'Qe6\n'], ['h5', 'Bxd3'], ['Qxd3', 'Rxg4'], ['O-O-O', 'f5'], ['Rxg4', 'fxg4'], ['Qh7', 'Qf6'], ['Nh4', 'Ke7'], ['Nf5+', 'Ke6\n'], ['e4', 'Bf4+'], ['Kc2', 'Nf8'], ['Qg8', 'dxe4'], ['Ng7+', 'Kd7'], ['Nxe4', 'Qe7'], ['Re1', 'Kc7'], ['Nc5', 'Qf6\n'], ['Ne8+', 'Rxe8'], ['Rxe8', 'Bg5'], ['Qxf8', 'Qxf2+'], ['Kb3', 'Qf3+'], ['Ka4', 'Qd1+'], ['Ka3', 'Qxd4\n'], ['Qxf7+', 'Kb6'], ['Qxb7+', 'Kxc5'], ['Qxa7+', '']]",1-0
Holon op,Holon,1986.??.??,?,"Volman, Horassio","Illescas Cordoba, Miguel",,,C11,"[['d4', 'Nf6'], ['Nc3', 'd5'], ['Bg5', 'e6'], ['e4', 'dxe4'], ['Nxe4', 'Be7'], ['Bxf6', 'gxf6'], ['Bc4', 'c6'], ['Nf3', 'Nd7\n'], ['Qd2', 'Qc7'], ['O-O-O', 'b6'], ['Qh6', 'Bb7'], ['Qg7', 'Rf8'], ['Rhe1', 'b5'], ['Bb3', 'Qf4+'], ['Kb1', 'h5\n'], ['Nc5', 'Nxc5'], ['dxc5', 'Qg4'], ['Qh7', 'Rd8'], ['h3', 'Qxg2'], ['Qxh5', 'Bc8'], ['Nd4', 'Rxd4'], ['Rxd4', 'Qxf2\n'], ['Red1', 'e5'], ['Bxf7+', 'Rxf7'], ['Qh8+', '']]",1/2-1/2
Holon op,Holon,1986.??.??,?,"Levitt, Jonathan","Illescas Cordoba, Miguel",,,A56,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'a6'], ['g3', 'b5'], ['Bg2', 'd6'], ['e4', 'g6'], ['f4', 'Nfd7'], ['Nc3', 'Bg7'], ['Nge2', 'O-O\n'], ['O-O', 'Nb6'], ['cxb5', 'axb5'], ['Nxb5', 'Ba6'], ['Nbc3', 'N8d7'], ['Qc2', 'Qc7'], ['Kh1', 'Rfb8'], ['Re1', 'c4\n'], ['Be3', 'Nc5'], ['Nd4', 'Nd3'], ['Reb1', 'Nd7'], ['Nc6', 'Nb4'], ['Nxb4', 'Rxb4'], ['Rd1', 'Rab8'], ['Rab1', 'Nc5\n'], ['Bxc5', 'Qxc5'], ['Re1', 'Bc8'], ['h3', 'Qd4'], ['Kh2', 'h5'], ['a4', 'h4'], ['gxh4', 'Bd7'], ['Kg3', 'Rb3\n'], ['Bf3', 'Qb6'], ['Ne2', 'c3'], ['a5', 'Qb5'], ['a6', 'cxb2'], ['a7', 'Ra8'], ['Qc7', 'Bf6'], ['Ng1', 'Rc3\n'], ['Rxb2', 'Rxc7']]",0-1
Bilbao,Bilbao,1987.??.??,?,"Chiburdanidze, Maia","Illescas Cordoba, Miguel",,,B47,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'Qc7'], ['g3', 'a6'], ['Bg2', 'Nf6'], ['O-O', 'Be7\n'], ['a4', 'O-O']]",1/2-1/2
