Wch U12,Menorca,1996.??.??,1,"Sakinis, Robertas","Inarkiev, Ernesto",,,B26,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['Nge2', 'e6'], ['O-O', 'Nge7'], ['d3', 'O-O'], ['Be3', 'd6\n'], ['Qd2', 'Nd4'], ['Nd1', 'd5'], ['Nxd4', 'cxd4'], ['Bh6', 'e5'], ['Bxg7', 'Kxg7'], ['f4', 'dxe4'], ['dxe4', 'f6\n'], ['c3', 'Nc6'], ['Nf2', 'Be6'], ['a3', 'Na5'], ['Qc2', 'Bb3'], ['Qb1', 'Bc4'], ['Rd1', 'Nb3'], ['Ra2', 'Be2\n'], ['Re1', 'd3'], ['a4', 'a5'], ['Ra3', 'Qb6'], ['Bh1', 'Rad8'], ['Kg2', 'Bf3+'], ['Kg1', 'Bxh1'], ['Kxh1', 'Nd2\n'], ['Qc1', 'Qxf2'], ['Rg1', 'Nf3'], ['Rg2', 'd2']]",0-1
Wch U12,Menorca,1996.??.??,3,"Inarkiev, Ernesto","Jianu, Vlad",,,A16,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['O-O', 'd6'], ['Nc3', 'Nbd7'], ['d4', 'Rb8'], ['b4', 'Nb6\n'], ['Qb3', 'Be6'], ['d5', 'Bd7'], ['Bb2', 'c6'], ['Rac1', 'Rc8'], ['Nd2', 'Ng4'], ['h3', 'Nf6'], ['e4', 'Na8\n'], ['a4', 'a6'], ['a5', 'b5'], ['cxb5', 'axb5'], ['dxc6', 'Bxc6'], ['Nd5', 'Nxd5'], ['exd5', 'Bb7'], ['Bxg7', 'Kxg7\n'], ['Nf3', 'Nc7'], ['Nd4', 'Qd7'], ['f4', 'Ba8'], ['f5', 'Ne8'], ['Rxc8', 'Qxc8'], ['fxg6', 'hxg6'], ['Nxb5', 'Nf6\n'], ['Qb2', 'Qa6'], ['Nc7', 'Qa7+'], ['Kh2', 'Qxc7'], ['g4', 'Kg8'], ['Qd4', 'Rb8'], ['Qf4', 'Rf8'], ['Qd2', 'Rc8\n'], ['b5', 'Qc2'], ['Rf2', 'Qxd2'], ['Rxd2', 'Rc5'], ['Rb2', 'Bxd5'], ['Bxd5', 'Nxd5'], ['b6', 'Nxb6'], ['axb6', 'Rc8\n'], ['Kg3', 'Kg7'], ['Kf4', 'Kf6'], ['h4', 'e6'], ['h5', 'gxh5'], ['gxh5', 'Rc4+'], ['Kg3', 'Rc3+'], ['Kg4', 'Rc4+']]",1/2-1/2
Wch U12,Menorca,1996.??.??,4,"Inarkiev, Ernesto","Baimoldinov, Aidar",,,E65,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['O-O', 'd6'], ['d4', 'Nbd7'], ['Nc3', 'c5'], ['e4', 'cxd4\n'], ['Nxd4', 'Nc5'], ['h3', 'Ne6'], ['Be3', 'Bd7'], ['Rc1', 'Re8'], ['Kh2', 'Nc5'], ['b4', 'Ne6'], ['Nd5', 'Nxd5\n'], ['exd5', 'Nxd4'], ['Bxd4', 'a5'], ['Bxg7', 'Kxg7'], ['c5', 'Bb5'], ['Re1', 'axb4'], ['Qd4+', 'Kg8'], ['Qxb4', 'Ba6\n'], ['c6', 'bxc6'], ['dxc6', 'Qc7'], ['a4', 'e6'], ['f4', 'Rac8'], ['h4', 'Red8'], ['h5', 'd5']]",1/2-1/2
Wch U12,Menorca,1996.??.??,5,"Drozdovskyi, Yuri","Inarkiev, Ernesto",,,E65,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nf3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'c5'], ['Nc3', 'd6'], ['O-O', 'Nbd7'], ['b3', 'a6\n'], ['Bb2', 'Rb8'], ['dxc5', 'Nxc5'], ['Nd4', 'e5'], ['Nc2', 'b5'], ['cxb5', 'axb5'], ['Nb4', 'Bb7'], ['Bxb7', 'Rxb7\n'], ['Ncd5', 'Nfe4'], ['f3', 'Ng5'], ['Nd3', 'f5'], ['Rc1', 'Nge6'], ['Ba3', 'e4'], ['N3f4', 'Re8'], ['Nxe6', 'Nxe6\n'], ['fxe4', 'fxe4'], ['Bb4', 'Rf8'], ['Bc3', 'Rxf1+'], ['Qxf1', 'Rf7'], ['Qe1', 'Qa8'], ['Qd2', 'Bd4+'], ['Bxd4', 'Qxd5\n'], ['Rc8+', 'Rf8'], ['Rxf8+', 'Kxf8'], ['Be3', 'Qxd2'], ['Bxd2', 'd5'], ['a4', 'bxa4'], ['bxa4', '']]",1/2-1/2
Wch U12,Menorca,1996.??.??,6,"Inarkiev, Ernesto","Aleskerov, Faik",,,B22,"[['e4', 'c6'], ['c4', 'd5'], ['cxd5', 'cxd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qd8'], ['Nf3', 'Nf6'], ['d4', 'e6'], ['Bb5+', 'Bd7\n'], ['Qb3', 'Be7'], ['O-O', 'O-O'], ['Bxd7', 'Qxd7'], ['Ne5', 'Qc8'], ['Bg5', 'Nc6'], ['Rfd1', 'Rd8'], ['Nxc6', 'bxc6\n'], ['Bxf6', 'Bxf6'], ['Qc4', 'Qd7'], ['Rd2', 'Bxd4'], ['Rad1', 'e5'], ['Ne2', 'c5'], ['Qxc5', 'Bxc5'], ['Rxd7', 'Rxd7\n'], ['Rxd7', 'Bb6'], ['Rd5', 'Rc8'], ['Rxe5', 'f6'], ['Rb5', 'Rd8'], ['g3', 'Rd2'], ['Kf1', 'Rd1+'], ['Kg2', 'Rd2\n'], ['Kf1', 'Rd1+'], ['Kg2', 'Rd2'], ['Kf3', 'Rd3+'], ['Ke4', 'Rd2'], ['Nf4', 'Bxf2'], ['Rb8+', 'Kf7'], ['Rb7+', 'Kg8\n'], ['Nh5', 'f5+'], ['Ke5', 'Bd4+'], ['Ke6', 'Re2+'], ['Kd5', 'Rxb2'], ['Rd7', 'Rxa2'], ['Rd8+', 'Kf7'], ['Rd7+', 'Ke8\n'], ['Rb7', 'Rxh2'], ['Nxg7+', 'Bxg7'], ['Rxg7', 'a5'], ['Ra7', 'h5']]",1/2-1/2
Wch U12,Menorca,1996.??.??,8,"Inarkiev, Ernesto","Stojanovski, Dejan",,,B23,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['f4', 'g6'], ['Nf3', 'Bg7'], ['Bc4', 'e6'], ['O-O', 'Nge7'], ['d3', 'O-O'], ['e5', 'Nf5\n'], ['Ne4', 'd5'], ['exd6', 'Nxd6'], ['Nxd6', 'Qxd6'], ['Ng5', 'b6'], ['Ne4', 'Qc7'], ['Kh1', 'Bb7'], ['a4', 'Rfd8\n'], ['Qe1', 'Na5'], ['Nd2', 'Nxc4'], ['Nxc4', 'Rd5'], ['Rb1', 'Qc6'], ['Ne3', 'Rh5'], ['b3', 'Bd4'], ['Qg3', 'Re8\n'], ['Ng4', 'Rd8'], ['Bb2', 'Bxb2'], ['Rxb2', 'Kg7'], ['Rbb1', 'Rd4'], ['Rbe1', 'Rf5'], ['Ne5', 'Qd5'], ['Re2', 'Qd8\n'], ['Ng4', 'Qc7'], ['Re5', 'Rd5'], ['Rfe1', 'a6'], ['Rxf5', 'Rxf5'], ['Re5', 'b5'], ['axb5', 'axb5'], ['Ne3', 'Rf6\n'], ['h4', 'Qd6'], ['Kh2', 'Bc8'], ['Ng4', 'Rf5'], ['Qe3', 'f6'], ['Rxf5', 'exf5'], ['Nf2', 'Be6'], ['c4', 'bxc4\n'], ['dxc4', 'Qb6'], ['Qc3', 'Kf7'], ['Nd3', 'Qc6'], ['Qa5', 'Qd6'], ['Qc3', 'Bc8'], ['Kg3', '']]",1/2-1/2
Wch U12,Menorca,1996.??.??,10,"Inarkiev, Ernesto","Glinert, Stephen",,,E18,"[['Nf3', 'Nf6'], ['g3', 'e6'], ['Bg2', 'd5'], ['O-O', 'Be7'], ['c4', 'O-O'], ['cxd5', 'exd5'], ['d4', 'b6'], ['Nc3', 'Bb7\n'], ['Bf4', 'c5'], ['Ne5', 'Na6'], ['Rc1', 'Nc7'], ['dxc5', 'bxc5'], ['Qb3', 'Qc8'], ['Rfd1', 'Rd8'], ['e4', 'Rb8\n'], ['exd5', 'Ncxd5'], ['Nxf7', 'c4'], ['Nxd5', 'Nxd5'], ['Rxc4', 'Qd7'], ['Nxd8', 'Rxd8'], ['Rc7', '']]",1-0
Elista ol (Men),Elista,1998.10.01,3,"Babula, Vlastimil","Inarkiev, Ernesto",,,E97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Nf3', 'd6'], ['Be2', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['b4', 'a5'], ['Ba3', 'axb4'], ['Bxb4', 'Nd7'], ['a4', 'Bh6'], ['a5', 'f5'], ['Nd2', 'Nf6'], ['c5', 'Bxd2\n'], ['Qxd2', 'fxe4'], ['Nb5', 'Nf5'], ['cxd6', 'Nxd6'], ['Rac1', 'Rf7'], ['Rfd1', 'Bg4'], ['Nc3', 'Qd7'], ['h3', 'Bxe2\n'], ['Qxe2', 'Qf5'], ['Rd2', 'Qf4'], ['Bxd6', 'cxd6'], ['Ra1', 'Rc7'], ['Nb5', 'Rd7'], ['Nc3', 'Rc7'], ['Nb5', 'Rd7\n'], ['Nc3', '']]",1/2-1/2
Elista ol (Men),Elista,1998.10.02,4,"Inarkiev, Ernesto","Dasaolu, Rotimi",,,A57,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['f3', 'g6'], ['e4', 'd6'], ['Bd2', 'Bg7'], ['Bc3', 'O-O'], ['Na3', 'axb5\n'], ['Bxb5', 'Qb6'], ['Bc4', 'Ba6'], ['Ne2', 'Nbd7'], ['O-O', 'Qb7'], ['b3', 'Nb6'], ['Bxa6', 'Qxa6'], ['Nc2', 'Rfc8\n'], ['Qd2', 'Rab8'], ['Rfc1', 'Na8'], ['Ne3', 'Nc7'], ['Nc4', 'Nb5'], ['Bb2', 'Nd7'], ['Bxg7', 'Kxg7'], ['f4', 'Kg8\n'], ['Na5', 'Re8'], ['Nc6', 'Ra8'], ['a4', 'Na7'], ['Na5', 'Nc8'], ['Nc4', 'Ncb6'], ['Ne3', 'Qa5'], ['Qd3', 'Rec8\n'], ['Rc3', 'Qa6'], ['Qc2', 'Qa5'], ['Rf1', 'Nf6'], ['f5', 'Qb4'], ['Nc4', 'Nxc4'], ['Rxc4', 'Qb7'], ['fxg6', 'hxg6\n'], ['Rf3', 'Nd7'], ['Qd2', 'Kg7'], ['Rc1', 'Ne5'], ['Rg3', 'Rh8'], ['Nf4', 'Rh4'], ['Re1', 'Rah8'], ['h3', 'Rb8\n'], ['Nd3', 'Rh5'], ['Qe2', 'Nxd3'], ['Qxd3', 'Qb4'], ['Rf1', 'Re5'], ['Rf4', 'Qe1+'], ['Kh2', 'Rb4'], ['Qf3', 'f6\n'], ['Rfg4', 'g5'], ['h4', 'Rd4'], ['Qe3', 'Rdxe4'], ['Qxe1', 'Rxe1'], ['hxg5', 'f5'], ['Rh4', 'Rxd5'], ['g6', 'Rdd1\n'], ['Rh7+', 'Kg8'], ['Rf3', 'Rh1+'], ['Kg3', 'Rxh7'], ['gxh7+', 'Kxh7'], ['Rxf5', 'Kg6'], ['Rf8', 'Rb1\n'], ['Rf3', 'Kg5'], ['Rd3', 'Kf5'], ['Kf3', 'Rf1+'], ['Ke2', 'Rb1'], ['Kf3', 'Rf1+'], ['Ke2', 'Rc1'], ['Kd2', 'Rg1\n'], ['g3', 'Rg2+'], ['Kc3', 'Ke4'], ['Rd1', 'Rxg3+'], ['Kc4', 'Rg4'], ['Re1+', 'Kf5+'], ['Kd5', 'Rb4'], ['a5', 'Rxb3\n'], ['Ra1', 'Rb8'], ['a6', 'c4'], ['Rf1+', 'Kg6'], ['Kxc4', 'e6'], ['Rd1', 'Rb6'], ['Ra1', 'Rb8'], ['a7', 'Ra8\n'], ['Kb5', 'Kf5'], ['Kc6', 'd5'], ['Kb7', 'Rxa7+'], ['Rxa7', 'd4'], ['Kc6', 'Kf4'], ['Kc5', 'e5'], ['Kc4', 'Ke3\n'], ['Ra3+', 'Ke2'], ['Ra5', 'd3'], ['Rxe5+', '']]",1-0
Elista ol (Men),Elista,1998.10.06,8,"Inarkiev, Ernesto","Agopov, Mikael",,,E70,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nge2', 'O-O'], ['Ng3', 'e5'], ['d5', 'c6'], ['Be2', 'a6'], ['a4', 'cxd5\n'], ['cxd5', 'Nbd7'], ['O-O', 'Ne8'], ['Be3', 'h5'], ['Qd2', 'h4'], ['Nh1', 'f5'], ['exf5', 'gxf5'], ['Bg5', 'Bf6\n'], ['Bxf6', 'Qxf6'], ['f4', 'a5'], ['Nf2', 'Nc5'], ['fxe5', 'dxe5'], ['Qe3', 'Nd7'], ['Ng4', 'Qb6'], ['Rxf5', 'Rxf5\n'], ['Nh6+', 'Kf8'], ['Nxf5', 'Qxe3+'], ['Nxe3', 'Ndf6'], ['Nc4', 'e4'], ['Rf1', 'Ke7'], ['Rf4', 'h3'], ['Nb6', 'Rb8\n'], ['Nxe4', 'Nd7'], ['Nc4', 'hxg2'], ['Bg4', 'b6'], ['d6+', 'Kd8'], ['Ng5', 'Nef6'], ['Be6', 'Ba6'], ['Rh4', 'Kc8\n'], ['Ne5', '']]",1-0
Elista ol (Men),Elista,1998.10.07,9,"Irzhanov, Ruslan","Inarkiev, Ernesto",,,E66,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nf3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd6'], ['Nc3', 'Nc6'], ['d5', 'Na5'], ['Nd2', 'c5\n'], ['O-O', 'e5'], ['a3', 'b6'], ['b4', 'Nb7'], ['e4', 'Ng4'], ['Nf3', 'Bd7'], ['Qe2', 'Qe7'], ['h3', 'Nh6'], ['Bd2', 'Rac8\n'], ['Rac1', 'f5'], ['exf5', 'Nxf5'], ['Ne4', 'h6'], ['Qd3', 'b5'], ['g4', 'Nd4'], ['Nxd4', 'exd4'], ['bxc5', 'dxc5\n'], ['Qb3', 'Nd6'], ['Nxd6', 'Qxd6'], ['cxb5', 'Rb8'], ['a4', 'a6'], ['Qa3', 'axb5'], ['Qxc5', 'Qxc5'], ['Rxc5', 'bxa4']]",1/2-1/2
