URS Spartakiad,Moscow,1963.??.??,?,"Ivanov, Alexander","Berezov, L.",,,D00,"[['Nf3', 'Nf6'], ['Nc3', 'd5'], ['d4', 'c5'], ['Bf4', 'a6'], ['e3', 'Nc6'], ['dxc5', 'Bg4'], ['Be2', 'e6'], ['Na4', 'Nd7\n'], ['O-O', 'Nxc5'], ['Nxc5', 'Bxc5'], ['c3', 'O-O'], ['Qc2', 'Qe7'], ['Rfe1', 'Bf5'], ['Qd1', 'Bg6'], ['Bg3', 'Rfd8\n'], ['Bd3', 'b5'], ['Bxg6', 'hxg6'], ['Nd4', 'Rac8'], ['Qe2', 'Qb7'], ['Rac1', 'Nxd4'], ['cxd4', 'Bb4'], ['Red1', 'Rc6\n'], ['Rc2', 'Rxc2'], ['Qxc2', 'Rc8'], ['Qb3', 'Rc4'], ['a3', 'Be7'], ['Kf1', 'a5'], ['Rd2', 'a4'], ['Qd3', 'Qc6\n'], ['Rd1', 'Kf8'], ['f3', 'Rc2'], ['Rd2', 'Rc1+'], ['Rd1', 'Ke8'], ['Be1', 'Rxd1'], ['Qxd1', 'Qc4+'], ['Qe2', 'Kd7\n'], ['Bc3', 'Kc6'], ['Ke1', 'b4'], ['axb4', 'Kb5'], ['Qxc4+', 'Kxc4'], ['b5', 'Kxb5'], ['Kd2', 'Kc4'], ['Kc2', 'g5\n'], ['Ba5', 'Bd6'], ['h3', 'Bb4'], ['Bc7', 'Be1'], ['Kd1', 'Bf2'], ['Ke2', 'Bg1'], ['Bd6', 'Kb3'], ['Ba3', 'Kc2\n'], ['g3', 'f6'], ['h4', 'gxh4'], ['gxh4', 'g6']]",0-1
URS Spartakiad,Moscow,1963.??.??,?,"Ivanov, Alexander","Norkin, V.",,,C17,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'c5'], ['a3', 'Ba5'], ['b4', 'cxd4'], ['Nb5', 'Bb6'], ['Qh5', 'g6'], ['Qf3', 'Bc7\n'], ['Bg5', 'Qd7'], ['Bd3', 'Bxe5'], ['Bf4', 'Nc6'], ['Ne2', 'a6'], ['O-O', 'axb5'], ['Bxb5', 'Bg7'], ['Rad1', 'e5\n'], ['Nxd4', 'exf4'], ['Nxc6', 'bxc6'], ['Rxd5', 'Rxa3'], ['Re1+', 'Qe6'], ['Bxc6+', 'Ke7'], ['Rxe6+', 'fxe6\n'], ['Qxa3', 'exd5'], ['Bxd5', 'Nf6'], ['b5+', 'Kd8'], ['Qd6+', 'Bd7'], ['b6', 'Re8'], ['Kf1', 'Nxd5'], ['b7', '']]",1-0
Riga-ch,Riga,1965.??.??,?,"Izschenko, Olga","Ivanov, Alexander V",,,B41,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['c4', 'Qc7'], ['Nc3', 'Nf6'], ['Be3', 'Bb4'], ['Bd3', 'b5\n'], ['cxb5', 'Bxc3+'], ['bxc3', 'Qxc3+'], ['Ke2', 'O-O'], ['Qb3', 'Qxb3'], ['axb3', 'Bb7'], ['f3', 'd5'], ['e5', 'Nfd7\n'], ['f4', 'Nc5'], ['b4', 'Nxd3'], ['Kxd3', 'Nd7'], ['Rhc1', 'Rfc8'], ['Nc6', 'Kf8'], ['Na5', 'Rxc1'], ['Rxc1', 'd4\n'], ['Bxd4', 'Bxg2'], ['b6', 'Rb8'], ['b7', 'Ke7'], ['Rc8', 'Rxb7'], ['Nxb7', 'Bxb7'], ['Bc5+', 'Nxc5+'], ['Rxc5', 'Kd7\n'], ['Kd4', 'Bc6'], ['Rc1', 'Bb5'], ['Rg1', 'g6'], ['Kc5', 'Kc7'], ['h4', 'h5'], ['Rd1', 'Be2'], ['Rd2', 'Bf1\n'], ['Rd6', 'Bb5'], ['Rd4', 'Be2'], ['Re4', 'Bd3'], ['Re3', 'Bb5'], ['Rg3', 'Be2'], ['Rg1', '']]",1-0
Moscow-Leningrad m,Leningrad,1967.??.??,?,"Ivanov, Alexander V","Gulko, Boris F",,,A24,"[['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'e5'], ['Bg2', 'd6'], ['d3', 'Nf6'], ['f4', 'exf4'], ['Bxf4', 'Nh5'], ['Bd2', 'Nc6\n'], ['Nf3', 'O-O'], ['O-O', 'Bg4'], ['b4', 'Qd7'], ['b5', 'Ne7'], ['Rc1', 'Rae8'], ['Qa4', 'Nf5'], ['e4', 'Nd4\n'], ['Qxa7', 'Ra8'], ['Qxb7', 'Nxf3+'], ['Bxf3', 'Bd4+'], ['Kh1', 'Nxg3+'], ['hxg3', 'Bxf3+'], ['Kh2', 'Qg4\n'], ['Qd5', 'Be5'], ['Rxf3', 'Qxf3'], ['Rg1', 'Qh5+'], ['Kg2', 'Qg4'], ['a4', 'Qxg3+'], ['Kf1', 'Qf3+'], ['Ke1', 'Bxc3\n'], ['Bxc3', 'Qe3+'], ['Kf1', 'Rxa4'], ['Qd4', 'Qxd4'], ['Bxd4', 'f5'], ['exf5', 'Rxf5+'], ['Ke2', 'd5'], ['Rc1', 'dxc4\n'], ['dxc4', 'Rf4'], ['Kd3', 'Ra3+'], ['Bc3', 'Kf7'], ['c5', 'Rb3']]",0-1
URS-chT Moscow,Moscow,1972.??.??,?,"Ivanov, Alexander","Kivlan, Ivars",,,E92,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['dxe5', 'dxe5'], ['Qxd8', 'Rxd8\n'], ['Bg5', 'Re8'], ['O-O-O', 'Nbd7'], ['Nb5', 'Rf8'], ['Nxc7', 'Rb8'], ['Nd2', 'Nc5'], ['f3', 'b6'], ['b4', 'Ne6\n'], ['Nxe6', 'Bxe6'], ['Kb2', 'Rfc8'], ['Rc1', 'Nd7'], ['Nf1', 'a5'], ['a3', 'axb4'], ['axb4', 'Ra8'], ['Bd2', 'Bf8\n'], ['Ne3', 'b5'], ['Rhd1', 'Ra4'], ['c5', 'Ra2+'], ['Kb1', 'Bb3'], ['Bd3', 'Rca8'], ['Bc2', 'Bxc2+'], ['Nxc2', 'Nb8\n'], ['Bc3', 'Nc6'], ['Rd7', 'Bg7'], ['Rcd1', 'Nd4'], ['Nxd4', 'exd4'], ['Bxd4', 'R2a4'], ['Bxg7', 'Kxg7\n'], ['R1d2', 'Rxb4+'], ['Rb2', 'Rc4'], ['Rxb5', 'Rc8'], ['Rbb7', 'R4xc5'], ['Rxf7+', 'Kh6'], ['h4', 'Rc1+\n'], ['Kb2', 'R1c2+'], ['Kb3', 'R2c3+'], ['Kb4', '']]",1-0
URS-chT Moscow,Moscow,1972.??.??,?,"Ivanov, Alexander","Kozlov, V.",,,B06,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'd6'], ['Be3', 'c6'], ['Qd2', 'b5'], ['f3', 'Nd7'], ['Nh3', 'Nb6'], ['Nf2', 'Rb8\n'], ['b3', 'a5'], ['Bd3', 'Nf6'], ['O-O', 'O-O'], ['Ne2', 'a4'], ['Bh6', 'e5'], ['Bxg7', 'Kxg7'], ['f4', 'Nbd7\n'], ['bxa4', 'bxa4'], ['Qc3', 'Qc7'], ['Rab1', 'Rxb1'], ['Rxb1', 'c5'], ['fxe5', 'dxe5'], ['d5', 'Qa7'], ['Qc4', 'Bb7\n'], ['Nc3', 'Ra8'], ['Nb5', 'Qa5'], ['Qc3', 'Qxc3'], ['Nxc3', 'Ba6'], ['Bxa6', 'Rxa6'], ['Rb7', 'Rb6'], ['Rxb6', 'Nxb6\n'], ['Nd3', 'Nfd7'], ['a3', 'Nc4'], ['Nxa4', 'Nxa3'], ['Naxc5', 'Nxc5'], ['Nxc5', 'Nxc2'], ['Kf2', 'Nd4\n'], ['Ke3', 'Nb5'], ['Nb7', 'Kf8'], ['Kd3', 'Ke7'], ['Kc4', 'Nd6+'], ['Nxd6', 'Kxd6'], ['g4', 'h6'], ['h3', 'f6\n'], ['h4', 'h5'], ['gxh5', '']]",1/2-1/2
URS-chT Moscow,Moscow,1972.??.??,?,"Mikhalchishin, Adrian","Ivanov, Alexander",,,C86,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['Qe2', 'b5'], ['Bb3', 'Be7'], ['O-O', 'O-O'], ['c3', 'd6\n'], ['d4', 'Bg4'], ['d5', 'Na5'], ['Bc2', 'c6'], ['dxc6', 'Qc7'], ['Bg5', 'Nxc6'], ['Bd3', 'Nd7'], ['Be3', 'Nc5\n'], ['Bxc5', 'dxc5'], ['Nbd2', 'c4'], ['Bc2', 'Bc5'], ['Rfd1', 'Nd8'], ['h3', 'Bh5'], ['g4', 'Bg6'], ['Nh4', 'Ne6\n'], ['Nf1', 'Nf4'], ['Qf3', 'Qb6'], ['Ne3', 'Rad8'], ['Nhg2', 'Nxg2'], ['Kxg2', 'Bxe3'], ['Qxe3', 'Qxe3\n'], ['fxe3', 'Rfe8'], ['Kf3', 'Kf8'], ['a4', 'Rxd1'], ['Bxd1', 'Rd8'], ['axb5', 'axb5'], ['Be2', 'Rd2'], ['Ra8+', 'Ke7\n'], ['Rb8', 'Rxb2'], ['Bxc4', 'Rh2'], ['Rxb5', 'Rxh3+'], ['Kf2', 'Rh2+'], ['Kg3', 'Rc2'], ['Rxe5+', 'Kd6']]",1/2-1/2
URS-chT Moscow,Moscow,1972.??.??,?,"Ivanov, Alexander","Gorchakov, A.",,,B51,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'd6'], ['O-O', 'Bd7'], ['c3', 'a6'], ['Ba4', 'Nf6'], ['Re1', 'c4'], ['Bc2', 'Bg4\n'], ['h3', 'Bh5'], ['d4', 'cxd3'], ['Qxd3', 'e6'], ['Nd4', 'Qc7'], ['f4', 'd5'], ['exd5', 'Nxd4'], ['cxd4', 'Nxd5\n'], ['Bb3', 'Nb4'], ['Qe4', 'Bg6'], ['f5', 'Bxf5'], ['Qxf5', 'Qxc1'], ['Qe4', 'Qc6'], ['d5', 'Qb6+'], ['Kh1', 'O-O-O\n'], ['dxe6', 'fxe6'], ['Nc3', 'Nd3'], ['Qxe6+', 'Qxe6'], ['Bxe6+', 'Kb8'], ['Re2', 'Nf4'], ['Re4', 'Nxe6\n'], ['Rxe6', 'Bb4'], ['Re2', 'Bxc3'], ['bxc3', 'Rd7'], ['Kg1', 'Rc8'], ['Rc1', 'Rd3'], ['Re7', 'Rc7'], ['Rxc7', 'Kxc7\n'], ['Rc2', 'Kc6'], ['Kf2', 'h5'], ['h4', 'b5'], ['Ke2', 'Rg3'], ['Kf2', 'Rg4'], ['g3', 'Rc4'], ['Re2', 'Kd6\n'], ['Rd2+', 'Ke6'], ['Re2+', 'Kf5'], ['Re7', 'g6'], ['Rf7+', 'Ke6'], ['Rb7', 'Ra4'], ['Kf3', 'Ke5'], ['Re7+', 'Kf6\n'], ['Re2', 'Ra3'], ['Re3', 'Rxa2'], ['Ke4', 'Rd2'], ['Rf3+', 'Ke6'], ['Rf8', 'Rd6'], ['Rg8', 'Kf6'], ['Re8', 'Rb6\n'], ['Rf8+', 'Ke7'], ['Ra8', 'Kf6'], ['Rf8+', 'Kg7'], ['Rc8', 'a5'], ['Ra8', 'Rc6'], ['Rxa5', 'Rxc3'], ['Kf4', 'b4\n'], ['Rb5', 'Rc4+'], ['Ke5', 'Rg4'], ['Rb7+', 'Kf8'], ['Kd5', 'Ke8'], ['Kc5', 'Rxg3'], ['Rxb4', 'Kf7'], ['Kd5', 'g5\n'], ['Rb7+', 'Kg6'], ['hxg5', 'Re3'], ['Kd4', 'Re6'], ['Rb3', 'Kxg5'], ['Re3', 'Rd6+'], ['Ke5', 'Rd8'], ['Rg3+', 'Kh4\n'], ['Rg1', 'Kh3'], ['Kf4', 'Rf8+'], ['Ke3', 'h4'], ['Ke2', 'Kh2'], ['Rg4', 'h3'], ['Rg7', '']]",1/2-1/2
URS-chT Moscow,Moscow,1972.??.??,?,"Zaichik, Gennadi","Ivanov, Alexander",,,A12,"[['Nf3', 'Nf6'], ['g3', 'd5'], ['Bg2', 'c6'], ['O-O', 'Bf5'], ['b3', 'h6'], ['Bb2', 'e6'], ['d3', 'Be7'], ['Nbd2', 'O-O\n'], ['c4', 'Nbd7'], ['Qc2', 'Bh7'], ['Rac1', 'a5'], ['a3', 'Qb6'], ['Qb1', 'Qa6'], ['Qa1', 'b5'], ['cxb5', 'cxb5\n'], ['Rc7', 'Rfc8'], ['Rfc1', 'Bc5'], ['R1xc5', 'Nxc5'], ['Rxc8+', 'Qxc8'], ['Bxf6', 'gxf6'], ['Qxf6', 'Qf8\n'], ['Ne5', 'Qg7'], ['Qf4', 'Rc8'], ['h4', 'h5'], ['b4', 'f6'], ['Nc6', 'Rxc6'], ['bxc5', 'Rxc5'], ['Qd6', 'Rc1+\n'], ['Kh2', 'Qf7'], ['Nb3', 'Rc7'], ['Nd4', 'Qe7'], ['Qb6', 'Rb7'], ['Qxa5', 'Kg7'], ['Qa6', 'Bg8'], ['Nxb5', 'Qd7\n'], ['a4', 'Rb8'], ['Nd4', 'Rb4'], ['Nc6', 'Rb1'], ['a5', 'Bf7'], ['Bh3', '']]",0-1
EU-ch U20 fin-B,Groningen,1974.??.??,1,"Dominte, Marian","Ivanov, Alexander",,,E14,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['c4', 'b6'], ['e3', 'Bb7'], ['Bd3', 'Be7'], ['O-O', 'c5'], ['Qe2', 'Nc6'], ['Nc3', 'O-O\n'], ['Rd1', 'cxd4'], ['exd4', 'd5'], ['a3', 'Na5'], ['cxd5', 'Nxd5'], ['Bc2', 'Rc8'], ['Qd3', 'g6'], ['Bh6', 'Re8\n'], ['Ne4', 'Nc4'], ['Rab1', 'Ba6'], ['Ba4', 'b5'], ['Bb3', '']]",1/2-1/2
