Spartak-ch,Sochi,1969.??.??,?,"Kaminsky, Oleg M","Ivanov, Igor V",,,B03,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['c4', 'Nb6'], ['f4', 'dxe5'], ['fxe5', 'Nc6'], ['Be3', 'Bf5'], ['Nc3', 'e6\n'], ['Qd2', 'Nb4'], ['O-O-O', 'Na4'], ['c5', 'Nxc3'], ['bxc3', 'Nd5'], ['Bg5', 'f6'], ['Bh4', 'Be7'], ['Nf3', 'g5\n'], ['exf6', 'Nxf6'], ['Bxg5', 'O-O'], ['Bd3', 'b6'], ['Bh6', 'Ng4'], ['Bxf8', 'Bxf8'], ['Bxf5', 'Bh6'], ['Bxg4', 'Bxd2+\n'], ['Rxd2', 'bxc5'], ['Bxe6+', 'Kh8'], ['Ne5', 'Qf6'], ['Bc4', 'cxd4'], ['cxd4', 'c5'], ['Rf1', 'Qh4'], ['Rd3', 'Qxh2\n'], ['Rh3', 'Qxg2'], ['Rfh1', 'Qg5+'], ['Kd1', 'Qg7'], ['Nf7+', 'Kg8'], ['Ng5+', '']]",1-0
Spartak-ch,Sochi,1969.??.??,?,"Feldman, Steven","Ivanov, Igor V",,,B64,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'e6'], ['Qd2', 'Be7'], ['O-O-O', 'O-O\n'], ['f4', 'd5'], ['e5', 'Nd7'], ['Bxe7', 'Qxe7'], ['Kb1', 'Nb6'], ['Ncb5', 'Bd7'], ['Nd6', 'f6'], ['Nxb7', 'fxe5\n'], ['Nxc6', 'Bxc6'], ['Na5', 'Rfc8'], ['Ba6', 'Rc7'], ['fxe5', 'Rb8'], ['Rhf1', 'Ba4'], ['b3', 'Be8'], ['Ka1', 'Qa3\n'], ['c4', 'Bg6'], ['Rc1', 'd4'], ['g4', 'Qc5'], ['Rce1', 'd3'], ['Rf4', 'Nd7'], ['Qc3', 'Rb6'], ['Bb7', 'Rbxb7\n'], ['Nxb7', 'Rxb7'], ['h4', 'h6'], ['h5', 'Bh7'], ['Rd4', 'Rxb3'], ['Qxb3', 'Qxd4+'], ['Qb2', 'd2'], ['Rd1', 'Qxe5\n'], ['Qxe5', 'Nxe5'], ['c5', 'Nf3'], ['c6', 'Be4'], ['c7', 'Bb7'], ['Kb2', 'Kf7']]",0-1
URS-ch otbor,Cheliabinsk,1975.??.??,?,"Ivanov, Igor V","Vladimirov, Boris T",,,D94,"[['d4', 'd5'], ['c4', 'dxc4'], ['Nf3', 'Nf6'], ['e3', 'g6'], ['Bxc4', 'Bg7'], ['Nc3', 'O-O'], ['O-O', 'c5'], ['d5', 'Ne8\n'], ['Re1', 'Nd6'], ['Bf1', 'e5'], ['e4', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'a6'], ['a4', 'b6'], ['Nd1', 'Nd7'], ['Ne3', 'b5\n'], ['axb5', 'axb5'], ['Bd2', 'f5'], ['exf5', 'gxf5'], ['Nc2', 'b4'], ['Rxa8', 'Qxa8'], ['Ra1', 'Qb8'], ['Ra6', 'Nb6\n'], ['Be3', 'Qc7'], ['b3', 'Kh8'], ['g3', 'Ndc8'], ['Ra5', 'Nd7'], ['Ra6', 'Ncb6'], ['Bg5', 'Qb7'], ['Ne3', 'f4\n'], ['Bd3', 'Rc8'], ['Be7', 'Nf8'], ['Bxf8', 'Bxf8'], ['Qe4', 'fxe3'], ['Rxb6', 'exf2+'], ['Kf1', 'Qg7'], ['d6', 'Rd8\n'], ['Rb7', 'Rd7'], ['Rb8', 'Qh6'], ['Qxe5+', 'Kg8'], ['Bc4+', 'Rf7'], ['Bxf7+', 'Kxf7'], ['Qf5+', 'Kg8']]",1-0
URS-ch otbor,Cheliabinsk,1975.??.??,?,"Ivanov, Igor V","Sturua, Zurab",,,E23,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qb3', 'c5'], ['dxc5', 'Nc6'], ['Bg5', 'Bxc5'], ['e3', 'O-O'], ['Nf3', 'Be7\n'], ['Be2', 'Qa5'], ['O-O', 'Rd8'], ['Rfd1', 'd6'], ['Rd2', 'a6'], ['Rad1', 'Qc7'], ['Qc2', 'Bd7'], ['Bxf6', 'gxf6\n'], ['Nd5', 'exd5'], ['cxd5', 'Qa5'], ['dxc6', 'bxc6'], ['Nd4', 'Rac8'], ['Bd3', 'h6'], ['Bf5', 'Bxf5'], ['Nxf5', 'Bf8\n'], ['Rd4', 'Qe5'], ['Rg4+', 'Kh8'], ['Rg3', 'Rb8'], ['Rd4', 'c5'], ['Nxh6', '']]",1-0
URS-ch otbor,Cheliabinsk,1975.??.??,?,"Ivanov, Igor V","Doroshkievich, Vladimir K",,,D47,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['e3', 'Nf6'], ['Nf3', 'Nbd7'], ['Bd3', 'dxc4'], ['Bxc4', 'b5'], ['Be2', 'Bb7\n'], ['O-O', 'b4'], ['Na4', 'c5'], ['dxc5', 'Nxc5'], ['Nd4', 'Qd5'], ['f3', 'O-O-O'], ['Qc2', 'Kb8'], ['Rd1', 'Rc8\n'], ['Bd2', 'b3'], ['axb3', 'Nxa4'], ['Bc4', 'Nb6'], ['Bxd5', 'Rxc2'], ['Bxb7', 'Rxd2'], ['Rxd2', 'Kxb7\n'], ['Rc2', 'Bd6'], ['Nc6', 'Bb8'], ['b4', 'Nfd5'], ['e4', 'Nc7'], ['Nxa7', 'Bxa7'], ['Rxa7+', 'Kxa7'], ['Rxc7+', 'Ka6\n'], ['Rxf7', 'Rg8'], ['Re7', 'Kb5'], ['Rxe6', 'Nc4'], ['Re7', 'Nxb2'], ['f4', 'Nd3'], ['f5', 'Nxb4'], ['Kf2', 'Nc6\n'], ['Rd7', 'Nb8'], ['Re7', 'Nc6']]",1/2-1/2
URS-ch otbor,Cheliabinsk,1975.??.??,?,"Kapengut, Albert Z","Ivanov, Igor V",,,C88,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['a4', 'b4\n'], ['d3', 'd6'], ['Nbd2', 'Rb8'], ['a5', 'Kh8'], ['c3', 'Nh5'], ['d4', 'Bf6'], ['d5', 'Ne7'], ['Nf1', 'c6'], ['cxb4', 'cxd5\n'], ['exd5', 'Rxb4'], ['Bd2', 'Rb5'], ['Bc4', 'Rxb2'], ['Bc3', 'Rb8'], ['Nxe5', 'Nf4'], ['Nc6', 'Nxc6'], ['Bxf6', 'Qxf6\n'], ['dxc6', 'Rb2'], ['Qf3', 'Nh3+'], ['Kh1', 'Nxf2+'], ['Kg1', 'Qd4'], ['Ne3', 'Rd2'], ['Rab1', 'Ng4'], ['Rb8', 'h5\n'], ['Bxa6', 'Rf2'], ['Qd1', 'Rxg2+'], ['Kxg2', 'Nxe3+'], ['Rxe3', 'Qxd1'], ['Rxc8', 'Qg4+'], ['Rg3', 'Qe4+']]",0-1
URS-ch otbor,Cheliabinsk,1975.??.??,?,"Ivanov, Igor V","Bagirov, Vladimir",,,D30,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'Nf6'], ['Bg5', 'c6'], ['e3', 'Qa5+'], ['Nfd2', 'Ne4'], ['Bh4', 'c5'], ['Nc3', 'Nxc3\n'], ['bxc3', 'Qxc3'], ['cxd5', 'exd5'], ['Bb5+', 'Bd7'], ['Rc1', 'Qa5'], ['Bxd7+', 'Nxd7'], ['O-O', 'c4'], ['Rb1', 'Bb4\n'], ['Qg4', 'Bxd2'], ['Rxb7', 'O-O'], ['Rxd7', 'Qb6'], ['Be7', 'Rfe8'], ['Bd6', 'Qc6'], ['Qf5', 'f6'], ['Rb1', 'Rad8\n'], ['Rc7', 'Qxd6'], ['Rbb7', 'Qf8'], ['Qg4', 'Kh8'], ['Rxg7', 'Qg8'], ['Rxg8+', 'Rxg8'], ['Qf4', '']]",1-0
URS-ch otbor,Cheliabinsk,1975.??.??,?,"Timoshchenko, Gennadi A","Ivanov, Igor V",,,C92,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['h3', 'Bb7\n'], ['d3', 'd6'], ['c3', 'Na5'], ['Bc2', 'c5'], ['Nbd2', 'Re8'], ['Nf1', 'Nc6'], ['Ng3', 'Bf8'], ['d4', 'cxd4\n'], ['cxd4', 'Rc8'], ['d5', 'Nb4'], ['Bb1', 'Qc7'], ['Bg5', 'Nc2'], ['Bxc2', 'Qxc2'], ['Bxf6', 'gxf6'], ['Nh5', 'Kh8\n'], ['Nh4', 'Qxd1'], ['Raxd1', 'Rc2'], ['Rb1', 'Rec8'], ['Nf5', 'R8c7'], ['Nxf6', 'Bc8'], ['Ne8', 'R7c5\n'], ['Nexd6', 'Bxd6'], ['Nxd6', 'Kg7'], ['Re3', 'f6'], ['b4', 'R5c3'], ['Rxc3', 'Rxc3'], ['Rb3', 'Rc1+'], ['Kh2', 'Bd7\n'], ['Ra3', 'Kf8'], ['Rxa6', 'Ke7'], ['Nb7', '']]",1-0
URS-ch otbor,Beltsy,1977.??.??,?,"Ivanov, Igor V","Arbakov, Valentin",,,E94,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['d5', 'Nbd7'], ['O-O', 'Nc5\n'], ['Qc2', 'a5'], ['Bg5', 'h6'], ['Be3', 'Ng4'], ['Bxc5', 'dxc5'], ['h3', 'Nf6'], ['Nxe5', 'Nxd5'], ['cxd5', 'Bxe5\n'], ['f4', 'Bd4+'], ['Kh2', 'Qh4'], ['e5', 'c6'], ['d6', 'Kg7'], ['Rad1', 'f6'], ['Na4', 'fxe5'], ['Nxc5', 'Rd8\n'], ['f5', 'Bxf5'], ['Bd3', 'e4'], ['Bxe4', 'Be5+'], ['Kg1', 'Bxe4'], ['Nxe4', 'Rd7'], ['Kh1', 'Rad8'], ['Qe2', 'b6\n'], ['Rd3', 'Re8'], ['Nf6', 'Qxf6'], ['Rxf6', 'Kxf6'], ['Qf3+', 'Kg7'], ['Qxc6', 'Red8'], ['Qxb6', 'Rxd6\n'], ['Qc7+', 'Kf6'], ['Rf3+', 'Kg5'], ['Qe7+', '']]",1-0
URS-ch otbor,Beltsy,1977.??.??,?,"Ivanov, Igor V","Faibisovich, Vadim Z",,,B25,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['d3', 'd6'], ['Nh3', 'Nf6'], ['O-O', 'O-O'], ['f4', 'Bg4\n'], ['Qd2', 'Nd4'], ['Kh1', 'Qc8'], ['Ng1', 'Bd7'], ['Nd1', 'b5'], ['c3', 'Nc6'], ['Nf3', 'Rb8'], ['Ne3', 'b4\n'], ['c4', 'Ng4'], ['Nxg4', 'Bxg4'], ['Nh4', 'h6'], ['f5', 'g5'], ['h3', 'gxh4'], ['hxg4', 'hxg3'], ['Qe3', 'e5\n'], ['g5', 'hxg5'], ['f6', 'Qg4'], ['Qxg5', 'Qxg5'], ['Bxg5', 'Nd4'], ['fxg7', 'Kxg7'], ['Bf6+', 'Kg6'], ['Bh3', 'Ne2\n'], ['Kg2', 'Nf4+'], ['Rxf4', 'exf4'], ['Be7', 'Rh8'], ['Bf5+', 'Kg7'], ['Kf3', 'Rb6'], ['Bg5', 'Rh2'], ['Bxf4', 'Rxb2\n'], ['Bxg3', 'Rd2'], ['e5', 'dxe5'], ['Bxe5+', 'Kf8'], ['Bf4', 'Rc2'], ['Be3', 'Rc6'], ['Ke4', '']]",1-0
