Wch U14,Cannes,1997.??.??,1,"Jobava, Baadur","Leal, Joao Victor",,,A76,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'g6'], ['Nc3', 'Bg7'], ['Nf3', 'd6'], ['e4', 'e6'], ['Be2', 'exd5'], ['cxd5', 'O-O\n'], ['O-O', 'Re8'], ['Qc2', 'Na6'], ['Nd2', 'Nb4'], ['Qd1', 'b6'], ['Re1', 'Ba6'], ['Bxa6', 'Nxa6'], ['Nc4', 'Qd7\n'], ['a4', 'Ng4'], ['Nb5', 'Bf8'], ['Nbxd6', 'Bxd6'], ['Nxd6', 'Qxd6'], ['Qxg4', 'Qxd5'], ['Bg5', 'Qe5'], ['Qh4', 'Re6\n'], ['Rad1', 'Qxb2'], ['f4', 'c4'], ['f5', 'Rc6'], ['e5', 'c3'], ['Bh6', 'Re8'], ['Qe7', 'Rcc8'], ['Qf6', '']]",1-0
Wch U14,Cannes,1997.??.??,2,Zhang Zhuoya,"Jobava, Baadur",,,E60,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nf3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd6'], ['O-O', 'Nbd7'], ['Qc2', 'e5'], ['dxe5', 'dxe5\n'], ['Rd1', 'Qe7'], ['e4', 'Nc5'], ['Nc3', 'Bg4'], ['Be3', 'c6'], ['b3', 'Rfd8'], ['h3', 'Bxf3'], ['Bxf3', 'Ne6\n'], ['Ne2', 'b6'], ['a3', 'Rxd1+'], ['Qxd1', 'Rd8'], ['Qc2', 'Nd4'], ['Bxd4', 'exd4'], ['Rd1', 'Nd7'], ['Bg2', 'Ne5\n'], ['Nxd4', 'Qd7'], ['f4', 'Ng4'], ['hxg4', 'Bxd4+'], ['Kf1', 'Qxg4'], ['Rd3', 'c5'], ['Qe2', 'Qe6'], ['e5', 'Re8\n'], ['Bd5', 'Qf5'], ['Be4', 'Qh3+'], ['Qg2', 'Qh5'], ['Qh1', 'Qg4'], ['Qf3', 'Qh3+'], ['Qg2', 'Qc8'], ['Bb7', 'Qb8\n'], ['Bc6', 'Re7'], ['a4', 'Qc8'], ['Bd5', 'Kg7'], ['Qf3', 'h5'], ['Kg2', 'Qd7'], ['Bc6', 'Qc8'], ['Bd5', 'a6\n'], ['Ba8', 'f6'], ['exf6+', 'Bxf6'], ['Rd2', 'h4'], ['gxh4', 'Bxh4'], ['Be4', 'Rf7'], ['Rd6', 'Rf6'], ['Rxf6', 'Bxf6\n'], ['Qg3', 'Qe8'], ['Bd3', 'Qf7'], ['Qg4', 'Qb7+'], ['Qf3', 'Qd7'], ['Qg3', 'Qc6+'], ['Qf3', 'Qd7'], ['Qg3', 'Qe6\n'], ['Qf3', 'Qd6'], ['Qg3', 'Bd8'], ['f5', 'Qxg3+'], ['Kxg3', 'g5'], ['Kf3', 'Kf6'], ['Ke4', 'g4'], ['Kf4', 'g3\n'], ['Kxg3', 'Ke5'], ['Kf3', 'Kd4'], ['Be4', '']]",1/2-1/2
Wch U14,Cannes,1997.??.??,3,"Jobava, Baadur","Nunez, Daniel",,,E69,"[['d4', 'd6'], ['c4', 'Nf6'], ['Nc3', 'g6'], ['Nf3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'c6'], ['e4', 'Qc7'], ['O-O', 'e5'], ['h3', 'Nbd7\n'], ['Be3', 'Re8'], ['Re1', 'exd4'], ['Nxd4', 'Nc5'], ['Qc2', 'a5'], ['Rad1', 'Bd7'], ['f4', 'Re7'], ['Nb3', 'Na6\n'], ['c5', 'd5'], ['e5', 'Ne8'], ['Qd2', 'Be6'], ['Na4', 'Nb8'], ['Nb6', 'Ra7'], ['Nxa5', 'h5'], ['b4', 'Nd7\n'], ['Nb3', 'f6'], ['b5', 'Qd8'], ['bxc6', 'bxc6'], ['Nd4', 'Nb8'], ['Nxe6', 'Rxe6'], ['Bd4', 'fxe5'], ['Bxe5', 'Bxe5\n'], ['fxe5', 'Qe7'], ['Qf2', 'Ra5'], ['Nxd5', 'cxd5'], ['Bxd5', 'Nc7'], ['Bb3', 'Kg7'], ['Rd6', 'Nd7'], ['Bxe6', 'Nxe6\n'], ['Qd2', 'Ra7'], ['c6', 'Ndc5'], ['Qf2', 'Ra3'], ['Rf1', 'Qg5'], ['Qf6+', 'Qxf6'], ['Rxf6', 'Nc7'], ['Rxg6+', 'Kh7\n'], ['Rh6+', 'Kg7'], ['Rdg6+', 'Kf7'], ['Rf6+', 'Kg7'], ['Rhg6+', 'Kh7'], ['Rg5', 'Ne4'], ['Rf7+', 'Kh6\n'], ['Rg8', 'Nd5'], ['c7', '']]",1-0
Wch U14,Cannes,1997.??.??,4,"Neiksans, Arthur","Jobava, Baadur",,,B84,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'e6'], ['O-O', 'Nbd7'], ['f4', 'b5\n'], ['Bf3', 'Bb7'], ['e5', 'Bxf3'], ['Nxf3', 'dxe5'], ['fxe5', 'Ng4'], ['Qe1', 'Bc5+'], ['Kh1', 'h5'], ['h3', 'Qc7\n'], ['hxg4', 'hxg4+'], ['Nh2', 'f5'], ['Bf4', 'O-O-O'], ['Rd1', 'Rdg8'], ['Nd5', 'Qb7'], ['b4', 'Bf8'], ['Qc3+', 'Kb8\n'], ['Kg1', 'Qc8'], ['Qd4', 'Kb7'], ['Ne7', 'Bxe7'], ['Qxd7+', 'Qc7'], ['Qxe6', 'Rd8'], ['Qxf5', 'Qb6+'], ['Kh1', 'Qf2\n'], ['Rd7+', '']]",1-0
Wch U14,Cannes,1997.??.??,5,"Jobava, Baadur",Lim Chuin Hoong,,,E68,"[['d4', 'Nf6'], ['c4', 'd6'], ['Nc3', 'g6'], ['Nf3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'Nbd7'], ['O-O', 'e5'], ['e4', 'Re8\n'], ['h3', 'exd4'], ['Nxd4', 'Nc5'], ['Re1', 'a5'], ['Qc2', 'Nfd7'], ['Be3', 'Ne5'], ['Qe2', 'c6'], ['Rad1', 'Qe7\n'], ['f4', 'Ned7'], ['Bf2', 'a4'], ['Qf1', 'Qd8'], ['Nde2', 'Qa5'], ['Bd4', 'Bxd4+'], ['Rxd4', 'Ne6'], ['Rd2', 'Qc5+\n'], ['Qf2', 'Qxc4'], ['Rxd6', 'Qb4'], ['Red1', 'Nef8'], ['R1d2', 'Nb6'], ['e5', 'Be6'], ['Ne4', 'Kh8'], ['R6d4', 'Qe7\n'], ['Nd6', 'Red8'], ['Rb4', 'Nd5'], ['Rxb7', 'Rd7'], ['Rxd7', 'Qxd7'], ['Nc3', 'Ra5'], ['Nce4', 'Qe7'], ['g4', 'Qa7\n'], ['f5', 'Qxf2+'], ['Rxf2', 'gxf5'], ['gxf5', 'Bd7'], ['Nxf7+', 'Kg7'], ['e6', 'Nxe6'], ['fxe6', 'Bxe6\n'], ['Nd8', 'Bg8'], ['Nxc6', 'Ra6'], ['Nd4', 'Ne3'], ['Re2', '']]",1-0
Wch U14,Cannes,1997.??.??,6,"Jobava, Baadur","Miton, Kamil",,,A86,"[['d4', 'f5'], ['g3', 'Nf6'], ['Bg2', 'g6'], ['Nh3', 'Bg7'], ['Nf4', 'O-O'], ['c4', 'd6'], ['d5', 'Na6'], ['Nc3', 'Nc5\n'], ['O-O', 'e5'], ['dxe6', 'c6'], ['Be3', 'Nxe6'], ['Qb3', 'Qe7'], ['Rad1', 'Ng4'], ['Bc1', 'Ne5'], ['Rfe1', 'Nxf4\n'], ['gxf4', 'Ng4'], ['h3', 'Nf6'], ['Qb4', 'Be6'], ['e4', 'Qf7'], ['Qxd6', 'fxe4'], ['Nxe4', 'Nxe4'], ['Rxe4', 'Rfe8\n'], ['b3', 'Bf6'], ['Qb4', 'Red8'], ['Ree1', 'Bf5'], ['Be3', 'Rd7'], ['Kh2', 'Rad8'], ['Rxd7', 'Qxd7'], ['Re2', 'Qe7\n'], ['Rd2', 'Rxd2'], ['Qxd2', 'a6'], ['c5', 'Qd7'], ['Qb4', 'Be6'], ['Qb6', 'Kf7'], ['Bf1', 'Bd5'], ['Qa7', 'Be6\n'], ['Qb8', 'Qc8'], ['Qa7', 'Qd7'], ['b4', 'Bd8'], ['a3', 'Bc7'], ['Qa8', 'Qe8'], ['Qxe8+', '']]",1/2-1/2
Wch U14,Cannes,1997.??.??,7,"Drozdovsky, Yuri","Jobava, Baadur",,,A57,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['Nf3', 'bxc4'], ['Nc3', 'd6'], ['e4', 'Ba6'], ['Nd2', 'g6'], ['Bxc4', 'Bxc4\n'], ['Nxc4', 'Bg7'], ['O-O', 'O-O'], ['f4', 'Nfd7'], ['Qe2', 'Nb6'], ['Nxb6', 'Qxb6'], ['e5', 'dxe5'], ['fxe5', 'Nd7\n'], ['Bf4', 'e6'], ['Rad1', 'Rab8'], ['dxe6', 'Qxe6'], ['Rd6', 'Qe8'], ['e6', 'fxe6'], ['Rxe6', 'Qf7'], ['Re7', 'Bd4+\n'], ['Kh1', 'Qf5'], ['g4', 'Qf6'], ['Qc4+', 'Kh8'], ['Rxd7', 'Rb4'], ['Qd5', 'Rxb2'], ['Ne4', 'Rb7'], ['Rxh7+', 'Kxh7\n'], ['Nxf6+', '']]",1-0
Wch U14,Cannes,1997.??.??,8,"Jobava, Baadur","Cernousek, Lukas",,,D18,"[['d4', 'd5'], ['c4', 'c6'], ['Nc3', 'Nf6'], ['Nf3', 'dxc4'], ['a4', 'Bf5'], ['e3', 'e6'], ['Bxc4', 'Bb4'], ['O-O', 'Nbd7\n'], ['Nh4', 'Bg4'], ['f3', 'Bh5'], ['g4', 'Bg6'], ['Nxg6', 'hxg6'], ['Qc2', 'Bd6'], ['Rf2', 'Qe7'], ['a5', 'Nd5\n'], ['Ne4', 'Bc7'], ['a6', 'Nb4'], ['axb7', 'Rb8'], ['Qa4', 'Rxb7'], ['Bd2', 'O-O'], ['Rc1', 'Rc8'], ['Qa3', 'Rcb8\n'], ['Ba6', 'Rb6'], ['Bxb4', 'Rxb4'], ['Rxc6', 'Qd8'], ['Rfc2', 'Rb3'], ['Qa2', 'Bxh2+'], ['Kxh2', 'Qh4+\n'], ['Kg2', 'Rxe3'], ['Rc8+', 'Rxc8'], ['Rxc8+', 'Kh7'], ['Rc1', 'Re1'], ['Rxe1', 'Qxe1'], ['Qc4', 'Nb6\n'], ['Qc7', 'Nd5'], ['Qh2+', 'Kg8'], ['Qb8+', 'Kh7'], ['Ng5+', '']]",1-0
Wch U14,Cannes,1997.??.??,9,"Smerdon, David","Jobava, Baadur",,,B22,"[['e4', 'c5'], ['c3', 'd6'], ['d4', 'Nf6'], ['Bd3', 'g6'], ['Nf3', 'Bg7'], ['O-O', 'O-O'], ['h3', 'Nbd7'], ['Be3', 'b6\n'], ['Nbd2', 'Bb7'], ['Qe2', 'e5'], ['a4', 'Qc7'], ['b4', 'd5'], ['Nxe5', 'Nxe5'], ['dxe5', 'dxe4'], ['exf6', 'exd3\n'], ['Qxd3', 'Bxf6'], ['bxc5', 'Rad8'], ['Qc4', 'bxc5'], ['Ne4', 'Bxe4'], ['Qxe4', 'Bxc3'], ['Rac1', 'Qa5\n'], ['Qc4', 'Bd4'], ['Bxd4', 'cxd4'], ['Rfd1', 'Rfe8'], ['Qb5', 'Qxb5'], ['axb5', 'Re5'], ['Rc7', 'Rxb5\n'], ['Rxa7', 'Rbd5'], ['f3', 'Kg7'], ['Kf2', 'g5'], ['Ra6', 'f6'], ['Rd3', 'Kg6'], ['g4', 'Rc8'], ['Rd2', 'Rc3\n'], ['Ra4', 'Rb5'], ['Raxd4', 'Rbb3'], ['f4', 'Rf3+'], ['Ke2', 'gxf4'], ['h4', 'Rh3'], ['Rxf4', 'Rxh4'], ['Kf1', 'Rb1+\n'], ['Kg2', 'Rhh1'], ['Rdf2', 'Rbg1+'], ['Kf3', 'Rh6'], ['Ke2', 'Kg7'], ['Rf1', 'Rg2+'], ['R1f2', 'Rg3'], ['R2f3', 'Rg2+\n'], ['Rf2', 'Rg1'], ['Rf1', 'Rxf1'], ['Rxf1', 'Rh3'], ['Kf2', 'Kg6'], ['Kg2', 'Re3'], ['Rf3', 'Re5'], ['Ra3', 'Kg5\n'], ['Kg3', 'Re4'], ['Ra5+', 'Re5'], ['Ra3', 'h6'], ['Rb3', 'Kg6'], ['Kf4', 'Rg5'], ['Rb8', '']]",1/2-1/2
Wch U14,Cannes,1997.??.??,10,"Jobava, Baadur","Manesh Chandran, P.",,,E06,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Ba6'], ['Qa4', 'Be7'], ['Bg2', 'c6'], ['Nc3', 'O-O'], ['O-O', 'd5\n'], ['Ne5', 'Bb7'], ['Bf4', 'Nbd7'], ['Rfd1', 'Nxe5'], ['Bxe5', 'Nd7'], ['Bf4', 'f5'], ['Rac1', 'Kh8'], ['Rc2', 'Nf6\n'], ['Be5', 'Ng4'], ['cxd5', 'cxd5'], ['Nb5', 'Nxe5'], ['dxe5', 'Bc5'], ['b4', 'Bc6'], ['bxc5', 'a6'], ['cxb6', 'Qxb6\n'], ['Qd4', 'Qxb5'], ['Rdc1', 'Qa4'], ['Qb6', 'Bd7'], ['Qd6', 'Rae8'], ['e3', 'Bb5'], ['Bf1', 'Bxf1'], ['Kxf1', 'Rd8\n'], ['Qxe6', 'd4'], ['Qc4', 'Qxc4+'], ['Rxc4', 'dxe3'], ['fxe3', 'Rfe8'], ['Rc5', 'g6'], ['Ke2', 'Rb8'], ['R1c2', 'Rb4\n'], ['Ra5', 'Re6'], ['Rd5', 'Kg7'], ['Kd3', 'Re4'], ['Rcc5', 'Kh6'], ['Ra5', 'Kh5'], ['h3', 'Kg5'], ['Ke2', 'Rc6\n'], ['Rd4', 'Re6'], ['Rdd5', 'Rc6'], ['Rd4', 'Re6'], ['Rxe4', 'fxe4'], ['Kd2', 'Rc6'], ['g4', 'h5'], ['gxh5', 'gxh5\n'], ['e6+', 'Kf6'], ['Rxh5', 'Rd6+'], ['Ke2', 'Rb6'], ['Rh6+', 'Ke7'], ['Rh7+', 'Ke8'], ['Kf2', 'Rxe6'], ['Rh4', 'Kf7\n'], ['Kg3', 'Re5'], ['a4', 'Kg6'], ['Rf4', 'Kg5'], ['h4+', 'Kh5'], ['Kh3', 'Kg6'], ['Kg4', 'Kh7'], ['h5', 'Kg7\n'], ['Rf5', 'Re6'], ['Kg5', 'Re7'], ['a5', 'Rc7'], ['Re5', 'Rc1'], ['Kf5', 'Kh6'], ['Kxe4', 'Ra1'], ['Re6+', 'Kxh5\n'], ['Rxa6', 'Kg5'], ['Ke5', 'Rb1'], ['Rb6', 'Ra1'], ['a6', 'Ra5+'], ['Kd6', 'Rf5'], ['a7', '']]",1-0
Petrov mem,St Petersburg,1998.??.??,1,"Moiseenko, Alexander","Jobava, Baadur",,,A45,"[['d4', 'Nf6'], ['Bg5', 'Ne4'], ['Bf4', 'c5'], ['f3', 'Nf6'], ['d5', 'Qb6'], ['e4', 'Qxb2'], ['Nd2', 'Qc3'], ['Ne2', 'Qa5\n'], ['Kf2', 'd6'], ['g4', 'Nbd7'], ['Ng3', 'h5'], ['Nc4', 'Qc7'], ['gxh5', 'Nxh5'], ['Nxh5', 'Rxh5'], ['Rb1', 'g6\n'], ['h4', 'Bg7'], ['Bh3', 'Nb6'], ['Bxc8', 'Rxc8'], ['Nxb6', 'axb6'], ['c4', 'Ra8'], ['a4', 'Kf8'], ['Rb5', 'Bf6\n'], ['Bg5', 'Bd4+'], ['Kg3', 'Kg7'], ['Qb3', 'Rah8'], ['Qb1', 'f6'], ['Bd2', 'Qd7'], ['Qf1', 'g5'], ['Qh3', 'Qe8\n'], ['Qe6', 'Rxh4'], ['Rxh4', 'Rxh4'], ['Rxb6', 'Rh1'], ['f4', 'Rg1+']]",0-1
