Dubna,Dubna,1979.??.??,?,"Kaidanov, Grigory S","Plachetka, Jan",,,B89,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'd6'], ['Bc4', 'Nf6'], ['Bb3', 'Be7'], ['Be3', 'O-O\n'], ['Qe2', 'a6'], ['O-O-O', 'Qc7'], ['Rhg1', 'b5'], ['g4', 'b4'], ['Nxc6', 'bxc3'], ['Nxe7+', 'Qxe7'], ['Bd4', 'Bb7\n'], ['e5', 'Ne4'], ['exd6', 'Qxd6'], ['Qe3', 'cxb2+'], ['Bxb2', 'Qe7'], ['g5', 'Rfc8'], ['h4', 'Qc5'], ['Rd4', 'Qf5\n'], ['h5', 'Nc5'], ['Bc4', 'Be4'], ['g6', 'f6'], ['gxh7+', 'Kxh7'], ['Qg3', 'Ra7'], ['Qg6+', 'Kh8'], ['Qxf5', 'Bxf5\n'], ['h6', 'e5'], ['Rd6', 'Ne4'], ['Rxa6', 'Rac7'], ['hxg7+', 'Rxg7'], ['Rxg7', 'Kxg7'], ['Bd3', 'Bg6'], ['f3', 'Nc5\n'], ['Ra7+', 'Kh6'], ['Bxg6', 'Kxg6'], ['Kd2', 'Kf5'], ['a4', 'Kf4'], ['Rf7', 'f5']]",1/2-1/2
Dubna,Dubna,1979.??.??,?,"Kaidanov, Grigory S","Razuvaev, Yuri S",,,C02,"[['e4', 'c5'], ['c3', 'e6'], ['d4', 'd5'], ['e5', 'Nc6'], ['Nf3', 'Bd7'], ['Bd3', 'Rc8'], ['a3', 'Nge7'], ['O-O', 'Ng6\n'], ['g3', 'cxd4'], ['cxd4', 'f6'], ['Re1', 'Be7'], ['exf6', 'Bxf6'], ['Nc3', 'O-O'], ['Be3', 'Be8'], ['h4', 'h6\n'], ['Qc2', 'Nge7'], ['g4', 'e5'], ['dxe5', 'Bxe5'], ['Be2', 'Bg6'], ['Qd1', 'd4'], ['Nxe5', 'dxe3'], ['Nf3', 'exf2+\n'], ['Kxf2', 'Qb6+'], ['Kg3', 'Rcd8'], ['Bc4+', 'Kh8'], ['Qe2', 'Qc7+'], ['Kh3', 'Rf4'], ['h5', 'Rxg4'], ['Rg1', 'Rxg1\n'], ['Rxg1', 'Bxh5'], ['Qe4', 'Bxf3'], ['Qxf3', 'Ne5'], ['Qg3', 'Nf5'], ['Qf4', 'Qxc4'], ['Qxf5', 'Qd3+']]",0-1
Dubna,Dubna,1979.??.??,?,"Kaidanov, Grigory S","Suetin, Alexey S",,,C02,"[['e4', 'c5'], ['Nf3', 'e6'], ['c3', 'd5'], ['e5', 'Nc6'], ['d4', 'Qb6'], ['Bd3', 'Bd7'], ['dxc5', 'Bxc5'], ['O-O', 'a5\n'], ['Nbd2', 'f6'], ['Qe2', 'fxe5'], ['Nxe5', 'Nxe5'], ['Qxe5', 'Nf6'], ['Nf3', 'O-O'], ['Qe2', 'Bd6'], ['Ne5', 'Qc7\n'], ['Re1', 'Rae8'], ['Bg5', 'Bc8'], ['Bh4', 'Nd7'], ['Qh5', 'Nf6'], ['Qe2', 'g6'], ['Bb5', 'Re7'], ['c4', 'Qb6\n'], ['Rac1', 'Rc7'], ['a4', 'Ne4'], ['Nf3', 'Bc5'], ['Rf1', 'Rcf7'], ['Qd3', 'Rf5'], ['cxd5', 'exd5'], ['Qc2', 'g5\n'], ['Bxg5', 'Bxf2+'], ['Rxf2', 'Rxg5'], ['Kf1', 'Bg4'], ['Bd3', 'Bxf3'], ['gxf3', 'Nxf2'], ['Qxf2', 'Qf6\n'], ['Rc7', 'Qxf3'], ['Bxh7+', 'Kh8'], ['Qxf3', 'Rxf3+'], ['Ke2', 'Rh3']]",0-1
Dubna,Dubna,1979.??.??,?,"Kaidanov, Grigory S","Lukacs, Peter",,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['d3', 'd6'], ['Bb3', 'Bb6'], ['O-O', 'O-O'], ['Bg5', 'h6\n'], ['Bh4', 'g5'], ['Nxg5', 'hxg5'], ['Bxg5', 'Kg7'], ['Qf3', 'Rh8'], ['Kh1', 'Qe7'], ['Qg3', 'Rh6'], ['Bxh6+', 'Kxh6\n'], ['Bd1', 'Bd7'], ['Nd2', 'Rg8'], ['Qh4+', 'Kg7'], ['Nc4', 'Ng4'], ['Qxe7', 'Nxe7'], ['Nxb6', 'axb6'], ['h3', 'Nh6\n'], ['Bb3', 'Rh8'], ['f4', 'exf4'], ['Rxf4', 'Ng6'], ['Rff1', 'f5'], ['exf5', 'Nxf5'], ['Kh2', 'Ne5'], ['d4', 'Ng4+\n'], ['Kg1', 'Nf6'], ['Rf3', 'Ne7'], ['Raf1', 'Rf8'], ['g4', 'Bc6'], ['R3f2', 'Ng6'], ['Kh2', 'Nh7'], ['Rf7+', 'Kh6\n'], ['Rxf8', 'Nhxf8'], ['Kg3', 'Nh7'], ['h4', 'Kg7'], ['Rf7+', '']]",1-0
URS-ch sf,Irkutsk,1983.??.??,?,"Chekhov, Valery A","Kaidanov, Grigory S",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Nf3', 'c5'], ['Rb1', 'O-O\n'], ['Be2', 'Qa5'], ['Rb5', 'Qxc3+'], ['Bd2', 'Qa3'], ['Ra5', 'Qb2'], ['Rxc5', 'Qxa2'], ['Qc1', 'Nc6'], ['Bc4', 'Qa4\n'], ['Bb5', 'Qa2'], ['Bc4', 'Qa4'], ['Bb5', 'Qa2'], ['Bc4', 'Qa4']]",1/2-1/2
URS-ch sf,Irkutsk,1983.??.??,?,"Bykhovsky, Avigdor","Kaidanov, Grigory S",,,E04,"[['c4', 'Nf6'], ['Nf3', 'e6'], ['d4', 'd5'], ['g3', 'dxc4'], ['Bg2', 'a6'], ['Ne5', 'c5'], ['Na3', 'cxd4'], ['Naxc4', 'Ra7\n'], ['Bd2', 'b6'], ['Qb3', 'Bb7'], ['Bxb7', 'Rxb7'], ['Na5', 'Rc7'], ['Qxb6', 'Bc5'], ['Qb3', 'O-O'], ['O-O', 'Qd5\n'], ['Qxd5', 'Nxd5'], ['Rfc1', 'Rfc8'], ['Nd3', 'Bb6'], ['Rxc7', 'Rxc7'], ['Rc1', 'Rxc1+'], ['Nxc1', 'Kf8\n'], ['Nc4', 'Ba7'], ['Nd3', 'Ke7'], ['Nb4', 'Nxb4'], ['Bxb4+', 'Kd8'], ['Kg2', 'Nc6'], ['Bf8', 'g6'], ['f4', 'f6\n'], ['Kf3', 'Nb8'], ['Ke4', 'Kd7'], ['Na5', 'Nc6'], ['Nxc6', 'Kxc6'], ['Bg7', 'f5+'], ['Ke5', 'Kd7'], ['Bf8', 'd3\n'], ['exd3', 'Bg1'], ['h3', 'Bf2'], ['g4', 'fxg4'], ['hxg4', 'h5'], ['gxh5', 'gxh5'], ['Ke4', 'Bg1'], ['b4', 'Kc6\n'], ['Be7', 'Bf2'], ['a4', 'Be1'], ['Kf3', 'Bc3'], ['Kg3', 'Be1+'], ['Kh3', 'Bf2'], ['Kg2', 'Be1'], ['Kf3', 'Bc3\n'], ['Ke4', 'Be1'], ['f5', 'exf5+'], ['Kxf5', 'Kd5'], ['b5', 'axb5'], ['axb5', 'Ba5'], ['Bf6', 'Kc5']]",1/2-1/2
URS-ch sf,Irkutsk,1983.??.??,?,"Chernin, Alexander","Kaidanov, Grigory S",,,A13,"[['c4', 'e6'], ['g3', 'd5'], ['Bg2', 'Nf6'], ['Nf3', 'dxc4'], ['Qa4+', 'Nbd7'], ['Qxc4', 'c5'], ['Qb3', 'Rb8'], ['d3', 'Bd6\n'], ['Nfd2', 'O-O'], ['Nc4', 'Bc7'], ['a4', 'Ne5'], ['Nba3', 'Bd7'], ['Nxe5', 'Bxe5'], ['O-O', 'Qe7'], ['Bd2', 'Rfc8\n'], ['Bc3', 'Bxc3'], ['bxc3', 'e5'], ['c4', 'Bc6'], ['Nb5', 'Bxg2'], ['Kxg2', 'b6'], ['f3', 'Ne8'], ['Rfb1', 'a6\n'], ['Nc3', 'Nc7'], ['Rb2', 'Qe6'], ['Rab1', 'a5'], ['Nd5', 'Na6'], ['Qxb6', 'Rxb6'], ['Rxb6', 'Qe8'], ['Rxa6', 'h5\n'], ['Rxa5', 'Kh7'], ['Ra7', 'Qe6'], ['Rb6', 'Rc6'], ['a5', 'Qh6'], ['Rxf7', 'h4'], ['Rxc6', 'h3+'], ['Kf2', 'Qxc6\n'], ['Rf5', 'Qa4'], ['Rxe5', 'Qxa5'], ['Rh5+', 'Kg6'], ['Rxh3', 'Qa1'], ['Rh4', 'Kf7'], ['Rf4+', 'Ke6'], ['Kg2', 'Qe1\n'], ['Re4+', 'Kf7'], ['h4', 'Qd2'], ['Nf4', '']]",1-0
URS-ch sf,Irkutsk,1983.??.??,?,"Kaidanov, Grigory S","Kharitonov, Andrei Y",,,D60,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'e6'], ['Bg5', 'Be7'], ['Nc3', 'Nbd7'], ['e3', 'O-O'], ['cxd5', 'Nxd5'], ['Nxd5', 'exd5\n'], ['Bxe7', 'Qxe7'], ['Rc1', 'c6'], ['Be2', 'Nf6'], ['O-O', 'Bg4'], ['a3', 'Ne4'], ['Nd2', 'Bxe2'], ['Qxe2', 'Nxd2\n'], ['Qxd2', '']]",1/2-1/2
URS-ch sf,Irkutsk,1983.??.??,?,"Kaidanov, Grigory S","Pigusov, Evgeny",,,D35,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['cxd5', 'exd5'], ['Bg5', 'Be7'], ['e3', 'O-O'], ['Bd3', 'Nbd7'], ['Qc2', 'Re8\n'], ['Nf3', 'Nf8'], ['O-O', 'a6'], ['a3', 'c6'], ['h3', 'Be6'], ['b4', 'a5'], ['b5', 'c5'], ['dxc5', 'Bxc5'], ['Nd4', 'Rc8\n'], ['Qb3', 'Bxd4'], ['exd4', 'h6'], ['Be3', 'Qd6'], ['Ne2', 'Qd7'], ['Nf4', 'Bf5'], ['Rac1', 'Be4'], ['Be2', 'Ng6\n'], ['Nxg6', 'Bxg6']]",1/2-1/2
URS-ch sf,Irkutsk,1983.??.??,?,"Kaidanov, Grigory S","Polovodin, Igor A",,,E05,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'Nf6'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'dxc4'], ['Qc2', 'a6'], ['a4', 'Bd7\n'], ['Rd1', 'Bc6'], ['Nc3', 'Bxf3'], ['Bxf3', 'Nc6'], ['Bxc6', 'bxc6'], ['a5', 'Rb8'], ['Qa4', 'Bb4'], ['Na2', 'Be7\n'], ['Nc3', 'Bb4'], ['Na2', 'Be7'], ['Nc3', 'Bb4']]",1/2-1/2
URS-ch sf,Irkutsk,1983.??.??,?,"Kaidanov, Grigory S","Tavadian, Ragik",,,D36,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['cxd5', 'exd5'], ['Bg5', 'Be7'], ['e3', 'O-O'], ['Bd3', 'Nbd7'], ['Qc2', 'Re8\n'], ['Nf3', 'Nf8'], ['O-O', 'c6'], ['Rae1', 'Ne4'], ['Bxe7', 'Qxe7'], ['Bxe4', 'dxe4'], ['Nd2', 'f5'], ['Ne2', 'Be6\n'], ['Ng3', 'Rac8'], ['f3', 'exf3'], ['Nxf3', 'g6'], ['e4', 'f4'], ['Ne2', 'g5'], ['Nc3', 'Rcd8'], ['d5', 'Bf7\n'], ['Qf2', 'Ng6'], ['Qxa7', 'g4'], ['Nd4', 'Ra8'], ['Qb6', 'Ra6'], ['Qb3', 'Qc5'], ['Qd1', 'cxd5'], ['Kh1', 'dxe4\n'], ['Nxe4', 'Qd5'], ['Nc3', 'Rxe1'], ['Rxe1', 'Qd7'], ['Ne4', 'Qd5'], ['Nc3', '']]",1/2-1/2
