Daugavpils,Daugavpils,1986.??.??,9,"Kamsky, Gata","Tiviakov, Sergei",,,B70,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['g3', 'Nc6'], ['Nde2', 'Bg7'], ['Bg2', 'O-O\n'], ['O-O', 'Rb8'], ['a4', 'a6'], ['Nd5', 'b5'], ['axb5', 'axb5'], ['h3', 'b4'], ['Be3', 'Nd7'], ['Nd4', 'Bxd4\n'], ['Bxd4', 'e6'], ['Ne3', 'e5'], ['Ba7', 'Rb7'], ['Qxd6', 'Nxa7'], ['Nd5', 'Re8'], ['Nxb4', 'Re6'], ['Qd2', 'Qb6\n'], ['c3', 'Nc6'], ['Ra6', 'Qb5'], ['Ra8', 'Nb6'], ['Raa1', 'Nxb4'], ['cxb4', 'Rd7'], ['Qc3', 'Rd4'], ['f4', 'Qxb4\n'], ['f5', 'Re8'], ['fxg6', 'hxg6'], ['Qc6', 'Re6'], ['Qc7', 'Rd7'], ['Qc1', 'Qd2'], ['Qb1', 'Bb7'], ['b3', 'Qe3+\n'], ['Kh1', 'Rd2'], ['Qe1', 'Re2'], ['Qd1', 'Qd2'], ['Qxd2', 'Rxd2'], ['Ra7', 'Rd7'], ['Ra5', 'Rc7'], ['Rd1', 'Nd7\n'], ['Rd2', 'Nf6'], ['Re2', 'Rd7'], ['Rb5', 'Ba6'], ['Rb8+', 'Re8'], ['Rxe8+', 'Nxe8'], ['Ra2', 'Bb7'], ['Ra5', 'f6\n'], ['Kg1', 'Nd6'], ['Ra4', 'Kf7'], ['Kf2', 'Bc6'], ['Rb4', 'Rb7'], ['Rxb7+', 'Bxb7'], ['Ke3', 'f5'], ['Bf1', 'Nxe4\n'], ['Bg2', 'Nc5'], ['Bf1', 'g5'], ['Bc4+', 'Kf6'], ['b4', 'Ne4'], ['g4', 'f4+'], ['Ke2', 'Ng3+'], ['Ke1', 'e4\n'], ['b5', 'e3'], ['Be2', 'Nxe2'], ['Kxe2', 'Ke5'], ['b6', 'Ke4']]",0-1
SochiJ-B,Sochi,1986.??.??,?,"Velikov, V.","Kamsky, Gata",,,B81,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['g4', 'e5'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Qxd7\n'], ['Nf5', 'h5'], ['Bg5', 'Nh7'], ['Bd2', 'hxg4'], ['Qxg4', 'g6'], ['Ne3', 'Qxg4'], ['Nxg4', 'Nc6'], ['Nd5', 'O-O-O\n'], ['c3', 'f5'], ['exf5', 'gxf5'], ['Nge3', 'f4'], ['Ng4', 'Ne7'], ['Nxe7+', 'Bxe7'], ['f3', 'Ng5'], ['Ke2', 'Rh3\n'], ['Raf1', 'Rdh8'], ['c4', 'Kb8'], ['b3', 'Ne6'], ['Bc3', 'Rg8'], ['Rhg1', 'Bh4'], ['Ba1', 'Kc7'], ['Rg2', 'Bd8\n'], ['Rgg1', 'Rg7'], ['b4', 'b6'], ['Rc1', 'Rg6'], ['Rcf1', 'Bh4'], ['Rg2', 'Ng5'], ['c5', 'e4'], ['cxd6+', 'Rxd6\n'], ['Rc1+', 'Kb7'], ['Kf1', 'Rxf3+'], ['Kg1', 'Rfd3'], ['Nf2', 'Bxf2+'], ['Kxf2', 'Rd2+'], ['Kf1', 'Rxg2']]",0-1
SochiJ-B,Sochi,1986.??.??,?,"Kamsky, Gata","Sakaev, Konstantin",,,B86,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bc4', 'Be7'], ['Be3', 'O-O'], ['Bb3', 'Na6\n'], ['f4', 'Nc5'], ['Qf3', 'a6'], ['O-O', 'Qc7'], ['Rad1', 'Bd7'], ['f5', 'e5'], ['Nde2', 'Nxb3'], ['cxb3', 'Bc6\n'], ['g4', 'h6'], ['h4', 'Nh7'], ['Bf2', 'Qd8'], ['Qg3', 'Rc8'], ['Rd2', 'Kh8'], ['Rfd1', 'Rg8'], ['Qh3', 'g6\n'], ['Kh2', 'gxf5'], ['exf5', 'Qf8'], ['Rg1', 'b5'], ['Be3', 'b4'], ['Nd5', 'Bxd5'], ['Rxd5', 'Nf6'], ['Rdd1', 'Rc2\n'], ['Rd2', 'Rxd2'], ['Bxd2', 'd5'], ['g5', 'Ne4'], ['Bc1', 'Bc5'], ['Rg2', 'Qd8'], ['Qf3', 'hxg5'], ['Qh5+', 'Kg7\n'], ['Bxg5', 'Nxg5'], ['Rxg5+', 'Kf8'], ['Qh6+', 'Ke7'], ['Qc6', 'Bd6'], ['f6+', 'Kf8'], ['Qxd5', 'Rh8'], ['Ng3', 'Qxf6\n'], ['Nf5', 'Be7'], ['Nxe7', 'Rxh4+']]",0-1
SochiJ-B,Sochi,1986.??.??,?,"Burmenko, D.","Kamsky, Gata",,,D46,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'e6'], ['e3', 'Nf6'], ['Bd3', 'Nbd7'], ['O-O', 'Be7'], ['Nbd2', 'O-O'], ['e4', 'dxe4\n'], ['Nxe4', 'b6'], ['Qe2', 'Bb7'], ['Rd1', 'Qc7'], ['Bg5', 'Rad8'], ['Bh4', 'c5'], ['Nc3', 'cxd4'], ['Nxd4', 'Ba8\n'], ['Bc2', 'Nc5'], ['b4', 'Ncd7'], ['a3', 'Ne5'], ['Bg3', 'Qb7'], ['f3', 'Ng6'], ['Ndb5', 'Nh5'], ['Bf2', 'Nhf4\n'], ['Qe3', 'Bg5'], ['Be4', 'Qe7'], ['Qe1', 'Bh4'], ['Bxa8', 'Bxf2+'], ['Qxf2', 'Rxa8'], ['Kh1', 'Rac8'], ['Nd6', 'Rcd8\n'], ['c5', 'bxc5'], ['bxc5', 'e5'], ['Rab1', 'Rd7'], ['Ncb5', 'Ne6'], ['c6', 'Rdd8'], ['Qxa7', 'Qxa7'], ['Nxa7', 'Ne7\n'], ['Nc4', 'f6'], ['Rdc1', 'Nd5'], ['Nb6', 'Ndc7'], ['a4', 'Kf7'], ['Nd7', 'Rfe8'], ['Nb5', 'Re7'], ['Nd6+', 'Kg6\n'], ['Rb7', 'Nd5'], ['a5', 'Ndc7'], ['Nb6', 'Rxd6'], ['Nc8', 'Rd8'], ['Nxe7+', 'Kg5'], ['h4+', 'Kf4'], ['Rc4+', 'Rd4\n'], ['Rxd4+', 'exd4'], ['Kg1', 'Ke3'], ['Nf5+', 'Kd3'], ['Nxg7', '']]",1-0
SochiJ-B,Sochi,1986.??.??,?,"Akopian, Vladimir","Kamsky, Gata",,,B81,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['g4', 'h6'], ['Rg1', 'Nc6'], ['h4', 'h5\n'], ['gxh5', 'Nxh5'], ['Bg5', 'Qb6'], ['Nb3', 'Bd7'], ['Qd2', 'a6'], ['O-O-O', 'Nf6'], ['Bh3', 'Qc7'], ['Qe2', 'b5\n'], ['Qe3', 'Ne5'], ['f4', 'Nc4'], ['Qd4', 'Be7'], ['e5', 'Qa7'], ['exd6', 'Nxd6'], ['Qd3', 'b4'], ['Bxf6', 'gxf6\n'], ['Ne4', 'Nxe4'], ['Qxe4', 'Rc8'], ['Kb1', 'Qc7'], ['Rd2', 'Bc6'], ['Qe3', 'Bb7'], ['Bxe6', 'fxe6'], ['Qxe6', 'Rf8\n'], ['Qf5', 'Rd8'], ['Qh5+', 'Rf7'], ['Rg8+', 'Bf8'], ['Re2+', 'Qe7'], ['Rxf8+', '']]",1-0
SochiJ-B,Sochi,1986.??.??,?,"Shirov, Alexei","Kamsky, Gata",,,C69,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Bxc6', 'dxc6'], ['O-O', 'f6'], ['d4', 'exd4'], ['Nxd4', 'c5'], ['Nb3', 'Qxd1\n'], ['Rxd1', 'Bd7'], ['Be3', 'b6'], ['Nc3', 'O-O-O'], ['a4', 'Re8'], ['a5', 'c4'], ['axb6', 'cxb3'], ['b7+', 'Kxb7\n'], ['Rxd7', 'Kc8'], ['Rd3', 'bxc2'], ['Rxa6', 'Bd6'], ['Nb5', 'Rxe4'], ['Nxd6+', 'cxd6'], ['Rc3+', 'Kd7\n'], ['Ra7+', 'Ke6'], ['Ra8', 'd5'], ['Rxc2', 'Rc4'], ['Rxc4', 'dxc4'], ['Kf1', 'h5'], ['Ke2', 'h4'], ['Kd2', 'Kf7\n'], ['Kc3', 'Rh5'], ['Kxc4', 'Ne7'], ['b4', 'Nf5'], ['Bc5', 'Ke6'], ['Rd8', 'g6'], ['b5', 'Rh7'], ['b6', 'Nh6\n'], ['Re8+', 'Kd7'], ['b7', 'Kxe8'], ['b8=Q+', 'Kf7'], ['Qc7+', '']]",1-0
Pavlodar,Pavlodar,1987.??.??,?,"Nenashev, Alexander","Kamsky, Gata",,,A25,"[['c4', 'e5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['e4', 'd6'], ['Nge2', 'Be6'], ['d3', 'h5'], ['h3', 'Qd7'], ['Nd5', 'Nd4'], ['Nxd4', 'exd4\n'], ['Nf4', 'Ne7'], ['Bg2', 'Bg7'], ['O-O', 'c6'], ['b4', 'Bf6'], ['b5', 'c5'], ['a4', 'Be5'], ['Qe2', 'Bxf4\n'], ['Bxf4', 'f6'], ['Kh2', 'g5'], ['Bd2', 'g4'], ['h4', 'O-O-O'], ['f4', 'gxf3'], ['Bxf3', 'Ng6'], ['a5', 'Ne5\n'], ['a6', 'b6'], ['Bf4', 'Rdg8'], ['Rf2', 'Qg7'], ['Rg1', 'Kd7'], ['Rff1', 'Qg6'], ['Bg2', 'Qg4'], ['Qxg4', 'Nxg4+\n'], ['Kh1', 'Rg6'], ['Bf3', 'Rhg8'], ['Rg2', '']]",1/2-1/2
Pavlodar,Pavlodar,1987.??.??,?,"Zaichik, Gennadi","Kamsky, Gata",,,D78,"[['Nf3', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['c4', 'c6'], ['O-O', 'O-O'], ['d4', 'd5'], ['Qb3', 'dxc4'], ['Qxc4', 'Be6\n'], ['Qb4', 'Qb6'], ['Qxe7', 'Na6'], ['Qa3', 'Rfe8'], ['Nc3', 'Bc4'], ['Ne5', 'Qxd4'], ['Nxc4', 'Qxc4'], ['Bf4', 'Rad8\n'], ['Qb3', 'Qb4'], ['Bf3', 'Nd7'], ['Bg5', 'Rc8'], ['Qxb4', 'Nxb4'], ['Rac1', 'Ne5'], ['Bg2', 'h6'], ['Bf4', 'Rcd8\n'], ['a3', 'Na6'], ['Ne4', 'f5'], ['Nc5', 'Nxc5'], ['Rxc5', 'Ng4'], ['Rc2', 'Rd7'], ['h3', 'Nf6'], ['Be3', 'a6\n'], ['Bf3', 'Re5'], ['Rb1', 'Ne4'], ['g4', 'Ng5'], ['Bg2', 'Ne6'], ['Kf1', 'f4'], ['Ba7', 'Bf6'], ['Bb8', 'Rb5\n'], ['Be4', 'Kg7'], ['Bd3', 'Rbd5'], ['Rcc1', 'Be5'], ['Bxe5+', 'Rxe5'], ['Rc3', 'h5'], ['gxh5', 'Rxh5'], ['Kg2', 'Kf6\n'], ['Rg1', 'Rdh7'], ['Kf1', 'R7h6'], ['Bb1', 'Rb5'], ['b3', 'Rd5'], ['Ke1', 'Rdh5'], ['Kf1', 'g5'], ['Kg2', 'Rh8\n'], ['Bc2', 'Nd4'], ['Rd1', 'Nxc2'], ['Rxc2', 'Rxh3'], ['Rd6+', 'Ke5'], ['Rd7', 'Rh2+'], ['Kf3', 'g4+']]",0-1
Pavlodar,Pavlodar,1987.??.??,?,"Nasybullin, Vladislav","Kamsky, Gata",,,D03,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bg5', 'Bg7'], ['Nbd2', 'd5'], ['e3', 'Bf5'], ['Be2', 'O-O'], ['O-O', 'Nbd7'], ['c4', 'dxc4\n'], ['Nxc4', 'Ne4'], ['Bh4', 'c5'], ['Rc1', 'Re8'], ['dxc5', 'Ndxc5'], ['Nd4', 'Ne6'], ['Nxf5', 'gxf5'], ['f3', 'N4c5\n'], ['f4', 'b5'], ['Ne5', 'Bf6'], ['Qe1', 'Qb6'], ['Kh1', 'Rac8'], ['Qg3+', 'Ng7'], ['Bf3', 'Ne4'], ['Bxe4', 'fxe4\n'], ['Qg4', 'Rxc1'], ['Rxc1', 'h5'], ['Qh3', 'Bxh4'], ['Qxh4', 'Qxe3'], ['Rc3', 'Qd4'], ['h3', 'f6'], ['Rg3', 'Rc8\n'], ['Rxg7+', 'Kxg7'], ['Qxh5', 'Rc1+'], ['Kh2', 'Qg1+'], ['Kg3', 'Qe3+'], ['Kh4', 'Qxf4+'], ['Ng4', 'Qg5+\n'], ['Qxg5+', 'fxg5+'], ['Kxg5', 'Rc2'], ['g3', 'Rxb2'], ['h4', 'Rxa2'], ['Ne3', 'b4']]",0-1
Pavlodar,Pavlodar,1987.??.??,?,"Kamsky, Gata","Yermolinsky, Alex",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bg5', 'Bg7'], ['Nbd2', 'O-O'], ['e3', 'd6'], ['Bd3', 'Nbd7'], ['Qe2', 'h6'], ['Bxf6', 'Nxf6\n'], ['h3', 'e5'], ['dxe5', 'dxe5'], ['O-O-O', 'Qe7'], ['e4', 'a5'], ['g4', 'a4'], ['Nc4', 'b5'], ['Ne3', 'Bb7\n'], ['Rhe1', 'a3'], ['b3', 'Qc5'], ['c4', 'Nxe4'], ['Bxe4', 'Bxe4'], ['Nd2', 'Bb7'], ['Nc2', 'b4'], ['Qe3', 'Qe7\n'], ['f4', 'Rfe8'], ['fxe5', 'Bxe5'], ['Qxh6', 'Qf6'], ['g5', 'Bb2+'], ['Kb1', 'Rxe1'], ['Rxe1', 'Qf2'], ['Rf1', 'Qxd2\n'], ['Qh4', 'Rd8'], ['Qg4', 'Be4']]",0-1
Pavlodar,Pavlodar,1987.??.??,?,"Kamsky, Gata","Sideif Sade, Fikret I",,,B44,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nxc6', 'bxc6'], ['c4', 'Nf6'], ['Bd3', 'Be7'], ['O-O', 'd6\n'], ['Qe2', 'e5'], ['Nc3', 'O-O'], ['h3', 'Be6'], ['b3', 'Nd7'], ['Bb2', 'Re8'], ['Rad1', 'Nf8'], ['f4', 'exf4\n'], ['Rxf4', 'Ng6'], ['Rff1', 'Bf6'], ['Bb1', 'Be5'], ['Qf3', 'Qe7'], ['Bc1', 'Qb7'], ['Bc2', 'f6'], ['Ne2', 'a5\n'], ['Nd4', 'Nf8'], ['Nf5', 'Rad8'], ['Kh1', 'a4'], ['Be3', 'Rd7'], ['Rd2', 'Red8'], ['Rfd1', 'g6'], ['Nd4', 'axb3\n'], ['axb3', 'Bf7'], ['Qg4', 'd5'], ['exd5', 'cxd5'], ['c5', 'Rc7'], ['Nf3', 'Ne6'], ['Qh4', 'Rdd7'], ['Nxe5', 'fxe5\n'], ['Qf6', 'd4'], ['Bh6', 'Rxc5'], ['Rf1', 'Qc8'], ['Be4', 'Qd8'], ['b4', 'Qxf6'], ['Rxf6', 'Rc4'], ['b5', 'Rb4\n'], ['Rdf2', 'Re7'], ['Bd5', 'Nf4'], ['Rc2', '']]",1-0
