Kautsky mem9,Prague,1934.??.??,12,"Opocensky, Karel","Karjakin, Sergei",,,D02,"[['d4', 'd5'], ['Nf3', 'c6'], ['e3', 'e6'], ['Bd3', 'Nd7'], ['Nbd2', 'f5'], ['c4', 'Qf6'], ['Rb1', 'a5'], ['b3', 'Bd6'], ['Bb2', 'Nh6\n'], ['Qc2', 'O-O'], ['Nf1', 'g6'], ['Ng3', 'Ng4'], ['Ne2', 'Nh6'], ['Bc3', 'Bc7'], ['b4', 'axb4'], ['Bxb4', 'Re8\n'], ['Nc3', 'Nb6'], ['O-O', 'Nxc4'], ['Bxc4', 'dxc4'], ['e4', 'b5'], ['a4', 'Bd7'], ['e5', 'Qg7'], ['axb5', 'cxb5\n'], ['d5', 'Bxe5'], ['Rfe1', 'Nf7'], ['Qd2', 'exd5'], ['Nxd5', 'Bc6'], ['Nxe5', 'Nxe5'], ['f4', 'Rad8'], ['Ne7+', 'Qxe7\n'], ['Bxe7', 'Rxd2'], ['Rxe5', 'Rxg2+'], ['Kf1', 'Rxh2'], ['Rb4', 'Ra8']]",0-1
Kautsky mem12,Prague,1935.??.??,3,"Karjakin, Sergei","Petkevic, B.",,,A47,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['Nbd2', 'c5'], ['e3', 'Nc6'], ['c3', 'b6'], ['Bd3', 'Bb7'], ['Qe2', 'd6'], ['O-O', 'Qc7\n'], ['e4', 'e5'], ['dxe5', 'dxe5'], ['Nc4', 'g6'], ['Bg5', 'Bg7'], ['Ne3', 'Ne7'], ['Bb5+', 'Bc6'], ['Rad1', 'Nxe4\n'], ['Bxe7', 'Kxe7'], ['Bxc6', 'Nxc3'], ['bxc3', 'Qxc6'], ['Nxe5', 'Bxe5'], ['Nd5+', 'Ke6'], ['f4', '']]",1-0
Kautsky mem12,Prague,1935.??.??,9,"Dobias, Josef","Karjakin, Sergei",,,A83,"[['d4', 'f5'], ['e4', 'fxe4'], ['Nc3', 'Nf6'], ['Bg5', 'c6'], ['Bxf6', 'exf6'], ['Nxe4', 'd5'], ['Ng3', 'g6'], ['Bd3', 'Qb6\n'], ['Qe2+', 'Kf7'], ['O-O-O', 'Bh6+'], ['Kb1', 'Re8'], ['Qf3', 'Nd7'], ['h4', 'Nf8'], ['h5', 'Bg7'], ['hxg6+', 'hxg6\n'], ['Nh3', 'Bxh3'], ['Rxh3', 'Re7'], ['Ne2', 'g5'], ['Ng3', 'Rae8'], ['c3', 'Re1'], ['Qh5+', 'Kg8'], ['Rh1', 'Rxd1+\n'], ['Rxd1', 'Qd8'], ['Bg6', 'Re7'], ['Nf5', 'Rd7'], ['Rh1', 'Nxg6'], ['Qxg6', 'Qc7'], ['Nxg7', '']]",1-0
Kautsky mem12,Prague,1935.??.??,10,"Opocensky, Karel","Karjakin, Sergei",,,A11,"[['Nf3', 'd5'], ['c4', 'c6'], ['e3', 'Nf6'], ['b4', 'Bg4'], ['h3', 'Bh5'], ['cxd5', 'Bxf3'], ['Qxf3', 'cxd5'], ['Bb2', 'Qd6\n'], ['Nc3', 'a6'], ['Be2', 'Qxb4'], ['Rb1', 'Qd6'], ['e4', 'dxe4'], ['Nxe4', 'Nxe4'], ['Qxe4', 'Nc6'], ['O-O', 'e6\n'], ['Bc3', 'Rb8'], ['Bf3', 'f6'], ['Rfe1', 'e5'], ['Qc4', 'Kd7'], ['d4', 'b5'], ['Bxc6+', 'Qxc6'], ['Qf7+', 'Be7\n'], ['dxe5', 'Rbe8'], ['exf6', 'gxf6'], ['Bb4', '']]",1-0
Keres mem op,Tallin,1998.06.14,1,"Karjakin, Sergei","Miezis, Normunds",,,A60,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'e6'], ['Nc3', 'exd5'], ['cxd5', 'Bd6'], ['e4', 'O-O'], ['Nf3', 'Re8'], ['Bd3', 'Bc7\n'], ['O-O', 'd6'], ['h3', 'a6'], ['a4', 'Nbd7'], ['Bf4', 'Nf8'], ['Qc2', 'Ng6'], ['Bh2', 'Rb8'], ['Rfe1', 'Bd7\n'], ['Rad1', 'b5'], ['axb5', 'axb5'], ['e5', 'dxe5'], ['d6', 'Ba5'], ['Nxe5', 'b4'], ['Nxd7', 'Rxe1+'], ['Rxe1', 'Nxd7\n'], ['Nd5', 'b3'], ['Qe2', 'Bxe1'], ['Ne7+', 'Kh8'], ['Qxe1', 'Ra8'], ['Bg3', 'Ra2'], ['Bxg6', 'fxg6'], ['Qe6', 'Rxb2\n'], ['Nc6', 'Qa8'], ['Qxd7', 'Re2'], ['Be5', 'Rxe5'], ['Nxe5', 'Qa1+'], ['Kh2', 'Qxe5+'], ['g3', 'h5'], ['Qc8+', 'Kh7\n'], ['d7', 'Qf5'], ['d8=Q', 'Qxf2+'], ['Kh1', 'Qf1+'], ['Kh2', '']]",1/2-1/2
Keres mem op,Tallin,1998.06.15,2,"Krupenski, Juri","Karjakin, Sergei",,,A32,"[['d4', 'Nf6'], ['c4', 'c5'], ['Nf3', 'cxd4'], ['Nxd4', 'e6'], ['Nc3', 'd5'], ['g3', 'e5'], ['Nf3', 'd4'], ['Nb1', 'Nc6\n'], ['Bg2', 'Bc5'], ['O-O', 'O-O'], ['Ng5', 'h6'], ['Ne4', 'Nxe4'], ['Bxe4', 'Be6'], ['b3', 'Qd7'], ['Ba3', 'b6\n'], ['e3', 'Rad8'], ['exd4', 'exd4'], ['Bb2', 'Ne5'], ['Nd2', 'f5'], ['Bg2', 'Nd3'], ['Qc2', 'Nxb2'], ['Qxb2', 'a5']]",1/2-1/2
Keres mem op,Tallin,1998.06.16,3,"Karjakin, Sergei","Koskela, Niina",,,D94,"[['e4', 'g6'], ['d4', 'd6'], ['c4', 'Bg7'], ['Nf3', 'Nf6'], ['Nc3', 'O-O'], ['Be2', 'c6'], ['O-O', 'd5'], ['exd5', 'cxd5\n'], ['cxd5', 'Nxd5'], ['Qb3', 'Nb6'], ['Rd1', 'Na6'], ['Be3', 'Qd6'], ['a3', 'Bf5'], ['Rac1', 'Nc7'], ['d5', 'Rfd8\n'], ['Nb5', 'Nxb5'], ['Qxb5', 'Bd7'], ['Qa5', 'Bxb2'], ['Bc5', 'Qf4'], ['Rb1', 'Na4'], ['Bxe7', 'Re8'], ['Bg5', 'Qd6\n'], ['Qd2', 'Bc3'], ['Qa2', 'Bg7'], ['Bc4', 'Nc3'], ['Qd2', 'Nxd1'], ['Qxd1', 'Rac8'], ['Qb3', 'b5'], ['Bf1', 'a6\n'], ['Bd2', 'Bf5'], ['Bb4', 'Qd7'], ['Bd3', 'Bg4'], ['Nd2', 'Rcd8'], ['Be4', 'Bf5'], ['Bf3', 'Rc8'], ['Rf1', 'Bc2\n'], ['Qa2', 'Bd3'], ['g3', 'Bh6'], ['Ra1', 'Qa7'], ['Bg4', 'Rc2'], ['Qb3', 'Qd4']]",0-1
Keres mem op,Tallin,1998.06.17,4,"Martonov, Anatoli","Karjakin, Sergei",,,B22,"[['e4', 'c5'], ['c3', 'd5'], ['exd5', 'Qxd5'], ['d4', 'Nf6'], ['Nf3', 'Bg4'], ['Be2', 'e6'], ['Be3', 'cxd4'], ['cxd4', 'Nc6\n'], ['Nc3', 'Bb4'], ['O-O', 'Qd6'], ['a3', 'Ba5'], ['b4', 'Bb6'], ['Qa4', 'O-O'], ['Rfd1', 'Rac8'], ['Rac1', 'Rfd8\n'], ['b5', 'Ne7'], ['Bg5', 'Ned5'], ['Nxd5', 'Qxd5'], ['Bxf6', 'gxf6'], ['h3', 'Bh5'], ['Qb4', 'Rxc1'], ['Rxc1', 'Bxf3\n'], ['Bxf3', 'Qxd4'], ['Qe1', 'Qb2'], ['Rc4', 'Qd2'], ['Qf1', 'Qa2'], ['Rg4+', 'Kf8'], ['Rh4', 'Rd2'], ['Qc4', 'Bxf2+\n'], ['Kh2', 'Qa1'], ['Qc8+', 'Ke7'], ['Qc7+', 'Rd7'], ['Qxd7+', 'Kxd7']]",0-1
Keres mem op,Tallin,1998.06.18,5,"Karjakin, Sergei","Raud, Rainer",,,A41,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nf3', 'd6'], ['c4', 'Bg4'], ['Be2', 'c6'], ['O-O', 'Bxf3'], ['Bxf3', 'Qb6'], ['Be3', 'Qxb2\n'], ['Nd2', 'Qb6'], ['Rb1', 'Qc7'], ['Qb3', 'b6'], ['c5', 'dxc5'], ['dxc5', 'b5'], ['Rfd1', 'Nd7'], ['Be2', 'Ngf6\n'], ['f4', 'O-O'], ['Bf3', 'e5'], ['f5', 'Rfe8'], ['g4', 'Bf8'], ['Rbc1', 'a5'], ['g5', 'Nh5'], ['Bxh5', 'gxh5\n'], ['Qd3', 'Qa7'], ['Qe2', 'a4'], ['Qxh5', 'b4'], ['Kh1', 'Qb7'], ['Rg1', 'Bg7'], ['f6', 'Bh8'], ['g6', '']]",1-0
Keres mem op,Tallin,1998.06.19,6,"Svirjov, Igor","Karjakin, Sergei",,,E61,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nf3', 'Bg7'], ['Nc3', 'O-O'], ['Bg5', 'd6'], ['e3', 'Nbd7'], ['Be2', 'h6'], ['Bh4', 'e5\n'], ['Qc2', 'c6'], ['O-O', 'g5'], ['Bg3', 'Nh5'], ['dxe5', 'Nxg3'], ['hxg3', 'dxe5'], ['g4', 'h5'], ['Ne4', 'hxg4\n'], ['Nfxg5', 'f5'], ['Ne6', 'Qh4'], ['g3', 'Qh5'], ['Nxf8', 'Nxf8'], ['Nd6', 'e4'], ['c5', 'Be5'], ['Rfd1', 'Be6\n'], ['Bc4', 'Kg7'], ['Qb3', 'Nd7'], ['Qxb7', 'Rh8'], ['Nxf5+', 'Bxf5'], ['Rxd7+', 'Bxd7'], ['Qxd7+', 'Kf6\n'], ['Qe6+', 'Kg7'], ['Qe7+', 'Kh6'], ['Qe6+', 'Kg7'], ['Qe7+', 'Kh6'], ['Rd1', 'Re8'], ['Qf7', 'Qxf7'], ['Bxf7', 'Rb8\n'], ['b3', 'Rb5'], ['Rc1', 'Rb8'], ['Rc4', '']]",1-0
Keres mem op,Tallin,1998.06.20,7,"Karjakin, Sergei","Shevtshenko, Robert",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e5'], ['Ndb5', 'd6'], ['Bg5', 'a6'], ['Na3', 'b5\n'], ['Nd5', 'Be7'], ['Bxf6', 'Bxf6'], ['c3', 'O-O'], ['Nc2', 'Bg5'], ['a4', 'bxa4'], ['Nce3', 'Bd7'], ['Rxa4', 'a5\n'], ['Bc4', 'Rb8'], ['b3', 'Kh8'], ['O-O', 'g6'], ['Qd3', 'f5'], ['f3', 'Bh6'], ['Rd1', 'Qh4'], ['Ra2', 'Qd8\n'], ['Nc2', 'Bg7'], ['Nde3', 'f4'], ['Nd5', 'g5'], ['b4', 'g4'], ['b5', 'Na7'], ['Ne1', 'g3'], ['Rb1', 'gxh2+\n'], ['Kh1', 'Bf6'], ['b6', 'Nc6'], ['Nc7', 'Bh4'], ['Bd5', 'Bxe1'], ['Bxc6', 'Bh4'], ['Bxd7', 'Qxd7'], ['Rxa5', 'Bf2\n'], ['Nd5', 'h5'], ['Ra7', 'Qe6'], ['Qe2', 'Bc5'], ['Qe1', 'Rg8'], ['Qh4', 'Rg7'], ['Qxh5+', 'Kg8'], ['Rxg7+', 'Kxg7\n'], ['Ra1', '']]",1-0
