URS-ch U18,Alma-Ata,1991.??.??,?,"Kasimdzhanov, Rustam","Appolonov, Sergei",,,B40,"[['e4', 'e6'], ['d3', 'c5'], ['Nf3', 'Nc6'], ['Nbd2', 'd6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'Rb8'], ['c3', 'b5'], ['a4', 'a6\n'], ['Re1', 'Nge7'], ['Nf1', 'O-O'], ['Bg5', 'b4'], ['Qc2', 'h6'], ['Be3', 'Bd7'], ['e5', 'Qc7'], ['exd6', 'Qxd6\n'], ['N1d2', 'Nd5'], ['Nc4', 'Nxe3'], ['Rxe3', 'Qc7'], ['Rae1', 'Ne7'], ['Nfe5', 'b3'], ['Qe2', 'Bxa4'], ['Nxf7', 'Rxf7\n'], ['Rxe6', 'Rd8'], ['Rxe7', 'Qxe7'], ['Qxe7', 'Rxe7'], ['Rxe7', 'Rxd3'], ['Be4', 'Rd1+'], ['Kg2', 'Bb5\n'], ['Ne3', 'Rd6'], ['Bd5+', 'Rxd5'], ['Nxd5', 'Bc6'], ['c4', 'Bxb2'], ['Kf1', 'Bd4'], ['Re1', 'Bd7'], ['Ke2', 'a5\n'], ['Kd2', 'a4'], ['Nb6', 'a3'], ['Nxd7', 'a2'], ['Nxc5', 'Bxc5'], ['Kc3', 'Bb4+'], ['Kxb3', 'Bxe1'], ['Kxa2', 'Bxf2\n'], ['Kb3', 'Kf7'], ['Kc3', 'Ke6'], ['Kd3', 'Ke5'], ['Ke2', 'Bc5'], ['Kf3', 'Kf5'], ['h3', 'Bd6'], ['g4+', 'Ke5\n'], ['h4', 'Bc5'], ['h5', '']]",0-1
Wch U16,Bratislava,1993.??.??,1,"Kasimdzhanov, Rustam","Komora, Andrej",,,C18,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'Ne7'], ['a3', 'Bxc3+'], ['bxc3', 'c5'], ['Qg4', 'Qc7'], ['Bd3', 'cxd4\n'], ['Ne2', 'Nbc6'], ['cxd4', 'Bd7'], ['O-O', 'O-O-O'], ['Qxg7', 'Rhg8'], ['Qxf7', 'Rdf8'], ['Qh5', 'Nf5\n'], ['c3', 'Be8'], ['Qh3', 'Qg7'], ['Nf4', 'Nd8'], ['g3', 'Bg6'], ['Nh5', 'Bxh5'], ['Qxh5', 'Nc6'], ['Kh1', 'Rf7\n'], ['Bg5', 'Qf8'], ['Bf6', 'Nce7'], ['Rab1', 'Ng7'], ['Qh3', 'Nef5'], ['Rb3', 'h5'], ['Rfb1', 'Kb8'], ['Ba6', 'b6\n'], ['a4', 'Ne8'], ['a5', 'Nxf6'], ['exf6', 'Rxf6'], ['axb6', 'Nxg3+'], ['fxg3', 'Rf2'], ['bxa7+', 'Kxa7\n'], ['Be2', '']]",1-0
Wch U16,Bratislava,1993.??.??,2,"Bonstingl, Georg","Kasimdzhanov, Rustam",,,A05,"[['Nf3', 'd5'], ['g3', 'b6'], ['Bg2', 'e6'], ['O-O', 'Nf6'], ['d3', 'Nbd7'], ['Nbd2', 'Bb7'], ['e4', 'dxe4'], ['Ng5', 'Nc5\n'], ['Ngxe4', 'Nfxe4'], ['dxe4', 'Be7'], ['Re1', 'O-O'], ['h4', 'a5'], ['h5', 'h6'], ['Qg4', 'Kh8'], ['Nf1', 'Nxe4\n'], ['Bxe4', 'f5'], ['Qg6', 'Bxe4'], ['Qxe6', 'Bf6'], ['Bf4', 'Bxb2'], ['Rad1', 'Qf6'], ['Qb3', 'a4'], ['Qe3', 'Qf7\n'], ['f3', 'Bxc2'], ['Rd2', 'Rae8'], ['Qf2', 'Rxe1'], ['Rxc2', 'Rxf1+'], ['Kxf1', 'a3'], ['Rxc7', 'Qxa2\n'], ['Kg2', 'Qb3'], ['Rc6', 'a2']]",0-1
Wch U16,Bratislava,1993.??.??,3,"Kasimdzhanov, Rustam","Mirzoev, Azer",,,B70,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['Nge2', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'Bg7'], ['Nb3', 'Nf6'], ['Be2', 'O-O'], ['O-O', 'd6\n'], ['Bg5', 'Bd7'], ['Re1', 'Rc8'], ['Bf1', 'Re8'], ['Nd5', 'Nxd5'], ['exd5', 'Ne5'], ['c3', 'b5'], ['Qd2', 'a5\n'], ['a3', 'Qb6'], ['Be3', 'Qc7'], ['Bd4', 'Rb8'], ['Rad1', 'Nc4'], ['Qc1', 'Bf8'], ['Nd2', 'Bh6'], ['Bxc4', 'bxc4\n'], ['Be3', 'Bg7'], ['Ne4', 'Rb5'], ['a4', 'Rb3'], ['Bd4', 'Bxa4'], ['Nf6+', 'exf6']]",0-1
Wch U16,Bratislava,1993.??.??,4,"Asrian, Karen","Kasimdzhanov, Rustam",,,B83,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'd6'], ['Be2', 'Nf6'], ['O-O', 'Be7'], ['Be3', 'O-O\n'], ['f4', 'e5'], ['fxe5', 'dxe5'], ['Nf5', 'Bxf5'], ['Rxf5', 'Qa5'], ['Kh1', 'Rad8'], ['Qe1', 'Nd4'], ['Bxd4', 'Rxd4\n'], ['Bd3', 'g6'], ['Rf1', 'Kg7'], ['Nb5', 'Qxe1'], ['Raxe1', 'Rd7'], ['Re2', 'Bc5'], ['Nc3', 'Bd4'], ['Nd1', 'Rc8\n'], ['b3', 'a6'], ['a4', 'Rc5'], ['b4', 'Rcc7'], ['Ne3', 'Rd6'], ['b5', 'Bxe3'], ['Rxe3', 'Nd7'], ['Ref3', 'Nc5\n'], ['Bc4', 'f6'], ['Bd5', 'Nxa4'], ['bxa6', 'bxa6'], ['c4', 'Rb6'], ['g4', 'g5'], ['Kg2', 'Nc5'], ['Kg3', 'a5\n'], ['h4', 'gxh4+'], ['Kxh4', 'h6'], ['g5', 'hxg5+'], ['Kg4', 'Rc8'], ['Kf5', 'Rh8'], ['Rd1', 'a4'], ['Ra1', 'Rb4']]",0-1
Wch U16,Bratislava,1993.??.??,5,Dao Thien Hai,"Kasimdzhanov, Rustam",,,D45,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['e3', 'Nf6'], ['Nf3', 'Nbd7'], ['Qc2', 'Bd6'], ['a3', 'O-O'], ['b4', 'e5'], ['cxd5', 'cxd5\n'], ['Nb5', 'Bb8'], ['dxe5', 'Nxe5'], ['Bb2', 'Qe7'], ['Rc1', 'Nxf3+'], ['gxf3', 'Be5'], ['Bxe5', 'Qxe5\n'], ['Qc3', 'Qh5'], ['Nd6', 'Be6'], ['Be2', 'b6'], ['Qd4', 'Rfd8'], ['Nb5', 'Rac8'], ['Rxc8', 'Rxc8'], ['Kd2', 'Bf5\n'], ['Nc3', 'Bg6'], ['Rc1', 'Qxh2'], ['Nxd5', 'Rxc1'], ['Ne7+', 'Kf8'], ['Nxg6+', 'hxg6'], ['Kxc1', 'Qxf2\n'], ['Qd8+', 'Ne8'], ['Kd2', 'Qg3'], ['f4', 'Qg2'], ['Qb8', '']]",1/2-1/2
Wch U16,Bratislava,1993.??.??,6,"Kasimdzhanov, Rustam","Tzoumbas, Anastasios",,,B99,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'e6'], ['f4', 'Qc7'], ['Qf3', 'Nbd7\n'], ['O-O-O', 'b5'], ['Bd3', 'Bb7'], ['Rhe1', 'Be7'], ['Qh3', 'O-O-O'], ['Bxf6', 'Nxf6'], ['Nd5', 'Nxd5'], ['exd5', 'Bxd5\n'], ['a4', 'Bf6'], ['Bf1', 'Qc5'], ['Nb3', 'Bxb3'], ['Qxb3', 'Kc7'], ['axb5', 'Rb8'], ['f5', 'Qxf5'], ['Qa3', 'Rb6\n'], ['Rd3', 'Qxb5'], ['Rc3+', 'Bxc3'], ['Qxc3+', 'Qc6'], ['Qxg7', 'Qe8'], ['Bc4', 'Qf8'], ['Qf6', 'h5'], ['Kb1', 'Rh6\n'], ['Qc3', 'Kb7'], ['Qa3', 'Rh8'], ['Qa4', 'Qe8'], ['Qa5', 'Qc6'], ['Bb3', 'Qxg2']]",0-1
Wch U16,Bratislava,1993.??.??,7,"Ovsejevitsch, Sergei","Kasimdzhanov, Rustam",,,D47,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['e3', 'Nf6'], ['Nf3', 'Nbd7'], ['Bd3', 'dxc4'], ['Bxc4', 'b5'], ['Be2', 'a6\n'], ['e4', 'b4'], ['e5', 'bxc3'], ['exf6', 'Nxf6'], ['bxc3', 'Bd6'], ['O-O', 'O-O'], ['Bg5', 'Qc7'], ['Bxf6', 'gxf6\n'], ['Bd3', 'Kh8'], ['c4', 'c5'], ['d5', 'Rg8'], ['Kh1', 'Bb7'], ['Bc2', 'Rg7'], ['Qd3', 'Rag8'], ['Rad1', 'Qe7\n'], ['Rg1', 'Bb8'], ['Qe3', 'Qd6'], ['Qh6', 'Qf4'], ['Qxf4', 'Bxf4'], ['Bb3', 'Bd6'], ['Nd2', 'f5'], ['g3', 'Rg4\n'], ['Rge1', 'Rd4'], ['Nf3', 'Rxd1'], ['Rxd1', 'exd5'], ['cxd5', 'Rg4'], ['Rc1', 'Rb4'], ['Kg1', 'a5'], ['Nh4', 'a4\n'], ['Bc4', 'Bc8'], ['Ng2', 'Kg7'], ['Ne1', 'Kf6'], ['Nd3', 'Rb6'], ['f4', 'Bd7'], ['Kf2', 'Rb7'], ['Rc2', 'Rb1\n'], ['Rb2', 'Rd1'], ['Ke3', 'Rh1'], ['Re2', 'Rb1'], ['Kd2', 'a3'], ['Re1', 'Rb7'], ['Rc1', 'Ra7'], ['Rb1', 'Ba4\n'], ['Kc3', 'h6'], ['Rb6', 'Ke7'], ['Ne5', 'f6'], ['Nf7', 'Rd7'], ['Nxh6', '']]",1-0
Wch U16,Bratislava,1993.??.??,8,"Kasimdzhanov, Rustam","Mulyar, Michael A",,,C14,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['e5', 'Nfd7'], ['Bxe7', 'Qxe7'], ['f4', 'a6'], ['Nf3', 'c5\n'], ['dxc5', 'Nc6'], ['Bd3', 'Nxc5'], ['O-O', 'b5'], ['Ne2', 'Bb7'], ['Ned4', 'Nxd3'], ['Qxd3', 'g6'], ['Nxc6', 'Bxc6\n'], ['Nd4', 'Bd7'], ['Rad1', 'h5'], ['Rfe1', 'Rc8'], ['a3', 'Rc4'], ['c3', 'Kd8'], ['Qe3', 'Kc8'], ['Nb3', 'Be8\n'], ['Nd4', 'Qc7'], ['Kh1', 'Bd7'], ['Qf2', 'Kb8'], ['Rd3', 'Rc8'], ['Rc1', 'Qb6'], ['Qd2', 'a5'], ['Rd1', 'R8c7\n'], ['Qf2', 'Kc8'], ['Qe1', 'Qc5'], ['h3', 'b4'], ['axb4', 'axb4'], ['cxb4', 'Qxb4'], ['Qxb4', 'Rxb4'], ['b3', 'Bb5\n'], ['Re3', 'Kb7'], ['g3', 'Kb6'], ['Kg2', 'Ra7'], ['Rd2', 'Ra1'], ['Rc3', 'Bd7'], ['Kf2', 'Rh1'], ['Kg2', 'Re1\n'], ['Kf2', 'Rh1'], ['Kg2', 'Ra1'], ['Kf2', 'h4'], ['gxh4', 'Rh1'], ['Kg3', 'Re1'], ['Nc2', 'Rc1'], ['Re3', 'Rb5\n'], ['Nd4', 'Rb4'], ['Nc2', 'Rb5'], ['Nd4', 'Rb4'], ['Nc2', 'Rb5'], ['Nd4', 'Rb4']]",1/2-1/2
Wch U16,Bratislava,1993.??.??,9,"Kelly, Bryan","Kasimdzhanov, Rustam",,,D31,"[['d4', 'd5'], ['c4', 'e6'], ['cxd5', 'exd5'], ['Nc3', 'c6'], ['Nf3', 'Bf5'], ['Bg5', 'Qb6'], ['Qd2', 'Nd7'], ['e3', 'Ngf6\n'], ['Bxf6', 'Nxf6'], ['a3', 'a5'], ['Nh4', 'Bg6'], ['Nxg6', 'hxg6'], ['Bd3', 'Bd6'], ['h3', 'O-O'], ['O-O', 'Rfe8\n'], ['Rfc1', 'Bb8'], ['Rab1', 'Qc7'], ['g3', 'Ne4'], ['Nxe4', 'dxe4'], ['Bc4', 'Qd7'], ['Kg2', 'a4'], ['Qc2', 'Bd6\n'], ['Rd1', 'Re7'], ['Rbc1', 'g5'], ['Qe2', 'g6'], ['Qg4', 'Qxg4'], ['hxg4', 'Kg7'], ['Rh1', 'Ree8'], ['Rh2', 'f6\n'], ['Rch1', 'Rh8'], ['Rxh8', 'Rxh8'], ['Rxh8', 'Kxh8']]",1/2-1/2
Wch U16,Bratislava,1993.??.??,10,"Kasimdzhanov, Rustam","Luna, Mariano",,,B16,"[['e4', 'c6'], ['Nc3', 'd5'], ['d4', 'dxe4'], ['Nxe4', 'Nf6'], ['Nxf6+', 'gxf6'], ['Be2', 'Bf5'], ['Bf3', 'e5'], ['Ne2', 'Bg6\n'], ['O-O', 'Na6'], ['c3', 'Qd7'], ['Ng3', 'O-O-O'], ['Be3', 'Kb8'], ['Qb3', 'Bd6'], ['Rfd1', 'Qc7'], ['d5', 'c5\n'], ['Be4', 'Bxe4'], ['Nxe4', 'f5'], ['Nxd6', 'Qxd6'], ['f4', 'e4'], ['a3', 'Rhg8'], ['c4', 'Rg4'], ['Rd2', 'h5\n'], ['Qc3', 'f6'], ['Rb1', 'b6'], ['b4', 'Rc8'], ['b5', 'Nc7'], ['a4', 'Kb7'], ['a5', 'h4'], ['Re1', 'h3'], ['g3', 'Rgg8\n'], ['Ra1', 'Rgd8'], ['Qc1', 'Ra8'], ['Rda2', 'Rf8'], ['Qd1', 'Rh8'], ['Qf1', 'Rh7'], ['Qf2', 'Rhh8'], ['Ra3', 'Rh6\n'], ['Ra4', 'Rhh8'], ['Qa2', 'Rhf8'], ['Qb2', 'Rfd8'], ['Qe2', 'Rh8'], ['R1a2', 'Rh7'], ['Qf1', 'Rh6'], ['Qa1', 'Rhh8\n'], ['Kf2', 'Qe7'], ['Bd2', 'Rhe8'], ['Ke3', 'Qf7'], ['Bc3', 'Qh5'], ['Qf1', 'Rf8'], ['Rf2', 'Rad8'], ['Qe2', 'Qxe2+\n'], ['Rxe2', 'Rd6'], ['Rea2', 'Rb8'], ['Ke2', 'Rg8'], ['Kf2', 'Kb8'], ['Bd2', 'Rh8'], ['Ra1', 'Rg8'], ['Be3', 'Rg7\n'], ['axb6', 'axb6'], ['Ke2', 'Rg6'], ['Kd2', 'Kb7'], ['Kc2', 'Kb8']]",1/2-1/2
