Wch U16,Wattignies,1976.08.27,?,"Chandler, Murray G","Kasparov, Gary",,,B22,"[['e4', 'c5'], ['c3', 'Nf6'], ['e5', 'Nd5'], ['d4', 'Nc6'], ['Nf3', 'cxd4'], ['cxd4', 'e6'], ['a3', 'd6'], ['Bd3', 'Qa5+\n'], ['Bd2', 'Qb6'], ['Nc3', 'Nxc3'], ['Bxc3', 'dxe5'], ['dxe5', 'Be7'], ['O-O', 'Bd7'], ['Nd2', 'Qc7'], ['Qg4', 'O-O-O\n'], ['Rfc1', 'Kb8'], ['Qc4', 'Rc8'], ['b4', 'f6'], ['Nf3', 'Qb6'], ['Qe4', 'f5'], ['Qe1', 'a6'], ['Rab1', 'g5\n'], ['Nd2', 'Nd4'], ['Qe3', 'Rxc3'], ['Rxc3', 'f4'], ['Qe1', 'g4'], ['Ne4', 'Bc6'], ['Nc5', 'Ka7'], ['a4', 'Bf3\n'], ['a5', 'Qd8'], ['Bc4', 'Bxc5'], ['bxc5', 'Qh4'], ['gxf3', 'gxf3'], ['Kh1', 'Rg8'], ['Qe4', 'Rg7'], ['Qxd4', 'Qg5\n'], ['c6+', 'Kb8'], ['c7+', 'Rxc7'], ['Rg1', 'Qh5'], ['Rg8+', 'Rc8'], ['Qd6+', 'Ka7']]",1-0
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Galle, Andre",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nf6'], ['e5', 'Ne4'], ['Nxe4', 'dxe4'], ['Be3', 'b6'], ['Ne2', 'Bb7'], ['Ng3', 'c5\n'], ['dxc5', 'Qxd1+'], ['Rxd1', 'Bxc5'], ['Bxc5', 'bxc5'], ['Bb5+', 'Ke7'], ['O-O', 'Bc6'], ['Bxc6', 'Nxc6\n'], ['Nxe4', 'Nxe5'], ['Nxc5', 'Rac8'], ['b4', 'Rhd8'], ['f3', 'a5'], ['c3', 'axb4'], ['cxb4', 'Nc6'], ['Rxd8', 'Rxd8\n'], ['b5', 'Nb4'], ['Rb1', 'Nd5'], ['b6', 'Rb8'], ['b7', 'Nc7'], ['Rb6', 'Kd8'], ['Kf2', 'Nd5'], ['Rd6+', 'Kc7\n'], ['Rxd5', 'exd5'], ['Na6+', 'Kxb7'], ['Nxb8', 'Kxb8'], ['Ke3', 'Kc7'], ['Kd4', 'Kc6'], ['a4', 'Kb6'], ['Kxd5', 'Ka5\n'], ['Kd6', 'Kxa4'], ['Ke7', 'f5'], ['Kf7', '']]",1-0
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Grinberg, Nir",,,B45,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e6'], ['Ndb5', 'Bb4'], ['a3', 'Bxc3+'], ['Nxc3', 'd5\n'], ['exd5', 'exd5'], ['Bd3', 'O-O'], ['O-O', 'd4'], ['Ne4', 'Bf5'], ['Bg5', 'Bxe4'], ['Bxe4', 'h6'], ['Bxf6', 'Qxf6\n'], ['Qh5', 'Rfe8'], ['Rfe1', '']]",1/2-1/2
Wch U16,Wattignies,1976.??.??,?,"Roos, Louis","Kasparov, Gary",,,B50,"[['e4', 'c5'], ['Nc3', 'e6'], ['Nf3', 'd6'], ['g3', 'Nc6'], ['Bg2', 'Nf6'], ['d3', 'Be7'], ['O-O', 'O-O'], ['h3', 'Rb8\n'], ['a4', 'b6'], ['Re1', 'Bb7'], ['Bg5', 'h6'], ['Be3', 'e5'], ['g4', 'Nd4'], ['Kh2', 'Nh7'], ['Ng1', 'Bg5'], ['Nd5', 'Ne6\n'], ['Ne2', 'Bxd5'], ['exd5', 'Nf4'], ['Bxf4', 'Bxf4+'], ['Nxf4', 'exf4'], ['Be4', 'g6'], ['Qd2', 'Qf6'], ['c3', 'Rbe8\n'], ['f3', 'Qh4'], ['Qg2', 'Ng5']]",0-1
Wch U16,Wattignies,1976.??.??,?,"Van der Wiel, John TH","Kasparov, Gary",,,B93,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['f4', 'Qc7'], ['a4', 'g6'], ['Bd3', 'Bg7\n'], ['Nf3', 'Bg4'], ['Be3', 'Nc6'], ['O-O', 'O-O'], ['Qe1', 'Bxf3'], ['Rxf3', 'e6'], ['Qh4', 'Qd8'], ['Rh3', 'h5\n'], ['Be2', 'd5'], ['e5', 'Nd7'], ['Qf2', 'Qe7'], ['g4', 'hxg4'], ['Bxg4', 'Rad8'], ['Rd1', 'f5'], ['Bf3', 'Rf7\n'], ['Kh1', 'g5'], ['Bh5', 'g4'], ['Bxf7+', 'Qxf7'], ['Rg3', 'Qh5'], ['Kg2', 'Nf8'], ['Ne2', 'Ng6'], ['h3', 'Nh4+\n'], ['Kf1', 'Kf7'], ['Ng1', 'd4'], ['Bc1', 'gxh3'], ['Qe2', 'Qxe2+'], ['Nxe2', 'Ng6'], ['Rxh3', 'Bf8'], ['Rb3', 'Rd7\n'], ['Rbd3', 'Bc5'], ['c3', 'Ba7'], ['Be3', 'Rd5'], ['cxd4', 'Nb4'], ['Rb3', 'a5'], ['Bd2', '']]",1-0
Wch U16,Wattignies,1976.??.??,?,"Dunne, David Joseph","Kasparov, Gary",,,B51,"[['e4', 'c5'], ['Nf3', 'd6'], ['Bb5+', 'Nd7'], ['d4', 'Nf6'], ['Nc3', 'cxd4'], ['Qxd4', 'e5'], ['Qd3', 'h6'], ['Be3', 'Be7\n'], ['O-O', 'O-O'], ['Rad1', 'a6'], ['Bc4', 'Qc7'], ['a4', 'Nc5'], ['Bxc5', 'Qxc5'], ['Nd5', 'Nxd5'], ['Bxd5', 'Rb8\n'], ['Nd2', 'Bd7'], ['Bb3', 'b5'], ['a5', 'Rbc8'], ['Nf3', 'Be6'], ['Rfe1', 'Rfd8'], ['Re2', 'Rc7'], ['Red2', 'Rdc8\n'], ['h3', 'Qb4'], ['Bxe6', 'fxe6'], ['Qb3', 'Rc4'], ['Re2', 'Qxb3'], ['cxb3', 'Rc1'], ['Rxc1', 'Rxc1+'], ['Kh2', 'Kf7\n'], ['Ne1', 'Bd8'], ['Nd3', 'Rd1'], ['Nb4', 'Bxa5'], ['Nxa6', 'Rc1'], ['b4', 'Bb6'], ['b3', 'Rc3'], ['Ra2', 'Rxb3\n'], ['Rc2', 'Bd4'], ['Rc7+', 'Kf6'], ['f3', 'Ra3'], ['Rc6', 'Rc3'], ['Rc7', 'Rxc7'], ['Nxc7', 'Bc3'], ['Nxb5', 'Bxb4\n'], ['Na7', 'Kf7'], ['Kg3', 'Ke8'], ['Kg4', 'Kd7'], ['f4', 'g6'], ['h4', 'Kc7'], ['f5', 'exf5+'], ['exf5', 'gxf5+\n'], ['Kxf5', 'Kb7'], ['Nb5', 'Kb6'], ['Nxd6', 'Bxd6'], ['g4', 'Kc6'], ['g5', 'hxg5'], ['hxg5', 'Kd5'], ['g6', 'Bf8']]",0-1
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Rogers, Ian",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e5'], ['Ndb5', 'd6'], ['Bg5', 'a6'], ['Na3', 'Be6\n'], ['Nc4', 'Rc8'], ['Ne3', 'Be7'], ['Bxf6', 'Bxf6'], ['Bc4', 'O-O'], ['Bb3', 'Nd4'], ['O-O', 'Bg5'], ['Ncd5', 'Nxb3\n'], ['axb3', 'g6'], ['Kh1', 'Bh6'], ['Qd3', 'f5'], ['exf5', 'gxf5'], ['f4', 'Kh8'], ['Rad1', 'Qh4'], ['Qe2', 'exf4\n'], ['Nc4', 'Bf7'], ['Qd3', 'Bh5'], ['Nxd6', 'Bxd1'], ['Nxc8', 'Bh5'], ['Nce7', 'f3'], ['gxf3', 'Qh3'], ['Nf4', 'Qh4\n'], ['Qd4+', 'Qf6'], ['Qxf6+', 'Rxf6'], ['Nxh5', 'Rf7'], ['Nd5', 'f4'], ['Re1', '']]",1-0
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Cramling, Pia",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['Qe2', 'Qe7'], ['d3', 'Nf6'], ['Bg5', 'Nbd7'], ['Nc3', 'Qxe2+\n'], ['Bxe2', 'h6'], ['Bh4', 'g6'], ['d4', 'a6'], ['O-O-O', 'Bg7'], ['Rhe1', 'O-O'], ['Bc4', 'b5'], ['Bd5', 'Rb8\n'], ['Bc6', 'Nb6'], ['a3', 'Bb7'], ['Bxb7', 'Rxb7'], ['Bxf6', '']]",1/2-1/2
Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Sendur, Adnan",,,B08,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Nf3', 'Bg7'], ['Be2', 'Nbd7'], ['O-O', 'O-O'], ['e5', 'dxe5'], ['dxe5', 'Ng4\n'], ['e6', 'Nde5'], ['Qxd8', 'Rxd8'], ['Nxe5', 'Nxe5'], ['Nb5', 'c6'], ['Nc7', 'Rb8'], ['f4', 'Ng4'], ['Bxg4', 'Bd4+\n'], ['Kh1', 'Bb6'], ['f5', 'Bxc7'], ['fxg6', 'fxg6'], ['Bh6', 'Be5'], ['Rad1', 'Rxd1'], ['Rxd1', 'Bd6'], ['Rf1', '']]",1-0
Telechess ol1 7778,telex,1977.??.??,?,"Kasparov, Gary","West, Guy",,,B40,"[['e4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Bb4'], ['e5', 'Nd5'], ['Bd2', 'Nxc3'], ['bxc3', 'Bf8\n'], ['Bd3', 'd6'], ['Qe2', 'Nd7'], ['Nxe6', 'Qb6'], ['Nc7+', '']]",1-0
URS-ch sf,Daugavpils,1978.??.??,?,"Tseshkovsky, Vitaly","Kasparov, Gary",,,B19,"[['e4', 'c6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Bf5'], ['Ng3', 'Bg6'], ['h4', 'h6'], ['Nf3', 'Nd7'], ['h5', 'Bh7\n'], ['Bd3', 'Bxd3'], ['Qxd3', 'Qc7'], ['Rh4', 'e6'], ['Bf4', 'Qa5+'], ['Bd2', 'Qc7'], ['Bf4', 'Qa5+']]",1/2-1/2
