Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Blatny, Frantisek","Kavalek, Lubomir",,,B26,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['d3', 'd6'], ['Be3', 'Nd4'], ['Qd2', 'Bd7'], ['Nd1', 'Ba4\n'], ['Rc1', 'e5'], ['f4', 'Ne7'], ['Nf3', 'O-O'], ['O-O', 'f5'], ['Bxd4', 'cxd4'], ['Ng5', 'Qd7'], ['c3', 'h6\n'], ['Nf3', 'Bxd1'], ['Rcxd1', 'dxc3'], ['bxc3', 'Rac8'], ['fxe5', 'dxe5'], ['d4', 'fxe4'], ['Nxe5', 'Rxf1+\n'], ['Kxf1', 'Bxe5'], ['dxe5', 'Qb5+'], ['Kg1', 'Qxe5'], ['Qxh6', 'e3'], ['Bd5+', 'Nxd5'], ['Qxg6+', 'Kh8\n'], ['Rd4', 'Qxd4'], ['cxd4', '']]",1-0
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Marsalek, Josef","Kavalek, Lubomir",,,A43,"[['d4', 'Nf6'], ['Nc3', 'c5'], ['d5', 'd6'], ['e4', 'Na6'], ['Bxa6', 'bxa6'], ['Nge2', 'g6'], ['O-O', 'Bg7'], ['Rb1', 'Rb8\n'], ['b3', 'O-O'], ['Bb2', 'e5'], ['dxe6', 'fxe6'], ['Ng3', 'd5'], ['Na4', 'Qe7'], ['exd5', 'Nxd5'], ['Bxg7', 'Kxg7\n'], ['Qe2', 'Qf6'], ['Rbe1', 'Nc3'], ['Nxc3', 'Qxc3'], ['Ne4', 'Qe5'], ['Nd2', 'Qxe2'], ['Rxe2', 'a5'], ['Re5', 'Rf5\n'], ['Rfe1', 'a4'], ['Rxf5', 'gxf5'], ['Re5', 'axb3'], ['axb3', 'Rb5'], ['f4', 'Kf6'], ['Nc4', 'Bd7'], ['Kf2', 'a5\n'], ['g3', 'a4'], ['bxa4', 'Rb1'], ['Rxc5', 'Bxa4'], ['Rc7', 'Rc1'], ['Ne3', 'h5'], ['Rc5', 'Ke7'], ['Rc7+', 'Kf6\n'], ['Rc4', 'Bd7'], ['Rd4', 'Bc6'], ['Rd1', 'Rxd1'], ['Nxd1', 'e5'], ['Ke3', 'Ba4'], ['Kd3', 'e4+'], ['Kc3', 'Ke6\n'], ['Ne3', 'Bd7'], ['Kd4', 'Kd6'], ['Nc4+', 'Kc7'], ['Kd5', 'Bc8'], ['Ne3', 'Kb6'], ['h3', 'Bd7'], ['g4', 'fxg4\n'], ['hxg4', 'hxg4'], ['Kd6', 'Ba4'], ['f5', 'g3'], ['f6', 'Be8'], ['c4', 'Kb7'], ['c5', 'Kc8'], ['c6', '']]",1-0
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Kavalek, Lubomir","Jansa, Vlastimil",,,B02,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['c4', 'Nb6'], ['c5', 'Nd5'], ['Bc4', 'e6'], ['Nc3', 'Bxc5'], ['d4', 'Bb4'], ['Qg4', 'Kf8\n'], ['Ne2', 'Nc6'], ['a3', 'Bxc3+'], ['bxc3', 'd6'], ['f4', 'Nce7'], ['O-O', 'Nf5'], ['Qf3', 'Nh4'], ['Qf2', 'h5\n'], ['f5', 'Nxf5'], ['Ng3', 'Nxc3'], ['Bd2', 'h4'], ['Nxf5', 'Ne4'], ['Qf4', 'exf5'], ['e6', 'Qf6'], ['d5', 'Qd4+\n'], ['Be3', 'Qxc4'], ['Qxf5', 'Nf6'], ['Rad1', 'Rh5'], ['Bg5', 'c6'], ['dxc6', 'Bxe6'], ['cxb7', 'Rb8'], ['Qa5', 'Qc5+']]",0-1
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Kavalek, Lubomir","Herink, Miroslav",,,C35,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'Be7'], ['Nc3', 'Bh4+'], ['Ke2', 'd5'], ['Nxd5', 'Bg4'], ['d4', 'Nf6'], ['Nxf6+', 'Qxf6\n'], ['c3', 'Nc6'], ['Kd3', 'O-O-O'], ['Kc2', 'Rhe8'], ['Bd3', 'Bf2'], ['Qf1', 'Bxf3'], ['gxf3', 'Bxd4'], ['cxd4', 'Nb4+\n'], ['Kb1', 'Rxd4'], ['Bc2', 'Nxc2'], ['Kxc2', 'Qc6+'], ['Kb1', 'Rdxe4'], ['a3', 'Re2'], ['Ra2', 'Qc2+'], ['Ka1', 'g5\n'], ['Qd1', 'Qc6'], ['Rf1', 'h5'], ['b3', 'Qf6+'], ['Bb2', 'Qf5'], ['Bc3', 'R2e3'], ['Qd4', 'b6'], ['Rd2', 'Re1+\n'], ['Rd1', 'Rxf1'], ['Rxf1', 'Rd8'], ['Qe4', 'Qxe4'], ['fxe4', 'Rd3'], ['Kb2', 'f3'], ['Kc2', 'Re3'], ['Bd2', 'Rxe4\n'], ['Rxf3', 'Re2'], ['Rxf7', 'Rxh2'], ['Kd3', 'Rh3+'], ['Kc4', 'Rg3'], ['Rg7', 'h4'], ['Rxg5', 'Rxg5'], ['Bxg5', 'h3\n'], ['Bf4', 'c6'], ['Kd4', 'Kd7'], ['Ke5', 'a5'], ['Kf5', 'c5'], ['Ke4', 'Kc6'], ['Bh2', 'Kb5'], ['Kd3', 'a4\n'], ['Kc3', 'Ka5'], ['Bc7', '']]",1/2-1/2
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Kavalek, Lubomir","Fabian, Jaroslav",,,C02,"[['e4', 'e6'], ['d4', 'd5'], ['e5', 'c5'], ['Qg4', 'cxd4'], ['Nf3', 'f5'], ['Qg3', 'Ne7'], ['Nbd2', 'Nec6'], ['Bd3', 'Nd7\n'], ['Nb3', 'Bb4+'], ['Ke2', 'O-O'], ['Bf4', 'Nc5'], ['Nxc5', 'Bxc5'], ['a3', 'a5'], ['h4', 'Kh8'], ['h5', 'Be7\n'], ['Qh3', 'b6'], ['g4', 'Ba6'], ['Rhg1', 'Bxd3+'], ['cxd3', 'Rc8'], ['Rac1', 'Qd7'], ['Qg3', 'Bd8'], ['gxf5', 'Rxf5\n'], ['Bh6', 'Rf7'], ['Rxc6', 'Rxc6'], ['Nxd4', 'Rc7'], ['f4', 'Qe8'], ['Bg5', 'Bxg5'], ['Qxg5', 'h6'], ['Qg4', 'Rfe7\n'], ['Ke3', 'Qc8'], ['Qh4', 'Rc1'], ['Qxe7', 'Rxg1'], ['Nxe6', 'Qc1+'], ['Kd4', 'Qxb2+'], ['Kxd5', 'Qb5+\n'], ['Kd6', 'Qxd3+'], ['Kc7', 'Qc2+'], ['Kb7', 'Qe4+'], ['Ka7', 'Qh7'], ['Nf8', 'Qg8'], ['e6', 'b5'], ['Qf7', 'b4\n'], ['Ng6+', 'Kh7'], ['Nf8+', 'Kh8'], ['Qf5', 'bxa3'], ['e7', 'a2'], ['e8=Q', 'a1=Q'], ['Qh7+', '']]",1-0
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Zita, Frantisek","Kavalek, Lubomir",,,A81,"[['Nf3', 'f5'], ['d4', 'd6'], ['g3', 'Nf6'], ['Bg2', 'g6'], ['b3', 'Bg7'], ['Bb2', 'O-O'], ['O-O', 'c6'], ['Nbd2', 'Na6\n'], ['Ne1', 'Qc7'], ['Nd3', 'Bd7'], ['e4', 'fxe4'], ['Nxe4', 'Nxe4'], ['Bxe4', 'e5'], ['dxe5', 'dxe5'], ['Re1', 'Rae8\n'], ['h4', 'Qc8'], ['Qe2', 'Rf7'], ['Qe3', 'Nc7'], ['Qxa7', 'Nb5'], ['Qb6', 'Bf5'], ['Bxf5', 'Qxf5'], ['Qe3', 'Nd6\n'], ['Bc3', 'e4'], ['Nf4', 'Bxc3'], ['Qxc3', 'Qg4'], ['Qd2', 'Nf5'], ['Ng2', 'Ref8'], ['Qe2', 'Nh6'], ['Qxg4', 'Nxg4\n'], ['Rxe4', 'Nxf2'], ['Re2', 'Rf3'], ['Re3', 'Ng4'], ['Rxf3', 'Rxf3'], ['Rd1', 'Rc3'], ['Rd8+', 'Kg7'], ['Rd7+', 'Kh6\n'], ['Rxb7', 'Rxc2'], ['Nf4', 'Rxa2'], ['Ne6', 'Ne5'], ['Ng5', 'Kh5'], ['Re7', '']]",1/2-1/2
Cerveny Kostelec,Cerveny Kostelec,1959.??.??,?,"Kavalek, Lubomir","Rejfir, Josef",,,B41,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['c4', 'Nf6'], ['Nc3', 'Bb4'], ['Bd3', 'Nc6'], ['Bc2', 'd5\n'], ['cxd5', 'exd5'], ['Nxc6', 'bxc6'], ['e5', 'Ng4'], ['O-O', 'O-O'], ['Qd4', 'Qe7'], ['Bf4', 'Bc5'], ['Qd3', 'g6\n'], ['Na4', 'Ba7'], ['Rae1', 'Qh4'], ['Bg3', 'Qe7'], ['Qd2', 'Kg7'], ['h3', 'Nh6'], ['Bf4', 'Ng8'], ['Kh2', 'h6\n'], ['Qc3', 'Be6'], ['Be3', 'Bxe3'], ['Rxe3', 'Rfd8'], ['Qd4', 'Rab8'], ['Nc5', 'a5'], ['a3', 'Rb5'], ['b4', 'axb4\n'], ['axb4', 'Rdb8'], ['Rb3', 'h5'], ['Rfb1', 'Nh6'], ['Bd3', 'R5b6'], ['R1b2', 'Kh7'], ['Kg1', 'Bf5'], ['Be2', 'Qg5\n'], ['f4', 'Qh4'], ['Qf2', 'Qxf2+'], ['Kxf2', 'Kg7'], ['Ke3', 'Bc8']]",1/2-1/2
Leningrad tt,Leningrad,1960.??.??,1,"Kavalek, Lubomir","Weinstein, Raymond Allen",,,B99,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'e6'], ['f4', 'h6'], ['Bh4', 'Be7\n'], ['Qf3', 'Nbd7'], ['O-O-O', 'Qc7'], ['Bd3', 'Rb8'], ['Rhe1', 'g5'], ['fxg5', 'Ne5'], ['Qe2', 'Nfg4'], ['h3', 'hxg5\n'], ['Bg3', 'Nf6'], ['Nf3', 'Nh5'], ['Nxe5', 'dxe5'], ['Qf3', 'b5'], ['Rf1', 'Nf4'], ['Bxf4', 'exf4'], ['e5', 'Qxe5\n'], ['Rfe1', 'Qc7'], ['Re2', 'Bb7'], ['Be4', 'Kf8'], ['Red2', 'f5'], ['Bxb7', 'Rxb7'], ['Re1', 'b4'], ['Ne2', 'Bf6\n'], ['Nd4', 'Bxd4'], ['Rxd4', 'Kf7'], ['Rd6', 'Rb6'], ['Rxb6', 'Qxb6'], ['Kb1', 'a5'], ['Qd3', 'Re8'], ['Qc4', 'Re7\n'], ['b3', 'Qf2'], ['Re2', 'Qf1+'], ['Kb2', 'f3'], ['gxf3', 'Qxf3'], ['Re5', 'Qxh3'], ['Rxa5', 'Qc3+'], ['Qxc3', 'bxc3+\n'], ['Kxc3', 'Rd7'], ['Ra4', 'g4'], ['Rd4', 'Ra7'], ['Kd2', 'Rxa2'], ['Ra4', 'Rxa4'], ['bxa4', 'Ke7'], ['Ke3', 'Kd6']]",0-1
Leningrad tt,Leningrad,1960.??.??,2,"Radev, Nikolai","Kavalek, Lubomir",,,E93,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'O-O'], ['e4', 'd6'], ['Be2', 'e5'], ['d5', 'Nbd7'], ['Bg5', 'h6\n'], ['Bh4', 'g5'], ['Bg3', 'Nh5'], ['Nd2', 'Nf4'], ['O-O', 'Nc5'], ['b4', 'Ncd3'], ['Bxd3', 'Nxd3'], ['Qb1', 'Nf4\n'], ['f3', 'h5'], ['c5', 'g4'], ['fxg4', 'Bxg4'], ['Qc2', 'Bh6'], ['Rae1', 'a5'], ['bxa5', 'Rxa5'], ['Nb3', 'Ra8\n'], ['Nd1', 'h4'], ['Bxf4', 'Bxf4'], ['Ne3', 'Bxe3+'], ['Rxe3', 'f5'], ['h3', 'f4'], ['Rc3', 'Bh5'], ['Nd2', 'Kh8\n'], ['Rb1', 'f3'], ['Nxf3', 'Bxf3'], ['Rxf3', 'Rxf3'], ['gxf3', 'Qg5+'], ['Kh1', 'Rg8'], ['Qf2', 'dxc5'], ['a4', 'c4\n'], ['f4', 'exf4'], ['e5', 'Qg3']]",0-1
Leningrad tt,Leningrad,1960.??.??,4,"Olsson, Ake","Kavalek, Lubomir",,,B16,"[['e4', 'c6'], ['d4', 'd5'], ['Nc3', 'dxe4'], ['Nxe4', 'Nf6'], ['Nxf6+', 'gxf6'], ['Be3', 'Bf5'], ['Nf3', 'e6'], ['Nh4', 'Bg6\n'], ['g3', 'Bd6'], ['Bg2', 'Nd7'], ['O-O', 'Qc7'], ['c4', 'c5'], ['b4', 'cxd4'], ['Bxd4', 'O-O'], ['c5', 'Be7\n'], ['f4', 'f5'], ['Nxg6', 'hxg6'], ['Qf3', 'Rab8'], ['Rad1', 'Rfd8'], ['Qc3', 'a5'], ['a3', 'axb4'], ['axb4', 'Ra8\n'], ['Ra1', 'Rxa1'], ['Rxa1', 'Nb8'], ['Bh8', 'Bf8'], ['Bf6', 'Rc8'], ['Rd1', 'Na6'], ['Kh1', 'b6'], ['Qc4', 'Nb8\n'], ['Be5', 'Qa7'], ['Bb2', 'Qa4'], ['Re1', 'Rxc5'], ['Qd4', 'e5'], ['fxe5', 'Nc6'], ['Qf2', 'Rc2'], ['Re2', 'Rxe2\n'], ['Qxe2', 'Nxb4'], ['e6', 'Qb3'], ['exf7+', 'Qxf7'], ['Bf3', 'Kh7'], ['Qb5', 'Qb3'], ['Qe2', 'Qd3'], ['Kg2', 'Qxe2+\n'], ['Bxe2', 'Bc5'], ['h4', 'Nc2'], ['Kh3', 'Bd4'], ['Bd1', '']]",1/2-1/2
