Voronezh op,Voronezh,1998.06.12,1,"Korobov, Anton","Atalik, Suat",,,D90,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['Qa4+', 'Nc6'], ['e3', 'Nb6'], ['Qd1', 'O-O\n'], ['Be2', 'e5'], ['d5', 'Ne7'], ['e4', 'f5'], ['Bg5', 'fxe4'], ['Nxe4', 'Nbxd5'], ['Bxe7', 'Nxe7'], ['Bc4+', 'Kh8\n'], ['Qxd8', 'Rxd8'], ['Neg5', 'Rf8'], ['Nf7+', 'Rxf7'], ['Bxf7', 'e4'], ['Nd2', 'Bxb2'], ['Rb1', 'Bc3'], ['Ke2', 'Bg4+\n'], ['f3', 'exf3+'], ['gxf3', 'Bh5'], ['Rhc1', 'Be5'], ['Rxb7', 'Bxh2'], ['Rcb1', 'Kg7'], ['Be6', 'Re8'], ['Bd7', 'Rd8\n'], ['Bg4', 'Nd5'], ['Ne4', 'Re8'], ['Kd3', 'Bxg4'], ['fxg4', 'a5'], ['Kd4', 'Nb4'], ['a3', 'Nc6+'], ['Ke3', 'g5\n'], ['Kf3', 'Nd4+'], ['Ke3', 'Nc6'], ['Kf3', 'Bf4'], ['Nxg5', 'Bxg5'], ['Rxc7+', 'Ne7'], ['Rb5', 'h6'], ['Rxa5', 'Kf7\n'], ['Raa7', 'Rd8'], ['Rd7', 'Rf8'], ['Kg3', 'Ke6'], ['Rd3', 'Ke5'], ['Rad7', 'Ra8'], ['R7d6', 'Ra4'], ['Kh3', 'Rc4\n'], ['Kg3', 'h5'], ['Rb6', 'Rxg4+'], ['Kh3', 'Rh4+'], ['Kg2', 'Nf5'], ['Rf3', 'Ne3+'], ['Kf2', 'Nd5'], ['Rb5', 'Rd4\n'], ['Rf7', 'Ke4'], ['Rd7', 'Bh4+'], ['Kg1', 'Rd1+'], ['Kh2', 'Kf3'], ['Rf7+', 'Kg4'], ['Rg7+', 'Bg5'], ['a4', 'Rd2+\n'], ['Kg1', 'h4'], ['a5', 'h3'], ['Rxg5+', 'Kxg5'], ['a6', 'Kg4'], ['a7', 'Nc7'], ['Rb7', 'Kg3'], ['Rb3+', 'Kh4\n'], ['Rb7', 'h2+'], ['Kh1', 'Kg3'], ['Rb3+', 'Kg4'], ['Rb7', 'Kg3']]",1/2-1/2
Voronezh op,Voronezh,1998.06.13,2,"Kalugin, Sergei","Korobov, Anton",,,B22,"[['e4', 'c5'], ['c3', 'd5'], ['exd5', 'Qxd5'], ['d4', 'Nf6'], ['Nf3', 'e6'], ['Na3', 'a6'], ['Nc4', 'Qd8'], ['a4', 'Nc6\n'], ['Be3', 'cxd4'], ['Nxd4', 'Nd5'], ['Nxc6', 'bxc6'], ['Qf3', 'Qc7'], ['Bd3', 'c5'], ['Be4', 'Bb7'], ['Bf4', 'Qxf4\n'], ['Qxf4', 'Nxf4'], ['Bxb7', 'Ra7'], ['Bc6+', 'Ke7'], ['O-O-O', 'Rc7'], ['Bf3', 'g6'], ['h4', 'Bh6'], ['Kc2', 'Nh5\n'], ['Rd6', 'Nf6'], ['Rxa6', 'Rd8'], ['Rc6', 'Rxc6'], ['Bxc6', 'Ng4'], ['a5', 'Bf4'], ['a6', 'Bb8'], ['Bf3', 'Nxf2\n'], ['Ra1', 'Rd7'], ['Nb6', 'Rc7'], ['Rf1', 'c4'], ['Nxc4', 'Rxc4'], ['Rxf2', 'f5'], ['b4', 'e5'], ['Bd5', 'Rxh4\n'], ['Kb3', 'Ba7'], ['Rd2', 'Kd6'], ['Ka4', 'Kc7'], ['Kb5', 'e4'], ['Be6', 'Rh5'], ['Rd7+', 'Kb8'], ['Kc6', 'Bf2\n'], ['Bd5', 'f4'], ['Bxe4', 'Re5'], ['Bd5', 'Re8'], ['Rb7+', 'Ka8'], ['Rxh7', 'Kb8'], ['Rb7+', 'Ka8'], ['Kd6', 'Re1\n'], ['Rd7+', '']]",1-0
Voronezh op,Voronezh,1998.06.15,4,"Shestakov, A.","Korobov, Anton",,,B22,"[['e4', 'c5'], ['c3', 'd5'], ['exd5', 'Qxd5'], ['d4', 'Nf6'], ['Nf3', 'e6'], ['Na3', 'a6'], ['Bd3', 'cxd4'], ['cxd4', 'Bxa3\n'], ['bxa3', 'Nbd7'], ['O-O', 'O-O'], ['Bf4', 'b6'], ['Qb3', 'Bb7'], ['Rac1', 'Rfc8'], ['Bc7', 'Qh5'], ['Be2', 'Qh6\n'], ['Qb2', 'Nd5'], ['Bd6', 'N7f6'], ['Ne5', 'Rxc1'], ['Qxc1', 'Nf4'], ['Bf3', 'Bxf3']]",0-1
Voronezh op,Voronezh,1998.06.19,8,"Feoktistov, Alexey A","Korobov, Anton",,,B22,"[['e4', 'c5'], ['c3', 'd5'], ['exd5', 'Qxd5'], ['d4', 'Nf6'], ['Nf3', 'e6'], ['Na3', 'a6'], ['Nc4', 'Qd8'], ['a4', 'Nc6\n'], ['Be3', 'cxd4'], ['Nxd4', 'Nd5'], ['Nxc6', 'bxc6'], ['Qf3', 'Nxe3'], ['fxe3', 'Qc7'], ['Bd3', 'Be7'], ['O-O', 'O-O\n'], ['Qh5', 'f5'], ['e4', 'g6'], ['Qe2', 'c5'], ['exf5', 'exf5'], ['Nb6', 'Qxb6'], ['Bc4+', 'Kh8'], ['Qxe7', 'Bb7\n'], ['Rae1', 'Rae8'], ['Qxe8', 'Rxe8'], ['Rxe8+', 'Kg7'], ['Re7+', 'Kh6'], ['Rf2', 'a5'], ['Bg8', 'Be4'], ['Rxh7+', 'Kg5\n'], ['Bc4', 'Qd6'], ['Be2', 'Qc6'], ['Bb5', 'Qd5'], ['Rd7', 'Qb3'], ['Rd6', 'c4'], ['Be8', 'f4'], ['h4+', 'Kh5\n'], ['Rd4', 'Bd3'], ['Rdxf4', 'Qd1+'], ['Kh2', 'Qe1'], ['Bc6', 'g5'], ['hxg5', 'Kxg5'], ['g3', 'Qe5'], ['Bg2', 'Qe8\n'], ['Rf8', 'Qxa4'], ['Rg8+', 'Kh6'], ['Rf6+', 'Kh7'], ['Rb8', 'Kg7'], ['Ra6', 'Bf5'], ['Rb7+', 'Bd7'], ['Rd6', '']]",1-0
UKR-chT,Alushta,1998.??.??,?,Kaljuzhnyi,"Korobov, Anton",,,A07,"[['Nf3', 'd5'], ['g3', 'Nf6'], ['Bg2', 'Bg4'], ['O-O', 'c6'], ['d3', 'Nbd7'], ['Nbd2', 'e5'], ['e4', 'Bd6'], ['h3', 'Bh5\n'], ['Qe2', 'O-O'], ['c3', 'Qc7'], ['Re1', 'Rfe8'], ['Qf1', 'Rad8'], ['Nh4', 'dxe4'], ['dxe4', 'Nc5'], ['Nb3', 'Ne6\n'], ['Be3', 'b6'], ['f3', 'Nd7'], ['Nf5', 'Bf8'], ['Rad1', 'f6'], ['Rd2', 'Bf7'], ['Bf2', 'a5'], ['Nc1', 'b5\n'], ['Red1', 'Ndc5'], ['Kh2', 'Rxd2'], ['Rxd2', 'Rd8'], ['Qd1', 'Na4'], ['Qc2', 'Rxd2'], ['Qxd2', 'Qd8'], ['Qc2', 'Nb6\n'], ['Bf1', 'Nc8'], ['Kg2', 'g6'], ['Ne3', 'h5'], ['h4', 'Bh6'], ['Nd3', 'Nd6'], ['a4', 'Bg7'], ['axb5', 'cxb5\n'], ['Nc1', 'Kh8'], ['Kh2', 'Qa8'], ['Qd3', 'Qc6'], ['Bg2', 'Nc5'], ['Qc2', 'Nc4'], ['b4', 'axb4'], ['cxb4', 'Na6\n'], ['Qc3', 'Bf8'], ['Nc2', 'Qd6'], ['Nd3', 'Bh6'], ['Nc5', 'Bd2'], ['Qb3', 'Kg7'], ['Qb1', 'Bc3'], ['Nxa6', 'Qxa6\n'], ['Bc5', 'Nd2'], ['Qc1', 'Qa2'], ['Na3', 'Nxf3+'], ['Kh1', 'Bb2'], ['Qd1', 'Qxa3'], ['Qxf3', 'Qxf3'], ['Bxf3', 'Bc4\n'], ['Kg2', 'Bd4'], ['Bd6', 'Kf7'], ['g4', 'hxg4'], ['Bxg4', 'Bd3'], ['Kf3', 'f5'], ['exf5', 'gxf5'], ['Bh5+', 'Ke6\n'], ['Bf8', 'e4+'], ['Kg2', 'f4'], ['Bh6', 'f3+'], ['Bxf3', 'exf3+'], ['Kxf3', 'Kd5'], ['h5', 'Kc4'], ['Bf8', '']]",0-1
UKR-chT,Alushta,1998.??.??,?,"Korobov, Anton","Fadeev, Valeri",,,D11,"[['d4', 'd5'], ['c4', 'Bf5'], ['Nc3', 'e6'], ['Nf3', 'c6'], ['Bf4', 'Bd6'], ['Bxd6', 'Qxd6'], ['e3', 'Nd7'], ['Bd3', 'Bxd3\n'], ['Qxd3', 'Ngf6'], ['O-O', 'O-O'], ['Rad1', 'Rfe8'], ['Rfe1', 'Rad8'], ['c5', 'Qc7'], ['e4', 'dxe4'], ['Nxe4', 'Nxe4\n'], ['Qxe4', 'Nf6'], ['Qh4', 'Rd5'], ['Ne5', 'Red8'], ['b4', 'b6'], ['h3', 'bxc5'], ['bxc5', 'Nd7'], ['Nxc6', 'Qxc6\n'], ['Qxd8+', 'Nf8'], ['Qh4', 'Qa4'], ['Qg3', 'h6'], ['Qc7', 'e5'], ['Qb7', 'Rxd4'], ['Rxd4', 'exd4'], ['Qd5', 'Ne6\n'], ['c6', 'Qc2'], ['Qf3', 'Qxa2'], ['Rc1', 'Qa5'], ['Qb3', 'Qg5'], ['Qb8+', 'Kh7'], ['Qb1+', 'g6'], ['c7', 'Nf4\n'], ['g3', 'Nxh3+'], ['Kg2', 'Nf4+'], ['Kf1', 'Qh5'], ['gxf4', 'd3'], ['Qxd3', 'Qh1+'], ['Ke2', 'Qxc1'], ['Qd7', 'Qc2+\n'], ['Kf3', 'Qb3+'], ['Kg2', 'Qc4'], ['c8=Q', 'Qxf4'], ['Qg4', 'Qf6'], ['Qc7', 'h5'], ['Qgf4', '']]",1-0
UKR-chT,Alushta,1998.??.??,?,"Kruppa, Yuri","Korobov, Anton",,,D46,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['e3', 'Nf6'], ['Nf3', 'Nbd7'], ['Qc2', 'Bd6'], ['Bd3', 'O-O'], ['O-O', 'dxc4\n'], ['Bxc4', 'Qe7'], ['a3', 'e5'], ['h3', 'Re8'], ['Ba2', 'Nf8'], ['dxe5', 'Bxe5'], ['Nxe5', 'Qxe5'], ['Bb1', 'Be6\n'], ['f4', 'Qh5'], ['e4', 'Bc4'], ['Re1', 'Qh4'], ['Qf2', 'Qxf2+'], ['Kxf2', 'Rad8'], ['e5', 'Nd5'], ['Ne4', 'Re7\n'], ['Bc2', 'Ne6'], ['Rd1', 'Rf8'], ['b3', 'Ba6'], ['f5', 'Nec7'], ['Bb2', 'g6'], ['g4', 'b6'], ['b4', 'Nf4'], ['Nf6+', '']]",1-0
UKR-chT,Alushta,1998.??.??,?,"Davidovic, Aleksandar","Korobov, Anton",,,D46,"[['c4', 'e6'], ['Nf3', 'd5'], ['d4', 'c6'], ['e3', 'Nf6'], ['Nc3', 'Nbd7'], ['Qc2', 'Bd6'], ['Bd3', 'O-O'], ['O-O', 'dxc4\n'], ['Bxc4', 'b5'], ['Bd3', 'Bb7'], ['Bd2', 'a6'], ['Ng5', 'h6'], ['Nge4', 'Bb8'], ['f4', 'Qe7'], ['b4', 'Ba7\n'], ['a3', 'Bb6'], ['Nc5', 'Nxc5'], ['bxc5', 'Bc7'], ['e4', 'Ba5'], ['Ne2', 'Bxd2'], ['Qxd2', 'Rad8'], ['Qb2', 'Nd7\n'], ['Rad1', 'Nf6'], ['Rf3', 'Rd7'], ['Bb1', 'Rfd8'], ['Qc2', 'g6'], ['Ba2', 'a5'], ['e5', 'Ne8'], ['Qc3', 'b4\n'], ['axb4', 'axb4'], ['Qxb4', 'Ng7'], ['Ng3', 'Ba6'], ['Rd2', 'Qh4'], ['h3', 'g5'], ['Ne4', 'Qe1+'], ['Kh2', 'Qxe4\n'], ['fxg5', 'hxg5'], ['Qb6', 'Bb5']]",0-1
UKR-chT,Alushta,1998.??.??,?,"Efimenko, Zahar","Korobov, Anton",,,B94,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'Nbd7'], ['f4', 'b5'], ['Nd5', 'Bb7\n'], ['Bxf6', 'gxf6'], ['Qh5', 'Qc8'], ['O-O-O', 'Rg8'], ['Be2', 'Rxg2'], ['Rhg1', 'Rxe2'], ['Qxe2', 'e6'], ['Nc3', 'Nb6\n'], ['f5', 'e5'], ['Nb3', 'Nc4'], ['Nd5', 'Bxd5'], ['Rxd5', 'Bh6+'], ['Kb1', 'Ke7'], ['Qh5', 'Qf8'], ['Rd3', 'a5\n'], ['Rdg3', 'Be3'], ['Rd1', 'a4'], ['Nc1', 'Bf4'], ['Rc3', 'Rc8'], ['Qe2', 'Qh6'], ['Nd3', 'Be3'], ['Nb4', 'Bd4\n'], ['Nd5+', 'Kd7'], ['Rcd3', 'Bxb2'], ['Nb6+', 'Nxb6'], ['Rxd6+', 'Ke7'], ['Rxb6', 'Bd4'], ['Rxb5', 'Kf8\n'], ['Rd3', 'Kg7'], ['Rb7', 'Kh8'], ['Rg3', 'Qf4'], ['Rg4', 'Qh6'], ['Qc4', 'Rf8'], ['Qb4', '']]",1-0
UKR-chT,Alushta,1998.??.??,?,"Korobov, Anton","Korovashkin, Maxim",,,E11,"[['d4', 'e6'], ['Nf3', 'Nf6'], ['c4', 'Bb4+'], ['Nbd2', 'O-O'], ['g3', 'd6'], ['Bg2', 'Nbd7'], ['O-O', 'Bxd2'], ['Qxd2', 'e5\n'], ['Qc2', 'Re8'], ['e4', 'Qe7'], ['d5', 'Nc5'], ['Nd2', 'a5'], ['b3', 'c6'], ['Bb2', 'Bd7'], ['Rae1', 'b5'], ['f4', 'Ng4\n'], ['h3', 'Nh6'], ['fxe5', 'dxe5'], ['Nf3', 'f6'], ['Rd1', 'b4'], ['d6', 'Qd8'], ['Bc1', 'Nf7'], ['Be3', 'Ne6\n'], ['c5', 'Ra7'], ['Nd2', 'Nf8'], ['Rf2', 'Be6'], ['Kh2', 'Nd7'], ['Bf1', 'g6'], ['Bc4', 'Kg7'], ['Rdf1', 'h5\n'], ['Nf3', 'Nf8'], ['Nh4', 'Nh7'], ['Qd2', 'Qd7'], ['Bxe6', 'Qxe6'], ['Nf3', 'Rd8'], ['Qd1', 'Rdd7'], ['Qd2', 'Nd8\n'], ['Rg2', 'g5'], ['Rgf2', 'Nf7'], ['Qc2', 'Nh6'], ['Nd2', 'Rf7'], ['Nc4', 'Nf8'], ['Qd1', 'Kg6'], ['Rf5', 'Nd7\n'], ['Qc1', 'Qe8'], ['R5f2', 'Nf8'], ['Qb2', 'Qe6'], ['Nb6', 'Ng8'], ['Qc2', 'Rh7'], ['Nd5', 'Rhf7'], ['h4', 'Qg4\n'], ['Nc7', 'gxh4'], ['gxh4', 'Qxh4+'], ['Kg1', 'Kh7'], ['Rg2', 'Qh3'], ['Bc1', 'Ng6'], ['Rh2', 'Qg4+'], ['Rg2', 'Qh3\n'], ['Qe2', 'Nh6'], ['Rh2', 'Qg3+'], ['Kh1', 'Ng4'], ['Rxh5+', 'Kg8'], ['Qg2', 'Qxg2+'], ['Kxg2', 'Rh7'], ['Rxh7', 'Kxh7\n'], ['Kg3', '']]",1-0
