URS-ch sf,Kiev,1938.??.??,?,"Kotov, Alexander","Dubinin, Peter Vasilievich",,,E34,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'd5'], ['e3', 'c5'], ['a3', 'cxd4'], ['axb4', 'dxc3'], ['bxc3', 'O-O\n'], ['Nf3', 'Qc7'], ['Qb3', 'b6'], ['cxd5', 'exd5'], ['Be2', 'Nc6'], ['Bb2', 'Be6'], ['O-O', 'Ne4'], ['Rad1', 'Rac8\n'], ['Ba6', 'Rb8'], ['Bd3', 'Rfc8'], ['Nd4', 'Nxd4'], ['cxd4', 'Nd6'], ['Rc1', 'Qd7'], ['b5', 'Bf5'], ['Be2', 'Be6\n'], ['Bd3', 'Bf5'], ['Be2', '']]",1/2-1/2
URS-ch sf,Kiev,1938.??.??,?,"Dus Chotimirsky, Fedor Ivanovich","Kotov, Alexander",,,D63,"[['d4', 'Nf6'], ['Nf3', 'd5'], ['c4', 'e6'], ['Nc3', 'Nbd7'], ['Bg5', 'Be7'], ['e3', 'O-O'], ['Rc1', 'c6'], ['a3', 'a6\n'], ['cxd5', 'cxd5'], ['Bd3', 'b5'], ['O-O', 'Bb7'], ['a4', 'b4'], ['Nb1', 'Re8'], ['Nbd2', 'Qa5'], ['Nb3', 'Qxa4\n'], ['Rc7', 'Rab8'], ['Ne5', 'Nf8'], ['Bxf6', 'Bxf6'], ['Qh5', 'Ng6'], ['Nd7', 'Qxb3'], ['Nxf6+', 'gxf6\n'], ['Rxf7', 'Re7'], ['Qxh7+', '']]",1-0
URS-ch sf,Kiev,1938.??.??,?,"Rovner, Dmitry Osipovich","Kotov, Alexander",,,E17,"[['c4', 'e6'], ['Nf3', 'Nf6'], ['g3', 'd5'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['d4', 'b6'], ['cxd5', 'exd5'], ['b3', 'Bb7\n'], ['Bb2', 'Nbd7'], ['Nc3', 'c6'], ['Qc2', 'Re8'], ['Rfe1', 'Bf8'], ['Rad1', 'Rc8'], ['e4', 'Nxe4'], ['Nxe4', 'dxe4\n'], ['Ne5', 'Nf6'], ['Bxe4', 'Nxe4'], ['Rxe4', 'Qd5'], ['Rh4', 'h6'], ['f3', 'c5'], ['dxc5', 'Bxc5+'], ['Kg2', 'Bd4\n'], ['Qxc8', 'Bxc8'], ['Re4', 'Qxe4'], ['fxe4', 'Bxb2'], ['Nc4', 'Bf6'], ['e5', 'Bb7+'], ['Kf2', 'Bxe5']]",0-1
URS-ch sf,Kiev,1938.??.??,?,"Kotov, Alexander","Belavenets, Sergey Vesevolodovi",,,E13,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Nf3', 'b6'], ['Qc2', 'Bb7'], ['Bg5', 'h6'], ['Bh4', 'Qe7'], ['e3', 'Bxc3+\n'], ['Qxc3', 'd6'], ['Bd3', 'Nbd7'], ['Rc1', 'g5'], ['Bg3', 'h5'], ['h4', 'g4'], ['Nd2', 'Bxg2'], ['Rg1', 'Bb7\n'], ['b4', 'e5'], ['Kf1', 'e4'], ['Bc2', 'a5'], ['b5', 'O-O'], ['a4', 'Kh7'], ['Kg2', 'Kg8'], ['Kf1', 'Kh7'], ['Kg2', 'Kg8\n'], ['Kf1', 'Kh7'], ['Kg2', '']]",1/2-1/2
URS-ch sf,Kiev,1938.??.??,?,"Verlinsky, Boris","Kotov, Alexander",,,B26,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['Nge2', 'g6'], ['g3', 'Bg7'], ['Bg2', 'e6'], ['O-O', 'Nge7'], ['d3', 'd6'], ['Be3', 'Nd4\n'], ['Qd2', 'Nec6'], ['f4', 'Qa5'], ['Nc1', 'Bd7'], ['Qf2', 'Nb4'], ['Nb3', 'Qb6'], ['Rac1', 'O-O'], ['e5', 'Nf5\n'], ['Bd2', 'dxe5'], ['Qxc5', 'exf4'], ['Rxf4', 'Nc6'], ['Qxb6', 'axb6'], ['a3', 'Na5'], ['Rb4', 'Nxb3'], ['Rxb3', 'Bc6\n'], ['Ne2', 'b5'], ['Rb4', 'Rfd8'], ['g4', 'Nh4'], ['Bxc6', 'bxc6'], ['Kf2', 'h6'], ['Rf1', 'g5'], ['Bc3', 'f5\n'], ['Bxg7', 'Kxg7'], ['Kg3', 'Kf6'], ['Nc3', 'Kg6'], ['h3', 'h5'], ['a4', 'bxa4'], ['Nxa4', 'hxg4'], ['hxg4', 'Kf6\n'], ['Nc5', 'Rd5'], ['Rc4', 'Ra2'], ['b4', 'Ke7'], ['Re1', 'Rd6'], ['gxf5', 'Nxf5+'], ['Kh3', 'Nd4'], ['c3', 'Ne2\n'], ['Re4', 'Nf4+'], ['Kg4', 'Rg2+'], ['Kf3', 'Rc2'], ['c4', 'Kf7'], ['Kg4', 'Rg2+'], ['Kf3', 'Rd2'], ['Kg4', 'Rg2+\n'], ['Kf3', 'Rd2'], ['Kg4', '']]",1/2-1/2
URS-ch sf,Kiev,1938.??.??,?,"Shipunov, Vladimir","Kotov, Alexander",,,E17,"[['d4', 'Nf6'], ['Nf3', 'b6'], ['c4', 'e6'], ['g3', 'Bb7'], ['Bg2', 'Be7'], ['Nc3', 'Ne4'], ['Qc2', 'Nxc3'], ['bxc3', 'd5\n'], ['cxd5', 'exd5'], ['O-O', 'O-O'], ['c4', 'c6'], ['Bb2', 'Na6'], ['Ne5', 'Qd6'], ['Rac1', 'Rac8'], ['e4', 'f6\n'], ['Ng4', 'Qe6'], ['Ne3', 'dxc4'], ['Nxc4', 'Rfd8'], ['a3', 'Nc7'], ['Rfd1', 'Nb5'], ['Qa4', 'Qd7'], ['Ne3', 'Bf8\n'], ['Rc2', 'Kh8'], ['Rcd2', 'Qe8']]",1/2-1/2
URS-ch sf,Kiev,1938.??.??,?,"Shamaev, Leonid","Kotov, Alexander",,,D61,"[['c4', 'e6'], ['Nf3', 'Nf6'], ['Nc3', 'd5'], ['d4', 'Nbd7'], ['Bg5', 'Be7'], ['e3', 'O-O'], ['Qc2', 'c5'], ['Bd3', 'h6\n'], ['Bh4', 'dxc4'], ['Bxc4', 'Nb6'], ['Be2', 'cxd4'], ['Rd1', 'Nfd5'], ['Rxd4', 'Bxh4'], ['Rxh4', 'Nxc3\n'], ['bxc3', 'Bd7'], ['O-O', 'Rc8'], ['Rc1', 'Qe7'], ['Qb3', 'Rc7'], ['Rd4', 'Rfc8'], ['Ne5', 'Be8'], ['Bd3', 'Qc5\n'], ['f4', 'Nd5'], ['Kf2', 'Qe7'], ['Bc4', 'Qh4+'], ['Kf3', 'f6'], ['Bxd5', 'exd5'], ['Ng4', 'Kh8'], ['f5', 'Qg5\n'], ['Rf4', 'Rc4'], ['Nf2', 'Bc6'], ['g4', 'Re8'], ['Re1', 'h5'], ['h4', 'Qxh4'], ['Rh1', 'Rxf4+']]",0-1
URS-ch sf,Kiev,1938.??.??,?,"Kotov, Alexander","Bohatirchuk, Fedor Parfenovich",,,E69,"[['d4', 'Nf6'], ['c4', 'd6'], ['Nc3', 'e5'], ['Nf3', 'Nbd7'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'O-O'], ['e4', 'c6\n'], ['h3', 'Ne8'], ['Be3', 'Qe7'], ['Qd2', 'f5'], ['exf5', 'gxf5'], ['dxe5', 'dxe5'], ['Bh6', 'e4'], ['Bxg7', 'Nxg7\n'], ['Nh2', 'Ne5'], ['b3', 'Rd8'], ['Qf4', 'Rd3'], ['Ne2', 'Ng6'], ['Qh6', 'Be6'], ['Nf4', 'Nxf4'], ['Qxf4', 'Rad8\n'], ['Rfe1', 'a5'], ['Qe5', 'Qb4'], ['Bf1', 'Rd2'], ['a3', 'Qb6'], ['Re3', 'Qd4'], ['Qxd4', 'R8xd4'], ['f3', 'Rb2\n'], ['Rae1', 'Kf7'], ['R1e2', 'Rxe2'], ['Bxe2', 'a4'], ['bxa4', 'Bxc4'], ['Bxc4+', 'Rxc4'], ['Rb3', 'Rxa4\n'], ['Rxb7+', '']]",1/2-1/2
URS-ch sf,Kiev,1938.??.??,?,"Pogrebissky, Iosif","Kotov, Alexander",,,A30,"[['Nf3', 'Nf6'], ['g3', 'b6'], ['Bg2', 'Bb7'], ['O-O', 'e6'], ['c4', 'Be7'], ['Nc3', 'c5'], ['e3', 'O-O'], ['d4', 'cxd4\n'], ['exd4', 'Qc8'], ['b3', 'd5'], ['Qe2', 'Nc6'], ['Be3', 'dxc4'], ['bxc4', 'Na5'], ['Ne5', 'Bxg2'], ['Kxg2', 'Qb7+\n'], ['Kg1', 'Rac8'], ['Rab1', 'Nd7'], ['Nxd7', 'Qxd7'], ['c5', 'bxc5'], ['Rfd1', 'Qc6'], ['d5', 'exd5'], ['Nxd5', 'Rfe8\n'], ['Nxe7+', 'Rxe7'], ['Qb5', 'Qxb5'], ['Rxb5', 'Nb7'], ['Rdb1', 'Nd6'], ['Rxc5', 'Ra8'], ['a4', 'f6'], ['a5', 'a6\n'], ['Rb6', 'Nb7'], ['Rd5', 'Kf7'], ['Kg2', 'Nd8'], ['h4', 'Ne6'], ['Kf3', 'Nc7'], ['Rdd6', 'Rae8'], ['Rb7', 'Ra8\n'], ['Bc5', 'Nd5'], ['Rxe7+', 'Nxe7'], ['Rd7', 'Re8'], ['Ke4', 'Ke6'], ['Rxe7+', 'Rxe7'], ['Bxe7', 'Kxe7\n'], ['Kd5', 'Kd7'], ['Kc5', 'Kc7'], ['h5', 'f5'], ['f3', 'g6'], ['hxg6', 'hxg6'], ['f4', 'Kd7'], ['Kb6', '']]",1-0
URS-ch sf,Kiev,1938.??.??,?,"Kotov, Alexander","Freiman, Sergey Nikolaevich",,,D30,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['e3', 'e6'], ['Bd3', 'Nbd7'], ['Nbd2', 'Be7'], ['O-O', 'O-O'], ['b3', 'b6\n'], ['Bb2', 'Bb7'], ['Qe2', 'c5'], ['Rfd1', 'Rc8'], ['Rac1', 'Rc7'], ['Ne5', 'Qa8'], ['f4', 'dxc4'], ['bxc4', 'Ne4\n'], ['Bxe4', 'Bxe4'], ['d5', 'Nf6'], ['Nxe4', 'Nxe4'], ['dxe6', 'fxe6'], ['Qg4', 'Rf5'], ['Qf3', 'Qb7'], ['Rd3', 'Nf6\n'], ['Qxb7', 'Rxb7'], ['g4', 'Rxe5'], ['Bxe5', 'Nxg4'], ['Bc3', 'Kf7'], ['a4', 'e5'], ['Bxe5', 'Nxe5'], ['fxe5', 'Ke6\n'], ['Rf1', 'Bg5'], ['Rd6+', 'Ke7'], ['Rf3', 'Ke8'], ['e4', 'Re7'], ['e6', 'Bf6'], ['Rf5', 'Bd4+'], ['Kg2', '']]",1-0
