Lugano op,Lugano,1985.??.??,8,"Lautier, Joel","Zorman, Vojko",,,E22,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'Bxc3+'], ['Qxc3', 'Ne4'], ['Qc2', 'f5'], ['g3', 'c5'], ['d5', 'Na6\n'], ['Bd2', 'Nxd2'], ['Qxd2', 'e5'], ['Bg2', 'd6'], ['a3', 'O-O'], ['e3', 'Bd7'], ['Ne2', 'b5'], ['b3', 'Rb8'], ['O-O', 'Rb7\n'], ['Rab1', 'Qc7'], ['Rfc1', 'Rfb8'], ['Qe1', 'bxc4'], ['bxc4', 'Rb3'], ['Nc3', 'Rxa3'], ['Nb5', 'Bxb5\n'], ['cxb5', 'Rb6'], ['bxa6', 'Raxa6'], ['Rxb6', 'Rxb6'], ['Qa5', 'Qb8'], ['Ra1', 'Rb1+'], ['Rxb1', 'Qxb1+\n'], ['Bf1', 'Qb6'], ['Qxb6', 'axb6'], ['Ba6', 'e4'], ['g4', 'fxg4'], ['Kg2', 'h5'], ['Kg3', 'g5'], ['Bc8', 'b5\n'], ['Bf5', 'c4'], ['Bxe4', 'b4'], ['Kg2', 'Kg7'], ['Kf1', 'Kf6'], ['Ke2', 'Ke5'], ['Bg2', 'h4'], ['Kd2', 'h3\n'], ['Bf1', 'Kxd5'], ['Be2', 'Kc5'], ['Bxg4', 'd5'], ['Bxh3', 'd4'], ['exd4+', 'Kxd4'], ['Be6', 'b3'], ['h3', 'c3+\n'], ['Ke2', 'c2'], ['Kd2', 'Ke4'], ['Bxb3', 'Kf3'], ['Kxc2', 'Kxf2'], ['Kd3', '']]",1-0
FRA-chB,Epinal,1986.??.??,1,"Kappler, Jean Marie","Lautier, Joel",,,E71,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['h3', 'c5'], ['d5', 'O-O'], ['Bg5', 'a6'], ['a4', 'e6'], ['Bd3', 'Nbd7\n'], ['dxe6', 'fxe6'], ['Nf3', 'h6'], ['Bh4', 'g5'], ['Bg3', 'e5'], ['Be2', 'Nb8'], ['Nh2', 'Nc6'], ['Ng4', 'Nd4\n'], ['Ne3', 'Be6'], ['a5', 'Qd7'], ['Bg4', 'Rab8'], ['Bxe6+', 'Qxe6'], ['Ned5', 'h5'], ['h4', 'g4'], ['Qd3', 'Nd7\n'], ['Na4', 'Rf7'], ['Nab6', 'Nf8'], ['b4', 'Ng6'], ['Ra2', 'Nf4'], ['Bxf4', 'exf4'], ['f3', 'Qg6'], ['Na4', 'Nc6\n'], ['bxc5', 'gxf3'], ['gxf3', 'Qg3+'], ['Kf1', 'Ne5'], ['Qd1', 'dxc5'], ['Rf2', 'Rc8'], ['Nac3', 'Qg6'], ['Rg1', 'Qe6\n'], ['Ne2', 'Qh3+'], ['Rgg2', 'Nxf3'], ['Nexf4', 'Qh1+'], ['Ke2', 'Nd4+'], ['Kd2', 'Qxh4'], ['Qg1', 'Qd8\n'], ['Nxh5', 'Qxa5+'], ['Kd3', 'Qa3+'], ['Nc3', 'Nf5'], ['Nf6+', 'Rxf6'], ['Rxg7+', 'Nxg7'], ['Rxf6', 'Qb3\n'], ['Qg6', 'b5'], ['Qf7+', 'Kh7'], ['Rf3', 'Rd8+'], ['Ke2', 'Qc2+'], ['Kf1', 'Rd3'], ['Ne2', 'bxc4'], ['Kf2', 'a5\n'], ['e5', 'Rxf3+'], ['Qxf3', 'Qf5'], ['Qxf5+', 'Nxf5'], ['Nc3', 'Kg6'], ['Kf3', 'Kf7'], ['Ke4', 'Ke6'], ['Na4', 'Ng3+\n'], ['Kf4', 'Ne2+'], ['Ke4', 'Ng3+'], ['Kf4', 'c3'], ['Nxc3', 'Nf1'], ['Ke4', 'Nd2+']]",1/2-1/2
FRA-chB,Epinal,1986.??.??,2,"Lautier, Joel","Abravanel, Chely",,,D64,"[['d4', 'e6'], ['c4', 'd5'], ['Nc3', 'Be7'], ['Nf3', 'Nf6'], ['Bg5', 'Nbd7'], ['e3', 'O-O'], ['Rc1', 'c6'], ['Qc2', 'dxc4\n'], ['Bxc4', 'Nd5'], ['Bxe7', 'Qxe7'], ['Ne4', 'N5f6'], ['Ng3', 'b6'], ['e4', 'e5'], ['Nf5', 'Qb4+'], ['Ke2', 'b5\n'], ['Bd3', 'exd4'], ['a3', 'Qa5'], ['Qxc6', 'Nb6'], ['Ne7+', 'Kh8'], ['e5', 'Bd7'], ['Qd6', 'Nh5'], ['Qxd4', 'Rfe8\n'], ['Qh4', 'Rxe7'], ['Qxh5', 'h6'], ['Rhe1', 'Qa4'], ['Kf1', 'Qb3'], ['Be4', 'Rae8'], ['g4', 'Nc4'], ['g5', 'Nxe5\n'], ['gxh6', 'g6'], ['Qh4', 'Ng4'], ['Bb7', 'Rxe1+'], ['Rxe1', 'Qc4+'], ['Kg1', 'Rxe1+'], ['Nxe1', 'Qc1\n'], ['Qe7', 'Nxh6'], ['Qxd7', 'Qxe1+'], ['Kg2', 'Qe5'], ['Qd8+', 'Kg7'], ['Qd2', 'Nf5'], ['Qc3', 'Nd4']]",1/2-1/2
FRA-chB,Epinal,1986.??.??,3,"Benoit, Michel","Lautier, Joel",,,A05,"[['Nf3', 'Nf6'], ['g3', 'g6'], ['b4', 'Bg7'], ['Bb2', 'O-O'], ['Bg2', 'c6'], ['O-O', 'a5'], ['a3', 'axb4'], ['axb4', 'Rxa1\n'], ['Bxa1', 'Qb6'], ['c3', 'd5'], ['d3', 'Ne8'], ['Nbd2', 'Nd6'], ['Qb3', 'Na6'], ['Re1', 'Be6'], ['Rb1', 'h6\n'], ['Ne1', 'f5'], ['d4', 'Kh7'], ['Bb2', 'Bg8'], ['Nd3', 'Nb8'], ['Ra1', 'Nc4'], ['Nf3', 'Nd7'], ['Qc2', 'e5\n'], ['dxe5', 'Ndxe5'], ['Nfxe5', 'Nxe5'], ['Nc5', 'f4'], ['gxf4', 'Rxf4'], ['Ra8', 'Ng4'], ['Bc1', 'Rxf2\n'], ['Rxg8', 'Kxg8'], ['Qxg6', 'Ne5'], ['Bxd5+', 'Kh8'], ['Qe6', 'Rf8'], ['Bxh6', 'Qc7'], ['Bb3', 'Ng4'], ['Qxg4', 'Bxh6\n'], ['Qd4+', 'Qg7+'], ['Qxg7+', 'Bxg7'], ['Ne4', 'Rf4'], ['Bc2', 'Bxc3'], ['Nxc3', '']]",0-1
FRA-chB,Epinal,1986.??.??,4,"Corgeron, JL.","Lautier, Joel",,,E67,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['c4', 'd6'], ['O-O', 'Nbd7'], ['Nc3', 'e5'], ['Qc2', 'c6\n'], ['Rd1', 'Qc7'], ['h3', 'Re8'], ['Be3', 'exd4'], ['Nxd4', 'Ne5'], ['b3', 'Nh5'], ['Rac1', 'Bd7'], ['Qd2', 'f5\n'], ['Nf3', 'Rad8'], ['Bg5', 'Nf6'], ['Qxd6', 'Qxd6'], ['Rxd6', 'Nf7'], ['Bxf6', 'Nxd6'], ['Bxd8', 'Rxd8\n'], ['Ne1', 'Bc8'], ['Nd3', 'Nf7'], ['Na4', 'Ne5'], ['Nab2', 'Be6'], ['Nxe5', 'Bxe5'], ['Nd3', 'Bf6'], ['Rd1', 'Kf8\n'], ['Kf1', 'a5'], ['e3', 'b5'], ['cxb5', 'cxb5'], ['Ke2', 'Ke7'], ['Rc1', 'Rc8'], ['Rxc8', 'Bxc8'], ['Bd5', 'Kd6\n'], ['Bg8', 'h6'], ['h4', 'g5'], ['hxg5', 'hxg5'], ['Bf7', 'a4'], ['Kd2', 'Bd7'], ['Kc2', 'Bg7'], ['Bg6', 'Bf6\n'], ['Bf7', 'Bc6'], ['b4', 'Bd5'], ['Bxd5', 'Kxd5'], ['f3', 'Be7'], ['a3', '']]",1/2-1/2
FRA-chB,Epinal,1986.??.??,5,"Lautier, Joel","Weill, Roland",,,E31,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Bg5', 'h6'], ['Bh4', 'c5'], ['d5', 'exd5'], ['cxd5', 'd6'], ['e3', 'Bf5\n'], ['f3', 'Qe7'], ['e4', 'g5'], ['Bf2', 'Bxe4'], ['fxe4', 'Nxe4'], ['Bb5+', 'Nd7'], ['Bxd7+', 'Kxd7'], ['Kf1', 'Bxc3\n'], ['bxc3', 'Rhe8'], ['g3', 'Qf6'], ['Nh3', 'Nxc3'], ['Qb3', 'Kc7'], ['Kg2', 'Qe5'], ['Rhe1', 'Qxd5+'], ['Qxd5', 'Nxd5\n'], ['g4', 'Re6'], ['Red1', 'Kc6'], ['a4', 'Rae8'], ['Rd3', 'Nf6'], ['Kf3', 'd5'], ['Bg3', 'd4'], ['Raa3', 'Nd5\n'], ['Bf2', 'Rf6+'], ['Kg3', 'Nc3'], ['Raxc3', 'dxc3'], ['Rxc3', 'b6'], ['Ng1', 'a5'], ['Nf3', 'Re4'], ['Ra3', 'Rff4\n'], ['h3', 'Rxa4'], ['Ne5+', 'Kb5'], ['Rd3', 'Rae4'], ['Rd5', 'Re2']]",0-1
FRA-chB,Epinal,1986.??.??,6,"Apicella, Manuel","Lautier, Joel",,,B92,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'e5'], ['Nb3', 'Be7'], ['O-O', 'O-O\n'], ['a4', 'Nc6'], ['Kh1', 'Nb4'], ['f4', 'Bd7'], ['Bf3', 'Bc6'], ['Qe2', 'b6'], ['Rd1', 'Qc7'], ['Be3', 'Qb7\n'], ['Bg1', 'Rfe8'], ['Qc4', 'a5'], ['Nd5', 'Bxd5'], ['exd5', 'Rec8'], ['Qb5', 'e4'], ['c3', 'exf3'], ['cxb4', 'fxg2+\n'], ['Kxg2', 'Rc2+'], ['Kh1', 'Rxb2'], ['bxa5', 'Qc8'], ['Bd4', 'Rxa5'], ['Bxb2', 'Rxb5'], ['axb5', 'Qh3\n'], ['Bxf6', 'Qf3+'], ['Kg1', 'gxf6'], ['Rd2', 'h5'], ['Rg2+', 'Kh7'], ['Nd2', 'Qxd5'], ['Re1', 'Bf8'], ['Ne4', 'Qf5\n'], ['Ng3', 'Qxb5'], ['Kh1', 'h4'], ['Ne4', 'Qf5'], ['Rg4', 'h3'], ['Nf2', 'Bh6'], ['Re3', 'Qb1+'], ['Rg1', 'Qc2\n'], ['Ne4', 'Qc6'], ['f5', 'Bxe3'], ['Rg7+', 'Kxg7']]",1/2-1/2
FRA-chB,Epinal,1986.??.??,7,"Lautier, Joel","Dieu, Bruno",,,A58,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['bxa6', 'Bxa6'], ['Nc3', 'g6'], ['f4', 'd6'], ['Nf3', 'Bg7\n'], ['e4', 'Bxf1'], ['Rxf1', 'O-O'], ['e5', 'Ne8'], ['Kf2', 'Qb6'], ['Qe2', 'Nc7'], ['Rd1', 'Nd7'], ['Nd2', 'dxe5\n'], ['Nc4', 'Qa6'], ['d6', 'exd6'], ['Rxd6', 'Qc8'], ['fxe5', 'Re8'], ['Kg1', 'Nxe5'], ['Nb6', 'Qa6'], ['Qd1', 'Ra7\n'], ['Bf4', 'Nc4'], ['Nxc4', 'Qxc4'], ['Qf1', 'Qxf1+'], ['Kxf1', 'Ne6'], ['Bd2', 'Rb8'], ['Rb1', 'Rab7'], ['b3', 'c4\n'], ['Rc6', 'cxb3'], ['Rxb3', 'Rxb3'], ['axb3', 'Nd4'], ['Rc4', 'Nxb3'], ['Bf4', 'Rd8'], ['Ke2', 'Nd4+'], ['Kf2', 'Ne6\n'], ['Be3', 'Bd4'], ['Ne4', 'Kg7'], ['Nc5', 'Bxe3+'], ['Kxe3', 'Nf8'], ['g4', 'h6'], ['Ra4', 'Re8+'], ['Kf3', 'Re7\n'], ['Ra6', 'Rc7'], ['Ne4', 'Ne6'], ['h4', 'Rb7'], ['Ra3', 'Rb3+'], ['Rxb3', 'Nd4+'], ['Kf4', 'Nxb3'], ['g5', 'Na5\n'], ['gxh6+', 'Kxh6'], ['Nd6', 'Kg7'], ['Nxf7', 'Kxf7'], ['h5', 'gxh5'], ['Kg5', '']]",1/2-1/2
FRA-chB,Epinal,1986.??.??,8,"Litique, Michel","Lautier, Joel",,,B22,"[['e4', 'c5'], ['c3', 'Nf6'], ['e5', 'Nd5'], ['d4', 'cxd4'], ['cxd4', 'd6'], ['Nf3', 'Nc6'], ['Bc4', 'Nb6'], ['Bb5', 'e6\n'], ['Nc3', 'Bd7'], ['O-O', 'Nb4'], ['Bg5', 'Be7'], ['Ne4', 'dxe5'], ['Nd6+', 'Kf8'], ['Bxe7+', 'Kxe7'], ['Qd2', 'N6d5\n'], ['Nxf7', 'Kxf7'], ['Nxe5+', 'Kg8'], ['Bxd7', 'Qe7'], ['a3', 'Na6'], ['Qa5', 'g6'], ['Bc6', 'Nf6'], ['Rac1', 'Kg7\n'], ['Bb5', 'Nd5'], ['Bxa6', 'bxa6'], ['Qxa6', 'Rhf8'], ['Rc6', 'Rae8'], ['Rcc1', 'Qg5'], ['g3', 'Qd2'], ['Qxa7+', 'Re7\n'], ['Qa6', 'Qxb2'], ['Rb1', 'Qc3'], ['Rb7', 'Rc7'], ['Rxc7+', 'Nxc7'], ['Qd6', 'Qc2'], ['Qe7+', 'Kg8'], ['Qc5', 'Qxc5\n'], ['dxc5', 'Ra8'], ['Rd1', 'Nd5'], ['Rd3', 'Kf8'], ['Nd7+', 'Ke7'], ['Nb6', 'Rd8'], ['Nxd5+', 'exd5'], ['f4', 'Ke6\n'], ['Kf2', 'Rc8'], ['Re3+', 'Kd7'], ['Rc3', 'Re8'], ['c6+', 'Kc7'], ['Re3', 'Ra8'], ['Re7+', 'Kxc6'], ['Rxh7', 'Rxa3\n'], ['Rh6', 'Ra2+'], ['Ke3', 'Kc5'], ['Rxg6', 'Rxh2'], ['Rg8', 'Kd6'], ['Rd8+', 'Ke6'], ['g4', 'Rh3+'], ['Kd4', 'Rf3\n'], ['Rf8', 'Ke7'], ['Rf5', 'Ke6'], ['Re5+', 'Kf7'], ['Rf5+', 'Ke6'], ['Re5+', 'Kf7'], ['f5', 'Rf4+'], ['Kxd5', 'Rxg4\n'], ['Re6', 'Rg1']]",1/2-1/2
FRA-chB,Epinal,1986.??.??,9,"Lautier, Joel","Koch, Jean Rene",,,A57,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['e3', 'g6'], ['Nc3', 'Bg7'], ['Nf3', 'O-O'], ['a4', 'e6'], ['dxe6', 'fxe6\n'], ['Qd6', 'Bb7'], ['Qxc5', 'Ne4'], ['Nxe4', 'Bxe4'], ['Be2', 'axb5'], ['Qxb5', 'Nc6'], ['O-O', 'Ra5'], ['Qb3', 'Raf5\n'], ['Nd2', 'Bxg2'], ['Kxg2', 'Qg5+'], ['Kh1', 'Rxf2'], ['Rxf2', 'Rxf2'], ['Bf3', 'Be5']]",0-1
FRA-chB,Epinal,1986.??.??,10,"Dubois, Jean Marie","Lautier, Joel",,,B22,"[['e4', 'c5'], ['d4', 'cxd4'], ['c3', 'Nf6'], ['e5', 'Nd5'], ['Nf3', 'b6'], ['Bc4', 'Bb7'], ['O-O', 'e6'], ['cxd4', 'Be7\n'], ['Nc3', 'Nxc3'], ['bxc3', 'Nc6'], ['Bd3', 'Na5'], ['Nd2', 'Qc7'], ['Bb2', 'd5'], ['f4', 'g6'], ['Qe2', 'Rc8\n'], ['a4', 'Kd7'], ['Rfc1', 'Nc4'], ['Bxc4', 'dxc4'], ['Ba3', 'Bxa3'], ['Rxa3', 'Bd5'], ['Rb1', 'Qc6'], ['Ra2', 'Rhg8\n'], ['Re1', 'Rb8'], ['Nf1', 'a5'], ['Ne3', 'h5'], ['Nxd5', 'Qxd5'], ['Rea1', 'Rgc8'], ['Qf3', 'Qxf3'], ['gxf3', 'Kc6\n'], ['Kf2', 'Rb7'], ['Ke3', 'Ra8'], ['Ke4', 'Rd8'], ['Ra3', 'Ra8'], ['R3a2', 'Rg8'], ['Rd1', 'Rd8'], ['Rda1', 'Ra8\n'], ['Rd1', 'Rd8'], ['Rda1', 'Rf8'], ['Rd1', 'f5+'], ['Ke3', 'Ra8'], ['Rg1', 'Rg7'], ['Rag2', 'Rag8'], ['h4', 'b5\n'], ['axb5+', 'Kb6'], ['d5', 'exd5'], ['Kd4', 'Rd8'], ['Rxg6+', 'Rxg6'], ['Rxg6+', 'Kxb5'], ['e6', 'a4'], ['Ke5', 'a3\n'], ['Kxf5', 'd4'], ['cxd4', 'c3'], ['e7', 'Ra8'], ['Rg1', 'a2'], ['Ra1', 'c2'], ['Rxa2', 'c1=Q'], ['Rxa8', 'Qc2+\n'], ['Kg5', '']]",1-0
