ch-VIE,Vung Tau VIE,2002.03.26,1,Le Quang Liem,To Quoc Khanh,,,A59,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['bxa6', 'Bxa6'], ['Nc3', 'g6'], ['e4', 'Bxf1'], ['Kxf1', 'd6\n'], ['g3', 'Bg7'], ['Kg2', 'O-O'], ['Qe2', 'Qa5'], ['Nf3', 'Nbd7'], ['Bd2', 'Rfb8'], ['Rab1', 'Ng4'], ['Ne1', 'Ngf6\n'], ['Nc2', 'Rb7'], ['Na3', 'Ne8'], ['Rhd1', 'Nc7'], ['Qe1', 'Qa6'], ['f4', 'Rab8'], ['Bc1', 'Bxc3'], ['Qf2', 'Bg7\n'], ['b3', 'Rb4'], ['Qc2', 'Ra8'], ['Rd2', 'Nb5'], ['Nxb5', 'Rxb5'], ['Re2', 'Ra5'], ['a4', 'c4'], ['bxc4', 'Rxa4\n'], ['Bb2', 'Rxc4'], ['Qd1', 'Bxb2'], ['Rbxb2', 'Qa4'], ['Qb1', 'Rac8'], ['e5', 'Rc1'], ['Qd3', 'R8c3'], ['Qd2', 'dxe5\n'], ['fxe5', 'Qg4'], ['Qf4', 'Qxf4'], ['gxf4', 'Rd1'], ['Rbd2', 'Rxd2'], ['Rxd2', 'g5'], ['d6', 'e6'], ['Ra2', 'gxf4\n'], ['Ra7', 'Nf8'], ['Ra4', 'Rc5'], ['Rd4', 'Nd7'], ['Rxf4', 'Rxe5'], ['Rg4+', 'Kf8'], ['Rc4', 'Rd5'], ['Rc6', 'Nf6\n'], ['Kf3', 'Ne8']]",0-1
ch-VIE,Vung Tau VIE,2002.03.27,2,Nguyen Si Hung,Le Quang Liem,,,A11,"[['c4', 'c6'], ['Nf3', 'd5'], ['b3', 'Nf6'], ['Bb2', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['O-O', 'Re8'], ['d3', 'Nbd7\n'], ['Qc2', 'e5'], ['e4', 'dxe4'], ['dxe4', 'Qc7'], ['Nc3', 'Nf8'], ['h3', 'Bd7'], ['Rad1', 'Rad8'], ['Ba3', 'Bc8\n'], ['Rxd8', 'Rxd8'], ['Rd1', 'Ne6'], ['Rxd8+', 'Qxd8'], ['Qc1', 'Nd4'], ['Nxd4', 'exd4'], ['Nb1', 'Qe8\n'], ['Qf4', 'Nd7'], ['Qd2', 'b6'], ['Bb2', 'c5'], ['f4', 'Bh6'], ['Qd3', 'g5'], ['Bc1', 'Qe7'], ['Bd2', 'Nf8\n'], ['Qf3', 'Qf6'], ['Na3', 'gxf4'], ['gxf4', 'Ng6'], ['e5', 'Qf5'], ['Nb5', 'Qb1+'], ['Kh2', 'Qxa2'], ['Bc1', 'Qc2\n'], ['Qh5', 'Bxf4+'], ['Bxf4', 'Qxg2+'], ['Kxg2', 'Nxf4+']]",0-1
ch-VIE,Vung Tau VIE,2002.03.30,7,Nguyen Thai Binh,Le Quang Liem,,,B13,"[['c4', 'c6'], ['e4', 'd5'], ['exd5', 'cxd5'], ['d4', 'Nf6'], ['Nc3', 'Nc6'], ['Nf3', 'Bg4'], ['cxd5', 'Nxd5'], ['Bb5', 'Rc8\n'], ['h3', 'Nxc3'], ['bxc3', 'Bd7'], ['O-O', 'a6'], ['Bd3', 'e6'], ['Qe2', 'Be7'], ['Rb1', 'Na5'], ['Ne5', 'O-O\n'], ['Nxd7', 'Qxd7'], ['Bxh7+', 'Kxh7'], ['Qh5+', 'Kg8'], ['Qxa5', 'Rc6'], ['Rb3', 'Rfc8'], ['Ba3', 'Bxa3\n'], ['Qxa3', 'Qc7'], ['Qb2', 'b5'], ['Qa3', 'Qb7'], ['Qa5', 'Rc4'], ['a4', 'Qc7'], ['Qxc7', 'R8xc7'], ['axb5', 'axb5\n'], ['Rxb5', 'Rxc3'], ['d5', 'exd5'], ['Rxd5', 'Kh7']]",1/2-1/2
ch-VIE,Vung Tau VIE,2002.04.01,8,Le Quang Liem,Pham Duc Thang,,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'Bf5'], ['h4', 'h5'], ['c4', 'e6'], ['Nc3', 'Nd7'], ['cxd5', 'exd5'], ['Be2', 'Bb4\n'], ['Bd2', 'g6'], ['Nf3', 'Ne7'], ['O-O', 'Bxc3'], ['Bxc3', 'Nf8'], ['Ng5', 'Ne6'], ['Qd2', 'Nc8'], ['Rfe1', 'Nxg5\n'], ['hxg5', 'Nb6'], ['Rac1', 'h4'], ['Kh2', 'Nd7'], ['b4', 'b5'], ['Rh1', 'Nf8'], ['g4', 'hxg3+'], ['Kxg3', 'Rxh1\n'], ['Rxh1', 'Qe7'], ['f4', 'Kd7'], ['a4', 'a6'], ['Qa2', 'Rc8'], ['Rh6', 'Ne6'], ['Qd2', 'Nc7'], ['a5', 'Ne6\n'], ['Bf3', 'Ng7'], ['Rh7', 'Rg8']]",1/2-1/2
ch-VIE,Vung Tau VIE,2002.04.03,10,Le Quang Liem,Nguyen Huynh Minh Huy,,,B42,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Bd3', 'Nc6'], ['c3', 'Bc5'], ['Nb3', 'Be7'], ['O-O', 'Nf6\n'], ['f4', 'd6'], ['Qe2', 'Qc7'], ['Re1', 'O-O'], ['N1d2', 'b5'], ['Nf3', 'Bb7'], ['h3', 'Rfe8'], ['g4', 'Bf8\n'], ['Qf2', 'e5'], ['g5', 'Nd7'], ['f5', 'Na5'], ['Nxa5', 'Qxa5'], ['g6', 'fxg6'], ['fxg6', 'h6'], ['Nh4', 'Kh8\n'], ['Nf5', 'Qd8'], ['Qg2', 'Qf6'], ['Rf1', 'd5'], ['Kh2', 'dxe4'], ['Bc2', 'Re6'], ['Bb3', 'Qxg6'], ['Bxe6', 'Qxe6\n'], ['Be3', 'Kh7'], ['Rad1', 'g6'], ['Ng3', 'Bg7'], ['Rf2', 'Nf6'], ['Nf1', 'Re8'], ['a3', 'Ba8'], ['Qg1', 'Bb7\n'], ['Rfd2', 'Bd5'], ['Ng3', 'Rf8'], ['Rf2', 'Bb7'], ['Qe1', 'Bc8'], ['Qf1', 'Nd5']]",1-0
ch-VIE,Vung Tau VIE,2002.04.04,11,Le Quang Liem,Tran Anh Tri,,,B02,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['c4', 'Nb6'], ['d4', 'd6'], ['exd6', 'cxd6'], ['a3', 'g6'], ['Bd3', 'Bg7'], ['Ne2', 'Nc6\n'], ['Be3', 'O-O'], ['Nbc3', 'd5'], ['cxd5', 'Nxd5'], ['O-O', 'Nxe3'], ['fxe3', 'a6'], ['Kh1', 'e5'], ['d5', 'Ne7\n'], ['e4', 'Kh8'], ['Qb3', 'f5'], ['Rad1', 'f4'], ['Na4', 'b5'], ['Nc5', 'Ng8'], ['Ng1', 'g5'], ['Be2', 'Qb6\n'], ['Qc3', 'Qd6'], ['Nf3', 'g4'], ['Ng5', 'Qh6'], ['Nge6', 'Bxe6'], ['Nxe6', 'f3'], ['Bd3', 'fxg2+'], ['Kxg2', 'Qh3+\n'], ['Kh1', 'Rxf1+'], ['Bxf1', 'Qxc3'], ['bxc3', 'Nf6'], ['Kg2', 'Nxe4'], ['d6', 'Bf6'], ['d7', 'Nxc3'], ['Rc1', 'e4\n'], ['d8=Q+', 'Bxd8'], ['Rxc3', 'Be7'], ['Be2', 'Rg8'], ['Rc6', 'Bxa3'], ['Rxa6', 'b4'], ['Rb6', 'Rc8'], ['Bxg4', 'Rc2+\n'], ['Kg3', 'Kg8'], ['Bh5', 'Rc8'], ['Kf4', 'Bc1+'], ['Kxe4', 'Bd2'], ['Rb7', 'Bc3'], ['Kd5', 'Kh8'], ['Be2', 'h6\n'], ['Ke4', 'Rg8'], ['h3', 'Rg6'], ['Kd5', 'Rg3'], ['Bg4', 'h5'], ['Rb8+', 'Kh7'], ['Bf5+', 'Kh6'], ['Rb7', 'Bg7\n'], ['h4', 'b3'], ['Nxg7', '']]",1-0
ch-VIE Playoff,Vung Tau VIE,2002.04.06,1,Pham Minh Hoang1,Le Quang Liem,,,D15,"[['d4', 'd5'], ['c4', 'c6'], ['Nc3', 'Nf6'], ['Nf3', 'a6'], ['Ne5', 'b5'], ['cxd5', 'cxd5'], ['Bf4', 'Bf5'], ['e3', 'e6\n'], ['g4', 'Bg6'], ['h4', 'Qa5'], ['h5', 'b4'], ['Qa4+', 'Qxa4'], ['Nxa4', 'Bc2'], ['b3', 'Nbd7'], ['Rc1', 'Be4\n'], ['f3', 'Nxe5'], ['dxe5', 'Bxf3'], ['exf6', 'Bxh1'], ['Nb6', 'Rd8'], ['Bxa6', 'Be7'], ['fxg7', 'Bh4+\n'], ['Ke2', 'Rg8'], ['Bb5+', 'Ke7'], ['Be5', 'Rxg7'], ['Bxg7', 'f6'], ['Rxh1', 'Bg5'], ['Rc1', 'Rb8'], ['Rc7+', 'Kd6\n'], ['Rc6+', 'Ke7'], ['Nc8+', 'Kd7'], ['Rc5+', 'Kd8'], ['Nd6', 'Ke7'], ['Nc8+', 'Kd8'], ['Na7', 'Rb7'], ['Nc6+', 'Kc7\n'], ['Na5+', 'Kb6'], ['Nxb7', '']]",1-0
ch-VIE Playoff,Vung Tau VIE,2002.04.06,2,Le Quang Liem,Pham Minh Hoang1,,,C47,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nc3', 'Nc6'], ['d4', 'exd4'], ['Nd5', 'Be7'], ['Bf4', 'd6'], ['Nxd4', 'Nxd5'], ['exd5', 'Nxd4\n'], ['Qxd4', 'O-O'], ['O-O-O', 'Bf6'], ['Qd2', 'c5'], ['dxc6', 'Qb6'], ['c3', 'Qxc6'], ['Qc2', 'Be6'], ['Kb1', 'Rfd8\n'], ['Bd3', 'h6'], ['f3', 'Rac8'], ['Be3', 'b5'], ['Rd2', 'Qa6'], ['a3', 'Qa5'], ['Bf5', 'Bxf5'], ['Qxf5', 'Rxc3\n'], ['Bxh6', 'Rb3'], ['Bg5', 'Qc3'], ['Bxf6', 'Qxd2'], ['Qc2', 'Qxc2+'], ['Kxc2', 'gxf6'], ['Kxb3', 'a5\n'], ['Rd1', 'd5'], ['Rc1', 'd4'], ['Kc2', 'Re8'], ['Kd2', 'Re3'], ['Re1', 'Rb3'], ['Kc2', 'a4'], ['Rd1', 'Re3\n'], ['Rxd4', 'Re5'], ['Kc3', 'Re3+'], ['Rd3', 'Re2'], ['Rd2', 'Re3+'], ['Kd4', 'Rb3'], ['Ke4', 'b4'], ['axb4', 'Rxb4+\n'], ['Kd3', 'a3'], ['bxa3', 'Rb3+']]",1/2-1/2
ch-VIE,Vung Tau VIE,2002.04.27,3,Le Quang Liem,Ngo Ngoc Quang,,,E00,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'd5'], ['cxd5', 'exd5'], ['Bg2', 'Bd6'], ['Nf3', 'O-O'], ['O-O', 'Re8'], ['Nc3', 'c6\n'], ['a3', 'a5'], ['Qc2', 'Nbd7'], ['Nd2', 'Nf8'], ['Re1', 'Bc7'], ['Rb1', 'Bg4'], ['h3', 'Bh5'], ['e4', 'Bg6\n'], ['Qd1', 'Bb6'], ['Nb3', 'Nxe4'], ['Nxe4', 'dxe4'], ['Be3', 'Ne6'], ['Nc5', 'Qd5'], ['Rc1', 'Re7'], ['Qa4', 'Bd8\n'], ['Red1', 'f5'], ['Nxe6', 'Rxe6'], ['Rc5', 'Qa2'], ['Bf1', 'b5'], ['Qc2', 'Rb8'], ['Bf4', 'Rb6'], ['d5', 'cxd5\n'], ['Rdxd5', 'Be7'], ['Rc8+', 'Kf7'], ['Bxb5', 'Qxd5'], ['Be8+', 'Kf6'], ['Qc3+', 'Re5'], ['Bc6', 'Qc5\n'], ['Bxe5+', 'Qxe5'], ['Qe3', 'Bc5'], ['Qd2', 'Qxg3+'], ['Kh1', 'Qxh3+'], ['Kg1', 'Qg3+'], ['Kh1', 'Qh4+\n'], ['Kg2', 'Qg5+'], ['Qxg5+', 'Kxg5'], ['Bd5', 'Bd4'], ['b3', 'Bh5']]",0-1
ch-VIE,Vung Tau VIE,2002.04.28,4,Truong Tuan Kiet,Le Quang Liem,,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Bd7'], ['Nf3', 'Bc6'], ['Bd3', 'Nd7'], ['O-O', 'Ngf6'], ['Re1', 'Be7\n'], ['c3', 'O-O'], ['Nxf6+', 'Bxf6'], ['Ne5', 'Nxe5'], ['dxe5', 'Qd5'], ['Bxh7+', 'Kxh7'], ['Qxd5', 'Bxd5\n'], ['exf6', 'gxf6'], ['b3', 'Rg8'], ['g3', 'Kg6'], ['c4', 'Bc6'], ['Bb2', 'Rh8'], ['h4', 'Rad8'], ['Bc3', 'e5\n'], ['Re3', 'Kf5'], ['b4', 'Kg4'], ['f4', 'exf4'], ['gxf4', 'Rxh4'], ['Rae1', 'Rh1+'], ['Kf2', 'Rh2+'], ['Kg1', 'Rg2+\n'], ['Kf1', 'Rh8'], ['Re4', 'Bxe4'], ['Rxe4', 'Rc2']]",0-1
