Nuremberg op,Nuremberg,1989.??.??,?,"Leko, Peter","Jahr, Ulrich",,,C08,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'exd5'], ['Ngf3', 'Nf6'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Nbxd7\n'], ['O-O', 'Be7'], ['dxc5', 'Nxc5'], ['Nb3', 'O-O'], ['c3', 'Nce4'], ['Nbd4', 'Re8'], ['Bf4', 'Qb6'], ['Qb3', 'Bc5\n'], ['Rad1', 'Rad8'], ['h3', 'Qa6'], ['Rfe1', 'h6'], ['a4', 'Bxd4'], ['Rxd4', 'Nc5'], ['Qd1', 'Rxe1+'], ['Nxe1', 'Ne6\n'], ['Rb4', 'd4'], ['Bd2', 'dxc3'], ['bxc3', 'Nd5'], ['Rb2', 'Nxc3'], ['Qb3', 'Nxa4'], ['Ra2', 'Nec5'], ['Qe3', 'Qe6\n'], ['Qxe6', 'fxe6'], ['Bb4', 'a6'], ['Kf1', 'b5'], ['Ke2', 'Rd4'], ['Bxc5', 'Nxc5'], ['Nc2', 'Rc4'], ['Ne3', 'Rc3\n'], ['Kd2', 'Ne4+'], ['Ke2', 'Rc6'], ['Kd3', 'Nc5+'], ['Ke2', 'Nb3'], ['Rb2', 'Na5'], ['Ra2', 'Nb7'], ['Rb2', 'Rc5\n'], ['Nc2', 'a5'], ['Kd3', 'b4'], ['Nd4', 'Kf7'], ['Ra2', 'e5'], ['Ne2', 'g5'], ['g3', 'Nd6'], ['Rb2', 'Rd5+\n'], ['Kc2', 'Nc4']]",0-1
Nuremberg op,Nuremberg,1989.??.??,?,"Seyb, Dieter","Leko, Peter",,,B22,"[['e4', 'c5'], ['c3', 'd6'], ['d4', 'Nf6'], ['dxc5', 'Nc6'], ['f3', 'd5'], ['exd5', 'Qxd5'], ['Qxd5', 'Nxd5'], ['Bc4', 'e6\n'], ['Bxd5', 'exd5'], ['Be3', 'Ne5'], ['Nd2', 'Nd3+'], ['Kf1', 'Nxb2'], ['Ne2', 'Bf5'], ['Nf4', 'Nc4'], ['Nxc4', 'dxc4\n'], ['g4', 'Bd7'], ['Kg2', 'Be7'], ['Nd5', 'Bd8'], ['Bf4', 'O-O'], ['Rhe1', 'Re8'], ['Rxe8+', 'Bxe8'], ['Nc7', 'Bxc7\n'], ['Bxc7', 'Bc6'], ['Re1', 'Re8'], ['Rxe8+', 'Bxe8'], ['Kf2', 'Bc6'], ['Ke3', 'Kf8'], ['f4', 'Ke7'], ['f5', 'f6\n'], ['h4', 'Kf7'], ['Kf4', 'h6']]",1/2-1/2
Nuremberg op,Nuremberg,1989.??.??,?,"Leko, Peter","Heckel, W.",,,B40,"[['e4', 'c5'], ['Nf3', 'e6'], ['d3', 'Be7'], ['g3', 'd5'], ['Nbd2', 'Nc6'], ['Bg2', 'd4'], ['O-O', 'e5'], ['Ne1', 'Nf6\n'], ['f4', 'exf4'], ['gxf4', 'Bg4'], ['Nef3', 'Qc7'], ['Nc4', 'O-O-O'], ['Qe1', 'Bxf3'], ['Rxf3', 'h5'], ['Bd2', 'Nh7\n'], ['a3', 'g5'], ['b4', 'g4'], ['Rf1', 'Nf6'], ['b5', 'Nb8'], ['Ba5', 'b6'], ['Bd2', 'Ne8'], ['e5', 'f5'], ['a4', 'a5\n'], ['Bxa5', 'bxa5'], ['b6', '']]",1-0
Werfen op,Werfen,1989.??.??,2,"Indjic, Dusan","Leko, Peter",,,D91,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'd5'], ['Bg5', 'Ne4'], ['cxd5', 'Nxg5'], ['Nxg5', 'e6'], ['Qd2', 'exd5\n'], ['Qe3+', 'Kf8'], ['Qf4', 'Bf6'], ['h4', 'h6'], ['Nf3', 'c6'], ['O-O-O', 'Be6'], ['e3', 'Nd7'], ['Bd3', 'Kg7\n'], ['Rdg1', 'Qb8'], ['Ne2', 'Qxf4'], ['Nxf4', 'Rae8'], ['g4', 'Bd8'], ['Nxe6+', 'Rxe6'], ['h5', 'g5'], ['Bf5', 'Re7\n'], ['Ne1', 'Bc7'], ['Nd3', 'Nf6'], ['b4', 'Ne4'], ['Bxe4', 'dxe4'], ['Ne1', 'a5'], ['a3', 'axb4'], ['axb4', 'Ra8\n'], ['Kb2', 'Bd6'], ['Nc2', 'b6'], ['Ra1', 'Rea7'], ['Rxa7', 'Rxa7'], ['Kb3', 'f5'], ['d5', 'c5'], ['Na3', 'cxb4\n'], ['Nb5', 'Rd7'], ['Nd4', 'fxg4'], ['Nf5+', 'Kf6'], ['Nxh6', 'Rh7'], ['Nxg4+', 'Kf5'], ['Rg1', 'Rxh5'], ['f3', 'exf3\n'], ['e4+', 'Kf4'], ['Nf2', 'Rh2'], ['Rg4+', 'Ke3'], ['Nd1+', 'Ke2'], ['Kc2', 'Ke1+'], ['Kc1', 'Bf4+'], ['Rxf4', 'gxf4\n'], ['d6', 'Rd2']]",0-1
Werfen op,Werfen,1989.??.??,3,"Leko, Peter","Rotstein, Arkadij",,,B26,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['d3', 'd6'], ['Be3', 'Nf6'], ['h3', 'O-O'], ['Nge2', 'Rb8\n'], ['O-O', 'b5'], ['Qd2', 'b4'], ['Nd1', 'Ne8'], ['a3', 'a5'], ['axb4', 'axb4'], ['Kh2', 'Nd4'], ['Nc1', 'b3\n'], ['c3', 'Nc2'], ['Rb1', 'Nxe3'], ['Nxe3', 'Nc7'], ['Ne2', 'Bb7'], ['f4', 'd5'], ['e5', 'd4'], ['cxd4', 'cxd4\n'], ['Nc4', 'Bxg2'], ['Kxg2', 'Qd5+'], ['Kh2', 'f6'], ['exf6', 'exf6'], ['Ra1', 'Rfe8'], ['Ra5', 'Qd7'], ['Ra7', 'Bf8\n'], ['Rf2', 'Bc5'], ['Ra1', 'Nd5'], ['Rg2', 'Ne3'], ['Nxe3', 'Rxe3'], ['Rc1', 'Bb4'], ['Qd1', 'Qd5'], ['Rc4', 'Bc5\n'], ['Qc1', 'Rb5'], ['Qd1', 'Qf3'], ['Rxc5', 'Rxc5'], ['Qxb3+', 'Qd5'], ['Qb8+', 'Kf7'], ['Qh8', 'Qh5'], ['Nxd4', 'Re8']]",0-1
Werfen op,Werfen,1989.??.??,4,"Hanel, Reinhard","Leko, Peter",,,A26,"[['c4', 'e5'], ['Nc3', 'Nc6'], ['Nf3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'd6'], ['d3', 'f5'], ['O-O', 'Nf6'], ['Rb1', 'a5'], ['a3', 'O-O\n'], ['b4', 'axb4'], ['axb4', 'h6'], ['Ne1', 'Kh7'], ['Nc2', 'Rb8'], ['b5', 'Ne7'], ['Nb4', 'Be6'], ['Nbd5', 'g5\n'], ['e3', 'Qd7'], ['f4', 'gxf4'], ['exf4', 'Ng6'], ['Nxf6+', 'Bxf6'], ['Nd5', 'Bg7'], ['Be3', 'Qf7'], ['Kh1', 'Rg8\n'], ['fxe5', 'dxe5'], ['d4', 'c6'], ['Nb6', 'exd4'], ['Bf4', 'Nxf4'], ['Rxf4', 'Be5'], ['Rf1', 'c5'], ['Nd5', 'Qg7\n'], ['Qd3', 'Kh8'], ['Rbe1', 'Rbe8'], ['Re2', 'Bd6'], ['Rfe1', 'Qf7'], ['Qd2', 'Kh7'], ['Qd3', 'Bd7'], ['Bh3', 'Rxe2\n'], ['Rxe2', 'Rf8'], ['Rf2', 'Be6'], ['Bg2', 'Qg6'], ['Re2', 'Bd7'], ['Nb6', 'Qg7'], ['Nxd7', 'Qxd7'], ['Bd5', 'Kg7\n'], ['Qf3', 'b6'], ['Qh5', 'Rf6'], ['Re8', 'Bf8'], ['Rb8', 'Qd6'], ['Rb7+', 'Kh8'], ['Qe8', 'f4'], ['Rd7', 'd3\n'], ['Rxd6', 'd2'], ['Rxf6', 'd1=Q+'], ['Kg2', '']]",1-0
Spring op,Budapest,1990.??.??,1,"Leko, Peter","Grunberg, Sergiu Henric",,,B02,"[['e4', 'Nf6'], ['Nc3', 'd5'], ['exd5', 'Nxd5'], ['Bc4', 'Nb6'], ['Bb3', 'a5'], ['a3', 'a4'], ['Ba2', 'Nc6'], ['Nge2', 'Bg4\n'], ['O-O', 'e6'], ['d4', 'Ra5'], ['f3', 'Bf5'], ['Be3', 'Be7'], ['Qd2', 'O-O'], ['Rad1', 'Nd5'], ['Bxd5', 'exd5\n'], ['Rfe1', 'b5'], ['Ng3', 'Bg6'], ['Nce2', 'b4'], ['axb4', 'Nxb4'], ['Rc1', 'a3'], ['bxa3', 'Rxa3'], ['Nf4', 'Qa8\n'], ['Nxg6', 'hxg6'], ['Bf4', 'Qd8'], ['Ra1', 'Rxa1'], ['Rxa1', 'Nc6'], ['Qc3', 'Bf6'], ['Be3', 'Ne7'], ['Ra7', 'c6\n'], ['Qc5', 'Re8'], ['Kf2', 'Qb8'], ['Ra3', 'Kh7'], ['Rb3', 'Qc7'], ['Ra3', 'Bh4'], ['Qa7', 'Qd6'], ['Qc5', 'Qe6\n'], ['Rd3', 'Nf5'], ['Qa3', 'c5'], ['Qc1', 'c4'], ['Rc3', 'Qb6'], ['Qd1', 'Qb2']]",0-1
Spring op,Budapest,1990.??.??,7,"Leko, Peter","Von Alvensleben, Wolfram",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['f3', 'e6'], ['Be3', 'Nf6'], ['e5', 'Nfd7'], ['c3', 'c5'], ['f4', 'Qb6'], ['Qd2', 'Nc6'], ['Nf3', 'Be7\n'], ['Be2', 'O-O'], ['O-O', 'f5'], ['h3', 'a6'], ['Kh2', 'Qd8'], ['Rg1', 'Kh8'], ['g4', 'g6'], ['Na3', 'cxd4\n'], ['cxd4', 'b5'], ['Nc2', 'Nb6'], ['b3', 'Bd7'], ['Rg2', 'b4'], ['Rag1', 'a5'], ['gxf5', 'gxf5'], ['Qe1', 'Qe8\n'], ['Bf2', 'Na7'], ['Bh4', 'Bb5'], ['Qg3', 'Rf7'], ['Bxe7', 'Rxe7'], ['Qh4', 'Qf7'], ['Ng5', 'Qf8'], ['Bh5', 'Nd7\n'], ['Bg6', 'Qg8'], ['Nf7+', 'Rxf7'], ['Bxf7', 'Qxf7'], ['Qh6', '']]",1-0
Nuremberg op,Nuremberg,1990.??.??,1,"Kusic, B.","Leko, Peter",,,D94,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['e3', 'Bg7'], ['Nf3', 'O-O'], ['h3', 'c5'], ['Be2', 'cxd4'], ['exd4', 'Nc6\n'], ['cxd5', 'Nxd5'], ['O-O', 'b6'], ['Bc4', 'Nxc3'], ['bxc3', 'Na5'], ['Be2', 'Be6'], ['Nd2', 'Rc8'], ['Bb2', 'Nc4\n'], ['Nxc4', 'Bxc4'], ['Re1', 'Qd7'], ['Bxc4', 'Rxc4'], ['Qb3', 'Rfc8'], ['a4', 'e6'], ['Qb5', 'Qc6'], ['Re3', 'Rd8\n'], ['Qxc6', 'Rxc6'], ['a5', 'b5'], ['a6', 'Rdd6'], ['Ra5', 'Rd5'], ['Ba3', 'Bf8'], ['Bxf8', 'Kxf8'], ['Kf1', 'Ke7\n'], ['Ke2', 'Kd6'], ['Kd3', 'Kc7'], ['Re2', 'Kb6'], ['Ra1', 'Rcd6'], ['f4', 'Kc7'], ['Re5', 'f6'], ['Rxd5', 'Rxd5\n'], ['Ke4', 'Rd6'], ['Ra5', 'Kc6'], ['g4', 'Rd5'], ['Ra2', 'Kb6'], ['Ra1', 'Rd8'], ['g5', 'fxg5'], ['fxg5', 'Rd5\n'], ['h4', 'Rf5'], ['Ra3', 'Kc6'], ['Rb3', 'Kb6'], ['Ra3', 'Rd5'], ['Ra2', 'Kc6'], ['Rc2', 'Kd6'], ['Rb2', 'Kc6\n'], ['Rb4', 'h6'], ['gxh6', 'Rh5'], ['h7', 'Rxh7'], ['Ke5', 'Kb6'], ['Kxe6', 'Kxa6'], ['d5', 'Kb6'], ['c4', 'Kc5\n'], ['Rxb5+', 'Kxc4'], ['Ra5', 'Kb4'], ['Ra1', 'Rxh4'], ['Rxa7', 'Kc5'], ['Rc7+', 'Kb6'], ['Rc3', 'g5'], ['d6', 'Rh6+\n'], ['Kd5', 'Kb7'], ['Rc7+', 'Kb8'], ['Kc6', 'g4'], ['Rb7+', 'Kc8'], ['Rg7', 'Rh8'], ['Ra7', 'Kb8'], ['Rb7+', 'Ka8\n'], ['d7', 'g3'], ['Rb2', 'Rg8'], ['Kc7', '']]",1-0
Nuremberg op,Nuremberg,1990.??.??,5,"Gretzer, M.","Leko, Peter",,,D85,"[['c4', 'Nf6'], ['Nc3', 'd5'], ['d4', 'g6'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['f4', 'c5'], ['Nf3', 'Nc6\n'], ['e5', 'Be6'], ['Be2', 'cxd4'], ['Nxd4', 'Nxd4'], ['cxd4', 'O-O'], ['O-O', 'Qd7'], ['Be3', 'Rac8'], ['d5', 'Qxd5\n'], ['Qxd5', 'Bxd5'], ['Bxa7', 'Rc2'], ['Bf3', 'Bxf3'], ['Rxf3', 'Ra8'], ['Rf2', 'Rc3'], ['Bd4', 'Rd3'], ['Bc5', 'e6\n'], ['Rb2', 'Rd5'], ['Bd6', 'Rxd6']]",0-1
Nuremberg op,Nuremberg,1990.??.??,6,"Leko, Peter","Wirth, Wolfgang",,,B88,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bc4', 'a6'], ['O-O', 'Qc7'], ['Bb3', 'Nc6\n'], ['Be3', 'Bd7'], ['f4', 'e5'], ['Nf5', 'exf4'], ['Bxf4', 'Ne5'], ['Bg5', 'Nfg4'], ['Nd5', 'Qc5+'], ['Kh1', 'f6\n'], ['Bh4', 'O-O-O'], ['Qd2', 'Kb8'], ['Rad1', 'h5'], ['Bf2', 'Nxf2+'], ['Rxf2', 'g6'], ['Nfe3', 'Bh6'], ['Qd4', 'Rhf8\n'], ['c3', 'Bb5'], ['Bc2', 'Bg5'], ['a4', 'Bd7'], ['b4', 'Qxd4'], ['Rxd4', 'Rc8'], ['Re2', 'b5'], ['a5', 'Be6\n'], ['Kg1', 'Kb7'], ['Bb3', 'Bd7'], ['Kf1', 'f5'], ['exf5', 'Bxf5'], ['Nxf5', 'Rxf5+'], ['Kg1', 'Rcf8'], ['Rd1', 'h4\n'], ['Bc2', 'R5f7'], ['Be4', 'Ka7'], ['h3', 'Bh6'], ['Ne3', 'Kb8'], ['Ng4', 'Bg7']]",1/2-1/2
Nuremberg op,Nuremberg,1990.??.??,7,"Koschka, Guenther","Leko, Peter",,,B54,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Bb5+', 'Bd7'], ['Nc3', 'Nc6'], ['Nxc6', 'bxc6'], ['Bd3', 'e5\n'], ['O-O', 'Be7'], ['Kh1', 'O-O'], ['Ne2', 'Ne8'], ['c4', 'Nc7'], ['b3', 'Ne6'], ['Bb2', 'a5'], ['f4', 'Bf6'], ['f5', 'Nd4\n'], ['Nc3', 'Qc7'], ['Rf2', 'Qa7'], ['Qf1', 'Qc7'], ['Rb1', 'Bg5'], ['g3', 'Bf6'], ['Rg2', 'Qd8'], ['Bc1', 'Rb8\n'], ['Rgb2', 'Bc8'], ['Be3', 'Ba6'], ['Rg2', 'Bb7'], ['g4', 'h6'], ['Qc1', 'Bg5'], ['Bxg5', 'Qxg5'], ['Qxg5', 'hxg5\n'], ['Rf2', 'f6'], ['Bf1', 'c5'], ['Bg2', 'Bc6'], ['Rfb2', 'Rb7'], ['a4', 'Kf7'], ['Bf1', 'Rh8'], ['Bd3', 'Rh3\n'], ['Rd1', 'Rb8'], ['Kg1', 'Rbh8'], ['Nb5', 'Nf3+'], ['Kf1', 'Nxh2+'], ['Kf2', 'Nxg4+'], ['Ke1', 'Ke7'], ['Be2', 'Rh1+\n'], ['Kd2', 'Rxd1+'], ['Kxd1', 'Nf2+'], ['Kc1', 'Rh1+'], ['Kd2', 'Nxe4+'], ['Ke3', 'Rh3+'], ['Bf3', 'g4\n'], ['Rc2', 'Rxf3+'], ['Ke2', 'Rf2+'], ['Kd1', 'Rxc2'], ['Kxc2', 'g3']]",0-1
Paris-ch,Paris,1990.??.??,?,"Leko, Peter","Labarthe, Arnaud",,,B01,"[['e4', 'd5'], ['exd5', 'Nf6'], ['d4', 'Nxd5'], ['Nf3', 'g6'], ['Be2', 'Bg7'], ['O-O', 'O-O'], ['Re1', 'Nc6'], ['c3', 'Bg4\n'], ['h3', 'Bxf3'], ['Bxf3', 'e6'], ['Nd2', 'a5'], ['a4', 'Qd7'], ['Ne4', 'b6'], ['Qb3', 'h6'], ['Bd2', 'Rad8\n'], ['Rad1', 'Kh7'], ['Bc1', 'Qe7'], ['Ng3', 'Qd7'], ['Be4', 'f5'], ['Bf3', 'Rfe8'], ['Ne2', 'Qd6'], ['g3', 'g5\n'], ['Bg2', 'Nce7'], ['Kh1', 'Ng6'], ['Ng1', 'f4'], ['g4', 'Nf6'], ['Nf3', 'Nd5'], ['Qc2', 'Ne7'], ['Re2', 'Kh8\n'], ['Rde1', 'Nf8'], ['h4', 'Bf6'], ['b3', 'Kg7'], ['Bb2', 'Nd5'], ['Nd2', 'gxh4'], ['Ne4', 'Qe7'], ['Nxf6', 'Nxf6\n'], ['c4', 'Nxg4'], ['d5+', 'Kg8'], ['Bh3', 'f3'], ['Rg1', 'h5'], ['Bxg4', '']]",1-0
