Vienna,Vienna,1910.??.??,?,"Levenfish, Grigory","List, Paul",,,C83,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['c3', 'Be7'], ['Nbd2', 'Bg4'], ['Qe1', 'Nc5'], ['Bc2', 'Qd7'], ['Nd4', 'Nxd4'], ['cxd4', 'Ne6'], ['Nb3', 'c5\n'], ['f4', 'c4'], ['f5', 'cxb3'], ['fxe6', 'fxe6'], ['axb3', 'Qc6'], ['Bd3', 'g6'], ['Qg3', 'Bf5'], ['Bxf5', 'exf5\n'], ['Bh6', 'g5'], ['Bg7', 'Rg8'], ['Bf6', 'Bxf6'], ['Rac1', 'Qb6'], ['exf6', 'Qxd4+'], ['Kh1', 'Qxf6'], ['Rc7', 'Rg7\n'], ['Rxg7', 'Qxg7']]",1-0
Karlsbad,Karlsbad,1911.??.??,?,"Alapin, Simon","Levenfish, Grigory",,,D32,"[['c4', 'e6'], ['d4', 'd5'], ['Nc3', 'c5'], ['Nf3', 'Nc6'], ['Bf4', 'cxd4'], ['Nxd4', 'Bb4'], ['e3', 'Nge7'], ['Qb3', 'Qa5\n'], ['Rd1', 'Bd7'], ['Nc2', 'Bxc3+'], ['bxc3', 'O-O'], ['Be2', 'e5'], ['Bg3', 'Be6'], ['O-O', 'Rac8'], ['Nb4', 'dxc4\n'], ['Nxc6', 'Nxc6'], ['Qxb7', 'Qxc3'], ['Bf3', 'Nb4'], ['Bxe5', 'Qxe5'], ['Qxb4', 'c3'], ['Qa3', 'c2'], ['Rc1', 'Qc5\n'], ['Qb2', 'Qc3'], ['Qxc3', 'Rxc3'], ['a4', 'a5'], ['Be2', 'Bb3'], ['Bb5', 'Rd8'], ['Rfe1', 'Rd2'], ['Kf1', 'Kf8\n'], ['Re2', 'Rd1+'], ['Re1', 'Ke7'], ['Ke2', 'Kd6'], ['Rexd1+', 'cxd1=Q+'], ['Rxd1+', 'Bxd1+'], ['Kxd1', 'Kc5\n'], ['h4', 'Ra3'], ['g4', 'Ra2'], ['f4', 'Kd5'], ['Bd3', 'Rxa4'], ['Bxh7', 'Rb4'], ['Bg8', 'Ke6'], ['g5', 'Rb8\n'], ['f5+', 'Ke7'], ['f6+', 'gxf6'], ['gxf6+', 'Kxf6'], ['Bh7', 'a4'], ['Kc1', 'a3'], ['Bb1', 'Rc8+'], ['Kd2', 'Ra8\n'], ['Ba2', 'Rb8'], ['Kc3', 'Rb2'], ['Bc4', 'Rh2']]",0-1
Karlsbad,Karlsbad,1911.??.??,?,"Alekhine, Alexander","Levenfish, Grigory",,,C82,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['c3', 'Be7'], ['Nbd2', 'Nc5'], ['Bc2', 'Bg4'], ['Re1', 'O-O'], ['h3', 'Bh5'], ['Nf1', 'Bg6'], ['Bxg6', 'hxg6\n'], ['Ne3', 'Qd7'], ['Nxd5', 'Rad8'], ['Nxe7+', 'Qxe7'], ['Qc2', 'Rd5'], ['Bg5', 'Qd7'], ['c4', 'bxc4'], ['Qxc4', 'Re8\n'], ['Bh4', 'Nxe5'], ['Nxe5', 'Rexe5'], ['Rxe5', 'Rxe5'], ['Bg3', 'Rd5'], ['b4', 'Nd3'], ['Rb1', 'c5'], ['bxc5', 'Nxc5\n'], ['Rb8+', 'Kh7'], ['Kh2', 'Rh5'], ['a3', 'Qd5'], ['Qe2', 'Qe4'], ['Qa2', 'Ne6'], ['Re8', 'Rb5'], ['Qd2', 'Qc6\n'], ['Re7', 'Rb7'], ['Rxb7', 'Qxb7'], ['Qd6', 'a5'], ['Be5', 'Qa7'], ['Bg3', 'Qb7'], ['Be5', 'Qa7'], ['Bg3', 'Qb7\n'], ['Be5', 'Qa7'], ['Bg3', 'Qb7']]",1/2-1/2
Karlsbad,Karlsbad,1911.??.??,?,"Burn, Amos","Levenfish, Grigory",,,B45,"[['e4', 'c5'], ['Nf3', 'e6'], ['Nc3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Be2', 'Bb4'], ['Bf3', 'd5'], ['exd5', 'Nxd5\n'], ['O-O', 'O-O'], ['Ne4', 'Ne5'], ['Be2', 'Ng6'], ['f4', 'Ndxf4'], ['Rxf4', 'e5'], ['c3', 'Ba5'], ['Rf1', 'exd4\n'], ['cxd4', 'Bb6'], ['Nc5', 'Qe7'], ['Qc2', 'Bd7'], ['Bf3', 'Bb5'], ['Rd1', 'Rad8'], ['Nxb7', 'Rxd4'], ['Kh1', 'Nh4\n'], ['Bd5', 'Rxd5']]",0-1
Karlsbad,Karlsbad,1911.??.??,?,"Chajes, Oscar","Levenfish, Grigory",,,C14,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['e5', 'Nfd7'], ['Bxe7', 'Qxe7'], ['f4', 'O-O'], ['Bd3', 'c5\n'], ['Nf3', 'f6'], ['h4', 'Rd8'], ['Ng5', 'Nf8'], ['Nf3', 'Nc6'], ['dxc5', 'Qxc5'], ['Qd2', 'Bd7'], ['O-O-O', 'Nb4\n'], ['a3', 'Nxd3+'], ['Qxd3', 'Be8'], ['h5', 'Rac8'], ['g4', 'b5'], ['h6', 'b4'], ['axb4', 'Qxb4'], ['hxg7', 'Qxf4+\n'], ['Kb1', 'Kxg7'], ['exf6+', 'Qxf6'], ['Nd4', 'Bg6'], ['Qe3', 'Kg8'], ['Rdf1', 'Qg7'], ['Rh2', 'Rc4'], ['Nxe6', 'd4\n'], ['Qe1', 'Re8'], ['Nxg7', 'Rxe1+'], ['Rxe1', 'dxc3'], ['Nf5', 'Kh8'], ['Rf2', 'Rb4'], ['b3', 'Nd7'], ['Rd1', 'Rb7\n'], ['Rf3', 'h6'], ['Rxc3', 'Nf6'], ['Rc6', 'Bxf5'], ['gxf5', 'Ng4'], ['Rg6', 'Ne3'], ['Rxh6+', 'Kg7'], ['Rg6+', 'Kf7\n'], ['Rh1', 'Nxf5'], ['Rh7+', '']]",1-0
Karlsbad,Karlsbad,1911.??.??,?,"Duras, Oldrich","Levenfish, Grigory",,,C77,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['d3', 'd6'], ['c4', 'Be7'], ['h3', 'O-O'], ['Be3', 'Nh5\n'], ['Nc3', 'f5'], ['Nd5', 'Nf4'], ['Bxf4', 'exf4'], ['exf5', 'Bxf5'], ['O-O', 'Bf6'], ['Nxf4', 'g5'], ['Nd5', 'g4\n'], ['hxg4', 'Bxg4'], ['Ne3', 'Bh5'], ['g4', 'Bg6'], ['Bxc6', 'bxc6'], ['Rb1', 'Qd7'], ['Nh2', 'Bd4'], ['Qd2', 'Qg7\n'], ['Ng2', 'Rab8'], ['b3', 'Bc3'], ['Qc2', 'Kh8'], ['Nh4', 'Be5'], ['f3', 'Rf4'], ['Rbd1', 'Rbf8'], ['Qg2', 'Rd4\n'], ['Nxg6+', 'Qxg6'], ['Qe2', 'Re8'], ['Rfe1', 'h5'], ['Kh1', 'hxg4'], ['Nxg4', 'Rxg4'], ['fxg4', 'Qh6+\n'], ['Kg1', 'Bd4+'], ['Kg2', 'Rxe2+'], ['Rxe2', 'Qf4'], ['Rh1+', 'Kg7'], ['Rh3', 'Be5'], ['Ree3', 'Qg5'], ['Rhf3', 'c5\n'], ['a3', 'Bb2'], ['Re4', 'Bxa3'], ['Rf5', 'Qd8'], ['Ref4', 'Bb2'], ['g5', 'Be5'], ['Rf2', 'Qb8'], ['R5f3', 'Bd4\n'], ['Re2', 'Qxb3'], ['Re7+', 'Kg6'], ['Re6+', 'Kxg5'], ['Re4', 'Bf6'], ['Kh3', 'Qc3'], ['Rg4+', 'Kh5'], ['Rf5+', 'Kh6\n'], ['Rg3', 'Be5'], ['Rgf3', 'Qd2'], ['Kh4', 'Kg6'], ['Rf2', 'Qh6+'], ['Kg4', 'a5'], ['Rf1', 'a4'], ['R1f3', 'a3\n'], ['d4', 'a2']]",0-1
Karlsbad,Karlsbad,1911.??.??,?,"Dus Chotimirsky, Fedor Ivanovich","Levenfish, Grigory",,,D04,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['e3', 'c5'], ['dxc5', 'e6'], ['a3', 'Bxc5'], ['b4', 'Be7'], ['Bb2', 'a5'], ['b5', 'Nbd7\n'], ['Bd3', 'b6'], ['Ne5', 'Nxe5'], ['Bxe5', 'O-O'], ['O-O', 'Nd7'], ['Bd4', 'Bb7'], ['f4', 'Nc5'], ['Bxh7+', 'Kxh7\n'], ['Qh5+', 'Kg8'], ['Bxg7', 'Kxg7'], ['Qg4+', 'Bg5'], ['fxg5', 'Ne4'], ['h4', 'Qc7'], ['Nd2', 'Qg3'], ['Qxg3', 'Nxg3\n'], ['Rf6', 'Rh8'], ['Kh2', 'Nf5'], ['Nf3', 'Nxe3'], ['Ne5', 'Rxh4+'], ['Kg3', 'Re4'], ['Rxf7+', 'Kg8'], ['Rxb7', 'Rxe5\n'], ['Rh1', 'Rf8'], ['Kh4', 'Rf7'], ['Rb8+', 'Kg7'], ['Rxb6', 'Nxg2+'], ['Kg4', 'Ne3+'], ['Kh5', 'Re4'], ['Rh4', 'Re5\n'], ['Ra6', 'Rff5'], ['Ra7+', 'Kf8'], ['Ra8+', 'Ke7'], ['Rg8', 'Nc4'], ['Kh6', 'Nd6'], ['g6', 'Nxb5'], ['g7', 'Rg5\n'], ['Ra8', 'Nd6'], ['Rh2', 'Ne8'], ['Ra7+', 'Kd6'], ['Ra6+', 'Kc5'], ['Rxa5+', 'Kb6'], ['Ra8', 'Nxg7'], ['Rg8', 'Rh5+\n'], ['Rxh5', 'Nxh5'], ['Kg6', 'Rf5'], ['Re8', 'Nf4+'], ['Kh6', 'e5'], ['Rb8+', 'Kc5'], ['Rc8+', 'Kd4'], ['a4', 'e4\n'], ['a5', 'e3'], ['c3+', 'Ke4'], ['Re8+', 'Re5']]",0-1
Karlsbad,Karlsbad,1911.??.??,?,"Levenfish, Grigory","Cohn, Erich",,,B73,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'g6'], ['Be3', 'Bg7'], ['O-O', 'O-O\n'], ['h3', 'Bd7'], ['Qd2', 'Rc8'], ['Nb3', 'a6'], ['f4', 'b5'], ['Bf3', 'Na5'], ['Nxa5', 'Qxa5'], ['Rfd1', 'b4\n'], ['Ne2', 'Bc6'], ['Ng3', 'Qb5'], ['a3', 'a5'], ['axb4', 'axb4'], ['Be2', 'Qb8'], ['Bd3', 'h5'], ['Ba7', 'Qb7\n'], ['Be3', 'Ra8'], ['e5', 'Nd5'], ['Bd4', 'Qc7'], ['Rxa8', 'Rxa8'], ['Be4', 'h4'], ['Ne2', 'dxe5'], ['fxe5', 'e6\n'], ['Qg5', 'Qd8'], ['Qxd8+', 'Rxd8'], ['Bc5', 'Bxe5'], ['Bxb4', 'Rb8'], ['Bxd5', 'Bxd5'], ['Bc3', 'Bxc3\n'], ['Nxc3', 'Rxb2'], ['Nxd5', 'exd5'], ['Rxd5', 'Rxc2'], ['Rd4', 'g5'], ['Rg4', 'f6'], ['g3', 'hxg3'], ['h4', 'Rc3\n'], ['hxg5', '']]",1/2-1/2
Karlsbad,Karlsbad,1911.??.??,?,"Levenfish, Grigory","Fahrni, Hans",,,C14,"[['d4', 'e6'], ['e4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['e5', 'Nfd7'], ['Bxe7', 'Qxe7'], ['f4', 'c5'], ['Nb5', 'O-O\n'], ['Nc7', 'cxd4'], ['Nxa8', 'f6'], ['Nf3', 'fxe5'], ['fxe5', 'Nc6'], ['Bd3', 'Ndxe5'], ['O-O', 'Ng4'], ['Nd2', 'Nf6\n'], ['Qe1', 'e5'], ['Qh4', 'e4'], ['Rae1', 'Be6'], ['Nxe4', 'dxe4'], ['Bxe4', 'Rxa8'], ['Bf5', 'Nd8'], ['Bxh7+', 'Kf7\n'], ['g4', 'Ke8'], ['Bf5', 'Kd7'], ['Rxe6', 'Nxe6'], ['Re1', 'Qc5'], ['Rxe6', 'd3+'], ['Qf2', 'Qxf2+'], ['Kxf2', 'dxc2\n'], ['Re2+', 'Kd6'], ['Rxc2', 'g6'], ['Bxg6', 'Nxg4+'], ['Kg3', 'Ne5'], ['Be4', 'Rg8+'], ['Kf4', 'Rf8+'], ['Bf5', 'Nc6\n'], ['Rd2+', 'Kc5'], ['Kg5', 'Nd4'], ['Bg4', 'Rg8+'], ['Kf4', 'Rf8+'], ['Kg3', 'Kd5'], ['h4', 'Ke4'], ['h5', 'Ke3\n'], ['Rh2', 'Rg8'], ['Kh4', 'Rh8'], ['Rh3+', 'Kf4'], ['Rh1', 'Rh7'], ['Rf1+', 'Ke5'], ['Rf8', 'Nc6'], ['Bf5', 'Rc7\n'], ['h6', 'Ne7'], ['h7', 'Nxf5+'], ['Rxf5+', 'Kxf5'], ['h8=Q', 'Ke6'], ['Qb8', 'Rh7+'], ['Kg5', 'Rg7+'], ['Kh6', 'Rd7\n'], ['Qxa7', 'Kd6'], ['Qb6+', 'Ke7'], ['Kg5', '']]",1-0
Karlsbad,Karlsbad,1911.??.??,?,"Levenfish, Grigory","Jaffe, Charles",,,D46,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'c6'], ['e3', 'e6'], ['Nc3', 'Nbd7'], ['Bd3', 'Bd6'], ['O-O', 'O-O'], ['e4', 'dxc4\n'], ['Bxc4', 'e5'], ['Bg5', 'Qa5'], ['d5', 'cxd5'], ['Nxd5', 'Nxe4'], ['b4', 'Bxb4'], ['Qb1', 'Nd2'], ['Bxd2', 'Bxd2\n'], ['Rd1', 'Bh6'], ['Qe4', 'Nc5'], ['Qxe5', 'Bg4'], ['Ne7+', 'Kh8'], ['Rd5', 'b6'], ['Nh4', 'Rae8'], ['Re1', 'Be6\n'], ['Nef5', 'f6'], ['Qe2', 'Bf7'], ['Ne7', 'Bxd5'], ['Neg6+', 'hxg6'], ['Qxe8', 'Rxe8'], ['Rxe8+', 'Kh7\n'], ['Bxd5', 'Ne6']]",0-1
Karlsbad,Karlsbad,1911.??.??,?,"Levenfish, Grigory","Johner, Paul F",,,C84,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'd6'], ['Nc3', 'Be7'], ['Bxc6+', 'bxc6'], ['d4', 'Nd7\n'], ['Qe2', 'O-O'], ['Be3', 'a5'], ['Rfd1', 'Bf6'], ['Qd2', 'Re8'], ['Bg5', 'Bxg5'], ['Qxg5', 'Qxg5'], ['Nxg5', 'Rb8\n'], ['b3', 'exd4'], ['Rxd4', 'Nc5'], ['Re1', 'f5'], ['Nf3', 'Rb4'], ['a3', 'Rxd4'], ['Nxd4', 'Bd7'], ['f3', 'fxe4\n'], ['fxe4', 'Ne6'], ['Nxe6', 'Rxe6'], ['Kf2', 'Be8'], ['Rd1', 'Kf7'], ['Ke3', 'Ke7'], ['Rd4', 'Rg6'], ['g3', 'Rf6\n'], ['Ne2', 'g5'], ['Rd2', 'c5'], ['Rd5', 'h6'], ['Rf5', 'Re6'], ['Nc3', 'c6'], ['Kd2', 'Bg6'], ['Rf2', 'Bxe4\n'], ['Nxe4', 'Rxe4'], ['h3', 'a4'], ['Rf3', 'g4'], ['hxg4', 'Rxg4'], ['Rf4', 'Rxg3'], ['Rxa4', 'Rh3'], ['Rf4', 'Ke6\n'], ['a4', 'Ke5'], ['Rf8', 'c4'], ['bxc4', 'Kd4'], ['Rf4+', 'Kc5'], ['a5', 'h5'], ['Re4', 'Ra3'], ['Rh4', 'Kb4\n'], ['c5+', 'Kxc5'], ['Rxh5+', 'd5'], ['Rg5', 'Rxa5'], ['Rh5', 'Ra3'], ['Rg5', 'Rh3'], ['Rf5', 'Kc4'], ['Rf4+', 'd4\n'], ['Rf2', 'c5'], ['Rg2', 'Kb4'], ['Rg8', 'Rh2+'], ['Kc1', 'c4'], ['Rg3', 'Rh1+'], ['Kb2', 'c3+'], ['Ka2', 'Rc1\n'], ['Rg2', 'Kc4'], ['Rh2', 'Rd1'], ['Rh8', 'Kd5'], ['Rd8+', 'Ke4'], ['Re8+', 'Kf3'], ['Kb3', 'Rd2'], ['Kc4', 'Rd1\n'], ['Re7', 'Rd2'], ['Re8', 'Re2'], ['Rd8', '']]",1/2-1/2
