3rd All-China Games,Suzhou CHN,2006.05.20,1,Li Chao2,Gong Qianyun,,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'h6'], ['Nf3', 'Nf6'], ['e5', 'Ne4'], ['Bd3', 'Nxc3'], ['bxc3', 'c5'], ['O-O', 'Nc6\n'], ['a4', 'Bd7'], ['Be3', 'Qc7'], ['Kh1', 'Rc8'], ['Nd2', 'c4'], ['Be2', 'Qa5'], ['Nf3', 'Qxc3'], ['Bd2', 'Qb2\n'], ['Rb1', 'Qa3'], ['Rxb7', 'Qxa4'], ['Bc3', 'Nd8'], ['Rb1', 'Qc6'], ['Ra1', 'Ra8'], ['Qd2', 'Qc8'], ['h4', 'Nc6\n'], ['h5', 'Be7'], ['Nh2', 'O-O'], ['Ng4', 'Qd8'], ['f4', 'Kh7'], ['Rf3', 'a5'], ['Bb2', 'Rb8'], ['c3', 'Qb6\n'], ['Bc1', 'a4'], ['Bd1', 'Na5'], ['Nf6+', 'Bxf6'], ['exf6', 'g6'], ['hxg6+', 'fxg6'], ['f5', 'g5'], ['fxe6', 'Bxe6\n'], ['Qc2+', 'Kh8'], ['Qg6', 'Rf7'], ['Bc2', 'Rbb7'], ['Rxa4', 'Qd8'], ['Kg1', 'Nb3'], ['Qxh6+', 'Rh7'], ['Bxh7', 'Rxh7\n'], ['Qxg5', 'Nxc1'], ['Qxc1', 'Qb8'], ['Qf4', '']]",1-0
3rd All-China Games,Suzhou CHN,2006.05.20,2,Hong Jiarong,Li Chao2,,,D77,"[['Nf3', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['c4', 'O-O'], ['O-O', 'd5'], ['d4', 'dxc4'], ['Ne5', 'Ne8'], ['Na3', 'c5\n'], ['e3', 'cxd4'], ['exd4', 'Nd6'], ['Be3', 'Nc6'], ['Nxc6', 'bxc6'], ['Qa4', 'Bd7'], ['Nxc4', 'c5'], ['Qc2', 'cxd4\n'], ['Bxa8', 'Qxa8'], ['Nxd6', 'exd6'], ['Bf4', 'Bh3'], ['f3', 'Bxf1'], ['Rxf1', 'Qd5'], ['b3', 'Be5'], ['Bh6', 'd3\n'], ['Qc4', 'Qxc4'], ['bxc4', 'Rc8'], ['Be3', 'Rxc4'], ['Bxa7', 'd2']]",0-1
3rd All-China Games,Suzhou CHN,2006.05.21,3,Li Chao2,Yu Shaoteng,,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['e5', 'Nfd7'], ['f4', 'c5'], ['Nf3', 'Nc6'], ['Be3', 'Be7'], ['Qd2', 'O-O\n'], ['dxc5', 'Bxc5'], ['Bxc5', 'Nxc5'], ['O-O-O', 'Qa5'], ['Kb1', 'Rd8'], ['Bb5', 'Bd7'], ['Qf2', 'a6'], ['Bxc6', 'bxc6\n'], ['Nd4', 'Rab8'], ['Nb3', 'Nxb3'], ['cxb3', 'c5'], ['f5', 'd4'], ['f6', 'dxc3'], ['Qg3', 'g6'], ['Qe3', 'c2+\n'], ['Kxc2', 'c4'], ['a3', 'Rxb3'], ['Qh6', 'Rxb2+'], ['Kxb2', 'Qxe5+'], ['Ka2', 'Qxf6'], ['Qe3', 'Ba4'], ['Rxd8+', 'Qxd8\n'], ['Rf1', 'Qd3'], ['Qf3', 'f5'], ['Rf2', 'Bb3+'], ['Kb2', 'Qd4+'], ['Kb1', 'c3']]",0-1
3rd All-China Games,Suzhou CHN,2006.05.21,4,Wang Rui,Li Chao2,,,A39,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'Nc6'], ['O-O', 'O-O'], ['Nc3', 'Nxd4\n'], ['Qxd4', 'd6'], ['Bg5', 'Be6'], ['Qh4', 'Rc8'], ['b3', 'Rc5'], ['Nd5', 'Bxd5'], ['cxd5', 'Rc2'], ['Qa4', 'a6\n'], ['Bf3', 'Rc5'], ['Rac1', 'Ra5'], ['Qb4', 'Rxa2'], ['Qxb7', 'a5'], ['Rc7', 'Rb2'], ['Rfc1', 'Qb8'], ['Qxb8', 'Rxb8\n'], ['Rxe7', 'R2xb3'], ['Ra7', 'R3b5'], ['Bd2', 'Nxd5'], ['Rxa5', 'Rxa5'], ['Bxa5', 'Ne7'], ['Bc7', 'Rc8\n'], ['Bb7', 'Re8'], ['Bxd6', 'Nf5'], ['Ba3', 'Nd4'], ['Kf1', 'h5'], ['e3', 'Ne6'], ['Bd5', 'Bf6'], ['Kg2', 'Kg7\n'], ['Rc6', 'Be7'], ['Bb2+', 'Bf6'], ['Ba3', 'Be7'], ['Bc1', 'Bf6'], ['h4', 'g5'], ['hxg5', 'Bxg5'], ['f4', 'Bf6\n'], ['Kh3', 'Re7'], ['Bf3', 'Kg6'], ['Bd5', 'Kg7'], ['Ba3', 'Ra7'], ['Bd6', 'Ra1'], ['Bf3', 'Re1'], ['Bxh5', 'Rxe3\n'], ['Rb6', 'Rd3'], ['Rb7', 'Kh6'], ['Rxf7', 'Bc3'], ['Bf8+', 'Kxh5'], ['Rf5+', 'Kg6'], ['Rb5', 'Nxf8'], ['Kg4', 'Nh7\n'], ['f5+', 'Kh6'], ['Rb3', 'Nf6+'], ['Kh4', 'Ne4']]",0-1
3rd All-China Games,Suzhou CHN,2006.05.22,5,Li Chao2,Ruan Lufei,,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['d3', 'a6'], ['O-O', 'Ba7'], ['Be3', 'O-O'], ['Bxa7', 'Rxa7\n'], ['Re1', 'd6'], ['a4', 'Ne7'], ['Nbd2', 'Ng6'], ['Nf1', 'c6'], ['Bb3', 'h6'], ['Ng3', 'Be6'], ['d4', 'Qc8'], ['Bc2', 'Ra8\n'], ['Nf5', 'Qc7'], ['Ne3', 'Rae8'], ['a5', 'Bc8'], ['Nc4', 'exd4'], ['Qxd4', 'd5'], ['exd5', 'Nxd5'], ['Nfe5', 'Nxe5\n'], ['Nxe5', 'Nf6'], ['Qc5', 'Nd7'], ['Nxd7', 'Qxd7'], ['Red1', 'Qe7'], ['Qxe7', 'Rxe7'], ['Bd3', 'Rd7'], ['f3', 'Rfd8\n'], ['Be2', 'Kf8'], ['Kf2', 'Rxd1'], ['Rxd1', 'Rxd1'], ['Bxd1', 'Ke7'], ['Ke3', 'Kd6'], ['f4', 'Be6'], ['b4', 'Bd5\n'], ['g3', 'c5'], ['Kd3', 'cxb4'], ['cxb4', 'Bc6'], ['Kd4', 'Bd5'], ['Ba4', 'Bc6'], ['Bb3', 'f6'], ['Bf7', 'Bh1\n'], ['Bg6', 'Bd5'], ['h4', 'Bc6'], ['Bd3', 'Bd7'], ['Be4', 'Bc6'], ['Bf5', 'Bd5'], ['Bd3', 'Bc6'], ['Bc4', 'Be8\n'], ['Bd5', 'Bc6'], ['Bf7', 'Bf3'], ['Bg6', 'Bd5'], ['h5', 'Bc6'], ['Bf5', 'Bd5'], ['Be4', 'Bxe4'], ['Kxe4', 'Ke6\n'], ['g4', 'Kd6'], ['Kf5', 'Ke7'], ['Ke4', 'Ke6'], ['Kd4', 'Kd6'], ['Kc4', 'Kc6'], ['b5+', 'Kd6'], ['bxa6', 'bxa6\n'], ['Kd4', 'Kc6'], ['Ke4', 'Kd6'], ['Kf5', 'Ke7'], ['Kg6', 'Kf8'], ['g5', 'fxg5'], ['fxg5', 'hxg5'], ['Kxg5', 'Ke7\n'], ['Kg6', 'Kf8'], ['Kf5', 'Kf7']]",1/2-1/2
3rd All-China Games,Suzhou CHN,2006.05.22,6,Li Chao2,Kuang Yinghui,,,C91,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['d4', 'Bg4'], ['d5', 'Na5'], ['Bc2', 'Ne8'], ['h3', 'Bxf3'], ['Qxf3', 'g6'], ['Nd2', 'Ng7'], ['b4', 'Nb7\n'], ['a4', 'Qd7'], ['Qe2', 'c5'], ['dxc6', 'Qxc6'], ['Bb2', 'Ne6'], ['Qf1', 'Nc7'], ['Bb3', 'Bg5'], ['Nf3', 'Bh6\n'], ['Qd3', 'bxa4'], ['Bxa4', 'Qb6'], ['Reb1', 'Ne6'], ['c4', 'Qc7'], ['c5', 'dxc5'], ['Bxe5', 'Qe7'], ['Qd7', 'Qxd7\n'], ['Bxd7', 'cxb4'], ['Bc6', 'Ra7'], ['Rxb4', 'Nbd8'], ['Bd5', 'Nf4'], ['Raa4', 'Rd7'], ['Bxf4', 'Bxf4\n'], ['Rxa6', 'Nb7'], ['g3', 'Bb8'], ['Rb1', 'Nc5'], ['Ra5', 'Bd6'], ['Rd1', 'Rc7'], ['Nd4', 'Rcc8'], ['Nc6', 'Rfe8\n'], ['Na7', 'Rcd8'], ['Bc6', 'Bf8'], ['Rf1', 'Re6'], ['Bd5', 'Ree8'], ['Nc6', 'Rd7'], ['f3', 'Kg7'], ['Nd4', 'Rb8\n'], ['Nc6', 'Re8'], ['Rc1', 'Nd3'], ['Rd1', 'Nb4'], ['Rb1', 'Nxd5'], ['exd5', 'Re2'], ['Rd1', 'Bd6'], ['f4', 'Rb7\n'], ['Nd4', 'Reb2'], ['h4', 'Bb4'], ['Ra4', 'Re7'], ['Rxb4', 'Rxb4'], ['Nc6', 'Rbb7'], ['Nxe7', 'Rxe7'], ['Kf2', 'Kf6\n'], ['Kf3', 'h5'], ['Rd3', 'Kf5'], ['Ra3', 'Rd7'], ['Rd3', 'f6'], ['Ke3', 'g5'], ['fxg5', 'fxg5'], ['hxg5', 'Kxg5\n'], ['Ke4', 'Rd8'], ['d6', 'Kf6'], ['Kd5', '']]",1-0
3rd All-China Games,Suzhou CHN,2006.05.24,7,Liang Chong,Li Chao2,,,A34,"[['c4', 'Nf6'], ['Nc3', 'c5'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['e3', 'O-O'], ['Nge2', 'e5'], ['O-O', 'Nc6'], ['d3', 'd6\n'], ['h3', 'Be6'], ['Nd5', 'Ne8'], ['Rb1', 'Rb8'], ['b3', 'Qd7'], ['Kh2', 'b5'], ['Bb2', 'f5'], ['f4', 'bxc4'], ['dxc4', 'e4\n'], ['Bxg7', 'Qxg7'], ['g4', 'fxg4'], ['Ng3', 'gxh3'], ['Bxe4', 'Ne7'], ['Rg1', 'Kh8'], ['Qe2', 'Nf6'], ['Nxf6', 'Qxf6\n'], ['Rbd1', 'Rbd8'], ['Rd2', 'Rfe8'], ['Qf3', 'Bc8'], ['Bb1', 'Qe6'], ['e4', 'Rf8'], ['Qc3+', 'Qf6'], ['Qxf6+', 'Rxf6\n'], ['Ne2', 'Nc6'], ['Kg3', 'h5'], ['e5', 'Re6'], ['Rgd1', 'g5'], ['Bf5', 'gxf4+'], ['Nxf4', 'Rg8+'], ['Kxh3', 'Rxe5\n'], ['Bxc8', 'Re3+'], ['Kh2', 'Rxc8'], ['Rxd6', 'Nd4'], ['Nxh5', 'Re2+'], ['Kh3', 'Re3+'], ['Kh2', 'Kh7\n'], ['Nf6+', 'Kg7'], ['Nh5+', 'Kf7'], ['Rf1+', 'Ke7'], ['Rh6', 'Nf3+'], ['Kg2', 'Nh4+'], ['Kf2', 'Rc3'], ['Re1+', 'Kd8\n'], ['Nf6', 'Rf3+'], ['Ke2', 'Re3+'], ['Kxe3', 'Nf5+'], ['Ke4', 'Nxh6'], ['Kd5', 'Kc7'], ['Re7+', 'Kb6'], ['Nd7+', 'Ka5\n'], ['Nxc5', 'Kb4'], ['Rb7+', 'Kc3'], ['Rxa7', 'Ng4'], ['Ne4+', 'Kd3'], ['Nc5+', 'Kc3'], ['Na4+', 'Kd3'], ['c5', 'Nf6+\n'], ['Ke6', 'Ne4'], ['Rd7+', 'Ke3'], ['Rd5', 'Re8+'], ['Kf7', 'Rc8'], ['Ke7', 'Kf4'], ['Rh5', 'Kg4'], ['Rd5', 'Rc6\n'], ['Kd7', 'Ra6'], ['Rd4', 'Kf5'], ['c6', 'Nf6+'], ['Ke7', 'Ke5'], ['Rd1', '']]",1-0
3rd All-China Games,Suzhou CHN,2006.05.24,8,Huang Qian,Li Chao2,,,D92,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Bf4', 'Bg7'], ['e3', 'O-O'], ['Rc1', 'c5'], ['dxc5', 'Be6'], ['Nf3', 'Nc6\n'], ['Be2', 'dxc4'], ['O-O', 'h6'], ['Qa4', 'Nd7'], ['Rfd1', 'Qc8'], ['Bxc4', 'Bg4'], ['Be2', 'Nxc5'], ['Qa3', 'Ne6\n'], ['Bg3', 'Kh7'], ['h3', 'Bh5'], ['b4', 'a6'], ['Qb3', 'b5'], ['a4', 'bxa4'], ['Qxa4', 'Qb7'], ['Nd5', 'Rfc8\n'], ['Kf1', 'Ncd4'], ['Rxc8', 'Rxc8'], ['exd4', 'Qxd5'], ['Qxa6', 'Rc2'], ['Be5', 'f6'], ['Bg3', 'Nxd4'], ['Qd3', 'Rxe2\n'], ['Qxe2', 'e5'], ['Qd3', 'f5'], ['Nxd4', 'Bxd1'], ['Qxd1', 'exd4'], ['Qd3', 'Qa2'], ['b5', 'Qa1+'], ['Ke2', 'Qb2+\n'], ['Kf1', 'Qc1+'], ['Ke2', 'f4'], ['Bh2', 'Be5'], ['Kf3', 'Kg7'], ['h4', 'h5'], ['Ke4', 'Kf6'], ['Kf3', 'Qc3\n'], ['Ke4', 'Qc7'], ['Qa3', 'Qb7+'], ['Kd3', 'Qxb5+'], ['Kd2', 'Qb8'], ['f3', 'Bd6'], ['Qa6', 'Qb4+'], ['Kd1', 'Qb3+\n'], ['Kd2', 'Qe6'], ['Kd1', 'Qb3+'], ['Kd2', 'Qb4+'], ['Kd1', 'Kg7'], ['Qd3', 'Qa4+'], ['Qc2', 'Qb5'], ['Qe4', 'd3\n'], ['Bxf4', 'Qb1+'], ['Bc1', 'Qc2+']]",0-1
3rd All-China Games,Suzhou CHN,2006.05.25,9,Li Chao2,Zhou Jianchao,,,B93,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['f4', 'e5'], ['Nf3', 'Nbd7'], ['a4', 'Be7\n'], ['Bd3', 'O-O'], ['O-O', 'Nc5'], ['Kh1', 'd5'], ['Nxe5', 'Ncxe4'], ['Be3', 'Bf5'], ['Bd4', 'Qc7'], ['Qe1', 'Rad8\n'], ['Ne2', 'Ng4'], ['Nf3', 'Bc8'], ['h3', 'Ngf6'], ['b4', 'Bd6'], ['Ne5', 'Qe7'], ['c3', 'Nh5'], ['g4', 'f6\n'], ['Bxe4', 'fxe5'], ['Bxd5+', 'Kh8'], ['fxe5', 'Rxf1+'], ['Qxf1', 'Bxe5'], ['Qf7', 'Qh4'], ['Bxe5', 'Qxh3+\n'], ['Bh2', 'Bxg4'], ['Qe7', 'Bf3+'], ['Bxf3', 'Qxf3+'], ['Kg1', 'Rf8'], ['Nd4', 'Qf2+'], ['Kh1', 'Kg8'], ['Rg1', 'Qd2\n'], ['Be5', 'Qh6'], ['Qe6+', 'Qxe6'], ['Nxe6', 'Rf5'], ['Nxg7', 'Rxe5'], ['Nxh5+', 'Kf8'], ['Nf4', 'Re3\n'], ['Nd5', 'Rh3+'], ['Kg2', 'Rd3'], ['Rf1+', 'Kg7'], ['Rf5', 'Rd2+'], ['Kf3', 'Kg6'], ['Ne7+', 'Kg7']]",1-0
3rd All-China Games,Suzhou CHN,2006.05.25,10,Wu Wenjin,Li Chao2,,,A30,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['Nc3', 'e6'], ['g3', 'b6'], ['Bg2', 'Bb7'], ['O-O', 'Be7'], ['d4', 'cxd4'], ['Qxd4', 'd6\n'], ['Bg5', 'h6'], ['Bxf6', 'Bxf6'], ['Qd3', 'a6'], ['Rfd1', 'Be7'], ['Ne1', 'Bxg2'], ['Nxg2', 'O-O'], ['Nf4', 'Nd7\n'], ['b3', 'Nc5'], ['Qe3', 'Re8'], ['Qf3', 'Qb8'], ['Qg4', 'Kh7'], ['Qf3', 'Kg8'], ['Nd3', 'Nxd3'], ['Qxd3', 'Rd8\n'], ['a4', 'Qc7'], ['Rac1', 'Rac8'], ['h4', 'Qc5'], ['Qb1', 'Qb4'], ['Rd3', 'Bf6'], ['Ne4', 'Be5'], ['f4', 'd5\n'], ['Nf2', 'Bf6'], ['cxd5', 'Rxc1+'], ['Qxc1', 'exd5'], ['Qd1', 'Bb2'], ['Rxd5', 'Rxd5'], ['Qxd5', 'Qe1+\n'], ['Kg2', 'Qxe2'], ['Qd8+', 'Kh7'], ['Qxb6', 'g6'], ['Qd6', 'a5'], ['Qd3', 'Qe6'], ['Qc4', 'Qd7'], ['Qd3', 'Qb7+\n'], ['Kh2', 'Kg7'], ['Nd1', 'Bf6'], ['Ne3', 'Qb6'], ['Kg2', 'Qc5'], ['Nc4', 'Qc6+'], ['Qf3', 'Qd7'], ['h5', 'Kh7\n'], ['hxg6+', 'fxg6'], ['Kf1', 'Qh3+'], ['Ke2', 'Qe6+'], ['Qe3', 'Qd5'], ['Qf3', 'Qe6+'], ['Kd3', 'Qd7+\n'], ['Kc2', 'Qd4'], ['g4', 'Qa1'], ['f5', 'gxf5'], ['Qxf5+', 'Kg7'], ['Qd7+', 'Kg8'], ['Qd5+', 'Kg7'], ['Nd6', 'Qb2+\n'], ['Kd3', 'Qc3+'], ['Ke4', 'Qc2+'], ['Qd3', 'Qg2+'], ['Kf5', 'Bb2'], ['Qe4', 'Qf2+'], ['Ke6', 'Qb6'], ['Qf3', 'Ba3\n'], ['Qf6+', 'Kh7'], ['Qe7+', 'Kg8'], ['Qe8+', 'Kg7'], ['Qd7+', 'Kg6'], ['Qf7+', 'Kg5'], ['Qh5+', 'Kf4'], ['Qxh6+', 'Kxg4\n'], ['Qg6+', 'Kh4'], ['Kd7', 'Qa7+'], ['Kc6', 'Qc5+'], ['Kd7', 'Qa7+'], ['Ke6', 'Qb6'], ['Qe4+', 'Kg3'], ['Qe5+', 'Kf2\n'], ['Kd7', 'Qxb3'], ['Qxa5', 'Qh3+'], ['Kc6', 'Bxd6'], ['Qd2+', 'Kf1'], ['Qd1+', 'Kf2'], ['Qxd6', 'Qc8+\n'], ['Kb6', 'Qh8'], ['a5', 'Qb2+'], ['Kc6', 'Qa1'], ['Kb6', 'Qb1+'], ['Kc7', 'Qh7+'], ['Kb8', 'Qg8+'], ['Kb7', 'Qf7+\n'], ['Kc6', 'Qf3+'], ['Qd5', 'Qf6+'], ['Kc7', 'Qc3+'], ['Kb7', 'Qb2+'], ['Ka7', 'Kg3'], ['a6', 'Kh4'], ['Qb7', 'Qd4+\n'], ['Qb6', 'Qd7+'], ['Kb8', 'Qe8+'], ['Kc7', 'Qf7+'], ['Kc8', 'Qc4+'], ['Kb7', 'Qf7+'], ['Kc8', 'Qc4+\n'], ['Kd7', 'Qf7+'], ['Kd6', 'Qf6+'], ['Kc7', 'Qf7+'], ['Kb8', 'Qe8+'], ['Kb7', 'Qf7+'], ['Qc7', 'Qb3+\n'], ['Ka7', 'Qe3+'], ['Qb6', 'Qe7+'], ['Qb7', 'Qe3+'], ['Kb8', 'Qe8+'], ['Kc7', 'Qe7+'], ['Kc6', 'Qe4+\n'], ['Kd6', 'Qg6+'], ['Ke5', 'Qg5+'], ['Ke4', 'Qg4+'], ['Ke3', 'Qg5+'], ['Kf2', 'Qd2+'], ['Kf3', 'Qd3+\n'], ['Kf4', 'Qg3+'], ['Kf5', 'Qg5+'], ['Ke6', 'Qg6+'], ['Ke7', '']]",1/2-1/2
