Stubnanske Teplice,Stubnanske Teplice,1930.??.??,?,"Regedzinski, Teodor","Lilienthal, Andor",,,A30,"[['c4', 'Nf6'], ['g3', 'c5'], ['Nf3', 'b6'], ['Bg2', 'Bb7'], ['O-O', 'g6'], ['d3', 'Bg7'], ['e4', 'O-O'], ['Nc3', 'd6'], ['Be3', 'Nbd7\n'], ['Ne1', 'Ne8'], ['Qd2', 'Nc7'], ['Bh6', 'Ne6'], ['Bxg7', 'Kxg7'], ['Nc2', 'Ne5'], ['f4', 'Nc6'], ['f5', 'Ned4\n'], ['Ne3', 'Ne5'], ['Rf2', 'f6'], ['Ne2', 'Nxe2+'], ['Qxe2', 'g5'], ['Bf3', 'Bc6'], ['h4', 'h6'], ['Rh2', 'Qd7\n'], ['Kf2', 'b5'], ['b3', 'a5'], ['Rah1', 'Rh8'], ['Bh5', 'bxc4'], ['Nxc4', 'Nxc4'], ['bxc4', 'Rab8'], ['Bg6', 'Qb7\n'], ['hxg5', 'fxg5'], ['Ke3', 'e6'], ['Qe1', 'a4'], ['Qa1+', 'e5'], ['Bh5', 'Rhf8'], ['Bg4', 'Rf6'], ['Qc1', 'Be8\n'], ['Kf3', 'Bf7'], ['Rxh6', 'Rxh6'], ['Qxg5+', 'Rg6'], ['fxg6', 'Bg8'], ['Ke3', '']]",1-0
Stubnanske Teplice,Stubnanske Teplice,1930.??.??,?,"Lilienthal, Andor","Steiner, H.",,,A81,"[['Nf3', 'f5'], ['d4', 'Nf6'], ['g3', 'e6'], ['Bg2', 'd5'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['Nc3', 'c5'], ['e3', 'Nc6\n'], ['O-O', 'g5'], ['Nb5', 'Qf7'], ['c4', 'dxc4'], ['Ne5', 'Nxe5'], ['dxe5', 'a6'], ['Qa4', 'axb5'], ['Qxa8', 'Qc7\n'], ['Qa3', 'Qxe5'], ['Qa5', 'Bd7'], ['Qa8+', 'Ke7'], ['Qxb7', 'Ke8'], ['Rad1', 'Bd6'], ['Rxd6', '']]",1-0
Stubnanske Teplice,Stubnanske Teplice,1930.??.??,?,"Lilienthal, Andor","May, Desider",,,C13,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['e5', 'Nfd7'], ['h4', 'f6'], ['Bd3', 'fxg5'], ['Qh5+', 'g6\n'], ['Bxg6+', 'hxg6'], ['Qxh8+', 'Nf8'], ['hxg5', 'c5'], ['O-O-O', 'cxd4'], ['Rxd4', 'Bxg5+'], ['Kb1', 'Nc6\n'], ['Rd3', 'Be7'], ['Rh7', 'a6'], ['Rf3', 'Nxe5'], ['Rxf8+', 'Bxf8'], ['Qxe5', 'Qd6'], ['Qf6', 'Be7'], ['Qf7+', 'Kd7\n'], ['Na4', 'b5'], ['Nb6+', 'Qxb6'], ['Qxe7+', 'Kc6'], ['Nf3', 'd4'], ['Ne5+', 'Kd5'], ['Qg5', 'Kd6'], ['Nf7+', 'Kc6\n'], ['Nd8+', 'Kd6'], ['Qf4+', 'e5'], ['Qf6+', 'Kc5'], ['b4+', '']]",1-0
Stubnanske Teplice,Stubnanske Teplice,1930.??.??,?,"Pirc, Vasja","Lilienthal, Andor",,,E16,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'Bb4+'], ['Bd2', 'Bxd2+'], ['Nbxd2', 'd6'], ['O-O', 'Nbd7\n'], ['Qc2', 'Qe7'], ['e4', 'e5'], ['Nh4', 'g6'], ['f4', 'O-O'], ['Rae1', 'Rab8'], ['Qc3', 'exf4'], ['Rxf4', 'Nh5\n'], ['Rff1', 'a5'], ['Qe3', 'Rbe8'], ['Qh6', 'Ndf6'], ['Bf3', 'Bc8'], ['Kg2', 'Ng4'], ['Bxg4', 'Bxg4'], ['h3', 'Bc8\n'], ['e5', 'dxe5'], ['dxe5', 'Qc5'], ['g4', 'Bb7+'], ['Ndf3', 'Qxc4'], ['Nf5', 'Qf4'], ['gxh5', 'Qxf5'], ['Kg3', 'Bxf3\n'], ['Rxf3', 'Qxh5'], ['Qxh5', 'gxh5'], ['Kh4', 'Re6'], ['Kxh5', 'Rfe8'], ['Rf5', 'Rg6'], ['Rg5', 'Rxg5+\n'], ['Kxg5', 'Re6'], ['Kf5', 'Kf8'], ['Rc1', 'c6'], ['h4', 'Ke7'], ['h5', 'f6'], ['exf6+', 'Rxf6+'], ['Ke5', 'Rh6\n'], ['Rh1', 'Re6+'], ['Kf5', 'Re2'], ['Rb1', 'Rg2'], ['h6', 'a4'], ['a3', 'Rg6'], ['Rh1', 'Kd6'], ['Ke4', 'Rg2\n'], ['Kf5', 'Rxb2'], ['Rg1', 'Rf2+'], ['Kg5', 'Rf7'], ['Rd1+', 'Kc7'], ['Kh5', 'b5'], ['Rg1', 'c5'], ['Rg7', 'Rd7\n'], ['Kg5', 'b4'], ['Kf6', 'Kd6'], ['axb4', 'cxb4'], ['Rg4', 'Rb7']]",0-1
HUN-ch,Budapest,1931.??.??,1,"Lilienthal, Andor","Szekely, Jeno",,,D43,"[['d4', 'Nf6'], ['Nf3', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['Bg5', 'Qa5'], ['Bxf6', 'gxf6'], ['e3', 'Bb4'], ['Qc2', 'Nd7\n'], ['cxd5', 'cxd5'], ['a3', 'Bxc3+'], ['Qxc3', 'Qxc3+'], ['bxc3', 'Nb6'], ['a4', 'Bd7'], ['a5', 'Na4'], ['c4', 'dxc4\n'], ['Bxc4', 'Rc8'], ['Bd3', 'Nb2'], ['Kd2', 'Rg8'], ['g3', 'Nxd3'], ['Kxd3', 'Bc6'], ['Rhc1', 'Ke7'], ['Nh4', 'Rg5\n'], ['Kd2', 'Rb5'], ['Ra2', 'Rd8'], ['a6', 'Bd5'], ['Raa1', 'Rb2+'], ['Rc2', 'Rxc2+'], ['Kxc2', 'Rc8+'], ['Kd2', 'b5\n'], ['f3', 'f5'], ['Kd3', 'b4'], ['e4', 'fxe4+'], ['fxe4', 'Rc3+'], ['Kd2', 'Bxe4'], ['Rc1', 'Rxc1'], ['Kxc1', 'Kd6']]",0-1
HUN-ch,Budapest,1931.??.??,2,"Steiner, Lajos","Lilienthal, Andor",,,C14,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['e5', 'Nfd7'], ['Bxe7', 'Qxe7'], ['Qd2', 'a6'], ['Nd1', 'c5\n'], ['c3', 'Nc6'], ['f4', 'b5'], ['Nf3', 'Rb8'], ['Bd3', 'a5'], ['O-O', 'b4'], ['f5', 'bxc3'], ['bxc3', 'cxd4\n'], ['cxd4', 'Nb4'], ['Bb1', 'Nb6'], ['fxe6', 'Bxe6'], ['Ng5', 'h6'], ['Nxe6', 'Qxe6'], ['Bf5', 'Qc6'], ['a3', 'Nc4\n'], ['Qe2', 'Na6'], ['e6', 'O-O'], ['exf7+', 'Kh8'], ['Bc2', 'Nd6'], ['Bd3', 'Nc7'], ['Qe7', 'Qb6'], ['Kh1', 'Qxd4\n'], ['Qxd6', 'Qxd3'], ['Nf2', 'Qc4'], ['Rac1', 'Nb5'], ['Qxb8', 'Qxf1+'], ['Rxf1', 'Rxb8'], ['Ng4', 'Rf8\n'], ['Ne5', 'g5'], ['Ng6+', 'Kg7'], ['Nxf8', 'Kxf8'], ['Rf3', 'Nd6'], ['Rd3', 'Nc4'], ['Rxd5', 'a4'], ['Rd4', 'Nxa3\n'], ['Rxa4', 'Nb5'], ['Ra6', '']]",1-0
HUN-ch,Budapest,1931.??.??,3,"Lilienthal, Andor","Negyesy, Gyorgy",,,D41,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'e6'], ['Nc3', 'c5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'cxd4'], ['Bb5+', 'Bd7\n'], ['Bxd7+', 'Nxd7'], ['cxd4', 'Bb4+'], ['Bd2', 'Bxd2+'], ['Qxd2', 'Nf6'], ['e5', 'Nd5'], ['O-O', 'O-O'], ['Rab1', 'Qd7\n'], ['Ng5', 'Ne7'], ['Ne4', 'Nf5'], ['Rfd1', 'Rfd8'], ['Qg5', 'Kh8'], ['d5', 'Rac8'], ['d6', 'Rc4'], ['Rxb7', 'Qc8\n'], ['d7', 'Qa8'], ['Qxd8+', 'Qxd8'], ['Rb8', '']]",1-0
HUN-ch,Budapest,1931.??.??,4,"Michlo, Jozsef","Lilienthal, Andor",,,D36,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Nbd7'], ['Bg5', 'c6'], ['cxd5', 'exd5'], ['e3', 'Be7'], ['Bd3', 'O-O\n'], ['Qc2', 'Re8'], ['Bxf6', 'Nxf6'], ['Ne5', 'Bd6'], ['f4', 'c5'], ['O-O', 'a6'], ['Rf3', 'b5'], ['Qf2', 'c4\n'], ['Bc2', 'b4'], ['Ne2', 'Qa5'], ['b3', 'cxb3'], ['Bxb3', 'Bg4'], ['Nxg4', 'Nxg4'], ['Qg3', 'Nf6'], ['Qg5', 'Bf8\n'], ['Ng3', 'h6'], ['Qf5', 'Qb6'], ['Bxd5', 'Rad8'], ['Bb3', 'Rxd4'], ['Qg6', 'Rd7'], ['Nf5', 'Kh8'], ['Bxf7', 'Red8\n'], ['Bb3', 'Nd5'], ['Qxb6', 'Nxb6'], ['Nd4', 'Re8'], ['Rc1', 'a5'], ['Rc6', 'Rd6'], ['Rxd6', 'Bxd6'], ['Be6', 'Bc5\n'], ['f5', 'a4'], ['Rf1', 'Rd8'], ['Rc1', 'Nd7'], ['Kf2', 'Nf6'], ['Nc6', 'Rd3'], ['Nd4', 'Bxd4'], ['exd4', 'Rxd4\n'], ['Rc8+', 'Kh7'], ['Ke3', 'Rh4'], ['h3', 'Re4+'], ['Kf3', 'h5'], ['g3', 'h4'], ['g4', 'Kh6'], ['Ra8', 'a3\n'], ['Ra7', 'Rd4'], ['g5+', 'Kxg5'], ['Rxg7+', 'Kh5'], ['Rg6', 'Nd5'], ['Rg4', 'Rd2'], ['Bf7+', 'Kh6'], ['Rxh4+', 'Kg5\n'], ['Rh5+', 'Kf6'], ['Bxd5', 'Rxd5'], ['Ke4', 'Rd2'], ['Rh6+', 'Kg7'], ['Rb6', 'Rxa2'], ['Rxb4', 'Ra1'], ['Rb7+', 'Kh6\n'], ['Rb6+', 'Kh5'], ['Ra6', 'a2'], ['Ke5', 'Re1+'], ['Kf6', 'a1=Q+'], ['Rxa1', 'Rxa1'], ['h4', 'Ra7'], ['Ke6', 'Kh6\n'], ['Kf6', 'Kh7'], ['Kg5', 'Ra6'], ['Kh5', 'Kg7'], ['Kg5', 'Rh6'], ['h5', 'Ra6'], ['Kf4', 'Kf6']]",0-1
HUN-ch,Budapest,1931.??.??,5,"Lilienthal, Andor","Gruber, Sandor",,,D52,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['c4', 'd5'], ['Nc3', 'Nbd7'], ['Bg5', 'Be7'], ['e3', 'c6'], ['Rc1', 'Ne4'], ['Bxe7', 'Qxe7\n'], ['Qc2', 'f5'], ['Bd3', 'O-O'], ['O-O', 'Rf6'], ['Ne2', 'Rh6'], ['Ng3', 'g5'], ['cxd5', 'cxd5'], ['Ne5', 'g4\n'], ['Bxe4', 'Qh4'], ['Qxc8+', 'Rxc8'], ['Rxc8+', 'Nf8'], ['Rfc1', 'Qxh2+'], ['Kf1', 'Rf6'], ['Bd3', 'h5\n'], ['R1c7', 'Qh4'], ['Rxb7', 'Qg5'], ['Rcc7', 'Qh6'], ['Rg7+', 'Kh8'], ['Nf7+', 'Rxf7'], ['Rgxf7', 'h4\n'], ['Rb8', '']]",1-0
HUN-ch,Budapest,1931.??.??,6,"Maroczy, Geza","Lilienthal, Andor",,,C66,"[['e4', 'Nc6'], ['Nc3', 'e5'], ['Nf3', 'Be7'], ['d4', 'd6'], ['Bb5', 'exd4'], ['Nxd4', 'Bd7'], ['O-O', 'Nf6'], ['Bxc6', 'bxc6\n'], ['Qd3', 'O-O'], ['Bg5', 'Re8'], ['f4', 'h6'], ['Bxf6', 'Bxf6'], ['Rae1', 'Qb8'], ['Nf3', 'Qb6+'], ['Kh1', 'Bc8\n'], ['Na4', 'Qb5'], ['Qxb5', 'cxb5'], ['e5', 'bxa4'], ['exf6', 'Ba6'], ['Rxe8+', 'Rxe8'], ['Re1', 'Rxe1+\n'], ['Nxe1', 'gxf6'], ['Kg1', 'Bc4'], ['a3', 'f5'], ['Nf3', 'c5'], ['Nd2', 'Bd5'], ['Kf2', 'Kf8'], ['g3', 'Ke7\n'], ['Ke3', 'h5'], ['c4', 'Bc6'], ['Nb1', 'a6'], ['Nc3', 'Ke6'], ['Kd3', 'h4'], ['gxh4', 'Kf6'], ['Ke3', '']]",1/2-1/2
