WchT U26,Dresden,1969.??.??,?,"Aijala, Jouko","Ljubojevic, Ljubomir",,,B79,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bc4', 'Bd7'], ['Bb3', 'g6'], ['f3', 'Bg7\n'], ['Be3', 'Qa5'], ['Qd2', 'O-O'], ['O-O-O', 'Rfc8'], ['h4', 'Ne5'], ['g4', 'b5'], ['h5', 'Nc4'], ['Bxc4', 'bxc4\n'], ['hxg6', 'fxg6'], ['Qh2', 'Rab8'], ['Nd5', 'c3'], ['Nxf6+', 'exf6'], ['Qxh7+', 'Kf7'], ['Nf5', 'gxf5\n'], ['Rxd6', 'cxb2+'], ['Kb1', 'Qa4'], ['Rd2', 'Rh8']]",0-1
JUG-24ch,Novi Travnik,1969.??.??,1,"Ljubojevic, Ljubomir","Matanovic, Aleksandar",,,A00,"[['b4', 'Nf6'], ['Bb2', 'e6'], ['a3', 'a5'], ['b5', 'c5'], ['e3', 'b6'], ['f4', 'd5'], ['Nf3', 'Nbd7'], ['Nc3', 'Bd6'], ['Ne2', 'Qc7\n'], ['g3', 'Bb7'], ['Bg2', 'O-O'], ['O-O', 'Rac8'], ['h3', 'Rfe8'], ['g4', 'e5'], ['fxe5', 'Nxe5'], ['Nh4', 'Ned7\n'], ['Nf4', 'Be5'], ['Bxe5', 'Nxe5'], ['Nf5', 'g6'], ['g5', 'Ne4'], ['Nh6+', 'Kg7'], ['d4', 'Nxg5'], ['dxe5', 'Kxh6\n'], ['h4', 'Ne4'], ['Nxd5', 'Qxe5'], ['Nxb6', 'Nc3'], ['Qd2', 'Rcd8'], ['Qf2', 'Bxg2'], ['Kxg2', 'Rb8']]",0-1
JUG-24ch,Novi Travnik,1969.??.??,2,"Nicevski, Risto","Ljubojevic, Ljubomir",,,B56,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e5'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Qxd7'], ['Nde2', 'Qc6\n'], ['Ng3', 'Nbd7'], ['Bg5', 'Rc8'], ['O-O', 'g6'], ['Qf3', 'Bg7'], ['Rfd1', 'O-O'], ['Nf1', 'h6'], ['Bxf6', 'Nxf6\n'], ['Ne3', 'Rce8'], ['Rd3', 'Re6'], ['Rad1', 'h5'], ['b3', 'Ne8'], ['a4', 'f5'], ['Nc4', 'a6'], ['a5', 'Bh6\n'], ['Qe2', 'Rf7'], ['exf5', 'gxf5'], ['Rg3+', 'Bg7'], ['Qxh5', 'f4'], ['Rg6', 'Rxg6'], ['Qxg6', 'd5'], ['Qxc6', 'bxc6\n'], ['Nb6', 'Nc7'], ['Ne2', 'f3'], ['Ng3', 'Ne6'], ['c4', 'd4'], ['Ne4', 'Bh6'], ['g3', 'Ng5'], ['Nd6', 'Rf6\n'], ['c5', 'Bf8'], ['Nbc4', 'Ne6'], ['b4', 'Nc7'], ['Nxe5', 'Bxd6'], ['cxd6', 'Rxd6'], ['Nxf3', 'Ne6'], ['Kf1', 'Kf7\n'], ['Ke2', 'Rd5'], ['Rc1', 'c5'], ['bxc5', 'd3+'], ['Ke3', 'Nxc5'], ['Rc3', 'Ke6'], ['g4', 'Kd6'], ['h4', 'Kc6\n'], ['h5', 'Kb5'], ['h6', 'Rd7'], ['g5', 'Re7+'], ['Kd4', 'Rd7+'], ['Ke5', 'd2'], ['Nxd2', 'Rxd2'], ['h7', 'Rd8\n'], ['Rxc5+', 'Kxc5'], ['g6', '']]",1-0
JUG-24ch,Novi Travnik,1969.??.??,3,"Ljubojevic, Ljubomir","Puc, Stojan",,,C00,"[['e4', 'e6'], ['d3', 'd5'], ['Nd2', 'c5'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['Ne2', 'Bg7'], ['O-O', 'Nge7'], ['c3', 'O-O\n'], ['f4', 'e5'], ['h3', 'Kh8'], ['fxe5', 'Nxe5'], ['d4', 'Nd3'], ['dxc5', 'Nxc5'], ['exd5', 'Nxd5'], ['Nf3', 'Ne6\n'], ['Kh2', 'Qa5'], ['Ned4', 'Nxd4'], ['Nxd4', 'Ne7'], ['Bf4', 'Nf5'], ['Nxf5', 'Bxf5'], ['Qd5', 'Qxd5'], ['Bxd5', 'Rae8\n'], ['Rf2', 'Be4'], ['Rd1', 'Bxd5'], ['Rxd5', 'Re7'], ['Rfd2', 'Rfe8'], ['Rd8', 'h6'], ['Kg2', 'g5'], ['Rxe8+', 'Rxe8\n'], ['Bc7', 'Bf6'], ['Kf3', 'Kg7'], ['g4', 'Re6'], ['Bb8', 'a6'], ['c4', 'Kg6'], ['b3', 'Be7'], ['Rd5', 'h5'], ['Be5', 'hxg4+\n'], ['hxg4', '']]",1/2-1/2
JUG-24ch,Novi Travnik,1969.??.??,4,"Ivanovic, Bozidar","Ljubojevic, Ljubomir",,,A42,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nf3', 'd6'], ['c4', 'Nd7'], ['Be2', 'e5'], ['O-O', 'Ne7'], ['Nc3', 'O-O'], ['Rb1', 'h6\n'], ['Re1', 'f5'], ['exf5', 'gxf5'], ['dxe5', 'dxe5'], ['c5', 'Nc6'], ['Bc4+', 'Kh7'], ['h4', 'Rf6'], ['Nd5', 'Rg6\n'], ['h5', 'Rg4'], ['Ne3', 'Rxc4'], ['Nxc4', 'e4'], ['Nh2', 'Qg8'], ['Ne3', 'Nxc5'], ['Qd5', 'Qf8'], ['b4', 'Nd3\n'], ['Rd1', 'Nd4'], ['Rxd3', 'exd3'], ['Qc4', 'Qd6'], ['Kh1', 'f4'], ['Qxd3+', 'Kh8'], ['Nc4', 'Qd5'], ['Rb2', 'Bf5\n'], ['Qf1', 'Ne6'], ['Rd2', 'Qb5'], ['a3', 'a5'], ['Nxa5', 'Qb6'], ['Bb2', 'Bxb2'], ['Rxb2', 'Qd4'], ['Qc1', 'Rd8\n'], ['Nf3', 'Qd5'], ['Nc4', 'Be4'], ['Nce5', 'Bxf3'], ['Nxf3', 'Qxh5+'], ['Kg1', 'Rg8'], ['Qc3+', '']]",1/2-1/2
JUG-24ch,Novi Travnik,1969.??.??,5,"Ljubojevic, Ljubomir","Rakic, Tomislav",,,B06,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nf3', 'd6'], ['Bc4', 'e6'], ['O-O', 'Nd7'], ['c3', 'a6'], ['Re1', 'Ne7'], ['Nbd2', 'O-O\n'], ['Nf1', 'b5'], ['Bb3', 'Bb7'], ['h4', 'c5'], ['h5', 'cxd4'], ['cxd4', 'e5'], ['Bg5', 'exd4'], ['hxg6', 'hxg6\n'], ['N1h2', 'Nf6'], ['Qd2', 'd5'], ['e5', 'Ne4'], ['Rxe4', 'dxe4'], ['Ng4', 'Qd7'], ['Nf6+', 'Bxf6'], ['Bxf6', 'e3\n'], ['fxe3', 'Nf5'], ['exd4', 'Bxf3'], ['gxf3', 'Qxd4+'], ['Qxd4', 'Nxd4'], ['Kf2', '']]",1-0
JUG-24ch,Novi Travnik,1969.??.??,6,"Ostojic, Predrag","Ljubojevic, Ljubomir",,,B06,"[['e4', 'g6'], ['d4', 'Bg7'], ['c3', 'Nf6'], ['e5', 'Nd5'], ['f4', 'd6'], ['Nf3', 'Bf5'], ['Bc4', 'Nb6'], ['Bb3', 'e6'], ['a4', 'N8d7\n'], ['O-O', 'd5'], ['a5', 'Nc8'], ['Be3', 'Bf8'], ['Qe2', 'Ne7'], ['Nbd2', 'Rc8'], ['h3', 'h5'], ['Ba4', 'Ng8\n'], ['Ng5', 'Nh6'], ['a6', 'b6'], ['Bc6', 'f6'], ['exf6', 'Qxf6'], ['Bf2', 'Bd6'], ['Bh4', 'Qe7'], ['Qb5', 'Rd8\n'], ['Rae1', 'O-O'], ['Bxd5', 'Kh8'], ['Bxe6', 'Qg7'], ['Nde4', 'Be7'], ['Ng3', 'Rf6'], ['Nxf5', 'Nxf5'], ['Bxf5', 'Rxf5\n'], ['Qc4', 'Nf8'], ['Qxc7', 'Rd7'], ['Qc8', 'Bxg5'], ['Bxg5', 'Kh7'], ['Re5', '']]",1-0
JUG-24ch,Novi Travnik,1969.??.??,7,"Ljubojevic, Ljubomir","Deze, Anton",,,B27,"[['e4', 'c5'], ['Nf3', 'g6'], ['d4', 'cxd4'], ['Qxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Qa4', 'd6'], ['e5', 'Ng4'], ['exd6', 'Bg7\n'], ['h3', 'Ne5'], ['Nxe5', 'Bxe5'], ['dxe7', 'Qxe7'], ['Be3', 'O-O'], ['Nd5', 'Qd8'], ['O-O-O', 'Be6'], ['Nf4', 'Bxb2+\n'], ['Kxb2', 'Qxd1'], ['g4', 'Rac8'], ['Bg2', 'Qd6'], ['Nxe6', 'fxe6'], ['c3', 'Rfd8'], ['Ka1', 'Qe5'], ['Rc1', 'b5\n'], ['Qe4', 'b4'], ['f4', 'Qxe4'], ['Bxe4', 'Na5'], ['cxb4', 'Rxc1+'], ['Bxc1', 'Rd4'], ['Bf3', 'Rxb4'], ['Bd2', 'Ra4\n'], ['f5', 'Nb3+']]",0-1
JUG-24ch+,Novi Travnik,1969.??.??,8,"Ciric, Dragoljub M","Ljubojevic, Ljubomir",,,B06,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nf3', 'd6'], ['Nc3', 'Nd7'], ['Be2', 'e5'], ['Bg5', 'f6'], ['Be3', 'Nh6'], ['dxe5', 'dxe5\n'], ['h3', 'Nf7'], ['g4', 'c6'], ['Nd2', 'Qe7'], ['Nb3', 'Ng5'], ['Qd2', 'Ne6'], ['O-O-O', 'a5'], ['a4', 'Qb4\n'], ['Qd6', 'Nd4'], ['Qc7', 'Ne6']]",1/2-1/2
JUG-24ch,Novi Travnik,1969.??.??,9,"Ljubojevic, Ljubomir","Planinc, Albin",,,B01,"[['e4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qa5'], ['Nf3', 'Nf6'], ['d4', 'c6'], ['Bd3', 'Bg4'], ['h3', 'Bh5'], ['Bf4', 'Nbd7\n'], ['Qd2', 'Bxf3'], ['gxf3', 'O-O-O'], ['O-O-O', 'e6'], ['a3', 'Nb6'], ['Ne2', 'Qa4'], ['c3', 'Nfd5'], ['Bg3', 'c5\n'], ['dxc5', 'Bxc5'], ['Qc2', 'Qxc2+'], ['Kxc2', 'a6'], ['c4', 'Nc7'], ['b4', 'Be7'], ['Nc3', 'Rd7'], ['Kb3', 'Rhd8\n'], ['Bc2', 'Rd4'], ['c5', 'Nc4'], ['Ne4', 'Nd2+'], ['Rxd2', 'Rxd2'], ['Nxd2', 'Rxd2'], ['Rd1', 'Rxd1'], ['Bxd1', 'Nd5\n'], ['Kc4', 'f5'], ['Be5', 'Bf6'], ['Bd6', 'Bh4'], ['f4', 'Bxf2'], ['Bf3', 'Nf6'], ['Be5', 'Bg3'], ['a4', 'Nd7\n'], ['Bd6', 'g5'], ['fxg5', 'Bxd6'], ['cxd6', 'Ne5+']]",0-1
JUG-24ch,Novi Travnik,1969.??.??,10,"Parma, Bruno","Ljubojevic, Ljubomir",,,B94,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'Nbd7'], ['Bc4', 'h6'], ['Bxf6', 'Nxf6\n'], ['Qe2', 'Qa5'], ['Bb3', 'e6'], ['f4', 'e5'], ['Nf5', 'g6'], ['fxe5', 'Qxe5'], ['Ne3', 'Bg7'], ['Nc4', 'Qc5\n'], ['Na4', 'Qc7'], ['Nab6', 'Rb8'], ['Qd3', 'Be6'], ['O-O-O', 'Rd8'], ['Nxd6+', 'Kf8'], ['Bxe6', 'Qxb6\n'], ['Qa3', 'Kg8'], ['Bxf7+', 'Kh7'], ['e5', 'Ng4'], ['Bxg6+', 'Kxg6'], ['Qd3+', 'Kh5'], ['Qf5+', 'Kh4'], ['g3+', '']]",1-0
