URS-chT,Riga,1975.??.??,?,"Velibekov, A.","Lputian, Smbat G",,,C06,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nf6'], ['e5', 'Nfd7'], ['Bd3', 'c5'], ['c3', 'Nc6'], ['Ne2', 'cxd4'], ['cxd4', 'f6\n'], ['exf6', 'Qxf6'], ['Nf3', 'Bd6'], ['O-O', 'O-O'], ['Bg5', 'Qf7'], ['Bh4', 'h6'], ['Bg3', 'Bxg3'], ['hxg3', 'e5\n'], ['dxe5', 'Ndxe5'], ['Nxe5', 'Nxe5'], ['Bc2', 'b6'], ['Nf4', 'Bb7'], ['Re1', 'Rae8'], ['f3', 'g5'], ['Rxe5', 'Rxe5\n'], ['Ng6', 'Rfe8'], ['Nxe5', 'Rxe5'], ['Qd3', 'Bc8'], ['g4', 'Bb7'], ['a4', 'Qe7'], ['Qg6+', 'Qg7'], ['Qd6', 'Qe7\n'], ['Qg6+', 'Qg7'], ['Qd3', 'Qc7'], ['Kf2', 'Ba6'], ['Qxa6', 'Qc5+'], ['Kg3', 'Qxc2'], ['Qxa7', 'Re2'], ['Qb8+', 'Kg7\n'], ['Kh3', 'Qxb2'], ['Qc7+', 'Kg6'], ['Rc1', 'Qf6'], ['Qc8', 'Kh7'], ['Rc6', 'Qf7'], ['Qd8', 'Re8'], ['Qd6', 'Kh8\n'], ['Rxb6', 'h5'], ['Qh6+', 'Qh7'], ['gxh5', 'Qxh6'], ['Rxh6+', 'Kg7'], ['Rd6', 'Ra8'], ['Rxd5', 'Kh6'], ['a5', 'Rf8\n'], ['Rd6+', '']]",1-0
URS-chT,Riga,1975.??.??,?,"Lputian, Smbat G",Ballyev,,,E11,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'Bb4+'], ['Nbd2', 'd5'], ['e3', 'O-O'], ['Bd3', 'Nbd7'], ['O-O', 'c5'], ['Qe2', 'cxd4\n'], ['exd4', 'Re8'], ['Ne5', 'Nf8'], ['Ndf3', 'Be7'], ['Ng5', 'dxc4'], ['Bxc4', 'Qxd4'], ['Ngxf7', 'Ng6'], ['Be3', 'Qh4\n'], ['g3', 'Qh5'], ['Qxh5', 'Nxh5'], ['Nxg6', 'Kxf7'], ['Nxe7', 'Rxe7'], ['f4', 'a6'], ['f5', 'Ke8'], ['g4', 'exf5\n'], ['Bc5', 'Re4'], ['Rae1', 'Nf6'], ['gxf5', 'Kd7'], ['Rxe4', 'Nxe4'], ['Bf8', 'Kc6'], ['Bxg7', 'Nd2'], ['f6', 'Nxc4\n'], ['f7', 'Be6'], ['f8=Q', 'Rxf8'], ['Rxf8', 'h5'], ['Rh8', 'Bg4'], ['Kf2', 'Nd6'], ['b3', 'Kd5'], ['h3', 'Bxh3\n'], ['Rxh5+', 'Bf5'], ['Bf8', 'Ne4+'], ['Ke3', 'Ke5'], ['Bg7+', 'Ke6'], ['Kf4', 'Bg6'], ['Rh6', 'Kf7'], ['Rxg6', 'Kxg6\n'], ['Kxe4', 'Kxg7'], ['Kd4', 'b6'], ['Kd5', '']]",1-0
URS-chT,Riga,1975.??.??,?,"Lputian, Smbat G","Gulko, Boris F",,,A48,"[['d4', 'Nf6'], ['Nf3', 'c5'], ['e3', 'g6'], ['Be2', 'Bg7'], ['O-O', 'O-O'], ['Nbd2', 'b6'], ['c3', 'Bb7'], ['b3', 'd6\n'], ['Bb2', 'Nbd7'], ['Qc2', 'Rc8'], ['Rad1', 'cxd4'], ['Nxd4', 'a6'], ['Qb1', 'e5'], ['Nc2', 'b5'], ['c4', 'Qb6\n'], ['cxb5', 'axb5'], ['Na3', 'Bc6'], ['Bf3', 'd5'], ['b4', 'Qb8'], ['Be2', 'Nb6'], ['Qa1', 'Nfd7'], ['Bxb5', 'Bxb5\n'], ['Nxb5', 'Na4'], ['Nc3', 'Qxb4'], ['Nxa4', 'Qxa4'], ['Nf3', 'Qe4'], ['a4', 'Rfe8'], ['a5', 'Nc5'], ['Qa2', 'Nd3\n'], ['Rd2', 'd4'], ['Ng5', 'Qf5'], ['Nxf7', 'Qxf7'], ['Qxf7+', 'Kxf7'], ['Rxd3', 'Ra8'], ['exd4', 'Rxa5\n'], ['Rf3+', 'Kg8'], ['dxe5', 'Rb5'], ['Bc3', 'Bxe5'], ['Re1', 'Re7'], ['h4', 'Bd6'], ['Rxe7', 'Bxe7'], ['g3', 'Rb3\n'], ['Kg2', 'Bb4'], ['Bd4', 'Rxf3'], ['Kxf3', 'Kf7'], ['Kg4', 'h5+'], ['Kf4', 'Ke6']]",1/2-1/2
URS-chT,Riga,1975.??.??,?,"Mordvintsev, V.","Lputian, Smbat G",,,D37,"[['c4', 'e6'], ['Nc3', 'd5'], ['e3', 'Nf6'], ['Nf3', 'Be7'], ['b3', 'O-O'], ['d4', 'b6'], ['cxd5', 'exd5'], ['Be2', 'Bb7\n'], ['O-O', 'Nbd7'], ['Qc2', 'c5'], ['a4', 'Rc8'], ['Qb2', 'Ne4'], ['Bd2', 'Nxd2'], ['Qxd2', 'Nf6'], ['Qb2', 'Ne4\n'], ['Rac1', 'Bf6'], ['Rfd1', 'Qe7'], ['Rc2', 'g6'], ['Qa1', 'Rfe8'], ['a5', 'cxd4'], ['Nxd4', 'Nxf2'], ['Nxd5', 'Bxd5\n'], ['Rxc8', 'Nxd1']]",0-1
URS-chT,Riga,1975.??.??,?,"Yurtaev, Leonid","Lputian, Smbat G",,,C00,"[['e4', 'e6'], ['d3', 'd5'], ['Nd2', 'Nd7'], ['Ngf3', 'c6'], ['g3', 'dxe4'], ['dxe4', 'e5'], ['Nc4', 'Qc7'], ['Bh3', 'Ngf6\n'], ['O-O', 'b5'], ['Ne3', 'Nc5'], ['Bg2', 'Ncxe4'], ['Nh4', 'Be6'], ['Qf3', 'Rc8'], ['Re1', 'Bc5'], ['Nef5', 'Bxf2+\n'], ['Kh1', 'Bd5'], ['Nxg7+', 'Kf8'], ['Rxe4', 'Nxe4'], ['Qh5', 'Bxg3'], ['Qh6', 'Qb6'], ['Be3', 'Bf4'], ['Ne6+', 'Ke8\n'], ['Ng7+', 'Kf8'], ['Ne6+', '']]",1/2-1/2
Yerevan,Yerevan,1977.??.??,1,"Arutiunov, Albert","Lputian, Smbat G",,,A07,"[['Nf3', 'd5'], ['g3', 'Nf6'], ['Bg2', 'e6'], ['O-O', 'b6'], ['b3', 'Nbd7'], ['Bb2', 'Be7'], ['d3', 'O-O'], ['Nbd2', 'Bb7\n'], ['e3', 'c5'], ['Qe2', 'Qc7'], ['e4', 'dxe4'], ['dxe4', 'c4'], ['Nxc4', 'Bxe4'], ['a4', 'Rac8'], ['Rad1', 'Rfd8\n'], ['Nd4', 'Bxg2'], ['Kxg2', 'a6'], ['Nf5', 'Bc5'], ['Nxg7', 'Qc6+'], ['Kg1', 'Qe4'], ['Qxe4', 'Nxe4'], ['Nh5', 'b5\n'], ['axb5', 'axb5'], ['Na3', 'f5'], ['Kg2', 'b4'], ['Nc4', 'Nb6'], ['Nf6+', 'Nxf6'], ['Rxd8+', 'Rxd8'], ['Bxf6', 'Rd7\n'], ['Nxb6', 'Bxb6'], ['Bg5', 'Kf7'], ['Re1', 'Bd8'], ['Bxd8', 'Rxd8'], ['Re5', 'Rd2'], ['Rb5', 'Rxc2'], ['Rxb4', 'Rb2\n'], ['Rb7+', 'Kf6'], ['Rb6', 'Kf7'], ['Kf3', 'Kf6'], ['Ke3', 'h5'], ['h4', 'Ke5'], ['Rb8', 'Rb1'], ['f4+', 'Kd5\n'], ['Kd3', 'Rg1'], ['Rd8+', 'Kc5'], ['Rg8', 'Rf1'], ['b4+', 'Kxb4'], ['Kd4', 'Re1'], ['Rb8+', 'Ka4'], ['Rh8', 'Kb5\n'], ['Rxh5', 'Kc6'], ['Rh7', 'Kd6'], ['h5', 'Rg1'], ['h6', 'Rd1+'], ['Ke3', 'Rh1'], ['Kd4', 'Rd1+'], ['Ke3', 'Rh1\n'], ['Kf2', 'Rh2+'], ['Kg1', 'Rh5'], ['Kg2', '']]",1/2-1/2
Yerevan,Yerevan,1977.??.??,2,"Lputian, Smbat G","Katalymov, Boris N",,,E14,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['e3', 'Bb7'], ['Bd3', 'd5'], ['O-O', 'Nbd7'], ['b3', 'Be7'], ['Bb2', 'O-O\n'], ['Qe2', 'Ne4'], ['Rd1', 'f5'], ['Ne5', 'Bh4'], ['g3', 'Bg5'], ['f3', 'Nxe5'], ['dxe5', 'Nc5'], ['Bc2', 'Qe8\n'], ['cxd5', 'exd5'], ['Nc3', 'Rd8'], ['b4', 'Na6'], ['f4', 'Be7'], ['Bb3', 'c6'], ['b5', 'Nc7'], ['bxc6', 'Qxc6\n'], ['Qf3', 'Bc5'], ['Rac1', 'g5'], ['fxg5', 'Qg6'], ['Nxd5', 'Rxd5'], ['Rxd5', 'Ne6'], ['Bd4', 'Bxd4'], ['exd4', 'Kh8\n'], ['Qc3', 'Qxg5'], ['Rd7', 'Nf4'], ['Qc7', 'Nh3+'], ['Kf1', 'Ba6+'], ['Kg2', 'Qd2+'], ['Kxh3', 'Qh6+'], ['Kg2', 'Qd2+\n'], ['Kh1', 'Bb7+'], ['d5', '']]",1-0
Yerevan,Yerevan,1977.??.??,3,"Mnatsakanian, Eduard A","Lputian, Smbat G",,,C05,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nf6'], ['e5', 'Nfd7'], ['f4', 'c5'], ['c3', 'Nc6'], ['Ndf3', 'Qa5'], ['Ne2', 'f6\n'], ['dxc5', 'fxe5'], ['fxe5', 'Ndxe5'], ['Nxe5', 'Nxe5'], ['b4', 'Qd8']]",1/2-1/2
Yerevan,Yerevan,1977.??.??,4,"Lputian, Smbat G","Khalikian, O.",,,E14,"[['d4', 'c5'], ['e3', 'Nf6'], ['Nf3', 'e6'], ['c4', 'b6'], ['Nc3', 'Bb7'], ['Be2', 'Be7'], ['O-O', 'O-O'], ['b3', 'cxd4\n'], ['Nxd4', 'Na6'], ['Bf3', 'Qc8'], ['Bb2', 'Rd8'], ['Rc1', 'd6'], ['Qe2', 'Nc5'], ['Rfd1', 'a6'], ['e4', 'Qc7\n'], ['b4', 'Ncd7'], ['Nd5', 'exd5'], ['cxd5', 'Qb8'], ['Nc6', 'Bxc6'], ['dxc6', 'Ra7'], ['cxd7', 'Nxd7'], ['Qe3', 'Rc7\n'], ['Be2', 'Rxc1'], ['Qxc1', 'Qb7'], ['f3', 'b5'], ['Qa1', 'Bf8'], ['a4', 'Rc8'], ['axb5', 'axb5'], ['Bd4', 'Ra8\n'], ['Qc3', 'Rc8'], ['Qd3', 'Rb8'], ['Ra1', 'Ne5'], ['Qb3', 'Nc6'], ['Be3', 'h6'], ['Rd1', 'Qa6'], ['Rd5', 'Qa4\n'], ['Qxa4', 'bxa4'], ['b5', 'Nb4'], ['Rd1', 'a3'], ['Ba7', 'Rb7'], ['Bd4', 'Nc2'], ['Ba1', 'd5'], ['Rc1', 'Nxa1\n'], ['Rxa1', 'Rc7'], ['exd5', 'Rc2'], ['Kf1', 'Bc5'], ['b6', 'Rb2'], ['Bc4', 'Rxb6'], ['Ra2', 'Rb4'], ['Rc2', '']]",1/2-1/2
Yerevan,Yerevan,1977.??.??,5,"Lutikov, Anatoly S","Lputian, Smbat G",,,C15,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['Bd3', 'c5'], ['exd5', 'Qxd5'], ['Bd2', 'Bxc3'], ['Bxc3', 'cxd4'], ['Bxd4', 'Qxg2\n'], ['Qf3', 'Qxf3'], ['Nxf3', 'f6'], ['Rg1', 'Kf7'], ['Nd2', 'Nc6'], ['Bc3', 'Nge7'], ['Nc4', 'Rd8'], ['O-O-O', 'g6\n'], ['h4', 'b5'], ['Na5', 'b4'], ['Nxc6', 'Nxc6'], ['Bd2', 'Bb7'], ['h5', 'Ne5'], ['hxg6+', 'hxg6'], ['Bxb4', '']]",1/2-1/2
Yerevan,Yerevan,1977.??.??,6,"Lputian, Smbat G","Efimov, Igor",,,A37,"[['c4', 'c5'], ['Nc3', 'Nc6'], ['Nf3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'Nh6'], ['O-O', 'Nf5'], ['e3', 'O-O'], ['b3', 'b6\n'], ['Bb2', 'Bb7'], ['Qc2', 'd6'], ['a3', 'Qd7'], ['d3', 'Rad8'], ['Rab1', 'e6'], ['Rfe1', 'Qc8'], ['Qe2', 'Qd7\n'], ['Qc2', 'h6'], ['Ba1', 'Kh7'], ['b4', 'Qc8'], ['Nd2', 'Qa8'], ['Nce4', 'f6'], ['bxc5', 'dxc5'], ['Rbd1', 'Rd7\n'], ['Nf3', 'Qd8'], ['Rd2', 'Qe7'], ['Red1', 'Rfd8'], ['g4', 'Nd6'], ['Ng3', 'Nf7'], ['Ne2', 'Nd6'], ['Ng3', 'Nf7\n'], ['Bc3', 'Bh8'], ['Ne2', 'Ba8'], ['h3', 'Bg7'], ['Qb2', 'Bh8'], ['Nf4', 'Ng5'], ['h4', 'Nxf3+'], ['Bxf3', 'Bg7\n'], ['Bg2', 'Bb7'], ['Qc2', 'Qf7'], ['Kf1', 'Ne7'], ['Bxb7', 'Rxb7']]",1/2-1/2
