EU-ch U12,Tallinn,1997.??.??,1,"Mamedyarov, Shahriar","Naiditsch, Arkadij",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bf4', 'Bg7'], ['e3', 'd6'], ['h3', 'O-O'], ['Nbd2', 'Nbd7'], ['Bc4', 'c6'], ['a4', 'Re8\n'], ['O-O', 'e5'], ['Bh2', 'e4'], ['Ne1', 'Nf8'], ['Qe2', 'a5'], ['c3', 'b6'], ['b4', 'axb4'], ['cxb4', 'd5'], ['Bb3', 'Ba6\n'], ['Qd1', 'Bxf1']]",0-1
EU-ch U12,Tallinn,1997.??.??,2,"Bartel, Mateusz","Mamedyarov, Shahriar",,,C77,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['Qe2', 'b5'], ['Bb3', 'Bc5'], ['a4', 'Rb8'], ['axb5', 'axb5\n'], ['O-O', 'O-O'], ['Nc3', 'd6'], ['Nd5', 'Bg4'], ['c3', 'b4'], ['Bc4', 'Nxd5'], ['exd5', 'Ne7'], ['h3', 'Bh5\n'], ['g4', 'Bg6'], ['d4', 'exd4']]",1/2-1/2
EU-ch U12,Tallinn,1997.??.??,3,"Mamedyarov, Shahriar","Sveshnikov, Vladimir",,,D02,"[['d4', 'd5'], ['Nf3', 'e6'], ['Bf4', 'Nf6'], ['Ne5', 'c5'], ['e3', 'Nc6'], ['c3', 'Bd7'], ['Nd2', 'Rc8'], ['Bd3', 'Be7\n'], ['Qf3', 'c4'], ['Bc2', 'b5'], ['g4', 'h6'], ['h4', 'b4'], ['g5', 'bxc3'], ['bxc3', 'hxg5'], ['hxg5', 'Rxh1+\n'], ['Qxh1', 'Ne4'], ['Nxe4', 'dxe4']]",1-0
EU-ch U12,Tallinn,1997.??.??,4,"Gluzin, Yurij","Mamedyarov, Shahriar",,,C77,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['Qe2', 'Bc5'], ['c3', 'O-O'], ['O-O', 'b5'], ['Bc2', 'd5\n'], ['exd5', 'Qxd5'], ['h3', 'Bb7'], ['Bb3', 'Qd6'], ['Rd1', 'e4'], ['Ng5', 'Qd3'], ['Re1', 'Ne5'], ['Qd1', 'h6\n'], ['Bc2', 'Qg3'], ['Bxe4', 'Nxe4']]",0-1
EU-ch U12,Tallinn,1997.??.??,5,"Baltag, Iulian","Mamedyarov, Shahriar",,,C80,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['Re1', 'Nc5'], ['Bxc6', 'dxc6'], ['Nxe5', 'Be7\n'], ['d4', 'Ne6'], ['Be3', 'O-O'], ['c4', 'Bg5'], ['Nc3', 'f6'], ['Nf3', 'Bxe3'], ['Rxe3', 'Nf4'], ['Re4', 'g5\n'], ['Qd2', 'Bg4'], ['Re3', 'Qd7']]",1-0
EU-ch U12,Tallinn,1997.??.??,6,"Mamedyarov, Shahriar","Manescu, Tiberiu",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bf4', 'Bg7'], ['h3', 'O-O'], ['e3', 'd6'], ['Nbd2', 'Nbd7'], ['Bc4', 'c6'], ['a4', 'Re8\n'], ['O-O', 'e5'], ['Bh2', 'e4'], ['Ne1', 'd5'], ['Ba2', 'Nf8'], ['c4', 'b6'], ['Nc2', 'Be6'], ['Rc1', 'Rc8'], ['cxd5', 'cxd5\n'], ['Qe2', 'Qd7']]",1-0
EU-ch U12,Tallinn,1997.??.??,7,"Vovsha, Eli","Mamedyarov, Shahriar",,,E94,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['d4', 'O-O'], ['Be2', 'Nbd7'], ['O-O', 'e5'], ['Qc2', 'c6\n'], ['Rd1', 'Qe7'], ['d5', 'c5'], ['Bg5', 'h6'], ['Bd2', 'Nh5'], ['g3', 'Nhf6'], ['Rab1', 'Ne8'], ['Nh4', 'Nc7\n'], ['Be3', 'Kh7'], ['a3', 'Nf6']]",1-0
EU-ch U12,Tallinn,1997.??.??,8,"Mamedyarov, Shahriar","Tabatabai, John",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bf4', 'Bg7'], ['h3', 'O-O'], ['e3', 'd6'], ['Bc4', 'Nbd7'], ['Nbd2', 'b6'], ['O-O', 'Bb7\n'], ['c3', 'Qe8'], ['Bh2', 'e5'], ['b4', 'Kh8'], ['b5', 'a6'], ['a4', 'axb5'], ['axb5', 'Qe7'], ['Qb3', 'Ne4'], ['Nxe4', 'Bxe4\n'], ['Nd2', 'Bb7']]",1-0
EU-ch U12,Tallinn,1997.??.??,9,"Gashimov, Vugar","Mamedyarov, Shahriar",,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['d3', 'Nf6'], ['O-O', 'd6'], ['c3', 'O-O'], ['Bb3', 'Bb6'], ['h3', 'h6\n'], ['Re1', 'Be6'], ['Bc2', 'd5'], ['Qe2', 'Re8'], ['Nbd2', 'Nh5'], ['Nf1', 'Qf6'], ['N3h2', 'dxe4'], ['dxe4', 'Rad8\n'], ['Be3', 'Nf4'], ['Qf3', 'Rd7']]",1-0
Baku Cup,Baku,1998.??.??,?,"Mamedyarov, Shahriar","Pavlenko, Oleg",,,A44,"[['d4', 'c5'], ['d5', 'e5'], ['Nc3', 'd6'], ['e4', 'g6'], ['f4', 'Nd7'], ['Nf3', 'Bg7'], ['Bb5', 'a6'], ['Bxd7+', 'Bxd7\n'], ['fxe5', 'dxe5'], ['O-O', 'Ne7'], ['Bg5', 'f6'], ['Nxe5', 'fxg5'], ['Nf7', 'Qb6'], ['d6', 'Bd4+'], ['Kh1', 'O-O\n'], ['Nh6+', 'Kg7'], ['Rxf8', 'Rxf8'], ['dxe7', 'Rc8'], ['Nd5', 'Qe6'], ['c3', 'Qxe4'], ['Nb6', 'Bc6'], ['Qg4', 'Re8\n'], ['Qxe4', 'Bxe4'], ['cxd4', 'Kxh6'], ['d5', 'Rxe7'], ['Kg1', 'Bf5'], ['d6', 'Re2'], ['Rd1', 'Rxb2'], ['d7', 'Bxd7\n'], ['Nxd7', 'c4'], ['Nf6', 'c3'], ['Rd3', 'Kg7'], ['Ne4', '']]",0-1
Baku Cup,Baku,1998.??.??,?,"Mamedyarov, Shahriar","Rashidov, Araz",,,D02,"[['d4', 'd5'], ['Bf4', 'e6'], ['e3', 'c5'], ['c3', 'Nc6'], ['Nd2', 'Nf6'], ['Ngf3', 'Be7'], ['Bd3', 'O-O'], ['Ne5', 'Nxe5\n'], ['dxe5', 'Nd7'], ['Qh5', 'g6'], ['Qe2', 'b6'], ['h4', 'Bb7'], ['h5', 'g5'], ['Bg3', 'h6'], ['Bc2', 'f5'], ['exf6', 'Rxf6\n'], ['O-O-O', 'a5'], ['f4', 'Rf7'], ['Nf3', 'Bd6'], ['Bh2', 'gxf4'], ['exf4', 'Qf6'], ['Kb1', 'Ba6'], ['Qe3', 'Raf8\n'], ['f5', 'Bxh2'], ['fxe6', 'Re7'], ['Nxh2', 'Rxe6'], ['Qd2', 'Rd6'], ['Nf3', 'Ne5'], ['Nh4', 'Nc4'], ['Qc1', 'Qf4\n'], ['Rh3', 'Bc8'], ['Qxf4', 'Rxf4'], ['Rg3+', 'Rg4'], ['Rdd3', 'Rf6'], ['Bd1', 'Rf1'], ['Kc2', 'Rxd1'], ['Kxd1', 'Nxb2+\n'], ['Kd2', 'Nxd3'], ['Rxg4+', 'Bxg4'], ['Kxd3', 'Bxh5'], ['Ke3', 'Kf7'], ['Nf5', 'Kf6'], ['Kf4', 'b5'], ['Nxh6', 'b4\n'], ['cxb4', 'axb4'], ['Nf5', 'Bg6'], ['Ne3', 'Ke6'], ['g4', 'Bb1'], ['g5', 'Bxa2'], ['g6', 'Kf6'], ['Ng4+', 'Kxg6\n'], ['Ne5+', 'Kg7']]",0-1
