Brno,Brno,1931.??.??,?,"Mikenas, Vladas","Zinner, Emil",,,E27,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['a3', 'Bxc3+'], ['bxc3', 'd6'], ['f3', 'O-O'], ['e4', 'e5'], ['Bd3', 'Nc6\n'], ['Be3', 'Re8'], ['Ne2', 'b6'], ['g4', 'Na5'], ['Ng3', 'Ba6'], ['Qe2', 'Nd7'], ['h4', 'Nf8'], ['f4', 'exf4\n'], ['Bxf4', 'Qd7'], ['O-O', 'Qa4'], ['Nf5', 'Bxc4'], ['Bxc4', 'Qxc4'], ['Qf3', 'Qe6'], ['Rae1', 'Nc4'], ['d5', 'Qd7\n'], ['Nxg7', 'Kxg7'], ['Bh6+', 'Kxh6'], ['Qf6+', 'Ng6'], ['Rf5', 'Re5'], ['Re2', 'Rg8'], ['Rh5+', 'Rxh5\n'], ['g5+', 'Rxg5+'], ['hxg5+', 'Kh5'], ['Rh2+', 'Kg4'], ['Rg2+', '']]",1-0
Brno,Brno,1931.??.??,1,"Steiner, H.","Mikenas, Vladas",,,D16,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'dxc4'], ['a4', 'Bf5'], ['e3', 'Na6'], ['Bxc4', 'Nb4'], ['O-O', 'e6\n'], ['Qe2', 'Be7'], ['Rd1', 'Bg4'], ['h3', 'Bh5'], ['Bb3', 'O-O'], ['e4', 'Qc7'], ['g4', 'Bg6'], ['Ne5', 'Nd7\n'], ['Bf4', 'Nxe5'], ['Bxe5', 'Qa5'], ['Bg3', 'Rfd8'], ['f4', 'Bd6'], ['Kg2', 'Qc7'], ['Qf3', 'h6'], ['Rac1', 'Qb6\n'], ['Ne2', 'Bh7'], ['f5', 'Bxg3'], ['Qxg3', 'Re8'], ['Nf4', 'exf5'], ['gxf5', 'Qc7'], ['Kh1', 'Qe7'], ['Re1', 'Kh8\n'], ['Re2', 'Rg8'], ['Rg1', 'g5'], ['Nd3', 'Nxd3'], ['Qxd3', 'Rge8'], ['Qf3', 'Rad8'], ['Qh5', 'Rxd4'], ['Qxh6', 'Rxe4\n'], ['Rxg5', 'f6'], ['Rgg2', 'Re5'], ['Rxe5', 'fxe5']]",1-0
Brno,Brno,1931.??.??,4,"Mikenas, Vladas","Noteboom, Daniel",,,E38,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'c5'], ['dxc5', 'Bxc5'], ['Nf3', 'b6'], ['Bg5', 'a6'], ['e4', 'Qc7\n'], ['a3', 'Nc6'], ['b4', 'Nd4'], ['Qd2', 'Nxf3+'], ['gxf3', 'Be7'], ['Be3', 'd6'], ['Rd1', 'O-O'], ['Rg1', 'Kh8\n'], ['f4', 'Bb7'], ['f3', 'Bc6'], ['Bd4', 'a5'], ['b5', 'Be8'], ['Na4', 'Rb8'], ['Qe3', 'Bd8'], ['e5', 'dxe5\n'], ['Bxe5', 'Qc8'], ['Qd4', 'Be7'], ['Bxb8', 'Qxb8'], ['Nxb6', 'Bxa3'], ['c5', 'Qc7'], ['Na4', 'Qb7'], ['c6', 'Bxc6\n'], ['bxc6', 'Qxc6'], ['Ra1', 'Qxf3'], ['Be2', 'Qh3'], ['Kf2', 'Bd6'], ['Rg2', 'Qh4+'], ['Kg1', 'Bxf4'], ['Kh1', 'Qh6\n'], ['Nc3', 'e5'], ['Qd6', 'Rg8'], ['Rxa5', 'Qh4'], ['Ra1', 'e4'], ['Qe7', 'e3'], ['Nd5', 'Bg5'], ['Qe5', 'Ne4\n'], ['Rb1', 'f6'], ['Qe6', 'Nf2+'], ['Kg1', 'Qd4'], ['Ne7', 'Rf8'], ['Nc8', 'Rd8'], ['Nd6', 'Nh3+'], ['Kh1', 'Nf2+\n'], ['Rxf2', '']]",1-0
Brno,Brno,1931.??.??,8,"Mikenas, Vladas","Schmitt, Ludwig",,,D67,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['Bg5', 'Nbd7'], ['Nf3', 'c6'], ['e3', 'Be7'], ['Rc1', 'O-O'], ['Bd3', 'dxc4\n'], ['Bxc4', 'Nd5'], ['Bxe7', 'Qxe7'], ['O-O', 'N5b6'], ['Bb3', 'e5'], ['d5', 'cxd5'], ['Nxd5', 'Nxd5'], ['Qxd5', 'e4\n'], ['Nd4', 'Nf6'], ['Qg5', 'h6'], ['Qg3', 'Nh5'], ['Qg6', 'Nf6'], ['Rxc8', 'Rfxc8'], ['Nf5', 'Qf8'], ['Nxh6+', 'Kh8\n'], ['Nxf7+', 'Kg8'], ['Ne5+', 'Kh8'], ['Qg5', 'Qc5'], ['Qh4+', '']]",1-0
Brno,Brno,1931.??.??,9,"Fazekas, Stefan","Mikenas, Vladas",,,D52,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'e6'], ['Nc3', 'c6'], ['Bg5', 'Nbd7'], ['e3', 'Qa5'], ['Nd2', 'dxc4'], ['Bxf6', 'Nxf6\n'], ['Nxc4', 'Qc7'], ['Bd3', 'Be7'], ['O-O', 'O-O'], ['Rc1', 'Rd8'], ['Ne4', 'Bd7'], ['a3', 'Be8'], ['b4', 'b6\n'], ['Ne5', 'Rac8'], ['Qc2', 'Qb8'], ['Nxf6+', 'gxf6'], ['Bxh7+', 'Kg7'], ['f4', 'f5'], ['Rf3', 'Kxh7'], ['Qf2', 'Kg7\n'], ['Rh3', 'Bf6'], ['g4', 'Kf8'], ['g5', 'Bxe5'], ['fxe5', 'Ke7'], ['g6', 'Rxd4'], ['exd4', 'fxg6'], ['Rh7+', 'Bf7\n'], ['Qh4+', 'Ke8'], ['Qf6', '']]",1-0
Prague ol,Prague,1931.??.??,1,"Apsenieks, Fricis","Mikenas, Vladas",,,D67,"[['c4', 'Nf6'], ['Nc3', 'e6'], ['d4', 'd5'], ['Bg5', 'Nbd7'], ['e3', 'Be7'], ['Nf3', 'O-O'], ['Rc1', 'c6'], ['Bd3', 'dxc4\n'], ['Bxc4', 'Nd5'], ['Bxe7', 'Qxe7'], ['O-O', 'Nxc3'], ['bxc3', 'e5'], ['Bb3', 'e4'], ['Nd2', 'Nf6'], ['f3', 'exf3\n'], ['Qxf3', 'Bg4'], ['Qf4', 'Bh5'], ['e4', 'Bg6'], ['Rce1', 'Rae8'], ['e5', 'Nd5'], ['Qf3', 'Qc7'], ['Nc4', 'Re7\n'], ['Nd6', 'Qa5'], ['Kh1', 'Rd8'], ['Rc1', 'h6'], ['c4', 'Ne3'], ['Rfe1', 'Nxg2'], ['Qxg2', 'Rxd6'], ['c5', 'Rde6\n'], ['Bxe6', 'Rxe6'], ['d5', 'cxd5'], ['Qxd5', 'Qc7'], ['Rcd1', 'Kh7'], ['Rd4', 'Rc6'], ['Rc4', 'Bf5'], ['Qd4', 'Rg6\n'], ['c6', 'bxc6'], ['Qc5', 'Be6'], ['Rc2', 'Qd7']]",0-1
Prague ol,Prague,1931.??.??,2,"Mikenas, Vladas","Steiner, Endre",,,E24,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['a3', 'Bxc3+'], ['bxc3', 'b6'], ['f3', 'Ba6'], ['e4', 'd5'], ['e5', 'Nfd7\n'], ['cxd5', 'Bxf1'], ['Kxf1', 'exd5'], ['f4', 'Nc6'], ['Qg4', 'g6'], ['f5', 'Nf8'], ['Bg5', 'gxf5'], ['Qh5', 'Ne7\n'], ['Bf6', 'Rg8'], ['Nf3', 'Ne6'], ['Ng5', 'Nxg5'], ['Bxg5', 'Rg6'], ['Kf2', 'Qd7'], ['Rhf1', 'O-O-O'], ['Bxe7', 'Qxe7\n'], ['Kg1', 'Rdg8'], ['Qxf5+', 'Kb8'], ['Ra2', 'R8g7'], ['a4', 'a5'], ['Qf3', 'Qd7'], ['Rb1', 'Rg4'], ['Re2', 'Qxa4\n'], ['Qxd5', 'Qa3'], ['Reb2', 'Ka7'], ['Qc6', 'Qe7'], ['Ra1', 'Kb8'], ['g3', 'R4g6'], ['Qe4', 'Qg5'], ['d5', 'Qg4\n'], ['Qg2', 'a4'], ['Rb4', 'Qf5'], ['Rbxa4', 'Kc8'], ['d6', 'Qxe5'], ['dxc7', 'Rxg3'], ['hxg3', 'Rxg3'], ['Ra8+', 'Kxc7\n'], ['R1a7+', 'Kd6'], ['Rd8+', 'Kc5'], ['Rd5+', 'Qxd5'], ['Qxg3', 'Qd1+'], ['Kg2', 'Qd5+'], ['Qf3', 'Qg5+\n'], ['Kf2', 'Qd2+'], ['Qe2', 'Qf4+'], ['Kg2', 'Qg5+'], ['Kf1', 'Qc1+'], ['Qe1', '']]",1-0
Prague ol,Prague,1931.??.??,3,"Flohr, Salo","Mikenas, Vladas",,,D17,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'dxc4'], ['a4', 'Bf5'], ['Ne5', 'e6'], ['f3', 'Bb4'], ['Nxc4', 'O-O\n'], ['Bg5', 'c5'], ['dxc5', 'Qxd1+'], ['Kxd1', 'Bxc5'], ['e4', 'Bg6'], ['Ne5', 'Nfd7'], ['Nxg6', 'hxg6'], ['Kc2', 'Nc6\n'], ['Rd1', 'Nde5'], ['h3', 'f6'], ['Bc1', 'Nd4+'], ['Kb1', 'Kf7'], ['f4', 'Nec6'], ['Bc4', 'Rfd8'], ['g4', 'Rac8\n'], ['f5', 'Re8'], ['Be3', 'Rcd8'], ['Bxe6+', 'Kf8'], ['Bd5', 'Ne6'], ['Bxe6', 'Bxe3'], ['Bd7', 'Re5'], ['Bxc6', 'Rxd1+\n'], ['Nxd1', 'bxc6'], ['Nxe3', 'Rxe4'], ['Ng2', 'gxf5'], ['gxf5', 'Rxa4'], ['Rf1', '']]",1-0
Prague ol,Prague,1931.??.??,4,"Mikenas, Vladas","Alekhine, Alexander",,,D52,"[['d4', 'Nf6'], ['c4', 'c6'], ['Nc3', 'd5'], ['Nf3', 'e6'], ['Bg5', 'Nbd7'], ['e3', 'Qa5'], ['Nd2', 'Bb4'], ['Qc2', 'dxc4\n'], ['Bxf6', 'Nxf6'], ['Nxc4', 'Qc7'], ['Be2', 'O-O'], ['O-O', 'Rd8'], ['a3', 'Be7'], ['b4', 'b6'], ['Rfd1', 'Nd5\n'], ['Ne5', 'Nxc3'], ['Qxc3', 'Bb7'], ['Bf3', 'Rac8'], ['Rac1', 'Bd6'], ['Nxc6', 'Bxh2+'], ['Kh1', 'Bxc6\n'], ['Qxc6', 'Qxc6'], ['Rxc6', 'Rxc6'], ['Bxc6', 'Bd6'], ['b5', 'g5'], ['a4', 'f5'], ['g3', 'Kf7'], ['Kg2', 'h5\n'], ['Bf3', 'g4'], ['Bc6', 'Be7'], ['Ra1', 'Bb4'], ['Rc1', 'Bd6'], ['Ra1', 'Bb4'], ['Rc1', 'Kf6'], ['Bb7', 'e5\n'], ['Rc4', 'Bd6'], ['Rc8', 'Rxc8'], ['dxe5+', 'Bxe5'], ['Bxc8', '']]",1/2-1/2
Prague ol,Prague,1931.??.??,5,"Gruenfeld, Ernst","Mikenas, Vladas",,,D46,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['e3', 'e6'], ['Bd3', 'Nbd7'], ['Nbd2', 'Be7'], ['O-O', 'O-O'], ['e4', 'dxe4\n'], ['Nxe4', 'c5'], ['Nxc5', 'Nxc5'], ['dxc5', 'Bxc5'], ['Qe2', 'h6'], ['Bd2', 'b6'], ['Bc3', 'Bb7'], ['Rad1', 'Qe7\n'], ['Ne5', 'Rfd8'], ['a3', 'a5'], ['Kh1', 'Nd7'], ['f4', 'Nxe5'], ['Qxe5', 'f6'], ['Qe2', 'Rd7'], ['Bc2', 'Rad8\n'], ['Rxd7', 'Rxd7'], ['Be4', 'Bxe4'], ['Qxe4', 'Qd6'], ['b4', 'axb4'], ['axb4', 'Qd3'], ['Qxd3', 'Rxd3\n'], ['bxc5', 'Rxc3'], ['cxb6', 'Rxc4'], ['Rb1', 'Rc8'], ['Kg1', 'Kf7'], ['Kf2', 'Ke7'], ['Ke3', 'Kd6'], ['Rd1+', 'Ke7\n'], ['Rb1', 'Rb8'], ['Kd4', 'Kd6'], ['Rb2', 'Rb7'], ['g3', 'Kc6'], ['Re2', 'Kd6'], ['Rb2', 'Kc6'], ['Re2', '']]",1/2-1/2
