BCF-ch U18 ,Rhyl,1969.??.??,?,"Miles, Anthony J","Dennis, JR.",,,C55,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d4', 'exd4'], ['O-O', 'Bc5'], ['e5', 'd5'], ['exf6', 'dxc4'], ['Re1+', 'Be6\n'], ['Ng5', 'Qd5'], ['Nc3', 'Qf5'], ['Nce4', 'Bb6'], ['fxg7', 'Rg8'], ['g4', 'Qg6'], ['Nxe6', 'fxe6'], ['Bg5', 'Rxg7\n'], ['Nf6+', 'Kf8'], ['Qf3', 'Rf7'], ['Rxe6', 'Qxg5'], ['Nxh7+', 'Kg7'], ['Qxf7+', 'Kxf7'], ['Nxg5+', 'Kg7\n'], ['h4', 'Rf8'], ['Rxc6', '']]",1-0
BCF-ch U18 ,Rhyl,1969.??.??,?,"Hawley, RW.","Miles, Anthony J",,,A29,"[['g3', 'e5'], ['c4', 'Nf6'], ['Bg2', 'd5'], ['cxd5', 'Nxd5'], ['Nc3', 'Be6'], ['Nf3', 'Nc6'], ['d3', 'f6'], ['O-O', 'Bc5\n'], ['Bd2', 'Qd7'], ['Ne4', 'Bb6'], ['Rc1', 'Bh3'], ['Nc5', 'Bxc5'], ['Rxc5', 'Bxg2'], ['Kxg2', 'h5'], ['Qb3', 'Nb6\n'], ['a4', 'a5'], ['Rfc1', 'h4'], ['Be3', 'Qg4'], ['Rb5', 'hxg3'], ['fxg3', 'e4'], ['dxe4', 'Qxe4'], ['Bxb6', 'cxb6\n'], ['Rxb6', 'Qxe2+'], ['Kg1', 'Nd4'], ['Nxd4', 'Qxh2+'], ['Kf1', 'Qh1+'], ['Ke2', 'Qxc1'], ['Qe6+', 'Kf8\n'], ['Qd6+', 'Kg8'], ['Qe6+', '']]",1/2-1/2
Glorney Cup,"Bearsden, Glasgow",1970.07.29,1,"Miles, Anthony J","O'Donohoe, F.",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Bc4', 'd6'], ['c3', 'd3'], ['O-O', 'Be7'], ['Qb3', 'Na5'], ['Qa4+', 'c6\n'], ['Bxd3', 'Nf6'], ['b4', 'Nc4'], ['Bxc4', 'b5'], ['Bxb5', 'cxb5'], ['Qxb5+', 'Bd7'], ['Qd3', 'O-O'], ['Bf4', 'Qb6\n'], ['Nbd2', 'Rfd8'], ['a4', 'Bc6'], ['b5', 'Bd7'], ['Be3', 'Qb7'], ['Bd4', 'Rac8'], ['c4', 'Be6'], ['Rfc1', 'Nd7\n'], ['Nb3', 'Nc5'], ['Bxc5', 'dxc5'], ['Qe2', 'Qc7'], ['Rd1', 'Bg4'], ['h3', 'Bh5'], ['Rd5', 'Bg6'], ['Rad1', 'h6\n'], ['Ne5', 'Rxd5'], ['Rxd5', 'Rd8'], ['Nxg6', 'fxg6'], ['Qd2', 'Kh7'], ['Rxd8', 'Bxd8'], ['Qd5', 'Be7'], ['g3', 'Qc8\n'], ['Kg2', 'Qc7'], ['f4', 'Qc8'], ['Na5', 'Qc7'], ['Nc6', 'Qb7'], ['Qf7', 'Qc7'], ['Qxe7', '']]",1-0
Glorney Cup,"Bearsden, Glasgow",1970.07.30,2,"Findlay, David John","Miles, Anthony J",,,C63,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'f5'], ['Nc3', 'fxe4'], ['Nxe4', 'Nf6'], ['Qe2', 'Qe7'], ['Nxf6+', 'gxf6'], ['Bxc6', 'bxc6\n'], ['d4', 'exd4'], ['Qxe7+', 'Bxe7'], ['Nxd4', 'O-O'], ['Bh6', 'Bb4+'], ['c3', 'Re8+'], ['Be3', 'Bc5'], ['O-O-O', 'Bb7\n'], ['Nf5', 'Bxe3+'], ['Nxe3', 'd6'], ['Rd4', 'c5'], ['Rf4', 'Re6'], ['Rd1', 'Kf7'], ['g4', 'Re4'], ['Rf5', 'Rg8\n'], ['Rh5', 'Kg6'], ['h3', 'Bc8'], ['Nd5', 'Rg7'], ['f3', 'Re5'], ['Nf4+', 'Kf7'], ['Rh6', 'Kg8'], ['Rxf6', 'Rf7\n'], ['Nh5', 'Bb7'], ['Rxf7', 'Kxf7'], ['Rd3', 'Re1+'], ['Kd2', 'Rf1'], ['f4', 'Rf2+'], ['Kc1', 'Rf1+'], ['Rd1', 'Rxd1+\n'], ['Kxd1', 'Bg2'], ['Ke2', 'Bxh3'], ['Kf3', 'Bf1'], ['Ke4', 'Be2'], ['f5', 'Bxg4'], ['Ng3', 'Bd1'], ['Kf4', 'd5\n'], ['Ke5', 'c6'], ['f6', 'Bg4'], ['Kf4', 'Bd1'], ['Ke5', 'Bc2'], ['Ne2', 'Bg6'], ['a3', 'a5'], ['b3', 'Bc2'], ['b4', 'axb4\n'], ['axb4', 'd4'], ['Nf4', 'd3'], ['Ne6', 'd2'], ['Ng5+', 'Kf8'], ['f7', 'd1=Q']]",0-1
Glorney Cup,"Bearsden, Glasgow",1970.07.31,4,"Bray, D.","Miles, Anthony J",,,A87,"[['Nf3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'd6'], ['O-O', 'f5'], ['d4', 'Nf6'], ['c4', 'O-O'], ['d5', 'a5'], ['Nc3', 'Na6'], ['Be3', 'Bd7\n'], ['Rb1', 'Qe8'], ['h3', 'h6'], ['Qd2', 'g5'], ['h4', 'f4'], ['gxf4', 'g4'], ['Nh2', 'Qh5'], ['Ne4', 'Nxe4\n'], ['Bxe4', 'Qxh4'], ['Kh1', 'Nc5'], ['Bxc5', 'dxc5'], ['e3', 'h5'], ['Rg1', 'Ra6'], ['Rg2', 'a4'], ['Kg1', 'Rd6\n'], ['Nf1', 'e5'], ['Rh2', 'Qe7'], ['Rxh5', 'exf4'], ['Bh7+', 'Kf7'], ['exf4', 'Rh6'], ['Rxh6', 'Bxh6'], ['Ng3', 'Kg7\n'], ['Qd3', 'Bxf4'], ['Qg6+', 'Kh8'], ['Kg2', 'Bxg3'], ['Qh6', 'Bf4'], ['Qg6', 'Bf5']]",0-1
Glorney Cup,"Bearsden, Glasgow",1970.08.01,5,"Miles, Anthony J","Hanau, Jean",,,C55,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d4', 'exd4'], ['e5', 'd5'], ['Bb5', 'Ne4'], ['Nxd4', 'Bd7'], ['Bxc6', 'bxc6\n'], ['O-O', 'Be7'], ['f3', 'Ng5'], ['f4', 'Ne4'], ['f5', 'c5'], ['Nb3', 'Bb5'], ['Rf3', 'a5'], ['a4', 'Bc6'], ['Qe1', 'c4\n'], ['Nd4', 'Bc5'], ['Be3', 'Bxd4'], ['Bxd4', 'Qg5'], ['Nc3', 'O-O'], ['f6', 'Qd2'], ['Qxd2', 'Nxd2'], ['Rf2', 'Ne4\n'], ['Nxe4', 'dxe4'], ['fxg7', 'Rfd8'], ['Bc3', 'Bd5'], ['Rf5', 'h6'], ['Rf6', 'Kxg7'], ['e6', 'fxe6'], ['Rxe6+', 'Kh7\n'], ['Re7+', 'Kg8'], ['Rf1', '']]",1-0
Islington-J,Islington,1970.??.??,1,"Miles, Anthony J","Smith, RR.",,,B13,"[['e4', 'c6'], ['d4', 'd5'], ['exd5', 'cxd5'], ['Bd3', 'Nc6'], ['c3', 'Nf6'], ['Bf4', 'Bg4'], ['Qb3', 'Na5'], ['Qa4+', 'Bd7\n'], ['Qc2', 'e6'], ['Nd2', 'Rc8'], ['Ngf3', 'Be7'], ['Ne5', 'Nc6'], ['Nxc6', 'Bxc6'], ['Nf3', 'h6'], ['Ne5', 'Nd7\n'], ['Nxc6', 'Rxc6'], ['a4', 'O-O'], ['O-O', 'Bd6'], ['Bxd6', 'Rxd6'], ['Qe2', 'Re8'], ['f4', 'a6'], ['Rae1', 'Qb6\n'], ['Kh1', 'Qb3'], ['Rf3', 'Qxa4'], ['Rg3', 'Nf6'], ['Qe5', '']]",1-0
Islington-J,Islington,1970.??.??,2,"Bellin, Robert","Miles, Anthony J",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['Nc3', 'd5'], ['Qe2', 'Be7'], ['Nxe4', 'dxe4'], ['Qxe4', 'O-O\n'], ['Bd3', 'g6'], ['O-O', 'Nc6'], ['Bb5', 'Bf5'], ['Qe2', 'Nb4'], ['d3', 'a6'], ['Ba4', 'b5'], ['Bb3', 'Bf6'], ['Re1', 'Nc6\n'], ['Bh6', 'Re8'], ['Qd2', 'Rxe1+'], ['Rxe1', 'Nd4'], ['Nxd4', 'Qxd4'], ['Qe2', 'Bd7'], ['c3', 'Qh4'], ['Qf3', 'Re8\n'], ['Rxe8+', 'Bxe8'], ['Be3', 'Bd8'], ['Qe4', 'Qxe4'], ['dxe4', 'Kf8'], ['Bc5+', 'Be7'], ['Bxe7+', 'Kxe7\n'], ['f3', 'c5'], ['Kf2', 'Kd6'], ['Ke3', 'g5'], ['g3', 'f6'], ['Bg8', 'h6'], ['b4', 'Bc6'], ['f4', 'Bb7'], ['Bf7', 'Bc6\n'], ['a3', 'Bb7'], ['Bg6', 'Bc8'], ['Bf7', 'Bb7'], ['h4', 'gxh4'], ['gxh4', 'Bc6'], ['Bb3', 'Bb7'], ['Bf7', 'Bc6\n'], ['bxc5+', 'Kxc5'], ['e5', 'fxe5'], ['fxe5', 'Bg2'], ['Kf4', 'Bh3'], ['Ba2', 'a5'], ['Bf7', 'Kc6'], ['Bh5', 'Bd7\n'], ['Bg4', 'Be8'], ['Kf5', 'Bd7+'], ['e6', 'Be8'], ['Kf6', '']]",1-0
Islington-J,Islington,1970.??.??,3,"Miles, Anthony J","Stean, Michael",,,B90,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be3', 'e5'], ['Nf3', 'Be7'], ['Bc4', 'O-O\n'], ['Qe2', 'Qc7'], ['O-O', 'b5'], ['Bd5', 'Bb7'], ['Bxb7', 'Qxb7'], ['Bg5', 'Nbd7'], ['Rad1', 'Rfc8'], ['Nh4', 'g6\n'], ['f4', 'b4'], ['Nd5', 'Nxd5'], ['Rxd5', 'Nc5'], ['Nf3', 'Ne6'], ['Qd2', 'Bxg5'], ['fxg5', 'Rc6'], ['Kh1', 'Rac8\n'], ['Rxd6', 'Rxc2'], ['Qd5', 'Qxd5'], ['exd5', 'Nd4'], ['Nxe5', 'Rc1'], ['Kg1', 'Ne2+'], ['Kf2', 'R1c2\n'], ['Ke3', 'Rxb2'], ['Nxf7', 'Rxa2'], ['Nh6+', 'Kh8'], ['Rc6', 'Re8+'], ['Re6', 'Rc8'], ['Rc6', 'Re8+'], ['Re6', 'Rc8\n'], ['Rf7', 'Nc3'], ['Rd7', 'Nd1+'], ['Kd4', 'Rd2+'], ['Ke5', 'Nc3'], ['Nf7+', 'Kg8'], ['Nh6+', 'Kh8'], ['Ng4', 'Re2+\n'], ['Kd6', 'Nb5+'], ['Ke7', 'Rxg2'], ['Nf6', 'Rxg5'], ['Kf7', 'Rf5'], ['Rde7', 'Nc7'], ['d6', 'Nxe6'], ['Kxe6', 'Rxf6+\n'], ['Kxf6', 'b3'], ['d7', 'Rf8+'], ['Ke6', 'b2'], ['Re8', '']]",1-0
Islington-J,Islington,1970.??.??,4,"O'Kelly, Rory","Miles, Anthony J",,,D32,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c5'], ['cxd5', 'cxd4'], ['Qa4+', 'Bd7'], ['Qxd4', 'exd5'], ['Qxd5', 'Nc6'], ['Nf3', 'Nf6\n'], ['Qb3', 'Bc5'], ['e3', 'Qe7'], ['Bd2', 'O-O-O'], ['Be2', 'g5'], ['Rc1', 'Kb8'], ['Nd5', 'Nxd5'], ['Qxd5', 'Bb6\n'], ['Qxg5', 'f6'], ['Qf4+', 'Bc7'], ['Qc4', 'Rhg8'], ['Nd4', 'Bb6'], ['Nxc6+', 'Bxc6'], ['Bf3', 'Bxf3'], ['gxf3', 'Rg2\n'], ['Bb4', 'Qe8'], ['Qf4+', 'Ka8'], ['Ke2', 'a5'], ['Bc5', 'Rc8'], ['b4', 'Rg5'], ['Bxb6', 'Qb5+'], ['Kd2', 'Rd5+\n'], ['Bd4', 'Qxb4+'], ['Ke2', 'Qb5+'], ['Kd2', 'Qb2+'], ['Kd3', 'Rxc1'], ['Rxc1', 'Qxc1'], ['Qxf6', 'Qb1+\n'], ['Kd2', 'Qxa2+'], ['Kd3', 'Qb1+'], ['Kd2', 'Qb4+'], ['Kd3', 'Qb1+'], ['Kd2', 'Qb4+']]",1/2-1/2
Islington-J,Islington,1970.??.??,5,"Miles, Anthony J","Nunn, John DM",,,C44,"[['e4', 'e5'], ['d4', 'exd4'], ['c3', 'd5'], ['exd5', 'Qxd5'], ['cxd4', 'Nc6'], ['Nf3', 'Bg4'], ['Be2', 'Bb4+'], ['Nc3', 'Bxf3\n'], ['Bxf3', 'Qc4'], ['Bxc6+', 'bxc6'], ['Qe2+', 'Qxe2+'], ['Kxe2', 'O-O-O'], ['Be3', 'Ne7'], ['Rhd1', 'Rhe8\n'], ['a3', 'Ba5'], ['Kf3', 'Bb6'], ['Na4', 'Nf5'], ['Nc5', 'Rd5'], ['Rac1', 'Red8'], ['b4', 'Nxd4+'], ['Bxd4', 'Rxd4\n'], ['Rxd4', 'Rxd4'], ['Rc3', 'Bxc5'], ['bxc5', 'Kd7'], ['Ke3', 'Ra4'], ['Kd3', 'Ke6'], ['Kc2', 'Kd5'], ['Kb3', 'Rd4\n'], ['Rh3', 'Rg4'], ['Rh5+', 'Kd4'], ['g3', 'h6'], ['Rf5', 'f6'], ['Rf3', 'Re4'], ['Rc3', 'Re2'], ['Rc4+', 'Kd5\n'], ['Rf4', 'Kxc5'], ['h4', 'Kd5'], ['Kc3', 'c5'], ['Rf3', 'a6'], ['Rf5+', 'Re5'], ['Rf4', 'Re4'], ['Rf5+', 'Kc6\n'], ['Kb3', 'Kb5'], ['Rd5', 'Rd4'], ['Rf5', 'Rd3+'], ['Kb2', 'Kc4'], ['Rf4+', 'Rd4'], ['Rf3', 'Rd2+'], ['Kc1', 'Rd3']]",0-1
